,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.8146666666666667,0.0193792558049981
500,50,CLD,0.8126666666666666,0.0197061750051433
1000,100,CLD,0.8123333333333334,0.0177012240631356
1500,150,CLD,0.8119999999999999,0.0186860018908986
1990,199,CLD,0.8119999999999999,0.0189443629845103
151,15,DCP,0.812,0.0195576072156079
501,50,DCP,0.8109999999999999,0.0195291804459093
1001,100,DCP,0.8103333333333333,0.019126770070593
1501,150,DCP,0.8103333333333333,0.019126770070593
1991,199,DCP,0.8106666666666668,0.0193505670316
152,15,F1,0.8103333333333333,0.0192714526927497
502,50,F1,0.8103333333333333,0.0202210011841374
1002,100,F1,0.8106666666666665,0.0195291804459093
1502,150,F1,0.8103333333333333,0.0193433881899388
1992,199,F1,0.8103333333333333,0.0193433881899388
153,15,Hostility,0.8099999999999999,0.019364916731037
503,50,Hostility,0.8103333333333333,0.0201521986669224
1003,100,Hostility,0.8099999999999999,0.0198256287556172
1503,150,Hostility,0.8096666666666668,0.0196284940272497
1993,199,Hostility,0.8099999999999999,0.0189296944860009
154,15,LSC,0.812,0.0175356779167501
504,50,LSC,0.8113333333333334,0.0187601824203402
1004,100,LSC,0.8113333333333334,0.0192714526927496
1504,150,LSC,0.8103333333333333,0.0182345825288104
1994,199,LSC,0.8103333333333333,0.019126770070593
155,15,N1,0.8109999999999999,0.0193864213647937
505,50,N1,0.8106666666666668,0.0193505670316
1005,100,N1,0.8103333333333333,0.019126770070593
1505,150,N1,0.8103333333333333,0.019126770070593
1995,199,N1,0.8103333333333333,0.019126770070593
156,15,N2,0.8106666666666665,0.0188045502767577
506,50,N2,0.8109999999999999,0.0194579318302616
1006,100,N2,0.8109999999999999,0.0197413834931146
1506,150,N2,0.8106666666666665,0.0195291804459093
1996,199,N2,0.8109999999999999,0.0196355686333641
157,15,TD_U,0.8113333333333334,0.0218390577737329
507,50,TD_U,0.8089999999999999,0.0176225865171817
1007,100,TD_U,0.8109999999999999,0.0198815939445955
1507,150,TD_U,0.8109999999999999,0.0196355686333641
1997,199,TD_U,0.8106666666666668,0.0197765292989217
158,15,Uniform,0.8093333333333333,0.0192426031964954
508,50,Uniform,0.8096666666666668,0.0187601824203403
1008,100,Uniform,0.8099999999999999,0.0189296944860009
1508,150,Uniform,0.8099999999999999,0.0189296944860009
1998,199,Uniform,0.8099999999999999,0.0189296944860009
159,15,kDN,0.8136666666666666,0.0190540167827037
509,50,kDN,0.8123333333333334,0.0188782649861921
1009,100,kDN,0.8083333333333333,0.021180441711898
1509,150,kDN,0.808,0.0214540853400413
1999,199,kDN,0.8076666666666666,0.021749840357013
