,n_ensemble,weights,accuracy_mean_split1,accuracy_std_split1,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split1_extreme,accuracy_std_split1_extreme,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4_extreme,accuracy_std_split4_extreme
150,15,CLD,0.8161290322580644,0.0334458731505286,0.8387096774193548,0.0470238056035911,0.7967741935483871,0.0588212339639047,0.8225806451612904,0.0279363033478851,0.8129032258064516,0.0371318207523269,0.8161290322580644,0.0244608885291985
500,50,CLD,0.832258064516129,0.0183899262112764,0.8419354838709678,0.0310248130026957,0.8032258064516128,0.0502335854916046,0.8290322580645162,0.0371318207523269,0.8161290322580644,0.0353369391938817,0.8258064516129032,0.0367798524225528
1000,100,CLD,0.832258064516129,0.0183899262112764,0.832258064516129,0.0334458731505286,0.8258064516129032,0.043278735048383,0.832258064516129,0.0353369391938816,0.8193548387096774,0.0330546798901923,0.8161290322580644,0.0353369391938817
1500,150,CLD,0.8258064516129032,0.0210296851780731,0.832258064516129,0.0334458731505286,0.8258064516129032,0.043278735048383,0.829032258064516,0.0353369391938817,0.8193548387096774,0.0417489648565961,0.8225806451612904,0.034214844250962
1990,199,CLD,0.8129032258064516,0.0334458731505286,0.832258064516129,0.0334458731505286,0.8258064516129032,0.0349669086914174,0.8258064516129032,0.038507536730043,0.829032258064516,0.0404835496710037,0.8225806451612904,0.032258064516129
151,15,DCP,0.835483870967742,0.0288524900322554,0.8387096774193548,0.0411211251096192,0.835483870967742,0.0502335854916046,0.8387096774193548,0.0411211251096192,0.8258064516129032,0.0515119981376494,0.8290322580645162,0.0353369391938817
501,50,DCP,0.8193548387096774,0.0417489648565961,0.835483870967742,0.0475738103346859,0.8290322580645162,0.0464672912609288,0.8451612903225806,0.0353369391938817,0.832258064516129,0.0420593703561461,0.835483870967742,0.0210296851780731
1001,100,DCP,0.8225806451612904,0.0255022391949063,0.835483870967742,0.0447562481468116,0.8258064516129032,0.0265027043954112,0.8419354838709678,0.0417489648565961,0.8387096774193548,0.0378259335469631,0.8258064516129032,0.0210296851780731
1501,150,DCP,0.8258064516129032,0.0310248130026957,0.8387096774193548,0.0483870967741935,0.832258064516129,0.0244608885291985,0.8419354838709678,0.0447562481468116,0.8419354838709678,0.0330546798901923,0.8258064516129032,0.0310248130026957
1991,199,DCP,0.8290322580645162,0.0371318207523269,0.832258064516129,0.0435782454390525,0.832258064516129,0.0244608885291985,0.8451612903225806,0.0450459356250611,0.8387096774193548,0.032258064516129,0.8290322580645162,0.0269890331140024
152,15,F1,0.835483870967742,0.0349669086914174,0.8387096774193548,0.0255022391949063,0.8193548387096774,0.043278735048383,0.8129032258064516,0.0334458731505286,0.8290322580645162,0.0420593703561461,0.835483870967742,0.0349669086914174
