,n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split1_classic,accuracy_std_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_std_split1_classic_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split2_classic,accuracy_std_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_std_split2_classic_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme,accuracy_mean_split4_classic,accuracy_std_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_std_split4_classic_extreme
480,15,N2,Data10_,0.9053333333333332,0.0081989159174992,0.8783333333333333,0.0118438920029599,0.902,0.0058214163988576,0.8993333333333334,0.0116428327977153,0.8986666666666666,0.010434983894999,0.8986666666666666,0.0064978628965393,0.898,0.0073974470070573,0.9,0.0071686043892021,0.8966666666666667,0.0094280904158206,0.8913333333333334,0.0095306523036638,0.8953333333333333,0.0106327586051577,0.8976666666666666,0.0096176920308356,0.9013333333333332,0.0085309892613798,0.8936666666666667,0.0036132472314464,0.897,0.0049159604012508,0.8946666666666667,0.0110176625873589
481,50,N2,Data10_,0.905,0.0110554159678513,0.8856666666666667,0.0107108460087064,0.9026666666666668,0.0069322114476951,0.9046666666666668,0.0090061707240708,0.9003333333333334,0.0077638764659014,0.899,0.0104482853457716,0.902,0.0072072494368132,0.9003333333333334,0.0102333876220058,0.8986666666666666,0.009457507306074,0.9,0.0092044675143227,0.8963333333333333,0.0101653004546512,0.899,0.0090982293759708,0.9026666666666668,0.0078704793020783,0.8933333333333333,0.0103413947049923,0.8983333333333332,0.0099303127398441,0.897,0.0084491945704243
482,100,N2,Data10_,0.9046666666666668,0.0115108644332212,0.8856666666666667,0.0098319208025017,0.904,0.0082158383625775,0.905,0.0078173595997057,0.9013333333333332,0.0099582461641931,0.9016666666666666,0.0100692049779954,0.903,0.0072072494368132,0.9016666666666666,0.0095014618758261,0.9013333333333332,0.0068109389139008,0.898,0.0071102430025671,0.9,0.0075461542817811,0.899,0.0069322114476951,0.9003333333333334,0.0080277297191948,0.8943333333333333,0.0099023005183419,0.898,0.0106978710239208,0.8976666666666666,0.0072264944628929
483,150,N2,Data10_,0.9056666666666666,0.0107754865834964,0.8846666666666667,0.0098882646494608,0.9036666666666668,0.0079407528330477,0.905,0.0067700320038633,0.9036666666666668,0.0088506120315678,0.901,0.0097610336428975,0.9023333333333332,0.0067288764127288,0.902,0.0088506120315678,0.901,0.008547254269972,0.9,0.0085796917841558,0.899,0.0088662907188468,0.9016666666666668,0.0095014618758261,0.9016666666666666,0.0093541434669348,0.8926666666666666,0.0086281194036965,0.9003333333333334,0.0096032401939253,0.8983333333333332,0.008249579113843
484,199,N2,Data10_,0.905,0.0105409255338946,0.884,0.0101105005920687,0.9043333333333332,0.0092496246170077,0.9053333333333332,0.0071102430025671,0.9026666666666668,0.0089442719099991,0.9,0.0100692049779954,0.9033333333333332,0.0075461542817812,0.9016666666666666,0.0086602540378444,0.9006666666666666,0.0089442719099991,0.8986666666666666,0.0108908728351363,0.9003333333333334,0.0081137742964253,0.9006666666666666,0.0085472542699719,0.901,0.0083831842266395,0.8939999999999999,0.0076919871728094,0.9006666666666666,0.0104482853457716,0.8993333333333332,0.0076011695006609
0,average,N2,Data10_,0.9051333333333333,0.01041632168719254,0.8836666666666666,0.0104770848111395,0.9033333333333333,0.00763196873183712,0.9038666666666668,0.00846932762558444,0.9013333333333333,0.00919039809333208,0.9000666666666668,0.00936911836823984,0.9017333333333333,0.00721739531503874,0.9011333333333333,0.00888286399128924,0.8996666666666666,0.008637612563153301,0.8976000000000001,0.00906318548796914,0.8981999999999999,0.009064855671372421,0.8996000000000001,0.0087393698000599,0.9014,0.00843330519524544,0.8936,0.0080354098062573,0.8988666666666667,0.00911913394094252,0.8974,0.008508820047036
490,15,Uniform,Data10_,0.89,0.0083333333333333,0.8896666666666666,0.0059395098937351,0.8933333333333333,0.0121335164821341,0.89,0.0055277079839256,0.8893333333333333,0.0101789543230682,0.889,0.0075092535507125,0.8880000000000001,0.0068109389139008,0.8936666666666667,0.0081137742964253,0.89,0.0085796917841558,0.891,0.00584522597225,0.889,0.0080450122574314,0.8873333333333333,0.0157938103206428,0.8926666666666666,0.010903618155864,0.8863333333333333,0.0076739096221475,0.8936666666666667,0.0054518090779319,0.8926666666666666,0.0091742392963485
491,50,Uniform,Data10_,0.8923333333333334,0.0114624992426996,0.8916666666666666,0.0089752746785574,0.8973333333333333,0.0090215790684829,0.8906666666666666,0.0075092535507125,0.8903333333333332,0.0076739096221475,0.8949999999999999,0.0106066017177982,0.8916666666666666,0.0100692049779954,0.8916666666666666,0.0060092521257733,0.8939999999999999,0.0107108460087063,0.8956666666666667,0.0069322114476951,0.8943333333333333,0.0087082336517421,0.891,0.0092496246170077,0.8913333333333334,0.0058214163988576,0.8916666666666666,0.008249579113843,0.8949999999999999,0.0084162541153017,0.8943333333333333,0.0093985814532478
492,100,Uniform,Data10_,0.893,0.0085309892613798,0.8939999999999999,0.0063025568003963,0.8943333333333333,0.0081308739451003,0.8933333333333333,0.0075461542817811,0.8953333333333333,0.0079407528330477,0.8943333333333333,0.0077817450199525,0.8953333333333333,0.0078528126595931,0.8923333333333334,0.0065192024052026,0.8966666666666667,0.0099999999999999,0.8943333333333333,0.0092496246170077,0.8956666666666667,0.0075092535507125,0.892,0.0067082039324993,0.8933333333333333,0.0056519416526043,0.8923333333333334,0.008787617550976,0.8956666666666667,0.0090215790684828,0.8936666666666667,0.0091590877760227
493,150,Uniform,Data10_,0.893,0.0107625895273086,0.8936666666666667,0.0114503760248784,0.8976666666666666,0.0101105005920686,0.8933333333333333,0.0065616732283431,0.8939999999999999,0.0066248689714506,0.8939999999999999,0.0093244004871328,0.8966666666666667,0.0076376261582597,0.8943333333333333,0.0063025568003963,0.8960000000000001,0.0089442719099991,0.8959999999999999,0.0069322114476951,0.8949999999999999,0.0084983658559879,0.8939999999999999,0.0060781941762701,0.8943333333333333,0.0065192024052026,0.8936666666666667,0.0091590877760226,0.8966666666666667,0.0068718427093627,0.8939999999999999,0.0081308739451002
