,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.8906666666666666,0.0109036181558641
500,50,CLD,0.89,0.0130170827931777
1000,100,CLD,0.8933333333333333,0.0115470053837925
1500,150,CLD,0.892,0.0128776291813879
1990,199,CLD,0.8926666666666666,0.0139243990494702
151,15,DCP,0.8863333333333333,0.0107625895273086
501,50,DCP,0.889,0.0052174919474994
1001,100,DCP,0.8903333333333332,0.0075828754440515
1501,150,DCP,0.8906666666666666,0.0063025568003963
1991,199,DCP,0.889,0.0063025568003964
152,15,F1,0.8836666666666666,0.0066038709187196
502,50,F1,0.8880000000000001,0.0062804812271388
1002,100,F1,0.8906666666666666,0.0034560735588879
1502,150,F1,0.8903333333333334,0.0038005847503303
1992,199,F1,0.8903333333333332,0.0051908038341324
153,15,Hostility,0.889,0.0048016200969626
503,50,Hostility,0.8926666666666666,0.0076919871728095
1003,100,Hostility,0.8936666666666667,0.0073974470070573
1503,150,Hostility,0.8953333333333333,0.0064978628965392
1993,199,Hostility,0.8939999999999999,0.0069322114476951
154,15,LSC,0.8903333333333332,0.0050552502960343
504,50,LSC,0.8916666666666666,0.0042491829279939
1004,100,LSC,0.891,0.0040138648595974
1504,150,LSC,0.8913333333333334,0.0044721359549995
1994,199,LSC,0.89,0.004249182927994
155,15,N1,0.891,0.0093244004871329
505,50,N1,0.8913333333333334,0.0071102430025671
1005,100,N1,0.891,0.0061913918736688
1505,150,N1,0.8926666666666666,0.0063025568003963
1995,199,N1,0.8913333333333334,0.0051908038341324
156,15,N2,0.8883333333333333,0.0061237243569579
506,50,N2,0.891,0.0077817450199524
1006,100,N2,0.8903333333333334,0.0043140597018482
1506,150,N2,0.892,0.0073974470070573
1996,199,N2,0.8916666666666666,0.0055277079839256
157,15,TD_U,0.8853333333333333,0.0058214163988576
507,50,TD_U,0.8873333333333333,0.0032489314482696
1007,100,TD_U,0.8883333333333333,0.0026352313834736
1507,150,TD_U,0.8893333333333334,0.0030276503540974
1997,199,TD_U,0.8883333333333333,0.0033333333333333
158,15,Uniform,0.8853333333333333,0.0043140597018482
508,50,Uniform,0.8893333333333333,0.0076919871728095
1008,100,Uniform,0.8906666666666666,0.0045030853620354
1508,150,Uniform,0.8883333333333333,0.0045643546458764
1998,199,Uniform,0.8863333333333333,0.0055777335102271
159,15,kDN,0.8923333333333334,0.0075092535507125
509,50,kDN,0.893,0.0058214163988576
1009,100,kDN,0.8916666666666668,0.0074535599249992
1509,150,kDN,0.8933333333333333,0.0052704627669472
1999,199,kDN,0.893,0.005451809077932
