,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.828,0.1268770183200164
500,50,CLD,0.7006666666666667,0.1154315574028369
1000,100,CLD,0.7006666666666667,0.1154315574028369
1500,150,CLD,0.7006666666666667,0.1154315574028369
1990,199,CLD,0.702,0.114639531673076
151,15,DCP,0.7346666666666667,0.1344247001112518
501,50,DCP,0.7526666666666667,0.1620253752417263
1001,100,DCP,0.7526666666666667,0.1620253752417263
1501,150,DCP,0.754,0.160751706401864
1991,199,DCP,0.7533333333333333,0.161382912492136
152,15,F1,0.6753333333333333,0.0207632153365299
502,50,F1,0.8386666666666667,0.1240430032959
1002,100,F1,0.752,0.1070461997872362
1502,150,F1,0.834,0.1221429035551754
1992,199,F1,0.8446666666666667,0.0770497674666618
153,15,Hostility,0.666,0.0732347822645314
503,50,Hostility,0.6366666666666667,0.0091287092917527
1003,100,Hostility,0.6366666666666667,0.0091287092917527
1503,150,Hostility,0.6366666666666667,0.0091287092917527
1993,199,Hostility,0.6366666666666667,0.0091287092917527
154,15,LSC,0.6386666666666667,0.0080277297191948
504,50,LSC,0.638,0.0112051575426477
1004,100,LSC,0.6433333333333333,0.0122474487139158
1504,150,LSC,0.6433333333333333,0.0122474487139158
1994,199,LSC,0.6633333333333333,0.0534893551196039
155,15,N1,0.6366666666666667,0.0091287092917527
505,50,N1,0.6366666666666667,0.0091287092917527
1005,100,N1,0.6366666666666667,0.0091287092917527
1505,150,N1,0.6366666666666667,0.0091287092917527
1995,199,N1,0.6366666666666667,0.0091287092917527
156,15,N2,0.6686666666666666,0.0719027120489902
506,50,N2,0.6366666666666667,0.0091287092917527
1006,100,N2,0.6366666666666667,0.0091287092917527
1506,150,N2,0.6373333333333333,0.0086281194036965
1996,199,N2,0.6366666666666667,0.0091287092917527
157,15,TD_U,0.7493333333333333,0.1605442133633113
507,50,TD_U,0.67,0.052174919474995
1007,100,TD_U,0.6673333333333333,0.0526729954003419
1507,150,TD_U,0.67,0.052704627669473
1997,199,TD_U,0.6693333333333333,0.0514457643219212
158,15,Uniform,0.6366666666666667,0.0091287092917527
508,50,Uniform,0.6366666666666667,0.0091287092917527
1008,100,Uniform,0.6366666666666667,0.0091287092917527
1508,150,Uniform,0.6366666666666667,0.0091287092917527
1998,199,Uniform,0.6366666666666667,0.0091287092917527
159,15,kDN,0.6346666666666667,0.0098882646494609
509,50,kDN,0.636,0.0101105005920687
1009,100,kDN,0.6366666666666667,0.0097182531580755
1509,150,kDN,0.6366666666666667,0.0091287092917527
1999,199,kDN,0.6366666666666667,0.0091287092917527
