,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.6626666666666667,0.0212655172103154
500,50,CLD,0.6826666666666666,0.0201935083078146
1000,100,CLD,0.694,0.0255386417458372
1500,150,CLD,0.692,0.0229249984853992
1990,199,CLD,0.67,0.0161589328580544
151,15,DCP,0.674,0.0144144988736264
501,50,DCP,0.6566666666666666,0.0318852107828483
1001,100,DCP,0.658,0.0306050104830347
1501,150,DCP,0.6566666666666666,0.031446603773522
1991,199,DCP,0.6626666666666667,0.024877477542727
152,15,F1,0.8133333333333332,0.031446603773522
502,50,F1,0.7086666666666667,0.0180431581369658
1002,100,F1,0.7146666666666667,0.0203579086461366
1502,150,F1,0.72,0.0209496751499608
1992,199,F1,0.8233333333333333,0.0224845626053867
153,15,Hostility,0.6366666666666667,0.0091287092917527
503,50,Hostility,0.6366666666666667,0.0091287092917527
1003,100,Hostility,0.6373333333333333,0.0086281194036965
1503,150,Hostility,0.6366666666666667,0.0091287092917527
1993,199,Hostility,0.6373333333333333,0.0086281194036965
154,15,LSC,0.79,0.1069527413808963
504,50,LSC,0.8160000000000001,0.165552945542439
1004,100,LSC,0.8166666666666667,0.1631291240432287
1504,150,LSC,0.8166666666666667,0.1631291240432287
1994,199,LSC,0.7966666666666666,0.1480803085416078
155,15,N1,0.636,0.0089442719099991
505,50,N1,0.6366666666666667,0.0091287092917527
1005,100,N1,0.6366666666666667,0.0091287092917527
1505,150,N1,0.6366666666666667,0.0091287092917527
1995,199,N1,0.6366666666666667,0.0091287092917527
156,15,N2,0.76,0.1264032348390569
506,50,N2,0.8113333333333334,0.1674083497187507
1006,100,N2,0.8126666666666666,0.167039582800671
1506,150,N2,0.8119999999999999,0.1665099262973699
1996,199,N2,0.7593333333333334,0.1667732992218278
157,15,TD_U,0.7573333333333334,0.0449320474593456
507,50,TD_U,0.8086666666666666,0.1572259520562683
1007,100,TD_U,0.8099999999999999,0.1554205763583302
1507,150,TD_U,0.8119999999999999,0.1526724889719457
1997,199,TD_U,0.8019999999999999,0.0337144874893074
158,15,Uniform,0.6353333333333333,0.0098882646494609
508,50,Uniform,0.6366666666666667,0.0091287092917527
1008,100,Uniform,0.6366666666666667,0.0091287092917527
1508,150,Uniform,0.636,0.0101105005920687
1998,199,Uniform,0.6366666666666667,0.0091287092917527
159,15,kDN,0.6366666666666667,0.0091287092917527
509,50,kDN,0.6366666666666667,0.0091287092917527
1009,100,kDN,0.6373333333333333,0.0086281194036965
1509,150,kDN,0.636,0.0092496246170077
1999,199,kDN,0.6366666666666667,0.0091287092917527
