,n_ensemble,weights,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split9,accuracy_std_split9
150,15,CLD,0.8863333333333333,0.0148323969741912,0.8856666666666667,0.0156613466144447,0.884,0.0129421791055447,0.8800000000000001,0.0182193425908961
500,50,CLD,0.8916666666666666,0.018521758975744,0.8863333333333333,0.0106978710239208,0.8836666666666666,0.0175356779167502,0.8816666666666666,0.0170375402502173
1000,100,CLD,0.893,0.0160900245148628,0.8869999999999999,0.0128235893744475,0.8846666666666666,0.0161331267204401,0.885,0.0195433989992642
1500,150,CLD,0.8926666666666666,0.017102631376487,0.8873333333333333,0.0132077418374393,0.8856666666666666,0.0160554594383897,0.8843333333333334,0.0172642855501047
1990,199,CLD,0.8923333333333334,0.0166499916583229,0.8873333333333333,0.0147478812037526,0.8866666666666667,0.014766704288891,0.8846666666666666,0.0155188057959797
151,15,DCP,0.8913333333333334,0.0108908728351363,0.8869999999999999,0.0137133349538161,0.8836666666666666,0.0104349838949989,0.8886666666666667,0.0106327586051577
501,50,DCP,0.8933333333333333,0.0140929454377397,0.8876666666666667,0.0155724115023973,0.8873333333333333,0.0091742392963485,0.8853333333333333,0.0134060517014601
1001,100,DCP,0.8943333333333333,0.0143662412930065,0.889,0.0109671225842413,0.8893333333333333,0.0101789543230682,0.8866666666666667,0.0134886783801988
1501,150,DCP,0.8943333333333333,0.0139741825441697,0.8883333333333333,0.0088975652100261,0.8876666666666667,0.0093985814532478,0.8869999999999999,0.0112669625207704
1991,199,DCP,0.8923333333333334,0.0129421791055447,0.8893333333333333,0.0083831842266395,0.8876666666666667,0.0086281194036965,0.8859999999999999,0.0124498995979886
152,15,F1,0.8906666666666666,0.0088662907188468,0.8873333333333333,0.0114017542509914,0.8856666666666667,0.0124498995979887,0.8853333333333333,0.0116308975482452
502,50,F1,0.8906666666666666,0.0112175457803092,0.89,0.0154560308258262,0.8869999999999999,0.0136116779927302,0.8886666666666667,0.0119837853414983
1002,100,F1,0.8939999999999999,0.0112792828771257,0.8903333333333332,0.0123265747247337,0.89,0.0149536320374386,0.89,0.0117851130197757
1502,150,F1,0.8903333333333334,0.0134577528254576,0.89,0.0109290642071699,0.8916666666666666,0.0137436854187255,0.891,0.0118790197874702
1992,199,F1,0.8903333333333332,0.0134060517014601,0.89,0.0118438920029599,0.8903333333333334,0.0146439217576592,0.89,0.0140929454377397
153,15,Hostility,0.8896666666666666,0.013560563737872,0.8896666666666666,0.014356570311572,0.8846666666666666,0.0138142438567347,0.8863333333333333,0.0156080463579242
503,50,Hostility,0.8949999999999999,0.0117260393995585,0.8913333333333334,0.0140138820063852,0.8883333333333333,0.0118438920029599,0.8883333333333333,0.0132811478754243
1003,100,Hostility,0.8936666666666667,0.0102333876220058,0.891,0.0126710518724988,0.8883333333333333,0.0130703226177984,0.8883333333333333,0.0139443337755679
1503,150,Hostility,0.8939999999999999,0.0119373363863133,0.8906666666666666,0.0134164078649987,0.889,0.0128344155387856,0.8873333333333333,0.0123378370155478
1993,199,Hostility,0.8936666666666667,0.0112669625207703,0.8906666666666666,0.0103144989645105,0.889,0.0123939949617188,0.8873333333333333,0.0130490527540422
154,15,LSC,0.8870000000000001,0.0096032401939253,0.8856666666666667,0.0123939949617187,0.8846666666666667,0.0132497379429011,0.882,0.0092345967847967
504,50,LSC,0.8870000000000001,0.0127693208729186,0.8879999999999999,0.009817784316682,0.8843333333333334,0.0122247472139281,0.882,0.0145964226972075
1004,100,LSC,0.8876666666666667,0.0145583118679482,0.8880000000000001,0.0090061707240708,0.8856666666666667,0.0132602161872773,0.8826666666666666,0.0141224801095432
1504,150,LSC,0.8883333333333333,0.0137436854187255,0.889,0.0099023005183419,0.884,0.0138744369255116,0.8843333333333334,0.0134680692338913
1994,199,LSC,0.8876666666666667,0.0127257394458807,0.8893333333333334,0.0088662907188469,0.884,0.0141224801095432,0.8846666666666667,0.0147855034108112
155,15,N1,0.8936666666666667,0.0147384606462894,0.8946666666666667,0.01613312672044,0.8906666666666666,0.01211060141639,0.8923333333333334,0.0151198912400556
505,50,N1,0.8949999999999999,0.0169148192751536,0.8963333333333333,0.0189809846366772,0.8933333333333333,0.0158113883008418,0.889,0.0150277521051331
1005,100,N1,0.8956666666666667,0.017183648558376,0.8953333333333333,0.0151565900591861,0.891,0.0162702864824877,0.8913333333333334,0.0154290490813775
1505,150,N1,0.8973333333333333,0.017102631376487,0.8953333333333333,0.0154739925179135,0.8923333333333334,0.0160554594383897,0.8923333333333334,0.0145583118679482
1995,199,N1,0.897,0.0174562946303682,0.8946666666666667,0.0153387671531247,0.893,0.0164316767251549,0.8936666666666667,0.0143081173542231
156,15,N2,0.8843333333333334,0.0145583118679482,0.8869999999999999,0.0128235893744475,0.8836666666666666,0.0059395098937351,0.8816666666666666,0.0177560631272188
506,50,N2,0.8893333333333333,0.0153929998520251,0.8859999999999999,0.0137739690075962,0.8843333333333334,0.0096176920308357,0.8853333333333333,0.0132497379429011
1006,100,N2,0.8886666666666667,0.0158727579344121,0.8853333333333333,0.0136116779927302,0.8846666666666667,0.0112669625207703,0.8866666666666667,0.0099303127398441
1506,150,N2,0.8876666666666667,0.0168572437446537,0.8853333333333333,0.0112669625207703,0.885,0.0109924216318941,0.8870000000000001,0.0110176625873589
1996,199,N2,0.8883333333333333,0.0146723473847158,0.8873333333333333,0.0114017542509913,0.8856666666666666,0.0113406838908027,0.8863333333333333,0.0107625895273086
157,15,TD_U,0.8870000000000001,0.0100277393043275,0.8836666666666666,0.0130384048104052,0.8879999999999999,0.0152934263292725,0.8796666666666667,0.0129850341205216
507,50,TD_U,0.8869999999999999,0.0145009578227707,0.8906666666666666,0.0126161272451837,0.8913333333333334,0.0136116779927302,0.8853333333333333,0.0135092560861062
1007,100,TD_U,0.8896666666666666,0.0141126420866777,0.891,0.0136727628679958,0.8903333333333334,0.0120991276085877,0.8883333333333333,0.018521758975744
1507,150,TD_U,0.89,0.0131233464566863,0.89,0.015723301886761,0.8926666666666666,0.0112175457803092,0.89,0.0159426053914241
1997,199,TD_U,0.8923333333333334,0.0112175457803092,0.8906666666666666,0.0143662412930066,0.8906666666666666,0.0136218778278016,0.889,0.0163129124043229
158,15,Uniform,0.8796666666666667,0.0167248982724027,0.8823333333333334,0.0152114722788062,0.8789999999999999,0.0128344155387856,0.8823333333333334,0.0182421977233495
508,50,Uniform,0.8846666666666667,0.0166416478884888,0.8870000000000001,0.0116904519445001,0.8853333333333333,0.0171755640373176,0.8876666666666667,0.0163129124043229
1008,100,Uniform,0.8853333333333333,0.0145009578227707,0.8883333333333333,0.0145773797371132,0.8876666666666667,0.0160986541880576,0.8866666666666667,0.0169967317119759
1508,150,Uniform,0.8856666666666667,0.0133645467978196,0.8869999999999999,0.0126600860098885,0.8879999999999999,0.0137133349538161,0.8879999999999999,0.0180046290344085
1998,199,Uniform,0.8873333333333333,0.0153025052415173,0.8859999999999999,0.0134164078649987,0.8866666666666667,0.0144337567297406,0.8869999999999999,0.0167248982724027
159,15,kDN,0.8936666666666667,0.0127693208729186,0.889,0.0129957257930786,0.8896666666666666,0.0174562946303682,0.8869999999999999,0.0152934263292726
509,50,kDN,0.8949999999999999,0.0142886901662351,0.893,0.0135092560861063,0.8896666666666666,0.0129850341205216,0.8876666666666667,0.014073221221723
1009,100,kDN,0.8936666666666667,0.0140633487398193,0.891,0.0123378370155478,0.89,0.0133333333333333,0.8896666666666666,0.0144529889257858
1509,150,kDN,0.893,0.0133020466261566,0.8949999999999999,0.0126929551764398,0.8906666666666666,0.0121106014163899,0.8893333333333333,0.014073221221723
1999,199,kDN,0.8936666666666667,0.0136116779927303,0.893,0.0147384606462894,0.891,0.0135195331937821,0.8893333333333333,0.0132077418374393
