,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.91,0.0161589328580543
500,50,CLD,0.9066666666666666,0.0150923085635623
1000,100,CLD,0.9073333333333334,0.0142204860051343
1500,150,CLD,0.904,0.0134164078649987
1990,199,CLD,0.9066666666666666,0.0117851130197758
151,15,DCP,0.9006666666666667,0.0086281194036964
501,50,DCP,0.9053333333333332,0.0080277297191949
1001,100,DCP,0.9026666666666668,0.010903618155864
1501,150,DCP,0.9053333333333334,0.0126051136007926
1991,199,DCP,0.906,0.0147948940141147
152,15,F1,0.908,0.0160900245148629
502,50,F1,0.908,0.0146439217576591
1002,100,F1,0.908,0.0119256958799988
1502,150,F1,0.9066666666666666,0.0117851130197758
1992,199,F1,0.9073333333333334,0.0118790197874702
153,15,Hostility,0.9066666666666666,0.0117851130197757
503,50,Hostility,0.9093333333333332,0.010903618155864
1003,100,Hostility,0.91,0.0131233464566863
1503,150,Hostility,0.91,0.0105409255338946
1993,199,Hostility,0.912,0.0128235893744475
154,15,LSC,0.9053333333333332,0.0170945085399441
504,50,LSC,0.9046666666666668,0.0123827837473377
1004,100,LSC,0.9086666666666666,0.0174164673034841
1504,150,LSC,0.9086666666666666,0.0187971629064955
1994,199,LSC,0.9073333333333334,0.0175435964892543
155,15,N1,0.9106666666666668,0.0136218778278017
505,50,N1,0.9093333333333332,0.0147948940141147
1005,100,N1,0.9086666666666666,0.0146439217576591
1505,150,N1,0.9073333333333334,0.0149814700361628
1995,199,N1,0.9073333333333334,0.0162275485928507
156,15,N2,0.9046666666666668,0.016766368453279
506,50,N2,0.9066666666666666,0.0135400640077265
1006,100,N2,0.9086666666666666,0.0142594997574716
1506,150,N2,0.9086666666666666,0.015018507101425
1996,199,N2,0.9073333333333334,0.0163978318349984
157,15,TD_U,0.8939999999999999,0.0153478192442951
507,50,TD_U,0.8986666666666666,0.016431676725155
1007,100,TD_U,0.8933333333333333,0.0115470053837925
1507,150,TD_U,0.8946666666666665,0.0130384048104052
1997,199,TD_U,0.8926666666666666,0.014023789311975
158,15,Uniform,0.9073333333333334,0.0165663648530522
508,50,Uniform,0.916,0.0147948940141147
1008,100,Uniform,0.912,0.0116904519445
1508,150,Uniform,0.912,0.0126051136007927
1998,199,Uniform,0.9126666666666668,0.0136218778278017
159,15,kDN,0.906,0.0170619785227596
509,50,kDN,0.9093333333333332,0.014023789311975
1009,100,kDN,0.9133333333333332,0.0135400640077266
1509,150,kDN,0.9113333333333332,0.0140633487398193
1999,199,kDN,0.9106666666666668,0.017224014243685
