,n_ensemble,weights,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme
150,15,CLD,0.9432900432900432,0.0081564691261544,0.9727272727272728,0.0069466694960524,0.9675324675324676,0.0076526707920622,0.9709956709956712,0.0112053498749305,0.9692640692640692,0.01097297996159,0.9766233766233766,0.0085764557385969,0.9735930735930736,0.0074037365266177,0.9744588744588744,0.0063843641574686,0.9731601731601732,0.0078937586704807,0.971861471861472,0.00943484619814
500,50,CLD,0.9458874458874458,0.009558182755766,0.9753246753246751,0.0044884072193349,0.9688311688311688,0.0111003302207429,0.974025974025974,0.0086580086580086,0.9722943722943724,0.0072438097535418,0.9770562770562772,0.0056443310867555,0.9753246753246751,0.0062358702557956,0.9757575757575758,0.0041635030436518,0.9744588744588744,0.0061981909364832,0.9770562770562772,0.0071132799675995
1000,100,CLD,0.9471861471861472,0.0102214016910108,0.9770562770562772,0.0062358702557956,0.9692640692640692,0.0108657146303126,0.974025974025974,0.0086580086580086,0.9744588744588744,0.0070802715297818,0.9774891774891774,0.0054328573151563,0.9753246753246751,0.0054328573151563,0.9770562770562772,0.0049830581961997,0.9731601731601732,0.0069466694960524,0.9774891774891774,0.0062358702557956
1500,150,CLD,0.9467532467532468,0.0103353561786262,0.9770562770562772,0.0056443310867555,0.9683982683982684,0.0106699199513993,0.9731601731601732,0.0080407686671024,0.9748917748917748,0.0072760763263946,0.977922077922078,0.0056026749374652,0.9766233766233766,0.0063843641574686,0.977922077922078,0.0060062497513037,0.9766233766233766,0.0067413036806915,0.977922077922078,0.0070802715297818
1990,199,CLD,0.9471861471861472,0.0107791338510724,0.9770562770562772,0.0056443310867555,0.9683982683982684,0.0106699199513993,0.9727272727272728,0.0078937586704807,0.9735930735930736,0.0070802715297819,0.9774891774891774,0.0056443310867555,0.974025974025974,0.0076526707920622,0.9774891774891774,0.0058481628078382,0.9748917748917748,0.0072760763263946,0.9766233766233766,0.0070802715297818
151,15,DCP,0.9588744588744588,0.0108225108225108,0.9722943722943724,0.007713649212643,0.97012987012987,0.0063843641574686,0.9696969696969696,0.0091832049504746,0.9727272727272728,0.0042193914912593,0.9714285714285712,0.0063843641574686,0.9709956709956712,0.0032826300623599,0.9731601731601732,0.0083270060873036,0.971861471861472,0.0090547621919272,0.974025974025974,0.0073401839644212
501,50,DCP,0.9619047619047618,0.0129508877070576,0.9727272727272728,0.0064209510710785,0.9735930735930736,0.0056026749374653,0.9748917748917748,0.0056443310867555,0.9727272727272728,0.0060451255600731,0.9757575757575758,0.0038719791818178,0.9735930735930736,0.0056026749374652,0.9753246753246751,0.0054328573151563,0.9744588744588744,0.0065652601247199,0.9766233766233766,0.0085764557385969
1001,100,DCP,0.9653679653679652,0.0117562559428573,0.9722943722943724,0.0072438097535417,0.9753246753246751,0.0032826300623599,0.974025974025974,0.00530192585018,0.9757575757575758,0.0028221655433777,0.9744588744588744,0.0065652601247199,0.9761904761904764,0.0055184193870052,0.9792207792207792,0.0052128115059706,0.9748917748917748,0.0052128115059706,0.9757575757575758,0.0060062497513036
1501,150,DCP,0.9658008658008658,0.0109729799615901,0.9735930735930736,0.0060062497513037,0.9761904761904764,0.0043290043290043,0.9735930735930736,0.0060062497513037,0.9766233766233766,0.0028221655433777,0.9770562770562772,0.0054328573151563,0.9748917748917748,0.0044884072193349,0.9787878787878788,0.0056026749374652,0.9735930735930736,0.0046925288720083,0.9748917748917748,0.0069466694960524
1991,199,DCP,0.964935064935065,0.0107573797747092,0.974025974025974,0.0076526707920622,0.9770562770562772,0.0036219048767708,0.974025974025974,0.0064935064935065,0.9766233766233766,0.0028221655433777,0.9770562770562772,0.0039320134468798,0.9757575757575758,0.0041635030436518,0.9774891774891774,0.0052128115059707,0.9735930735930736,0.0053895669255362,0.9761904761904764,0.0070137886346405
