,n_ensemble,weights,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme
150,15,CLD,0.7499419279907085,0.0499480049242858,0.7831591173054588,0.0590789586502648,0.7788617886178862,0.0310003376473733,0.7641114982578397,0.0565559956313581,0.7356562137049941,0.0692000546454378,0.7595818815331011,0.0340279180916805,0.7888501742160279,0.0500912738761442,0.7789779326364692,0.0738606560703319,0.7595818815331011,0.0478715579204049,0.7693379790940766,0.0351764934852334
500,50,CLD,0.7403019744483159,0.0398405304146287,0.7398373983739838,0.0554701692741442,0.8081300813008131,0.054878202409927,0.7788617886178862,0.0423953509658014,0.759349593495935,0.0320728926199373,0.7594657375145181,0.0306199778628631,0.783855981416957,0.0575431786386845,0.7980255516840883,0.0364199938504106,0.7642276422764228,0.0470508722751003,0.7739837398373984,0.036463950587038
1000,100,CLD,0.7452961672473868,0.0260406182636879,0.7492450638792102,0.080247028297993,0.7886178861788619,0.0417856254081265,0.7739837398373984,0.0469888327377107,0.7497096399535423,0.0304753583354283,0.7257839721254356,0.0378413895846952,0.7740998838559815,0.0315090823838572,0.7547038327526132,0.0213314861284309,0.7739837398373984,0.0499138970034467,0.7596980255516841,0.0369348935914438
1500,150,CLD,0.7357723577235772,0.0360981887756563,0.7732868757259002,0.0836000982972471,0.783739837398374,0.0283264046704194,0.7980255516840883,0.0368022625071901,0.7545876887340301,0.0230378328723702,0.7354239256678281,0.0194891947288516,0.7691056910569106,0.0227802214548986,0.7547038327526132,0.0213314861284309,0.7594657375145181,0.038787581367733,0.7500580720092915,0.0460760317019997
1990,199,CLD,0.7259001161440185,0.0220520761278136,0.754123112659698,0.092651338423655,0.8029036004645761,0.0260503292358194,0.783855981416957,0.0364292523079541,0.7595818815331011,0.0340279180916805,0.740418118466899,0.0191813525724898,0.7642276422764228,0.0282232354941297,0.7643437862950059,0.0208469616340781,0.7689895470383276,0.0297031373562877,0.7596980255516841,0.0502589672224572
151,15,DCP,0.6873403019744483,0.0704404137078083,0.8173054587688734,0.0432385010601387,0.7062717770034843,0.0550695979221475,0.7307781649245064,0.0097571345060347,0.7160278745644599,0.0538255792711613,0.7066202090592334,0.07290107567156,0.7257839721254356,0.0506533080239903,0.7306620209059234,0.0732391417387297,0.7112659698025552,0.064537574482423,0.7356562137049941,0.060455444046496
501,50,DCP,0.6873403019744483,0.0704404137078083,0.8124274099883856,0.0430888830416818,0.696980255516841,0.0409426198705729,0.7261324041811846,0.0481833228316965,0.7305458768873403,0.0409623834002923,0.7405342624854819,0.0446879110352255,0.7160278745644599,0.0639293436468497,0.764692218350755,0.0733817450314266,0.7355400696864112,0.0632019850601332,0.7354239256678281,0.0686695064217281
1001,100,DCP,0.6873403019744483,0.0704404137078083,0.7977932636469223,0.0699308527372982,0.7112659698025552,0.0691951811275824,0.7018583042973287,0.0602993302795974,0.7207897793263647,0.0521572645001526,0.7356562137049941,0.0502102964220134,0.7307781649245063,0.0388900402913079,0.7403019744483159,0.0824698185664441,0.7355400696864112,0.0534855500810148,0.7259001161440186,0.0734088542793567
1501,150,DCP,0.6873403019744483,0.0704404137078083,0.80267131242741,0.0603032450397557,0.7210220673635308,0.058162820981433,0.7212543554006968,0.0590966514899351,0.7304297328687572,0.0539294837107657,0.7308943089430894,0.0587856843372803,0.7306620209059232,0.0464982400707128,0.7451800232288037,0.0769617364841566,0.7355400696864112,0.0534855500810148,0.7259001161440186,0.0600350555404626
1991,199,DCP,0.6873403019744483,0.0704404137078083,0.8171893147502903,0.0606475884671005,0.7211382113821138,0.0521734263708112,0.7211382113821138,0.0643373917668502,0.7160278745644599,0.0679107395245922,0.740650406504065,0.0690930018898898,0.7450638792102207,0.0580952334513347,0.7403019744483159,0.0824698185664441,0.7354239256678281,0.0541373172529112,0.7354239256678281,0.0742284318916263
152,15,F1,0.740418118466899,0.0516089968536443,0.7739837398373984,0.0553018131538828,0.7454123112659699,0.0245988260524322,0.7601626016260162,0.0677976718824449,0.7408826945412311,0.0703982708081955,0.7742160278745644,0.0456861026596887,0.8173054587688734,0.0521527382788482,0.7838559814169571,0.0399567497294591,0.7981416957026713,0.0267055485899826,0.7835075493612079,0.0190198020728027
502,50,F1,0.7213704994192799,0.0415415836291955,0.7787456445993032,0.0523872613767429,0.7694541231126597,0.0484475112999168,0.7938443670150986,0.0712323679428274,0.7644599303135888,0.0513577897534646,0.7934959349593497,0.0420222317034165,0.807897793263647,0.0277939940875869,0.7839721254355401,0.0594848460333799,0.7549361207897793,0.0482661899075032,0.7885017421602788,0.0464438132831372
1002,100,F1,0.7166085946573751,0.0438568641764342,0.7594657375145181,0.0521750422825283,0.7549361207897793,0.051118213977068,0.764692218350755,0.0442213679803716,0.759581881533101,0.0478715579204049,0.7694541231126597,0.0537221016119778,0.7887340301974448,0.0444059154126084,0.7694541231126597,0.0481577696490544,0.7355400696864112,0.0338530428258348,0.7787456445993032,0.0128613441291231
