,n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_mean_hard,accuracy_mean_combo,accuracy_mean_combo_extreme,accuracy_mean_split2,accuracy_mean_split2_extreme,accuracy_mean_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_mean_split4,accuracy_mean_split4_extreme,accuracy_mean_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_mean_split9,accuracy_mean_split9_extreme,accuracy_mean_split4_classic,accuracy_mean_split4_classic_extreme
419,average,DCP,bupa,-0.029189075630252193,-0.02028991596638663,-0.00017226890756305568,-0.005697478991596672,0.008634453781512508,0.009609243697478953,-0.002512605042016891,0.01981092436974785,0.010184873949579787,0.006096638655462172,0.017873949579831905,0.014016806722689013,0.012823529411764678,0.02167226890756302,0.005504201680672227,0.01917647058823524
399,9,DCP,bupa,-0.03445378151260503,-0.03789915966386559,-0.01436974789915968,-0.02613445378151258,-0.01722689075630246,-0.01394957983193279,-0.023277310924369687,0.0062184873949580055,-0.020000000000000018,-0.06336134453781517,-0.02025210084033613,-0.03789915966386559,-0.008739495798319341,-0.011512605042016788,-0.017310924369747904,8.403361344533344e-05
400,19,DCP,bupa,-0.01436974789915979,0.011428571428571455,0.017310924369747904,0.005714285714285672,0.04100840336134448,0.008991596638655341,0.03487394957983181,0.04050420168067226,0.032184873949579806,0.0259663865546218,0.026302521008403357,0.017310924369747904,0.0492436974789916,0.03470588235294114,0.03756302521008403,0.029159663865546137
401,29,DCP,bupa,-0.017142857142857237,-0.01176470588235301,0.00588235294117645,-0.002773109243697447,0.029495798319327693,-0.00521008403361356,0.014453781512605013,0.026470588235294135,0.03243697478991592,0.011680672268907455,0.023445378151260465,0.011680672268907455,0.03764705882352937,0.03243697478991592,0.01722689075630257,0.040672268907562925
402,39,DCP,bupa,-0.011176470588235343,-0.006050420168067228,0.017563025210084016,0.00042016806722688926,0.012100840336134455,0.02966386554621847,0.008991596638655452,0.038067226890756256,0.012184873949579789,0.03176470588235292,0.02638655462184869,0.02050420168067224,0.01789915966386546,0.03537815126050414,0.01764705882352935,0.02050420168067224
403,49,DCP,bupa,-0.019915966386554684,-0.017478991596638682,0.0031092436974788917,0.0001680672268906669,0.017815126050420016,0.01201680672268901,0.00588235294117645,0.032605042016806696,0.0266386554621848,0.023277310924369687,0.023445378151260465,0.017563025210084016,0.029327731092436915,0.029495798319327693,0.0352941176470587,0.017563025210083905
404,59,DCP,bupa,-0.03159663865546225,-0.008823529411764675,0.008907563025210119,-0.00260504201680678,0.006134453781512561,0.00042016806722688926,0.00588235294117645,0.03226890756302514,0.012016806722689122,0.026050420168067134,0.014705882352941124,0.026218487394957912,0.0235294117647058,0.032184873949579806,0.014789915966386569,0.005966386554621783
405,69,DCP,bupa,-0.02857142857142858,-0.0117647058823529,-0.011428571428571455,-0.008403361344537785,0.0032773109243696696,-0.0026890756302521135,-0.00546218487394956,0.01789915966386557,0.023613445378151243,0.00588235294117645,0.026302521008403357,0.023361344537815132,0.017731092436974794,0.023445378151260465,0.0001680672268906669,0.020420168067226907
406,79,DCP,bupa,-0.03159663865546225,-0.017478991596638682,-0.01436974789915968,-0.01134453781512601,-0.00546218487394956,0.006050420168067117,-0.011428571428571455,0.02067226890756302,0.006050420168067117,0.008823529411764675,0.02050420168067224,0.017563025210084016,0.014957983193277347,0.034957983193277364,-0.011512605042016788,0.0235294117647058
407,89,DCP,bupa,-0.03176470588235292,-0.00873949579831923,-0.008823529411764675,0.002941176470588225,0.014705882352941235,0.014537815126050457,-0.00873949579831923,0.014621848739495902,0.014621848739495902,0.008655462184874008,0.029075630252100915,0.008739495798319452,0.0031092436974790028,0.02899159663865558,0.0028571428571428914,0.037983193277311034
