,dataset,accuracy_mean_easy,accuracy_mean_hard,accuracy_mean_combo,accuracy_mean_combo_extreme,accuracy_mean_split2,accuracy_mean_split2_extreme,accuracy_mean_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_mean_split4,accuracy_mean_split4_extreme,accuracy_mean_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_mean_split9,accuracy_mean_split9_extreme,accuracy_mean_split4_classic,accuracy_mean_split4_classic_extreme,weights
19,bupa,0.9894736842105263,0.38421052631578945,0.9368421052631579,0.9736842105263158,0.9894736842105263,0.9,0.9842105263157894,0.9526315789473684,0.9842105263157894,0.9947368421052631,0.9789473684210527,0.8789473684210526,0.7631578947368421,0.9263157894736842,0.9578947368421052,0.9894736842105263,Hostility
19,bupa,0.4052631578947368,0.15263157894736842,1.0,1.0,0.9947368421052631,0.9947368421052631,0.9368421052631579,0.9842105263157894,0.9421052631578948,0.9842105263157894,0.9789473684210527,0.9842105263157894,1.0,0.9526315789473684,0.7578947368421053,0.9947368421052631,kDN
19,bupa,0.0,0.06315789473684211,0.3736842105263158,0.3368421052631579,0.9578947368421052,0.9157894736842105,0.3473684210526316,0.9947368421052631,0.9,0.7631578947368421,0.9736842105263158,0.9526315789473684,0.9368421052631579,0.9842105263157894,0.6578947368421053,0.9894736842105263,DCP
19,bupa,0.9210526315789473,0.3263157894736842,0.46842105263157896,0.6894736842105263,0.9789473684210527,0.8947368421052632,0.968421052631579,0.9842105263157894,0.9789473684210527,0.8736842105263158,0.7736842105263158,0.968421052631579,1.0,0.9947368421052631,0.9,0.6526315789473685,TD_U
19,bupa,0.17894736842105263,0.0,0.9894736842105263,0.968421052631579,0.9947368421052631,0.9894736842105263,0.9894736842105263,0.9789473684210527,1.0,1.0,0.9894736842105263,0.9947368421052631,0.9736842105263158,0.9789473684210527,0.9947368421052631,1.0,CLD
19,bupa,0.9421052631578948,0.07368421052631578,0.9947368421052631,0.9421052631578948,0.9526315789473684,0.6947368421052632,0.968421052631579,0.968421052631579,0.8947368421052632,0.9052631578947369,0.9789473684210527,0.9526315789473684,0.9894736842105263,0.5157894736842106,1.0,0.9631578947368421,N1
19,bupa,0.5105263157894737,0.17894736842105263,1.0,0.7842105263157895,0.9894736842105263,0.5,0.9631578947368421,0.9473684210526315,0.968421052631579,1.0,0.9842105263157894,0.7052631578947368,1.0,0.9842105263157894,0.9842105263157894,0.9789473684210527,N2
19,bupa,0.5526315789473685,0.3473684210526316,0.9894736842105263,0.9894736842105263,0.9210526315789473,0.9842105263157894,0.9894736842105263,0.9842105263157894,0.9526315789473684,0.8,0.9736842105263158,0.9894736842105263,0.9736842105263158,0.9842105263157894,0.9789473684210527,1.0,LSC
19,bupa,0.9947368421052631,0.33157894736842103,0.968421052631579,0.9526315789473684,1.0,1.0,0.9631578947368421,0.9631578947368421,0.9157894736842105,0.9842105263157894,0.5789473684210527,0.9157894736842105,0.7789473684210526,0.9631578947368421,0.9947368421052631,0.6157894736842106,F1
26,hill_valley_without_noise_traintest,0.0,0.18421052631578946,0.29473684210526313,0.05263157894736842,0.4842105263157895,0.6842105263157895,0.5263157894736842,0.8,0.37894736842105264,0.9578947368421052,0.3894736842105263,0.9736842105263158,0.4421052631578947,0.9578947368421052,0.4789473684210526,0.9947368421052631,Hostility
26,hill_valley_without_noise_traintest,0.0,0.9789473684210527,0.11578947368421053,0.2894736842105263,0.9842105263157894,0.6,0.4,0.17894736842105263,0.8736842105263158,0.7473684210526316,0.8105263157894737,0.968421052631579,0.531578947368421,0.6263157894736842,0.8894736842105263,0.9736842105263158,kDN
26,hill_valley_without_noise_traintest,0.0,0.2894736842105263,0.47368421052631576,0.33157894736842103,0.2789473684210526,0.9842105263157894,0.3736842105263158,0.6736842105263158,1.0,0.7473684210526316,0.5578947368421052,0.8157894736842105,0.8631578947368421,0.968421052631579,0.8105263157894737,0.9842105263157894,DCP
26,hill_valley_without_noise_traintest,0.031578947368421054,0.12105263157894737,0.2578947368421053,0.6684210526315789,0.2631578947368421,0.26842105263157895,0.3526315789473684,0.22105263157894736,0.8210526315789474,0.20526315789473684,0.7578947368421053,0.8736842105263158,0.26842105263157895,0.20526315789473684,0.8842105263157894,0.8631578947368421,TD_U
26,hill_valley_without_noise_traintest,0.0,0.0,0.9736842105263158,0.3894736842105263,0.8210526315789474,0.4789473684210526,0.9263157894736842,0.7578947368421053,0.9736842105263158,0.6736842105263158,0.868421052631579,0.968421052631579,0.9157894736842105,0.7210526315789474,0.9578947368421052,0.9315789473684211,CLD
26,hill_valley_without_noise_traintest,0.0,1.0,0.2894736842105263,0.03684210526315789,0.7578947368421053,0.6578947368421053,0.3263157894736842,0.07368421052631578,0.7894736842105263,0.8736842105263158,0.6842105263157895,0.9421052631578948,0.42105263157894735,0.9631578947368421,0.21578947368421053,0.8578947368421053,N1
26,hill_valley_without_noise_traintest,0.0,0.6421052631578947,0.3631578947368421,0.21578947368421053,0.7526315789473684,0.42105263157894735,0.4368421052631579,0.45789473684210524,0.7,0.9315789473684211,0.30526315789473685,0.9894736842105263,0.29473684210526313,0.48947368421052634,0.6789473684210526,0.2736842105263158,N2
