,n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_mean_hard,accuracy_mean_combo,accuracy_mean_combo_extreme,accuracy_mean_split2,accuracy_mean_split2_extreme,accuracy_mean_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_mean_split4,accuracy_mean_split4_extreme,accuracy_mean_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_mean_split9,accuracy_mean_split9_extreme,accuracy_mean_split4_classic,accuracy_mean_split4_classic_extreme
419,average,N1,bupa,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
399,9,N1,bupa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
400,19,N1,bupa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
401,29,N1,bupa,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
402,39,N1,bupa,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
403,49,N1,bupa,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
404,59,N1,bupa,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
405,69,N1,bupa,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
406,79,N1,bupa,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
407,89,N1,bupa,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
408,99,N1,bupa,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
409,109,N1,bupa,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
410,119,N1,bupa,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
411,129,N1,bupa,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1
412,139,N1,bupa,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1
413,149,N1,bupa,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1
414,159,N1,bupa,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1
415,169,N1,bupa,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1
416,179,N1,bupa,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1
417,189,N1,bupa,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1
418,199,N1,bupa,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0
566,average,N1,hill_valley_without_noise_traintest,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1
546,9,N1,hill_valley_without_noise_traintest,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
547,19,N1,hill_valley_without_noise_traintest,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
548,29,N1,hill_valley_without_noise_traintest,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1
549,39,N1,hill_valley_without_noise_traintest,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1
550,49,N1,hill_valley_without_noise_traintest,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
551,59,N1,hill_valley_without_noise_traintest,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
552,69,N1,hill_valley_without_noise_traintest,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1
553,79,N1,hill_valley_without_noise_traintest,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1
554,89,N1,hill_valley_without_noise_traintest,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0
555,99,N1,hill_valley_without_noise_traintest,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1
556,109,N1,hill_valley_without_noise_traintest,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1
557,119,N1,hill_valley_without_noise_traintest,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1
558,129,N1,hill_valley_without_noise_traintest,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
559,139,N1,hill_valley_without_noise_traintest,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1
560,149,N1,hill_valley_without_noise_traintest,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1
561,159,N1,hill_valley_without_noise_traintest,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1
562,169,N1,hill_valley_without_noise_traintest,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1
563,179,N1,hill_valley_without_noise_traintest,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0
564,189,N1,hill_valley_without_noise_traintest,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1
565,199,N1,hill_valley_without_noise_traintest,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1
482,average,N1,contraceptive_NS,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
462,9,N1,contraceptive_NS,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
463,19,N1,contraceptive_NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,29,N1,contraceptive_NS,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0
465,39,N1,contraceptive_NS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
466,49,N1,contraceptive_NS,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0
467,59,N1,contraceptive_NS,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0
468,69,N1,contraceptive_NS,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1
469,79,N1,contraceptive_NS,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
470,89,N1,contraceptive_NS,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
471,99,N1,contraceptive_NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,109,N1,contraceptive_NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,119,N1,contraceptive_NS,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
474,129,N1,contraceptive_NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,139,N1,contraceptive_NS,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
476,149,N1,contraceptive_NS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
477,159,N1,contraceptive_NS,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
478,169,N1,contraceptive_NS,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0
479,179,N1,contraceptive_NS,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1
480,189,N1,contraceptive_NS,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1
481,199,N1,contraceptive_NS,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
776,average,N1,teaching_assistant_LM,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
756,9,N1,teaching_assistant_LM,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
757,19,N1,teaching_assistant_LM,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0
758,29,N1,teaching_assistant_LM,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
759,39,N1,teaching_assistant_LM,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1
760,49,N1,teaching_assistant_LM,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1
761,59,N1,teaching_assistant_LM,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0
762,69,N1,teaching_assistant_LM,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0
