,n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_mean_hard,accuracy_mean_combo,accuracy_mean_combo_extreme,accuracy_mean_split2,accuracy_mean_split2_extreme,accuracy_mean_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_mean_split4,accuracy_mean_split4_extreme,accuracy_mean_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_mean_split9,accuracy_mean_split9_extreme,accuracy_mean_split4_classic,accuracy_mean_split4_classic_extreme
1330,15,N2,WineQualityRed_5vs6,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0
1331,50,N2,WineQualityRed_5vs6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1332,100,N2,WineQualityRed_5vs6,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1
1333,150,N2,WineQualityRed_5vs6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1334,199,N2,WineQualityRed_5vs6,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
0,average,N2,WineQualityRed_5vs6,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0
1380,15,N2,Yeast_CYTvsNUC,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1
1381,50,N2,Yeast_CYTvsNUC,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1
1382,100,N2,Yeast_CYTvsNUC,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1
1383,150,N2,Yeast_CYTvsNUC,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
1384,199,N2,Yeast_CYTvsNUC,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
1,average,N2,Yeast_CYTvsNUC,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1
80,15,N2,arrhythmia_cfs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,50,N2,arrhythmia_cfs,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
82,100,N2,arrhythmia_cfs,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1
83,150,N2,arrhythmia_cfs,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1
84,199,N2,arrhythmia_cfs,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
2,average,N2,arrhythmia_cfs,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
630,15,N2,bands,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1
631,50,N2,bands,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
632,100,N2,bands,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
633,150,N2,bands,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
634,199,N2,bands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,average,N2,bands,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
530,15,N2,banknote_authentication,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1
531,50,N2,banknote_authentication,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0
532,100,N2,banknote_authentication,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1
533,150,N2,banknote_authentication,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1
534,199,N2,banknote_authentication,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
4,average,N2,banknote_authentication,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1
280,15,N2,breast-w,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
281,50,N2,breast-w,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
282,100,N2,breast-w,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
283,150,N2,breast-w,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
284,199,N2,breast-w,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,average,N2,breast-w,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
680,15,N2,bupa,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
681,50,N2,bupa,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
682,100,N2,bupa,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
683,150,N2,bupa,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1
684,199,N2,bupa,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1
6,average,N2,bupa,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
730,15,N2,contraceptive_LS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,50,N2,contraceptive_LS,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
732,100,N2,contraceptive_LS,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
733,150,N2,contraceptive_LS,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1
734,199,N2,contraceptive_LS,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1
7,average,N2,contraceptive_LS,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
780,15,N2,contraceptive_NL,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1
781,50,N2,contraceptive_NL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
782,100,N2,contraceptive_NL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
783,150,N2,contraceptive_NL,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
784,199,N2,contraceptive_NL,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0
8,average,N2,contraceptive_NL,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830,15,N2,contraceptive_NS,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
831,50,N2,contraceptive_NS,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
832,100,N2,contraceptive_NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833,150,N2,contraceptive_NS,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1
834,199,N2,contraceptive_NS,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,average,N2,contraceptive_NS,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
880,15,N2,credit-g,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1
881,50,N2,credit-g,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1
882,100,N2,credit-g,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1
883,150,N2,credit-g,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
884,199,N2,credit-g,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1
10,average,N2,credit-g,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1
380,15,N2,diabetes,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
381,50,N2,diabetes,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1
382,100,N2,diabetes,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0
383,150,N2,diabetes,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0
384,199,N2,diabetes,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1
11,average,N2,diabetes,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1
180,15,N2,diabetic_retinopathy,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1
181,50,N2,diabetic_retinopathy,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1
182,100,N2,diabetic_retinopathy,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
183,150,N2,diabetic_retinopathy,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
184,199,N2,diabetic_retinopathy,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
12,average,N2,diabetic_retinopathy,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
930,15,N2,hill_valley_without_noise_traintest,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
931,50,N2,hill_valley_without_noise_traintest,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
932,100,N2,hill_valley_without_noise_traintest,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0
933,150,N2,hill_valley_without_noise_traintest,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0
934,199,N2,hill_valley_without_noise_traintest,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1
13,average,N2,hill_valley_without_noise_traintest,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
330,15,N2,ilpd,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1
331,50,N2,ilpd,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1
332,100,N2,ilpd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
333,150,N2,ilpd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
334,199,N2,ilpd,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1
14,average,N2,ilpd,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
430,15,N2,ionosphere,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
431,50,N2,ionosphere,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
432,100,N2,ionosphere,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0
433,150,N2,ionosphere,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0
434,199,N2,ionosphere,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0
15,average,N2,ionosphere,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0
980,15,N2,mammographic,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
981,50,N2,mammographic,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
982,100,N2,mammographic,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
983,150,N2,mammographic,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
984,199,N2,mammographic,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,average,N2,mammographic,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1030,15,N2,phoneme,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1031,50,N2,phoneme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,100,N2,phoneme,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1033,150,N2,phoneme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1034,199,N2,phoneme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,average,N2,phoneme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,15,N2,pima,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1
31,50,N2,pima,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
32,100,N2,pima,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
33,150,N2,pima,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
34,199,N2,pima,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1
18,average,N2,pima,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
230,15,N2,segment,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
231,50,N2,segment,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
232,100,N2,segment,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1
233,150,N2,segment,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0
234,199,N2,segment,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
19,average,N2,segment,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
480,15,N2,sonar,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
481,50,N2,sonar,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
482,100,N2,sonar,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
483,150,N2,sonar,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0
484,199,N2,sonar,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
20,average,N2,sonar,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
1080,15,N2,spambase,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1081,50,N2,spambase,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1082,100,N2,spambase,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
1083,150,N2,spambase,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1
1084,199,N2,spambase,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
21,average,N2,spambase,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1
1130,15,N2,teaching_assistant_LH,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
