n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.812,0.4685,0.48945833333333333,0.46051147616154964,0.4493320158102767,0.5301546488651174,0.48239583333333336,0.47734614371455136,0.9841969128076762,0.8644791666666667,0.015652475842498518,0.03182335140183137,0.01412404741133988,0.017385494089080623,0.021368963906775087,0.00638678050820373,0.024449499358970967,0.008561863180526784,0.00037178255162155635,0.00814500741763525,"[[813, 158, 29], [124, 728, 148], [18, 87, 895]]","[0.329721436062077, 0.5628075008812916, 0.48604563379828225]","[0.40899746694657857, 0.5567576860251096, 0.4841437574502446]","[0.3648903248024339, 0.5401407321534988, 0.4545024143800916]","[0.39964083693775476, 0.5014248293635307, 0.43321877037779544]","[0.44578749696680775, 0.5817054412593772, 0.5478661089782056]","[0.39600384219141216, 0.5536364998410965, 0.4778800066279659]","[0.42440620832089804, 0.5291035842311655, 0.46454823002766615]","[0.9852168724173535, 0.9951097283764406, 0.9698583729433008]","[0.8708987699720308, 0.9107685890341868, 0.801541870826379]","[0.022442494231157864, 0.033983322649231776, 0.05799114215158808]","[0.016599492203927275, 0.017299323761488242, 0.009005317585872991]","[0.02285834543866995, 0.013176365583994293, 0.02493112553056968]","[0.01832849740372482, 0.026353080227282593, 0.015916172840379855]","[0.011216808878120358, 0.010734952606407246, 0.006829054785812495]","[0.025588562079185376, 0.027492547910689082, 0.015699189054535708]","[0.01162735759549191, 0.011374120795601123, 0.005900211052761872]","[0.0029834589691417964, 0.0005053749764112656, 0.002848833380297719]","[0.014015180031398337, 0.00755134496652055, 0.008992449934958513]"
0,DCP,0.7996666666666667,0.4814166666666667,0.504725,0.5181563659520408,0.46726482213438736,0.49280143407979304,0.5092430555555556,0.496724692164418,0.9865580934501459,0.8686041666666666,0.004314059701848308,0.014715472771504442,0.008879185241651124,0.005909722361146337,0.018963631144732956,0.008615890771367948,0.01369696826388648,0.010022112913858645,0.0010182961731227788,0.0038630247306281093,"[[822, 160, 18], [128, 758, 114], [34, 147, 819]]","[0.3633604029918082, 0.48307954275380566, 0.627982011968397]","[0.424024089454463, 0.5069231694192752, 0.602181965865495]","[0.4333267795297527, 0.5146044163752201, 0.631103799089238]","[0.41005237697212993, 0.5031835720701735, 0.4717555407086368]","[0.39373936234498585, 0.4860867878415208, 0.6294928688554464]","[0.42479497575705133, 0.5086809955331367, 0.6169853275104658]","[0.4415621425917002, 0.5066662756281372, 0.546934306201621]","[0.9828877717358864, 0.9938860600022169, 0.9771395325068873]","[0.8638012640725691, 0.8946797908004396, 0.8262480818307211]","[0.05674985159218295, 0.024743454188736136, 0.054715099209894105]","[0.024144954321411595, 0.019115226941168687, 0.01995026366035836]","[0.027502836491631478, 0.02219524172540087, 0.01793070717573886]","[0.015887245829165342, 0.024065415197259514, 0.017882255279622745]","[0.02046568944565004, 0.016713464843313305, 0.007201422907289931]","[0.026944903463585808, 0.0222002081053558, 0.02141446642445679]","[0.008738800835562123, 0.016725699461124358, 0.014675465328970863]","[0.0018809869013797704, 0.0010115762550772084, 0.0030675391125210305]","[0.004952213415374562, 0.009278362362450906, 0.012937370164356721]"
0,F1,0.8533333333333333,0.11000000000000001,0.16205,0.15038507522041983,0.40474390645586295,0.1609467769883727,0.15953472222222223,0.2643771629701461,0.9510858364622445,0.827125,0.017118865486811755,0.0128188500524293,0.009266801557771221,0.01200382318303746,0.025701526587234298,0.01000624491700289,0.01237937555142462,0.00904666523945844,0.0033618360168659227,0.0077074886924629795,"[[855, 125, 20], [122, 805, 73], [21, 79, 900]]","[0.08581655744794713, 0.13990449359275658, 0.10189413207213685]","[0.15803507423964291, 0.20480608738235356, 0.1187893156016178]","[0.1421428974158982, 0.19605593616352457, 0.10818155885667972]","[0.37828860827127725, 0.49569632652374623, 0.33009737664163097]","[0.15619213272885912, 0.18042380431140106, 0.1442766093563305]","[0.1604700526051702, 0.19946673112820626, 0.11438276059303136]","[0.27387747925253975, 0.31412871490314415, 0.19939592387669908]","[0.9712554337234142, 0.9809649134755538, 0.8968960061614327]","[0.8177675347561465, 0.8760356540499783, 0.7819591660858995]","[0.013941795650290158, 0.007994841417003656, 0.015279747745853254]","[0.009556469981155348, 0.008955217313382738, 0.01932334481261609]","[0.010667841776108175, 0.009115284760148768, 0.020191816434776508]","[0.02274363732822993, 0.02840010518556666, 0.02066550673448613]","[0.010142526751612943, 0.010136597768470458, 0.017400755650966264]","[0.01841402666751307, 0.011058999411187884, 0.025640297937362302]","[0.008792244753903873, 0.009407245045342034, 0.016273156211469835]","[0.004276421316421257, 0.0005962476215481488, 0.007046204760499621]","[0.005451248679729787, 0.012434961213449624, 0.005318703579394004]"
0,Hostility,0.791,0.4528333333333333,0.4753833333333334,0.4226415420736759,0.4767694334650857,0.43738254110935476,0.48272916666666665,0.49077367266646876,0.9946325615352525,0.9005208333333334,0.03294777011507084,0.037835765340334934,0.03808711004249191,0.03693504219255496,0.024150444275304966,0.03298523002472665,0.04532907051206381,0.024146411909110058,0.00196536486399647,0.009196211855976329,"[[815, 168, 17], [117, 770, 113], [57, 155, 788]]","[0.34229996237612514, 0.4659219545312109, 0.5692601724180697]","[0.4193186020068433, 0.4840826961947329, 0.530257343618646]","[0.35166985414657936, 0.44680952492462467, 0.4677504288906988]","[0.44907350650416883, 0.5065995981193232, 0.4563279111073024]","[0.36253297228387943, 0.4423254707717457, 0.5219328307486188]","[0.4229206904986701, 0.4954958182088728, 0.5345955969102338]","[0.45820095054472043, 0.5015320413464714, 0.5121337260702433]","[0.9945850596474397, 0.9955469681714562, 0.9930374961378753]","[0.9198546700190958, 0.9069053786954309, 0.8646503134020198]","[0.06779820611719989, 0.0333155160870068, 0.07444691506600647]","[0.036707774390992334, 0.028751361587318336, 0.04863866158102145]","[0.03650209158812986, 0.0269753202792297, 0.05508334683868552]","[0.027197868892870555, 0.023966577863794653, 0.021108151399826355]","[0.027593951960331438, 0.02606003330103524, 0.04368868522005552]","[0.04502276562610662, 0.037277390045351355, 0.0455185680076999]","[0.021757834218348204, 0.01894481497694603, 0.03043186482353984]","[0.0017199055958209842, 0.001300503924755082, 0.003084037069890117]","[0.011284192323499889, 0.010516933429654653, 0.008846952428805838]"
0,LSC,0.853,0.10225,0.151625,0.14372080709347138,0.39867061923583663,0.15345254054409682,0.1534097222222222,0.25709911455703954,0.9508321860659159,0.7931874999999999,0.008449194570424414,0.004203999418543145,0.004394895239555385,0.006378917228778647,0.02096993724699355,0.0042290754058789196,0.006535963765043602,0.0035600007109208884,0.0026922628222951117,0.007723310337507101,"[[854, 126, 20], [112, 810, 78], [18, 87, 895]]","[0.07259118555888926, 0.13265885600415098, 0.09966042831862178]","[0.13623013470969575, 0.1956752815088471, 0.118177100614379]","[0.12806065174057477, 0.18879942848609077, 0.10951406822166984]","[0.3596800621225544, 0.4964620730585859, 0.32981553795356017]","[0.13749948383704072, 0.17197198725374224, 0.14954287869976066]","[0.13546270104808047, 0.20129881431778798, 0.11839055104664116]","[0.2498041983106139, 0.3062589124020215, 0.20936250701917417]","[0.963075276540329, 0.9792215206646626, 0.9052848650150667]","[0.7620829708756535, 0.8499250279090882, 0.7624740969671173]","[0.010245545585231358, 0.01095885194100653, 0.013663592569456411]","[0.0065392152459724, 0.0074206202444896535, 0.00879967896081712]","[0.0030305396726293195, 0.01039046427986919, 0.009443833194416924]","[0.017248626721004214, 0.028574116732550548, 0.01404969546085364]","[0.004181321111290407, 0.010980696451005917, 0.006819085778242436]","[0.00797113052240937, 0.007466143601723922, 0.012406544987787517]","[0.004758112341681734, 0.0061259418660432295, 0.008865659613389223]","[0.004820821836080927, 0.0019041377880691347, 0.004191584770454962]","[0.011414143784760477, 0.016063241709679682, 0.003937160483036104]"
0,N1,0.6656666666666666,0.5049166666666667,0.5566833333333333,0.49167196015455206,0.49759486166007905,0.4971821158113346,0.787923611111111,0.6147838264970499,0.9994239674593242,0.8936666666666667,0.030336080461684213,0.016560599995840194,0.0051499730312130855,0.010563160204042852,0.022362273220288168,0.0057316433802306705,0.009337611918198173,0.006990895562179307,0.00013368473978018166,0.009060224810186075,"[[628, 322, 50], [138, 654, 208], [119, 166, 715]]","[0.3671079379649006, 0.5065079591061241, 0.6783236727859794]","[0.4946765106848122, 0.5500390179677718, 0.6482843792428911]","[0.4044690854363462, 0.4936776125747403, 0.5991868576690373]","[0.477638292156056, 0.5125924238757834, 0.4931536553246317]","[0.41031029942802777, 0.482481682948778, 0.6355883798020706]","[0.7567183985878448, 0.7848067926476325, 0.8333933134059064]","[0.5838833938197737, 0.6165518009189022, 0.6505606756216922]","[0.9993058630954502, 0.9995923731008999, 0.9992418344812908]","[0.9191391244199079, 0.8996321369980598, 0.8500318111400075]","[0.04187874301366316, 0.017384104478198773, 0.05906354651895808]","[0.010982483852484331, 0.011259436754737399, 0.012476761118486756]","[0.023024313053546498, 0.011906761594866032, 0.027760396665068954]","[0.01619187573569213, 0.02402812623917526, 0.023180938495164595]","[0.011423730861557953, 0.010797798536678954, 0.014341547687976979]","[0.008467410414921956, 0.015945186469460557, 0.011351576931693239]","[0.007528226397259381, 0.008860711664119973, 0.0024361447641867867]","[0.00016884241470350702, 7.12115594018783e-05, 0.0004784397804114182]","[0.009969094982834598, 0.011143044784504058, 0.0038753126501278835]"
0,N2,0.8540000000000001,0.24408333333333335,0.3081916666666667,0.2718183243289813,0.4462320487483531,0.2808560513776495,0.35085416666666663,0.42240027511454176,0.9787768043387569,0.8427291666666668,0.008708233651742022,0.005873374479613731,0.0068410525505948295,0.00902602913119697,0.021178743554456207,0.007278363232535828,0.015204797280447595,0.007126438057435635,0.0006355841939947743,0.005667470837546877,"[[858, 127, 15], [120, 804, 76], [19, 81, 900]]","[0.16860402280195977, 0.2769937145576046, 0.2900798779861738]","[0.2619642902557482, 0.3450308109328112, 0.30941977504851553]","[0.21889648118776753, 0.3129534080254897, 0.2752250760507589]","[0.41132760891382186, 0.5102256624507016, 0.38961268703880014]","[0.2306935638488843, 0.2930080746212136, 0.32636823331568077]","[0.3023731889004566, 0.39428870348886724, 0.3445353500963676]","[0.3947522761067618, 0.45801836755933734, 0.40140921008030556]","[0.9812840940258962, 0.9910430724526863, 0.9560781298309736]","[0.829289047135139, 0.8760287747106961, 0.8073425295920224]","[0.01581907603370134, 0.014525740631002558, 0.023489398606406774]","[0.008501247677427005, 0.013395101579302847, 0.012422645141182138]","[0.010315177394178606, 0.011643698930055981, 0.01156522874696385]","[0.016552150464592644, 0.02732209716604602, 0.01807180629765161]","[0.011855515062982458, 0.011228581751840345, 0.015175023556071124]","[0.02058048447895008, 0.019128607564759197, 0.017994854452921004]","[0.010718998764077175, 0.008559581959333701, 0.012947213353061492]","[0.002092229250684056, 0.0007219743420912236, 0.0026834773097762165]","[0.009682850789517129, 0.0059202558097622565, 0.004360521418275173]"
0,TD_U,0.8699999999999999,0.11433333333333333,0.17479166666666665,0.1587612958175076,0.4486584321475625,0.16291399108602356,0.1737361111111111,0.27750218846000474,0.9562979766374635,0.8068333333333333,0.00849836585598799,0.007831781761231315,0.006605513795307672,0.004876658036340649,0.025973863105425474,0.007072132235772423,0.010711808369349542,0.005951569877823012,0.0019357111943627545,0.0076072339704097314,"[[873, 110, 17], [104, 823, 73], [18, 68, 914]]","[0.07681006449013057, 0.12682480861853443, 0.13886100524952041]","[0.16462075427387077, 0.19401756405920162, 0.15601052556735998]","[0.13947780782400782, 0.18296636780122158, 0.14300842661093788]","[0.4189312713783469, 0.5296306089081035, 0.3554966400086898]","[0.14600702861118853, 0.16521938518050533, 0.17852732636101032]","[0.1616561518654845, 0.19532763821131863, 0.15315968314851697]","[0.27670885162182535, 0.30622337367711605, 0.2331066436535809]","[0.9703700078040571, 0.9801969588883189, 0.9031213170014043]","[0.7928751394353354, 0.8420746157695488, 0.7673542779133915]","[0.010091551263782153, 0.015241292642961994, 0.02399862016731776]","[0.008263263426282672, 0.00986087388425377, 0.006276556273594827]","[0.002361908156332535, 0.007323972255665047, 0.006786667605788647]","[0.026552590447626062, 0.033356856693994116, 0.01238764746220493]","[0.007249232019126195, 0.009690448330065158, 0.006681858489532184]","[0.015037282859116692, 0.014497938528488201, 0.00661346810601398]","[0.01218561047937578, 0.006678455248093876, 0.004982501581731994]","[0.004956708577748382, 0.0013003345108285836, 0.007957827282833061]","[0.014874462464737294, 0.009029170565847776, 0.005346872352515784]"
0,Uniform,0.8633333333333333,0.09033333333333333,0.140475,0.13421326081156842,0.3924109025032938,0.1427732321290004,0.13888194444444443,0.2456475280678098,0.9421249478514809,0.7839166666666666,0.013994046353122225,0.006636651180293343,0.007231753859810836,0.007131008298110923,0.02354076881650174,0.004443041884315386,0.013265443117200383,0.007076240511321799,0.003243112588541247,0.00923817985394792,"[[879, 105, 16], [105, 808, 87], [19, 78, 903]]","[0.06455139898326147, 0.12335838570455451, 0.08287562249605122]","[0.1323587194890738, 0.18631695698476347, 0.10262689786734822]","[0.12364305608649592, 0.18271638857627964, 0.09622073156673608]","[0.35789739054717856, 0.49744246532296776, 0.32087577821975466]","[0.13283686890718507, 0.16447173037514345, 0.13082935112286803]","[0.12609938149172756, 0.1899702805656315, 0.10020772662323078]","[0.248357748416504, 0.2977191450132856, 0.19114959311171917]","[0.9622485523278366, 0.9787078436769265, 0.8862296840231438]","[0.758104492253152, 0.8460300111261368, 0.7471518894671465]","[0.016234068026495605, 0.012107915758860287, 0.013010499856943938]","[0.007978501572670983, 0.00809312008584679, 0.0068685250369663895]","[0.007083665700866273, 0.007284766014929975, 0.009228080866138381]","[0.017685375922977923, 0.03281072088106121, 0.015766763649066682]","[0.007235086097173005, 0.0059905902358521335, 0.004343289652393868]","[0.010428738645983994, 0.016004076222140853, 0.010571200520018156]","[0.006616669541453443, 0.008364555475452751, 0.0079531536017233]","[0.005058271602503137, 0.002301835852695501, 0.006333339410814534]","[0.012654909714557362, 0.01367005532729182, 0.007557557724410207]"
0,kDN,0.788,0.49433333333333335,0.554525,0.47767604674292174,0.48827602108036894,0.4948933423533141,0.543861111111111,0.5323335841082361,0.998226533166458,0.8950833333333333,0.03657944170644975,0.02141399140229996,0.008659582441177816,0.010672274627330617,0.017852024372740766,0.007070520217035944,0.017496441299316656,0.006872762464169777,0.00010354495210112778,0.008087989960257195,"[[787, 196, 17], [126, 756, 118], [84, 95, 821]]","[0.37375123076717487, 0.49972214533925746, 0.6349060455132459]","[0.4956844037799918, 0.5555508119641195, 0.6245501451027788]","[0.4000273705136407, 0.4874855709800629, 0.554436302022925]","[0.45768134299987473, 0.5141092216356051, 0.4786176369456915]","[0.4153500135707045, 0.48343168609635656, 0.6128474937586036]","[0.4795826784692263, 0.5440650478209521, 0.6226590470426869]","[0.495567811619208, 0.5355574278028732, 0.5716159762363632]","[0.997973874665945, 0.9984130482423115, 0.9982140967424746]","[0.915875938669734, 0.9022159092002022, 0.8570943897111863]","[0.05496432222163855, 0.007533903481010087, 0.07486499775734108]","[0.015889652997664257, 0.010992685136655508, 0.02349993399195807]","[0.0238386492192426, 0.012563711954815744, 0.031193701588287794]","[0.013767946095994738, 0.018468987255748588, 0.025742872227919916]","[0.005622153470315026, 0.007505877041950139, 0.01834150361873532]","[0.019105542880354095, 0.01855374497322544, 0.02541252133352953]","[0.00833841111815449, 0.007705630696364761, 0.007315085714248874]","[0.0001534783223156227, 0.00010448092436684408, 0.00039979608649132664]","[0.00919131676041548, 0.0075131843673496975, 0.010645291232529564]"
