n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Averaged_measures,0.875,0.031083333333333334,0.060083333333333336,0.07396509568706619,0.3661758893280632,0.08164874689335158,0.05470833333333334,0.17831054562546275,0.9221816854401336,0.7363333333333333,0.011242281302693394,0.0019676198255196,0.006386563586502873,0.005644351939133467,0.02257579563064126,0.003803180795278733,0.006640646559514747,0.004569921375276671,0.006543090009082254,0.010169835998486487,"[[870, 110, 20], [88, 862, 50], [14, 93, 893]]","[0.016459377648952122, 0.05810135237104015, 0.018719371805614053]","[0.05055661264566732, 0.09987071077974885, 0.0294675928583035]","[0.06907242769172359, 0.11385550284180054, 0.03852010701342147]","[0.31662325321039136, 0.4856294435633254, 0.2954503139950205]","[0.0775426573502942, 0.09672378712154217, 0.0704122526988447]","[0.04153198195291084, 0.09687924657214883, 0.025374266200414986]","[0.17905106601199608, 0.22989582111901177, 0.1251794626091152]","[0.9462845687503336, 0.9706227650465514, 0.8484925521103278]","[0.6922915613509261, 0.8123998427827818, 0.704433927171922]","[0.005038844725921691, 0.005290963970484132, 0.005631844481422155]","[0.005455885986471594, 0.010209780955847687, 0.00435809480759623]","[0.005494194991083902, 0.009834591686028214, 0.003155329676260907]","[0.019286381305022065, 0.0337706230268679, 0.014049517272794724]","[0.00547153807421904, 0.005593572798254333, 0.0029129332551429362]","[0.005766777330270551, 0.010213657103042097, 0.004622546528076352]","[0.00941694915329173, 0.006947861383118848, 0.0022908371807040763]","[0.009345464805303126, 0.0026171106154651122, 0.013840703769671342]","[0.007241838409420408, 0.020610553479637157, 0.00865491101365734]"
0,Uniform,0.85,0.09258333333333332,0.1373666666666667,0.13123937043377562,0.39075345849802373,0.14135261031164967,0.13727083333333331,0.2441277572808243,0.9404780976220275,0.7802291666666668,0.008079466429027182,0.00395723669019459,0.004224021911769763,0.0032352955719542583,0.018376894592306386,0.0025032725730916488,0.009223002654812533,0.006185288961464417,0.002835170128613131,0.005419370318844983,"[[861, 122, 17], [114, 800, 86], [18, 93, 889]]","[0.061646760433700064, 0.12954025845131148, 0.08605929342881927]","[0.12437910531789562, 0.18775387423938011, 0.10063291113137215]","[0.11783452141712862, 0.1807499782705389, 0.09570564444615696]","[0.35592819436168216, 0.4977717924645143, 0.3203565559837487]","[0.1274968816764599, 0.16439429299384872, 0.13213460404046265]","[0.12563841603048015, 0.18676745005818451, 0.09995921778437807]","[0.24650921363145284, 0.2963426730123519, 0.19077509159222858]","[0.9607837810962554, 0.9772993865319789, 0.8849924385217326]","[0.7553595021298414, 0.841858999357678, 0.7440644307286661]","[0.006457534771843761, 0.013912836380872526, 0.016431653641239313]","[0.005140094036814168, 0.006081113932915396, 0.006902190079251599]","[0.003793150400630985, 0.0045449252561547155, 0.00969936669803587]","[0.018268938053225967, 0.029275157064930203, 0.011852399998797804]","[0.002632557689449821, 0.005886392502359384, 0.008327641843288266]","[0.008968264972952467, 0.01359584654910651, 0.009258019523119559]","[0.00918857634240492, 0.008887291750373463, 0.006014615593862464]","[0.006117390343618139, 0.0022414275268620326, 0.008790210172949267]","[0.011571714860022267, 0.011324986331791981, 0.00537598794737959]"
1,Averaged_measures,0.8806666666666667,0.028583333333333332,0.058516666666666675,0.07196920293827362,0.36702371541501977,0.07983283265355934,0.051131944444444445,0.1764839212334764,0.9220370254484773,0.7412708333333333,0.007321960878829613,0.0022165726797117318,0.0035066405258848223,0.004595263608150429,0.020739710694514135,0.0024390825491362447,0.004051549224534628,0.0025637897500225553,0.0037310326639152062,0.009706354859203235,"[[883, 98, 19], [90, 860, 50], [10, 91, 899]]","[0.016887218391508644, 0.04930664572092734, 0.019626652196409012]","[0.05478979556670205, 0.09358386578149143, 0.02750229969646531]","[0.07278799235080137, 0.10868547600160494, 0.03478995948574003]","[0.3193458894143408, 0.4871071266840339, 0.29523732671751135]","[0.0797788057102556, 0.09252485592365108, 0.06723824547782321]","[0.043166757660795974, 0.08761056073945307, 0.022836948417588022]","[0.18268892799419736, 0.22494207183355974, 0.12245508412400115]","[0.9480210006007639, 0.9704261428767141, 0.8487619960989331]","[0.6982450612193936, 0.8153655172724943, 0.7106876703170342]","[0.002443976685883628, 0.003450889473461485, 0.004766413166155076]","[0.00655434955402383, 0.00579849592273458, 0.0014215245235363518]","[0.004190828854421101, 0.007720712897675165, 0.003672294672570769]","[0.01813455076160943, 0.03472410166116745, 0.012154822166515636]","[0.0032811924209943505, 0.005196557742215071, 0.0026858027886587084]","[0.010239539945204603, 0.008518171791129934, 0.003925240907762734]","[0.00828490609243252, 0.003927840707808647, 0.0027930880994580373]","[0.007579311266999453, 0.0026181683058321592, 0.010290575596302701]","[0.019938762346725748, 0.01807975083856229, 0.006847113841562527]"
1,Uniform,0.8483333333333334,0.09233333333333334,0.13693333333333335,0.13261413845418155,0.3902817852437418,0.14311142638935354,0.13693055555555556,0.24255616800991522,0.9400341051314143,0.7791041666666667,0.006009252125773325,0.004316071387526188,0.0038847994371224094,0.0047948309737342295,0.021712216688135978,0.002240131764335511,0.003444297431898518,0.0015775783832399737,0.0029786265965159923,0.008391269955038609,"[[859, 126, 15], [114, 798, 88], [19, 93, 888]]","[0.06524181804337323, 0.12479274076459985, 0.08852936408671641]","[0.12657673173202647, 0.1863332235311897, 0.09988443721688076]","[0.12091622620389042, 0.1820082371639808, 0.09688925962774195]","[0.35660817386243693, 0.5005125563623557, 0.3181661641917109]","[0.13185419417276156, 0.16610684146498142, 0.13251791283438905]","[0.12606476328040067, 0.1851596494120118, 0.1015984106483295]","[0.24432256388430978, 0.2961762465958794, 0.1892795602243969]","[0.960533248048493, 0.9785519583306337, 0.8823050073517124]","[0.7538283622146726, 0.8398842614298434, 0.7458552610218272]","[0.012924845104600699, 0.008800029823671764, 0.009767020544072476]","[0.0028064353034330104, 0.011098296364447795, 0.007034767606132937]","[0.0027574448999043806, 0.008450750959025338, 0.009625769270757187]","[0.0204952572246762, 0.029932661697859082, 0.017284285274439766]","[0.003925863627976588, 0.007933961495028627, 0.007658020141610826]","[0.002303956360700418, 0.008808958513125936, 0.010627616640333931]","[0.002478458576268911, 0.007660333271491827, 0.006221174042760583]","[0.004517946728835786, 0.0020859763941809225, 0.007949363194282301]","[0.007221158004951668, 0.018873737214204912, 0.006357091360664921]"
2,Averaged_measures,0.8939999999999999,0.027000000000000003,0.05788333333333333,0.07186480339076586,0.3673071475625823,0.07752595830594397,0.05178472222222221,0.17746675429826847,0.9213794326241134,0.7395208333333333,0.008465616732800173,0.0026581896512894304,0.004664657305502492,0.004129332949776973,0.02126955985426195,0.003571636539929736,0.004408669493764177,0.003316174277720248,0.0045381851483715496,0.009823916306505361,"[[900, 85, 15], [94, 875, 31], [12, 81, 907]]","[0.016489218548925034, 0.04132221658799924, 0.022765404103883426]","[0.05088384731737191, 0.09202998311196256, 0.03060470685717117]","[0.07158360313827053, 0.10528036112512831, 0.03880168114189803]","[0.3155338354401528, 0.48898693298019336, 0.2964471881362486]","[0.07565934571230411, 0.08822201046869586, 0.06860007962408562]","[0.04273626153353816, 0.08582799686781163, 0.026777595771110718]","[0.18242506036075976, 0.22642286248220436, 0.12381736032115376]","[0.9467279594828014, 0.9706955518603049, 0.8475252488806729]","[0.6928001288047331, 0.8129911527523698, 0.7113709572733349]","[0.00409065724274043, 0.0027112485097856957, 0.007070801187180099]","[0.0035156682448638896, 0.008832817018826435, 0.004340099722069166]","[0.0024734537458877006, 0.005970379500125986, 0.005885235913014226]","[0.015994330630376617, 0.03450597065220929, 0.01572106157082802]","[0.004262859616413651, 0.003510138758249503, 0.004112691062573364]","[0.002915431494203348, 0.012171345267897439, 0.005591145797214462]","[0.005361177442390851, 0.00971894611398459, 0.005975137714802322]","[0.008315129138529057, 0.002303642820091523, 0.013184568097872119]","[0.017913955839743315, 0.019071432935104517, 0.004661494162373997]"
2,Uniform,0.8706666666666667,0.09025,0.1343666666666667,0.12953171919744227,0.3894701910408432,0.14033256809647837,0.135625,0.24074080579520513,0.939328431372549,0.7805208333333333,0.009174239296348594,0.0031814348614701794,0.004422401936605149,0.004867700904878439,0.023257360852660763,0.004134810222751063,0.006749878542574386,0.0032919781695299674,0.0027030784127453117,0.007969600989419467,"[[885, 99, 16], [112, 821, 67], [13, 81, 906]]","[0.06506536125858355, 0.12285500413132255, 0.08218551376388074]","[0.12770996999183046, 0.18274740823454816, 0.09386630855922472]","[0.12071730245834147, 0.17860510890224518, 0.09044548608971825]","[0.35511531105280814, 0.49836714375036095, 0.31733466018740314]","[0.13095792453522237, 0.16243760630630144, 0.12760312361863843]","[0.12958294904957857, 0.18237948232245346, 0.09596676112400299]","[0.24810585112745215, 0.2927042971268712, 0.1837717807500117]","[0.9616016506809819, 0.9778468163913276, 0.8813986237671511]","[0.7546879781362352, 0.8491217813899181, 0.7390466390197806]","[0.015387444228727627, 0.015885510774312734, 0.014237970979407825]","[0.0034146819233359885, 0.012304635811043081, 0.010317199047073762]","[0.002583407891152755, 0.009035901283023343, 0.011306097953930892]","[0.017634209644027544, 0.033853302437121785, 0.016188962640888493]","[0.005783171857763872, 0.010951434645559071, 0.010185320353027053]","[0.007720516039884546, 0.01412657601092659, 0.015013291093590909]","[0.002268868688256002, 0.0077200778129502, 0.007562701890007558]","[0.004065172871151939, 0.0015720784569618089, 0.007271917067694586]","[0.01498157248808289, 0.014268554242188852, 0.009482042439461743]"
3,Averaged_measures,0.8926666666666667,0.028333333333333332,0.05748333333333333,0.07214107737784756,0.3668025362318841,0.08013865336866885,0.05284027777777778,0.17590235408164187,0.9203453274926993,0.7388541666666667,0.013570801990548177,0.0011410886614690956,0.002768498389620864,0.0035258285986932026,0.021858332985001776,0.002739130141854307,0.005652922807312345,0.0052547895542917325,0.005904489093908725,0.011144859770564881,"[[898, 88, 14], [95, 875, 30], [12, 83, 905]]","[0.015343007203502766, 0.053666549866923416, 0.015596119096211466]","[0.04835855837746607, 0.09706024580291685, 0.026677833618806955]","[0.07091462189288442, 0.11057056894196098, 0.03456354902853832]","[0.3172181188423221, 0.4872462644066788, 0.2951308295228796]","[0.0773289584044992, 0.09585248825377904, 0.06702179712414244]","[0.0392009085030534, 0.09566843171754769, 0.023294345800865465]","[0.17820508532382345, 0.22722779412301689, 0.12174225770295022]","[0.9458484073953478, 0.9708277117525987, 0.843811931642328]","[0.6946583327965119, 0.8154888328153825, 0.7057954864691592]","[0.005050970039133965, 0.004181955056058795, 0.0024194140711598375]","[0.008613886231188812, 0.008414104778836567, 0.003847828898265624]","[0.008102120011141684, 0.009813099683997458, 0.004640248890938557]","[0.018204254624529036, 0.03364623491283904, 0.015912012366635316]","[0.004708911420978464, 0.006494446233912232, 0.005384880195130895]","[0.008419540634083782, 0.010567894376929132, 0.0026834812189700193]","[0.01352616466374558, 0.007531091924311282, 0.005030186024165683]","[0.009875766566800052, 0.002495144354493575, 0.015096242930558695]","[0.01653025716784911, 0.018628829522109123, 0.007425067868293956]"
3,Uniform,0.8736666666666666,0.09366666666666666,0.13873333333333332,0.13321162853646912,0.39307872200263505,0.1429572531802661,0.1392361111111111,0.24403763625905855,0.9415357738840218,0.7800625,0.007490735018081412,0.005114997013141309,0.009059103769750693,0.008722520910173625,0.024289739380902085,0.00524941493382864,0.012572729197872067,0.007761460234130252,0.0045635333731393595,0.01231649152728429,"[[889, 96, 15], [107, 824, 69], [9, 83, 908]]","[0.05897725545106691, 0.1303153998665913, 0.0911452983698012]","[0.1250623144075206, 0.18946406025465215, 0.10181287548820812]","[0.11791986543960624, 0.18558936490721828, 0.0963215449408195]","[0.3590816289850055, 0.49789878118593905, 0.32224554882040835]","[0.12861066704394455, 0.1656647296785574, 0.13439202512076226]","[0.12245283511838052, 0.1933586318899016, 0.10193973928977935]","[0.24050261705123469, 0.30016281301853087, 0.1918183183607842]","[0.9593528942827525, 0.9780879627183994, 0.8878558133481821]","[0.7521145739256004, 0.8374149306733006, 0.7504488797219001]","[0.0123775435905057, 0.007576595918496339, 0.015878740922348176]","[0.012739533440551412, 0.005270640225196688, 0.00994943344924064]","[0.008870015478122458, 0.005673155250284797, 0.011297303642056696]","[0.02443518037572369, 0.03026504367568509, 0.018073223790201685]","[0.008689690888163439, 0.0027394028832279076, 0.006156700066990332]","[0.01571846575499699, 0.006181697609201786, 0.012847344976581167]","[0.013321705800288327, 0.004486366402203891, 0.00684519745064544]","[0.008321924681542773, 0.0012692445154151018, 0.007555745865866753]","[0.013488321779324696, 0.016213802305852457, 0.009423271039144435]"
4,Averaged_measures,0.8960000000000001,0.03141666666666667,0.06091666666666666,0.07503614843795056,0.36796360342555995,0.08146177603178524,0.05552777777777777,0.17930959965390803,0.9211713600333751,0.7381041666666667,0.016691647944739034,0.0036751795118666586,0.005152534435703569,0.005256753636148219,0.025704478524919343,0.0033533230170119496,0.004267119546096525,0.004962899790090747,0.004750967824196593,0.012307193582977754,"[[909, 75, 16], [90, 877, 33], [15, 83, 902]]","[0.01960860517448369, 0.052745129983793236, 0.02165318349166678]","[0.052086463136809556, 0.1013034685386259, 0.028745690128881878]","[0.07440445094216977, 0.11325949140398497, 0.03693002489803902]","[0.32023873081524823, 0.4872721087984857, 0.2948386606958858]","[0.0784179320871207, 0.09724694061991943, 0.06855235336323666]","[0.04478780214811432, 0.0948554437875427, 0.02633268721346967]","[0.18108321065353056, 0.2309435279575076, 0.1251568768755935]","[0.9443828903477526, 0.9711555545745252, 0.8474142214838807]","[0.6882094283182575, 0.8144058284145768, 0.7104572061603724]","[0.004915744983665898, 0.004996132245469125, 0.00532522918993617]","[0.006778238880513379, 0.01150401565600782, 0.0032418680691000783]","[0.004783790096986336, 0.00890418148058502, 0.0037054160739745145]","[0.019784181888946775, 0.03727673311012614, 0.015091260094203097]","[0.004051951424678537, 0.006789809430494883, 0.0029818300009945573]","[0.006711031492501313, 0.009257190882375678, 0.003984401437674946]","[0.006582749533931921, 0.006990236043257886, 0.003048764957955594]","[0.008576622741288308, 0.0023683950394806762, 0.010798602958539075]","[0.014123200670716029, 0.022386266654375795, 0.008846376959373065]"
4,Uniform,0.882,0.09641666666666666,0.14148333333333335,0.13385764482611945,0.38982938076416335,0.1440989450233636,0.1402986111111111,0.2468384880820642,0.9419700667501043,0.7819583333333333,0.005451809077932042,0.0104731800328267,0.0064523897381771195,0.007947649405378482,0.02072289289607569,0.007032658728731696,0.007181945653108032,0.0032104881449258166,0.0030148656658353845,0.009044642367476761,"[[896, 91, 13], [111, 833, 56], [11, 72, 917]]","[0.06768551471218656, 0.13321308985262492, 0.08946790497208126]","[0.1307047832863646, 0.19629725985769517, 0.09876999148881357]","[0.12490373888424064, 0.18411234531384052, 0.0939777737851911]","[0.35481810426241334, 0.4979611133074841, 0.3194838733672533]","[0.13521345898493342, 0.1677463867575191, 0.12986620467933768]","[0.1282358589856548, 0.1955640644010425, 0.09853602179568229]","[0.24807677206757234, 0.30372527565902835, 0.19035192744161128]","[0.9612771655204295, 0.9792978528406188, 0.8866633528992407]","[0.7586651349643428, 0.8416513006385443, 0.7470547133220838]","[0.014636185267225836, 0.01668784985382701, 0.011410821500308782]","[0.0048133764713868725, 0.014833006226436274, 0.008409124410178555]","[0.004483810155735705, 0.01708380031825021, 0.004509052251413377]","[0.018250399229960763, 0.029881510670615796, 0.013622872022964347]","[0.004679198012695462, 0.01753894843315189, 0.006993805326847347]","[0.0064204982033864814, 0.019256598971190714, 0.009810872953148272]","[0.0047411742795469905, 0.009199395229663097, 0.00571077519977874]","[0.006422541058575184, 0.0013653602881551362, 0.003433539921560157]","[0.011644417338751602, 0.0136623455413991, 0.006542019422854633]"
