n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.8923333333333334,0.012750000000000001,0.04761666666666666,0.05577402039320809,0.3671903820816865,0.05417404248838657,0.04647222222222222,0.16702150062924986,0.9108622236128495,0.7128125,0.011820415484331399,0.004873397172404482,0.0013703836648504262,0.0031487639573594033,0.023123973777812334,0.0020262329376409703,0.0014439185073487344,0.0017164004777005225,0.005011304444896926,0.008760224680813469,"[[902, 81, 17], [86, 872, 42], [17, 80, 903]]","[0.005011895845001158, 0.02246843028786243, 0.01034000859266194]","[0.04356306055162787, 0.07757336652349375, 0.02089651915626575]","[0.06093567745179505, 0.07802937814038216, 0.02764953081670818]","[0.31599055621470207, 0.49455872049692573, 0.2891812391576863]","[0.05368179456673374, 0.058201658437139495, 0.050433058351495294]","[0.03891915940029419, 0.08170357177426826, 0.018038179044128865]","[0.17117650786225802, 0.2192699284115957, 0.10918360370689222]","[0.9399319896501804, 0.968966944862896, 0.8220005687678998]","[0.6605151995442314, 0.7879770655681542, 0.6893706532761983]","[0.0021285560026292434, 0.011261119834795654, 0.005049479961425232]","[0.004750954402434367, 0.004280611189517914, 0.0022877601667597182]","[0.004317858767471262, 0.005016540947335661, 0.004563331577184742]","[0.017448584597237842, 0.036396657778043, 0.015668544794305996]","[0.0026796373979076286, 0.0027771977432883336, 0.0032660540316161676]","[0.006867522196540099, 0.006454834126615808, 0.004122261938233934]","[0.005017389034737216, 0.008616411247111155, 0.004500400059999708]","[0.008160356283829984, 0.002676895116299846, 0.01305750412229931]","[0.01400902465594925, 0.02231289873490651, 0.009040969318568704]"
0,DCP,0.8803333333333333,0.0155,0.055874999999999994,0.050262878857354386,0.3778086297760211,0.0610513073221674,0.05588888888888889,0.18351449443446793,0.9277826449728828,0.7530416666666666,0.008113774296425375,0.00241882087895,0.0034254206959794652,0.004336605294142319,0.026214240201011856,0.0026640566536152723,0.0066800628572068555,0.006574627281429105,0.004005136711872312,0.008285474551386082,"[[896, 88, 16], [99, 861, 40], [27, 89, 884]]","[0.00970045681482325, 0.023947248559781364, 0.012803261598111126]","[0.06111591126362056, 0.07650261976611088, 0.030171664031684475]","[0.05741058494015157, 0.07039206574399827, 0.023184883870326606]","[0.3417292039179435, 0.49129185624009164, 0.3009609334912396]","[0.06691963471581674, 0.061954657259773706, 0.05422938404531598]","[0.05925698917429785, 0.08191992466465561, 0.026605613836007302]","[0.20144811391421605, 0.21838131958190568, 0.13094589819738817]","[0.953520124417297, 0.9698850255817831, 0.8600673364613669]","[0.7221191367219991, 0.8078243706004642, 0.7291400999654377]","[0.004171599461356287, 0.003913808099350512, 0.00500336738651494]","[0.008085081257116692, 0.005883755623814947, 0.004906924382290656]","[0.004670922636808914, 0.006939886904053779, 0.0039297158156697655]","[0.027687313376735287, 0.03770165322301035, 0.015136042137275419]","[0.00470310895773369, 0.0025263730377322693, 0.0028671824470108257]","[0.011685006017125027, 0.012070010725150116, 0.005774710800980225]","[0.012443401054987147, 0.006809789506284657, 0.004706470377753688]","[0.008398365286656445, 0.0022739444260468427, 0.010647108131729798]","[0.010604534832909436, 0.022615081571031863, 0.004060206220548926]"
0,F1,0.8643333333333333,0.06983333333333333,0.11189166666666665,0.11271432882556338,0.38261907114624505,0.12040188434468531,0.11232638888888888,0.21911314958090364,0.9305182519816437,0.7216875,0.00804501225743143,0.002984334096578326,0.004448060594861043,0.00600811587740825,0.02352929170085673,0.002996721230961256,0.008184838708468362,0.007222815138872706,0.0049822389970603275,0.012528916206896905,"[[877, 113, 10], [97, 834, 69], [21, 97, 882]]","[0.03792296593994993, 0.11000517692837819, 0.060186621089138026]","[0.08789845482145717, 0.16819502576200163, 0.07694830072366612]","[0.09350017460890732, 0.16240640678431775, 0.0799373998833886]","[0.3277532206242875, 0.5059305321373201, 0.3080805648080044]","[0.10041233151278861, 0.14073570069213465, 0.11939537574798369]","[0.08501563633620934, 0.1703129441173445, 0.07906012106200763]","[0.21076666168093686, 0.2802062970554441, 0.163103014235296]","[0.9491573202291633, 0.975553460435521, 0.8637283782128279]","[0.6755959911248488, 0.7976188543878395, 0.6887532307994341]","[0.007732488217153148, 0.007603362182815175, 0.009471056345307071]","[0.004401811612321525, 0.010461983457686624, 0.004430486691541689]","[0.0052938312299362425, 0.008251222798849177, 0.0061219764948095825]","[0.018494516293834654, 0.032746780542742666, 0.012538923148588864]","[0.009513618159102634, 0.006501998205126454, 0.007121285579880865]","[0.00948406790050766, 0.015790541579480587, 0.006816495148295125]","[0.007740295409893916, 0.012191090637662352, 0.007084154427062394]","[0.007812063253470349, 0.0029920912266779656, 0.010342130353393769]","[0.019882334666832546, 0.01908431563955566, 0.006337937975026828]"
0,Hostility,0.89,0.010916666666666667,0.044475,0.06011370086372727,0.3610727931488801,0.06348161438645149,0.03822916666666666,0.16175170245550638,0.9140952231956613,0.72,0.007264831572567782,0.003924194892657034,0.003654881629030171,0.00341370826912168,0.021533425521579684,0.0022629857818440816,0.0037329215009290965,0.003951493788338624,0.004507985849367585,0.00874875983274836,"[[904, 81, 15], [94, 865, 41], [23, 76, 901]]","[0.005520742393693981, 0.01996603154639705, 0.006943863133181799]","[0.039265230319927825, 0.07434352361534866, 0.018518666876331035]","[0.06284180886091859, 0.08588797528146153, 0.030414896314871976]","[0.30241224739066663, 0.4887115943534651, 0.28745136851116193]","[0.06522697785648648, 0.06766605414431259, 0.05733988799720333]","[0.03052920013391907, 0.06757566496218528, 0.015374252803729019]","[0.16792363040333302, 0.20875943990708673, 0.10610435279252446]","[0.94140005914652, 0.9685921555420911, 0.8289345636840275]","[0.6633989792043824, 0.8039530005585312, 0.6895197573247647]","[0.0026816779014059845, 0.005767591264018248, 0.003709314152888002]","[0.002632171649348756, 0.006485589531247049, 0.0018085480933635102]","[0.002667195299498681, 0.00719597615500238, 0.0022786855236334334]","[0.01570674992193555, 0.034616622370142555, 0.014239914290583302]","[0.003460639764746662, 0.005084055362231412, 0.0039023499763732464]","[0.002913377199912819, 0.005383837620532157, 0.003827036529285091]","[0.0025071567134071666, 0.0076576942536261796, 0.0023430380940418177]","[0.006509081258243569, 0.002621266035958136, 0.013340659176639463]","[0.021226218969109197, 0.022509638484794443, 0.007761321825075125]"
0,LSC,0.8710000000000001,0.030666666666666665,0.057291666666666664,0.07359764978819797,0.3604400527009223,0.07765500134692693,0.04662499999999999,0.16206288106288805,0.9088056946182729,0.7275833333333332,0.006078194176270123,0.0037684730181983374,0.0074689751825653935,0.007672641534311535,0.02565820961405438,0.005671090342332629,0.008250799332301906,0.006620095788640991,0.005464281967492217,0.01441784827768463,"[[871, 118, 11], [90, 866, 44], [20, 104, 876]]","[0.018613766864235066, 0.05588219700657656, 0.01811698166094613]","[0.04854349637330849, 0.09943786134924296, 0.024193312023917203]","[0.07291999688114961, 0.11464569051376354, 0.03308828312691713]","[0.3058687850821081, 0.4869327283644357, 0.29082210575116657]","[0.07431702721194626, 0.0993300255275445, 0.05944808139955472]","[0.036358711190998004, 0.0833532043641537, 0.020564960403905534]","[0.16573996909210875, 0.2136111303541564, 0.10639176181621854]","[0.937972314602813, 0.9666300373020839, 0.8199975337377763]","[0.6794069575713418, 0.8151469882708315, 0.6904424873358275]","[0.004324823271138177, 0.009120996921549041, 0.007532029120764154]","[0.0073431995069918, 0.008752743989600664, 0.005822696745150074]","[0.006840872916140791, 0.009791485696533658, 0.007569124737194414]","[0.01884993885561531, 0.036010558535716046, 0.01744640812672097]","[0.006230980394160675, 0.007698006421984293, 0.004881151703881799]","[0.0067369144484098675, 0.012264789313714783, 0.006741576248943854]","[0.007991649854412966, 0.008697731852604232, 0.006077829202128298]","[0.00945993300030623, 0.0027109632343933158, 0.012654519227433112]","[0.017453429763686974, 0.022134477596779088, 0.007208318207137458]"
0,N1,0.8936666666666667,0.023416666666666665,0.06621666666666667,0.07276276811315802,0.37407114624505927,0.0800363264608214,0.021506944444444443,0.1749396977344062,0.9298879849812265,0.7573125,0.009888264649460873,0.0045491146879853925,0.0013563764021997915,0.003425364704975168,0.020798890723916705,0.0039608459480555995,0.0027202816921355587,0.0019259241366659412,0.003286265349209866,0.011036604578628338,"[[909, 79, 12], [94, 867, 39], [15, 80, 905]]","[0.018583241054626404, 0.03382599943400711, 0.01778136724159851]","[0.0671703208327886, 0.09440912154601043, 0.03706971946032012]","[0.07669345865332264, 0.10472354484115134, 0.03687155841773278]","[0.3320313571148157, 0.49167952312393776, 0.298467465795711]","[0.08345883504933663, 0.08623623500091052, 0.07038394666484252]","[0.015831651954675674, 0.037705797544569854, 0.011039337096618421]","[0.18266641829708424, 0.21258428512168984, 0.1296314387336214]","[0.9526293449961616, 0.9717303626417465, 0.8653793312861661]","[0.7188184884369064, 0.8251936580641128, 0.7277330989289043]","[0.013891032250308112, 0.004378499474662174, 0.005970339224861599]","[0.006419176205674603, 0.004754089776467563, 0.0029001500244544396]","[0.004146146741738637, 0.005600321542916769, 0.004447756119437027]","[0.01788106589990737, 0.029802222176710684, 0.01567524939754599]","[0.005463406866611621, 0.002487180957679004, 0.0031843564235500745]","[0.002070073959442103, 0.0056916238141914545, 0.0016536229387993547]","[0.004376316658697772, 0.005388021655879585, 0.0022684251245009583]","[0.006840936209355444, 0.0020136612277035434, 0.0069635672057573005]","[0.022739329960163854, 0.01484629578296323, 0.009799772138511083]"
0,N2,0.8896666666666666,0.01575,0.04655,0.06201238527294338,0.36380648880105404,0.06753096047432582,0.02993055555555555,0.13748263391808774,0.9144873800584064,0.7375208333333333,0.012549900398011118,0.003137475099502784,0.0024323128567956356,0.005042444540418647,0.023202582539375172,0.0036322307205460475,0.0029707291161399224,0.0015974144011986794,0.004477962701977315,0.00663951175309181,"[[892, 95, 13], [86, 872, 42], [14, 81, 905]]","[0.008711113565602837, 0.02752743680401335, 0.01097980727118373]","[0.039718844236357236, 0.07839214010582837, 0.021535446960395076]","[0.0626401008054994, 0.09365990277910433, 0.029710690414448078]","[0.31147233340810665, 0.48965833311972506, 0.29089129057201846]","[0.06893902719239874, 0.07627539346907744, 0.057335569635537445]","[0.024497372334322955, 0.05234126136216836, 0.012930325194658069]","[0.1397935621677374, 0.17995120284078492, 0.09282857034619632]","[0.9411530417778031, 0.9670258296615893, 0.8355090147277056]","[0.6901354607587143, 0.816507911023636, 0.7057431573469033]","[0.005230943152004475, 0.005954162435349504, 0.002000401054729182]","[0.0020799402874996657, 0.008031160533831285, 0.001467591684114702]","[0.0019477105611280935, 0.009757300102119826, 0.004409813226629131]","[0.018548509609099248, 0.034195155102451656, 0.014289312972088537]","[0.0020778459774016675, 0.006853422785501398, 0.0018904385144684244]","[0.0028921505763438602, 0.00821125879480738, 0.001756386249053891]","[0.003491026033786984, 0.0034848897211640687, 0.002477140120671276]","[0.008636186460449991, 0.0028055398313714367, 0.012246358951473238]","[0.014584072522992913, 0.017578562589580782, 0.007479889629558669]"
0,TD_U,0.8616666666666667,0.059250000000000004,0.09179166666666667,0.10189390619423759,0.3330378787878788,0.111659141726881,0.08816666666666666,0.2001534635297293,0.9229369002920317,0.75025,0.01654119436773264,0.006189989678684627,0.01142476142469115,0.010081147774583044,0.0201860054920015,0.006911124347078952,0.01407120786634542,0.012415939764217277,0.005350113690204273,0.019013997950340585,"[[836, 148, 16], [89, 874, 37], [14, 111, 875]]","[0.038582621207504574, 0.11690439275815404, 0.0217467384150053]","[0.07144446687202911, 0.16786394448711622, 0.03493245200070305]","[0.09105979880122259, 0.17455898269900771, 0.03905021053961733]","[0.27791819251320726, 0.4412532588208822, 0.2785045379550645]","[0.0970969600973695, 0.16103924785012116, 0.0759874303981046]","[0.06412620822035187, 0.168464942911765, 0.030773665472771255]","[0.19232331746957745, 0.28077541340232076, 0.12593506384623304]","[0.9447714676495123, 0.9750582782981049, 0.8475452942944667]","[0.6876205827192468, 0.8576987268095964, 0.7040543355819555]","[0.007829698663777612, 0.010546810047173123, 0.005567165309982302]","[0.011418540155419774, 0.019374574423060533, 0.004269058849861007]","[0.011588325546743942, 0.016439247857869606, 0.004583440401044693]","[0.01828509095463941, 0.027783720787222993, 0.014870272326271233]","[0.00893680979330518, 0.012000853271543648, 0.007068885753316946]","[0.01314991533399964, 0.02227351431324781, 0.00747425488853748]","[0.014239234022004672, 0.01654034473063624, 0.005339607264576733]","[0.010981784290449933, 0.003684639355863412, 0.009043205615340305]","[0.016727407222478816, 0.03582312691498321, 0.009295260639815128]"
0,Uniform,0.8606666666666667,0.094,0.14171666666666666,0.13337044977771115,0.38995454545454544,0.1430948511242101,0.1421736111111111,0.24447629846066773,0.9392599082186066,0.7777916666666667,0.009021579068482907,0.003084459253886961,0.004195566443017883,0.007117411452692624,0.022940317641491577,0.0032761212593261334,0.010625924750969743,0.005299392036207029,0.003486798079817074,0.005649733431518903,"[[878, 106, 16], [126, 791, 83], [16, 71, 913]]","[0.06469813903363622, 0.1259012406936111, 0.0928873584698598]","[0.12746777499789053, 0.19292994597374613, 0.10697740541222771]","[0.11927900064359864, 0.1852795811687568, 0.09779888620920632]","[0.35295354013976277, 0.5005591393849855, 0.3210038926608855]","[0.1268414977503919, 0.16805511832542913, 0.13555458977348733]","[0.12902720142737442, 0.19544339994243312, 0.10432889552513855]","[0.24266185833012544, 0.30159073516896123, 0.1916422607299739]","[0.9602822650378305, 0.9786919323147302, 0.8801355143796326]","[0.7538605321306351, 0.8408567374190952, 0.7417821416966822]","[0.009018436974841015, 0.01083091054734313, 0.012017062132811358]","[0.00631921933939487, 0.008989599574484938, 0.004474647259350291]","[0.003952148386786604, 0.00871667766205665, 0.009267363118667115]","[0.01898841795964983, 0.030591047790751613, 0.016262945853828162]","[0.006800244063273655, 0.007558893647359955, 0.0056390275437907655]","[0.007408848930181738, 0.013471358306385513, 0.00912324139253921]","[0.005592280019131158, 0.006454524125678573, 0.0053045942204435195]","[0.006646054963125449, 0.001573081932303305, 0.007016067013816892]","[0.004370337895828406, 0.01015593993894981, 0.00554528863150555]"
0,kDN,0.891,0.009916666666666667,0.03188333333333333,0.05488152893711843,0.36321245059288537,0.05982075436918558,0.03333333333333333,0.15710332646947792,0.9191114935335836,0.7396666666666667,0.010381607668264946,0.0018493617517643458,0.0019365813234207912,0.0037108631672096255,0.021745746132476974,0.001741843883367799,0.004202393130668685,0.002886126491147982,0.005555547688944859,0.009770422432724636,"[[909, 74, 17], [88, 871, 41], [21, 86, 893]]","[0.004830310671745192, 0.0171745215162128, 0.0077928078374573774]","[0.029510847696555313, 0.05499501577271806, 0.011827061912246143]","[0.060891244255978416, 0.0792846500363225, 0.02566903021359384]","[0.31244648603953806, 0.48672856795949676, 0.2927492183365662]","[0.0636830409758929, 0.06316574858034567, 0.05285245391612074]","[0.027488999255343427, 0.06174479440524967, 0.011489157289635742]","[0.1649565511395962, 0.19814441889156276, 0.10998517218691853]","[0.9439204499548957, 0.9664968188804506, 0.8496830595747156]","[0.6926430267907049, 0.8177332110260448, 0.7095734293095706]","[0.003685855120976392, 0.004261287000082229, 0.004291025535975624]","[0.003619751963615953, 0.0014205405282244363, 0.0029482015029616056]","[0.004435905785800497, 0.005768943835264772, 0.004567614067380985]","[0.015249018353814668, 0.03405761149719777, 0.014585494536241254]","[0.0038717669134277623, 0.001933874265543423, 0.0013743996280822439]","[0.004001899423093147, 0.004757851543308821, 0.005341590295005029]","[0.006152271437624906, 0.003731188720356153, 0.0037154877850964566]","[0.00892687750945927, 0.002640337443376144, 0.008683222398945496]","[0.014673414447309076, 0.01732166332147905, 0.009658648907335908]"
