n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.611,0.0125,0.0448,0.05286788714667159,0.37332707509881424,0.053664991086282254,0.04734722222222222,0.16577520590883538,0.9128882978723405,0.7307083333333333,0.009021579068482855,0.0030476539246516244,0.004300597503706767,0.0026487579001738455,0.025254466748010976,0.001677070842318868,0.007108589573016056,0.004615660882940577,0.003974426675924269,0.012530431706449725,"[[0, 800, 200], [0, 983, 17], [0, 150, 850]]","[0.014839381173529028, 0.014851446139979116, 0.00884166972757773]","[0.057658149997260245, 0.0626666233276327, 0.018782850492334587]","[0.06922392543495234, 0.06908776981621383, 0.026239779569544958]","[0.32467243829739606, 0.490523109315553, 0.2908238901080214]","[0.06578347036455048, 0.051524714852246176, 0.04788310169882866]","[0.055806326697116125, 0.07207367542647378, 0.01756892253844149]","[0.1831915717100496, 0.20653589997352423, 0.11412902386839033]","[0.9442176760759352, 0.9672713940734029, 0.8384473296012576]","[0.6833249756585793, 0.7866587767467126, 0.7068395949678865]","[0.008265097859661567, 0.007224355823785165, 0.0039248284206171375]","[0.00802310965340723, 0.007188645359490862, 0.0016917609738200789]","[0.005235369800280531, 0.006597658229682825, 0.001760369701900317]","[0.020597981958374117, 0.03836544646876864, 0.016021524631006354]","[0.005576179447814798, 0.003646293941861036, 0.0007580824011011696]","[0.012126737499801695, 0.012370713332669097, 0.0022181319840633164]","[0.009438276615584268, 0.005134232832581187, 0.003757941696014652]","[0.008330392360890383, 0.002581881854156229, 0.007600818607449158]","[0.013130562608302575, 0.021307138016514664, 0.008326780788023437]"
0,DCP,0.62,0.014583333333333334,0.050433333333333344,0.04545320768998621,0.360235836627141,0.06302510066689364,0.05274305555555555,0.17451921971111428,0.9162552148518982,0.7475208333333334,0.004249182927993958,0.0023753654689565376,0.003293195847332629,0.0036635979820141143,0.02072506129258281,0.002229799869489628,0.0040755370111204186,0.0030341772367266082,0.0031676699588007186,0.0072758011920414055,"[[185, 621, 194], [16, 775, 209], [9, 91, 900]]","[0.011949294945557565, 0.02145273411054683, 0.01262425694913807]","[0.06684417843920323, 0.07511119103981655, 0.02859142091797201]","[0.05988835986026754, 0.07045053627944489, 0.024662500566798463]","[0.33870738599673916, 0.48901820717598754, 0.30274819391353497]","[0.07608910974414847, 0.06043127428229635, 0.057605637466412375]","[0.06564028911071834, 0.08643280035536326, 0.028156594938678565]","[0.2031313016119744, 0.2211284951891474, 0.1336872603543743]","[0.9526950980461499, 0.9699945875369584, 0.8666799772176148]","[0.7166849104119711, 0.8101220511452503, 0.731632680535418]","[0.0016297861421520905, 0.005876126834876749, 0.003183556630495851]","[0.006469761824664875, 0.01343230628833491, 0.005784299886286618]","[0.004668894568214409, 0.01358003228279927, 0.002850179600523979]","[0.020965017648014304, 0.03644630041064132, 0.016549825467880742]","[0.0027185289776871006, 0.007853279595797236, 0.0024769475531221797]","[0.0072956833622800175, 0.015383098641973684, 0.006748514290455907]","[0.004385390401100996, 0.00953190032266032, 0.0056902039565562565]","[0.008240458594429085, 0.0022595981887962692, 0.00619972149651424]","[0.013642965605542385, 0.019801441398849182, 0.005230906352613748]"
0,F1,0.6206666666666667,0.06675,0.10445,0.10750977019391464,0.3752308959156785,0.11707420456071023,0.1047222222222222,0.21210601649309124,0.9275942845223195,0.7162083333333333,0.010041580220928072,0.007302967433402214,0.0074471750796303105,0.008494612768305869,0.021735920151383623,0.007961095079254231,0.006404956019572213,0.003082053116706571,0.005033665777688914,0.006389756885481297,"[[908, 0, 92], [101, 0, 899], [46, 0, 954]]","[0.0404815408649673, 0.09850686988120058, 0.06552441769515835]","[0.08508853399071649, 0.15532131124478113, 0.08079544984396078]","[0.09147043842415263, 0.156018574964, 0.08254925926857362]","[0.3248211025386373, 0.5116104731053438, 0.31170335103622365]","[0.09937049794259682, 0.13342023784534132, 0.12027021020134772]","[0.08244451655748802, 0.1563305671773524, 0.08321031829830706]","[0.20472010646034136, 0.2711462058936041, 0.170365959086436]","[0.9492708423340783, 0.9742534321062877, 0.8690170138276828]","[0.6784169790320792, 0.7738069394655549, 0.7049713565610718]","[0.009233427632388077, 0.015303347125581755, 0.011171880007127195]","[0.008227520419464588, 0.00900939962856174, 0.011962821399097844]","[0.007641716049688141, 0.008812410008127233, 0.014550499348295208]","[0.018807042599199224, 0.038370397477299, 0.015337090244935939]","[0.0077583759605605665, 0.009568686961676733, 0.008765776351945257]","[0.007867763453035028, 0.009113491350541408, 0.010347611055731789]","[0.007973186784252604, 0.0052538519161474135, 0.008385461601918649]","[0.007875823792273098, 0.0017868310009837305, 0.011045967594754902]","[0.006555167320836846, 0.017259842646711526, 0.007923291214009438]"
0,Hostility,0.617,0.008666666666666666,0.03605,0.05522875735649464,0.34545223978919626,0.06375782568737103,0.035416666666666666,0.15448091747571854,0.9051732373800585,0.7081458333333333,0.01350925608610634,0.0024895615410482756,0.004970258768134941,0.005254913903787365,0.02321168176797463,0.002220515513216319,0.005122734085806996,0.0044755570752261845,0.005829850582822788,0.006635833647285339,"[[900, 0, 100], [96, 0, 904], [49, 0, 951]]","[0.0057892338745226014, 0.015267825020071773, 0.0070359098940814425]","[0.04026600525361489, 0.05843679015721187, 0.019181546029529678]","[0.06678847762627561, 0.07995586350138331, 0.031147259040797837]","[0.3032188075941262, 0.49235523157438443, 0.290794388292557]","[0.06821075402628095, 0.06191335507012942, 0.061405595481336284]","[0.0377586076103018, 0.059749980400430905, 0.019126826660654756]","[0.17003460714402466, 0.19880776903126862, 0.11556778405966317]","[0.9404888937774702, 0.9660166967336359, 0.8406952390644393]","[0.6579676245761235, 0.7850395988057861, 0.7016470832354018]","[0.0018625310039507563, 0.004253904813959458, 0.003915457776558767]","[0.004314987860163668, 0.008902626569543512, 0.0036054473544475537]","[0.005196540834416411, 0.010270376963175018, 0.0043837825652953575]","[0.018328924024293886, 0.03945065848575476, 0.01402826410470868]","[0.002865692275544486, 0.0039105471310291245, 0.0034537567264350737]","[0.002810857456217715, 0.01232044014486631, 0.004808461468353613]","[0.004525146817168834, 0.010266405103332373, 0.004635855181694623]","[0.007322633860501527, 0.003551591706161447, 0.011712371830633271]","[0.020130761037551445, 0.024868160677466895, 0.005922342330873564]"
0,LSC,0.6163333333333334,0.027000000000000003,0.04688333333333334,0.06724950337159255,0.3496564558629776,0.0759936664843778,0.041249999999999995,0.15618428338942997,0.9033240508969544,0.7257708333333334,0.011749704488009697,0.002308649196199178,0.005963604894133523,0.008208447030291088,0.02389941182105575,0.005936042742394348,0.004822202920948318,0.004866397786749831,0.005324387556196856,0.01157108352568305,"[[892, 0, 108], [89, 0, 911], [43, 0, 957]]","[0.019038635013682637, 0.04517853332540853, 0.0215576916876183]","[0.04522299345310109, 0.0808078226248601, 0.02710165597419335]","[0.07326635641680708, 0.10463314686533867, 0.03953979886754906]","[0.31426390578233265, 0.4822274893271749, 0.2944687127020519]","[0.0760851528721452, 0.09078285793366998, 0.06672906678236937]","[0.04085638947553201, 0.07051833541556171, 0.02326332293807353]","[0.1688944701636265, 0.20668297478927217, 0.11541233904225026]","[0.9391915692938204, 0.9654633437563763, 0.8378607949944324]","[0.6847851326746972, 0.81468054801791, 0.7015958922656846]","[0.0025813119733173405, 0.008196034820393395, 0.0017007854813668307]","[0.005902118940115102, 0.009092503027108, 0.004250192141033841]","[0.006378664965019357, 0.012321911341379251, 0.005638860580206777]","[0.020512125843106542, 0.03624629055715048, 0.015295810443473194]","[0.007263174478470093, 0.007152417464548844, 0.003976051753516255]","[0.005216477678072521, 0.013109497683494887, 0.0025098920399845978]","[0.007404906967465705, 0.0060737606811757374, 0.003058812706121405]","[0.009842525044894364, 0.0028736892047273982, 0.010597089033698773]","[0.018472278274957486, 0.025073373609890016, 0.007536353038934627]"
0,N1,0.612,0.019416666666666665,0.05201666666666667,0.06915053217587283,0.36850543478260867,0.07822565414552062,0.019034722222222224,0.17332109024520265,0.9280561118064247,0.7545,0.006280481227138863,0.004645412910722911,0.002191682509448446,0.0020956588822147767,0.02062298503011132,0.002569117779257609,0.003660799309138664,0.0012992302596129292,0.0039222476020277066,0.0072731908785315805,"[[874, 0, 126], [79, 0, 921], [38, 0, 962]]","[0.015814045558860096, 0.024864440321326238, 0.01813674798328734]","[0.050777380667449745, 0.07905417380988686, 0.03067578891175816]","[0.07359227351913529, 0.1006316040077662, 0.03882240779179695]","[0.3331543446383743, 0.4888403307307473, 0.301869974519026]","[0.08028745745299179, 0.08158821211125102, 0.07344758196443166]","[0.016769361213611184, 0.029086843601153288, 0.012838230869882708]","[0.1840519806164247, 0.21029763569153276, 0.13250640154374901]","[0.9523339288367317, 0.9717325806233283, 0.8690443838393342]","[0.717900322733531, 0.8255150445040782, 0.7297098851441872]","[0.009903948692955373, 0.006023487904610401, 0.00706695678040393]","[0.0032177234350855596, 0.005642467580325001, 0.005197269922997272]","[0.004597471902435013, 0.003560999405432504, 0.00414632053797031]","[0.01888458795250459, 0.03354927569241921, 0.015209380621643738]","[0.00453894875291236, 0.0049882806339346854, 0.0034243916873546816]","[0.004607052736583363, 0.004765048709805716, 0.004472414041054315]","[0.002450392838527351, 0.002673801105177857, 0.004499375894592212]","[0.006061309572183863, 0.001687900773651133, 0.008806626698742496]","[0.015903406330231164, 0.01581167023762375, 0.007294240517755384]"
0,N2,0.6186666666666667,0.017916666666666668,0.041466666666666666,0.06191661026020297,0.3562949604743083,0.07009574860113603,0.029159722222222222,0.13667698317836915,0.9082608468919482,0.7353541666666666,0.010954451150103281,0.004564354645876385,0.002593796016994741,0.003940991176118967,0.022036201731089916,0.0039688477430300986,0.003106271036642877,0.003338315478428558,0.007439859098071703,0.00896456905065097,"[[906, 0, 94], [98, 0, 902], [50, 0, 950]]","[0.015663940380581706, 0.025165888851607005, 0.014800415057785473]","[0.0471762410195344, 0.06361625547087309, 0.021959699070224457]","[0.07365951294442834, 0.08948668380456568, 0.03410792739659722]","[0.3201413958538617, 0.49072561090494143, 0.29512480311699674]","[0.08063340777832213, 0.07197730001219202, 0.06030401484167196]","[0.036010133456010604, 0.04241060039528018, 0.014769280366513695]","[0.15159972183307827, 0.17310161781000238, 0.10053527567036466]","[0.9437462546464472, 0.9663559737559912, 0.8412924821558313]","[0.6997489632701577, 0.8132939782138747, 0.7116658818121377]","[0.003220326752307696, 0.00259131827997569, 0.009162896479229785]","[0.0042167005301332805, 0.00696984298601602, 0.004005781784789489]","[0.005687948403680309, 0.007736010114331116, 0.004548210187859886]","[0.01950971802906073, 0.03509005253308026, 0.014668024722181275]","[0.006245599029866611, 0.001601719834380122, 0.0053277947445507816]","[0.004449342945964942, 0.005590302333112289, 0.0022633837759297778]","[0.005668813689037653, 0.0062178998495392105, 0.0030578120987057827]","[0.009505125044557094, 0.002424034840615181, 0.011946970096020866]","[0.02006761631867286, 0.01612688138393149, 0.004973560183122773]"
0,TD_U,0.6176666666666667,0.05658333333333334,0.08521666666666666,0.09318433496157359,0.31479446640316205,0.11086672408703886,0.08157638888888888,0.19311641515402245,0.9146581143095537,0.7371874999999999,0.00829993306532583,0.006798181946504359,0.0065390387502887466,0.007947124907782006,0.016673175198169677,0.006543668858958743,0.007961942595855068,0.0058426314400767025,0.0031323895671663718,0.013074265368675795,"[[898, 0, 102], [95, 0, 905], [45, 0, 955]]","[0.038021447796559346, 0.14783998747577773, 0.03296847054625672]","[0.07737574406772316, 0.19118477397629094, 0.04616522672679507]","[0.09433003335045534, 0.19619647685164282, 0.047940647891336625]","[0.2868950958023517, 0.42995055308491753, 0.28891749451084403]","[0.10237761931942665, 0.18288183406722427, 0.0871193213469684]","[0.06868866518201037, 0.18985687363900625, 0.04563439513633601]","[0.19957320373927162, 0.29380689054388065, 0.14404447910059853]","[0.9483489049532526, 0.9759205905342615, 0.8596566883127613]","[0.699027333757048, 0.8607280964607401, 0.7158325857185426]","[0.003477803392560864, 0.02082099839383408, 0.006189269506142557]","[0.00741347450091538, 0.015562279354648639, 0.006077968721370043]","[0.008356317946503362, 0.0176980257539254, 0.007561994560840736]","[0.01779860429295182, 0.023357108073239066, 0.01614355069924238]","[0.0068549933894294975, 0.014809640834129535, 0.007250899767359106]","[0.009013474460221892, 0.014676268338604456, 0.008244268467887705]","[0.0081486928675711, 0.009928097442671297, 0.004902001211859867]","[0.008148996038425036, 0.002844034947005046, 0.008137460775345775]","[0.016578547162068497, 0.035138278022730805, 0.009048512332593276]"
0,Uniform,0.616,0.09708333333333333,0.1436,0.13633607455849253,0.3944051383399209,0.14648994305501467,0.14309027777777777,0.24816109900905098,0.940985502711723,0.7810833333333334,0.007958224257542239,0.0061095326244229925,0.003387271927541552,0.004555406533468566,0.02249636144910307,0.0035873886281325993,0.005845102215308772,0.0055155576412185495,0.004146658527407667,0.009878713261070184,"[[908, 16, 76], [100, 180, 720], [42, 198, 760]]","[0.06653532683652566, 0.13092277621414902, 0.09489112759893933]","[0.1316520108077713, 0.19084095850292504, 0.108503060468594]","[0.1239147835199594, 0.1834125396264196, 0.10211117713997345]","[0.3602690301161956, 0.4990158564172161, 0.3239652521166684]","[0.13064218080227707, 0.1684733986382206, 0.14076493803971088]","[0.13111464689836239, 0.1921688682213023, 0.10610768646371979]","[0.24980622330873378, 0.3020889468229756, 0.19274036330845293]","[0.9609999206185027, 0.978453324353929, 0.8835759254312407]","[0.7532941172768648, 0.8457704242287439, 0.7445620871222339]","[0.01634183394016363, 0.016423155994897683, 0.01345771685925827]","[0.006375588844288855, 0.009691997060946981, 0.0038723910863280313]","[0.004690213727026129, 0.0071572089197625395, 0.009590760786226405]","[0.020336251928952515, 0.032067876832835567, 0.015016104544547281]","[0.005619225213438878, 0.008107674721300605, 0.006178112601342646]","[0.009199428305720896, 0.01680683009735655, 0.005090235677117105]","[0.00869976190880852, 0.013885484668810037, 0.004380852527177885]","[0.006467488208426168, 0.00234123501741014, 0.008766772106810884]","[0.009842783062633566, 0.01824498030278092, 0.009016287124690001]"
0,kDN,0.615,0.010833333333333334,0.0261,0.05812125864887576,0.3611842885375494,0.06530366109906072,0.027784722222222218,0.16043395431260937,0.9239382561535253,0.7458541666666667,0.009789450103725571,0.003397813839645853,0.0018384398578988412,0.0035648182026766046,0.024086185688129303,0.002159367000580492,0.0034567711777479023,0.0028560682694565437,0.003362609028280991,0.010030984982653639,"[[885, 0, 115], [84, 0, 916], [40, 0, 960]]","[0.007252886045747889, 0.016148604752516147, 0.00982659459273601]","[0.026735210257622884, 0.03935636852060736, 0.01484930081203704]","[0.06447058386192864, 0.08361448422107154, 0.031691311365929634]","[0.32139039048155194, 0.48687612827711274, 0.29743687713576594]","[0.06869454282507036, 0.06619712166843186, 0.06142232652283629]","[0.027563952997148894, 0.04339241823627076, 0.015412102806724014]","[0.17225050357056113, 0.19227593750347352, 0.12370373488180145]","[0.9495931264995793, 0.9681895354998116, 0.8642130677778177]","[0.7109169059808718, 0.8112447837541994, 0.7257316553255863]","[0.0045792271788248195, 0.0028298297664142605, 0.003842566002023142]","[0.0028920415017626515, 0.001812929504046287, 0.0033784097774173755]","[0.004451364635221604, 0.006057493413555296, 0.006192066127753146]","[0.02027403719495931, 0.03823434305368005, 0.014881132734145817]","[0.003506623900825351, 0.0038439236345613665, 0.003633677672695706]","[0.004470190167416045, 0.006575890792739421, 0.003461188620780306]","[0.0030683527234263877, 0.004269811316473233, 0.005259198208316026]","[0.007746834498296144, 0.0017422351611111897, 0.007868653869470036]","[0.017711433009333893, 0.015157903456288924, 0.008643634686134372]"
