n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.8856666666666667,0.011666666666666667,0.04601481481481482,0.05402532856269825,0.36916948525411486,0.053639931895108205,0.04839814814814815,0.16780442673095994,0.9194390886993778,0.736962962962963,0.012377797725896545,0.0028913675132420658,0.002812821473100745,0.003170526145447974,0.056132046137999055,0.002551230939986057,0.003530993995043453,0.0028895525175901176,0.005946717664252499,0.009464273543610006,"[[905, 73, 22], [99, 856, 45], [28, 76, 896]]","[0.01277726704390277, 0.012776540337660144, 0.009874350841067199]","[0.05881812737940086, 0.06474872771247091, 0.01921348341960755]","[0.06944885731443119, 0.0717389548250492, 0.02660240098214194]","[0.33762639634627994, 0.4749889659368648, 0.28600566549877243]","[0.06495831161140339, 0.05048768145741955, 0.04938427202812291]","[0.05784648579909275, 0.07133772505363391, 0.019744824347625787]","[0.18807468135440347, 0.20756713131143628, 0.11543612591159302]","[0.9506393784324887, 0.9697270014329102, 0.8495264688612826]","[0.6948112280711692, 0.7921150860491726, 0.7102028394451165]","[0.005136886838307353, 0.00373164672203081, 0.0034629791462043795]","[0.004296065507176469, 0.003580007987646573, 0.003786230898522563]","[0.0037219143699678218, 0.006934993287363938, 0.002766603977475943]","[0.05460891436863745, 0.05933359720160951, 0.04918510760850745]","[0.004085709627454066, 0.0030711603719017853, 0.003080003659738674]","[0.007330075468166047, 0.006031342309971573, 0.004207173920450587]","[0.0034142643651815957, 0.0033474991120559863, 0.005709774387139671]","[0.0036482597283590324, 0.0025689409273917992, 0.013382123479490573]","[0.01779286042937496, 0.015236875345603768, 0.00744681453662996]"
0,DCP,0.9036666666666667,0.01451851851851852,0.04853333333333333,0.04522920410057554,0.35452417488547117,0.06196402414129185,0.04865432098765431,0.1713275723177494,0.9197966876776664,0.7519537037037037,0.017029386365926394,0.004671171644876038,0.0032033742307806486,0.002497447186854513,0.055386142844849946,0.0013231502266081176,0.003178469595550444,0.0034370709033830467,0.0047629145063487095,0.0062940945678387926,"[[926, 59, 15], [95, 860, 45], [11, 64, 925]]","[0.011483906359044267, 0.02169505245789916, 0.012842696807478455]","[0.0639135870789394, 0.07444462329944301, 0.027988247987736904]","[0.06202547183989916, 0.07021261208269955, 0.024042081290093387]","[0.3470395817253341, 0.4740999618428434, 0.29756049770265147]","[0.0738879226014421, 0.06100099705921678, 0.056881205703747995]","[0.060445178843651706, 0.08037543777176645, 0.02676895364047784]","[0.20277487073007885, 0.21632683824693907, 0.13227869964889716]","[0.9597078052118393, 0.9716477128195009, 0.8718672940527034]","[0.7299127663055694, 0.811533447861064, 0.733702503575094]","[0.0049014945673916035, 0.009006497410268486, 0.006677460855289762]","[0.008846407802366452, 0.012769731228498978, 0.003163094340478857]","[0.0038957865179262167, 0.010330629941931213, 0.001825817782716715]","[0.05574140863409859, 0.06193547446729981, 0.04925124653972102]","[0.0036235633201012357, 0.00765979965338401, 0.0030669029370614495]","[0.010745516018862996, 0.009281143317281377, 0.003411922979341394]","[0.010427660266705713, 0.012443372180214941, 0.004248664734600958]","[0.0038684084397233903, 0.0037398656633986786, 0.008970162164937862]","[0.017158789608372894, 0.01761442769541216, 0.006727547464450998]"
0,F1,0.8623333333333333,0.05622222222222223,0.09012592592592593,0.0971599443107477,0.35991948576800425,0.1071994248709883,0.09019444444444444,0.19738291369952785,0.9214933053186668,0.6883425925925926,0.01937607026116059,0.004742412256764248,0.004822854952073147,0.004561290963544226,0.0536778177513449,0.0038145483144213436,0.0038116985442814655,0.0038509661316028683,0.005622190029334473,0.006592732751550277,"[[875, 104, 21], [101, 821, 78], [25, 84, 891]]","[0.033077659549558706, 0.08620343895742492, 0.05656468476866392]","[0.07172096239021679, 0.14386828709082933, 0.06974502362389462]","[0.08672652215344138, 0.14314442577382, 0.07477080035464227]","[0.3243449840591551, 0.4949451401543244, 0.2986186381470637]","[0.09052180754377824, 0.12026444934526792, 0.11357167814532329]","[0.06855984250354097, 0.1477035605382745, 0.07013118638624691]","[0.19462306069912247, 0.26188098097845935, 0.15497039963795292]","[0.9484741220114842, 0.9743164367686464, 0.8596440375264317]","[0.6558213415426986, 0.7457269515462969, 0.678617566265683]","[0.0061350154400784795, 0.010293249352327973, 0.011775183065193474]","[0.0038956208147986923, 0.011317034260387562, 0.008174827947795081]","[0.005064095123414002, 0.00988248707094792, 0.005554493413841876]","[0.05281434630182115, 0.0561830712019448, 0.04713304682806184]","[0.005273047395368692, 0.008790011577977128, 0.005907416333578746]","[0.006030262035862768, 0.012659293022509375, 0.0074937944916043395]","[0.005601466246476527, 0.010682115912941192, 0.006026645060558935]","[0.004222494306438452, 0.002790720489760959, 0.01221904358014091]","[0.014099136963441259, 0.017124072530323997, 0.004481604605699019]"
0,Hostility,0.8896666666666666,0.00874074074074074,0.03802222222222222,0.05370119449958226,0.345872967327597,0.06132103726047324,0.03761728395061728,0.15727320328161815,0.9133720594899681,0.7237592592592593,0.014354420319749928,0.0023306863292670036,0.0033513095530202253,0.004163009013634802,0.05466284779758018,0.0030804931681366844,0.005032490248633647,0.00548859210549827,0.005927000514424031,0.006580113727139865,"[[914, 67, 19], [108, 845, 47], [13, 77, 910]]","[0.00705163497686484, 0.013641348245831724, 0.006921360206248217]","[0.043912887414671885, 0.06074835032113164, 0.01926441339484994]","[0.06596869527537914, 0.07843580575390877, 0.02863798681487162]","[0.3192119353073703, 0.47439638176920856, 0.2866648717798603]","[0.06796981992976213, 0.06056854703826349, 0.05666270383458286]","[0.04293448315375419, 0.06206559633016986, 0.01833254690097554]","[0.1760515000199721, 0.199222821831889, 0.11612712328485013]","[0.9468828819345305, 0.9686625627226053, 0.8521395149618505]","[0.6808777053055498, 0.7996508187180436, 0.7103501205330517]","[0.003438234579658232, 0.005174555757099945, 0.0021216249281070633]","[0.005804944134358981, 0.007697102925055076, 0.001519573056414533]","[0.004719569183689731, 0.010427560751624942, 0.003252869452343102]","[0.054814521156010515, 0.05911552586713438, 0.047586014132517875]","[0.0051834531657843595, 0.005643312763939078, 0.005406564898525649]","[0.008783095582813753, 0.007842883109060941, 0.0024291099333783772]","[0.006577884866968197, 0.010408863685054282, 0.004347309104582366]","[0.003914356669248153, 0.0033831602723766586, 0.012053037402908145]","[0.010685779011995872, 0.018033597262372802, 0.009985140894644255]"
0,LSC,0.8866666666666667,0.018814814814814815,0.03500740740740741,0.05973296845394743,0.3423314168890095,0.06673219916845022,0.025700617283950615,0.1443098438912121,0.9058405223911341,0.7244351851851851,0.022222222222222213,0.0032278697965157535,0.003938283215277597,0.003362841631576891,0.05472376390249507,0.002796712279688834,0.0028006243059190165,0.0034150136918538057,0.006293746961869181,0.008060869303667163,"[[907, 76, 17], [105, 839, 56], [18, 68, 914]]","[0.015460801621152404, 0.029433550436493938, 0.014955365951344602]","[0.03638385094161998, 0.05935730000729744, 0.019227180122962657]","[0.07020256394934622, 0.09179994215977547, 0.03236901037839142]","[0.31434351330265853, 0.47167852231793106, 0.28506290762549846]","[0.07185360546095877, 0.07278794080853043, 0.05918554164360425]","[0.02689040636233463, 0.04256533730320551, 0.01453377606548784]","[0.16105408706130223, 0.18442495900807976, 0.1073158630172771]","[0.9439662822002113, 0.9654798502192865, 0.8408358562328235]","[0.6886568174599932, 0.8105541062711265, 0.699524650474862]","[0.005680103578612511, 0.008191053668950779, 0.003990921521564202]","[0.005924281799580166, 0.006181058147545713, 0.003217876506309246]","[0.004780797845230072, 0.00818857294372006, 0.00310687296462987]","[0.052214517841976345, 0.0593997656512412, 0.04898689638759687]","[0.004580486068511483, 0.004469294509075202, 0.0023412504900632005]","[0.004180929669654575, 0.004868012229235193, 0.0030475293879842994]","[0.005873603412151416, 0.006028053734740156, 0.0038398567173565375]","[0.005209636884621449, 0.0027339314428332707, 0.011543751119135236]","[0.013745854695153015, 0.01570330885330995, 0.007600163591253181]"
0,N1,0.885,0.02225925925925926,0.056185185185185185,0.07350709980999401,0.36662578571634125,0.08181565387379103,0.022811728395061726,0.17540923637274103,0.9338552300910477,0.7615925925925926,0.010570165328022456,0.004709031039103129,0.0020217533636965558,0.004366800696593374,0.0568021064559474,0.002287296965594889,0.00241278504927746,0.0021797999432483436,0.0032338023945878277,0.006733886081971855,"[[902, 82, 16], [114, 840, 46], [13, 74, 913]]","[0.01776748755697508, 0.03286135891164442, 0.01722322479084023]","[0.057412566971273414, 0.08296516754424693, 0.03183448903213791]","[0.07934672218010222, 0.10856603537429514, 0.03765216592144961]","[0.33975778286819536, 0.47790299247578194, 0.2959307222913728]","[0.08689941051852192, 0.0855545154151013, 0.07373430448939552]","[0.02357430146748711, 0.03484857302319701, 0.011642802460063634]","[0.18631500525488454, 0.2111416439487394, 0.13403377371283737]","[0.9574696706597461, 0.9740939201922763, 0.876494997326995]","[0.7287832469430944, 0.8327258999257466, 0.7311412947836794]","[0.00909607041310667, 0.007641251250956182, 0.007061674811606335]","[0.004554829859044436, 0.005519034632845391, 0.003470239804576302]","[0.004005464998477457, 0.008014899417968463, 0.003948101465657495]","[0.056769152414004244, 0.0594117238884629, 0.0485790229692141]","[0.004991124035323848, 0.006564481090314521, 0.003619605834588754]","[0.004009034135112151, 0.005089859990180502, 0.0024229009615496827]","[0.005269856329938794, 0.005002751201917844, 0.004805048672083699]","[0.0029109125626053237, 0.0018913868465618255, 0.009092352973155889]","[0.012585796005149601, 0.01073142091076806, 0.00773405850072886]"
0,N2,0.885,0.017925925925925925,0.03864444444444445,0.06061527275533153,0.34983387712424746,0.06892892584160935,0.026694444444444444,0.13335599529491637,0.9136542248588967,0.739574074074074,0.022291558497487634,0.004519935013756056,0.002714264284311809,0.003519920110337985,0.05501981072017457,0.0034008109887369254,0.0034391220660623008,0.00279520269713236,0.006048058904829518,0.007610412692115141,"[[900, 83, 17], [106, 846, 48], [21, 70, 909]]","[0.01631645594948269, 0.026302896469518527, 0.013519069343916851]","[0.04486326893683962, 0.06167316584613454, 0.018600520260890603]","[0.07233014003600682, 0.09226825479839265, 0.030655776330162053]","[0.3260677615259224, 0.4730180736943355, 0.2865912074773097]","[0.0782668169886378, 0.07278137340382419, 0.05918142947401084]","[0.029877431805876282, 0.04469568100318595, 0.01231585329195564]","[0.14872403479063662, 0.1681839316974158, 0.09856254674323628]","[0.9491383997710365, 0.9679972084436571, 0.8504217083428676]","[0.7110364207361168, 0.8140704861298819, 0.7119815142179957]","[0.008578418989290326, 0.00881672474568909, 0.004521874334757104]","[0.005263352902644095, 0.005833943540764564, 0.0023182781551926586]","[0.004638386340476833, 0.0062720267873614295, 0.003009201845098227]","[0.05300600400408355, 0.05911692046740956, 0.048634107783040094]","[0.005868524891297577, 0.004979786010252324, 0.002664468075445438]","[0.005752856907369307, 0.006378988270026666, 0.0020651367504609303]","[0.004099928816359666, 0.0038111245559066475, 0.003708930445746658]","[0.004675641506345018, 0.002679278431520802, 0.012337219093511173]","[0.013550395417723174, 0.016042685170179236, 0.0081121653572772]"
0,TD_U,0.859,0.05855555555555556,0.08737037037037036,0.09841220355786778,0.30805796138703545,0.11203075428972491,0.08442901234567901,0.19276822970443344,0.9199544761669344,0.7394351851851853,0.007864594830749493,0.008920468594481479,0.007021750778569541,0.007796583761966432,0.05092964896026803,0.0067869196880719325,0.008026211341749622,0.007120260603605572,0.005498738148702664,0.008710754739568026,"[[889, 99, 12], [122, 784, 94], [18, 78, 904]]","[0.04168705376831535, 0.14022738889472072, 0.03700057576937281]","[0.07285867890594708, 0.19389499531338214, 0.05302094826312968]","[0.09800380052813172, 0.19963219383290615, 0.054262086088586445]","[0.2815081796895885, 0.4153894609622317, 0.2840082430344395]","[0.10238986664197922, 0.18167077503669912, 0.08966601388973082]","[0.06846525650591773, 0.188220951522067, 0.0524028507051321]","[0.19363521907250741, 0.29410335477848326, 0.14751110648114257]","[0.9501120564486174, 0.9771951141955085, 0.8691234337140108]","[0.6960138974466192, 0.8603746862823998, 0.7235371625739934]","[0.013594219970122907, 0.020508307933475394, 0.01122068665512072]","[0.00682220741158074, 0.01921394149597101, 0.007840333472573775]","[0.008011991987378134, 0.02145113566028059, 0.006454954353302839]","[0.043045202412641564, 0.06230104917859599, 0.0494322962824068]","[0.007918561346881754, 0.01535232290680091, 0.008912200445383218]","[0.009272875184298968, 0.02068676107184951, 0.00797502858646632]","[0.007006735537722232, 0.016484132953127954, 0.009181495343122062]","[0.004384600678926719, 0.003060022328144163, 0.011826085707636581]","[0.009134219399355251, 0.033462101943918986, 0.007372718753701208]"
0,Uniform,0.8613333333333333,0.09288888888888888,0.14113333333333333,0.13723259328714701,0.38973608493701084,0.14501299731751777,0.1389567901234568,0.24394873813870577,0.9459943146706216,0.7873240740740741,0.021784579436715502,0.00707225322912934,0.0029580308744963126,0.0029265824352247036,0.05656118631385755,0.002841074150237834,0.004911660984085176,0.0028348341082573016,0.0038676776914647213,0.0033565293738601204,"[[879, 102, 19], [118, 800, 82], [17, 78, 905]]","[0.06635470356384085, 0.12429280255748085, 0.08800827985044116]","[0.12866649257383528, 0.1902774343827585, 0.10373361681286061]","[0.12778167787634914, 0.18546148294152992, 0.09774678148856583]","[0.36065656372213056, 0.4885853496183297, 0.3182575649183377]","[0.13308236121544498, 0.16570991616427733, 0.13589004489185472]","[0.12575182379663746, 0.18729893659897376, 0.10317897912092551]","[0.24486696173471917, 0.295574916443918, 0.19077963192703176]","[0.9644234573247804, 0.9803157328856023, 0.8928244636640859]","[0.7640010171925302, 0.8482247518045091, 0.7490164374067572]","[0.01572486947984394, 0.014560335161429253, 0.012531534726703661]","[0.008345165044493858, 0.006926058688483414, 0.006969350135129551]","[0.006349329903825964, 0.008158227015673565, 0.007069501173428893]","[0.05574023481167074, 0.059589206428530765, 0.047890677449780074]","[0.0070394050623828665, 0.007251965198947393, 0.004741695221354014]","[0.011826858724419922, 0.009831708977352149, 0.007235484925666308]","[0.007645316536207866, 0.006663856945758653, 0.004955792464606629]","[0.0021095723388218704, 0.001803890635533033, 0.009578820012930396]","[0.008625535309932934, 0.00763846871727826, 0.007350842716362815]"
0,kDN,0.8949999999999999,0.011555555555555555,0.0298962962962963,0.060773915575157524,0.35761402697439737,0.06757606904815801,0.031182098765432098,0.16171499390441424,0.9274349688954805,0.7499814814814815,0.011573703697777582,0.0022884506885399525,0.0016881378735939042,0.002352415580119681,0.0533378348874987,0.002122696072469188,0.0012993179558263529,0.0024629646794107674,0.004506403892660964,0.00808180058439151,"[[908, 79, 13], [100, 858, 42], [10, 71, 919]]","[0.00952634507294731, 0.015880725922417162, 0.009989918998565182]","[0.030632300374360943, 0.0460715116031528, 0.016049149955923638]","[0.06820074799668364, 0.08876423636487188, 0.031169522343833946]","[0.32787024082440686, 0.47554865050316364, 0.29075661511509543]","[0.07362306146580047, 0.0673208290500416, 0.06201737804562787]","[0.03159266312420829, 0.048311092990018165, 0.016871248042840386]","[0.17459306930396745, 0.19617708075730853, 0.12162424842049194]","[0.9535361195787202, 0.9704706468025417, 0.8680941230343675]","[0.7163470811180476, 0.8209118031513167, 0.724371168928444]","[0.002910605647603043, 0.004105746876997108, 0.003606725332417986]","[0.0036131713727051173, 0.003791498677737719, 0.0022550164646831313]","[0.002388277531348597, 0.0058019224717592134, 0.003526795237788531]","[0.05193343986255636, 0.059012250700985786, 0.04801597264917535]","[0.004715195824085012, 0.0035680653911656776, 0.0025744710778596]","[0.002903487604942961, 0.004602096528692284, 0.0028507055051858075]","[0.004469002981810616, 0.007190565864393154, 0.004947736734103019]","[0.0034792726075719375, 0.002346487457489614, 0.011058860580412392]","[0.014030624056328848, 0.012477847678260101, 0.005357173280977385]"
