n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.9703333333333333,0.10108333333333333,0.16225833333333334,0.027919715427002573,0.6085757575757575,0.49143637734132356,0.08635416666666666,0.23400821859781423,0.9733144309537096,0.8645208333333333,0.007582875444051581,0.01481248534926608,0.0033162845257238564,0.0073678670834569126,0.03029796674866406,0.004825893838010779,0.00793773087056098,0.002405489315657678,0.0009816225517513771,0.003923641838621099,"[[1173, 16, 35], [13, 857, 0], [25, 0, 881]]","[0.10119918213005441, 0.12620621418867034, 0.07687595063211503]","[0.18339959575533413, 0.1861970583023215, 0.11713637965467619]","[0.032064989075676634, 0.006395721638724661, 0.044750230706565246]","[0.6975159539611443, 0.6314049804134865, 0.49565668342005215]","[0.49522688591442676, 0.5965634867238381, 0.3843716921463075]","[0.09768690868428777, 0.09144441490932717, 0.06958919566099511]","[0.2427250380339275, 0.2519811288348142, 0.2075096135381232]","[0.9823932270585743, 0.9785759519065085, 0.9590035567793509]","[0.9189171217500467, 0.9793006189716715, 0.6968781761231213]","[0.01621675360343511, 0.014163149126932832, 0.023232983830851886]","[0.0067128595223842485, 0.01730237733793485, 0.005575553324176439]","[0.01280063739226755, 0.004569702058227817, 0.007015768596710475]","[0.04237810716539597, 0.029198267315258687, 0.018225578439398794]","[0.005811763727461024, 0.008056545695709488, 0.010245892963089545]","[0.0076856565028291185, 0.019261251976739918, 0.006834416615024282]","[0.004663221567232748, 0.01054737980448807, 0.004670902355237007]","[0.0009490358245789521, 0.0016611636724840767, 0.001764649652622583]","[0.0042208015295050905, 0.005812421580997377, 0.009672804648225548]"
0,DCP,0.8653333333333333,0.29016666666666663,0.31881666666666664,0.4753952135423044,0.683231691919192,0.42222292801733213,0.2832916666666666,0.34058054235146573,0.9709581203416702,0.8498958333333333,0.03835868726753938,0.09999071137416272,0.04494451247247976,0.040097634228690046,0.030009229923855654,0.03521493884466891,0.04437325706236279,0.03505440922882397,0.005347025224059707,0.016411292214593514,"[[930, 184, 110], [21, 849, 0], [89, 0, 817]]","[0.264542806296543, 0.2906689413455309, 0.3124370218244552]","[0.3749234626485817, 0.28908480309297035, 0.2914766857624123]","[0.45461690002341, 0.49099815657068796, 0.47837688965441083]","[0.6607658455751938, 0.7410742223451063, 0.6473535307249968]","[0.467433929909469, 0.3559161893952176, 0.4425501949752193]","[0.2924385183402564, 0.25442302086900176, 0.303447349696396]","[0.3500218200776163, 0.31693881484538194, 0.3532067346388798]","[0.9882798386907975, 0.9610425400836992, 0.9634918340306944]","[0.8189831085852944, 0.988481115856291, 0.739792984232945]","[0.10332579026417048, 0.19565496293395856, 0.11652006715474479]","[0.03924022793503811, 0.11587543084497626, 0.04074206330836778]","[0.06661116849965716, 0.13568625831182732, 0.0452077198825811]","[0.04220503087867605, 0.044047405989556684, 0.03968082192983678]","[0.04741524685042586, 0.10822054799632262, 0.033161832053007344]","[0.02898508992867987, 0.08781387920886445, 0.05871903937867504]","[0.019870273227897476, 0.09964104950992571, 0.024541369732593812]","[0.004175836370117637, 0.012571977889060162, 0.007880832566797077]","[0.02741764835581328, 0.0038977171733941183, 0.02993678642382559]"
0,F1,0.9576666666666667,0.05283333333333333,0.0878,0.01587776381134981,0.5762727272727273,0.26904078719603436,0.04713888888888888,0.176360653798798,0.9364281863771131,0.8714583333333333,0.013824294235551818,0.010854946389140351,0.0021807236311728183,0.002849302280510045,0.04027610220274699,0.007996907400228681,0.004881566584871182,0.0036149374934069016,0.0026801647831491966,0.006645474128223573,"[[1150, 26, 48], [23, 847, 0], [30, 0, 876]]","[0.06274743223194143, 0.056531643784140294, 0.039521245468499444]","[0.10873514813295615, 0.08930508252096155, 0.06621861234262126]","[0.015910500756180966, 0.003369388003133528, 0.027530484266425147]","[0.6883524946532178, 0.5514383276441556, 0.49007583949664024]","[0.2961709019921429, 0.2496776654795375, 0.26100458279562044]","[0.056332454582951455, 0.043101125848288256, 0.04205939538131744]","[0.19481900092103094, 0.1732399994717513, 0.161429180564793]","[0.9679830631192841, 0.9215412155154515, 0.919698670089985]","[0.9520557838651371, 0.9889689880208049, 0.683182225749713]","[0.008946656414749586, 0.007236838280645666, 0.01904524696623914]","[0.004573115499915694, 0.0032183027541037917, 0.003935714223621197]","[0.0034724252738852824, 0.0021118352995417606, 0.004442520071437055]","[0.05614530632222207, 0.03971766939304239, 0.017736162854211864]","[0.01163318673324705, 0.005432605766517959, 0.008659427122400596]","[0.005457189268979437, 0.004181727527001286, 0.008284622306776634]","[0.006948514538553795, 0.004061851177559849, 0.004895381728980527]","[0.0022252753329862506, 0.005007011324880048, 0.0023961964036879747]","[0.004112257266759205, 0.0037138704361607067, 0.007249436307095284]"
0,Hostility,0.9206666666666667,0.5674166666666667,0.399225,0.08911756693959268,0.6444501262626263,0.49484097396486276,0.3289722222222222,0.4062694905591422,0.9955869362889629,0.8783541666666667,0.029897974661988187,0.04919702452610546,0.014226546244804322,0.019232318704947737,0.033979471636352725,0.003104322725903519,0.0077887989251223646,0.0061393530330286356,0.000632165648639995,0.008246421782944538,"[[1118, 27, 79], [33, 837, 0], [99, 0, 807]]","[0.5549986908080351, 0.5816112614397067, 0.5646291449498702]","[0.41638641893591055, 0.39055749981038307, 0.39059796420308435]","[0.08087006242776254, 0.01796005088237889, 0.1691235470452473]","[0.6910339900301505, 0.6686190457485747, 0.5740067129755342]","[0.47710985561052344, 0.5249607949737106, 0.48196850997768104]","[0.3312843310816125, 0.29777844667144765, 0.35788322984327114]","[0.4007777273798485, 0.39982463696046266, 0.4184983995424142]","[0.9976511874856726, 0.9949728327857169, 0.9941741779560147]","[0.8977995187227151, 0.9859276131178325, 0.7497704258005831]","[0.053080990405823855, 0.06334688497863464, 0.12930675706605638]","[0.01773800382203927, 0.019350587397058097, 0.033028220631776226]","[0.026415908382490524, 0.00863807671666955, 0.04125987643294126]","[0.041053342487153914, 0.042048540209614974, 0.011237566494958561]","[0.012571966063406954, 0.011031615018751773, 0.0212420946950512]","[0.0295093706870368, 0.03703377614588139, 0.01594619366922787]","[0.008651445846604686, 0.021098544225139206, 0.01824258294428005]","[0.00012083143298548011, 0.001225205290478076, 0.0009879371356944912]","[0.010095392066767246, 0.003983154880676362, 0.015551293213027267]"
0,LSC,0.9559999999999998,0.05691666666666667,0.09433333333333334,0.018254774075756073,0.5737032828282829,0.27997552189541935,0.051361111111111114,0.1796474406303299,0.9377271452697095,0.8529791666666666,0.00894427190999918,0.011271584232534092,0.003308632438200273,0.003954124267571125,0.038829360474307406,0.0024513972389577955,0.005310366310805521,0.0013430217846829675,0.002260864340273607,0.009112529530511561,"[[1151, 20, 53], [17, 853, 0], [42, 0, 864]]","[0.06346544491289852, 0.06758533990041712, 0.03948225066481121]","[0.11927167319910945, 0.09970302277808388, 0.06371129312956589]","[0.024323187942925446, 0.005043801680222951, 0.025804738632492098]","[0.6820943068005141, 0.5635391558794477, 0.47382024658107025]","[0.3134401236671528, 0.27156625026785464, 0.2547946568084139]","[0.06600415725377476, 0.05316377605502316, 0.035073602322683924]","[0.20201714563011358, 0.183639164923276, 0.15298906817710972]","[0.970772330800725, 0.928444738389431, 0.9138525191950462]","[0.9352273834379072, 0.979760436968696, 0.6390051759647797]","[0.009514699360726636, 0.015287668795150786, 0.013261331221127765]","[0.007696868227461097, 0.0075523109208724135, 0.0046028016804817926]","[0.0052162389512037804, 0.0031580159444572257, 0.0066757941449948855]","[0.05682154406788869, 0.04417414480129107, 0.014917456088179983]","[0.006388357793020287, 0.005474983489108841, 0.010429922780478855]","[0.009562336761436488, 0.013824379798982132, 0.006717847813501898]","[0.0041178510153377, 0.004243974179179173, 0.002885820926392963]","[0.0020737719727245544, 0.004513417167438616, 0.003193895061853945]","[0.0019522295376931391, 0.005033303166368043, 0.01852499751695746]"
0,N1,0.9136666666666666,0.4541666666666666,0.4464833333333333,0.11643227989011022,0.656060606060606,0.48980891022431033,0.6238888888888889,0.48794276467697584,0.9969748890890395,0.8733541666666668,0.015293426329272608,0.062145522543641224,0.007864333605306646,0.012637180658696056,0.030591924662050192,0.011511270644787117,0.01056160736603667,0.011461463891962414,0.00043625629232747765,0.005532319027265545,"[[1108, 35, 81], [43, 827, 0], [100, 0, 806]]","[0.44362445468920547, 0.4540260051031081, 0.46716514038845053]","[0.4687128995992319, 0.4274522618619434, 0.4428715631585122]","[0.11031380448109082, 0.02773743554093952, 0.21348832677884672]","[0.6894761595734586, 0.6639362907676603, 0.6137313062526691]","[0.4949169659473407, 0.48445975126103996, 0.4891972219520097]","[0.6275432854477785, 0.5956881244001094, 0.6489351280827234]","[0.4827863579174997, 0.4817221877408686, 0.49960256649372176]","[0.9989302421570667, 0.9965759734955923, 0.9953484510414704]","[0.8826866882497599, 0.978196186398773, 0.7558018538341094]","[0.037916398264002324, 0.08962598138962363, 0.11585114566034664]","[0.011619543443005753, 0.01769711538681388, 0.015945143803372707]","[0.02141598455845519, 0.012905959706561, 0.03515612328634303]","[0.033825197481720574, 0.03102796173572261, 0.024905924323361722]","[0.015432335744582762, 0.03683242245567442, 0.007371192953585763]","[0.011275140120275848, 0.008645629075027122, 0.031768178008747636]","[0.013110260011584034, 0.017743765774118646, 0.02912268830815537]","[0.0001158370298013542, 0.0007359425827117983, 0.0008442739541952788]","[0.00905318527587855, 0.002712406040735928, 0.008193544624419744]"
0,N2,0.9713333333333333,0.13374999999999998,0.17970833333333333,0.03662894406976671,0.5991887626262626,0.3566162979038065,0.13645138888888889,0.2809546063894686,0.9667547625206122,0.8665416666666668,0.009159087776022737,0.019007491213261743,0.005607302406485465,0.005516817183258112,0.03620630777518812,0.005511154701537009,0.011649225347463576,0.005406196829553779,0.001016643678758651,0.002383801308950786,"[[1179, 14, 31], [10, 860, 0], [31, 0, 875]]","[0.1353175508039611, 0.1473698676393815, 0.11980766151639219]","[0.20266349565657263, 0.19044031356410582, 0.14671461454479767]","[0.04163932462262905, 0.0074489887108555005, 0.06038822939245316]","[0.6797579760373298, 0.6076954048759204, 0.511807848335144]","[0.36117905854437865, 0.36908133419892153, 0.3398415870552414]","[0.1484069077146705, 0.13591349043177645, 0.12469263391038879]","[0.29874843688296115, 0.2873779547143523, 0.257115632326705]","[0.9817883021514706, 0.9659378577145062, 0.9527950815497741]","[0.9226239527052534, 0.9854209980722274, 0.6939415838086692]","[0.021908135522966065, 0.022258659918310456, 0.036660287864077705]","[0.013011823213526277, 0.014911963499659939, 0.00791748497138849]","[0.009644894999054316, 0.003527738301923461, 0.006813556443016278]","[0.05427364648915958, 0.03253725580895536, 0.019373280025136164]","[0.004364194513577569, 0.014006685720175348, 0.011315089719680987]","[0.017046759129139073, 0.025005560784772073, 0.007919978124176146]","[0.006963650597612219, 0.007636383830491623, 0.007307479706646014]","[0.0007047430421636909, 0.0012252861248865275, 0.0014052410545370808]","[0.00562491965541388, 0.0020038020290495755, 0.009969181650494376]"
0,TD_U,0.962,0.06275,0.09805833333333333,0.02000775138929502,0.6062613636363636,0.2816490986147177,0.05520138888888888,0.18281451607024096,0.9352953618295585,0.8591041666666668,0.01174970448800975,0.013805443773301089,0.007624464917473075,0.0029174861637917392,0.040550219999318945,0.012215782536690782,0.0063387031024969885,0.003695630979600254,0.001209279082708775,0.005174158714494312,"[[1152, 20, 52], [14, 856, 0], [28, 0, 878]]","[0.06617861382796834, 0.07490746768474905, 0.04773973421704972]","[0.11735178089067193, 0.10886420520961608, 0.06881308149182]","[0.01952493054805987, 0.007273049768067019, 0.03302127454494917]","[0.7034238858371253, 0.6056544078272367, 0.5113708274334494]","[0.31310897722601927, 0.2834225863397279, 0.2492389490305702]","[0.06323348991975304, 0.05710493688748092, 0.04559991380646118]","[0.20228239257632136, 0.1919321420242838, 0.15487242438548066]","[0.9694735963015239, 0.9359110103057734, 0.9012418192891241]","[0.9483018910299157, 0.9820462103664367, 0.6514621149614225]","[0.013159932667456154, 0.018496599185300455, 0.0138599501279224]","[0.007143001061386593, 0.01583302019484081, 0.006156101065714846]","[0.004524469132677959, 0.003159571634455891, 0.0027325458999865773]","[0.0504018275005942, 0.04871333434019724, 0.018516620892611944]","[0.007896482960577203, 0.021589994456218013, 0.007875401052804555]","[0.008145051730464302, 0.009318148517746604, 0.007119251474179804]","[0.0052567730288329995, 0.00798891042643845, 0.0062960203639199335]","[0.0016682304825293725, 0.0012641406661558806, 0.00273636802634268]","[0.0027760449336956252, 0.0029525264370376145, 0.011840886561262066]"
0,Uniform,0.959,0.05391666666666667,0.09135833333333333,0.019510906588537366,0.5792474747474747,0.2701184052773667,0.05010416666666666,0.17463900689940665,0.9335335529959018,0.8550416666666667,0.006078194176270157,0.007410343746712729,0.0024908861653814797,0.004409017190944577,0.04048822527318501,0.00660126163613214,0.0018638751758892785,0.004054006913189397,0.003102309705665881,0.0069685086530205664,"[[1160, 16, 48], [20, 850, 0], [39, 0, 867]]","[0.06528492079638253, 0.05949066533964462, 0.03289242946241481]","[0.11767908604320217, 0.09146379617373288, 0.05570848516574185]","[0.02577421621052394, 0.005448125532490061, 0.024489640767220544]","[0.6803623724343073, 0.551118321882863, 0.47113357749341667]","[0.30912726604427004, 0.2500585141827426, 0.2369413419312484]","[0.06498203043214335, 0.04702628203943158, 0.03298723612710423]","[0.19865001281130085, 0.17333178966135, 0.14355126974992227]","[0.9686079553845092, 0.9212469810887438, 0.8982235354476618]","[0.9391932172694245, 0.9821202114367453, 0.6216044428849014]","[0.007101232803440163, 0.019544993739619262, 0.010310831173674307]","[0.006933939400145575, 0.009929414284744595, 0.003230423321291471]","[0.0053266842419529455, 0.0034734657955419516, 0.008428606578314093]","[0.057766425882406214, 0.039413841058559655, 0.02379991456720907]","[0.01193940639082644, 0.011269706806834645, 0.004840178084249195]","[0.0037633983701002975, 0.005814800436925598, 0.005280642190261091]","[0.005102621281323841, 0.008837512145453502, 0.004990365522516176]","[0.0012004073018600972, 0.007122412381328201, 0.006203469540142067]","[0.0045350080253964455, 0.005075331613294429, 0.015209282818499661]"
0,kDN,0.9606666666666666,0.29083333333333333,0.390575,0.07391906153735217,0.6443213383838383,0.4940496124878302,0.2555694444444444,0.36137435299354265,0.9955024231948835,0.8798125000000001,0.014023789311975097,0.03369980835751641,0.004392366326303448,0.009180343004150543,0.033294625442872317,0.006206702084088909,0.005537329042452034,0.007150783753515491,0.00020213355993804223,0.005597637925698846,"[[1178, 8, 38], [20, 850, 0], [52, 0, 854]]","[0.2717523034074552, 0.3103156724236382, 0.2900626079101859]","[0.41442138194053146, 0.37846305840029426, 0.3787836418568944]","[0.08219197299160612, 0.017944227266121975, 0.1216930187975502]","[0.6877363318221204, 0.6627409982700353, 0.5820250298527082]","[0.4996383869821332, 0.5156023615130028, 0.46634731060311035]","[0.25400147639163634, 0.23721809595768145, 0.27577075659484984]","[0.3617778959489601, 0.3592531087491112, 0.36308498289513225]","[0.9971834888277339, 0.9952275609539442, 0.9940952940039836]","[0.8961996355845117, 0.9843615056115317, 0.7579449759777847]","[0.020792983289489267, 0.03143989251499364, 0.09552255267888979]","[0.01051182842702593, 0.008587641549101145, 0.017761206239881724]","[0.016693172053080883, 0.007059082599883361, 0.021192497739351158]","[0.04007667391041587, 0.034705860017682895, 0.020807890100883925]","[0.006606091560417464, 0.01725350019183437, 0.015102574999276093]","[0.016329046722743802, 0.017574774694285967, 0.016095400799924314]","[0.006235362301580906, 0.012102032944313966, 0.019416854006344377]","[0.00017088393456894817, 0.0005019025332633844, 0.0003729305203589919]","[0.004431952715362236, 0.004544818811405635, 0.008419411551494012]"
