n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.9123333333333333,0.028583333333333332,0.03433333333333334,0.009802193611989382,0.5501281565656566,0.136115710604554,0.025263888888888884,0.13584083499273486,0.9003761453163562,0.8469791666666666,0.008866290718846924,0.0049000425168223465,0.003150727429234928,0.003567461556127995,0.04551387502686377,0.0051784760207476315,0.0016155351137328176,0.004749928547464039,0.004283618833508201,0.004402197210232363,"[[1081, 85, 58], [89, 781, 0], [31, 0, 875]]","[0.04517367985251468, 0.023409115172182898, 0.014489091842468799]","[0.05300687342206149, 0.02749298900101199, 0.01973080177944315]","[0.012931673488316281, 0.002526661309211312, 0.014247239241048487]","[0.6720969243657822, 0.507290272877992, 0.45358796901124193]","[0.16936009854400713, 0.08740976457375517, 0.15158411370083327]","[0.03576493777731502, 0.022791840226868008, 0.015595326578939592]","[0.16555068377829302, 0.13012210853829362, 0.10668027845316053]","[0.9580339814321837, 0.8839305298591367, 0.8496596337109313]","[0.9585434990140351, 0.9813407559901407, 0.5608936816574963]","[0.006856426923891389, 0.007523559302372514, 0.005014812247994912]","[0.005573486641235105, 0.004731399776042076, 0.002182695737282813]","[0.0019415918936617745, 0.003664038299646206, 0.00556633319430005]","[0.06324528000348505, 0.061067326694737106, 0.025735383911620124]","[0.007379282227037055, 0.006380672540498189, 0.007041033639560025]","[0.004128467652788679, 0.005722123281895647, 0.0017945902992009364]","[0.006158125988596959, 0.007999706496358061, 0.002764551323169996]","[0.002164204292350887, 0.008161202612208594, 0.009989974336395856]","[0.004220503974617738, 0.005074842197000022, 0.009643694865099967]"
0,DCP,0.9413333333333334,0.054000000000000006,0.06771666666666668,0.0018600480542690962,0.5748882575757576,0.27998868689506207,0.04718749999999999,0.17695336766574693,0.9356474876004512,0.8810833333333333,0.018536750284532354,0.003981293061863751,0.004331570154112711,0.001014385032084298,0.04811428290190451,0.017202958151596347,0.0070013725643972,0.004367243113917334,0.008159505770777314,0.013693579002685075,"[[1123, 39, 62], [17, 853, 0], [58, 0, 848]]","[0.0582457556757881, 0.06245209985679041, 0.033392850015260475]","[0.08124104252612821, 0.07174948773812422, 0.039513158504735676]","[0.001984962890589421, 0.0005081709773024602, 0.00406506683444406]","[0.6799764141149682, 0.5485235751249142, 0.43269826855235494]","[0.3053755550852421, 0.27370781679505557, 0.251728199679685]","[0.05635446211220505, 0.05037464334666926, 0.02774481175420776]","[0.19593360499234086, 0.18028260440036759, 0.14121033110899978]","[0.9696876290844767, 0.9257368715757085, 0.8939493016556351]","[0.9406560863979234, 0.9827399413234005, 0.6109406288286209]","[0.01002489630112683, 0.012366791081320747, 0.007555845361052127]","[0.010439367939530533, 0.00830829417650219, 0.013729226745171944]","[0.0009909892254370066, 0.0007900491592330853, 0.0018272868353294799]","[0.07007259322702464, 0.03654994093260711, 0.029446119928254574]","[0.021811907279675927, 0.03167822355416422, 0.025055169531130662]","[0.011544883449647707, 0.008600416691781614, 0.010612476781149988]","[0.007969638652282498, 0.011199481707682498, 0.00917896157600541]","[0.002701010914359061, 0.008914777538402382, 0.015168603578549033]","[0.013354902931925526, 0.00290066326055923, 0.022263608763675703]"
0,F1,0.9596666666666668,0.050416666666666665,0.06581666666666666,0.018583951321285513,0.5624229797979798,0.26402598537487454,0.04836805555555555,0.1704151295526801,0.9271509853066167,0.815625,0.009082951062292496,0.007688600869685806,0.006151558068218707,0.004291199986381131,0.04132886162035209,0.0037981721274709577,0.004954156640334993,0.004175264885639856,0.001496840668147693,0.005544857320827432,"[[1165, 21, 38], [28, 842, 0], [34, 0, 872]]","[0.07123508474860822, 0.049438209531527076, 0.029773879369171807]","[0.0959630258261285, 0.061400050892276604, 0.03803347199735438]","[0.023222917886532184, 0.004112329452119175, 0.02406728297636844]","[0.6747661958196299, 0.5454523258179609, 0.4594996038260274]","[0.3182376104966781, 0.2407822606366425, 0.22501880335540206]","[0.06701612049943667, 0.04450144735674951, 0.031902493823246995]","[0.2049478270640423, 0.16691323706185743, 0.1374567470609392]","[0.9706389726257243, 0.9159243393109747, 0.8905448374221201]","[0.9205031712916417, 0.9679362376892605, 0.6002731073315162]","[0.006591170174324395, 0.010413028123664195, 0.01147559741902719]","[0.007245977337136997, 0.007645397377599433, 0.0037380081932411255]","[0.004757871542967686, 0.003256620253786449, 0.004266466722043975]","[0.0547794782091642, 0.04768041789520116, 0.02381034071815231]","[0.012444691246314374, 0.009957471443902166, 0.005241568762542903]","[0.004352697037738744, 0.00931760864751615, 0.0028053877620759803]","[0.005600037907523875, 0.0064587282782994125, 0.005334679635959885]","[0.0007190697668095462, 0.005243938001442176, 0.0035861225724804157]","[0.003373879323128696, 0.005992016661110048, 0.010622243745714117]"
0,Hostility,0.9393333333333332,0.0020833333333333337,0.025016666666666666,0.010008648119957981,0.564707702020202,0.2309048018746273,0.014152777777777778,0.1414860340743217,0.9225665977100295,0.8451875,0.008787617550976082,0.0009771699499632146,0.0017533697714844857,0.002992226157571229,0.03894335170210148,0.008282492800474753,0.001868655676012525,0.001631603500105331,0.0022744584364182857,0.0047669197922301865,"[[1126, 42, 56], [56, 814, 0], [28, 0, 878]]","[0.0032017553883642033, 0.0017509856295283301, 0.0010158840311512067]","[0.030604234597146934, 0.025823648081482777, 0.017528898791713397]","[0.01140839048090409, 0.0021616956342033174, 0.015246787837482184]","[0.6786183824378227, 0.5282867528278117, 0.4618345594996741]","[0.26162533510929953, 0.20244594014187117, 0.2188706305419233]","[0.016273107307193526, 0.011328873598754252, 0.014048305670974731]","[0.1572611290849849, 0.14036867661351268, 0.12359159818526104]","[0.9619358569645649, 0.9080829606761134, 0.8882192889110995]","[0.9464571174192364, 0.9794947716429666, 0.6060259859716156]","[0.0021356068076886607, 0.0010794386853138884, 0.001483377152174466]","[0.002083470739220943, 0.0033821550513213968, 0.004498121365847479]","[0.0032556594746759836, 0.0019413736158195815, 0.004335537034583711]","[0.05660698708963191, 0.0378731939411018, 0.022119768616551547]","[0.008855237485277298, 0.008761611230880907, 0.010601480008937913]","[0.0024885119476623562, 0.003855708137867216, 0.0016678956946060677]","[0.0020195353370128766, 0.003558827622840424, 0.0010325279855675049]","[0.0017463759011832948, 0.00643374944186263, 0.0015983546785346323]","[0.0021929084433050497, 0.0055563569431942355, 0.008486639657609952]"
0,LSC,0.922,0.008916666666666666,0.011916666666666667,0.008184198818962459,0.5443162878787879,0.17855460990233046,0.005972222222222222,0.11484833994139561,0.8940118228937175,0.8291666666666666,0.013406051701460135,0.0022553947671207267,0.002462919451021941,0.0028720688024433056,0.042531841954728256,0.0075584912267468145,0.0022065692202524333,0.0021166223215232666,0.0034986786927059914,0.003490749183357517,"[[1099, 54, 71], [58, 811, 1], [50, 0, 856]]","[0.012153418062557769, 0.00971415577006044, 0.005159427008141862]","[0.01651657961800527, 0.012726618344031554, 0.006824568965082161]","[0.01048584631974268, 0.001857731266567722, 0.011493648710207225]","[0.6791562117187739, 0.5054816982293612, 0.45068640670831844]","[0.2150559636930224, 0.1416677453533798, 0.17628279430042185]","[0.007494365753966221, 0.007308877626714286, 0.003336268022574596]","[0.1330935773743107, 0.11255004726133529, 0.09959777435264361]","[0.9500968694297086, 0.8757977939082077, 0.856797015290962]","[0.9579755094124524, 0.9739263010464871, 0.5803559180021484]","[0.004036840899140224, 0.0033285828200722814, 0.0037878955627523607]","[0.00378405321707656, 0.0027911886334514107, 0.0019510528217856439]","[0.0017944620459707406, 0.002294734602326714, 0.004853896406693132]","[0.06017452403491591, 0.054688679662619706, 0.02367883270637985]","[0.007253457332869026, 0.015406986150293796, 0.006044463574844406]","[0.0016907567284937869, 0.0028974120565391464, 0.0019130676039936444]","[0.0027481166373979145, 0.003957801952903583, 0.0020448473748966686]","[0.0019268492456576691, 0.009405602122320451, 0.004139850528284876]","[0.004157500162963233, 0.004166998213934236, 0.008247959256361922]"
0,N1,0.9446666666666668,0.021583333333333333,0.034083333333333334,0.010982955562347818,0.5730681818181819,0.25054474636425583,0.002333333333333333,0.14930281915929494,0.9285679080986965,0.8524583333333334,0.013914420976494543,0.003637192140465867,0.0027863755828834106,0.003017540170358375,0.04276227834509974,0.006049131640056232,0.001020148107136325,0.0033597262274397133,0.0023354119143554936,0.00622460116973149,"[[1133, 37, 54], [41, 829, 0], [34, 0, 872]]","[0.02696679686712896, 0.024453391622898866, 0.012158084990866723]","[0.045634297906983964, 0.03336533997126544, 0.020508441698480786]","[0.013346388079944588, 0.0021040236621111368, 0.016408838571176303]","[0.6804292636646365, 0.5419307097252972, 0.46914058348984716]","[0.2812020518828255, 0.23462610524508037, 0.22792638521350767]","[0.0028711762555842036, 0.002500609717251363, 0.001492488621986954]","[0.16820962843168233, 0.14876502798442606, 0.12648539217926197]","[0.9652353128671223, 0.9162238099928484, 0.8949268298205089]","[0.9446718360073383, 0.9798173835956423, 0.6195950525464777]","[0.0016355716059594737, 0.005836566376229335, 0.006524214386659155]","[0.0022927819268295383, 0.006987876459631233, 0.0017966882434492268]","[0.003358612278843011, 0.0016011812872126178, 0.004745303387476458]","[0.05804239461913303, 0.041395624276733545, 0.023125893914473495]","[0.008337158608932506, 0.015444382537516262, 0.004826796099254946]","[0.0014182622161608791, 0.00045649814214398046, 0.00105630694376105]","[0.0032800521348096295, 0.006508306771457768, 0.0008823752580773015]","[0.001344001266578624, 0.003771865643459417, 0.003967544417473078]","[0.003988118185795304, 0.004464755386722476, 0.008682566780225918]"
0,N2,0.9356666666666665,0.012166666666666668,0.019083333333333334,0.008919538805782171,0.5486748737373738,0.19905102172226177,0.00798611111111111,0.10329684853357575,0.9018667574075094,0.8264166666666666,0.009249624617007759,0.004314059701848262,0.0030731814857642968,0.0031569974959242703,0.03961874933499761,0.005332065344656298,0.001922307018842557,0.0021589590972682154,0.002710487964349844,0.005092780667823402,"[[1117, 54, 53], [42, 828, 0], [43, 1, 862]]","[0.019932501117219555, 0.011033486917602798, 0.005004093233949728]","[0.028654329475450584, 0.018998730881701436, 0.009353334155071951]","[0.010464429892690988, 0.0034123322607982703, 0.011803012468165765]","[0.6800631399087805, 0.5107616217543732, 0.4470781701462374]","[0.24445274085272786, 0.165791556629592, 0.17969358115469103]","[0.010422639679515715, 0.009553312254916258, 0.004134554792544083]","[0.11845903203386594, 0.103050447723568, 0.08810089650282939]","[0.9553423711826576, 0.8855583962463157, 0.8605987124187381]","[0.9502670239514803, 0.9781320857960623, 0.5769801859208334]","[0.006214852973908584, 0.004097703297846463, 0.0025381411372643417]","[0.002344604419397898, 0.004104705183638081, 0.004301113006811425]","[0.0034914051578271432, 0.003642970119792159, 0.0031784613821027007]","[0.06181527345267128, 0.047267943154073094, 0.021634268818388515]","[0.008645404688598049, 0.010218473164026196, 0.009327759132481529]","[0.0025433788328770757, 0.002981977182233443, 0.0021923735416423586]","[0.0020395667032956943, 0.0024174347146775762, 0.0026419167460380666]","[0.001835989755208145, 0.00436300445341519, 0.007641844097457514]","[0.0035573481599009238, 0.005598260905133577, 0.017272485975834452]"
0,TD_U,0.942,0.036583333333333336,0.0458,0.012358907384628507,0.4990871212121212,0.2267442931026798,0.03281944444444444,0.1511877473859558,0.9154775507322543,0.8068541666666667,0.01948646253741874,0.0067017307051570225,0.004114506855829341,0.004417022478220138,0.032279874324206925,0.010704375496168584,0.0039506656973427295,0.00448136133966253,0.00296221801542322,0.0069356541588455065,"[[1144, 38, 42], [51, 819, 0], [43, 0, 863]]","[0.053267990587201774, 0.03485996911096673, 0.025595482536456483]","[0.07463532685061229, 0.04003922853412649, 0.0288933057776175]","[0.022161448177903845, 0.0011261609970104895, 0.014077633267525846]","[0.6301093517904005, 0.4730964057517161, 0.425212244183837]","[0.27430579347188394, 0.18798659794912562, 0.2224172248692436]","[0.05031311207737582, 0.02667309638780927, 0.02466531663849931]","[0.1862534708970402, 0.1430130442851766, 0.13174980512295906]","[0.9668642433654959, 0.8991142627952693, 0.8902170232197776]","[0.9213587766778755, 0.9790294646805122, 0.58491249067172]","[0.01110510644820068, 0.007341143981029886, 0.010106707127188957]","[0.0069458617529905625, 0.007479646441428524, 0.0014945334054460788]","[0.008270662483367327, 0.0010214692977510772, 0.004297299382995527]","[0.06328351097651118, 0.03426656900200756, 0.02643907977848307]","[0.006810325786518849, 0.025644251497914224, 0.008977245363560503]","[0.006244068639688046, 0.0064353283863335725, 0.005246819565186643]","[0.005620736103663937, 0.009089061182753086, 0.00348068859518783]","[0.0014662798070041315, 0.008849219754166837, 0.006622439521298413]","[0.00522510123374373, 0.0031679895979513035, 0.012415507520286155]"
0,Uniform,0.9576666666666667,0.053000000000000005,0.06798333333333333,0.017844634824693593,0.5786799242424243,0.2654709147579824,0.04934722222222222,0.17537057246362173,0.9329125477890032,0.8527708333333333,0.017021228575582418,0.007285116105228979,0.003946429469223482,0.0050402795184905464,0.04247652379164329,0.009831954092638102,0.0026490802838548735,0.004576012884850749,0.003590210364398251,0.005001410391357338,"[[1156, 27, 41], [21, 849, 0], [38, 0, 868]]","[0.06073752031072825, 0.05903578316452013, 0.03690536955808954]","[0.08488683402578465, 0.07001041258943594, 0.04349813511857795]","[0.022018097119764473, 0.0036498099403289726, 0.025854202086977286]","[0.6780898289243329, 0.5552853304764852, 0.47100040679194255]","[0.29576771695040144, 0.25262348632725756, 0.23780094873767074]","[0.05821805366126744, 0.05017333203517958, 0.036893318056570854]","[0.19773705637653446, 0.17551820368646293, 0.14570870378109724]","[0.9687716056264994, 0.9228332890861051, 0.8954545171989207]","[0.9384383544473629, 0.9796113392486514, 0.6200091681226014]","[0.005648617909351079, 0.013631990941932138, 0.013488877122924209]","[0.005936424069771984, 0.007814677887084566, 0.0019218123963138053]","[0.004349945037206094, 0.0021586717490881405, 0.008146521674450406]","[0.057518325533609, 0.04665716471371279, 0.020874633007589155]","[0.0068451435684843435, 0.012598861299235079, 0.010246859049827415]","[0.0032655383684997096, 0.0055772668136828945, 0.003355314140737356]","[0.0032963244060614173, 0.008778465382736798, 0.003951137601997919]","[0.0010632447414612167, 0.006432980232032082, 0.0052587294733252325]","[0.003106911779816108, 0.00498892348687934, 0.011298594164406973]"
0,kDN,0.9306666666666666,0.00625,0.007683333333333334,0.009042515376342892,0.5668257575757576,0.2308496130877947,0.005520833333333333,0.1351674137470915,0.9227215404042758,0.8476458333333333,0.00813087394510027,0.001586619397054981,0.001132536484572965,0.0022956918943356826,0.04353212250160072,0.006868627369353989,0.0012371542882861017,0.002550418434738153,0.002015520030610564,0.004976943366945013,"[[1114, 58, 52], [58, 812, 0], [40, 0, 866]]","[0.006592359528409093, 0.00822874990650541, 0.004119278696387167]","[0.00923239047649011, 0.00814886482352288, 0.005403196371978133]","[0.010519481097745757, 0.001638372359006366, 0.013814351579073838]","[0.677094994143826, 0.5357078856939681, 0.4605589879874957]","[0.25605715724743616, 0.21288284635199567, 0.21619745627580417]","[0.005673996422991423, 0.0058379456917337395, 0.005040011823622954]","[0.15013582328213051, 0.1347463487446669, 0.11737571618000882]","[0.961456431815326, 0.9082779037697117, 0.8885785992037135]","[0.9472113463756171, 0.9773068092322393, 0.6124347355337343]","[0.002439882948832185, 0.0022005928040002174, 0.0020585479911016534]","[0.001670797206175661, 0.0019892018416570265, 0.0016490706399186366]","[0.0022827884539116223, 0.0018376494206676366, 0.0035975641313744236]","[0.05959624965544839, 0.050224243242072975, 0.02397604113425934]","[0.00960658214611014, 0.015415611724229056, 0.006825200236506443]","[0.0012497737781140342, 0.0029710767879641995, 0.0022008815472338516]","[0.002463767105913597, 0.005376928738771743, 0.002947882712931056]","[0.0017524918229172332, 0.006175495378526978, 0.003558449519336214]","[0.0037322425367155563, 0.0037857222693642094, 0.009680934363475757]"
