n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.897,0.027166666666666665,0.043525,0.009880801088593467,0.5501685606060607,0.13290353026250637,0.024902777777777777,0.1341450591026566,0.8993624714896988,0.8461666666666666,0.01745629463036823,0.004568156691221915,0.0029320428032346335,0.0016160561917793015,0.04791762317137307,0.005563746942615917,0.004030575536936458,0.0037695279331276966,0.0035784128785734904,0.0068834386341824864,"[[1065, 102, 57], [92, 778, 0], [58, 0, 848]]","[0.04217829588696865, 0.02260860495320439, 0.013941609763769666]","[0.06254003360386182, 0.03805336108543194, 0.026589301566635]","[0.011907833151308016, 0.00281623545738508, 0.015366789259512719]","[0.6718910265521469, 0.5029096542615855, 0.4551917915551121]","[0.1646294088917162, 0.08467637723445638, 0.14907053861397324]","[0.035425267376591164, 0.02360025366202227, 0.01351799944075725]","[0.16129714642744655, 0.12945113361616792, 0.10642008190116162]","[0.9569482787283621, 0.8831030712774945, 0.8478364682593297]","[0.9570692081821683, 0.9800281621563045, 0.5612840147887441]","[0.006903649626360584, 0.009054347234166269, 0.0027528198537587175]","[0.0043407855693239576, 0.0038597649663080127, 0.0022081685755362215]","[0.002310225819551315, 0.003171069560819332, 0.0033637014396064825]","[0.0678990231052074, 0.06122029729042527, 0.023030453667277056]","[0.004321130488300836, 0.0035822273113668623, 0.01238449780549459]","[0.0033871012326440603, 0.004992680826269874, 0.003914398006526594]","[0.005834266925886773, 0.004213755994557925, 0.002462347504864269]","[0.0023299826089621324, 0.005464160680205037, 0.00310919719519854]","[0.0030144934901964035, 0.006513900503199442, 0.010022399648796051]"
0,DCP,0.9466666666666667,0.05433333333333333,0.09015833333333334,0.0018492045915110857,0.5734482323232323,0.2796472004830809,0.04705555555555555,0.17667358524568844,0.935878649041744,0.8843958333333333,0.012583057392117906,0.004935345873278681,0.005622561199706448,0.0013944172818563987,0.04536410704556622,0.016484916540821203,0.00639927823741682,0.004792823437504046,0.006488031716232101,0.017238308739387507,"[[1117, 40, 67], [18, 852, 0], [35, 0, 871]]","[0.06416833886284438, 0.06128696644625892, 0.02743816355914509]","[0.10446666846161527, 0.09820641718257142, 0.05469965594052075]","[0.0018514247856292927, 0.0004551888344987982, 0.004364430401977126]","[0.6800343786054809, 0.546343640406606, 0.43264617925414833]","[0.2962414625383684, 0.27874866871423815, 0.25933927284095015]","[0.05645405828036291, 0.050336222167823394, 0.026824446239263843]","[0.1945097803421018, 0.1809031211620007, 0.1415540480660457]","[0.9681806275912477, 0.9244077541847222, 0.9002712460013333]","[0.9430206037967782, 0.983808572626225, 0.6171010340921262]","[0.014727690887159266, 0.008129157517844413, 0.00687891539036238]","[0.01195441046237155, 0.004316859326905049, 0.011988336636894656]","[0.001222013807621088, 0.0007222446873099105, 0.00252436428749604]","[0.07152577243165766, 0.03651830630854739, 0.025422579750967463]","[0.015690032824989084, 0.03835201485270793, 0.017158322869511754]","[0.011852398590399198, 0.004797261480550325, 0.004280321260589935]","[0.008067842991782747, 0.00989002850719896, 0.007067297786468055]","[0.0012869675551008565, 0.009544727748190063, 0.008453357114057381]","[0.012153804150010675, 0.0014436414373232515, 0.02682494317327023]"
0,F1,0.96,0.0505,0.08595833333333333,0.018611823199944044,0.5628825757575757,0.26710404382893244,0.04581249999999999,0.17071598324136117,0.9290839120400379,0.8144375,0.018892973414591067,0.010997948040935233,0.005782291572839732,0.004893974297301209,0.039140806905113665,0.008511593735374866,0.005132879369056311,0.0012209708210438824,0.001813596894312566,0.0030623937056383534,"[[1164, 24, 36], [27, 843, 0], [33, 0, 873]]","[0.06367247072757233, 0.061960874151229486, 0.029681967197366967]","[0.11655770644443086, 0.08966507684914217, 0.05277912876461124]","[0.024129827647783503, 0.004142745472063087, 0.022399726939009476]","[0.6732155576868547, 0.5513694591260526, 0.4605570845290098]","[0.3074773307017134, 0.25772449227727046, 0.23263559834686087]","[0.06286914117665457, 0.04436275642256662, 0.029566826908184313]","[0.20096804747193125, 0.1720095282338384, 0.13956988329090586]","[0.9702745837674819, 0.9210643672455662, 0.8930765130171728]","[0.9221831871156339, 0.9715688530001595, 0.6049428326689609]","[0.013525625397321373, 0.01547923380477901, 0.009964220954424483]","[0.010203372039893887, 0.009659370397849963, 0.004588488069629151]","[0.005066708525678565, 0.003104961052681469, 0.006115918162262586]","[0.054599740267892924, 0.04140512089909076, 0.022112930080538884]","[0.00895663248646414, 0.0225125408911067, 0.006169978445443919]","[0.008225543573492247, 0.00569942327892759, 0.0018556304114327657]","[0.0011616029707630293, 0.0029497906503735904, 0.003667856249537144]","[0.001299512231355716, 0.002549427755015473, 0.005295735601343533]","[0.004192976373277578, 0.004211278043914794, 0.013958609837566879]"
0,Hostility,0.9416666666666667,0.0013333333333333335,0.045891666666666664,0.009664405603730046,0.5646041666666667,0.23224639675575678,0.014270833333333333,0.1421492850309667,0.9225423732575468,0.8469374999999999,0.013488678380198843,0.00018633899812498252,0.003830909559824604,0.003237955598607863,0.04353860859911219,0.007791390703414799,0.004511885239065133,0.0030495794184057633,0.0016178772163459017,0.0036201476143936408,"[[1125, 43, 56], [43, 827, 0], [33, 0, 873]]","[0.002154243662894056, 0.0014266928999349675, 0.0002583979328165375]","[0.06019855432447294, 0.047155526070650725, 0.02766392073720786]","[0.011437853559930433, 0.002428736403580516, 0.01403168604069115]","[0.6793856116141571, 0.5282679334260003, 0.45877479233261215]","[0.2680821977267223, 0.20795997499120816, 0.21094134940037584]","[0.017948055133320227, 0.015165270263837367, 0.009132595325187955]","[0.16225806076587937, 0.13958168782531427, 0.12031818526058222]","[0.9624649734904892, 0.9080372270742867, 0.8875172961393277]","[0.9466556720785084, 0.9792088444435869, 0.6072235910083867]","[4.4352291408966813e-05, 0.0008680693537238849, 0.000516795865633075]","[0.00281960260633532, 0.006319416277466622, 0.002938883455160948]","[0.0037529736511658775, 0.002203663436340649, 0.004876391771447256]","[0.05827368242811317, 0.04827558092959195, 0.02300443604933267]","[0.010075564209240754, 0.012731752287784654, 0.006993494152879174]","[0.00451427037424058, 0.0037515575365619997, 0.004686315540578954]","[0.0026314464480472225, 0.004703514461347554, 0.0018747902152423635]","[0.0007555466098247253, 0.004867799983857017, 0.004210460309233428]","[0.003555938616075271, 0.004811595159775065, 0.010553342863083535]"
0,LSC,0.9176666666666666,0.00775,0.020983333333333333,0.008055770646696003,0.5443055555555556,0.17780085616150748,0.006041666666666666,0.11356608678277565,0.8929026993658751,0.8276249999999999,0.010710846008706395,0.0021770584129355212,0.001304572620524525,0.0025430107389543054,0.045165890915817,0.0044932352299493425,0.0007713493017889952,0.0014642313603556525,0.0032802029383225237,0.006149098708799142,"[[1090, 63, 71], [59, 809, 2], [52, 0, 854]]","[0.009236610382492984, 0.010234052766275226, 0.004213015961892196]","[0.027245602654199664, 0.024826239338165655, 0.01187260611785653]","[0.009061791593219164, 0.001954689518180769, 0.01244170601584353]","[0.6779671992929749, 0.5046536328991575, 0.45416864316650785]","[0.21398108398210777, 0.14631457170226692, 0.17176912056551918]","[0.008576595987600346, 0.006505074941090691, 0.0033123323536659597]","[0.13348522918829375, 0.11174488205012752, 0.0966602871832602]","[0.9503761533995331, 0.8769303039337064, 0.8533001390240458]","[0.9574725965590938, 0.9762041803113266, 0.5768893869989771]","[0.0025975176414514208, 0.0027464733406460224, 0.00215346218194206]","[0.0018064978492960209, 0.0029902263552462603, 0.002241649017847524]","[0.002307849133086491, 0.0017495100820255451, 0.004778728106407416]","[0.0625225837435594, 0.0526983301068155, 0.026629166797479713]","[0.0048124347934224085, 0.009221896746760957, 0.00463317786621323]","[0.0023860114385606595, 0.0015783584183772159, 0.0011275070307669862]","[0.0017247649791212536, 0.004795780487386161, 0.0009174673076152798]","[0.0014452927195365746, 0.0071501893350874686, 0.003847275036151965]","[0.004257859730749207, 0.0062712855026511366, 0.012714815555297788]"
0,N1,0.9473333333333332,0.0235,0.059458333333333335,0.012275318087242738,0.5717752525252525,0.24881493252736336,0.002048611111111111,0.14864951078816527,0.9289683134748259,0.8525,0.013049052754042226,0.0055167044308878635,0.0028632004237682455,0.0049471059012286015,0.04381561582145364,0.008142930392645678,0.0009578551544537306,0.0027369487353183673,0.0029021029159277735,0.008667455392796123,"[[1136, 36, 52], [39, 831, 0], [31, 0, 875]]","[0.030052153239373335, 0.025648885145290838, 0.013017620254125834]","[0.07772707379944367, 0.060104317231836776, 0.03535395127369696]","[0.015376031076611674, 0.0028831453877777337, 0.016868377276240097]","[0.6790319735306337, 0.5417748086915061, 0.4602270356727961]","[0.2829743475695739, 0.22446941160807038, 0.22691679334396167]","[0.002451738229535381, 0.0019915025927133407, 0.0016038284744655635]","[0.16768666441122598, 0.14666783809537767, 0.12585837847369236]","[0.9659565942278319, 0.91349886099122, 0.8952892812578218]","[0.9419349220260382, 0.9837673403522096, 0.6159235246665259]","[0.006881875365599725, 0.005445053515993129, 0.0066174423757753035]","[0.006867392582154998, 0.004963499743145095, 0.0023821410643123653]","[0.004521881425641966, 0.003517921639884845, 0.006686994101640516]","[0.06067157900795187, 0.045271091419438705, 0.023473395545150502]","[0.006439026534983244, 0.010461749848569308, 0.008236224211588464]","[0.0014102862510533506, 0.0009699452603470255, 0.0010617239710892315]","[0.004371419461996842, 0.0045275112455268425, 0.004322963453065814]","[0.0011449695006402949, 0.004633047066132254, 0.0045637099258890096]","[0.004300288022610855, 0.005556053809184729, 0.015292304378519897]"
0,N2,0.9326666666666666,0.012166666666666668,0.0313,0.00862726113051334,0.5503320707070707,0.1960653501196962,0.0077152777777777775,0.1027126710037137,0.9023336729506687,0.8309166666666666,0.008045012257431448,0.0034409704703437637,0.0029320131972569432,0.0030805119843075207,0.04318635824058841,0.003669358653205235,0.0010106493145681326,0.0018414736236337934,0.0038786319999780812,0.006555220830672968,"[[1118, 55, 51], [52, 818, 0], [44, 0, 862]]","[0.01880756355812772, 0.012770596773243395, 0.004831225734729154]","[0.04271433690738097, 0.03276326142264701, 0.018423754190896667]","[0.009599033134498045, 0.003005597523707471, 0.012468562789259861]","[0.6819310518779202, 0.5142120437463319, 0.4487420890116097]","[0.2356934536770629, 0.16117905755455295, 0.18554100454659617]","[0.011092462732526454, 0.007745686668944237, 0.004247864982956246]","[0.11822679938100975, 0.09996713724633419, 0.08919848114780256]","[0.9551241513423878, 0.882751356729611, 0.8651548754585209]","[0.9552233155890644, 0.9767532352053412, 0.5774860560083268]","[0.0055153935463577745, 0.002823340263667946, 0.0026267546628020487]","[0.003771884619812361, 0.004650352054636458, 0.0017968679289225627]","[0.0020894471935835276, 0.00303557378356828, 0.0036557518328336432]","[0.06014676634212877, 0.05523234324617203, 0.022033135735343913]","[0.006284599811777671, 0.014526617160818699, 0.0038348283376160794]","[0.0017908462628893635, 0.00235979540310797, 0.0009833223249173448]","[0.004731736884883546, 0.0048262340203511726, 0.002124461812158644]","[0.0022639797931077186, 0.009125317918780514, 0.006279870990062355]","[0.003494031248240447, 0.006860207561065871, 0.012340379046991484]"
0,TD_U,0.9406666666666667,0.03766666666666667,0.06504166666666666,0.013001855858183139,0.499165404040404,0.2262298887389625,0.03358333333333333,0.1530362317935008,0.9156339453276813,0.8110625,0.012449899597988714,0.009563385035296515,0.004679576636833719,0.005814820214235867,0.03286768753709433,0.015693730250546656,0.0029065631883551466,0.004810646357890432,0.004755064666728727,0.004779990302465748,"[[1138, 46, 40], [48, 822, 0], [44, 0, 862]]","[0.05618140713372797, 0.04150671676797233, 0.020352404404041523]","[0.10524052664948876, 0.06128754417270312, 0.03710166501261152]","[0.022819389917944865, 0.0013078526684958125, 0.015013146144578693]","[0.6244052365672628, 0.4745054503812386, 0.4247791473494188]","[0.2775145658343036, 0.18682244304234602, 0.22043286849604]","[0.05333164714148107, 0.03131996675926799, 0.02013486362947011]","[0.19245163650073904, 0.14716533344278698, 0.12756296654801375]","[0.9675141486300809, 0.8987855028445999, 0.889365332523154]","[0.916667535536353, 0.9788064122433552, 0.5880913684341147]","[0.006963010895169809, 0.015993202406431168, 0.007363185508880758]","[0.005351388515556158, 0.011580819036024662, 0.0019727734942103577]","[0.007438802982916372, 0.00142309423597524, 0.006631960333586185]","[0.0600282935538945, 0.03344254268209411, 0.027310064089136714]","[0.012344598159935875, 0.03162516152909937, 0.004442215509828962]","[0.006083095574384142, 0.008444081909010663, 0.0039944819951521415]","[0.0088123896273189, 0.009068260839033079, 0.0028420360592783973]","[0.0012723457934178221, 0.010994675281822814, 0.005913650990810214]","[0.007222897011046874, 0.0054736440566572325, 0.012622709764504135]"
0,Uniform,0.9593333333333334,0.05125,0.08712500000000001,0.015881159034504152,0.5818724747474747,0.2659039848959934,0.047833333333333325,0.1731758847548745,0.9329046529660747,0.8572083333333333,0.011522924011629097,0.009695896898516746,0.0036120458191999764,0.002641660240532858,0.04167605390506089,0.003776440182077568,0.001255437632736635,0.0037215585785813528,0.0011969572453820639,0.005423373252004323,"[[1159, 20, 45], [23, 847, 0], [34, 0, 872]]","[0.05977942047767111, 0.0558423657225741, 0.035289556946191306]","[0.10723649125288774, 0.08809036135538631, 0.058459408644393106]","[0.017595648449651734, 0.0035040950773420052, 0.02541010427040095]","[0.6822038998059068, 0.5517697563192154, 0.4745156454094183]","[0.299667141573992, 0.2466993618192795, 0.23836714746694523]","[0.05880137466532683, 0.045069975469725375, 0.03536671096569681]","[0.19436077448203437, 0.17154751005611402, 0.1457614315302226]","[0.9680775170886926, 0.9202933385150238, 0.8969392688608077]","[0.9404312008880054, 0.9810573305299549, 0.6237820092975541]","[0.008847305564665042, 0.019021948514176337, 0.01313553282150575]","[0.006599161729453845, 0.007585001672654328, 0.0042087930055066695]","[0.0036350545678683595, 0.0019465258421356186, 0.0035120447765904536]","[0.0574275896101984, 0.047486180042254404, 0.015609157142153903]","[0.008925818441445764, 0.009675849978704127, 0.012673266786578123]","[0.0024872084622123815, 0.0024319629469603246, 0.003915249723491956]","[0.005222893514971407, 0.005280695886148823, 0.004169418929836916]","[0.0018642990753626025, 0.005280933693212941, 0.002326939699048951]","[0.004028748690490638, 0.003874528647286138, 0.011403325844372291]"
0,kDN,0.9176666666666666,0.005833333333333334,0.013875000000000002,0.007620633970753273,0.5583623737373737,0.1987440594115809,0.005597222222222222,0.12493914138517193,0.9125127870775509,0.8391458333333333,0.012725739445880747,0.0013819269959814168,0.0013527235900623257,0.002232104464179288,0.04340283605367986,0.005300240572417218,0.0012469581043037846,0.0010455813744349998,0.0014076826391209213,0.009450907970048847,"[[1088, 71, 65], [68, 802, 0], [43, 0, 863]]","[0.006280390028497666, 0.007473937225078152, 0.003977660550172537]","[0.017030136325650903, 0.01612671470727517, 0.00853105339097249]","[0.009074633267812134, 0.0017013536953068263, 0.01084937583822328]","[0.6776124503662181, 0.519020815812883, 0.45616332340720345]","[0.22440434615667582, 0.1689746445838567, 0.19412974956670329]","[0.006992070772912912, 0.006048249850492483, 0.003668999611479029]","[0.14080485958954597, 0.12445890077721171, 0.10737424917531788]","[0.9566157483831091, 0.8947612574775446, 0.8767895015415117]","[0.953389701426141, 0.9752447678432017, 0.5962614822182404]","[0.0022295687213587773, 0.004963252508525823, 0.0024453422478379425]","[0.002717015295969737, 0.0017000407479010398, 0.001833284915476339]","[0.0026038689515640147, 0.0019852034571628385, 0.0037726408832813962]","[0.06214228453666498, 0.05070991263351893, 0.023392287459650316]","[0.008726063384214899, 0.0015042549987224802, 0.005376515141789333]","[0.0015988744717487621, 0.0011786952426223153, 0.002136320509880692]","[0.0034699484322933656, 0.0025573843763877367, 0.002592143826385452]","[0.0021298135939619785, 0.004548654858560286, 0.0035578351200756565]","[0.0020086273592942404, 0.006223654564009352, 0.014270305012356873]"
