n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.866,0.007083333333333335,0.03955,0.07180108498883701,0.36968334165834166,0.08223249032502021,0.03809027777777778,0.16777680747393853,0.9567946205170976,0.7853749999999999,0.017503967804154818,0.0012842529172852036,0.0025695870831279064,0.02834305561664697,0.02887917893287497,0.002132616073831913,0.0035808527966872923,0.004072833004028755,0.0025754670878850605,0.00805310067958641,"[[1298, 202], [200, 1300]]","[0.007346135260291683, 0.006936808945150847]","[0.037724495621515884, 0.04141102425876117]","[0.06977167481520997, 0.07373708996152355]","[0.3479697538285672, 0.3912812808871632]","[0.08200359910715607, 0.08274005163784236]","[0.0359813841855934, 0.04028004563888936]","[0.16255500204844534, 0.17287236511469878]","[0.9537994455755301, 0.9598436516814706]","[0.810368198605906, 0.7578944718773242]","[0.002570997581654433, 0.004327900335235866]","[0.004658580889983092, 0.0026704895409570585]","[0.018710170298254614, 0.033211943816185106]","[0.03966346765787722, 0.013772953174784466]","[0.0017183641883410038, 0.0033583752786304003]","[0.006310713286202563, 0.0057456272892028]","[0.006015780052631037, 0.006478617765410941]","[0.003121312302996405, 0.004946741636736105]","[0.009125655077322202, 0.020173278845214422]"
0,DCP,0.885,0.011833333333333333,0.05616666666666668,0.05452551027222887,0.37384769952269953,0.1261795013024812,0.0558125,0.19229509816970897,0.9658770503197109,0.8421666666666667,0.01594260539142415,0.01097107940602625,0.013751893808975311,0.025625846929498014,0.035561725257323096,0.018537911493269228,0.016477507291085554,0.014556758568400054,0.0022719513413986835,0.024370815167828182,"[[1331, 169], [176, 1324]]","[0.014581154857352941, 0.01335325924049662]","[0.06260182242296745, 0.052896224063034736]","[0.05626201288788533, 0.055246046678518915]","[0.3529780521224354, 0.3862095141708285]","[0.12982026616340325, 0.1288827257429821]","[0.058568108628236346, 0.054874087283177476]","[0.19464430397902105, 0.18891729500334936]","[0.9643049008989829, 0.9655598316610969]","[0.8625445234984376, 0.821113298346587]","[0.013019739680773343, 0.016744807654529854]","[0.011402590761795901, 0.014064774914427614]","[0.021162653038488594, 0.025197882589346715]","[0.02654378956400843, 0.03915867525894964]","[0.018599917662353218, 0.025545877399679826]","[0.015109669200064292, 0.01555462893804922]","[0.014126734848263748, 0.011381926296965281]","[0.00466844954768629, 0.0027133934928257526]","[0.020189360679483792, 0.018539011506506362]"
0,F1,0.8423333333333334,0.099,0.14761666666666667,0.1559797989201362,0.41011704129204124,0.21918223697894038,0.14649305555555553,0.2554537295087707,0.9720920906310815,0.8640416666666667,0.014653403093555492,0.00738687838144248,0.0022795893879771203,0.021652781701131905,0.027996735750794116,0.005313446601632591,0.005710301431472041,0.004641991553090028,0.0022296734968401052,0.015573944364083084,"[[1264, 236], [237, 1263]]","[0.10279722556322449, 0.09535995330116084]","[0.15079081899947128, 0.1445783394179941]","[0.15771750460388811, 0.15433712227896135]","[0.40302416478736597, 0.41693549699183086]","[0.2192615765636638, 0.2190501319112717]","[0.14992045594658784, 0.14316993309221343]","[0.2594545545873716, 0.25159179706028695]","[0.9712425719849026, 0.9729121905290808]","[0.884295803970482, 0.844406793424084]","[0.009998149322279793, 0.008247125430076859]","[0.004620253039098259, 0.006188621842455505]","[0.02134627632405751, 0.018573201307443745]","[0.032904845625779104, 0.02063662709482332]","[0.004876419578067054, 0.006632627788551569]","[0.0090935691704739, 0.008933514535690358]","[0.005342829023156047, 0.010108974435953452]","[0.0020403947118725666, 0.003470716576991937]","[0.012467976858254591, 0.023788865769550412]"
0,Hostility,0.8863333333333333,0.0036666666666666666,0.020766666666666666,0.06731112645786322,0.3359186827061827,0.10102902237640968,0.019840277777777776,0.14477164291191755,0.951215457325549,0.7647083333333333,0.00869226987360354,0.0009033118078616165,0.0024981937919669526,0.03154020113874315,0.03116987601335485,0.003992452002736173,0.003419707037033407,0.00509892176623228,0.0011324906645793784,0.028193050389728625,"[[1324, 176], [165, 1335]]","[0.0032285823747144823, 0.004521249056296686]","[0.022020743135281774, 0.02027448405739562]","[0.0654148616542432, 0.06795397222727764]","[0.32566696306471765, 0.344532035665192]","[0.10006140633798388, 0.10469101953654943]","[0.02007770752521724, 0.02036180811687153]","[0.14618840715499534, 0.14536273906458244]","[0.9518635655814582, 0.9520255038698078]","[0.8054469572695918, 0.717374708999358]","[0.0005476547849567117, 0.0022330301982124356]","[0.004510650191112356, 0.00217051199501875]","[0.023186019691759176, 0.03194493571686711]","[0.03354887829682319, 0.02547885644702078]","[0.00792556050520921, 0.007212607606509609]","[0.00496877558717047, 0.0026710227072687135]","[0.012216699797677949, 0.0030623160160993174]","[0.005312358604534303, 0.0035189839829127883]","[0.025128054373363833, 0.0376911225675562]"
0,LSC,0.8733333333333333,0.012333333333333333,0.0231,0.07129280207921387,0.32429454989454987,0.11703395850198635,0.02033333333333333,0.12993134229263928,0.9424582985821518,0.7503333333333334,0.013281147875424407,0.002645095041350647,0.0013886944308314278,0.028316405489375553,0.030280900962479613,0.0021894553540318497,0.0008861312475942618,0.0038502394106312812,0.004697470060592618,0.013193110312667811,"[[1303, 197], [183, 1317]]","[0.012068920439158706, 0.01247339245907317]","[0.02295416946153617, 0.023231780607248103]","[0.07083277853905931, 0.0713248566935046]","[0.31966853718991667, 0.3291001058027663]","[0.11219989671347527, 0.1216843083601192]","[0.02011032553699376, 0.020458024784045393]","[0.1281177471680062, 0.1322416611262904]","[0.9413335382344764, 0.9439756862338182]","[0.7881919617416104, 0.7115211049852748]","[0.002441855466649252, 0.003523393815335668]","[0.0015453855494213962, 0.0012704922529963483]","[0.02136851462831647, 0.02951632757823877]","[0.03191011516622742, 0.024700206930346122]","[0.001836014352939873, 0.0038824200090348667]","[0.0014912106089597762, 0.0019640877470663903]","[0.003730998680600284, 0.006814491229537438]","[0.00295248425028399, 0.0065664947791606604]","[0.009640603056992679, 0.0243486525286543]"
0,N1,0.883,0.020583333333333335,0.04998333333333334,0.09115667135235435,0.386325111000111,0.16199139362590728,0.006826388888888889,0.17855008783859022,0.967279469001946,0.8549583333333335,0.007763876465901405,0.0054534010794488,0.002948281043440587,0.02700366262545268,0.036995576381190005,0.004585402739001692,0.0005981904296488342,0.0028144278584313854,0.0024394683862632794,0.011209804736132655,"[[1304, 196], [155, 1345]]","[0.018149233453417388, 0.02294734728750885]","[0.048974132999809364, 0.05101552976156202]","[0.08761713514624393, 0.094640736989318]","[0.37475850785099085, 0.3979595102592484]","[0.15712061965231952, 0.16678473355558135]","[0.007175415623567836, 0.006493089583378307]","[0.1806261634609671, 0.1765329895553693]","[0.9665765846619905, 0.9679961466574651]","[0.8754385119117816, 0.8349522279278532]","[0.007660927371420808, 0.008118696135134251]","[0.004181526355042048, 0.002638656892003298]","[0.021196227498871158, 0.028058889471488706]","[0.039880258561725064, 0.02841502524136212]","[0.0065201478955298885, 0.007046395958408469]","[0.0016891988049452435, 0.0009865461652227635]","[0.001479046603529198, 0.003994494308305865]","[0.0014286111567030902, 0.0036383073168371268]","[0.012515239264151183, 0.016141087754131787]"
0,N2,0.8796666666666667,0.01125,0.0252,0.07208367124276499,0.34387941641691644,0.131168831377515,0.016076388888888887,0.10512643431982696,0.9514399499582986,0.79475,0.015518805795979702,0.002602082499332666,0.00278176103295097,0.026163608991160086,0.03431395256770326,0.0028456357110527354,0.0016794575729078517,0.0040280808368898914,0.0037901060711552858,0.017508306560347613,"[[1316, 184], [177, 1323]]","[0.011428785096996205, 0.011061067212500412]","[0.022195129659063145, 0.028362553096982164]","[0.07165622498828719, 0.0724342648709247]","[0.339053583763646, 0.3493683824210152]","[0.12424683044984026, 0.13830884805870047]","[0.014674152055429037, 0.017688944218245888]","[0.10500942497907388, 0.10550632302861418]","[0.9494708054047061, 0.9536225580112376]","[0.8248484249100454, 0.7653639133615959]","[0.0014277150601715294, 0.004793307343209543]","[0.002005848673170408, 0.005106473744295892]","[0.020556640713914717, 0.026213293492230824]","[0.03638416631690392, 0.029324477992686605]","[0.004098955487692895, 0.005746695098193645]","[0.0018193794127950888, 0.004484732856437575]","[0.0017999115791844063, 0.006829140663956605]","[0.001816382411667238, 0.00591483526400329]","[0.016362149599076874, 0.024330903018766673]"
0,TD_U,0.845,0.035166666666666666,0.061516666666666664,0.0903031692444786,0.27934351620601616,0.14915988826548549,0.06066666666666666,0.17531013560368555,0.9561637475674173,0.7681666666666667,0.011118053386771938,0.004088856808449031,0.004682413907377263,0.023503439642298764,0.025505709654881036,0.008476610581246614,0.003761107520923935,0.003211721018154936,0.002034390508136796,0.019136865418755356,"[[1261, 239], [226, 1274]]","[0.03227679677189863, 0.03980695639674411]","[0.06397649507164269, 0.059236912686554476]","[0.09010848787158213, 0.09083273324379422]","[0.2860082614381257, 0.2716232237412057]","[0.13797665084092783, 0.16268885616858447]","[0.06150722595330358, 0.05964087518532455]","[0.18138448314627315, 0.1680625918436518]","[0.9578622340945104, 0.9537558551631845]","[0.8093085724626142, 0.7219769241277678]","[0.010699415892802867, 0.007629304428027444]","[0.006465304419276897, 0.005844863450379309]","[0.01926525593268683, 0.02544666963050398]","[0.02321133521387896, 0.025815217994423177]","[0.008163316849243369, 0.011274378595616828]","[0.005458764524780599, 0.002531903637922142]","[0.005870112399399135, 0.0044908133519172945]","[0.0022597762359567453, 0.006253966401068716]","[0.019491818719247465, 0.022998520399998952]"
0,Uniform,0.8526666666666667,0.09891666666666668,0.14878333333333332,0.15988569195717875,0.41667770701520696,0.22332270686036299,0.1489375,0.2592219855166965,0.973809702529886,0.8870000000000001,0.014171567779654158,0.004935345873278683,0.003778410894660475,0.024471067484688972,0.03541278697928556,0.0051416130292375115,0.004355570281473142,0.0048983675063428425,0.0019657791417914826,0.010584686593271338,"[[1285, 215], [227, 1273]]","[0.09576205854612546, 0.10216137670174326]","[0.1462950256691628, 0.15142127467480912]","[0.15838055617429117, 0.16150336009687494]","[0.4038801276693113, 0.42951356010977076]","[0.22059661658128418, 0.2261513477076748]","[0.14626963977263482, 0.15173926937783036]","[0.25863480655116616, 0.259881931528432]","[0.9724191449386822, 0.9751798687635322]","[0.8995339541694414, 0.8746132282342323]","[0.009924881590316173, 0.010465258326900739]","[0.005673975320960144, 0.005328611915829725]","[0.021188217609009637, 0.022892167337513467]","[0.03772026971622442, 0.027825177590091052]","[0.004814576359099468, 0.006512483924165463]","[0.008820883356027471, 0.005737302399802304]","[0.005040334761675216, 0.008383959313096608]","[0.0011575733419202465, 0.002953420789806817]","[0.005437390886440895, 0.016816065339871587]"
0,kDN,0.883,0.0052499999999999995,0.009133333333333334,0.06915405007487549,0.3647879564879565,0.13412468759420162,0.00986111111111111,0.15070624889413933,0.9619839449541285,0.8328749999999999,0.006168918507773903,0.0014613064930625154,0.0014222927499873811,0.0263491881592307,0.03407413299916937,0.0065619124869465755,0.002746679216923413,0.004625026052323783,0.0028216142297568516,0.008962450604233962,"[[1318, 182], [169, 1331]]","[0.0043967321874577555, 0.006021941744712679]","[0.008772308577096426, 0.009454743875005198]","[0.06728548561257776, 0.07084640233110209]","[0.35282582800708995, 0.3761175798795408]","[0.1311958691621805, 0.1368939978833612]","[0.01002861657531498, 0.009658150339369039]","[0.14955022395636608, 0.15186360182132902]","[0.9612380565505241, 0.9627555893566399]","[0.8572952893327883, 0.8094272285454739]","[0.002719480930878877, 0.002284352961625966]","[0.0011753493998196017, 0.0021140191422460565]","[0.018719666160155597, 0.02862741979568194]","[0.037243728454373314, 0.027308746196877384]","[0.003460756827764481, 0.00973902925048934]","[0.0025149184485198975, 0.003766816699212087]","[0.0024491081757598587, 0.007756945832675542]","[0.002723144401001521, 0.004960194591103042]","[0.013047370519053308, 0.016285317728060338]"
