n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.7345,0.021791666666666664,0.14288333333333333,0.15990694503695718,0.3755306842085493,0.15038142526508536,0.14546527777777776,0.3027005432501908,0.9955192788661942,0.9791041666666667,0.012227587206349763,0.0011372786719963486,0.00213486273303201,0.00851490915054371,0.03533804142367914,0.0020513102883726875,0.006232365650928004,0.004209194068844574,0.00014296289040757816,0.0028656248106749636,"[[2206, 794], [799, 2201]]","[0.025083002622699635, 0.0185534003413399]","[0.14562023880709302, 0.14006332130029228]","[0.16339046878649413, 0.15636383071492524]","[0.39393460217926163, 0.3568264904777557]","[0.15050542790314342, 0.15027036211112135]","[0.1493028576384122, 0.14152096802712874]","[0.3097099608961365, 0.2954985980181933]","[0.9964850617522156, 0.9945337685772273]","[0.9807199854821652, 0.9774962335812362]","[0.006701422749222738, 0.005934205551735301]","[0.00323472419502418, 0.003446628038869812]","[0.009867000405656037, 0.009725516433414993]","[0.039724001081912444, 0.026496318460556178]","[0.0031774443100184764, 0.0017548022265814118]","[0.006413400440014552, 0.007447227338326833]","[0.007212430267927048, 0.004157677894807155]","[0.0003244207646980104, 0.0004394684293048465]","[0.0013668395179176726, 0.004638451413533501]"
0,DCP,0.7241666666666667,0.026958333333333334,0.15393333333333334,0.14654728774678238,0.39155354212446475,0.16564842533175167,0.15345486111111112,0.30809192695493115,0.9958809399749896,0.9874791666666667,0.00814367511903839,0.0015066403943137117,0.006858287768175896,0.009155532953539082,0.03551344458383324,0.003379089949692219,0.009429968417228273,0.005306792109760821,0.00019072120101002704,0.002057654240202199,"[[2175, 825], [830, 2170]]","[0.031502635661868214, 0.022895923606246767]","[0.15973645220321792, 0.14816149272763718]","[0.15225815726438788, 0.1411947546555086]","[0.4035668489400184, 0.37933602261065147]","[0.16772713922413102, 0.16387866562603598]","[0.15921488546807783, 0.1475154784988515]","[0.3166795611290102, 0.2997142126039226]","[0.996772269432127, 0.9949996853748584]","[0.9878431867591768, 0.9870175377937154]","[0.008482956079375178, 0.009029168096946972]","[0.0045749501767522955, 0.009567597632545806]","[0.010183901595923344, 0.011935602381251891]","[0.030053967573581426, 0.03354192928520614]","[0.005130168375519545, 0.0057893045784207725]","[0.00769332766092959, 0.01126966492089135]","[0.008109277854563026, 0.00327330166589879]","[0.0002348370209587297, 0.00046288048004404194]","[0.001749613207361556, 0.0028377185865192498]"
0,F1,0.6681666666666667,0.22475,0.3347916666666667,0.3290829555933936,0.420254016297611,0.32988577031023053,0.34203819444444444,0.41317581563146477,0.9978146970960122,0.992,0.007080881928749321,0.0050890507464555635,0.0057447893056809946,0.0031609512267770094,0.039754808819588955,0.0025696763827060885,0.008058974669507621,0.00397523972622013,5.6588918875832534e-05,0.0013689101250833114,"[[2005, 995], [996, 2004]]","[0.2372788671812171, 0.2121136085536756]","[0.33276394077975396, 0.3367601026870554]","[0.33001273646833634, 0.3281464639915583]","[0.42293455572326966, 0.4176072183731116]","[0.3303196111051668, 0.3294271910586565]","[0.33828858951776425, 0.34572255039684957]","[0.4128456092315506, 0.4134973824810572]","[0.9981738166359053, 0.9974595318969486]","[0.9921162044621814, 0.9918897663116197]","[0.033230237216970805, 0.03326256743417971]","[0.0062637928608866205, 0.005223450864104688]","[0.002902226659200113, 0.004152296931878494]","[0.038493638661044806, 0.033066292580391864]","[0.004363848606847949, 0.002451861992397581]","[0.007461867495805662, 0.0073793242542908475]","[0.002549182339750094, 0.005326962515907622]","[0.00012954784286153345, 9.451588090335858e-05]","[0.0014476939058327587, 0.0012866021345214757]"
0,Hostility,0.7293333333333333,0.01925,0.12774166666666667,0.16341310552786897,0.36672466557264666,0.15737575849922775,0.12194444444444444,0.2851414847146899,0.9952438689731832,0.9800000000000001,0.012928757781696502,0.0030745934690622105,0.004347273251386686,0.01013176100040943,0.03199559989376491,0.002097285774959053,0.007676801828473715,0.005816851140820251,0.00022450747528089275,0.0015450413514782777,"[[2199, 801], [823, 2177]]","[0.019420685301611666, 0.01845314633669292]","[0.1290768484868467, 0.12605284613885723]","[0.165660447116826, 0.16082606405573296]","[0.3844813092601, 0.34604761570901565]","[0.15656899220903592, 0.1580244413599104]","[0.12417356779170716, 0.11908901969596981]","[0.2924765755283062, 0.27691394978135014]","[0.9962600648753719, 0.9940990662235809]","[0.9834832217286354, 0.9759083129473656]","[0.003679953134287857, 0.008913609208074269]","[0.005536105936700424, 0.005140903332911903]","[0.01077212742248584, 0.00930262250901036]","[0.038574893143920895, 0.02146583575034142]","[0.003922851937420847, 0.002899150828952048]","[0.009755491970307775, 0.010811635045023828]","[0.007478625527086278, 0.006969752623933617]","[0.00038328380807212765, 0.0006791762467629126]","[0.002959564948622496, 0.004233559453362802]"
0,LSC,0.696,0.08258333333333334,0.14404166666666668,0.2191937575107458,0.37677091315453387,0.21971214665050054,0.10909027777777776,0.273702693618346,0.9953466722245381,0.9853958333333332,0.009021579068482862,0.0030319479437044003,0.002907425837403254,0.008563305720376474,0.034880874118728214,0.005547446839895285,0.0018191760563287312,0.0032403773383094065,8.537293891448039e-05,0.0025036865180280993,"[[2100, 900], [924, 2076]]","[0.09537825979391681, 0.0701275190420039]","[0.15064069805952648, 0.13760864460077712]","[0.2254875196221194, 0.2130541714994064]","[0.38852787148352697, 0.3654205299693153]","[0.22312297121110594, 0.21635199629666907]","[0.11547962889968358, 0.1028760913587351]","[0.2809920420743627, 0.26663159540280124]","[0.9962326698721065, 0.9944875894678298]","[0.9871468638208484, 0.9836985758886041]","[0.01453573169094448, 0.01667766967638416]","[0.006936100649427448, 0.0033925671956627646]","[0.0089297501271984, 0.008368410234050643]","[0.03452065266541158, 0.028583417810313896]","[0.00787418571720048, 0.0049384022653829514]","[0.00426770601689015, 0.002442108221699163]","[0.0043613336573066295, 0.004174103675582271]","[0.00031821444100467124, 0.0003094652384854713]","[0.0019397982190520033, 0.003950653490100157]"
0,N1,0.7110000000000001,0.07466666666666666,0.16488333333333333,0.22615649999827553,0.38959875672611,0.22686550408995682,0.04472916666666667,0.2794334764709035,0.9962206127553148,0.9880416666666667,0.00870823365174206,0.003789147514796556,0.002899413254819356,0.0074887857928467244,0.034829294203876204,0.003927224608672469,0.0014836184312994262,0.0031798853034092542,9.685670267237559e-05,0.0018272270467994667,"[[2140, 860], [874, 2126]]","[0.08439891985514039, 0.06505057378710406]","[0.16800158569962936, 0.16181494156307863]","[0.22829539446760863, 0.2240808777766005]","[0.3971452458173488, 0.38237542552737264]","[0.228419029247586, 0.22537429516780172]","[0.04505509796944751, 0.044433380565783845]","[0.284402541838809, 0.2746015413863917]","[0.9968459003226107, 0.9956104420315344]","[0.9903870114136739, 0.985704668134406]","[0.01208800320291401, 0.015598840355010765]","[0.0030085313274424525, 0.0028598774245398484]","[0.006487581091086594, 0.007741591193806756]","[0.03482778564465984, 0.0283856188697917]","[0.003747833962313015, 0.003958383557344568]","[0.002369906455771631, 0.0018292002595597975]","[0.0031664741190438037, 0.0037570860805752745]","[0.00020438030907379877, 0.0002643485209357786]","[0.001729011353546319, 0.002739516476567806]"
0,N2,0.6973333333333334,0.06845833333333333,0.14640833333333333,0.2154026940185354,0.37407886070496205,0.21561079660074683,0.09070833333333332,0.22260930237497423,0.995263495206336,0.9872291666666667,0.004691896086753088,0.006283935647523949,0.0057782668729953615,0.009614362105358784,0.034887589201347095,0.00254365858260973,0.003308268939164799,0.001980623376741652,0.00017877644938497404,0.0022649963208211453,"[[2092, 908], [908, 2092]]","[0.08291400348509037, 0.05463212577044931]","[0.1534742506799956, 0.13968293479256816]","[0.2240256052789439, 0.2070757737244017]","[0.3875533673738309, 0.36121359943297715]","[0.22198185208439844, 0.2095217516941025]","[0.09682322260628322, 0.08485746312129064]","[0.22791971816625858, 0.21750530484744188]","[0.9962265792297641, 0.9943368407827282]","[0.9907214360829976, 0.9838365893438766]","[0.014955312751716207, 0.017613582245179605]","[0.010645842258502635, 0.0030275557593760073]","[0.009488163243776215, 0.009240292978107634]","[0.035726202802071456, 0.028776154711151317]","[0.004974045535876464, 0.003738869555679171]","[0.00736550005524159, 0.001586377643547229]","[0.003926804796624295, 0.00302706274612821]","[0.00028564096598842687, 0.0005191829984797832]","[0.0016971591027470218, 0.0025378955744920335]"
0,TD_U,0.6591666666666667,0.17691666666666667,0.2670666666666667,0.28749475815721903,0.29039248231021336,0.28786452337484564,0.2579166666666667,0.3573821562489519,0.9963053529248297,0.9843333333333334,0.015161171165550227,0.0054890990456844015,0.009205816020924568,0.008428266891055473,0.024200449920040314,0.004531975845567588,0.00801061495865442,0.004515561707645817,0.00015945558292522192,0.002693871645874082,"[[1964, 1036], [1009, 1991]]","[0.1826910540888477, 0.17256150549311614]","[0.2734643940202092, 0.261110774379872]","[0.29336149069957845, 0.28209261345218045]","[0.29921648650551874, 0.2822521205151782]","[0.2948257788395182, 0.2816703466273449]","[0.26585456069152424, 0.2506232558214601]","[0.36848483523533665, 0.3469043198491555]","[0.9972573170646111, 0.9954060427567892]","[0.9872240970119808, 0.9816316417863519]","[0.032018388441124174, 0.02549393559245338]","[0.009758099041473185, 0.009544230257453209]","[0.009454286878215616, 0.010091655470833039]","[0.0267784088725605, 0.017887276378494358]","[0.005923415784375394, 0.0094626576484029]","[0.010383352054850538, 0.006889328268440883]","[0.005435802466592052, 0.005750772542651799]","[0.00027453634169539754, 0.0004699037147410191]","[0.0022867004637342693, 0.0027932741401850386]"
0,Uniform,0.6588333333333333,0.22945833333333332,0.3367,0.3293948979353276,0.41805390073294646,0.33092714012021035,0.33938194444444447,0.4118936620477762,0.997847349590107,0.9915625,0.004393808775488011,0.008790333627216755,0.0028220363018375636,0.005220661499536233,0.03722348804022121,0.0024043838980804784,0.005070582896331008,0.0033438950691504483,2.788068893553822e-05,0.001245652160739749,"[[2010, 990], [1057, 1943]]","[0.24211578454782384, 0.21653250994704107]","[0.33633392983919097, 0.3370096432935868]","[0.330440659825561, 0.3282836541344062]","[0.4208361922837069, 0.4151772136315275]","[0.3315145229278472, 0.33031325839169295]","[0.33755473835489425, 0.3411942280983106]","[0.413941448045573, 0.40979654896392476]","[0.9981820818563547, 0.997510009022091]","[0.9937045382123271, 0.9893752199018078]","[0.03144851465326282, 0.03187480439559221]","[0.006314849452159173, 0.0025976477704307264]","[0.0056334608452715765, 0.005209926358336912]","[0.03602716390811533, 0.03096748214158914]","[0.004300616087536153, 0.0016814820877141434]","[0.006057649736427103, 0.005110523137764399]","[0.002245551154973859, 0.003963343654351448]","[0.00010512685293364825, 0.0001462853008360845]","[0.0008629535928718722, 0.0023609440114839343]"
0,kDN,0.7158333333333333,0.03575,0.090475,0.18620145033811716,0.37327206263851326,0.18643309061411198,0.0936423611111111,0.27038008968593524,0.9952680283451439,0.9838958333333334,0.00609530784930328,0.003276203129301424,0.002514817201220708,0.008095985341930389,0.03549208855061241,0.0046328144193710135,0.0030971073876319955,0.002641479714562279,7.26421055732505e-05,0.002364606277421741,"[[2156, 844], [861, 2139]]","[0.036997569573620256, 0.03468080861692814]","[0.09174008877562106, 0.08930402871178493]","[0.18969999611945104, 0.18272435407950033]","[0.38368484181096524, 0.3631444383742107]","[0.1855546951383496, 0.18731472675517438]","[0.09603238147781971, 0.09134680062779166]","[0.2762731514454823, 0.2645840664290383]","[0.9960382468099068, 0.9945127830976916]","[0.98607230772725, 0.9817508889173162]","[0.006920214022487525, 0.009475961034967473]","[0.004488964823005486, 0.002192029312683362]","[0.0073425289498391865, 0.009123872046635208]","[0.03367249395318903, 0.03108611248898982]","[0.004808226967858035, 0.004278883420938401]","[0.004820126941436683, 0.00234800852142326]","[0.0030522263520698562, 0.003225637645416156]","[0.0003112903978001509, 0.00025881214579018247]","[0.0026372745321055426, 0.002587881744674997]"
