n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.8480000000000001,0.011916666666666667,0.060283333333333335,0.07077618087377323,0.44890917965202864,0.11320080526404992,0.05955555555555555,0.20163271997650992,0.968744707994653,0.9720000000000001,0.016972199490801244,0.002677711502176605,0.0029472209131843367,0.005938362778435288,0.0640685681324815,0.004198092875819621,0.00219580653929819,0.006301799987744673,0.005068292555105561,0.01890881812218253,"[[1236, 267], [189, 1308]]","[0.009975188305344568, 0.013814531578047217]","[0.0534496411174024, 0.06711347986867507]","[0.06227779386233995, 0.07931522978423601]","[0.43609381665700003, 0.46138382319301546]","[0.1082424193307703, 0.11818415226547212]","[0.053716020266062946, 0.06538519980446764]","[0.18459258989650226, 0.2188025190370883]","[0.9617404113637885, 0.9758223517689487]","[0.9690118448991007, 0.9748601947162815]","[0.0018602097742240118, 0.0044147400918901495]","[0.005700517567975583, 0.0034302630366826793]","[0.009885623581661925, 0.0016726304066952418]","[0.054419384705999344, 0.06601176523091097]","[0.002828789800551539, 0.0056874116064761365]","[0.004425295399197054, 0.004859963017697562]","[0.005618490521927717, 0.008420419925300286]","[0.0034595604303668654, 0.0062115779182466795]","[0.031164027552455276, 0.02457907134079333]"
0,DCP,0.877,0.011416666666666667,0.047150000000000004,0.0427277952676184,0.40554606625258793,0.1908113980716834,0.043979166666666666,0.1854898467732204,0.9677409151854514,0.9668749999999999,0.011328430311977623,0.00482866153527271,0.0037255685621272756,0.004654610510147086,0.05187880810052079,0.005259347736486876,0.006140956555384792,0.005636714683870022,0.003332167019501491,0.01047587340564552,"[[1279, 224], [145, 1352]]","[0.01022506789010464, 0.012568433118125505]","[0.04132187566379143, 0.0528819088573048]","[0.033097176475532265, 0.052336540303579614]","[0.40686617591773083, 0.4043524532448458]","[0.17272185513979652, 0.20922493393116884]","[0.04060267941979437, 0.04719327739016378]","[0.17329227990410087, 0.19756951518690558]","[0.9640895289473429, 0.9714330288101202]","[0.9747340899460436, 0.9593122950688624]","[0.005055286698267981, 0.0057055340595116594]","[0.007968578618293004, 0.0016715151167382024]","[0.0026592450918165025, 0.006221112014392636]","[0.0516844914059076, 0.0455128366653697]","[0.00401769491551049, 0.012425852408044528]","[0.011103359362725914, 0.006660824675088328]","[0.01114639787300959, 0.0052767365210445024]","[0.003968255629458323, 0.003201885999230115]","[0.018641991153174987, 0.01437539994811406]"
0,F1,0.8560000000000001,0.09483333333333334,0.14721666666666666,0.14363579788419262,0.4475821437652101,0.26408694578354064,0.14426388888888889,0.2609112316004213,0.9768886312083712,0.9741666666666667,0.004346134936801754,0.005852646599806126,0.0052180243174766465,0.0076642701828318945,0.053240816311611386,0.0038494840348883776,0.004813344182011728,0.0036463715446158882,0.002863495914703205,0.010527534994268863,"[[1279, 224], [208, 1289]]","[0.10131009292886743, 0.0885990448440041]","[0.15383194316350943, 0.14079130354514086]","[0.14670449879893305, 0.1406135574021677]","[0.4361326073727151, 0.45869592829974576]","[0.2659609396482709, 0.26223649092558776]","[0.15292586791242005, 0.13577675844175424]","[0.25667754033915136, 0.2649275869263241]","[0.9738802183656899, 0.9797762119974553]","[0.9776109166934639, 0.9705909451384052]","[0.008204927298287795, 0.013311959560012987]","[0.0021094550283076107, 0.008428498627883078]","[0.007001884800759773, 0.008931792471134275]","[0.048920391115018676, 0.048019543224696426]","[0.004318258868658438, 0.007558706123876116]","[0.006145365399230819, 0.011271244254642756]","[0.0036868712744241913, 0.0068627502769099576]","[0.002111449596566196, 0.003592834470706083]","[0.015381340801700318, 0.015126625304135485]"
0,Hostility,0.8823333333333334,0.005916666666666667,0.03015,0.05376408761878099,0.3980672696233337,0.18344390315776082,0.026541666666666665,0.16004143555643374,0.9605927216722833,0.95475,0.010967122584241415,0.0008014743359029728,0.004587271035763589,0.004591076422731646,0.06236858922421959,0.02303909679678542,0.0043117534914807335,0.009275991061712743,0.0051339847546740935,0.025853234941578318,"[[1318, 185], [168, 1329]]","[0.006141189532081889, 0.00568256519684252]","[0.025954106559885594, 0.034365830392534366]","[0.04691528841228498, 0.06065299493515301]","[0.410899993511848, 0.385518409622737]","[0.15676635281561602, 0.20994364208542318]","[0.023689827585782357, 0.02940430667949855]","[0.15117304993652167, 0.168995596450105]","[0.95658871714997, 0.9646374793598772]","[0.9657953758820899, 0.943927555334555]","[0.0018213533737158347, 0.0023271461225231275]","[0.0045892931796536925, 0.0048301147354019025]","[0.006676323850476619, 0.0031502848104519032]","[0.05574161532456601, 0.06348630007127605]","[0.005668885302855012, 0.038246358694488496]","[0.0041780931915258585, 0.004036396785315939]","[0.004058106789357919, 0.01571176342316223]","[0.0032361339910980023, 0.007961856941590002]","[0.03038671347036383, 0.035806375208139354]"
0,LSC,0.8686666666666667,0.019583333333333335,0.033466666666666665,0.06387752292137201,0.3935104666103665,0.207848856588908,0.02827777777777778,0.15101453051181102,0.9571191911563082,0.963125,0.01459642269720752,0.004289845892077916,0.0038521278391155326,0.006349925650892515,0.06093928946251091,0.004605485644715524,0.004280955709899773,0.0034554601763436567,0.004739452115632543,0.018637975532349135,"[[1263, 240], [154, 1343]]","[0.01680877840868955, 0.022367181595447906]","[0.028129142531079444, 0.03884430457011348]","[0.05545568644178548, 0.07229326304541549]","[0.4039435807885929, 0.38283294901300896]","[0.17821440331916455, 0.23763187370478583]","[0.025189417938923275, 0.031411298717645926]","[0.14608323455186212, 0.156001520090975]","[0.953345908623002, 0.9609685893623962]","[0.9749206317552949, 0.9516616951303719]","[0.0025353862322985777, 0.00569950952237802]","[0.0037537721838680187, 0.0031374634109204423]","[0.0051209750021669834, 0.007014319529228819]","[0.059254691347228404, 0.05387073850164552]","[0.009783043571588651, 0.004972941774733592]","[0.0036027832288896065, 0.004243636463489782]","[0.0020166684822465497, 0.005922757715319739]","[0.0029452711379308128, 0.006349288849296278]","[0.025368303640756092, 0.01948926263594972]"
0,N1,0.8703333333333333,0.017666666666666667,0.05106666666666667,0.07756325613925018,0.42466614906832295,0.2124968476488902,0.010729166666666666,0.18313546051124927,0.9708914447841064,0.9722916666666667,0.01473846064628942,0.0035306200273858106,0.0004944132324730419,0.0072540196643436404,0.05296404954932677,0.0029880391494325467,0.0021626955684778157,0.004993253420722332,0.004160327803888953,0.012428615615228879,"[[1306, 197], [192, 1305]]","[0.016629361637371616, 0.018701526668099173]","[0.04353299851288782, 0.05867464802604737]","[0.06803413984482568, 0.08717914878847835]","[0.4128676940917121, 0.43666742670376973]","[0.21294023075110485, 0.21205516885930603]","[0.011969128168266707, 0.009496236906784482]","[0.17240061903024592, 0.1939607274393242]","[0.9667502928827648, 0.9750590530594078]","[0.9752915838385675, 0.9691815604170019]","[0.0028779946843403093, 0.0043907117395135045]","[0.0025189770160994667, 0.003165832160763393]","[0.008561563802263349, 0.004989090379062257]","[0.04868091613840512, 0.04953521621839689]","[0.005023258566325227, 0.003360263299411849]","[0.002469992094893778, 0.0022005934219050923]","[0.003105771148988978, 0.007599047213611145]","[0.002866275609247956, 0.0050428642175708695]","[0.017120360660373788, 0.014781807713106193]"
0,N2,0.8736666666666666,0.014583333333333334,0.036366666666666665,0.06598879946293426,0.40233962283425956,0.21409134649634992,0.02313194444444444,0.12459346757677743,0.9604386815993486,0.9654166666666667,0.0059395098937351926,0.002602082499332666,0.0011064834185633102,0.007016232831032727,0.059230333186751014,0.004253625412227621,0.0023625659325178273,0.0025491449703394127,0.005109168906839651,0.017249572257176566,"[[1299, 204], [175, 1322]]","[0.013285416343028244, 0.01592786509485288]","[0.03273360319637929, 0.03993916905369473]","[0.05712508336173143, 0.07473030973869306]","[0.40769557650297417, 0.39708680942329333]","[0.18917097167413283, 0.23859641423400077]","[0.020621401825452045, 0.02562980941424765]","[0.12063382836742893, 0.12845752208605726]","[0.957010205455313, 0.9638131139014827]","[0.9761362330258464, 0.9551546969954222]","[0.0046542925528133515, 0.005378331121263117]","[0.004397337593836915, 0.0038451934183844024]","[0.008568976992975976, 0.004709709238087902]","[0.05981631706161795, 0.0500631347613698]","[0.00868768101589759, 0.0018039763125113162]","[0.0035363650418101383, 0.004069307576599408]","[0.0010940342943250463, 0.004675158510908772]","[0.0031319757117865927, 0.006620455087636601]","[0.023776727449759026, 0.01715186343388607]"
0,TD_U,0.8423333333333334,0.05166666666666667,0.08046666666666666,0.08777207764998833,0.33771410183066364,0.26264444163654066,0.07768055555555556,0.20027197026243218,0.9667149781660355,0.9580833333333334,0.011522924011629082,0.009569736731546543,0.009864111437146503,0.007946177196877147,0.05118993405681851,0.012256457149834853,0.008999937038960158,0.009789208246315925,0.004852338201759335,0.013645753816562195,"[[1247, 256], [217, 1280]]","[0.053783341137517905, 0.04949033275684201]","[0.07923875925610449, 0.08165957067206671]","[0.08231595494403199, 0.09321508463977797]","[0.3426245953266588, 0.3327138564064451]","[0.2505377433283984, 0.274640584991458]","[0.07603349822678114, 0.07923801082245333]","[0.19787973111603532, 0.20261287016869386]","[0.9663850570090335, 0.9670087542072177]","[0.9649715515881072, 0.95093175195589]","[0.01111768809355937, 0.01020456048782899]","[0.011451229102656207, 0.011130967418489164]","[0.008337055718346545, 0.00877401434245817]","[0.041115779687424844, 0.053550106171699405]","[0.01993406467320314, 0.012435024574595811]","[0.014955282020908128, 0.0099879457148743]","[0.012365145737744828, 0.010511767075708769]","[0.0049412509392868014, 0.004383310150609251]","[0.0231110378804142, 0.01181345206364825]"
0,Uniform,0.8480000000000001,0.09891666666666668,0.15006666666666665,0.14831985276700962,0.45047418251244054,0.26524080124023147,0.14877777777777776,0.2633863593071648,0.9770131857612456,0.9769166666666667,0.017215948678155624,0.007025499191437494,0.005662805056781591,0.00952647860763137,0.05221683965438934,0.006855726303639232,0.008251128102819387,0.0055134832022604415,0.0028167664150733317,0.009743231268709355,"[[1276, 227], [229, 1268]]","[0.10018260853484488, 0.0976082877094689]","[0.14954041589370012, 0.1505298651742249]","[0.14501460192379761, 0.1515767449966459]","[0.43737771602517334, 0.4635182983352946]","[0.258617296253216, 0.27184138898031573]","[0.14802113457494792, 0.14951781148082804]","[0.2539529623768554, 0.27276524946408953]","[0.9735550211247503, 0.9804754250369834]","[0.9791211142362789, 0.9748833153759332]","[0.009017622784952224, 0.006724237941952731]","[0.007858051950816139, 0.004577505767887227]","[0.010353106256579796, 0.009084221591193398]","[0.04650349042393175, 0.0487115957204286]","[0.006592112398055018, 0.006692823030413404]","[0.00946477995722717, 0.00924359017618458]","[0.006774503928448731, 0.004085027883627065]","[0.002575318384932371, 0.0028255319042010656]","[0.013987693557812436, 0.01038401243865245]"
0,kDN,0.8793333333333333,0.006166666666666667,0.016366666666666668,0.06177362849156317,0.40953664051432925,0.20292216424814136,0.015874999999999997,0.16404653342748743,0.9675742259559919,0.96825,0.00787047930207839,0.0007453559924999296,0.0016941484258732734,0.0041787310544962085,0.05703216008358,0.004093109301562921,0.002564442390897984,0.004738787581176587,0.003865622777808536,0.014578570650863647,"[[1315, 188], [174, 1323]]","[0.005463485972765539, 0.006864233594554648]","[0.014809282473899274, 0.017937126097912266]","[0.05375312065188194, 0.06995801162625792]","[0.40513110370229344, 0.4141404859683572]","[0.20050777010885318, 0.2053727115875709]","[0.014723306328723762, 0.017051444917914986]","[0.1570496318966253, 0.17108855932030398]","[0.96363665519446, 0.9714940077355054]","[0.9730939257394302, 0.9628369543548609]","[0.0004425979487083493, 0.0009777639568489022]","[0.002384213143938699, 0.0024559303582812413]","[0.004547137076494989, 0.0036621066296312144]","[0.053582977541298815, 0.053292804771480955]","[0.005500450116686086, 0.004822074304991733]","[0.0033589790679670727, 0.0025284005533044098]","[0.0021927294359115937, 0.006861651775043782]","[0.002675935103182815, 0.004767320975474127]","[0.02026009290433335, 0.01931648369756523]"
