n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.9306666666666666,0.0045000000000000005,0.009166666666666667,0.011767136891232207,0.41604065656565653,0.02659228665630639,0.010166666666666666,0.07874654363860659,0.5817777777777777,0.5615416666666666,0.0229007520497569,0.0024008100484813224,0.0022638462845343548,0.004985609409165341,0.04789914869554663,0.0022388891996107264,0.0034797141396711254,0.005305695678706284,0.01740814565152061,0.005838167639669939,"[[462, 8, 30], [29, 470, 1], [25, 11, 464]]","[0.014054412432016276, 0.004810993763888713, 0.0007349699651696925]","[0.02932443574235785, 0.0056519952780804345, 0.004647780126506854]","[0.029920869007764122, 0.008098675111692323, 0.008191346152679]","[0.3832926815185663, 0.405495246350789, 0.4386574202546417]","[0.043699968098319907, 0.02243623303858481, 0.02389145832715015]","[0.03307997356784505, 0.005688202248837986, 0.005394930766811976]","[0.09985299714884405, 0.07475651947110898, 0.07445578588163523]","[0.531621504229977, 0.5928968063139605, 0.593094787562561]","[0.7985317868913511, 0.5064557789054819, 0.5197049874820806]","[0.007777850159116164, 0.0034699324484141494, 0.0009025655441567815]","[0.010888929651786807, 0.0018661464529596808, 0.0018378786135823902]","[0.016149037141014344, 0.0014871107400975328, 0.0047839474217481566]","[0.05337611925178043, 0.07369909514346042, 0.05725239432175842]","[0.0045116842758583554, 0.001192340858081032, 0.0028615211658147926]","[0.016979071527557878, 0.0015818359508903326, 0.0030103529579597267]","[0.010960586387465441, 0.007900133667705502, 0.004732527748134938]","[0.01543889954382937, 0.032076082807485834, 0.01030094622736142]","[0.01386910105319961, 0.0025916736349688063, 0.002465783007255497]"
0,DCP,0.9339999999999999,0.011666666666666667,0.0171,0.006575105838948425,0.3896648407148407,0.05007145548130226,0.016638888888888887,0.09184131229234127,0.6170626566416041,0.6217083333333333,0.02100264533603118,0.010590220855949028,0.013504423143712748,0.0036116109169955497,0.039156271254698935,0.014159440125034756,0.011504494559159407,0.013394083368958332,0.02918797300790796,0.04113341057191559,"[[454, 24, 22], [20, 477, 3], [28, 2, 470]]","[0.017616252297645463, 0.007286639562314954, 0.014461033620997873]","[0.02352954405544323, 0.01402109173599517, 0.02078034499013051]","[0.008449360017311761, 0.006343832364497726, 0.007560035582683337]","[0.3540652319475354, 0.4081902538832873, 0.4414186466673806]","[0.08509896400836156, 0.03263885107152058, 0.04245053297608809]","[0.020593850250630544, 0.014117952952278195, 0.022127148466886327]","[0.09711881505627554, 0.08841823832682723, 0.10085450097221615]","[0.5961426558571885, 0.6269730828279354, 0.6519423408157111]","[0.7949390898560369, 0.5130867223514781, 0.5415310536263955]","[0.012878602152991662, 0.004644495719964288, 0.024545209150097447]","[0.012557052599536047, 0.01018352077063, 0.02486747809092947]","[0.006416519378204108, 0.002004735237662595, 0.004441126857322839]","[0.047489705278840805, 0.07364653567491614, 0.06162977868765101]","[0.021117634304027313, 0.012880514216375873, 0.035376208470054904]","[0.008411133260915995, 0.01054105147373184, 0.02523785771862653]","[0.017476039851888638, 0.01088947439993204, 0.0267735264883769]","[0.03673971341570353, 0.024871684382920454, 0.03423564203509999]","[0.006113621184069684, 0.005228743765675904, 0.02399505353231963]"
0,F1,0.9326666666666666,0.028333333333333332,0.0407,0.034445172302782406,0.42724425019425016,0.067192407067422,0.041236111111111105,0.11588390418504524,0.6566599832915623,0.5557916666666667,0.01920648038785056,0.004082482904638631,0.004071240597164455,0.012750725327851122,0.04809436463928577,0.005359753026794349,0.006419461873143319,0.007008800413564643,0.015048993999273057,0.0027457353295610868,"[[450, 17, 33], [19, 473, 8], [17, 7, 476]]","[0.060890623593698914, 0.015254862921382586, 0.02790536258061301]","[0.09359017699333474, 0.023399319355078572, 0.03578566868809313]","[0.07656730930077109, 0.01984252810281644, 0.03145948683659291]","[0.4066754392525551, 0.4125168477688065, 0.4521190245073396]","[0.11712491578057363, 0.04542597563068788, 0.0683002393398092]","[0.09220972143483107, 0.025089845235863627, 0.035979145505707896]","[0.17154192530332385, 0.09672054008650266, 0.11163555871666139]","[0.7176759398151156, 0.6377002656999075, 0.6494157809634927]","[0.7309430347531087, 0.5095560050635201, 0.5269996820323092]","[0.009819401068002359, 0.0048845179403614975, 0.009567101026963124]","[0.014497511476297261, 0.004517222592070602, 0.010374241492294019]","[0.02643085630596826, 0.009159380559013507, 0.014300338666205855]","[0.04412446747547641, 0.07108466282456267, 0.05512311011279789]","[0.020959168821828807, 0.005917930272920966, 0.014303682405012242]","[0.022096071170681006, 0.005321355206554543, 0.01205488758625617]","[0.01876540588607125, 0.0040095712134591245, 0.00861470150803496]","[0.027266475203536315, 0.021193964457245185, 0.01283860350268969]","[0.005661510744559728, 0.0027648519031011746, 0.0021388823203428316]"
0,Hostility,0.9480000000000001,0.001,0.0157,0.01922714782251806,0.4089492035742036,0.05206359305831263,0.012666666666666665,0.09270878866452162,0.6291182121971596,0.6086666666666667,0.015202339001321829,0.000912870929175277,0.0026018156053887547,0.00782563687997575,0.043399007745371816,0.0018620953838073878,0.002648738926590268,0.002913477989704152,0.012606366931882277,0.0044159787200071235,"[[466, 8, 26], [22, 473, 5], [15, 2, 483]]","[0.0004926108374384236, 0.000970873786407767, 0.0014780641233681315]","[0.01965768419747984, 0.010545289664116175, 0.01713214729359796]","[0.029074927128416854, 0.010677010714389997, 0.018233037750196225]","[0.3674258986174541, 0.40746390098681406, 0.4495538393270836]","[0.07642420267502935, 0.029976535349479538, 0.050991116977006534]","[0.015237022471903606, 0.011650241568463806, 0.011279681960799095]","[0.09731100308507742, 0.08390794476499616, 0.09727473659494204]","[0.6113556128916232, 0.61715383943228, 0.6589438409850585]","[0.7847217817401173, 0.5117237365557503, 0.5372200747746032]","[0.0009852216748768472, 0.001941747572815534, 0.0012070691265884646]","[0.003267848590917109, 0.004264739862947719, 0.002180563449205041]","[0.01287626692342177, 0.005347779878049604, 0.006087333087882876]","[0.05205910794826196, 0.07077015263697618, 0.056023752776377105]","[0.007779496465258505, 0.007635779149807594, 0.004964554657118413]","[0.0038242116198910093, 0.006490473318771286, 0.0033803404502754384]","[0.005178098868058427, 0.004429631712141707, 0.0033919380698706095]","[0.01233580438003153, 0.02252771219153685, 0.010654380250405843]","[0.008207729052353617, 0.0010139099174136408, 0.003066127983639203]"
0,LSC,0.9373333333333334,0.003166666666666667,0.006966666666666667,0.011575659018079816,0.39714933954933956,0.034191672424248164,0.0054444444444444445,0.06518432570879715,0.5202639933166249,0.6157083333333333,0.007601169500660875,0.0010865337342004413,0.0014832396974191323,0.005335777949860283,0.04082184021163213,0.003482190944366977,0.0018172696926440138,0.00364513049333204,0.011943657658982382,0.008143142138565955,"[[458, 17, 25], [21, 476, 3], [21, 7, 472]]","[0.004960101609817466, 0.0024902914887320543, 0.002130434782608696]","[0.009979710905155712, 0.005115366662770253, 0.0058887277734247945]","[0.015720774541637717, 0.008533540311955773, 0.010684539193944343]","[0.3540011337068898, 0.4056175675157264, 0.4380391838241106]","[0.04479847519558122, 0.028742775673051568, 0.02886717674710279]","[0.007581737848514086, 0.0037752321174772305, 0.005105264490920089]","[0.06631757323486703, 0.06325888115048531, 0.06633085310903775]","[0.47959869655379145, 0.5356989912247114, 0.5483156697763558]","[0.8193465216946516, 0.5079183559410507, 0.5146244242683234]","[0.002785770810096383, 0.002841141048996854, 0.003162725966433444]","[0.0026803964928057184, 0.0011374945677877048, 0.003480863623507399]","[0.007516518112007222, 0.0028783171804980688, 0.00565799154984771]","[0.052749574600132985, 0.07230362743473523, 0.056649553094697366]","[0.004101298261162041, 0.0013878139397549621, 0.006930604147641973]","[0.002101282691291449, 0.002130494495781426, 0.00468994838331322]","[0.004508868510185205, 0.005508688184229017, 0.005814223043320594]","[0.012540552396434704, 0.026808132302492377, 0.02188810163839901]","[0.015074311340492842, 0.0023682089855487603, 0.0028821498014951997]"
0,N1,0.9359999999999999,0.005333333333333333,0.01686666666666667,0.021667827831425783,0.40932531080031076,0.057501226705329325,0.0030555555555555553,0.09214044004700059,0.6352702589807853,0.6139166666666667,0.027325202042558935,0.0019184774055368895,0.00296132477861589,0.007685069008858148,0.04189799641275475,0.0037739786397428454,0.0009820927516479827,0.0032596798117122423,0.009092403169860834,0.005175731295618473,"[[455, 15, 30], [18, 479, 3], [24, 6, 470]]","[0.009836885298512546, 0.005384777813208868, 0.0005154639175257732]","[0.021526177084171254, 0.012625986138186532, 0.016352717231802837]","[0.02872677455391781, 0.014322114111419499, 0.02185783214032452]","[0.36974818091309625, 0.4096023549315734, 0.4503291176301817]","[0.07491143409487203, 0.042069745547178884, 0.05535087320408818]","[0.003918217666538144, 0.0027084213802153205, 0.0025009650601671616]","[0.09600396612968684, 0.08270162906420372, 0.09781024973604795]","[0.6233668171424964, 0.6188642064280636, 0.6628593529419998]","[0.7852319532707213, 0.5147731575113763, 0.5428397514348806]","[0.0046625092627503055, 0.0023540424100394496, 0.0010309278350515464]","[0.0026283687148874147, 0.005652374911894546, 0.0017747869630244451]","[0.007752422085182703, 0.00791699668300081, 0.009396962410857464]","[0.04782474565444905, 0.07441787992129865, 0.0542824308030501]","[0.005552365189621938, 0.008265740402094318, 0.006820164394935549]","[0.0008219459038428344, 0.002432877457267709, 0.0009407102952968822]","[0.002455796083597465, 0.006953680457387628, 0.002780642126676775]","[0.02041396681253113, 0.0258007085069385, 0.009593768999031665]","[0.012626130320250577, 0.0042203843271820755, 0.002901264772766881]"
0,N2,0.9386666666666666,0.003333333333333333,0.0066,0.011187358612716993,0.4015196969696969,0.036660247678413735,0.004388888888888888,0.056885484013012855,0.5486290726817042,0.6124583333333333,0.017732581437693858,0.002282177322938192,0.0005477225575051659,0.004522379116699132,0.042258684772015734,0.0033986847480842715,0.0017308252866304863,0.0026052785047923415,0.0112703683892176,0.004500675103680418,"[[445, 25, 30], [13, 485, 2], [17, 5, 478]]","[0.004573121816960793, 0.0014492922331905383, 0.0040786375729708075]","[0.007457580171429156, 0.00399664579596598, 0.008511301992537109]","[0.01304240076649961, 0.009089264311529125, 0.011464973862907244]","[0.3554682588084904, 0.4049874831511887, 0.4415795661998933]","[0.04540184765584503, 0.029752406123767783, 0.035124893900126755]","[0.004149705121092315, 0.002662351698609373, 0.00641511293618226]","[0.056302746585297866, 0.0554878862126836, 0.05889087575130965]","[0.5098766068311174, 0.5543549380702446, 0.5808883863482507]","[0.8117440871362815, 0.5065224133433299, 0.5257618610438819]","[0.002929194225603133, 0.001935311685538454, 0.004189855425106488]","[0.0021109892915975874, 0.0018796964506365248, 0.0018953184748162991]","[0.0068735228428198165, 0.0034825862332014544, 0.004833553484923341]","[0.053100828444224896, 0.07269780601365433, 0.058438449873796885]","[0.005889616419326232, 0.002126338080251679, 0.006037026609279271]","[0.0018381226152306637, 0.0013640072564533577, 0.003912161182793689]","[0.002429312121924817, 0.003578810635938872, 0.0017959375877390346]","[0.014797040220629906, 0.023891179491004017, 0.013667367076960767]","[0.010731543899457057, 0.0019916887231883284, 0.002810944284393527]"
0,TD_U,0.9273333333333333,0.013333333333333332,0.01796666666666667,0.015023957004209217,0.3840666860916861,0.05428196731675881,0.017458333333333333,0.09189571404698452,0.6217105263157895,0.6255833333333334,0.02487747754272701,0.005743353646704259,0.004158992933658607,0.009866239338355719,0.041287347170408495,0.005410378301467215,0.00392026036865215,0.005301658800475638,0.01607319451773663,0.012706113194049578,"[[451, 24, 25], [16, 480, 4], [33, 7, 460]]","[0.016926970297305458, 0.009535599986555855, 0.016431032292588323]","[0.023858085225006816, 0.012836947003626559, 0.019632304920086458]","[0.017529055354533557, 0.011671680606612531, 0.019394966097111783]","[0.3514849852746522, 0.40488430222063465, 0.43328531621977157]","[0.08044823816966391, 0.03433987185154671, 0.05035237464507799]","[0.02159892062216491, 0.015332567263445706, 0.016101129033164165]","[0.09653350300304678, 0.0882796758725287, 0.09411284037352825]","[0.5950402919568035, 0.6351456793868132, 0.6507676136717239]","[0.7926503019273494, 0.5112183873992959, 0.5432467551578667]","[0.01340164871675774, 0.0067497259925991425, 0.00764424400763221]","[0.013384679706945886, 0.003778345122158783, 0.01303985021449109]","[0.01084496086116573, 0.006557143192371431, 0.014380291645866886]","[0.05303829100165273, 0.0711371360406047, 0.054271660833424475]","[0.010805831111851908, 0.00639744841223721, 0.020805006379138877]","[0.01272971859285746, 0.00504039232809001, 0.007763768136144899]","[0.01319472530387077, 0.009077164345630802, 0.011118434402360801]","[0.012015625005662823, 0.031798596200261715, 0.03122972347947105]","[0.005833048464824122, 0.003806329423912331, 0.010124552783661757]"
0,Uniform,0.9413333333333334,0.041,0.05463333333333333,0.04329090711292173,0.42357142579642587,0.08240739104303027,0.05709722222222222,0.1332825491598737,0.664421052631579,0.625375,0.010954451150103362,0.008486099745400644,0.00985618812951764,0.01897051510740652,0.043435624285232094,0.014285115704290165,0.01494753556424752,0.012838052633003147,0.015738223293689672,0.007764994455174404,"[[466, 9, 25], [16, 480, 4], [27, 7, 466]]","[0.05864556688462695, 0.02426078387801898, 0.03860271802332349]","[0.07538664978963362, 0.03512414188587531, 0.052041088250557165]","[0.05864759989898547, 0.031169847116173693, 0.03927527195395847]","[0.39371393927887577, 0.4170421875353837, 0.46269076345917404]","[0.10131773187541984, 0.058804751334105676, 0.08577149472176529]","[0.07786606977826128, 0.036872071912868606, 0.05484980711469498]","[0.15151267142428645, 0.11004215592615489, 0.1366866506422542]","[0.6514674525060278, 0.65694586419918, 0.6853658815063964]","[0.7856335107125085, 0.5221183378980085, 0.5575003128597761]","[0.009573470394595307, 0.010479844644771912, 0.013579134284211768]","[0.006165891731213373, 0.00896612594727037, 0.016102797359087803]","[0.021396216651421832, 0.013874963736299652, 0.0176526346291049]","[0.0471555370408343, 0.07190556665118525, 0.053100137898634166]","[0.011726226478007244, 0.009663441525169942, 0.01989795316346955]","[0.011095565522552168, 0.013680551520849087, 0.017519374125491115]","[0.009142876317127306, 0.011868827112866992, 0.016199428198014308]","[0.008435574053204668, 0.02718501987710498, 0.014046628926210529]","[0.010118446838987287, 0.005851213916024208, 0.007577529073240466]"
0,kDN,0.9386666666666666,0.0013333333333333335,0.0030666666666666668,0.012393460130735372,0.4032086441336441,0.04475973163315657,0.0033194444444444443,0.08169344225693534,0.6197589807852966,0.610375,0.021807236311728196,0.000950146187582615,0.00109671225842414,0.005524293385617348,0.04398055505373602,0.004754170711287018,0.002145147768946765,0.004874409416714953,0.016340673117996196,0.0034340260223565686,"[[454, 14, 32], [21, 476, 3], [15, 7, 478]]","[0.0004807692307692308, 0.00186474533102896, 0.0015033370173842425]","[0.002146957520043036, 0.0023483345998743677, 0.004801009368872932]","[0.01658012012248384, 0.008122473581099871, 0.012926229375461076]","[0.35863093735184975, 0.40673114203103883, 0.44392458060809803]","[0.06924903468340263, 0.031465336171874414, 0.03469440237329841]","[0.0030881023197851815, 0.002766577033018561, 0.004129321570779615]","[0.08074736565381008, 0.0786812855216003, 0.0857731413524068]","[0.5860540197567525, 0.6277750718066919, 0.6446153537253136]","[0.7945108839046755, 0.5126808746933922, 0.5331103729442803]","[0.0009615384615384616, 0.0017066146550959236, 0.0020384208027567274]","[0.0004087812629675366, 0.0005454354964859277, 0.0024847069204608223]","[0.009269843663370168, 0.0024409112278921, 0.00447692123097554]","[0.052327392097089045, 0.07266486249024626, 0.05616044595191733]","[0.0074708705793511765, 0.006937635061526958, 0.005430415780508998]","[0.0013329380302194644, 0.0022668171672924607, 0.003140779103728035]","[0.004241358106954003, 0.006032366358628188, 0.0054469766993119235]","[0.010624546843350895, 0.025512674980632647, 0.015511632446960643]","[0.012625672085868438, 0.00368813764201059, 0.0037891313566895254]"
