n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.9293333333333333,0.1945,0.24508333333333332,0.1581276434202064,0.48252445609945604,0.37134984131181537,0.21963888888888888,0.29651020426024316,0.8599807852965748,0.6916249999999999,0.00795822425754217,0.03542695928871746,0.016964935242369132,0.07027176908346597,0.04826595728626851,0.010816481639687394,0.01340029481894215,0.017803452181646185,0.007477360526061914,0.007736996258956782,"[[453, 29, 18], [17, 467, 16], [22, 4, 474]]","[0.2262270154038426, 0.11714068866324981, 0.20092725070439502]","[0.24660692142745827, 0.18680541207957826, 0.27900632934014963]","[0.12505036252315443, 0.1517778387352412, 0.2017866355189099]","[0.4405435630999087, 0.474213393204043, 0.5391197814292272]","[0.38783946413450854, 0.30846879589541737, 0.3903872211116585]","[0.2006663463555219, 0.16958469854040903, 0.2753043011487285]","[0.27998435136417876, 0.23282364258866872, 0.35833548712572677]","[0.8701115327008668, 0.7976658173541141, 0.8857414010918285]","[0.7569075814003384, 0.5920529076149099, 0.6723686654366334]","[0.05412068912865454, 0.04832190749914209, 0.05247508190128841]","[0.025283136347160912, 0.013567326957774297, 0.015537874558089347]","[0.045609135033593, 0.07409611739105866, 0.07501549059993898]","[0.047056373217320605, 0.06047226838760873, 0.04678862247398598]","[0.008763197436470005, 0.026645836859931004, 0.013654702973056985]","[0.024954370073604716, 0.06032568636812705, 0.03552224916012303]","[0.023058338366629856, 0.022661672610160277, 0.03852916365004029]","[0.011154521305987068, 0.020931731920377568, 0.011392942799803386]","[0.006815049328617991, 0.017701548352595225, 0.004613685681796282]"
0,DCP,0.9346666666666665,0.25949999999999995,0.3259166666666667,0.3045254210412415,0.5760079836829838,0.33327272497955,0.35793055555555553,0.3710326917924036,0.8671432748538013,0.6680416666666666,0.01215638835254031,0.028665939913268344,0.05548344973453294,0.037536547394264444,0.09349122296962703,0.08034008964980036,0.10925083781496418,0.04615468147420169,0.010281732305033493,0.010451608063408769,"[[467, 16, 17], [18, 471, 11], [31, 5, 464]]","[0.2369742781616873, 0.18575935363739457, 0.3330892647666249]","[0.35265752259065763, 0.21569223129972057, 0.34723808792564015]","[0.3295682314353432, 0.25923032985789807, 0.28920331336657723]","[0.5860343046181435, 0.49846393135976585, 0.5715924660978994]","[0.19137892488031816, 0.26233621435685495, 0.49004603817692394]","[0.35548412914411087, 0.24260694787772671, 0.4002779366110179]","[0.3922387400930811, 0.2683538287347754, 0.3835497374822677]","[0.8656030979866072, 0.7794072323904309, 0.8853470234347018]","[0.7335657604811667, 0.5702622872732798, 0.649586729763367]","[0.061169576426208856, 0.04066915303856151, 0.12253873500099842]","[0.08072727584643587, 0.040872978597117915, 0.043898181374244734]","[0.029089472048363565, 0.07100644129719998, 0.07975197597897977]","[0.11885692088156036, 0.07606439925846048, 0.09479870136948511]","[0.04656642761004431, 0.057280727508595954, 0.10142548415646713]","[0.12584270610262183, 0.04932413166321251, 0.1259740749941731]","[0.05837344226755945, 0.035859789264194024, 0.05876231560000031]","[0.05568035344594302, 0.0353340224067085, 0.03470288072904947]","[0.01805175558387723, 0.014397145200988986, 0.026425039257340018]"
0,F1,0.924,0.08416666666666667,0.20201666666666665,0.18243386408385234,0.46983129370629373,0.2689710423726177,0.22241666666666665,0.2608107646483202,0.7641758563074352,0.4350833333333333,0.014414498873626455,0.03543871862494154,0.02395535488732693,0.07200961695744815,0.051408264586063034,0.030384522078003448,0.08821711213509992,0.030682890977244148,0.013494584038712402,0.00985418868919313,"[[447, 28, 25], [15, 473, 12], [26, 8, 466]]","[0.026787476478617178, 0.04096382189853849, 0.16187505231757873]","[0.14345407755390469, 0.22754727930354446, 0.19939752896472823]","[0.1457303047594086, 0.19212352041183067, 0.18639507527374868]","[0.4600669679649762, 0.4634545265107993, 0.48040003791442965]","[0.2977329876737471, 0.19939013073833425, 0.3319968856047882]","[0.2948184482509532, 0.24507830664728156, 0.16314381566241765]","[0.29148807326267245, 0.25604987212630526, 0.25093165559451763]","[0.7877273005583826, 0.7719774948347871, 0.7431526422306518]","[0.5753788427857254, 0.38714800437188546, 0.4237316733012901]","[0.007221118909183364, 0.07532503314489113, 0.016604467771692565]","[0.03233552645819666, 0.04005697470326067, 0.029622139970820298]","[0.09365641135935303, 0.11228924978531801, 0.050865650384266145]","[0.06221696056020531, 0.058294869471939854, 0.059661786271174126]","[0.10661075969430996, 0.03516120745449472, 0.02617127547922509]","[0.08660567389385192, 0.12863422024108068, 0.055228127112613074]","[0.04960390168029553, 0.03427879036416296, 0.029017820028172277]","[0.015774141864881283, 0.02403675289924064, 0.014723502701929079]","[0.02306017215277104, 0.01813982988519174, 0.014598995048462243]"
0,Hostility,0.9273333333333333,0.4141666666666667,0.3533166666666666,0.24207540486764895,0.5413023698523698,0.3395128926408254,0.39658333333333334,0.40675004966431105,0.8745655806182121,0.68575,0.019206480387850566,0.03932150245801342,0.0056854468210999435,0.0645503226400536,0.04423196279239503,0.02249719082146432,0.02798733454728635,0.022280475778531292,0.008526100080952701,0.008617045446220113,"[[456, 18, 26], [20, 471, 9], [29, 7, 464]]","[0.4813079727328664, 0.334709990083994, 0.4120307466106392]","[0.43028932617471866, 0.2975932186810965, 0.30899552249516304]","[0.27112957309022107, 0.24242879082587923, 0.20137265766350182]","[0.5547290262791382, 0.5112324351337874, 0.5492284261112308]","[0.2693030267641381, 0.38506708239925785, 0.38090585913862895]","[0.46486107051251047, 0.31334200509407906, 0.3913550596955771]","[0.4663789068458407, 0.34811296795444474, 0.3883666502550317]","[0.8914122092848652, 0.8580533241242954, 0.8679091871799276]","[0.7609580429904876, 0.6263140223660842, 0.6473240779173819]","[0.03724782007388646, 0.047915975772796424, 0.07960475154778698]","[0.016162801864952534, 0.032292741112236026, 0.03465712411149963]","[0.059954842629200665, 0.08915512539036032, 0.04544514458103316]","[0.03908123278585869, 0.0668935260549035, 0.04391244051997082]","[0.018179439175174252, 0.049432684950442715, 0.06384798639272515]","[0.03110307789262646, 0.01949960796596324, 0.05453530129760314]","[0.027117001419277177, 0.013307267394491631, 0.030218872908176722]","[0.007777938029577955, 0.01869985032353177, 0.017044612162236482]","[0.003233901188910055, 0.023249274918676077, 0.012072262392979259]"
0,LSC,0.9280000000000002,0.010833333333333334,0.0157,0.016264243760912695,0.3930194832944833,0.04017016581345047,0.01475,0.06702600857593252,0.4392848788638262,0.669875,0.015916448515084395,0.0011785113019775794,0.0013826805688790008,0.006926943084381532,0.04053383434660251,0.0025040449185595474,0.0010686324478706296,0.003278966660850868,0.006209726564728803,0.026175738209902193,"[[443, 27, 30], [16, 478, 6], [21, 8, 471]]","[0.010841533576667265, 0.011433260073891258, 0.010742584861451443]","[0.015482509316622803, 0.016946084920653824, 0.01570456353141228]","[0.016652080947764776, 0.01716752819418771, 0.015031780612675858]","[0.35478473123523874, 0.4095810098933398, 0.4408797660952459]","[0.0410882991878965, 0.03903316198817058, 0.04037728632980355]","[0.013457733345934041, 0.017342119515827252, 0.014928772131927948]","[0.061149108820208756, 0.0719221851798987, 0.0735421354247426]","[0.36207464386146143, 0.5097676851074876, 0.5059557141498855]","[0.8596696504540468, 0.508667985634372, 0.5200021728484658]","[0.001551358958422003, 0.00494380732534799, 0.003391705153740248]","[0.0038854525351216494, 0.00453156001148176, 0.0027157999191430274]","[0.007679354729578334, 0.00747648649488697, 0.006161286549213669]","[0.052577653719019124, 0.07269102266481156, 0.05616200066327889]","[0.0018958499565398192, 0.006418468496195629, 0.004219012697212195]","[0.0031073691728728484, 0.005266361016237459, 0.004841441358298495]","[0.004434482365833923, 0.011164503486414254, 0.005459235032490366]","[0.01624142955906837, 0.04755083257115792, 0.028920788332140894]","[0.018072095965286406, 0.00212468673580925, 0.005119717325085185]"
0,N1,0.9326666666666666,0.23633333333333334,0.27921666666666667,0.18387960923604613,0.5254604118104118,0.2714761663518135,0.3639444444444444,0.3720898418393491,0.8671441102756893,0.6756249999999999,0.01479489401411475,0.023083483754022548,0.0050958180021573605,0.055921151480598015,0.046482348355379934,0.020412697028588337,0.008528727779151141,0.016253413944997994,0.006600621958797224,0.006682922888477259,"[[453, 19, 28], [19, 473, 8], [21, 6, 473]]","[0.29307862235138465, 0.2036812468087917, 0.2076678337970402]","[0.3272931899569473, 0.24658052449887627, 0.257697583102522]","[0.2067277710382902, 0.18432655187787078, 0.16088372175998605]","[0.517256273510117, 0.4937322940158261, 0.5561489456937246]","[0.19538415133313297, 0.30248074686733856, 0.3201049717331858]","[0.3921100269549683, 0.32752195437894555, 0.366014203610204]","[0.40314671151692627, 0.32992381541082255, 0.3762796426047071]","[0.865518639807123, 0.8506884143038942, 0.8818879064959828]","[0.7425135293869201, 0.608385169715602, 0.6657571520014722]","[0.014372867577270907, 0.041459164371436194, 0.05748071752274311]","[0.008227044777257627, 0.017279326652324206, 0.018923259662321223]","[0.06015739609581188, 0.06834048410577646, 0.03165535137628031]","[0.0539048302399712, 0.07032372365904713, 0.04454906892368172]","[0.019239507100379603, 0.019812287886589577, 0.02383998141222262]","[0.01811511409798303, 0.0183558873250346, 0.023329340301955128]","[0.01399177816369049, 0.023244599730793597, 0.014214727482483968]","[0.015673734103888493, 0.01567411199250899, 0.007620007103221199]","[0.006806900033481497, 0.012681988809562275, 0.006321563338504632]"
0,N2,0.9333333333333332,0.19666666666666666,0.25728333333333336,0.17825397672544938,0.5180388111888112,0.26720560251476927,0.2761527777777778,0.35953656209655316,0.8611445279866332,0.6639583333333333,0.02438123139721298,0.010913167378090652,0.011145440024213187,0.06242436782107158,0.04634257576307323,0.0162870736477586,0.016654046147600896,0.006584310774078972,0.004093403147444705,0.007156485015548991,"[[454, 19, 27], [16, 477, 7], [24, 7, 469]]","[0.22917528748294594, 0.17147068113960834, 0.18192668204874995]","[0.3011718850794649, 0.21619892278924002, 0.24361132675936598]","[0.2034455474061272, 0.16441881286271862, 0.16212590642180055]","[0.5121042686575255, 0.48704429481484424, 0.5510205056471256]","[0.22045970093809877, 0.2522183553439055, 0.33364010257964194]","[0.2923641560684665, 0.2477430086560965, 0.2820708632474219]","[0.38793155025581305, 0.31249673809895134, 0.36812336225902353]","[0.8675847619573718, 0.8285611960099457, 0.881821983166551]","[0.7351770268033735, 0.5879579394059128, 0.6498030627964747]","[0.027794402541667096, 0.026455917007488294, 0.024111567652977995]","[0.017718512079557453, 0.017230033835483737, 0.014083136517878549]","[0.0665455397035733, 0.0708868056337896, 0.03804758582654929]","[0.037428665006412884, 0.06503881249467168, 0.04194801783730422]","[0.007782348066315222, 0.017312812899763868, 0.024602243389138394]","[0.031448676648630894, 0.03795677269404513, 0.03408875477134807]","[0.017138350798111913, 0.022384878553574798, 0.014333998929485602]","[0.012336557808842914, 0.021806209886320545, 0.0022444104374755992]","[0.003187370089544352, 0.0196222396990597, 0.006182232800101432]"
0,TD_U,0.9406666666666667,0.13033333333333336,0.19206666666666666,0.16531658261867102,0.43246103341103337,0.19051235257591498,0.13433333333333333,0.2559928703154307,0.8050985797827904,0.626,0.01785746031463847,0.0696583926506108,0.05060222052659569,0.16232975220409618,0.06607485767610097,0.12098618379630002,0.038189444117128865,0.0654505139061505,0.046572027250258725,0.02434310591431496,"[[460, 14, 26], [19, 476, 5], [19, 6, 475]]","[0.18773777938123304, 0.06819871681074627, 0.07690152346666035]","[0.24945223540989173, 0.09022667682211256, 0.14258310784915817]","[0.19994831090707169, 0.08243900676555471, 0.12248413568350092]","[0.40126462475876823, 0.45275655796850656, 0.5074093106368519]","[0.0928261403821558, 0.1352089612644359, 0.31763201400709196]","[0.15214042197714522, 0.10212602178727614, 0.13856131630022755]","[0.30468610565523996, 0.15722516179570561, 0.22320339530183056]","[0.8334616005480473, 0.6874432853019892, 0.79314465205668]","[0.6915569161906865, 0.538566087488434, 0.6093124631921615]","[0.0926042144279985, 0.015630386715198608, 0.03336919571693749]","[0.06863429836272705, 0.015651609484737396, 0.03442286180040403]","[0.24818510929430113, 0.03518583775610523, 0.06606360251044406]","[0.07484343145694294, 0.07867037292015153, 0.06737704833785177]","[0.021236130361464704, 0.025557985571765276, 0.16011925614474096]","[0.04247682076455933, 0.03231136093917909, 0.02536864587658222]","[0.08725427293674436, 0.025505000778140333, 0.028662009632832382]","[0.07206942997750587, 0.0275771449676955, 0.05931010007066037]","[0.06585314486955607, 0.009585499299613413, 0.011229323115616764]"
0,Uniform,0.942,0.03933333333333333,0.05288333333333334,0.041506366154009634,0.42355384615384617,0.08193615214543618,0.049999999999999996,0.12483534800675326,0.6582894736842105,0.619125,0.0121563883525403,0.008607974339077819,0.008262322447243403,0.01592376007642879,0.04522559308962438,0.009889241213180624,0.008488145328109738,0.008637933243948626,0.019682969566853913,0.004726458475668849,"[[463, 13, 24], [15, 478, 7], [22, 6, 472]]","[0.054660122443364045, 0.02945390279629656, 0.034354420629606065]","[0.07103919987509698, 0.03866318784783039, 0.049257857827939025]","[0.05504630470901668, 0.03235618347498469, 0.03746292702387475]","[0.3895314337363275, 0.41792630394158437, 0.4604498557716627]","[0.09187594883207192, 0.06740691829139286, 0.08617587681043744]","[0.06315873854134177, 0.03833852292616474, 0.04902712453995441]","[0.13683204034588017, 0.11098961373993088, 0.12708342728892683]","[0.6452282437661275, 0.6523993625778969, 0.6769745503655208]","[0.7862290516873195, 0.5236062443016981, 0.552629772727143]","[0.012315391372106257, 0.009213411397730166, 0.012751364156876017]","[0.010516074004156526, 0.0026253818600708374, 0.01161543237568172]","[0.023086468797635585, 0.01036577855224859, 0.012812796904243789]","[0.04946941523699599, 0.07049585072383455, 0.05240166685182179]","[0.011010539648139363, 0.005606888423615391, 0.014154711049727112]","[0.00376134197850813, 0.009179402533844418, 0.013804883715081612]","[0.00654187215019698, 0.009007450208581553, 0.008948697881145516]","[0.020537172427926336, 0.03647987307801945, 0.009637627025702814]","[0.006263826008737802, 0.004448694677180795, 0.004504037920663597]"
0,kDN,0.9353333333333333,0.23783333333333329,0.32625,0.21261449791930848,0.5321596736596736,0.33119123173385423,0.29277777777777775,0.34686184018120414,0.8684720133667501,0.67625,0.01043498389499902,0.014972196454317143,0.014820804634027107,0.07755572924075396,0.04886733659417429,0.017788326362567223,0.0311577341626144,0.020211517439914176,0.015889176947928015,0.009654401342277909,"[[455, 21, 24], [18, 477, 5], [23, 6, 471]]","[0.287052192195944, 0.22059172212646855, 0.19711394541036514]","[0.3802149904511749, 0.285268439581264, 0.2958690222861956]","[0.22899906644558915, 0.21532841293073757, 0.19350792593374241]","[0.5282901219252712, 0.503707695301297, 0.553919884456093]","[0.2424592360294578, 0.37964519849166783, 0.39297660511400634]","[0.3230751901945452, 0.2806347279076514, 0.2689923946532103]","[0.3854609187867605, 0.30619814499981424, 0.3344228475295312]","[0.8768282640480344, 0.8389022395345366, 0.8802160623439251]","[0.7415480809342768, 0.6003437395055279, 0.6592855520404461]","[0.027853575654994796, 0.05254848561275735, 0.035285099044401184]","[0.015961891686447387, 0.015232576761044994, 0.018119242215245746]","[0.07094031807454526, 0.08732612965813927, 0.06012318408889428]","[0.04398626130454366, 0.06970499577233093, 0.04319571429866839]","[0.018537513841591417, 0.03668879179057097, 0.01487359170748797]","[0.028348851034370643, 0.043618647041330665, 0.03133842773200238]","[0.01937757165351067, 0.022232852188625737, 0.026107782643713103]","[0.014970344958454266, 0.022691037700914903, 0.011740790495083805]","[0.010851354957190237, 0.012456880634101828, 0.010143392284851806]"
