n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Averaged_measures,0.8833333333333334,0.09733333333333333,0.14126666666666668,0.12067599966506423,0.5057913377192983,0.1615336053698458,0.14937499999999998,0.2650231397006998,0.91665455304929,0.6866666666666668,0.025712081034235817,0.00823694252876771,0.005234235591012522,0.0056973501472500935,0.031736442879213726,0.004013915854914436,0.00921964907208217,0.005214985399011376,0.005718669806584664,0.018130387130450384,"[[474, 3, 23], [3, 433, 64], [28, 54, 418]]","[0.007976395649307716, 0.06713660913172058, 0.21643166689837967]","[0.03769744212291296, 0.14279820503307378, 0.2423888522236179]","[0.04597377021377863, 0.12422067451392045, 0.19142441335627097]","[0.5215616884299505, 0.6495543118427733, 0.3447833475548743]","[0.1084480094002962, 0.14378009642945258, 0.23250226984435302]","[0.0536465780871761, 0.1612768329966124, 0.2322756927938528]","[0.19642004788470185, 0.313732376558141, 0.28370022638176534]","[0.9353942945179756, 0.9758156624129203, 0.8375801459270287]","[0.8415480390165839, 0.7715907237351283, 0.4467422618802829]","[0.0068393937100880275, 0.022331909421543825, 0.01418596638637546]","[0.004476053062291261, 0.006217021003200059, 0.010121655808021102]","[0.009264700467718727, 0.00818321833561441, 0.00862452688189412]","[0.03554462314090788, 0.0515352051228021, 0.016555566754604553]","[0.010485793889318525, 0.00633692789629106, 0.009836857200670327]","[0.0021076556345405255, 0.018413701004862313, 0.011990044930014257]","[0.01213999719346282, 0.008243106258791684, 0.008216398513975659]","[0.005685631489905593, 0.00554193888930244, 0.014476114417416813]","[0.03270493346393615, 0.005826597514229677, 0.01762499434202612]"
0,Uniform,0.8826666666666666,0.07116666666666667,0.10826666666666666,0.09643714673712121,0.49940054824561403,0.13725974538733438,0.111125,0.23234697240274885,0.9036002506265663,0.6702916666666667,0.019635568633364173,0.006886984503798133,0.006596084697252857,0.005450919918839474,0.034270982422312614,0.010892976572049224,0.008194650421140084,0.011187610567279462,0.006390550743095324,0.011343745217323746,"[[480, 6, 14], [5, 426, 69], [23, 59, 418]]","[0.006876484232020423, 0.047929678885272595, 0.16288961578771452]","[0.029888371798932938, 0.11203999831240088, 0.18664233429325564]","[0.04262010234627668, 0.10643627295632485, 0.14281722635308225]","[0.5074441100558463, 0.6528762215523176, 0.33010330227496476]","[0.10617477255345084, 0.12619120073943768, 0.1820314761910184]","[0.04386486648262993, 0.11672965869836834, 0.1763635201379504]","[0.17609280677549488, 0.28256780954336397, 0.23874912086164896]","[0.9307411099711105, 0.9705734066838685, 0.8043439094090639]","[0.8321697524515539, 0.770999678354893, 0.3954367453568796]","[0.0062883275497673955, 0.01264499465106884, 0.016995343858515193]","[0.003507992916727911, 0.012082074989520769, 0.010936622188434946]","[0.009135757181917852, 0.016986985512385127, 0.008428820199724563]","[0.03354918360315358, 0.05688278904501928, 0.018351390727070472]","[0.0049803587339769485, 0.019548918581654043, 0.010545903043443425]","[0.008278869694054869, 0.014795550759878569, 0.014389910837080343]","[0.00831853838526623, 0.021079316023100616, 0.012159134594126913]","[0.008360267299897766, 0.005998042579799812, 0.0044685057222489675]","[0.03412500939368542, 0.001513500389457375, 0.009884827737064237]"
1,Averaged_measures,0.8720000000000001,0.09566666666666666,0.14076666666666665,0.12274696160673257,0.5110709429824561,0.16440957404573045,0.14723611111111112,0.26120797024682174,0.9161441102756893,0.6894583333333333,0.016931233465600406,0.011951871076204856,0.013514190073153963,0.012242231549624038,0.026678015673724544,0.01187653128670209,0.014496966477061219,0.009363087043134818,0.005703620850571947,0.01931588203036843,"[[473, 6, 21], [3, 422, 75], [31, 56, 413]]","[0.007656499269744972, 0.05779812982049205, 0.22496839804342658]","[0.03633613389273147, 0.13054581091650624, 0.2589749618750946]","[0.043686298358317624, 0.12086364074010358, 0.20619823007786015]","[0.5257130787030784, 0.6476357582620562, 0.35660890841484666]","[0.10891808904609093, 0.14025252077621847, 0.2464642379092999]","[0.048927028252223524, 0.14467792736504223, 0.25139099364508427]","[0.18944668783153357, 0.3002617037136859, 0.29518773458170067]","[0.9374321766569951, 0.9740603239280212, 0.8348119139224517]","[0.8403680265455911, 0.7696489634359768, 0.4512120001109823]","[0.009292927451032764, 0.02150376730613677, 0.021581646717717996]","[0.00547280926970938, 0.011446802709933859, 0.022456426952678257]","[0.007099149691504051, 0.0050819543092022815, 0.024367814151246933]","[0.029488503062179223, 0.04593170017146135, 0.008715256427153316]","[0.004128269939010933, 0.016507544921935, 0.017213767117454835]","[0.011227103023764179, 0.01836179875379492, 0.02395817944654683]","[0.011408125662140216, 0.014570068073984902, 0.011105746064743132]","[0.00596812585304401, 0.005651988995618075, 0.012776217715747511]","[0.03745053835189281, 0.002225841085549982, 0.018534913907848193]"
1,Uniform,0.8800000000000001,0.06483333333333333,0.10429999999999999,0.09442409043005622,0.49269221491228066,0.13546717957097015,0.105375,0.2301560116789009,0.8992167919799499,0.6609583333333333,0.020000000000000014,0.011627911821704416,0.009971069261730263,0.006469642505117975,0.03128625030716907,0.007131155942298344,0.009317545136812773,0.01342470448331072,0.006764692681249022,0.015535577448767943,"[[481, 4, 15], [4, 422, 74], [25, 58, 417]]","[0.00640286810432288, 0.039645455042998656, 0.14750139317098343]","[0.028507092151449698, 0.10714442195227294, 0.17615558104537057]","[0.04316212816254027, 0.10502589626254022, 0.133960397822653]","[0.4998175640694553, 0.6550281377552404, 0.3234675512993682]","[0.11286117715719006, 0.12001272578015201, 0.17302182338748917]","[0.03797805826044446, 0.11218656770840565, 0.16526402574471277]","[0.17897546320837465, 0.2759882311641616, 0.23483987898305242]","[0.9302201576388823, 0.9701453357097597, 0.7978051611992043]","[0.8299409033093568, 0.7669148305896354, 0.38765623523409437]","[0.005933123203252778, 0.01880934710661492, 0.01808170996833011]","[0.004714825688226747, 0.016987579595692668, 0.009421205267075825]","[0.007893557658317504, 0.012233069485379585, 0.011719407283842225]","[0.026817715929468643, 0.053054338430246276, 0.018866830988336716]","[0.009254969645765892, 0.013601871280394221, 0.008355023000446932]","[0.006241316679931485, 0.016166762389760482, 0.016382785780112766]","[0.012343934174386314, 0.02173222571698791, 0.012687722525198617]","[0.007330719440803343, 0.007088202982243401, 0.010293007462642657]","[0.03289756867782361, 0.003143940058498976, 0.006201981726120207]"
2,Averaged_measures,0.8939999999999999,0.0895,0.13363333333333333,0.11628016138786026,0.5081162280701754,0.1570605848653069,0.13794444444444443,0.2580324508332276,0.9127852965747703,0.6839166666666667,0.01605545943838969,0.012810043802509899,0.010041856844672152,0.006785449942035341,0.036849997718742755,0.010589997469287515,0.009777693931143024,0.009830373499715278,0.006060907458527257,0.017870215948766685,"[[483, 4, 13], [3, 444, 53], [27, 59, 414]]","[0.006707183378266118, 0.0598758743047658, 0.20442546900066566]","[0.03844733550303135, 0.13252514861145173, 0.23154421042133064]","[0.046026543470272956, 0.1169706643401868, 0.18701313951601722]","[0.5214127582159078, 0.6489794202441491, 0.34696496931996823]","[0.1106161981162681, 0.1365322841803237, 0.22483985449565919]","[0.0481665834657984, 0.14313531753024583, 0.22339086213872178]","[0.19126176948063622, 0.3067966529715254, 0.27478683594683617]","[0.9363003538577848, 0.9743784942316907, 0.8240933527209504]","[0.8382954979996906, 0.7688090127214162, 0.43703819230555785]","[0.005973208223504985, 0.01616746997557248, 0.024105606936522975]","[0.005091830307181069, 0.01604650899772134, 0.010803273490404495]","[0.00818146327684405, 0.010946635376625225, 0.010253244233088661]","[0.03777321798963165, 0.05163265615166773, 0.02080569455198519]","[0.010347934239616295, 0.015698446510242523, 0.01306987010081813]","[0.009569395041232196, 0.011700750522918484, 0.012592370644003729]","[0.008454565432683407, 0.013246651974040138, 0.009492756890555044]","[0.004213944999525699, 0.005351048055606926, 0.017676040603494033]","[0.03210825954062686, 0.0045483084340363945, 0.020843120868653614]"
2,Uniform,0.8993333333333332,0.06899999999999999,0.10443333333333334,0.09878979328704741,0.49285679824561407,0.13588113844738048,0.10822222222222222,0.23009307603399926,0.899108604845447,0.66075,0.013621877827801698,0.012351900438573994,0.01022496943760714,0.008432697954608243,0.036711892168673856,0.012122852434273424,0.014278527595961772,0.014045382009912321,0.009735779110868396,0.014299772968283284,"[[489, 3, 8], [5, 441, 54], [24, 57, 419]]","[0.007155283773106274, 0.046432795550160125, 0.15094454925634768]","[0.03244726409825188, 0.10812549953326747, 0.17002180086574104]","[0.04514702069984987, 0.10973185594697159, 0.1399908915660403]","[0.5049245341841143, 0.654816419022232, 0.32044207662091595]","[0.10788259466308495, 0.1258704490343852, 0.17249990172608676]","[0.04122075928469586, 0.12218450722062676, 0.15908594346506316]","[0.1817109240402691, 0.27984429804039024, 0.22791569209120124]","[0.9312010665832158, 0.9696103628687697, 0.7989204677374618]","[0.8301102994735293, 0.7725852880624416, 0.38660045571648516]","[0.005534040158742651, 0.009784812056516013, 0.026446846891673426]","[0.005048663050912773, 0.009204937915780163, 0.020580473290729824]","[0.006640582682517224, 0.010631959594723437, 0.01702170749346097]","[0.034363135861967105, 0.051338538672502404, 0.020961291582613926]","[0.00302859559130549, 0.010866036655662643, 0.023612671986610104]","[0.00972930941704379, 0.010426730671917163, 0.027007208244650378]","[0.0135928730065578, 0.012889140124921603, 0.01996794081814028]","[0.008270001148332703, 0.0056606279191000995, 0.010787506797862754]","[0.031430606837641636, 0.0025676257651564977, 0.012189221785792471]"
3,Averaged_measures,0.9006666666666666,0.09366666666666666,0.136,0.11811934075256533,0.5066452850877192,0.15821500447313605,0.145,0.25685662756608474,0.9127710944026735,0.6827500000000001,0.01382429423555181,0.00917802326817225,0.007436770505774348,0.008715217052282112,0.03539653134564718,0.007432543485259275,0.015371163452877,0.00503688001404065,0.00826685330454854,0.017906610549986535,"[[484, 3, 13], [3, 448, 49], [25, 56, 419]]","[0.008542064501143785, 0.0638868616264466, 0.20840663891489014]","[0.03520662543651266, 0.13547889056752402, 0.23817568020863983]","[0.04512713317278769, 0.11941262560129293, 0.19073896197839307]","[0.5208727521805451, 0.6557203732677109, 0.3451949345240973]","[0.1102941240200848, 0.13940391897202084, 0.22529191939863705]","[0.05151361208479014, 0.15312675003367965, 0.2307666148650243]","[0.1872355790305996, 0.30668639587614777, 0.27830460251333294]","[0.9341352680709708, 0.9746263105343491, 0.8307337017109264]","[0.8397407852097831, 0.7706552792867797, 0.43841141090618746]","[0.008031012924488077, 0.021099141138674074, 0.01613743587915601]","[0.0055284500889307775, 0.010823580084413352, 0.016452223743259164]","[0.007550731078557389, 0.012463142891274821, 0.02158632401591065]","[0.03818111400948907, 0.05198909629437413, 0.018939220030248678]","[0.007780720325596148, 0.010553871523894082, 0.01765036106742982]","[0.009049835583685743, 0.017460946240554394, 0.02512884019264856]","[0.009629864463411361, 0.01214496258353275, 0.013266981798154035]","[0.0060506334940245, 0.005184458472496363, 0.013433845405777934]","[0.03619876453902809, 0.005404937951281126, 0.01807857131232112]"
3,Uniform,0.9006666666666667,0.0655,0.10576666666666668,0.0953098070996545,0.4977862938596491,0.1359558410820766,0.10958333333333334,0.22956872892023225,0.9015576441102757,0.6619583333333333,0.016227548592850742,0.007559945620027818,0.008628602307313622,0.004608645657523377,0.03500352375288503,0.00919563412850997,0.009630895460783655,0.011833873050851653,0.008686033977679001,0.023324775216256373,"[[486, 3, 11], [5, 445, 50], [22, 58, 420]]","[0.00552652379935108, 0.04518448264623389, 0.14355068220041758]","[0.03329026762597035, 0.10861278429420702, 0.17300037162974574]","[0.04356434200379604, 0.10348118832302093, 0.13721641762901576]","[0.5124935267125139, 0.6562265234780924, 0.32388514239844646]","[0.11004801370056261, 0.12288582336387992, 0.17417982136813184]","[0.04475043890956711, 0.12133753652557284, 0.16026083774731573]","[0.1802953276282883, 0.2780877044687464, 0.22888313685868664]","[0.9324445815380604, 0.9700897552030968, 0.8034592424437644]","[0.8306165320026233, 0.7688554099566202, 0.39162287719279326]","[0.00502545549607146, 0.009578653328862992, 0.01563577120270329]","[0.005015798004925049, 0.012928350683155437, 0.009097472169097098]","[0.009040548013410685, 0.004143634293893078, 0.010734920753411542]","[0.03525695602998195, 0.05531501481985963, 0.019119237965590063]","[0.00986371227856182, 0.004714206590293376, 0.012920681292180323]","[0.009950272494691197, 0.013584026497948673, 0.015718442521318494]","[0.009884125595535198, 0.01703746122148287, 0.009559281029039399]","[0.008243354026461588, 0.006684099618703182, 0.01071479889820421]","[0.03507035559207493, 0.003171868016304967, 0.018835869939815127]"
4,Averaged_measures,0.9013333333333333,0.0895,0.13353333333333334,0.11205850080729154,0.5040040570175439,0.15406958769428555,0.14075,0.25900328412287105,0.9120417710944027,0.6795,0.01260511360079275,0.007874889769951633,0.00926342869088499,0.007256378816461999,0.03650744185426099,0.008636188781966803,0.007442131429640921,0.010174014740756986,0.009626117732445887,0.014183201135302399,"[[484, 3, 13], [3, 450, 47], [25, 57, 418]]","[0.0090521369373605, 0.0655370317718966, 0.19696412300508606]","[0.04047852570246883, 0.1345478370878594, 0.23050738601975768]","[0.042990103350181046, 0.11676484745203482, 0.17978929446129213]","[0.5223975293200048, 0.6525756478352273, 0.34176406228737566]","[0.10788914896631678, 0.13604638565311855, 0.2196574552390385]","[0.05509209983353304, 0.15840203128178848, 0.21398368338561297]","[0.1992380864025572, 0.30721900453816087, 0.27560961822839636]","[0.938070097086966, 0.9743678796712241, 0.8252888852752658]","[0.8370215757081763, 0.7658925187434402, 0.43221537702928703]","[0.007401442148438245, 0.014463795375255748, 0.019415047093796142]","[0.004910724270122744, 0.01585717953378814, 0.021596195606011535]","[0.009243750867727454, 0.0049685547515603695, 0.014686489983549397]","[0.0352078535859722, 0.05321197973269084, 0.01709739602881824]","[0.0070776593502471395, 0.008407509960916788, 0.019555390424829826]","[0.008105748679445373, 0.01916647125046767, 0.021012917681636968]","[0.006402203140728812, 0.020731072686887862, 0.013994004848923105]","[0.005382675844355594, 0.006210658513038749, 0.01852757189325467]","[0.03263163015099104, 0.0011739028540444034, 0.024155642972745073]"
4,Uniform,0.9086666666666666,0.06799999999999999,0.10286666666666666,0.09550681446923373,0.4946804824561403,0.1339597753381574,0.10469444444444445,0.22828022081597896,0.8987827903091061,0.6615,0.010954451150103319,0.007984359711335659,0.0039693268390944515,0.001950995587867598,0.031040770400931325,0.00803583694554688,0.008005501821471299,0.007668661346499747,0.008500695761279846,0.016504024130496155,"[[489, 2, 9], [5, 452, 43], [23, 55, 422]]","[0.006932123816225757, 0.04539471667696343, 0.15023440595634577]","[0.03039270778169203, 0.10750931193399568, 0.16954040947408366]","[0.04137955229565593, 0.10966973685739745, 0.13474358965652225]","[0.5074157597889413, 0.6552429264721693, 0.3251130836464603]","[0.10698187777019397, 0.1269443110134524, 0.1674262004869119]","[0.03773714945768415, 0.11423077861571576, 0.16082429507217214]","[0.1790270680228765, 0.27838921559234725, 0.22737564882548583]","[0.930928507132404, 0.970140514121925, 0.7972829662161971]","[0.8279111994942759, 0.7719227774218724, 0.3894005415376549]","[0.0060624922207055355, 0.007154514948425142, 0.022471594782643232]","[0.004097226874286218, 0.0049903133146851145, 0.011645506431390002]","[0.007594761635495608, 0.007251105019519828, 0.009079124689225277]","[0.02934937802605257, 0.05004244669611551, 0.019692170838699043]","[0.007805480500204525, 0.01166873232566874, 0.012511872301340697]","[0.0044904814904988145, 0.011077962472910997, 0.017335316981485098]","[0.008008512175516623, 0.01252824305959787, 0.01197771002108756]","[0.006129905876309269, 0.005416171443992498, 0.01888730945197239]","[0.03283331904019772, 0.0037423337259600868, 0.017671035269058638]"
