n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Averaged_measures,0.8946666666666667,0.021833333333333333,0.046566666666666666,0.054187488340659284,0.459369298245614,0.08299672831675105,0.04141666666666667,0.17226026982575565,0.8647372598162072,0.5996666666666667,0.023285665595430667,0.0030844592538869582,0.004711982361785514,0.004474272952585534,0.030796846103718717,0.005433481331103678,0.004790559453398236,0.006268101263421822,0.009234630062549754,0.017414598162652704,"[[480, 9, 11], [12, 448, 40], [30, 56, 414]]","[0.0029528834274651855, 0.01628470949529123, 0.042280920370998135]","[0.020382360605055435, 0.06522215863438735, 0.05710150360204301]","[0.041505574008993545, 0.0823144490880848, 0.0468508060572678]","[0.4955684646809684, 0.6645029607250972, 0.2871560434395545]","[0.09515265621376909, 0.0869702422462056, 0.06980349122879438]","[0.026787635882343046, 0.05890075702287847, 0.042523105006836585]","[0.1615125019594433, 0.2292140939400511, 0.1432956501074822]","[0.9231705520199647, 0.9621751847913462, 0.7469279509610682]","[0.813572991684838, 0.7655373635307445, 0.2989893450900425]","[0.0017944887920800993, 0.002489287304187212, 0.0064542682570836165]","[0.0038711169211606126, 0.011367997228896302, 0.010235608711313971]","[0.01163017745066757, 0.008613221030587145, 0.0056409675620753925]","[0.02708443020202971, 0.05641970185141461, 0.020139571438920544]","[0.004558289596205823, 0.006734306768828191, 0.005842376795853433]","[0.0028426069616648625, 0.007042017255283191, 0.010406770324274395]","[0.008726548066447565, 0.01757443600818878, 0.009101640583393012]","[0.007876301101015963, 0.008035627105436515, 0.019312511730322314]","[0.036250946465767306, 0.004761088296482034, 0.014467903943385697]"
0,Uniform,0.8873333333333333,0.072,0.10933333333333332,0.09914473182612063,0.49709407894736846,0.13711151604524768,0.11459722222222221,0.23452981171626153,0.9025902255639098,0.6655,0.013416407864998718,0.011705293199612249,0.01034139470499237,0.007514395585668855,0.031111852543066462,0.007255952912455338,0.012163923460406081,0.011354361790406133,0.010532387360794775,0.0184916225401306,"[[471, 4, 25], [4, 437, 59], [26, 51, 423]]","[0.004474983819482069, 0.04244706194512595, 0.16993602161934013]","[0.028368551722658918, 0.11143678562203356, 0.1884940728762698]","[0.04368579497600531, 0.1087707408881426, 0.1444493152267912]","[0.505236571214281, 0.6535361704092955, 0.3270116445521097]","[0.10724183623922519, 0.12395954321775726, 0.18052534530270342]","[0.0386540801309842, 0.1282995658315807, 0.17663888964147392]","[0.17839006919962547, 0.28428145615022793, 0.23904074914524767]","[0.9305021233434335, 0.9708832512960142, 0.8040841433166495]","[0.8260207356061269, 0.7705247456681803, 0.39438315861371487]","[0.003654919464555311, 0.020317748109341185, 0.021472343332018858]","[0.0038218210460080797, 0.01175044536729752, 0.014265835957960922]","[0.008753135824377627, 0.008408270404941617, 0.01601458065105594]","[0.029622641748883755, 0.05290750144390324, 0.016914658984677068]","[0.005554841783346165, 0.010029874713575873, 0.011251978236118298]","[0.006781259378498942, 0.007024276965083, 0.02152817315273616]","[0.008505172588720664, 0.015973824848521456, 0.012868388456809788]","[0.006280853894078375, 0.006436372618398892, 0.0209424263223456]","[0.03878384829168277, 0.002738934456770817, 0.01006841528442075]"
1,Averaged_measures,0.8946666666666667,0.09033333333333333,0.1387,0.11990959154961345,0.529690350877193,0.15931184208950983,0.1450972222222222,0.2655075799362419,0.9270730994152048,0.715125,0.022681367781605326,0.010938591215406935,0.014801182385201523,0.007291767021851865,0.04179119553009047,0.013550445005794897,0.017793544982817648,0.014057990644834414,0.009558794352667477,0.01426178240964294,"[[478, 8, 14], [7, 446, 47], [31, 51, 418]]","[0.004980167520509582, 0.05360430362571881, 0.25903712372099225]","[0.03661046940513556, 0.125804262894245, 0.29199798933192855]","[0.0453280989715824, 0.11813306630049722, 0.2200811221497933]","[0.5220742147118049, 0.6511657434749003, 0.3541164265862971]","[0.10572721027969453, 0.1319299237217801, 0.2708772446075192]","[0.049500308117324254, 0.14273392048594688, 0.2735223127907128]","[0.19318644360058132, 0.29590808743106295, 0.3131094612564446]","[0.935228901380271, 0.9723648212304077, 0.847522454454434]","[0.8372207963098388, 0.7688372028614128, 0.47234606669805945]","[0.004605315671377696, 0.022565342556096192, 0.03517596950730864]","[0.004356731140520547, 0.012828859549544236, 0.030802202215291542]","[0.007406731924821337, 0.0045996334971643805, 0.024335520094353292]","[0.0369436868978082, 0.05036401555829331, 0.016496907857295552]","[0.00630207097866259, 0.012581799578055095, 0.02557393500914597]","[0.00624158960761005, 0.021642946038904827, 0.03367608854486195]","[0.011170553507225501, 0.014867286873083462, 0.02025537420904046]","[0.007153643058242523, 0.005918364908329007, 0.016771757137994957]","[0.035006713120636655, 0.0038402155598376096, 0.01139222058929068]"
1,Uniform,0.8813333333333333,0.07383333333333333,0.1101,0.10156729224993181,0.4979610745614035,0.13855033879531767,0.11054166666666665,0.2337013656290654,0.901515455304929,0.66425,0.0193792558049982,0.009621301598247737,0.006474951737271871,0.005946508348588974,0.03153936589421934,0.009286010615881038,0.010869153742882637,0.007492099203361814,0.00763519913617921,0.010245044533822138,"[[469, 5, 26], [4, 436, 60], [27, 56, 417]]","[0.007630264389404323, 0.049550165835981076, 0.16197252394146006]","[0.03130477204965971, 0.11869228084074748, 0.17758031322117843]","[0.043662965963949904, 0.11130992847256518, 0.14753043265936652]","[0.5136716989172676, 0.6530849231659649, 0.3284090117218662]","[0.1103405655466246, 0.12925452724504644, 0.17467545576889093]","[0.039117849000360236, 0.12558338646550443, 0.16482491705283506]","[0.17856208263219067, 0.2865226988687586, 0.2342755753312443]","[0.9306949661420727, 0.9704344197950633, 0.8049204673887477]","[0.8302111450158429, 0.7705672662805712, 0.39963367851408227]","[0.008280038284789454, 0.016013151704266454, 0.021217793132989504]","[0.007953245082598238, 0.0057900825041912254, 0.013530894848425838]","[0.009445229345751215, 0.0037449762075898174, 0.01228242993520182]","[0.0252105467308909, 0.04953016328042719, 0.018962191219648605]","[0.012664912319200618, 0.007102100807497133, 0.0120250810472921]","[0.012035672118005462, 0.005538408809302047, 0.01987707633681649]","[0.01208590847775613, 0.009192796535284887, 0.013139862414383389]","[0.0070139798036646175, 0.0057745686988341744, 0.009300987261446904]","[0.03490867095823766, 0.002526287808391507, 0.010560604678694598]"
2,Averaged_measures,0.9126666666666667,0.0205,0.04073333333333334,0.055092811518202334,0.4557176535087719,0.0841893914519093,0.03686111111111111,0.16732428931974047,0.8612673350041771,0.5950416666666667,0.02649947588580237,0.00346610572384757,0.0022035325174717887,0.0025856004197181786,0.027855420985239923,0.007146089376599181,0.0022370382825910233,0.005155285969181712,0.00827084643779974,0.01864926644372075,"[[491, 3, 6], [7, 461, 32], [30, 53, 417]]","[0.003821220160051065, 0.023781058225479164, 0.03287551429915774]","[0.017783476387336884, 0.0656136052113677, 0.04420738754296734]","[0.04225777657779192, 0.09166541171819739, 0.041951853357458546]","[0.4915596358970474, 0.6628026285849888, 0.28494019945311294]","[0.09780922612919299, 0.09457267872066873, 0.06525719458838627]","[0.019651319730198322, 0.06081414822301416, 0.035472892684469536]","[0.15349063871381777, 0.23250608096685932, 0.13500708511796267]","[0.9212429323838848, 0.9628405927561596, 0.7381613453612855]","[0.8130054486231977, 0.7628644023039394, 0.28742304009470054]","[0.00444913984021541, 0.0059542849888237145, 0.006739008379538418]","[0.0021474257331976676, 0.00790785918773034, 0.006390877586845297]","[0.006961260532005966, 0.01000108271455498, 0.006740988720921415]","[0.03976426148581566, 0.05357351375374654, 0.02133118721083016]","[0.006472940237806974, 0.010632274176271819, 0.006216002738506341]","[0.007732054243523864, 0.009959525660377519, 0.006785061234937688]","[0.0067348990440193384, 0.015327950144674805, 0.007360109303655496]","[0.00701300731566675, 0.006937886803792276, 0.013095963883982268]","[0.029635659209311382, 0.0034072572904820736, 0.009000412293921322]"
2,Uniform,0.9013333333333333,0.07133333333333333,0.1049,0.09685504236928694,0.49554276315789475,0.1358980614841928,0.10815277777777776,0.2297660354229683,0.900485380116959,0.6602083333333333,0.01501850710142507,0.007673909622147565,0.007946522649701703,0.007834841563829636,0.03430480847466849,0.0092861619256235,0.007668754747852876,0.007061693913000795,0.007212045669413059,0.013792547806696205,"[[483, 0, 17], [4, 452, 44], [26, 57, 417]]","[0.00808583893465623, 0.04996195259762766, 0.15495249398998628]","[0.02807598708589838, 0.11432888215072742, 0.1701388037843064]","[0.04265232682085389, 0.11316752689778267, 0.13286359883661394]","[0.5088207836213813, 0.6524305328621267, 0.32189388368912353]","[0.10494677193982797, 0.13160217166859628, 0.1704788174425767]","[0.03787679740347089, 0.12652341402494605, 0.1580806337809383]","[0.17895226864643016, 0.27937384975932, 0.22852847500150392]","[0.9300515309117641, 0.9715462652181625, 0.7992255100976893]","[0.8303743096744377, 0.7682891509801623, 0.3837211723077436]","[0.00888681890696644, 0.015832992243384067, 0.022190453466727243]","[0.004416706484716366, 0.00763738558499238, 0.014193937321854864]","[0.008285859113775286, 0.008789577179837455, 0.015303508807170598]","[0.034280144880147696, 0.05433325436603936, 0.015614264773781403]","[0.008704679315479483, 0.011406171118794575, 0.011300936082024057]","[0.006594606774162709, 0.013789757604486832, 0.016538138778094243]","[0.012595113893067517, 0.013703986998329925, 0.012348297288160786]","[0.007304772253698632, 0.0034401569256533467, 0.013504570787208896]","[0.029257499477225064, 0.0042458450863047436, 0.02254397676639739]"
3,Averaged_measures,0.906,0.09766666666666667,0.1409,0.12315625401696703,0.5255190789473684,0.16574177982371277,0.15229166666666666,0.267393282549337,0.926045948203843,0.7130416666666667,0.016055459438389742,0.01091952888686646,0.011119677253509748,0.004806033011521958,0.03801988552936442,0.00832643871647329,0.011737241069863836,0.013484532415915483,0.008103887613150479,0.014268628175125987,"[[492, 2, 6], [7, 450, 43], [31, 52, 417]]","[0.008144453736905796, 0.06027316397395436, 0.2656555571126813]","[0.03674772355312987, 0.12839046292625061, 0.29074562346320454]","[0.044818824080616534, 0.12029990357254665, 0.22593429986066957]","[0.5157941719730544, 0.6479598803938245, 0.36011741669122427]","[0.1121228161714904, 0.14033523122229613, 0.2702009382587143]","[0.052534444463134, 0.15245230756265055, 0.27835999423509716]","[0.1918621689874663, 0.29891121349334915, 0.31672663789541566]","[0.933067177135644, 0.9724228430770555, 0.849842982737908]","[0.8347186718957301, 0.7708054929642358, 0.4738221490249782]","[0.006075865794977739, 0.02078687333058347, 0.03635304084123049]","[0.0058513179471001925, 0.010505485919936648, 0.020478696828695388]","[0.0054340304016744344, 0.013197989951860488, 0.012815733751774604]","[0.03725202934084904, 0.05182637269946081, 0.022468792208536988]","[0.005015360934503497, 0.008736250814249686, 0.016399901086069958]","[0.0069745987736577544, 0.01836363672044511, 0.016746134978845823]","[0.014109624546326074, 0.01958729540402104, 0.014504280795784167]","[0.007074215241830155, 0.004783314513760353, 0.014647471824428255]","[0.03011043561656139, 0.004744084774770152, 0.02059494650757175]"
3,Uniform,0.9,0.07016666666666667,0.10496666666666668,0.09596271699484298,0.4975285087719298,0.1309634747154628,0.11056944444444443,0.23305426185579772,0.9007903091060985,0.6655,0.017480147469502463,0.0031402406135694616,0.005788398358402397,0.0024219075378177413,0.038383703269854214,0.003177067927249998,0.0040870282791193105,0.006218011608099509,0.010216946547541678,0.02091162372807155,"[[486, 0, 14], [4, 445, 51], [25, 56, 419]]","[0.006864090075103269, 0.04926414719867991, 0.15632607691724676]","[0.031009558102256113, 0.10948010516327855, 0.17606086336248736]","[0.04491236956301861, 0.11067830631183997, 0.13276649530192158]","[0.5110794913979632, 0.651058789386332, 0.3224727160023401]","[0.10180990579854912, 0.12528826734947948, 0.16667993839837159]","[0.0436355722663723, 0.12179636798209581, 0.16712978733012604]","[0.18125115409575174, 0.28178345741533917, 0.23534766801300605]","[0.9298793023695126, 0.9697325533294044, 0.799541168717323]","[0.8259071384433445, 0.7709174196440188, 0.3919297024316323]","[0.007015954755743444, 0.009556811348807646, 0.00557487386649957]","[0.007053424073390638, 0.007992306033803152, 0.011744497551183036]","[0.009983766493157787, 0.00866117563663782, 0.008912357460994249]","[0.032511119976292566, 0.05128588713441002, 0.019996150946763852]","[0.006262347193236669, 0.008021893981036685, 0.007599772649239992]","[0.010187756401098208, 0.007056902115969722, 0.010491269333586852]","[0.015904326972406693, 0.012495679801205663, 0.008486986867629035]","[0.009910574265131375, 0.004906125564856715, 0.01628034713228241]","[0.033696132845874006, 0.006214780180201081, 0.012304531888902237]"
4,Averaged_measures,0.9193333333333333,0.0235,0.04526666666666666,0.05600228787456616,0.45745350877192986,0.08767388155751739,0.04272222222222222,0.17063978056050688,0.8615822890559732,0.5998333333333333,0.0178574603146385,0.007532337692317779,0.0072184178013991055,0.0030602174404574635,0.029950378578200522,0.00857967563857833,0.006529144360499844,0.010290424391336992,0.012008485196003891,0.010157612088150105,"[[495, 2, 3], [5, 466, 29], [29, 53, 418]]","[0.004850185088280326, 0.024316551120159492, 0.039341847673480645]","[0.019329283048275296, 0.0699275016408462, 0.05081451176416123]","[0.039609011373255884, 0.0916611207869776, 0.04608591669545181]","[0.49173401618848445, 0.6574904480171504, 0.28738436290651476]","[0.10102820508199653, 0.09887411593404655, 0.06794908154529]","[0.02160343183299071, 0.06722039499267149, 0.04421028927581416]","[0.15256286542294192, 0.23786600508835148, 0.13953360995406583]","[0.9218508311045752, 0.9631898966412862, 0.7365286927217486]","[0.821591414973198, 0.7653170956487483, 0.2866650527644593]","[0.006064761765297356, 0.00858035394103623, 0.012962842234732605]","[0.004132278826188232, 0.009066779032830909, 0.010031203970560782]","[0.007946345932341515, 0.009419083058439418, 0.007295840653245403]","[0.0365722251986979, 0.06532250242273376, 0.0203661213971923]","[0.008234473907125438, 0.005793615604378199, 0.00930569412677507]","[0.006728561559791935, 0.0023137878392183848, 0.010076381932823536]","[0.010356713585012377, 0.016252159975774193, 0.009825292584706252]","[0.008308921669648132, 0.006991221861391632, 0.01761137489829057]","[0.03142025149261265, 0.006291763858527756, 0.006511880193795997]"
4,Uniform,0.906,0.07050000000000001,0.10376666666666667,0.09719814448669764,0.4964724780701755,0.13072068101180712,0.10891666666666663,0.23103461695343636,0.8979502923976608,0.6582083333333333,0.012560962454277848,0.008220063530438462,0.008307961375826338,0.006436713868012854,0.031243686237952,0.008267634755084434,0.006371239207815849,0.011626682873489353,0.008987551923243632,0.018707474924627192,"[[487, 2, 11], [5, 458, 37], [25, 61, 414]]","[0.006507236668021969, 0.04642228702038621, 0.1567478724349461]","[0.029939100433929416, 0.10628569631882938, 0.17280765573561965]","[0.04249662218944884, 0.1051673646658448, 0.1421914704442366]","[0.5090326044684785, 0.653543551365199, 0.32429389179861434]","[0.10423215901962657, 0.11892929036501523, 0.168313384575696]","[0.03884223487542266, 0.12061102349976065, 0.16497905677695351]","[0.17872898403452578, 0.2810395785361858, 0.23071559129833905]","[0.9312399235662164, 0.9710746667491403, 0.7909945650240842]","[0.8302949665649224, 0.7690918664532249, 0.37747976638281117]","[0.008054580544171151, 0.02244267993169656, 0.029217936559197723]","[0.008371757166529553, 0.010611483539439998, 0.017271972096228765]","[0.006869180461966002, 0.009559052427082715, 0.015457945753637625]","[0.03267767109682327, 0.05047819765566704, 0.01917464467936603]","[0.005597182696358642, 0.010247128114474143, 0.01718650804146634]","[0.011752630283019474, 0.011569515771498572, 0.02070252960121292]","[0.017987266207620752, 0.013643779927684889, 0.014947014877983904]","[0.00956895957446617, 0.005538453717205535, 0.014004234586841661]","[0.03435277261655964, 0.005262773758255371, 0.02331360009290083]"
