n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.8913333333333334,0.005,0.021866666666666666,0.03302069404202638,0.38025986842105264,0.03642575445036324,0.019305555555555555,0.1377818249198004,0.7881729323308271,0.43516666666666665,0.016766368453279043,0.0015590239111558089,0.0038322462226625135,0.003621203539728636,0.025013101969391886,0.0032645195171521636,0.000865969716204162,0.003992819444544641,0.018562802789101066,0.017984006204588204,"[[459, 5, 36], [10, 454, 36], [30, 46, 424]]","[0.0, 0.006624344660662594, 0.006149384051708269]","[0.025438249388564888, 0.05850830697784955, 0.014185583498155357]","[0.04299426230307741, 0.06895159066951985, 0.023276217443800797]","[0.5255467364454125, 0.6705537405573173, 0.2839816312480655]","[0.05380108058577245, 0.06341040448267601, 0.026400206639309153]","[0.03094974582949863, 0.05731101915208607, 0.00891614381430303]","[0.16344173915862623, 0.2261382716606665, 0.11414463053355517]","[0.918900580077411, 0.9565145035109017, 0.71925378985887]","[0.8180587764402366, 0.7560993107156488, 0.26503071026359065]","[0.0, 0.004582428372058941, 0.0022206560737551206]","[0.0084287685078891, 0.012623274463656175, 0.004851195872771938]","[0.00861961730504952, 0.009233724709915082, 0.006396052080793289]","[0.04071919706267738, 0.0671253029533801, 0.021961779492873968]","[0.004850535199317253, 0.003927035191777199, 0.0028195654098687405]","[0.007206793719343683, 0.01466365813607673, 0.0019041641803874837]","[0.013698040588854793, 0.01576469063734968, 0.004144273864703008]","[0.007930623281966686, 0.005894309804070365, 0.021354862189328777]","[0.0346019643248385, 0.003365557162657641, 0.012096550530031091]"
0,DCP,0.8986666666666666,0.022333333333333337,0.04286666666666667,0.024258477456183626,0.3729747807017544,0.08369724385019899,0.042374999999999996,0.16584541596586416,0.837471177944862,0.519625,0.020221001184137517,0.009635726346374841,0.0047146344267374315,0.005133509422222708,0.026945471624352527,0.016050490328283585,0.004737363389346025,0.009628667388247816,0.02913659756743204,0.05771179291675722,"[[489, 3, 8], [21, 437, 42], [29, 49, 422]]","[0.008885800266501617, 0.009223553934340803, 0.034845041943987215]","[0.02549302040770433, 0.07807938070854684, 0.04989546256540841]","[0.029017162027440396, 0.06886247002714949, 0.016284467926235096]","[0.45222098189703586, 0.6806642548206436, 0.2718451782638639]","[0.13140234114120058, 0.07647169890663814, 0.06349174911182368]","[0.0378901370079384, 0.08403030054124863, 0.04331267923293279]","[0.17366379758777406, 0.26369462142190586, 0.15050606807401334]","[0.9283442663113741, 0.9688697816139827, 0.7668356029373078]","[0.8223667636364119, 0.7655293079001724, 0.3073340395750461]","[0.011071439778975628, 0.01148276499356813, 0.010993238478017319]","[0.005783635953143097, 0.01723301752626358, 0.008042813057517164]","[0.009302883038080665, 0.011666078442705795, 0.0078057431773683765]","[0.047200852914028556, 0.06304504905330345, 0.029646919897798683]","[0.02102911664241297, 0.008753590643254558, 0.014082725679862657]","[0.012226866194351189, 0.019330741646520034, 0.010388248676367192]","[0.016615399896984982, 0.025068308552352227, 0.013781285925477865]","[0.010699153512831024, 0.008735667513316243, 0.02126859670956353]","[0.02816276184119355, 0.006679152526216202, 0.011848497535974249]"
0,F1,0.8793333333333333,0.053000000000000005,0.07826666666666666,0.07119333727858307,0.41768870614035086,0.09742186297783847,0.076625,0.19112635295314148,0.8370300751879698,0.49016666666666664,0.0140237893119751,0.009159087776022725,0.010640332075018466,0.00811865973050884,0.030391320717031347,0.014146635147513248,0.009199960580967621,0.012059704936204264,0.013159267061214654,0.00860293070218903,"[[469, 12, 19], [12, 430, 58], [28, 52, 420]]","[0.009775910364145657, 0.05925725822156749, 0.06607678585723357]","[0.02263338211997128, 0.11953582884235898, 0.07907120947775256]","[0.040447701014536805, 0.1195368902182153, 0.06079510152422816]","[0.4782228460237736, 0.6549139637178353, 0.2907838269165442]","[0.0945084000111572, 0.12420353783374179, 0.0867674435827311]","[0.033883868615939526, 0.12778947364217969, 0.06869493733002052]","[0.16507380740955852, 0.2834397896416817, 0.15883462644517204]","[0.9247493590768954, 0.9689949134626807, 0.7482440433527199]","[0.7503103844277437, 0.7419947297654181, 0.290330263069857]","[0.007296857048014829, 0.007029754146479132, 0.019583285554144722]","[0.002521267331327424, 0.01589222177688702, 0.014135628217159357]","[0.005897987212526715, 0.014993281165167573, 0.011721196656692922]","[0.03364051220344067, 0.059791853917977485, 0.01982410953196194]","[0.01780596252826184, 0.014985857188837406, 0.015413041050312543]","[0.006188140422321844, 0.015847705153131816, 0.015813853527289277]","[0.005305274222284926, 0.023675336795067885, 0.012469378873725666]","[0.006607367465269321, 0.007118711505231734, 0.015792213051202687]","[0.01816957668372711, 0.003704221994368121, 0.005512024309724165]"
0,Hostility,0.9186666666666667,0.001,0.018833333333333334,0.042775245656122195,0.44226502192982453,0.06968682564685094,0.015375,0.1439176282552222,0.8508333333333334,0.5905416666666666,0.023874672772626653,0.0010865337342004415,0.004880516821448773,0.005825955923768143,0.050837225816265055,0.008412304178943336,0.00464125854313219,0.007826979996675988,0.027413589378794578,0.05952313392473738,"[[489, 1, 10], [8, 469, 23], [28, 52, 420]]","[0.00041841004184100416, 0.0015748031496062992, 0.0015293627300550154]","[0.010265154743899501, 0.03389064983341076, 0.021642189770830607]","[0.0438278467527853, 0.07410444372007992, 0.025831504348028122]","[0.49766984039115014, 0.6579017465362031, 0.2751289885062433]","[0.08916184979515959, 0.07707508117646011, 0.04746180158522474]","[0.015292944399687942, 0.023621261894404867, 0.013411769041988509]","[0.1417384487737367, 0.19821434866207305, 0.1201603302186568]","[0.9157696773655047, 0.9518454124166607, 0.7374312670790241]","[0.8227980444806355, 0.768789965560541, 0.2751297762262423]","[0.0008368200836820083, 0.003149606299212598, 0.0012939586691223302]","[0.004587888315826414, 0.013299864681583345, 0.011565244185714897]","[0.009325727637129414, 0.007897858867417017, 0.004041764429413429]","[0.033864102942741225, 0.060712112326016775, 0.026546375493779716]","[0.01092294757600984, 0.007977939210050411, 0.006093137944631143]","[0.005826770662226791, 0.013431716250980243, 0.008228863589145019]","[0.005195472772369885, 0.025314101874810403, 0.011400997451046686]","[0.005137463646819244, 0.010975049902956202, 0.03004404889567263]","[0.038288439493427126, 0.005641837306045499, 0.02315800243780741]"
0,LSC,0.8993333333333334,0.005,0.0095,0.03721715325882506,0.4057665570175438,0.051051959377752185,0.009055555555555556,0.1089315016636944,0.7677673350041772,0.4814583333333333,0.01861898672502528,0.0015590239111558089,0.0019685019685029533,0.005355926663252723,0.035482958393989114,0.0033930622041044036,0.0013309078053793785,0.00822694197070473,0.017295813188604934,0.017162545014912236,"[[481, 5, 14], [20, 451, 29], [38, 45, 417]]","[0.0020233159908916386, 0.007826395765753124, 0.0062825115985686965]","[0.0062364631136447865, 0.022546301024393013, 0.008301173320844197]","[0.042260180539681, 0.07029596260595133, 0.026016667539550085]","[0.48656573581586454, 0.6610057381800095, 0.2881843827474946]","[0.07563185750715944, 0.06649810263624265, 0.03186646133331798]","[0.007896068160229908, 0.017000815853348533, 0.007659497417106806]","[0.11830927211436656, 0.17312780426357138, 0.08685770517077468]","[0.8853143381773819, 0.9371681642310511, 0.6508364927588502]","[0.8059296707804998, 0.7577176020763754, 0.20792709339920848]","[0.0019429931812310662, 0.004495836278909938, 0.00242287666554492]","[0.001691645045625467, 0.013676717234801131, 0.0021029578010729865]","[0.01239194498416915, 0.010326425385256442, 0.007825031165898753]","[0.032419144512652896, 0.06899152224376878, 0.025264815071430465]","[0.004648934024000218, 0.008618743537414783, 0.0029874307450890557]","[0.00319805842349023, 0.009855871125626905, 0.0026699733496935545]","[0.008063387319201898, 0.022321214196303462, 0.005536535242962529]","[0.009198083563088403, 0.012401754110715925, 0.021837244859284954]","[0.037993081514497706, 0.0033436706855180134, 0.011819054841447567]"
0,N1,0.9106666666666667,0.007000000000000001,0.03486666666666667,0.05064833057366715,0.4829059210526315,0.08213411335411791,0.003916666666666667,0.16734716217316098,0.8828801169590642,0.6415416666666667,0.018618986725025256,0.002472066162365221,0.002125898502855781,0.0024289037217747416,0.032334107152083354,0.0025324630092046435,0.0002484519974999767,0.004278463343817436,0.005792863955907967,0.017856366550586086,"[[486, 4, 10], [12, 459, 29], [32, 47, 421]]","[0.0008900637598510949, 0.005321801879196109, 0.01589325590761622]","[0.01857098790590528, 0.05689611108680159, 0.032159436511655835]","[0.04080221024340883, 0.07807314965974226, 0.034973435864508004]","[0.5032794597112576, 0.6636744941634756, 0.28183779184885066]","[0.10408391272674662, 0.08459159132613006, 0.054738522967589257]","[0.002032343900467446, 0.003189275796909124, 0.006871530534063171]","[0.15505221470735636, 0.22023089144939023, 0.12904089415649264]","[0.9259177063669555, 0.9633909110207176, 0.7528867821543538]","[0.8300724103366637, 0.7641434393202877, 0.30206276041915725]","[0.0010902909644573222, 0.004395995290807776, 0.005282470494562926]","[0.004037706757208508, 0.01045926360479789, 0.010289836907770777]","[0.007376032066350676, 0.008613620179063213, 0.00801539015786872]","[0.034341443217376304, 0.05449920991835879, 0.02269236690033128]","[0.004207482971585068, 0.009572724437479604, 0.0067791320277928065]","[0.0013053627155181797, 0.0012552993276306898, 0.0020195210176711877]","[0.008329168646272752, 0.0131627996841377, 0.004830675437627991]","[0.004626988911118126, 0.00751420520414128, 0.01692281807782173]","[0.034528845673248154, 0.0026694686060294865, 0.012704383276536207]"
0,N2,0.9099999999999999,0.003333333333333333,0.013133333333333334,0.039533251784296605,0.43241250000000003,0.06300791610032255,0.009902777777777778,0.08820607303376489,0.8067873851294903,0.5417500000000001,0.023921166824012234,0.002124591463996994,0.002045998805256519,0.0031339378153285623,0.034543240712843426,0.005961266867356348,0.002420415355641911,0.0051961942342179015,0.011993162219099537,0.018525625083171227,"[[493, 1, 6], [10, 460, 30], [32, 56, 412]]","[0.0013392857142857143, 0.002406926406926407, 0.0052563775150458025]","[0.008840753998692625, 0.03172897913947652, 0.009027942461664686]","[0.03908738281068464, 0.07649074481569586, 0.02491342320913894]","[0.48903312435132396, 0.6679514815225123, 0.28586191751253864]","[0.08771030937141447, 0.07864908058755493, 0.03591428715129935]","[0.007174507290534651, 0.024256164304052228, 0.006248316705194001]","[0.08739443894463597, 0.13207525096366615, 0.07102162115887557]","[0.9018848494152545, 0.9509788918431239, 0.6682585877920648]","[0.8176664405590689, 0.7619828207467526, 0.22183771947949255]","[0.0026785714285714286, 0.0030529272937010474, 0.002714232231448971]","[0.004132300312414439, 0.010275856921410491, 0.004654461300044622]","[0.00974410498195851, 0.011098478207801446, 0.008224523609473112]","[0.034927519464418154, 0.049544958912709186, 0.027089999117399028]","[0.008915526464146485, 0.009984030034495254, 0.006088836716616716]","[0.0036296800364749604, 0.010119981185854074, 0.0033876121959828826]","[0.00416234793019929, 0.015189916253963272, 0.0038383108629157277]","[0.008552819141658586, 0.009979197014142818, 0.013332286627402143]","[0.03960566746242128, 0.002425432243653883, 0.009202984368203417]"
0,TD_U,0.8866666666666667,0.052166666666666674,0.06993333333333333,0.0576330839332647,0.32421030701754383,0.11563686474416965,0.06684722222222221,0.17812720354552022,0.8231654135338345,0.4671666666666667,0.027888667551135858,0.005419870847169701,0.00564161127496195,0.009378195710430389,0.02781057845216232,0.00880907535715178,0.006746948612996823,0.0022892634564108684,0.0076471970613165305,0.015585784121008051,"[[482, 2, 16], [10, 421, 69], [23, 50, 427]]","[0.016077019663770453, 0.1103666196579172, 0.05934784634761614]","[0.02486643591050033, 0.17494754380007116, 0.0741999548280656]","[0.0370245193172425, 0.19253778897652635, 0.04902954023438029]","[0.39299076823789764, 0.545030896669771, 0.2719549434071219]","[0.17902423236753173, 0.21719201148803696, 0.08023132592295942]","[0.039123792439519654, 0.19726193845526835, 0.06174198640850124]","[0.17493078539705037, 0.3402524792201554, 0.15971731757958657]","[0.9313829202550945, 0.975162603675261, 0.7641036133325685]","[0.8091022267834072, 0.774304623926823, 0.3019096520999073]","[0.016510056042480174, 0.05082090046133828, 0.0066556277811628895]","[0.007544215603426562, 0.035597002277462694, 0.006858523053674867]","[0.011324791782675703, 0.023856311272757204, 0.009547606582987296]","[0.033523118950241126, 0.062034517426416004, 0.020701667911168606]","[0.02711683293663032, 0.029731167960472597, 0.007059987056920971]","[0.00749606008777002, 0.040040045086715756, 0.010548292424724185]","[0.019335301651237063, 0.023084436514497448, 0.006432460017532069]","[0.009879134928627326, 0.003951972008655378, 0.010647715595110857]","[0.025167987018511515, 0.010990758035411862, 0.007789659021866724]"
0,Uniform,0.8906666666666666,0.0685,0.1016,0.09578948403207882,0.49868629385964913,0.130652061322339,0.10831944444444444,0.23090862351009928,0.8984966583124478,0.6584583333333334,0.008299933065325754,0.010613146983288647,0.008517628778010928,0.004517295165986131,0.04128107579620319,0.005162892771846916,0.008891248601716792,0.006459963322982481,0.009033148911503029,0.016754067706745788,"[[478, 3, 19], [5, 434, 61], [24, 52, 424]]","[0.008283629484862609, 0.04951102366932781, 0.15073177040551494]","[0.030183584857374702, 0.10803643584166966, 0.16856810530502092]","[0.04314739843751812, 0.10980547511440922, 0.13537397290661346]","[0.5130760959039677, 0.6552743747661929, 0.3233752187712261]","[0.10290003422757914, 0.12015982652583101, 0.17019525303766753]","[0.042657140919722406, 0.12345872778695577, 0.16020228331817693]","[0.18201002768458305, 0.28329084805952653, 0.22755770493313582]","[0.9305732254212697, 0.9693062504248481, 0.7932527271943413]","[0.8253223678770916, 0.7666901676058787, 0.37623252210477576]","[0.009262743897971291, 0.020982311496962933, 0.020216483282243073]","[0.008124421751903485, 0.011928472755671046, 0.015439390495041616]","[0.00780807317186925, 0.006189076372194709, 0.0080266430011363]","[0.03488192208417975, 0.048863686726006106, 0.0183220540740943]","[0.003453130888440753, 0.008995271201934836, 0.013117019352761035]","[0.004866372865796341, 0.016181186791513803, 0.017683139451469654]","[0.01041219825672669, 0.014694453512386251, 0.005808791203659794]","[0.007098380713713768, 0.0062743833876242345, 0.017720800488958018]","[0.032133159319839774, 0.0030990918234276117, 0.019013749519512863]"
0,kDN,0.908,0.002,0.003966666666666667,0.04263193906721267,0.4738362938596491,0.06927499928824049,0.007222222222222222,0.14749547228615995,0.8672485380116959,0.624375,0.018043158136965838,0.001513825177048746,0.0017053836323048647,0.00149306824800735,0.036288970260014534,0.0035860069604529564,0.002295871563168964,0.006351114364146489,0.009472826671740799,0.016010521714034023,"[[493, 3, 4], [17, 461, 22], [37, 55, 408]]","[0.0012834578643715123, 0.0028790675931958717, 0.002115020826454583]","[0.0023351625895060963, 0.00852101978649903, 0.0019984436026616982]","[0.04059784034490232, 0.07125841046426089, 0.0203165963168924]","[0.4967900919489625, 0.6679841689846401, 0.27740658406219304]","[0.10089593588252391, 0.06953028911876295, 0.032098663919582125]","[0.00686626636135085, 0.01306123966634772, 0.002556402057309498]","[0.14665167294504403, 0.19311955602604997, 0.10905022234558345]","[0.9219167042433316, 0.9564293639287964, 0.7258493133402577]","[0.8210588454617929, 0.7651719483808799, 0.2710078108376455]","[0.0016750626691067819, 0.0031300972782887866, 0.001979355503770183]","[0.0010151012774806923, 0.0028276278286315476, 0.0018539444671448989]","[0.007861603158382996, 0.010962243243184367, 0.006474345744905413]","[0.034395439969911935, 0.06240925060435563, 0.022861862809881808]","[0.004980501996451662, 0.006954196816072002, 0.003522671164350513]","[0.0023827180450319897, 0.002820885225174012, 0.002903695392896531]","[0.007867348037895903, 0.018603044237299443, 0.00433355903649592]","[0.0065390386846929105, 0.006998082900592036, 0.015469815860444975]","[0.03427370213044627, 0.0031236600168960457, 0.012029025096718266]"
