n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Averaged_measures,0.8936,0.0218,0.05228000000000001,0.07073178091057443,0.3420604268774704,0.12384044197721718,0.04308333333333333,0.16077800181822025,0.8479085213032581,0.446075,0.007266360849833981,0.0038826537316634354,0.0050785824793932385,0.012830177446166685,0.03195696567384463,0.007620748406230132,0.002854698855493442,0.0030483549088799575,0.006194337375073618,0.00298675461412549,"[[450, 9, 2, 5, 34], [8, 378, 15, 89, 10], [0, 7, 493, 0, 0], [8, 45, 2, 445, 0], [16, 16, 0, 0, 468]]","[0.023860991201306473, 0.06231513397693818, 0.0030971420281487127, 0.014548413612760986, 0.0060724207602845075]","[0.03789156535215486, 0.0912791494219655, 0.002912563804595563, 0.09540406774352532, 0.03321078249306481]","[0.048904357824759145, 0.07886965622738402, 0.027729895809633625, 0.14171250787187012, 0.05557853542042385]","[0.3231589066598154, 0.20889318736231602, 0.3222761897889487, 0.5203941321719001, 0.32836757703057284]","[0.08472991933008409, 0.14024447140521165, 0.062487217011353735, 0.25541978992541114, 0.07307215134658664]","[0.03454252678511507, 0.05844539127716079, 0.005826624747042956, 0.0878474795714169, 0.027920745389286527]","[0.15086242451261828, 0.16342617429109535, 0.08810708290463072, 0.25525985936080897, 0.14271842231050763]","[0.8860070515092137, 0.800953097633116, 0.7468761571876774, 0.9711272403500952, 0.8282881114225887]","[0.5087380759339994, 0.36711461685247854, 0.41256000446094115, 0.5429191617654026, 0.39465393264137205]","[0.008985483834295245, 0.007650542781924269, 0.0025340768279048984, 0.0052099805325362784, 0.005054031588936169]","[0.010812385736342403, 0.013393906799032391, 0.0012760350964580009, 0.007822229401181068, 0.00647437165035208]","[0.009300498215736417, 0.013704137678173304, 0.009858331203906787, 0.018813097207454943, 0.021957363698867638]","[0.03793491046979676, 0.01807079574232981, 0.039786877203266575, 0.051230441899055616, 0.022755656272165387]","[0.011139346751274964, 0.013900481490114388, 0.00483337335360503, 0.013757816648660591, 0.007784762165983572]","[0.00962740319788724, 0.0060112625207553, 0.0016253475713404572, 0.009851622505460966, 0.0038367891529368613]","[0.01716864107292185, 0.006419156880884314, 0.006891552091630827, 0.005764386249126573, 0.0036724432622145834]","[0.033174296594918364, 0.00957821303070631, 0.012912017357649101, 0.0013864961789510134, 0.01489703963384182]","[0.008854616198974428, 0.006870846460397336, 0.011079069405243912, 0.005841385911750508, 0.007805704104799168]"
0,Uniform,0.8880000000000001,0.0726,0.11825999999999999,0.12160145366285632,0.3755464822134387,0.17872672414151075,0.11571666666666666,0.21738686888962158,0.8785989974937344,0.47285000000000005,0.008124038404635957,0.007692528842974851,0.00904007743329668,0.0124193452755097,0.03606867937743508,0.006029239635534101,0.011739667442762875,0.011445357973409386,0.009794365366677632,0.005722352007697524,"[[455, 5, 1, 10, 29], [11, 386, 13, 79, 11], [0, 4, 495, 1, 0], [5, 73, 0, 422, 0], [25, 13, 0, 0, 462]]","[0.0812391610250501, 0.2144000374364246, 0.00512689422999058, 0.03930894264910144, 0.027814109841765734]","[0.10721237141877116, 0.24576447762751769, 0.010773847517016693, 0.14541497116310492, 0.08609059116026299]","[0.10612451704873309, 0.22038824224674336, 0.03371456402758544, 0.1614884979013301, 0.08911453967533828]","[0.348493662757603, 0.2759402093408202, 0.32972094541043473, 0.5345670255372946, 0.38498933104666844]","[0.14952445415227025, 0.27770783975985414, 0.08997007844596132, 0.29328389189036275, 0.08567776577777601]","[0.10634185062085118, 0.20928972409169475, 0.017469940381299617, 0.16154854059534823, 0.08537453518800213]","[0.20485149969141037, 0.2713966890847823, 0.1039549738800812, 0.30250636632421823, 0.20478778920828328]","[0.9049135964506398, 0.8584323504524415, 0.7740058018423106, 0.9773476599297117, 0.876917563870195]","[0.5206409936044025, 0.4216142964200033, 0.4290941664145539, 0.5535053733023673, 0.436604371454965]","[0.014135840966767685, 0.028143409216573906, 0.005405103672443313, 0.015844339142123617, 0.01175266390404406]","[0.011203496676907858, 0.030870449655978384, 0.003682974909750885, 0.005656616395870426, 0.010537984721796387]","[0.022373190198443648, 0.017566095349528705, 0.011856950902153728, 0.0187956802177965, 0.008716022158792516]","[0.03771928978943569, 0.03010879977344574, 0.03714654496904083, 0.05303935669091795, 0.02793407102636663]","[0.012294476928873914, 0.01764321338816529, 0.007576421953450213, 0.008709775078212655, 0.006268792357293332]","[0.01486823217347558, 0.02581847179259181, 0.003906672848636367, 0.0258523927882862, 0.014691193649668805]","[0.014210228474418607, 0.017134240335230786, 0.005034587844021128, 0.013539175033866594, 0.009365602735470812]","[0.02707948392973144, 0.007999132814081614, 0.007939358951900007, 0.001730209166826097, 0.014280909141803879]","[0.009218125026694434, 0.004241048014269563, 0.01271497789794606, 0.010873675571716267, 0.011877781807127005]"
1,Averaged_measures,0.8868,0.1008,0.15552000000000002,0.1482741283096754,0.3957136007905138,0.21178620175149837,0.15114999999999998,0.2516089409051014,0.8983080200501252,0.4909625,0.012930583900195714,0.005449770637375486,0.005214115457102976,0.020296585177557086,0.036247789176478,0.006354675547472567,0.00911031924065598,0.009680491150198582,0.0060127825372902075,0.005624930555126887,"[[444, 14, 2, 6, 34], [9, 385, 13, 82, 11], [0, 10, 489, 1, 0], [7, 52, 1, 440, 0], [25, 16, 0, 0, 459]]","[0.12529305984525477, 0.30184629729245693, 0.006779993461915658, 0.04329350986202087, 0.03629213709048053]","[0.15158567238099313, 0.3387354230748279, 0.012919762756788244, 0.17601323275900965, 0.10677415454674821]","[0.14292861116956543, 0.29553449659079883, 0.0358495069043584, 0.17610709300880187, 0.0973245910885808]","[0.36749428688548114, 0.303209957227326, 0.3353213460250505, 0.5547886366197388, 0.41304359317323636]","[0.1900173997241871, 0.3640365186395182, 0.103715806961247, 0.3085996393701361, 0.09752756647367414]","[0.1522880610575841, 0.28692038352594973, 0.019547130149694936, 0.1991611103968603, 0.10479283289017245]","[0.2410899393792561, 0.33688433559805236, 0.11196272575585704, 0.3372920356760267, 0.23497314073550662]","[0.9188886930367122, 0.8905538118633745, 0.7969812165103931, 0.9827766751664718, 0.9040372732423592]","[0.536745879522744, 0.4555477515854955, 0.4438914437729057, 0.5630309943856155, 0.45654554919383383]","[0.007307844221813251, 0.015477261852949115, 0.00665304617073868, 0.010412774778394739, 0.00899325950616547]","[0.008996496761918825, 0.009770734279412475, 0.005144836146572874, 0.006511167407816415, 0.009477665041223183]","[0.018515375028839084, 0.033663812791378485, 0.009911949902700974, 0.018423386732200328, 0.011421706548455231]","[0.043942136851278416, 0.02481219901067822, 0.03390088110760356, 0.051347057923312865, 0.023715992224572754]","[0.007438675376596673, 0.014017541111026786, 0.011409711820908696, 0.011629104332356791, 0.010262320870886483]","[0.022493250868845474, 0.007215388733025315, 0.005407904847930733, 0.020774156650437237, 0.015771299452179616]","[0.021358710851660745, 0.00919285979756992, 0.006882758368332339, 0.0160529761636547, 0.012989972877221596]","[0.021860557740400507, 0.005592669166017872, 0.005920431315801631, 0.0022506545220502914, 0.012412176945369462]","[0.008826014515938603, 0.002896729882416943, 0.011361970285945829, 0.012782996523191075, 0.007654280861447402]"
1,Uniform,0.8936,0.0763,0.12226,0.1247942711826064,0.3741576363636364,0.18393156253854956,0.11775833333333333,0.21965420953797396,0.8775887218045113,0.47002499999999997,0.007797435475847179,0.005506813960903345,0.00957486292330078,0.011988454876465018,0.036990693801737265,0.008962861922108174,0.010484048730227154,0.007846088131612788,0.010809515652390139,0.00565902901344391,"[[457, 8, 1, 5, 29], [11, 396, 11, 69, 13], [0, 8, 492, 0, 0], [5, 69, 0, 426, 0], [23, 14, 0, 0, 463]]","[0.08807420282100865, 0.21948971026172046, 0.008177148670950624, 0.03561265617550395, 0.02502023370792642]","[0.11017805577281184, 0.2514738024807982, 0.014388994212614368, 0.14509768162808023, 0.08511491645615435]","[0.10771095174620796, 0.22654299236290892, 0.035483633017017395, 0.16356237034542925, 0.08705686393137281]","[0.3479798271152633, 0.27418404546299036, 0.3306347980055994, 0.5350719026011423, 0.38390421198535624]","[0.14957445987932508, 0.2945445232669453, 0.08979498746896855, 0.2943884385987668, 0.08513363501697443]","[0.10489817921934397, 0.20434129312648644, 0.019804187730121648, 0.1631202372431636, 0.09281182456591928]","[0.20628831041025458, 0.2690697465008598, 0.10473211255608264, 0.3072986716093942, 0.2084529647617467]","[0.9040028358578149, 0.8548865879850013, 0.7777263192789609, 0.977879914362856, 0.8737553776978974]","[0.5223118051849148, 0.41867225706264694, 0.42872979396593747, 0.5500963265586394, 0.43094469597350143]","[0.010727053004944776, 0.014664599113023013, 0.007133339652238025, 0.006635634687091985, 0.008614214035407138]","[0.015156313418653013, 0.019191629949797426, 0.005161737514426299, 0.011192425286849028, 0.010362397173323422]","[0.007348947150380475, 0.018256286083561803, 0.010413809706840124, 0.02126320315095182, 0.011009330128613489]","[0.03590160726058671, 0.02894488783008383, 0.036229954963776935, 0.05096692820620988, 0.02240149413411847]","[0.01634559071637004, 0.014868549688492513, 0.005100384960306578, 0.005305398717032305, 0.004129345026098562]","[0.010061421199264552, 0.02657353591188377, 0.0043537431789988255, 0.009075226422639481, 0.017183696682018485]","[0.014399739642710886, 0.011373739788329128, 0.006882862268758077, 0.007140321403815114, 0.011055838650664798]","[0.025572095225485262, 0.008183422182697991, 0.00785477655429265, 0.001982143009668676, 0.01540315146860246]","[0.008020780491986363, 0.00966732262903187, 0.010089998464547032, 0.012330993231951826, 0.010915898858404527]"
2,Averaged_measures,0.9064,0.0209,0.05068,0.06886382415646677,0.3412704545454545,0.12559332689025945,0.042458333333333334,0.15981656901178434,0.8495809523809523,0.44625000000000004,0.011523888232710363,0.003781534080237807,0.0019854470529329124,0.014903585913579319,0.03553746807802563,0.0019407419719931383,0.005050955630153345,0.0051145826617860195,0.010290916784244727,0.004379684991526236,"[[451, 4, 2, 6, 37], [8, 387, 12, 83, 10], [0, 5, 494, 1, 0], [8, 30, 1, 461, 0], [15, 12, 0, 0, 473]]","[0.018497474350814967, 0.05976682012388253, 0.0009947482236638864, 0.0187975773888638, 0.006176598562457418]","[0.03556577662494688, 0.08760258989773786, 0.0023876738338839826, 0.09352659399302077, 0.03312408998337355]","[0.04306927672727909, 0.07622267193660245, 0.028560344505047252, 0.13925166166629283, 0.05610251777062394]","[0.32266963458335857, 0.20898541054214698, 0.32403965676754976, 0.5128349493691726, 0.33232816241735064]","[0.08406389743095555, 0.14130169004618043, 0.06630310178671561, 0.26158683255010484, 0.06984192754071762]","[0.027729755498700315, 0.06092040190787259, 0.006775233984461541, 0.09055146527472593, 0.025363583336289075]","[0.14691334517241758, 0.1623840217434759, 0.08752048482011625, 0.2577730913754511, 0.1422659194281592]","[0.8853595915449434, 0.8056540832068155, 0.7535893937603552, 0.9705437057556509, 0.8301288850712728]","[0.5046730522942064, 0.37280065775710985, 0.414395052656384, 0.5432078111075872, 0.3945030017416545]","[0.006365673370458737, 0.013618151333303257, 0.0012192915794668158, 0.006827009315186533, 0.002514838388522365]","[0.005384112350366889, 0.012190950649719947, 0.0011644620311451839, 0.005470319877753907, 0.005972958531987563]","[0.0054621530689072965, 0.01723152327916035, 0.009510409900992466, 0.029008278764169986, 0.021216643149536658]","[0.0385435438484902, 0.018215136331712515, 0.03837868076490198, 0.054197579857833945, 0.026333480748301406]","[0.004560475835568241, 0.013051164690617246, 0.006284661059748807, 0.014530900636621678, 0.003493230158884581]","[0.006502089081488003, 0.011798144144016668, 0.0032235996373380853, 0.013425302595493115, 0.000829988817962153]","[0.011416192256662367, 0.01051243792964732, 0.0042843657432549325, 0.009076970064682294, 0.005797301454113797]","[0.03307895026508742, 0.01632619928144472, 0.004867085066772574, 0.0015551245494836272, 0.013708016463134923]","[0.007869986242404151, 0.01161690556698558, 0.009594989581824918, 0.007851378656491577, 0.0071465425941588615]"
2,Uniform,0.8996000000000001,0.0738,0.11939999999999999,0.12091741677729335,0.3708589446640316,0.18138377173859246,0.11221666666666666,0.22021300959976675,0.8783122807017545,0.4729875,0.007402702209328732,0.005901271049528227,0.004242640687119284,0.020231429791334847,0.03289073707188831,0.005556631271332449,0.007205707614261228,0.0072460898266647955,0.0071158214330899125,0.005862086872437146,"[[458, 3, 1, 7, 31], [11, 388, 14, 74, 13], [0, 6, 494, 0, 0], [4, 57, 0, 439, 0], [22, 8, 0, 0, 470]]","[0.0875768463416061, 0.21427984618099832, 0.0065694968515362705, 0.030564271272061024, 0.028079873205693263]","[0.11165525475127416, 0.246908890411764, 0.012628129172243171, 0.1408684156962679, 0.08409645618337566]","[0.10023813775058779, 0.2236242351289619, 0.03434038401469248, 0.15910462687974944, 0.0855476095994894]","[0.34670918978486537, 0.27071166574471406, 0.3306163183962682, 0.5257395957657971, 0.3841976697044164]","[0.14959012733544932, 0.2820959362185295, 0.09100034802385254, 0.2976510708188115, 0.0848351144595538]","[0.1059628922457245, 0.203518704474497, 0.02012701381638182, 0.15077067665170069, 0.08007002079675221]","[0.20993655740206157, 0.27379965312977295, 0.1080800164033526, 0.3045269290525475, 0.20534466101304458]","[0.9050547389958685, 0.8570970929095705, 0.7795395732472375, 0.9765631877587264, 0.8759869923160549]","[0.5244229611443514, 0.422363326784859, 0.4314383259157294, 0.5554212866944916, 0.4338879309621607]","[0.0194787542308614, 0.01699722376787888, 0.0040641767210766715, 0.004706217769191775, 0.01479153778315763]","[0.007782358291153241, 0.010118515197525492, 0.003482729356482486, 0.012923769114637341, 0.01268077285441391]","[0.022109409178660812, 0.02729717726525841, 0.010176630561213162, 0.025660819377137427, 0.00827824034884956]","[0.034047304408212825, 0.022299371922862642, 0.03529385627084029, 0.050434066373120603, 0.02781803798935092]","[0.011192995996270362, 0.01141581873333727, 0.007496201741070862, 0.01459212490457145, 0.0069803365163599715]","[0.014984080437682573, 0.011707566440653258, 0.00611263893236861, 0.023075166726992447, 0.01460106643454527]","[0.014259213641745958, 0.008649567844070952, 0.008400101624478993, 0.01659002246816909, 0.007797388957927229]","[0.025417539259385714, 0.011363962021807323, 0.013631703049783016, 0.0025655502001841754, 0.009770155901681846]","[0.012179780785760071, 0.006093312872758718, 0.015296051169293204, 0.006774313963142807, 0.008382534527317008]"
3,Averaged_measures,0.9012,0.1006,0.1547,0.1482871131655562,0.3950589328063241,0.21438197196617823,0.150225,0.25018615517773746,0.8974451127819549,0.4887,0.010353743284435826,0.00639726504062478,0.0126015872016187,0.014537330760311419,0.03613688202997954,0.009301597072162595,0.01407120409638856,0.010084178049545854,0.004825715970303079,0.007393171469335737,"[[454, 3, 1, 6, 36], [10, 382, 13, 82, 13], [0, 6, 494, 0, 0], [6, 39, 0, 455, 0], [22, 10, 0, 0, 468]]","[0.11193308630398857, 0.28835255803852977, 0.0069736287707594016, 0.05362351605583828, 0.03371372771769128]","[0.13775787445591503, 0.3262329364168397, 0.013773805640108517, 0.17702695170393495, 0.11142424196139163]","[0.13441740098231764, 0.2928444511331042, 0.03602558468810401, 0.17182855291122273, 0.100493081841726]","[0.36669229518392066, 0.309944898243437, 0.3363142777310116, 0.5524351989647676, 0.41466565016766366]","[0.18222980618981438, 0.3542789776202718, 0.11049880189228474, 0.3211305542404103, 0.09765595210357028]","[0.13604490003846206, 0.28713564891531557, 0.01929646841303002, 0.1928507111381332, 0.11024611539646385]","[0.23680883074125164, 0.32927104979088434, 0.10928452413714099, 0.3321189607541055, 0.24094892074612534]","[0.9201133871103353, 0.887111729474762, 0.7954551227668245, 0.9828189644557532, 0.9044474155944997]","[0.533574659330941, 0.44890255394769535, 0.43977223919410513, 0.566677875515873, 0.4588104608893717]","[0.02068569858911912, 0.020007309191359176, 0.005789521381067858, 0.01004240768634136, 0.007193730440673069]","[0.012622508333485152, 0.02418812043367441, 0.0034368348776053913, 0.01407179733492259, 0.011522120154684352]","[0.018340660243878346, 0.02239699321827556, 0.010146975895883923, 0.022422702669814554, 0.008068038858014123]","[0.04673708639796064, 0.026510743895343688, 0.03404512104097253, 0.04576910507777871, 0.02735104211316578]","[0.00937968819443963, 0.022978560487344122, 0.009264549427419203, 0.010457178966362625, 0.006522858339254334]","[0.015730931582098758, 0.025796177411953638, 0.003044148879495506, 0.015454908389491843, 0.012619842287397702]","[0.013056449251688184, 0.021673258546882904, 0.0034756780562888267, 0.011078098451172273, 0.007856666026211795]","[0.020543587276577353, 0.011299773441826283, 0.011418627504601113, 0.0016158573782664883, 0.007710414294110539]","[0.0074793199416434, 0.009028386449373248, 0.010531972000636871, 0.010937651140220682, 0.01272322397298765]"
3,Uniform,0.9032,0.0772,0.11824000000000001,0.12042261319102834,0.3733500434782609,0.18327204720214982,0.11388333333333331,0.21826591173427784,0.8793230576441102,0.47113750000000004,0.0059329587896765545,0.006037383539249432,0.006894418032002414,0.018894001049946384,0.03192827860638443,0.005680976278953894,0.008923011761108962,0.008940879542025933,0.006757931144705131,0.005939045851397332,"[[458, 3, 1, 8, 30], [12, 392, 12, 73, 11], [0, 4, 496, 0, 0], [4, 55, 1, 440, 0], [21, 7, 0, 0, 472]]","[0.09122125130481733, 0.23243211363472938, 0.005471958180352338, 0.03600453696357625, 0.023240920104476925]","[0.1143243574777488, 0.2564076720228217, 0.010175416467451102, 0.136099685214721, 0.07724683504246223]","[0.1083375998367319, 0.22418984143156626, 0.033990207369202545, 0.15568955713639787, 0.08272122823414312]","[0.3467306251725463, 0.2763497176481261, 0.33264697288302564, 0.5333266184896576, 0.37844167743090146]","[0.1557472583314357, 0.2887282681755078, 0.09438205279044007, 0.29113030376195415, 0.08935296913716119]","[0.10968355252517212, 0.21783706329742505, 0.01823776266541227, 0.1474412045709442, 0.07923514993965139]","[0.21061526419507612, 0.28070374344419247, 0.10522189822810386, 0.3001671670935547, 0.19759730764916159]","[0.9076454267838358, 0.8601958739592757, 0.7850081779604279, 0.9769048285726655, 0.8689444844026767]","[0.5183801655160158, 0.42403278523603005, 0.43348131394783784, 0.5542595726701893, 0.42617858520292684]","[0.009184358285793478, 0.03832621263969795, 0.0029320585965231494, 0.01400533186376355, 0.006080849208764513]","[0.0059693857087419755, 0.028128064116141695, 0.0021166776074094335, 0.013161076920819019, 0.010201282734531742]","[0.010945618354519432, 0.03965126157207088, 0.009853035666774493, 0.018879764629315156, 0.013945565552993927]","[0.03999887367484216, 0.015048617161520554, 0.03656417807945841, 0.048621971394405064, 0.019300916663724518]","[0.0031470194314486177, 0.02381341800233002, 0.009826686206042528, 0.006980474912574593, 0.0025592380488159002]","[0.003905172506914086, 0.03202414246512328, 0.004321522531626052, 0.01846318726909907, 0.013213876118482227]","[0.014815120706362329, 0.023698829985334416, 0.0058595728835719035, 0.01044920931434791, 0.008010114722700029]","[0.026727123191800223, 0.012659062302898013, 0.007697624395556898, 0.0018693975648189376, 0.005304220710147912]","[0.008312864364248333, 0.0027191709597733787, 0.011667233544628402, 0.011729494177422526, 0.007681867379394477]"
4,Averaged_measures,0.9132,0.024,0.05234,0.06940317438927819,0.3371013201581027,0.12561367579635702,0.04526666666666666,0.1593045758216213,0.8470370927318296,0.4437875,0.007293833011524207,0.0038242646351945905,0.0037640403823551117,0.013953154416462197,0.03175708259311918,0.004973097499181021,0.002144032415799727,0.003622387400943913,0.008983355499599506,0.0028948364591112777,"[[458, 2, 2, 4, 34], [9, 383, 13, 82, 13], [0, 5, 495, 0, 0], [6, 28, 0, 466, 0], [13, 6, 0, 0, 481]]","[0.023254871350498217, 0.07030652965150733, 0.0004950495049504951, 0.019427791324401773, 0.006216866651726748]","[0.0393496126504177, 0.09335818767769255, 0.00222629330484446, 0.09344937663725064, 0.0349305574051125]","[0.048301178478677965, 0.08204150671787183, 0.028754416474773253, 0.13396820341885435, 0.056306283208037725]","[0.3247945460571746, 0.20910968496415946, 0.3229354803999215, 0.5068947366745558, 0.32900843210722475]","[0.08837282151270624, 0.1417795280039547, 0.06581157767964303, 0.2628590473971082, 0.07392557108123995]","[0.03407196081844023, 0.06562124759607459, 0.006045728293837677, 0.0943799877547491, 0.02874122513238721]","[0.1517092337223735, 0.16214255573682257, 0.08705695202006222, 0.25970104840355396, 0.14130641820579473]","[0.8896053032710739, 0.8000288147546666, 0.7533520932144332, 0.9706789467324853, 0.8297035372524266]","[0.508909332922298, 0.36910339095532246, 0.4141006361240357, 0.5409646022802294, 0.3909785281563808]","[0.007627362230913076, 0.01044688255104605, 0.0009900990099009901, 0.009885527316261961, 0.0054687089491062294]","[0.0037120475368221375, 0.009265402720123148, 0.0011632713649257695, 0.008866188148964733, 0.005942926010395491]","[0.0081584499640938, 0.017306486644016048, 0.010016000333060172, 0.020680984100019235, 0.02149506171986664]","[0.040303498627710405, 0.016201448116040892, 0.03817489472764779, 0.050336778445657426, 0.029438611423415556]","[0.007133770562637958, 0.006881880087289645, 0.004678147613157178, 0.016338648026230047, 0.009376500042561135]","[0.006970075617302905, 0.008516919211496068, 0.0038576487748598794, 0.0030362455365219453, 0.007233466245400189]","[0.010493517518560152, 0.008910255767605514, 0.0029595591115174403, 0.006379982219511902, 0.006803537643866027]","[0.027466961386101822, 0.012436961178653838, 0.005441317388476223, 0.0017659539511351294, 0.011341409811373328]","[0.008204740588574476, 0.006010011158652869, 0.012002920187244963, 0.007078233997611637, 0.009793844363495327]"
4,Uniform,0.9048,0.0728,0.12116,0.1210190731984282,0.37456205533596837,0.18234038991874243,0.11491666666666664,0.22149951258843412,0.8796466165413535,0.47322499999999995,0.006723094525588638,0.0035106979363083925,0.005147620809655656,0.019264244094588108,0.033203402374226594,0.007668998314746051,0.007774323389637628,0.007115279050244838,0.005726674932289607,0.005441736855085907,"[[458, 2, 1, 5, 34], [12, 389, 13, 75, 11], [0, 5, 495, 0, 0], [4, 50, 1, 445, 0], [22, 3, 0, 0, 475]]","[0.09298447663710838, 0.22184592885190182, 0.0019786508320823646, 0.03325424000604811, 0.01784728254370887]","[0.11453386510321925, 0.2591648077112493, 0.009282405336388347, 0.1425313250673042, 0.08360786136569445]","[0.10623820283164212, 0.22348378423938678, 0.032118223294217985, 0.1608517445371279, 0.08481122355553912]","[0.34610884840341266, 0.2781634453776596, 0.33100982944094104, 0.5339312602679653, 0.3830772145879209]","[0.15290370938308678, 0.29346683764488485, 0.09097278783138454, 0.2890623998728496, 0.08994575245802167]","[0.1110478644117863, 0.21055659959224055, 0.018329839288652765, 0.14920149218580164, 0.08852297588817079]","[0.21173108791842904, 0.27965814309013703, 0.104890516588436, 0.3096144305150514, 0.20420954299300287]","[0.905916933506826, 0.8635959409472894, 0.7805748782700164, 0.9773796026438024, 0.8737026295656385]","[0.5194146936138337, 0.4270605006116237, 0.43248997901899644, 0.5565066521511908, 0.4343595950950581]","[0.01143646335304519, 0.017513343065421565, 0.0018092370497824245, 0.010305019691652251, 0.00419852461304392]","[0.011682168764836342, 0.008581253310671293, 0.0033640700535335966, 0.01323629521416044, 0.005509247853386365]","[0.017351629037338542, 0.033780659188990037, 0.009470031696287913, 0.014983710293231959, 0.010903345412058198]","[0.03996481239465565, 0.020052656509674836, 0.037508474788486124, 0.05008153651790797, 0.023167869509993763]","[0.010990102739567712, 0.013337300665735536, 0.008502567784954191, 0.011904341593875187, 0.005493473164861419]","[0.01392478190464503, 0.016404745611499766, 0.0024697843726793644, 0.014809618341386003, 0.016728438056042676]","[0.016455986729693797, 0.008576195754719745, 0.004342812406073315, 0.0034763843188650506, 0.008856583604102972]","[0.021968845692672705, 0.004879395999974937, 0.0090548620786173, 0.0010763368440870366, 0.012361169259094657]","[0.009192350927865748, 0.00686281600601201, 0.008360892021878636, 0.00887518314791072, 0.008774874507669759]"
