n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.8595,0.03222222222222222,0.053655555555555554,0.07294243379237028,0.40083061202388687,0.09352846488011439,0.05578703703703704,0.14869512318868255,0.864467582449857,0.6475277777777777,0.020200385034834272,0.00817755635771097,0.003271630561278651,0.007075931324096599,0.03333198238657709,0.0023102575590964254,0.0034860151288302176,0.0033887757476244243,0.0072910881001531,0.01371023993270522,"[[634, 3, 30], [1, 557, 109], [31, 107, 528]]","[0.0009273610534993651, 0.03353015704293329, 0.06959806780050352]","[0.005849205058970208, 0.08329516502708578, 0.09227590372708676]","[0.031806145570537826, 0.09268396364157835, 0.10998939930345628]","[0.4279958981650001, 0.5617972985338296, 0.25986120448302347]","[0.0737074766443531, 0.12869797508271855, 0.09430564577873772]","[0.013250725286570588, 0.08895820201384737, 0.0856050614990149]","[0.09054977740198218, 0.23195929335138882, 0.1642065304179061]","[0.8859239816764083, 0.9629174277921873, 0.7727783622031839]","[0.6841988160363838, 0.7148059114999771, 0.5580383777141152]","[0.001328792951737385, 0.0113671186077032, 0.02205153117945267]","[0.0015033957962206424, 0.0062988587476555235, 0.009693588352723102]","[0.010791863966630493, 0.00859029193746456, 0.009591667209895348]","[0.041397939802703475, 0.052947941753207065, 0.025933616145609528]","[0.00221442660217692, 0.0059850352859035965, 0.005191677112712834]","[0.0038826558635937105, 0.007116564205874325, 0.011597884060486938]","[0.005156155805125098, 0.00661933834476198, 0.009749732672241704]","[0.010039621898500325, 0.003772550535115871, 0.007816070502062015]","[0.016827061699802647, 0.01733158680846312, 0.025054165127457555]"
0,DCP,0.873,0.02038888888888889,0.046155555555555554,0.05063017125491868,0.3935284809245335,0.12650816920049074,0.044995370370370366,0.14498663723282654,0.871239834879533,0.6667500000000001,0.031198290551460253,0.0041495533334253,0.005007319745013951,0.008841875041490558,0.04020394788014905,0.00675617477865801,0.006319155203739648,0.009847965924369142,0.009598681629761347,0.010018030726811896,"[[643, 0, 24], [2, 587, 78], [34, 116, 516]]","[0.0011985567314301154, 0.0322522709594882, 0.03748358498160674]","[0.00968609971169287, 0.08873094290612793, 0.0637777244899295]","[0.0335911965446876, 0.08921591024530016, 0.04867104733326731]","[0.42467797603196267, 0.5829866878406962, 0.23022360381065346]","[0.08339559876548538, 0.14718141567668935, 0.16952530709906238]","[0.0135647180542047, 0.09170719611393319, 0.053110621496722146]","[0.0967090347286925, 0.2375877137248111, 0.14356595428305027]","[0.889100401442042, 0.9658318983699907, 0.7857140678402205]","[0.6945409898538467, 0.7212240016214937, 0.5968923760503028]","[0.0013444664372322243, 0.013061597053352634, 0.009530542395545818]","[0.002702061160306024, 0.009468854010413629, 0.006675039736205379]","[0.012544768990053213, 0.01133214182660864, 0.007209218353074856]","[0.04018969942065091, 0.059914864178850794, 0.024117739431830463]","[0.009451777506731637, 0.010674062235840014, 0.014675386001926772]","[0.003862869419760588, 0.010834521529406806, 0.008487368288774243]","[0.008417315013172343, 0.01086393335987094, 0.007009130293399989]","[0.011770771504418376, 0.003453282964434468, 0.011870368504206268]","[0.016151306701374508, 0.01130530834283114, 0.017567985543445585]"
0,F1,0.8474999999999999,0.07066666666666667,0.10455555555555555,0.12033922813017488,0.41895641108945203,0.16709074253215384,0.10404166666666667,0.195481440356137,0.8833262412869874,0.6302638888888888,0.036609804394147995,0.008351010058587419,0.006331275385810826,0.011600630908098505,0.03249521622438672,0.006357929234757544,0.007318234146376141,0.007191129707177451,0.006392296634104674,0.013954851079667364,"[[638, 5, 24], [3, 550, 114], [30, 129, 507]]","[0.004081515362873927, 0.06725133878241568, 0.13847978203737693]","[0.010141884059711673, 0.14060652398564816, 0.16376393474915818]","[0.03753797632059685, 0.14803238589422266, 0.17564010445779316]","[0.4185408807869745, 0.5651467242703798, 0.2870293788746178]","[0.08056330398592192, 0.19967191000633028, 0.22183494776854396]","[0.014018835935383969, 0.14894228729011008, 0.15117743547299894]","[0.09222321398886055, 0.27871541117358994, 0.22081491338754478]","[0.8826380820527918, 0.9693338797113362, 0.8062306616851445]","[0.6499746529778134, 0.7062123635292081, 0.5429282692697056]","[0.0038885562399762724, 0.011618646015491315, 0.018100343276235824]","[0.004061506155674186, 0.007390686881903706, 0.014743499112923534]","[0.012295025448590067, 0.009739216302721692, 0.017408715949410077]","[0.04072199784875221, 0.04930345732988083, 0.025542136665459608]","[0.008360965218522186, 0.008557785376286816, 0.015666215181056972]","[0.0033475607876663196, 0.013291323125436356, 0.014486351621274247]","[0.008231269409762878, 0.01281086696274124, 0.014205367513156743]","[0.011613199564545967, 0.006257026257755907, 0.011640327496884362]","[0.0240370596836861, 0.018415199283830157, 0.016090378573594452]"
0,Hostility,0.8815,0.011166666666666667,0.04116666666666667,0.07082053421586187,0.4022563376032674,0.1356203679121461,0.037907407407407404,0.14360426295397374,0.8789788233558264,0.664236111111111,0.027289599158328133,0.002702054291403114,0.0044669952584742946,0.008837376936389946,0.03136560754419307,0.012715025806666455,0.004212244998290233,0.00610096131357875,0.00979812555754428,0.022353801235991552,"[[647, 2, 18], [6, 589, 72], [32, 107, 527]]","[0.002053975242619778, 0.013681543707009783, 0.019294312428586438]","[0.008053729698384818, 0.06346138638619278, 0.06005119208312097]","[0.03714982876549266, 0.09041588568204376, 0.09225660878427659]","[0.4232746273690865, 0.5614650881101081, 0.24050035527996183]","[0.08781269781465831, 0.1444402096266727, 0.1830656227402798]","[0.012030288979189424, 0.06451925941874556, 0.04465066399626834]","[0.09146018609893171, 0.20856647982010806, 0.14686567753455732]","[0.8855568393547019, 0.9592209054520484, 0.802322917608884]","[0.6871365306995156, 0.7110479596400784, 0.5972826293102287]","[0.0013495103147796584, 0.005994656183310734, 0.0050367598185706115]","[0.0015315220221709233, 0.0035041775027338747, 0.01600744197364316]","[0.01090942977273575, 0.005158680888528925, 0.015577047447100511]","[0.03935503036902059, 0.05141308344819427, 0.023556144993249536]","[0.006582164509088386, 0.008530681946696674, 0.02990943426934568]","[0.002872239240634463, 0.007871187786604908, 0.011393274916505065]","[0.004535697123761842, 0.0057441104461161095, 0.016978184158128823]","[0.009373230639875219, 0.005913005598994256, 0.021301923112148215]","[0.01841849681667807, 0.023217470820220146, 0.03683334432968463]"
0,LSC,0.8720000000000001,0.020777777777777777,0.03253333333333334,0.06319840634059884,0.3882938116897181,0.12120590890198675,0.025657407407407407,0.12102770372781572,0.8539512759932478,0.6504444444444444,0.021628170930011133,0.004415026094869808,0.004028294985949656,0.007591451888006608,0.03139040754551151,0.004922010178639337,0.0029653571859659155,0.003783818395044204,0.007402152529171449,0.014734853654125803,"[[646, 4, 17], [4, 580, 83], [39, 109, 518]]","[0.0035260493664981698, 0.03145829037497179, 0.03527365229660889]","[0.006396867110137131, 0.061067883932692205, 0.045844471456721304]","[0.03841103213872837, 0.09809785251237998, 0.070463726020804]","[0.42276300520902, 0.5577557345005171, 0.2307676870427326]","[0.08782710545930494, 0.15392761035084365, 0.14075018662484468]","[0.008898261811475924, 0.05009843533765368, 0.030057000828809098]","[0.08495115702040698, 0.1960165266252336, 0.11557919512210595]","[0.8805003609926564, 0.9561486132392842, 0.7522186257311527]","[0.6844853618307504, 0.7127996201545969, 0.5657033949590892]","[0.00184019920462707, 0.010947964947409058, 0.008188897706745264]","[0.001764608362204382, 0.0072950009643302565, 0.005958875247120339]","[0.010457936971452716, 0.0066321834907169626, 0.009192597173335483]","[0.04035492423729528, 0.05085814754527949, 0.02559566482832023]","[0.0034698720065997673, 0.008822120465011957, 0.0064699049043710445]","[0.0022526445976987874, 0.004769488286197399, 0.0053700524563429644]","[0.0055652580959141655, 0.006659025501986254, 0.00511933683309755]","[0.010642843332328164, 0.0051612096449508435, 0.010220276408290286]","[0.01792080937047128, 0.020554215326392143, 0.021111782640872347]"
0,N1,0.8865000000000001,0.02827777777777778,0.05474444444444444,0.08716155095671771,0.41882619975865587,0.15439071460923398,0.019467592592592592,0.15573523038209175,0.8935966900375062,0.6845277777777777,0.019585992727230123,0.0034590490855337243,0.0019087912994787317,0.009153443657995971,0.034366943250633254,0.005660335240033368,0.0026927354117822614,0.0039748070174994285,0.006337893274287577,0.009368842285006024,"[[652, 2, 13], [3, 587, 77], [35, 97, 534]]","[0.006343191083742426, 0.029618379161161713, 0.05394610162165352]","[0.012203983172869807, 0.07628818649971285, 0.08518957803716946]","[0.04291289583133124, 0.11145152149197894, 0.11696907659368738]","[0.42343037879746526, 0.574422949981106, 0.25577778388235267]","[0.09950140086816639, 0.17415718305645747, 0.20156802598664164]","[0.004732549549349278, 0.028625454593910506, 0.028561216708241955]","[0.09986126871538739, 0.2185684880416241, 0.16080803783535036]","[0.8935019585708902, 0.9664536381372288, 0.8201228741489824]","[0.7021701862340016, 0.7266566758383987, 0.6206550207759374]","[0.004114541189612039, 0.005951378707347282, 0.01256486250122899]","[0.0025521593633013487, 0.00469715442087876, 0.006659614605967908]","[0.010536167036422888, 0.006353768259931135, 0.0168046769768492]","[0.037474972340344276, 0.05391084678004851, 0.023230301870509142]","[0.005129081262442945, 0.0031352622110241016, 0.014608200003257632]","[0.0018385929990700626, 0.004687082169122322, 0.007048537962115735]","[0.0055681913817562136, 0.006177865843316171, 0.008371653546202968]","[0.009002046741060352, 0.003994289833805523, 0.009341376873206039]","[0.013317118818026916, 0.014376530519167645, 0.01620822126083719]"
0,N2,0.8720000000000001,0.01988888888888889,0.036144444444444444,0.06768583795439491,0.40072260357684336,0.12556604319574544,0.02558333333333333,0.11362535973671802,0.8664320587643802,0.66125,0.024855135843076373,0.005460922406093795,0.0026610279891139325,0.008608628343497257,0.02995706672218603,0.0039035667323067636,0.002061696052086079,0.0024410774007721145,0.006913465865620368,0.01420715588932736,"[[654, 2, 11], [5, 568, 94], [40, 104, 522]]","[0.004354151698387932, 0.023801013036997148, 0.03927436552505821]","[0.007597925898950043, 0.06221761634736829, 0.05647631717606122]","[0.038260461783117795, 0.0988388688980808, 0.08520762008035372]","[0.4231677386501788, 0.5664933059710127, 0.2369670104437863]","[0.08730086799961695, 0.155627839633518, 0.15650613552869336]","[0.008649041523816191, 0.04730695189251299, 0.03267537744072106]","[0.0775397038124083, 0.17810155273638334, 0.11425660279355783]","[0.8820733706426841, 0.9591582072069882, 0.7697280674551751]","[0.6845229605562126, 0.7178585702112859, 0.5823322150358723]","[0.00265128700300855, 0.009613152146236847, 0.010086769360395638]","[0.0016079677265950533, 0.007374849187350083, 0.0077408178428789234]","[0.010207554826259447, 0.0038584746451015553, 0.012894002084822295]","[0.04007557119712919, 0.05234125876149109, 0.02536298665720146]","[0.004058581628477984, 0.0045371485825969025, 0.007681546711297712]","[0.0035706098980247095, 0.007174874086434423, 0.0060037637050801935]","[0.004746195997560026, 0.007127177520212982, 0.00622419046134786]","[0.009700590071172464, 0.004363540385648097, 0.012227598453613825]","[0.016019888767105396, 0.01724330631386115, 0.02525526550845422]"
0,TD_U,0.8595,0.07227777777777777,0.09977777777777778,0.11891965071543639,0.3366561542745753,0.1947512819164026,0.09393518518518518,0.1859323963667304,0.8760621656810859,0.673125,0.035625365495201136,0.010348687649978502,0.013113203432129029,0.020547567887106377,0.027019794868027663,0.013755501297938564,0.01354027506830894,0.01152428716874559,0.007694171032148809,0.015731376571925845,"[[646, 5, 16], [4, 547, 116], [30, 110, 526]]","[0.011685164279877543, 0.12528057402664522, 0.09344701898559052]","[0.02228672632206665, 0.17183889267677896, 0.12526633180346497]","[0.05548315275993062, 0.20050189318235997, 0.1310095712198417]","[0.3896547914517777, 0.4688929593409468, 0.2491106491486795]","[0.1229317765430756, 0.2523124843430691, 0.22230630387310374]","[0.02302331990495281, 0.18058719322259148, 0.10900797962698656]","[0.1114346730505827, 0.2855106205797486, 0.1986848010430342]","[0.8949625376916872, 0.9664083038700897, 0.8273351043274536]","[0.7014401243243858, 0.7240378973282176, 0.6325970164168707]","[0.006806693829235825, 0.0230835760418085, 0.017818687663743615]","[0.005917419005749549, 0.019678029638951915, 0.014481289971866559]","[0.013159079755470699, 0.022830816904015814, 0.02511543425966866]","[0.03492461326408453, 0.04312791126856967, 0.022687323741870512]","[0.01369223000753892, 0.026770705776503326, 0.013880555306022009]","[0.005325792236181607, 0.027547451656905128, 0.01276112627256388]","[0.009224362157501364, 0.0196318984832151, 0.010252118767097121]","[0.01022262365349314, 0.00835791965460324, 0.009403483306872884]","[0.022653276880810796, 0.0320900064105844, 0.022099887743623887]"
0,Uniform,0.865,0.10188888888888889,0.13584444444444443,0.14701313614391315,0.43744099832915617,0.20915033024139001,0.13297685185185185,0.22697682139183878,0.9111093237438755,0.7006944444444445,0.034075080500434764,0.013186433565537215,0.0067777170610516645,0.010276380782684828,0.03372715558822777,0.004584969125866569,0.008960005984784329,0.0050101845153743465,0.00533357616018933,0.011471956921572934,"[[647, 3, 17], [3, 555, 109], [27, 111, 528]]","[0.018120603889693665, 0.09484375799152718, 0.19208335766221843]","[0.025626711440404383, 0.15869630692564832, 0.22239319616966663]","[0.05696389561731748, 0.1667730992270022, 0.21672870837402608]","[0.4283224409516978, 0.5731611813756075, 0.31027860603533347]","[0.12214849410596713, 0.23309714513877258, 0.27169969111273357]","[0.02406985443964316, 0.1695294153740598, 0.20443575953040413]","[0.11347228358257451, 0.29743890734328793, 0.2689268624165583]","[0.8986022507348878, 0.974475268740618, 0.8598261709521431]","[0.7108620072556022, 0.7378419377561264, 0.6533550872082075]","[0.008510768783201448, 0.021736100573559448, 0.018343463328650465]","[0.0044349361264811385, 0.009031359087227133, 0.0126851522235572]","[0.010050623176842109, 0.008561390813846123, 0.01895791866385035]","[0.03594254127340605, 0.04993574715436462, 0.027302665850338987]","[0.008528379423561976, 0.007282270512479722, 0.009606342469831474]","[0.005531235082091702, 0.01132141448505347, 0.015054394231239205]","[0.005949655639675796, 0.005804577719740235, 0.00981758944543769]","[0.008835268108584773, 0.0020819459457485524, 0.010813306006890571]","[0.014967347593002453, 0.009959690081222562, 0.013359883608152809]"
0,kDN,0.8825,0.014166666666666666,0.026944444444444448,0.06867274686498334,0.4159415815774003,0.13503175119608055,0.02844907407407407,0.14072774987576472,0.8874777230724563,0.6817777777777778,0.024409697526461358,0.0027623025722548697,0.003155003429353417,0.009339864359168368,0.03190572957883299,0.005866501791218471,0.003111414992262704,0.004776817993549868,0.0049990618367715955,0.012275033210921183,"[[652, 3, 12], [3, 594, 70], [31, 116, 519]]","[0.0020319837006836086, 0.021061365621537317, 0.023868766470641255]","[0.006030749867928035, 0.04579043849753992, 0.03661044673226309]","[0.038977659870328495, 0.09989435859677273, 0.07795419552945354]","[0.4268956081981317, 0.5759755213657927, 0.23705704122699642]","[0.09322787052820665, 0.15553357291254494, 0.1717435700039958]","[0.010017638396447434, 0.05074873801186497, 0.03113792782760978]","[0.0950552739568277, 0.20529654641097994, 0.13789103814796003]","[0.8927500461836624, 0.9629210006145712, 0.8029120708789265]","[0.7013601924313158, 0.7239511430745587, 0.6113903778795527]","[0.002442793849897451, 0.006957764109613, 0.004494179275882847]","[0.0014985451166276997, 0.0053406373646911675, 0.006564745520887191]","[0.010507247324589526, 0.006863140043754997, 0.016448596658088635]","[0.03712815970558033, 0.05451507425052367, 0.023973545841859005]","[0.005952475469779346, 0.008397116153743852, 0.010706872499332538]","[0.0030046456427565236, 0.004148801083449631, 0.007005500575992112]","[0.006331347412178379, 0.0051907186944828605, 0.007429887019017454]","[0.008242143408589173, 0.0037270609425681897, 0.008242387985215769]","[0.013040971132648963, 0.016521088976493382, 0.02089929429453027]"
