n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.6030586766541822,0.22011223497917723,0.36320338630385435,0.39714677027606543,0.5028412726095006,0.4939005682020666,0.36384487396819576,0.4288780789340446,0.994931775701199,0.7348965692866216,0.04829226192799361,0.06008172332743021,0.019746052962737178,0.022980623955518104,0.038585053672131935,0.008768611498923835,0.015985823569944862,0.011417604399092642,0.00023391484657045,0.0023724752386288035,"[[340, 123], [231, 198]]","[0.1916923907931666, 0.26484986070804]","[0.3436946371199407, 0.3943449947600513]","[0.39230368910437835, 0.39993267600934806]","[0.5183839604693021, 0.46140470089406244]","[0.491926234242947, 0.5008647640329077]","[0.35775585904734036, 0.36224310447768343]","[0.41345734465346995, 0.4639993124105888]","[0.994773353378109, 0.9950108602263834]","[0.7329536248259816, 0.7395116742301105]","[0.06618677000239132, 0.08513024933393891]","[0.022856951830902354, 0.045228759434814324]","[0.01865060890211828, 0.03849159414419081]","[0.037503359754638, 0.0553494087366366]","[0.007767119588859847, 0.012803456962581552]","[0.028008367280800403, 0.0426041545454561]","[0.007372232843225497, 0.008883500836205337]","[0.00045827699517021834, 0.0009094945865907149]","[0.0022599252560374845, 0.0035222643000371845]"
0,DCP,0.6232833957553059,0.2090244500827632,0.360961419614103,0.3343674057850586,0.4861751310719617,0.497609024517358,0.35142849341983357,0.4341760123333233,0.9947586761828411,0.7334636439722612,0.04164822823289542,0.026503960710711864,0.005775158620378701,0.031696315411776685,0.041551288768693545,0.005777511088944594,0.024112769815175402,0.00577597253950418,0.0002894004788366559,0.003192783383108851,"[[307, 156], [180, 249]]","[0.16746587029361193, 0.26417148552470593]","[0.32417216821379885, 0.4071917742876467]","[0.3245883959223182, 0.34602810065005724]","[0.51290309859463, 0.449906922823498]","[0.49295420959699515, 0.5034935657368552]","[0.3361938859079932, 0.3690462660722266]","[0.4040893952761239, 0.4711519100322459]","[0.9942378629487367, 0.9953708771362132]","[0.7290695354206799, 0.7387732776219204]","[0.03611796640367372, 0.03871736091688715]","[0.012142809767093038, 0.012258571036245202]","[0.035451811720574856, 0.03020162690175817]","[0.042231720808837254, 0.04705733185439375]","[0.006771893418097945, 0.00787852361276411]","[0.027673467417109947, 0.024576547863496258]","[0.008240926982084583, 0.005371734531281625]","[0.0004696849436275355, 0.000488281151391975]","[0.004361354956545386, 0.002657967146288184]"
0,F1,0.6300374531835206,0.28712791495731405,0.4102410225991684,0.4212174900312838,0.48492310108038195,0.4984538676669004,0.4029135757090699,0.43657207398344156,0.9954043386608686,0.7241838391257225,0.034767149678985865,0.03247105231002207,0.007578039959342319,0.023163754097582073,0.04017798314779106,0.003983214161986515,0.01615692890161314,0.006584803179042161,0.0002047066654728293,0.0029605413199425535,"[[303, 160], [170, 259]]","[0.22644296072717016, 0.35466344221840446]","[0.363402919710034, 0.46234378088160294]","[0.40063362518214307, 0.4440103830898411]","[0.49388150630075955, 0.4746440824223296]","[0.49363364315499003, 0.5037282976235021]","[0.3873029611827157, 0.41989297716204765]","[0.39953774050180446, 0.4775704738861014]","[0.9948246007790671, 0.9960430397198969]","[0.721059385679572, 0.7276168174362312]","[0.04158051120103529, 0.03169088787184099]","[0.017124920759837035, 0.013628428408232782]","[0.024851106339768968, 0.020879746778094815]","[0.035529146376591554, 0.04307257297454575]","[0.005920379182685159, 0.006805821046203086]","[0.01835901593449783, 0.024176987379169807]","[0.013626865160836105, 0.006564207305871612]","[0.00044247067019982086, 0.00019653274034195424]","[0.004156580186322312, 0.003583634071815648]"
0,Hostility,0.6098252184769039,0.0949222522771527,0.3399354664397537,0.39002165773418085,0.4773928568089545,0.4969152994108831,0.32239839787059066,0.41733758720182645,0.9941935998375179,0.7290579202678236,0.06524609015224914,0.022269814827416197,0.010871750034817312,0.026393704155695738,0.04252716527727589,0.007163106379170312,0.0215804067335132,0.008845832799304641,0.00038954598214083186,0.0022104306441634446,"[[315, 148], [200, 229]]","[0.08050597700485843, 0.1131177211945645]","[0.3098246379152515, 0.3776966167857812]","[0.38361771935200534, 0.39816471997549996]","[0.5010623377687755, 0.44817528092488246]","[0.49239437688827553, 0.5025191757294427]","[0.31626677791110697, 0.33057152146301644]","[0.3837579814128917, 0.4589801295370276]","[0.9938309695834484, 0.9946553698485628]","[0.7274852635510617, 0.7309979462287989]","[0.024403166002413247, 0.02377951094180081]","[0.013428118292661542, 0.01674846171593229]","[0.02323039774860711, 0.029571409146153863]","[0.037129426474473363, 0.04627552343758217]","[0.006901281227940246, 0.01037636328941972]","[0.020383252527454217, 0.035488143991511296]","[0.011111624482064668, 0.006640519778652516]","[0.00045819660246693123, 0.0004930296409575307]","[0.003458886763030992, 0.002701236545517518]"
0,LSC,0.6131710362047441,0.20902289730219908,0.3168161166200315,0.3986964469924781,0.48201757801835016,0.4978386365072781,0.22987689555687368,0.39796642682684913,0.992941173353549,0.733557024313438,0.04848509267982608,0.0225799113065268,0.012442712963167029,0.02119380702477404,0.041541628761974904,0.004941247948042969,0.01441718523804028,0.006075541603991679,0.00039482968370139695,0.002784336287395516,"[[279, 184], [161, 268]]","[0.1557468577293484, 0.2683746773695783]","[0.26999190136496837, 0.3687892929768286]","[0.37855139312216146, 0.4208038957661039]","[0.5059552394605356, 0.4554737577924189]","[0.49296230776834743, 0.503231393609567]","[0.21792393644773997, 0.24321072813710093]","[0.3639139769591644, 0.4356412239625442]","[0.9922947948251444, 0.9936603946985392]","[0.7290033200785232, 0.7386067848170628]","[0.031938297721822065, 0.01960232666136163]","[0.013095813741373337, 0.01839056593635279]","[0.022536686032908797, 0.020433379908018506]","[0.03927077856025916, 0.04267610317679971]","[0.006446058897130631, 0.007437589109285635]","[0.020350512480288966, 0.01882095170704998]","[0.00926029307352965, 0.004986859471136195]","[0.0005479198708779148, 0.00040818778507766733]","[0.004184703935751018, 0.0018805945061176625]"
0,N1,0.5952808988764045,0.21250764744427847,0.3318142066999376,0.40344743603894273,0.4835641030361259,0.49768124551764137,0.18651812656877048,0.41084750384001767,0.9936751766331688,0.734398359642612,0.03154043354578379,0.024700130514336314,0.005469881942476884,0.024103936603762012,0.03484983128775394,0.004715513912105711,0.015490359828735782,0.006306816895950891,0.0002128369473137186,0.0015187084888909858,"[[276, 187], [174, 255]]","[0.16252881324682544, 0.2705934504018993]","[0.29051586433622295, 0.37904104441318004]","[0.38353805142768355, 0.42646101172199646]","[0.5061197412214831, 0.4571354909176897]","[0.49270037738456995, 0.5032603775400752]","[0.1775760994112759, 0.19667884001576047]","[0.3778495450971405, 0.4486507962867382]","[0.9931185293532545, 0.9943114236065158]","[0.732163303069359, 0.7369146677624066]","[0.02582860419850664, 0.03879641357848353]","[0.009408347546106945, 0.011319606643180278]","[0.01940662117854953, 0.027883089489268903]","[0.031186354099321963, 0.03961914090113059]","[0.00642684102108522, 0.007078053653574124]","[0.02130218757844434, 0.017517369245283295]","[0.01144906214107296, 0.003139207249260895]","[0.00034700981574078575, 0.00015226217313010337]","[0.0028200862617533753, 0.002122725947995428]"
0,N2,0.6221598002496879,0.20067747816014134,0.32529007493719003,0.4014876539609663,0.4796163503677577,0.49731323351443163,0.25010725462037253,0.3720713474736639,0.99346579314268,0.732654742347121,0.07638452875509749,0.020668078683115765,0.012744286892276184,0.024366933082457985,0.04004950850873164,0.004638504352496163,0.023220905224120587,0.005614338787949961,0.00038087656502356476,0.0023393906167248307,"[[310, 153], [184, 245]]","[0.1475862824210813, 0.27080617945980323]","[0.28726537486274817, 0.37572822502872416]","[0.385147134073399, 0.4232528001678634]","[0.4981785506766556, 0.4547831779875673]","[0.49275129058247585, 0.5032396435548346]","[0.24733139798847006, 0.2537248699289395]","[0.3372142844459024, 0.4182594284599572]","[0.9930571466565876, 0.9940056785279687]","[0.7276720907417905, 0.739232502674504]","[0.03512022226822518, 0.027457000029095128]","[0.016071834491623718, 0.014021233321183227]","[0.023504769378368526, 0.023336526353023388]","[0.034705151309965356, 0.04637031356656364]","[0.006329492772699087, 0.007091265163545314]","[0.02759679537980774, 0.02223336034935565]","[0.009819050965229005, 0.0031153016430565394]","[0.0005386747753960842, 0.00031773145217131664]","[0.0031248960204381167, 0.0019048965234714508]"
0,TD_U,0.6143820224719101,0.27579246156091713,0.3947908249302025,0.41662874693705654,0.4034613732094008,0.49884081682281717,0.3839109055919768,0.42921995928389123,0.9950760365118351,0.729586331493806,0.05849405658756763,0.028935141652443805,0.010806546924393787,0.02525428411737866,0.03289000429230135,0.0034885132073743702,0.017737349259248626,0.007517864610200307,0.0003484132819249608,0.0022085321813111675,"[[292, 171], [173, 256]]","[0.24821494806012884, 0.3017901424958433]","[0.36190256304655694, 0.4255054849689673]","[0.416485765548204, 0.4171285519026088]","[0.40963571692449785, 0.3981382287893004]","[0.4938130072385979, 0.5037509731031472]","[0.39004495865161176, 0.3792925395781587]","[0.3906220448770118, 0.4651443713458382]","[0.994690663861021, 0.9954407075231317]","[0.7224210887186772, 0.7362528325845812]","[0.047655447074727936, 0.04030372455411366]","[0.023362475523698745, 0.014670909599417198]","[0.030270606178893707, 0.023051007776233225]","[0.034530579197862045, 0.030946055678188995]","[0.005613913958940371, 0.0066073368218761775]","[0.04202766534645903, 0.018311246730475624]","[0.009854863310533072, 0.006497866563787273]","[0.0004861704539175534, 0.00030219874189131975]","[0.0034180352789224284, 0.0020108440080761295]"
0,Uniform,0.5996129837702872,0.30095371782250474,0.41437458657217474,0.43030693767539285,0.4973365456837979,0.498347097626355,0.4140303055443287,0.4464055808675469,0.9956399411321357,0.7367960663409968,0.07378605627353968,0.036777692019016,0.010365610226074821,0.019523648847552904,0.03625280154200155,0.00299256125358182,0.01756405652256997,0.0030798678576381398,0.000364570770167084,0.001566416261261999,"[[295, 168], [189, 240]]","[0.24001020376281584, 0.36856536967397047]","[0.37369213187905626, 0.45933868212635726]","[0.4158749312208846, 0.44635178936776176]","[0.5157784179335427, 0.47731343094224377]","[0.4936720310920838, 0.5036152670630527]","[0.40089274347012926, 0.4283794762379952]","[0.4188216732289236, 0.47699332470923617]","[0.9952282548567298, 0.9960934579276595]","[0.7350593697335617, 0.7387846906737354]","[0.05267611178922914, 0.048457751851699316]","[0.010932507034092214, 0.01656801710501108]","[0.02040718187033969, 0.018372496585583098]","[0.03237784827082515, 0.0381097387596708]","[0.005189115485971326, 0.006547518672755742]","[0.028003320772154606, 0.022206183004262924]","[0.0065082922073906755, 0.007234859126446557]","[0.0005516352197101226, 0.0003192699156170691]","[0.0022725780466276804, 0.001982680744387753]"
0,kDN,0.6321722846441948,0.18947012916028733,0.27571174802719234,0.3902528060975643,0.48623708425266043,0.49697140376816584,0.2806120635817797,0.41039131419552666,0.9935422021091738,0.733385907895268,0.06709566934734608,0.040328913922049375,0.007429177850352803,0.02531126676139798,0.040444093326039605,0.00597353084958535,0.014529095990238139,0.006096122890945307,0.00019199703338636088,0.003246069153661689,"[[308, 155], [173, 256]]","[0.14933299703522734, 0.2436003532356883]","[0.24888856170537937, 0.3128744662088362]","[0.3785857677284718, 0.4065110518183571]","[0.5075703128699414, 0.45728637556139135]","[0.492776721177045, 0.5026710548618609]","[0.26701188222761385, 0.29925510817268125]","[0.38020622667961235, 0.451550809526956]","[0.9930602769291348, 0.9942129902620419]","[0.7298161931853746, 0.7381819451884216]","[0.041330833221311834, 0.041014334280398114]","[0.006093564709505335, 0.01618516311610402]","[0.024757165394931335, 0.02629463529137679]","[0.03509164860584192, 0.04392865756076724]","[0.006888225484664822, 0.008347239295840548]","[0.01410857444941217, 0.018861281372804815]","[0.009375473637246749, 0.005713470218751383]","[0.00036633514295898777, 0.0004045033386304098]","[0.0043617467658818064, 0.0019464906650411245]"
