n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.6616361416361417,0.11504568341470134,0.3233461379531994,0.1404390324087838,0.4538723339945346,0.1934752583463875,0.2744430652331128,0.4646650125188111,0.9780887592798317,0.7027520488150109,0.035570282510063556,0.026976053091273017,0.025506691585496448,0.06027832722825608,0.028655929272750843,0.017445004094436903,0.04050404633420812,0.003995769249565915,0.001010315219496915,0.009099407379438046,"[[166, 79], [74, 133]]","[0.02874350110357108, 0.15069470540228383]","[0.1114752994148727, 0.408015054854958]","[0.14820356825847184, 0.13766616424586706]","[0.8426628587352087, 0.30109221691496557]","[0.2543783268386066, 0.16921473507866397]","[0.16162326755219542, 0.3200971346671306]","[0.44960949029959674, 0.4707385676647749]","[0.9624540410272162, 0.9842790024822653]","[0.7678134314455047, 0.6763501422131656]","[0.024306215775854182, 0.032891196651767894]","[0.019629598624805265, 0.037617214879171]","[0.03409258567294838, 0.06340572564723618]","[0.04846372318048183, 0.023404091613142837]","[0.005002670435020153, 0.02034831879144766]","[0.009492575259624238, 0.05264661874330872]","[0.004147013733625414, 0.006358665711939074]","[0.004440960911815383, 0.0011412602512787307]","[0.0036996937089824543, 0.012988048474879362]"
0,DCP,0.7587301587301587,0.14045392632497206,0.2440694204251542,0.08261090941415383,0.6575948656399451,0.29268839550603853,0.2614211962007374,0.4652003904198437,0.9746579326269925,0.7473369851386717,0.05344701853845288,0.04402867538212518,0.07184271791282132,0.03982310749123444,0.1569316507899285,0.02361001322708466,0.048302991100259304,0.009569355292381645,0.007050867021382938,0.011292805708560772,"[[209, 36], [73, 134]]","[0.08546751609255249, 0.22222376254577067]","[0.14401157361431988, 0.43067857801427784]","[0.09878390883099589, 0.05795736254340654]","[0.872979886420499, 0.25716260443110184]","[0.2842297962209415, 0.29080450523878676]","[0.22275632667308623, 0.33560175355408617]","[0.45910191188495303, 0.4760070241317016]","[0.9688286075136089, 0.9856422886766563]","[0.7696541403295768, 0.706023675228797]","[0.02540381940917058, 0.07149582354787139]","[0.025858320828543994, 0.016119078300438763]","[0.04513547467510206, 0.034695868910225795]","[0.058067692220952524, 0.02660516124166539]","[0.008068891098377428, 0.05951442807125103]","[0.04319826129259301, 0.030520947930108944]","[0.007002568277068381, 0.007108683775364657]","[0.005112823261310487, 0.0024298326133604586]","[0.00090201211805199, 0.01753459782980847]"
0,F1,0.6837606837606838,0.18141748672349672,0.3075309530004132,0.1800714222334084,0.5040961465520588,0.2932292330512903,0.2910360051286499,0.46517603800443813,0.9769146730475573,0.6854548094259761,0.07143102382482155,0.023664527392225406,0.019936254707181283,0.05393986296838117,0.027127093385517727,0.019376991852011388,0.0187073767339793,0.0037203720951551646,0.002318882723143488,0.008763890974381666,"[[180, 65], [78, 129]]","[0.10726844583987441, 0.22745135810069658]","[0.14049636970172685, 0.41220250109489626]","[0.1933667471303328, 0.17227649065368167]","[0.8041240181970224, 0.3183154191721888]","[0.31000272105986154, 0.2835839050368419]","[0.24227997663122025, 0.3229797016138732]","[0.45315240968686854, 0.47285884232181596]","[0.9669983555059105, 0.9832070250542368]","[0.7350234904252761, 0.6548442868900246]","[0.042454719580241, 0.03851044913828312]","[0.017496779441416168, 0.02300744125711547]","[0.032621994582970576, 0.05825219413445976]","[0.031470697254293245, 0.021954827300024557]","[0.010485076906228413, 0.024723131086359245]","[0.019334240652296674, 0.023674630824355836]","[0.0041577053537124615, 0.00464134549633075]","[0.0037976205988209323, 0.0017532245890514318]","[0.0016186481757784422, 0.010435259823777488]"
0,Hostility,0.7122588522588523,0.02599592904914219,0.25782770389189025,0.15569199343806303,0.5299513186663585,0.24538802207537067,0.20949751948447254,0.4589517805082375,0.9743579609965971,0.704877157961745,0.0551797051609528,0.01026535121061764,0.03181580126181026,0.04937875725473218,0.0408712355279639,0.0074486419686080165,0.019346292047039432,0.004735368776468895,0.0013040235483762139,0.01216733949417394,"[[193, 52], [78, 129]]","[0.030884373021134965, 0.024830519640080755]","[0.1497335700886622, 0.3397403732887346]","[0.16475157516502364, 0.15247865546497036]","[0.8313374105927422, 0.30611556319065986]","[0.2844060440421476, 0.2205292558637359]","[0.1838793877993508, 0.22677503972277843]","[0.459713914456931, 0.4577186025212045]","[0.9674638541074672, 0.9792168941227075]","[0.7669610878061969, 0.6585277683932982]","[0.025941379618814733, 0.009035580532910375]","[0.02768858532235345, 0.01821986581081092]","[0.04401501132885651, 0.048801388478338106]","[0.047496778164610384, 0.021260540025863858]","[0.02138678674438442, 0.01668294046411416]","[0.011905435164233695, 0.021173069299277522]","[0.00391587017844551, 0.00717166902232971]","[0.0021914990970134597, 0.0015165028350817057]","[0.003581432716392486, 0.015814998924705646]"
0,LSC,0.7610989010989011,0.09073476071685466,0.10762859460369445,0.1656450998949412,0.68082369814518,0.2797842057931189,0.11755912267826685,0.43833794089327577,0.9538222849873922,0.7358020315045767,0.04980589551328207,0.03296501781918862,0.016412147654257872,0.050814197955957215,0.02373470980630976,0.009639872173992791,0.009464244367496485,0.0035574727354215664,0.0027618332856689906,0.006219107663928805,"[[207, 38], [70, 137]]","[0.0672218017826369, 0.15258880262891653]","[0.047411014922757774, 0.26289225889221174]","[0.1672599098420197, 0.16169194190871422]","[0.8248955974143968, 0.30947061357935557]","[0.2818099402795137, 0.27340707495223404]","[0.10124653257464353, 0.15931571710136497]","[0.4377793778577586, 0.43952767796988257]","[0.9470703945488346, 0.9709686229119475]","[0.7647345705467029, 0.658329013994258]","[0.026650380661917366, 0.03351895441239451]","[0.009813088487138343, 0.02357289768016495]","[0.041563297365425536, 0.05900247525866174]","[0.04856875365590954, 0.03939502840079164]","[0.010089671732749337, 0.018323800504714882]","[0.012950347217275445, 0.019876205841714418]","[0.0031995818311642567, 0.006433636415081396]","[0.0037625877390727517, 0.0030711681960119523]","[0.0016660192388259663, 0.02456137652729846]"
0,N1,0.7878388278388277,0.10566107038459774,0.18162378904516308,0.15861595706425083,0.6290474367103581,0.286399193375429,0.034391782378306916,0.44693671860423906,0.9665908768468885,0.7315686066072501,0.05489745597995707,0.020400383826636836,0.01312776986732754,0.0416370113713086,0.04787174764995766,0.005268319240003218,0.007206248200282023,0.003206858959816277,0.002796179060071025,0.003499163860939127,"[[212, 33], [63, 144]]","[0.07169705991572059, 0.16468466282822317]","[0.0945647177784785, 0.3256551270477449]","[0.16179917370486366, 0.15348250652158116]","[0.8213314436219644, 0.3126794115001939]","[0.2857860972710961, 0.2872332515466579]","[0.026070729869014885, 0.048197371837497234]","[0.44603112655006616, 0.4481055546382907]","[0.9592368360072603, 0.9787198929815577]","[0.7674446101171295, 0.6726759335347877]","[0.02226137011102082, 0.03989005364268568]","[0.00867400263461734, 0.019625272718173478]","[0.04723260993491158, 0.026138092788679304]","[0.048109705737437794, 0.0372576480466012]","[0.005824371389997074, 0.009794273467460162]","[0.008445062955663274, 0.010917527693030072]","[0.0018183342122080773, 0.0050499859033305275]","[0.0034986949498303907, 0.0010665595070027361]","[0.0030509845089249665, 0.009349310576189816]"
0,N2,0.7234188034188034,0.08187355565418344,0.12222586125097568,0.16715139762688708,0.6761316066909259,0.2735649181103873,0.11300451927045489,0.4231556225922134,0.9567834917720939,0.7267405879425898,0.05403888493516729,0.028897068410525053,0.012672946366694138,0.059925374681120566,0.05476542007884023,0.011201166477911254,0.011897419769105069,0.0036539482293552815,0.004442977901977268,0.007780295190168637,"[[204, 41], [84, 123]]","[0.06163364247732954, 0.12728875295486172]","[0.06700745688965262, 0.24509413690900908]","[0.16074071575553775, 0.18278799940393956]","[0.830029388560275, 0.3233117728046856]","[0.2725036953395723, 0.2778266753127394]","[0.11751092770583563, 0.10099978846189588]","[0.42759257707938436, 0.41296335199656947]","[0.9502857723234637, 0.9712050814449391]","[0.7624079759497909, 0.6459710327789087]","[0.027961453188473453, 0.03826891011978385]","[0.006067915513552482, 0.02190953814143534]","[0.05301968390676101, 0.05516911632133605]","[0.05480758595951438, 0.03786905204121097]","[0.011315007226147707, 0.03769960571478314]","[0.016175127798843756, 0.021582281211609617]","[0.004336994019751963, 0.0018641750048320298]","[0.005900519945363496, 0.0027243349956066394]","[0.0027652738051746804, 0.006127720870424158]"
0,TD_U,0.6659340659340659,0.2671385500681043,0.4014153441177822,0.16616449080871767,0.3588622389263731,0.3353508290912647,0.3637764974372541,0.47975796760318223,0.9836651324464342,0.7157301590781338,0.06724785464614015,0.025733531287242685,0.02725809259211648,0.04896411617522674,0.03190334037540754,0.016086361007135192,0.03218569693871652,0.0033946754526685543,0.0024233177144093745,0.00940231811674804,"[[149, 96], [55, 152]]","[0.1808795964981353, 0.29218968937545714]","[0.19385044477537114, 0.4622934455086776]","[0.3193276414711682, 0.12009121216428727]","[0.6278227418003395, 0.2792169549162845]","[0.32136823244094587, 0.339678871027544]","[0.25268309507638287, 0.39526631118577127]","[0.46404091355649396, 0.4842234578476116]","[0.9704621883622263, 0.9874740426414557]","[0.7653830490271307, 0.7008209979934484]","[0.06125065756193993, 0.03575758880778602]","[0.042447739911558896, 0.021422161656395683]","[0.08090379746702765, 0.03031135604136127]","[0.05079498018274969, 0.030059738022116516]","[0.021657845800416405, 0.018099056371373247]","[0.03251316641312107, 0.036766284276712025]","[0.00783387157915452, 0.002649144629133807]","[0.005557150932324076, 0.0015368305572008112]","[0.003412348955480895, 0.009880069524310945]"
0,Uniform,0.719023199023199,0.22735342281262913,0.32708712753095304,0.1973253574005395,0.5976447641748323,0.33002140900659876,0.3217206253493577,0.4734971873614701,0.9777232831828329,0.7414821702527737,0.0361311571119958,0.041134079614491226,0.02637952448110729,0.053378036471019796,0.03685446369014039,0.018829783690284416,0.01735108572289338,0.006132014923667867,0.003385686864993234,0.004368667554540028,"[[183, 62], [65, 142]]","[0.11894808040129239, 0.3564649015907959]","[0.1574362949729148, 0.527216991639804]","[0.17856340068216842, 0.2180612516595591]","[0.8084757313152421, 0.34870880699555545]","[0.2961068511829283, 0.3702999831636401]","[0.23563945148002582, 0.4248084602213661]","[0.46135747924439163, 0.48799770818353316]","[0.9678202935435832, 0.9895504230479195]","[0.767930878897148, 0.7104051282786836]","[0.024728610042414605, 0.05901781678829962]","[0.028380146308310743, 0.014186028130097497]","[0.03499999260632113, 0.05888317748909481]","[0.040218805948648004, 0.026040842896714312]","[0.015547961062234087, 0.01997500284913151]","[0.02290378772774763, 0.03221790607924297]","[0.005859872381110318, 0.0061064631782261495]","[0.004285372399602121, 0.0012962276603329626]","[0.0012963066508885515, 0.009699560115123105]"
0,kDN,0.719047619047619,0.07633798074715722,0.0722315238517929,0.1474623487781191,0.70209668844811,0.26323996500100366,0.11933745869957438,0.4380817605291095,0.9571030435780914,0.7321675021312309,0.025195856490338547,0.021145534440821876,0.004723049364227064,0.05031778128318596,0.04154932324826677,0.006490893332727019,0.014979888877887466,0.0035505427466238247,0.003307542156351975,0.0031672773633687444,"[[220, 25], [102, 105]]","[0.07694303429876773, 0.07356196238218711]","[0.04921860070644564, 0.1475061324443347]","[0.15611297076034497, 0.11960873837086691]","[0.8278262366543512, 0.28797256615120836]","[0.27904338230023396, 0.21147115821303758]","[0.12036288902644603, 0.11553957278676379]","[0.44123729531407874, 0.4275762892333952]","[0.9543945307723105, 0.9659270386140761]","[0.7660888582057555, 0.6200309514354458]","[0.026502282656912613, 0.03046474138360212]","[0.005113018867393545, 0.017317599715496984]","[0.04710368389172097, 0.04059273532123735]","[0.04305994084730062, 0.023447274181733944]","[0.008673591516115145, 0.01013869966034048]","[0.016028315182604704, 0.0312546054833601]","[0.0038565767524415405, 0.00532008886373855]","[0.0035314120124823483, 0.002907200355473374]","[0.0024361924881401474, 0.014590140994627491]"
