n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.732463768115942,0.12733748078575666,0.2891344815482747,0.13729497081090924,0.5349044958966153,0.22666357580846172,0.2663146710549308,0.4645624019487894,0.9789193703375039,0.7267664591522933,0.07319431355687184,0.019114917578779207,0.014376699918481853,0.026387016876772126,0.037710717381945154,0.007647263734373004,0.023889463135573434,0.0022891196181394654,0.002052949223164037,0.005348071465254475,"[[184, 61], [60, 147]]","[0.086327867758033, 0.16159264467266138]","[0.13496345917669367, 0.418165519784987]","[0.1393051865508132, 0.13605810706487734]","[0.8547459410440089, 0.26651396018721724]","[0.2565321498123439, 0.20174586843765682]","[0.1997847037935644, 0.32157000808348607]","[0.4570814567632514, 0.4708540265664559]","[0.9704819629550334, 0.9859859718022624]","[0.76917717167073, 0.6911078095177287]","[0.028142294656449362, 0.023435034021701457]","[0.014562552597105557, 0.02367165856191213]","[0.023869384280537146, 0.028998315628141612]","[0.04175734151726809, 0.032321218024600994]","[0.005635307419730199, 0.009299086433644679]","[0.026231719261352024, 0.03731849883151858]","[0.003937905544141664, 0.003910672598272225]","[0.003958561107633203, 0.0016051622704195553]","[0.0017671675736452193, 0.008799225734644863]"
0,DCP,0.7834299516908212,0.14970043935561178,0.2706437830575762,0.08945031063331786,0.6027540638429931,0.278112563355679,0.26943646696725515,0.466098899401458,0.9773876592375353,0.7423384605118064,0.05868324775212207,0.03825304102618846,0.03446393044092667,0.017615497743311097,0.08219629528184634,0.008946541896714878,0.026143941307311992,0.0037916399643770572,0.002994078108185416,0.007771716994674791,"[[194, 51], [47, 160]]","[0.09790030693306241, 0.21624849854270037]","[0.13646724585402178, 0.4376773449839825]","[0.09881129300779558, 0.07902400864495132]","[0.8848583351688427, 0.2500045641962124]","[0.2773314643797794, 0.27692304132013934]","[0.21419853683343967, 0.3314430265498709]","[0.45811875194698537, 0.4749387532994115]","[0.9700088950151559, 0.9863221899485121]","[0.7700075283764994, 0.7081599619245411]","[0.03582820423846961, 0.040746465257117566]","[0.018542577081888743, 0.021561368515597087]","[0.0228001225402558, 0.019976525488238014]","[0.04202903602698733, 0.027734881793232854]","[0.006136887030507251, 0.017420897548447573]","[0.02824016350627213, 0.03960307615252526]","[0.00450536775937004, 0.005707127287088648]","[0.004184234125584738, 0.0013087502644808092]","[0.001982298051740299, 0.010877595913997961]"
0,F1,0.7105797101449276,0.19888829716415923,0.31243993657786767,0.16625845274964715,0.5295827853973957,0.30892037053115395,0.3150962034509952,0.4672690107156948,0.9795783826361731,0.7073535718456502,0.10652303540058643,0.03022810630783454,0.015029680727743633,0.02117623756964328,0.03456512323043882,0.009809027045422481,0.01790414314621113,0.0024627368484226465,0.0023024300072010382,0.003462701515180041,"[[178, 67], [64, 143]]","[0.1250936587382207, 0.26058213800632263]","[0.15317250752654918, 0.4457172749796873]","[0.16714487937518696, 0.16570652884261367]","[0.8182378863455314, 0.2903582520283356]","[0.2972779202639079, 0.3185130023371497]","[0.2574598597215103, 0.36416628484777397]","[0.45800550366258863, 0.4751885717266565]","[0.9720715249911395, 0.9858614542849173]","[0.7485569421162239, 0.6730177466800769]","[0.04112686041438637, 0.03768502170914784]","[0.01581771707187921, 0.018648503497542504]","[0.025900462614156808, 0.01928546893527366]","[0.03479823020067716, 0.035521734387905284]","[0.012089069919118966, 0.013873167618967442]","[0.033538403056928644, 0.019275379548124586]","[0.004202705119084913, 0.003956845699326792]","[0.004026727447140339, 0.0011870615415184862]","[0.0031632508767766906, 0.006329634512698498]"
0,Hostility,0.7478743961352656,0.04645973783904818,0.24070635794773726,0.13941986345763974,0.579258899755663,0.2693668934521728,0.21116720536671277,0.4581575733276865,0.9753555899274072,0.7297558993737931,0.05407965087354299,0.013030321363194092,0.019997526256207432,0.0278327825050968,0.03938636331519024,0.014730411011419831,0.02038560485074576,0.0035612552657628338,0.0027221779785038197,0.0037166551310905357,"[[199, 46], [68, 139]]","[0.035905584519741754, 0.05948744507903606]","[0.12706250486823154, 0.3720729083493596]","[0.14124948614186078, 0.13753137778600988]","[0.8464081547052317, 0.2674468350844255]","[0.28020974175814556, 0.2566400932963496]","[0.18671653960451073, 0.2395318650942065]","[0.45586118542718534, 0.4608382361686523]","[0.9684884360490607, 0.9832775449431688]","[0.7681581405906214, 0.6845598169901186]","[0.01645965042333647, 0.017384042903841757]","[0.012736130298614843, 0.02214496722023304]","[0.02756462818077794, 0.02995360535655491]","[0.04211505366723364, 0.02819342472680391]","[0.012447110069665032, 0.026647306230912292]","[0.01915717980084762, 0.024250114575133395]","[0.0035734368679202246, 0.004205428747682421]","[0.003271822646764371, 0.00237080183528085]","[0.003330681526841983, 0.009516543612958802]"
0,LSC,0.7523671497584541,0.11480192687089238,0.18170319894457826,0.14619007301657425,0.6412727306989563,0.2898246294692918,0.15527419199665055,0.44742009291565293,0.9671294472135734,0.7374969455118571,0.04294188137236445,0.015723468698077635,0.01911300513893018,0.022993688763220776,0.026141139948315514,0.011289606715793907,0.018637547039424128,0.0027488000594015926,0.003580086856311399,0.0048058420161287375,"[[203, 42], [70, 137]]","[0.07665028133792323, 0.18425381534597657]","[0.08787491229166824, 0.3509223161532035]","[0.14617163619340648, 0.14672898199419238]","[0.8443968355296884, 0.278515223103721]","[0.2833997309022853, 0.3018496882285111]","[0.136550835165599, 0.18813922909619052]","[0.44386708960799454, 0.4539661742048026]","[0.9599771624742731, 0.9800066809530932]","[0.7678592866031652, 0.683824659902262]","[0.018808430403519254, 0.03549228692721883]","[0.01287140632430519, 0.04203887705775732]","[0.021621574613137975, 0.028769701204512103]","[0.03386619267300754, 0.037161473159858856]","[0.009271405250808723, 0.024344211308919086]","[0.01977270148533961, 0.022027161947368718]","[0.003701645232476206, 0.0028264349842103296]","[0.004615759821238236, 0.0020170021489702415]","[0.0024405389443018376, 0.00898537709889062]"
0,N1,0.7391304347826086,0.12463719877512983,0.21636811464397673,0.1500826560196768,0.6107117992455784,0.29433326634746093,0.11386811200234845,0.45234076042315924,0.9729144061919159,0.7372163415033872,0.07708539835644093,0.015434880355275687,0.014096888096181141,0.03044153980835692,0.03285063275134239,0.008091771915195448,0.008195396983166889,0.0037380840029329274,0.0023556749640902095,0.005898717384534793,"[[193, 52], [66, 141]]","[0.08786266890358871, 0.17824098958952833]","[0.11068001363484763, 0.3649698691950883]","[0.15051880156319888, 0.14972770165520558]","[0.8490234628568223, 0.2766993706668434]","[0.28527010573347544, 0.30719327501885385]","[0.09584786283257783, 0.140034188928094]","[0.44939158750091207, 0.4564425593601179]","[0.9663677743953955, 0.9822299867262523]","[0.7696215122278679, 0.6920806985486991]","[0.030009378419261833, 0.036257241431143804]","[0.01432539628277743, 0.024609472181998708]","[0.022472617244882767, 0.03966760867193406]","[0.03970685915395921, 0.026092365581869687]","[0.008545226329239692, 0.019231112120617563]","[0.01849083369789273, 0.01986367143324051]","[0.004211325090278658, 0.0062321036868509035]","[0.003606405612016292, 0.0017491351525274537]","[0.0017624580161463245, 0.009138439089410985]"
0,N2,0.7500966183574879,0.13103206206654483,0.19415596519044795,0.15016172613060721,0.6261783377524325,0.29546523956313975,0.15744402184505185,0.4419502492283606,0.9700855525549319,0.7360550471920464,0.06191288214589945,0.015600890409893367,0.0150757451280497,0.024054432087397534,0.03270341679053876,0.009885183254969123,0.019931977614622218,0.003682085431948596,0.0027575981961039642,0.0035383662949252702,"[[206, 39], [74, 133]]","[0.09586824884059238, 0.18667632799254957]","[0.09511268226449283, 0.3545534262080996]","[0.14691031242642055, 0.15642883025305304]","[0.8387243916386552, 0.2824955081370661]","[0.28383778116336394, 0.31449363815146286]","[0.1364092992836862, 0.19218636659720856]","[0.4416956537110609, 0.44259893795575633]","[0.9633456226797745, 0.9810605598694637]","[0.7662434055932442, 0.6870216521455244]","[0.018049888101376255, 0.03875439872338751]","[0.013627983004104557, 0.014074710862002713]","[0.020908852054171565, 0.036282680059961964]","[0.03344478723838223, 0.03241069731189849]","[0.0049933612758227925, 0.019199202116523106]","[0.023387621859695885, 0.0277059952850941]","[0.004046406939005976, 0.006159199090253332]","[0.003722249874228063, 0.0014313684891958324]","[0.0026453551262160344, 0.007955147102228975]"
0,TD_U,0.6879227053140097,0.25345190690018277,0.3831335858922066,0.18463737290251733,0.4176799095366698,0.3338559064271426,0.34423989255829823,0.47518047399599467,0.983604586338563,0.7285132828935252,0.06324342115296268,0.033988735837985326,0.015599265629091972,0.025096397882497307,0.03471821525206894,0.014175602736834226,0.01727856413194803,0.0029705113212004845,0.0019413001805859166,0.0038769447706596847,"[[157, 88], [53, 154]]","[0.17472256905776978, 0.2913418722287344]","[0.1947133750614306, 0.47727213846299155]","[0.24784897043700052, 0.15233725193174544]","[0.703241891618178, 0.2757649153106533]","[0.31930831419654193, 0.34085981199449294]","[0.2756848337293331, 0.3783780292614932]","[0.4651224530134258, 0.4801712852423897]","[0.974098941964505, 0.9883706525080689]","[0.7696903227872915, 0.7078623247450317]","[0.05435182572799382, 0.04509568274203812]","[0.02972091088277009, 0.013569427689325068]","[0.03605640163254409, 0.018140758815904292]","[0.05148888359132554, 0.03142408202893123]","[0.01872626979349465, 0.01800976023223975]","[0.040813582216544166, 0.02134591699275258]","[0.006477887680506729, 0.0026937523066423536]","[0.004842408176012886, 0.0009192833620394272]","[0.0025903454298142337, 0.0037383142153492323]"
0,Uniform,0.7478743961352656,0.21239817963955895,0.3201557715350819,0.1777326200601054,0.587008028352788,0.327475489945662,0.3180311025922311,0.47252000039842706,0.9804798821823999,0.7426977206567142,0.054999174331876205,0.022174323477798515,0.013787070559963688,0.02547863027315647,0.036091604025749624,0.012547534792862367,0.015359255194690894,0.0033800035244629916,0.0020599890322107474,0.0033808032753189364,"[[192, 53], [61, 146]]","[0.11930417899068693, 0.3206364189528319]","[0.1585444033214134, 0.5074646242905816]","[0.16630098211045358, 0.19120519109553444]","[0.8270321027868276, 0.30940602840697057]","[0.2964439853592637, 0.36340525463242707]","[0.24267364194707639, 0.40466683535088227]","[0.46133197745221227, 0.4854959146194968]","[0.9722989737765412, 0.9899688136183858]","[0.7679576204624196, 0.7134502920803643]","[0.031682932467444205, 0.04723313541356443]","[0.013685720776066397, 0.024468753173877925]","[0.02037373736597013, 0.031152394008780764]","[0.03590104826451056, 0.03788150350156831]","[0.014678960881747007, 0.02163877154056699]","[0.020095042875003192, 0.017069631217507437]","[0.0033261007737035372, 0.005182761045273615]","[0.003042583971332954, 0.0013344192812179126]","[0.0014328502303109173, 0.006203218815199905]"
0,kDN,0.7743961352657005,0.10767540939954734,0.15220355599665944,0.14159484689754803,0.6673351893077817,0.2852111111071607,0.1844773715765655,0.45127468008650096,0.9696043558582292,0.7398806893215095,0.05669557753118827,0.02323107545025006,0.013267872552652242,0.02195307675552422,0.0362345899410417,0.00893368100202932,0.016354448576711436,0.00403327014235358,0.002352127779823339,0.0022575781116101136,"[[208, 37], [65, 142]]","[0.08957352888526865, 0.14757192855511692]","[0.09487646527723584, 0.28067027829573227]","[0.1449052958784955, 0.1344824363984813]","[0.8465386872672125, 0.2629110228595814]","[0.2878562683400937, 0.2788574482773855]","[0.16946886609129888, 0.21790018827295748]","[0.45087340997320907, 0.45206339409954366]","[0.9650363656607912, 0.9798484452574522]","[0.7671996578419906, 0.6779458554692152]","[0.031492941485087446, 0.038262392041500046]","[0.012560333543146509, 0.020220127746046705]","[0.022295440800931165, 0.02040116170299288]","[0.03513848411723553, 0.034387004384326784]","[0.010672443330619095, 0.009641425026591204]","[0.019793570804707037, 0.021398091078437383]","[0.004422028913117327, 0.004879818968296672]","[0.0033750180859912987, 0.0016476809998209915]","[0.001457777919681419, 0.00876220809944449]"
