n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.6552941176470588,0.23091069391141997,0.35000871278912976,0.25206372971511487,0.6114091563106189,0.38899606936168424,0.29435626120586184,0.45993785660255665,0.9883175542696294,0.9495977249939495,0.07620056779435112,0.0444205315628801,0.022995452144027935,0.09583401560352937,0.07526903608608207,0.011817722452336974,0.02576568666742142,0.007762544311484752,0.0015872003806047814,0.009675016262827747,"[[46, 99], [20, 180]]","[0.4494358528898002, 0.21160984827714274]","[0.44709032074163646, 0.34109783985320286]","[0.3615835260211862, 0.2416549080957381]","[0.602809111975114, 0.6123269215567222]","[0.5213391996288772, 0.3772873775029947]","[0.4916519033534227, 0.2767698919890801]","[0.465552366543422, 0.45939860984132547]","[0.9901201930849858, 0.9881466250229417]","[0.9418986633898914, 0.950441252365365]","[0.11257217186672203, 0.04505265432177019]","[0.03186852491638516, 0.022886680629525043]","[0.14256934225329884, 0.08800080770845083]","[0.06457247455764782, 0.07426111520145909]","[0.02173817773410327, 0.011493646142531776]","[0.08150204539374097, 0.02818250519807737]","[0.030430690567828354, 0.006000568458859563]","[0.0027992290662924657, 0.001461304361637165]","[0.028546075108409893, 0.009979976683196315]"
0,DCP,0.6465546218487395,0.3274992220723991,0.36958759464785806,0.16061910686301778,0.5789316285657433,0.455731520949117,0.33677385027239815,0.45671302614551096,0.9883129235985051,0.9612434740517927,0.062357747945422655,0.0572251663600504,0.023907019879456846,0.10070527893489953,0.09345612296741976,0.018921995047145288,0.05036591103254785,0.011226165190666887,0.001337904848816012,0.007988156673072275,"[[75, 70], [52, 148]]","[0.48865545013252704, 0.24152805821078802]","[0.43287790154714034, 0.3385317745578957]","[0.16244444837133026, 0.16455182118793543]","[0.5569895795796473, 0.5910809658279789]","[0.549424515637979, 0.40409681210349546]","[0.43288027431495174, 0.2860795412720982]","[0.4665290796733417, 0.4512590447975714]","[0.9899037467764622, 0.9875433733810338]","[0.956433693952202, 0.9631364258734102]","[0.06766547338406888, 0.06003029057312881]","[0.03492834073596225, 0.024829105344552457]","[0.08548721365264134, 0.10401467050204752]","[0.09097948296036218, 0.09202039435581899]","[0.01505957590362564, 0.011781594659204017]","[0.05784867208764867, 0.0492155824493181]","[0.013813523079182892, 0.013466236549094771]","[0.0013743723028363326, 0.0015192383671317736]","[0.01361923990703562, 0.010733863330377907]"
0,F1,0.6442016806722689,0.3590602634581475,0.41551602530857795,0.29989745807165064,0.6093014432984871,0.4696267241191746,0.4051523330419192,0.46331825829830364,0.9900055694961523,0.9332771496732704,0.06790184055130324,0.048105712417050785,0.014416051874481485,0.10890191373442135,0.07573973790345316,0.006957803936400971,0.0334750829400277,0.007035930798658751,0.0010876283000223058,0.005004622763117909,"[[88, 57], [66, 134]]","[0.4831352633279491, 0.2673706450228869]","[0.4817848355926534, 0.36647081061500103]","[0.362698611273802, 0.2542656017836265]","[0.5980324595813912, 0.6185016362120089]","[0.556420454445788, 0.40602828208644004]","[0.5088344153438619, 0.3288782258762997]","[0.46361126503835, 0.4635968378259544]","[0.9909499354621782, 0.9892764399608411]","[0.9322752422773677, 0.9339937859846849]","[0.08360648004356395, 0.04441011144855968]","[0.01808832200182396, 0.01830536926286541]","[0.13248932424801835, 0.08434415266886779]","[0.07371331842878157, 0.07642723623573631]","[0.008199421602200278, 0.007535948302362055]","[0.03456268136095211, 0.04151398723016056]","[0.013217351790197339, 0.0065154433041708605]","[0.0012971859498389342, 0.0012947632594612617]","[0.007300163576681347, 0.00876829800316777]"
0,Hostility,0.6026890756302521,0.044438336272170934,0.3378995954776476,0.2743954832981925,0.6046111804214179,0.43977018771002985,0.2984302384162876,0.4531097139466406,0.9873876640777597,0.9484145835494242,0.06639045480157678,0.010130962101595123,0.01438576938795737,0.11056279885821094,0.07877811829192083,0.010220683081799423,0.023178004396177884,0.00621840259340624,0.0010854365605331138,0.010335050488969476,"[[63, 82], [55, 145]]","[0.08214734098813344, 0.028133392218186514]","[0.42368525145352115, 0.3013003236210851]","[0.3449180356081819, 0.24533801600968963]","[0.6045917635339497, 0.6035081960665807]","[0.5632822909880348, 0.3874844365547781]","[0.4102988471634359, 0.2518803338738775]","[0.4658352182271271, 0.44809533401642565]","[0.9896994935697995, 0.9864511494924857]","[0.9474324936698814, 0.9486311329366124]","[0.026746412919168547, 0.011080876583380367]","[0.0261589031566945, 0.019335759517032706]","[0.13915535222355702, 0.09301947582063874]","[0.08715778314370275, 0.07720183410845247]","[0.011329992008470501, 0.010935599967617895]","[0.04426334768383773, 0.0311104373031639]","[0.01349907520377258, 0.007050671192212578]","[0.0028258636523613096, 0.001634546715180144]","[0.013669671544262945, 0.010049750345199029]"
0,LSC,0.6152100840336134,0.2360667980499948,0.2586708847629914,0.26375561947852516,0.5972373717225392,0.4608151875565967,0.13177218822390485,0.4032802174385055,0.978191944710912,0.9672046468208693,0.08800909158072626,0.04705746886500128,0.02076725028537275,0.10976796115021777,0.0672319476000223,0.009495290987540435,0.021759565296831464,0.008623094943498258,0.0017213432612569214,0.005084473431261521,"[[77, 68], [65, 135]]","[0.3547418843715805, 0.16233838357767233]","[0.3217484813646203, 0.21719826073992826]","[0.3053240662740871, 0.23739797266276685]","[0.5836813924011712, 0.6069175554712724]","[0.5457403110024217, 0.40696800693714696]","[0.17682699771265792, 0.10273226583635482]","[0.4047919696415012, 0.4023924137196098]","[0.9773950314738797, 0.9785986416383698]","[0.9667657325307447, 0.9677577935111842]","[0.10228334510373022, 0.04180838697778366]","[0.03800169738637594, 0.0240940204187897]","[0.11670946768126682, 0.09953844496504372]","[0.06517747860975176, 0.07108621737521886]","[0.008265546209776724, 0.005379038135333886]","[0.028733377432370776, 0.02470483948466444]","[0.011776436149318666, 0.009332352305393216]","[0.0028652779381797707, 0.002133211462198717]","[0.009578231266041569, 0.008497719462409214]"
0,N1,0.6376470588235295,0.23636863395913288,0.29171413753759984,0.25985005871324246,0.5966557573049638,0.45275537006024535,0.07431638192046863,0.42331221044554124,0.9824209142563755,0.9598492549182313,0.05203574138484276,0.05749950957971341,0.020817512187961393,0.10926299931652543,0.07453127041593877,0.007768237365458056,0.02028036429981424,0.006459387161119159,0.0013013065588364406,0.007196168965808157,"[[68, 77], [48, 152]]","[0.316898183174152, 0.19671106733640814]","[0.337186029462096, 0.2679861112380827]","[0.30778333238872013, 0.23392887996248776]","[0.5788481480301069, 0.605469516016474]","[0.5454423127476382, 0.40442000742890977]","[0.10080463755172091, 0.060360685502528946]","[0.42931372525892153, 0.420110045740065]","[0.9810743369146315, 0.9831598185846613]","[0.9610922232007946, 0.9593026103242875]","[0.10442991146180858, 0.05585893465956086]","[0.03260673864871632, 0.0252137917232395]","[0.11966971887247004, 0.09638373889115391]","[0.07812993721766114, 0.07757205565621761]","[0.009234728545170243, 0.005586969574280164]","[0.02393380116782587, 0.018948446431716014]","[0.008777660691464967, 0.008149407779556047]","[0.0023951371481349057, 0.001628791379881469]","[0.007352023133396289, 0.008933775748200529]"
0,N2,0.6584033613445378,0.2598890156622757,0.29455450679390105,0.2674915892844374,0.5953466474806066,0.46160049381132195,0.1845098759761139,0.3714241478800897,0.9804898354637561,0.9622661895377382,0.10436438759275131,0.05647786955552135,0.010949114034132007,0.11306515426342949,0.07643480227934836,0.005092655662492706,0.02334219792436155,0.01436870514751354,0.0010771709112785519,0.006611103881344354,"[[79, 66], [52, 148]]","[0.34438166327366254, 0.20633740499929015]","[0.3472570454914007, 0.26125189074571875]","[0.2983156596869672, 0.24775237494109786]","[0.577011476863073, 0.6081056157871501]","[0.5429320670550566, 0.4102245414457545]","[0.2770942606729155, 0.12548612617587696]","[0.3485991393799918, 0.38563527521833957]","[0.9787522741123007, 0.9815771201586838]","[0.9584181361095343, 0.9645316903350489]","[0.0940462443123689, 0.06216164491956117]","[0.02709710510100527, 0.01812199460805398]","[0.12210660066249668, 0.09719081684354294]","[0.07360949184148076, 0.07866950279632826]","[0.009979785842658543, 0.003490119165444487]","[0.0437005941841692, 0.021389656524569395]","[0.024625440990954, 0.011163317078531867]","[0.002075826096415469, 0.0013207159296294492]","[0.010367385411771773, 0.007341341339918188]"
0,TD_U,0.6349579831932772,0.33075925733845035,0.3748057255471424,0.24687555522266913,0.4952675113900609,0.46865905011257347,0.3390763579158455,0.4460258519498428,0.987623721282602,0.958719704041766,0.07923676120909559,0.04251910408349246,0.024936927991244064,0.12130481575609667,0.0698531693527027,0.01311103391297271,0.03896218229908369,0.010984735329814524,0.0014202938711871578,0.010674984422024313,"[[81, 64], [62, 138]]","[0.44826428742977553, 0.2515431888835148]","[0.43055455442430324, 0.33172407146469896]","[0.2639072967943634, 0.2376083764886773]","[0.49621015423686876, 0.4981219735170123]","[0.5491543781620692, 0.40733131452072546]","[0.42628925038730375, 0.2754270011453432]","[0.44609676240402407, 0.4478628485333235]","[0.988897871713678, 0.986640313281294]","[0.9490617788508617, 0.9661521509918256]","[0.0924373409040002, 0.06338202021449708]","[0.02157473278037441, 0.028226751420364876]","[0.13470302984168275, 0.10341875132275065]","[0.07493525032963229, 0.06655308058068621]","[0.009131022076834574, 0.0086882205970436]","[0.04952849778521017, 0.04106086614233336]","[0.021277591938559878, 0.01826776230502841]","[0.0018359106257617526, 0.002013648504688498]","[0.012942310675466787, 0.01296475346854833]"
0,Uniform,0.6519327731092437,0.3571600456384193,0.41056073021470807,0.30167502189080175,0.6165759507177928,0.47278742717527866,0.3956820696331639,0.4632240924792728,0.9894717264511312,0.9605995228710714,0.0790747917967954,0.03904821783219262,0.015435769291664559,0.10377518073268174,0.0729405798447586,0.008651761876052386,0.03594599617326756,0.007112274436701012,0.0010520794949462244,0.005930133766577781,"[[92, 53], [67, 133]]","[0.46210288332580907, 0.2801533300612685]","[0.4798958244668604, 0.35956399204375133]","[0.36008687066605877, 0.2586573236213175]","[0.6072062368006049, 0.6235551881133077]","[0.5565826879468992, 0.4112895166691179]","[0.5045339124210262, 0.31641478072747387]","[0.470838054348388, 0.45768487537309277]","[0.9904107133933249, 0.9887750753208039]","[0.960739861627807, 0.9605059573142537]","[0.07334628288424702, 0.043772522934165115]","[0.014917797776062107, 0.02360770476897734]","[0.11511675068939964, 0.08828268898937267]","[0.06733341372560976, 0.07690514506502052]","[0.007049641466006684, 0.006690003530921702]","[0.03969673696438416, 0.044522081535779]","[0.008877548224380508, 0.0071637996291511]","[0.0013437762419105889, 0.0015601824580610813]","[0.005508981513305188, 0.0076950230713684785]"
0,kDN,0.626218487394958,0.19998962763198838,0.2179031220827715,0.24847533880779174,0.6046462472458219,0.44920342317792583,0.1986925901778614,0.42873937099650544,0.9820830569188634,0.9637684541714207,0.09657311137399391,0.03991502307716522,0.018366746553348152,0.11059303710533457,0.0693481967435051,0.008017396135475493,0.022131426171573116,0.010479934096088338,0.0014221761646176783,0.006225890757185373,"[[73, 72], [57, 143]]","[0.29705738478909666, 0.1547268295464888]","[0.26145007214192034, 0.19791445974183425]","[0.2784141871415088, 0.23366567093260535]","[0.5832281632425913, 0.6158442871187683]","[0.5459419915490966, 0.4034516780922828]","[0.26810134235640726, 0.16629865536129768]","[0.4385747195554252, 0.42399471919895815]","[0.9814016391830848, 0.9824288413283064]","[0.9696115106087188, 0.9608070745547079]","[0.1141040963490182, 0.03411050744335741]","[0.02590504719291261, 0.01940923370743555]","[0.1218804188698567, 0.09808796026086873]","[0.07069783476804356, 0.07049021673162824]","[0.009559229789936884, 0.0066235182220903835]","[0.042168578121798174, 0.03494878487544075]","[0.009769925601060162, 0.01497017183317934]","[0.0021952652192158036, 0.0020375949469141398]","[0.008276135832884987, 0.008497116473453636]"
