n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.6868067226890757,0.28469764547246135,0.3713886526293953,0.26576393815706806,0.6121042818295697,0.4204456014647355,0.3408961256735865,0.46025227255769663,0.988992722968533,0.960388272309235,0.04577934144527238,0.04407914308254523,0.01939174181899086,0.10160125356906305,0.07721487645628287,0.008716519216107974,0.031192449770110157,0.009616946179910461,0.0014043417725906364,0.006426595777803685,"[[64, 81], [27, 173]]","[0.42609340316875555, 0.2502065659611279]","[0.4402568957340537, 0.35507155248791383]","[0.3379124141941708, 0.24896930534738781]","[0.6012766417168585, 0.6146836089168987]","[0.5244821748609199, 0.3961420727613416]","[0.4756477194578316, 0.30871404788936674]","[0.46787888339879835, 0.4584144265178677]","[0.9904833256278728, 0.9885996585359]","[0.9542399556530292, 0.9617352275418737]","[0.08825853557498275, 0.05495356836257104]","[0.021815146470368273, 0.021463633436379585]","[0.12292879596017454, 0.09045039990405988]","[0.07019914702230025, 0.07767897975907326]","[0.01262133058560489, 0.009072836238285522]","[0.04375686001240254, 0.03548242858981961]","[0.013891277182283631, 0.010194594025527009]","[0.0015035635051413709, 0.0016311533647633651]","[0.011742241144978648, 0.006870802762744228]"
0,DCP,0.629327731092437,0.32975417487812464,0.38446115548179655,0.19227110214457596,0.5925315801935966,0.4610881011251119,0.36286613471236434,0.46272150307251597,0.9892117200064853,0.9635527089167791,0.08882462918261572,0.05386386769522532,0.020082833606130758,0.10453828231737361,0.08316939916907985,0.012840796370116057,0.039257965320340614,0.006476097129679529,0.0008575089001648524,0.004402668736977719,"[[80, 65], [63, 137]]","[0.44944197036308947, 0.25130262402960823]","[0.4279305480638248, 0.35842559548308717]","[0.20621899878515912, 0.18622372439726614]","[0.562546021810538, 0.6107097783489138]","[0.5503580582593276, 0.4066051309436526]","[0.4439149039943652, 0.3151808729318949]","[0.4650631247923617, 0.4614083107928395]","[0.989650149397027, 0.9889404736143182]","[0.9631972225895211, 0.9640635096768484]","[0.09115608036587318, 0.053753255557428686]","[0.028338213939198557, 0.024880434844882456]","[0.10093347938346633, 0.09918355728405501]","[0.08282312186709748, 0.07857973953884297]","[0.010544863586845326, 0.009574494981134113]","[0.032476729924762616, 0.03618052368749733]","[0.011853882391415448, 0.005973644485299186]","[0.001182617570763663, 0.001079928907820078]","[0.006428082639138992, 0.008006652217774766]"
0,F1,0.6091596638655462,0.35745254641634683,0.4128789544653045,0.2918221191327127,0.6106226684435895,0.47140765114807615,0.40071759499360377,0.4642074554294294,0.990065465062336,0.9279647685233205,0.0649877450744582,0.044736011610381064,0.021823862881111735,0.10930643758784991,0.07580571017422287,0.0066456107164029,0.03397099827161075,0.009885510767214684,0.0011467173898529923,0.0074145983148599,"[[81, 64], [71, 129]]","[0.47368969860367577, 0.26504714102424265]","[0.48124559071386663, 0.35911263302064955]","[0.34517348793651176, 0.24964430061091597]","[0.5975749806278281, 0.6202277611173139]","[0.5555777289538903, 0.4055100937289341]","[0.5061654834089822, 0.3183224129630639]","[0.4739436275722507, 0.4566404035653967]","[0.9910179340754869, 0.9893195185232428]","[0.9269500767787593, 0.9287786770070057]","[0.06402450397540795, 0.06143571997974251]","[0.027172353384005202, 0.019366397077806238]","[0.1309889566178504, 0.08307148805379443]","[0.07379185290576458, 0.07461176422377021]","[0.007217498032901265, 0.008099121751985195]","[0.04155958989215827, 0.04027324353553286]","[0.01113033348162778, 0.010774517433001573]","[0.0013609586776732816, 0.001073233543691872]","[0.00754629727122246, 0.01025413664215133]"
0,Hostility,0.6410924369747899,0.11755523285966188,0.3566497251322477,0.27904601563710235,0.6091394360574943,0.4516163193107651,0.3302889000844607,0.45541982083548094,0.9881400394544032,0.956894685890122,0.08188422991567285,0.0132017390012549,0.01869746052355617,0.11095702491204085,0.07446524803983143,0.007481370080462031,0.03305011173434683,0.007937613629418621,0.0014639414833995472,0.007101114963261331,"[[83, 62], [62, 138]]","[0.17124203991584186, 0.09359974540126348]","[0.4268394668226467, 0.3209869980394896]","[0.33666531889439516, 0.2503316652501331]","[0.6098635369677133, 0.6093459840281533]","[0.5554178717402041, 0.3993435044367546]","[0.43427837238161093, 0.27840503633389135]","[0.46381997719055745, 0.45145115636716315]","[0.9890897711775974, 0.9876500506598344]","[0.9551174751656658, 0.9577710420421566]","[0.04728607639388565, 0.02078279752610334]","[0.017570027904131376, 0.022320057573877446]","[0.1300628186595662, 0.09433360823319965]","[0.07692254021109363, 0.0753343500195682]","[0.00824622010695014, 0.008714723403454402]","[0.049425977858052174, 0.03314305382729439]","[0.013413781668538526, 0.007258136274595193]","[0.0020358859564170886, 0.0013347963305139158]","[0.012552079977905566, 0.007537812415730602]"
0,LSC,0.6175630252100841,0.2808059329945026,0.31999917021055907,0.2702742636355237,0.5981815807940173,0.4631212095570752,0.22685760467448052,0.4257271737903632,0.9831113723771328,0.9644129239705425,0.09148259546584855,0.04914165430802818,0.017612276490977793,0.10793997559912323,0.07272316301825688,0.00604535292402144,0.026146140359175823,0.008457261529347048,0.001102733823962812,0.004912004447809714,"[[75, 70], [62, 138]]","[0.4028739419345553, 0.2044544916792559]","[0.384941293593962, 0.2790837834076418]","[0.32336492560231683, 0.23602545551988213]","[0.5889748441926046, 0.6043416215892486]","[0.5507211772689653, 0.40817078744484314]","[0.3095159366196241, 0.17502813137725487]","[0.43120478403010765, 0.4223126625949735]","[0.9830475693085943, 0.9831269523081421]","[0.96675191290486, 0.96281699130185]","[0.09880720461307295, 0.04202048791130078]","[0.02631548324476159, 0.01806164336253249]","[0.1164619868219415, 0.09559032259225385]","[0.07023182770620041, 0.0741605902106349]","[0.00945587086234593, 0.007465806185900681]","[0.03852781619353712, 0.030886538673721067]","[0.01098936987060629, 0.009627974695643906]","[0.0014992187677173993, 0.0016684743991757557]","[0.007981511232545884, 0.0057593424232637086]"
0,N1,0.6258823529411764,0.28983196763821184,0.3400215745254641,0.2757947795283842,0.6041550879769426,0.45879832859612313,0.17826111695585817,0.43721875473519134,0.9853153335998975,0.964093800781385,0.08671700703018025,0.030913968931394586,0.01967006307061533,0.11186039730093014,0.0721876411196415,0.006150354249498068,0.03241500117963402,0.00649782507274372,0.0011974054531875753,0.005324507818229438,"[[87, 58], [71, 129]]","[0.3936935551167796, 0.22801615669650538]","[0.4018920066951102, 0.30324708917210896]","[0.3342614311136275, 0.24135502280292176]","[0.5930416578514754, 0.6116162178020138]","[0.5496020440063981, 0.4047123504829262]","[0.236315442576581, 0.14423304270784137]","[0.4474141226318272, 0.4312451190057537]","[0.9854942742733414, 0.9851767410944529]","[0.9648183204463185, 0.9638424802639797]","[0.0595723850248584, 0.05042164181793217]","[0.03481910530400784, 0.014428381230918148]","[0.12698203798275548, 0.09555755668932214]","[0.06739568527571925, 0.07712855089293126]","[0.00858144459443248, 0.005813804739648746]","[0.043906908759476476, 0.03080668377449989]","[0.00687622128505724, 0.007033142530704806]","[0.0017095457150033693, 0.001256474698818475]","[0.008362327045292595, 0.006156541443708547]"
0,N2,0.6638655462184875,0.28308163053625146,0.3367441136811534,0.2708147485202609,0.5965702177077035,0.4641778891722863,0.23482142486701138,0.4099303167609386,0.9842178272740334,0.9624236766587145,0.04653907994608437,0.048291846757156344,0.015043171140168003,0.10865357782488483,0.07420756425671905,0.004729681225211929,0.028114516279444186,0.007556618043228566,0.0013102469537518747,0.00905867120918729,"[[77, 68], [48, 152]]","[0.39883484344902465, 0.20836152188852455]","[0.40171417774336576, 0.29504117377902866]","[0.3199612633647303, 0.2391927521041511]","[0.5819757028743684, 0.6064849810479712]","[0.5485001349779545, 0.40996338121980014]","[0.33022082440454825, 0.17283589647420622]","[0.40546113835875064, 0.4129463473022651]","[0.9841824551830166, 0.9842384929256095]","[0.9583605090973608, 0.9648269355054311]","[0.08375914806310682, 0.06596379633201564]","[0.01896817935679096, 0.019543241442584246]","[0.11944169582149435, 0.09186280858352631]","[0.07331024649262996, 0.07813190275373548]","[0.007973335798328533, 0.004609970435376517]","[0.041288454672395024, 0.020256187602335548]","[0.013264998123910745, 0.007931037089398059]","[0.0015249236180790704, 0.0016508529566804438]","[0.010898869663042552, 0.009082626595295141]"
0,TD_U,0.6321848739495799,0.3410424229851675,0.3970216782491443,0.2728114215678443,0.5310566830166457,0.4739267334244038,0.37084279688433824,0.4545268484244979,0.9890586722495502,0.9584539985478685,0.07977348098463176,0.056414703375824375,0.018597404817302758,0.12034799792631831,0.07416303311299725,0.009628965748000338,0.021908929874167517,0.00603526140025763,0.001135406898625123,0.0074457453850921155,"[[86, 59], [68, 132]]","[0.4518622904753432, 0.2598780076534771]","[0.44982257455942065, 0.3536890810407813]","[0.2894989549584045, 0.26045675447906]","[0.5265162811026276, 0.53758087957708]","[0.5520960716225696, 0.4128676411841868]","[0.46574281425263786, 0.2963839320419516]","[0.45289718179839256, 0.455682948883153]","[0.9896259780183932, 0.9885196165728537]","[0.9534533580217271, 0.9625021001484916]","[0.10251109391680203, 0.04222441731663616]","[0.025027815178013186, 0.023127923429887964]","[0.1306156898142789, 0.1055383304176961]","[0.0791235866488176, 0.07000602578332027]","[0.009715535529774076, 0.0059077400343759915]","[0.03201755572719614, 0.027184197226079156]","[0.010986285941982733, 0.011800240894291493]","[0.0011979905531948592, 0.0017220928354867498]","[0.01023084994120194, 0.00790096922853013]"
0,Uniform,0.6268067226890757,0.3481537184939322,0.41288393320195,0.2992239249329377,0.6108339818682625,0.4720915282589845,0.40124558063034366,0.46589252291253447,0.9898247446749977,0.9609215848978321,0.08999006519473754,0.04083757301956636,0.024102336201660458,0.09992666483738376,0.06881126698227331,0.00789856644706932,0.03156981557687372,0.011119253910552756,0.0009399812331745205,0.003804916591602479,"[[83, 62], [67, 133]]","[0.4517716167629735, 0.2709363345140113]","[0.481918865617413, 0.3630215849694602]","[0.3581232455679722, 0.2560616043459957]","[0.5994722406616996, 0.6181828835044121]","[0.5566129768832259, 0.41085923295115656]","[0.4980452794275192, 0.3312036096350221]","[0.4702134304687693, 0.4625237395355225]","[0.9909804486545756, 0.9890051943616264]","[0.9574339696326775, 0.9633493195130318]","[0.0825171477110437, 0.03370927688357109]","[0.02517395141857822, 0.026403982998668873]","[0.11795601984539976, 0.08058403566689712]","[0.06790712701885246, 0.07094045153251027]","[0.008177664741767558, 0.006761151346446434]","[0.037935877550571644, 0.03379124324421399]","[0.01787103435283931, 0.00817268671485639]","[0.0012237327033436472, 0.001141541273278001]","[0.007302228584263664, 0.006540133668783283]"
0,kDN,0.5939495798319328,0.2576247277253397,0.2870086090654496,0.26580752659458196,0.6107621425411592,0.4569673139921764,0.2652518682610478,0.44044833118867255,0.9849999639659008,0.963713307748159,0.06248796853963469,0.043193589563016964,0.025264934660973674,0.10990226254740744,0.0802283299202244,0.005199202439865877,0.037012948982981395,0.010251413385925742,0.0017482971396798447,0.006814529286698182,"[[68, 77], [63, 137]]","[0.36003323835625434, 0.20171852848696076]","[0.33728551795043954, 0.2588511155828238]","[0.29907292658505236, 0.24597501372851047]","[0.5914672545533916, 0.6212610029162329]","[0.5489810745464286, 0.4054498977467415]","[0.33852896342385724, 0.2227675590865466]","[0.4502852668706172, 0.43485177585324697]","[0.985054066774898, 0.9849354830753866]","[0.9685231033998367, 0.9609352657844912]","[0.0964983371204172, 0.030860529247433044]","[0.03493688443207456, 0.021244750174494717]","[0.12346423447434919, 0.09308314255089642]","[0.08003833454588194, 0.0821774860367392]","[0.008416462051832238, 0.006045912663258757]","[0.04083662362144674, 0.041334060879342126]","[0.008175995281786664, 0.011998762370250849]","[0.002192021802846357, 0.0019200569505015716]","[0.004947775990592305, 0.009023134742633719]"
