n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.518921568627451,0.4066612925594619,0.5048723042784828,0.48308597908587114,0.5517296873244874,0.5257769961724622,0.5026351274266034,0.5078066228317701,0.9966974973199711,0.38316916302614246,0.04086711379058106,0.023992330486652228,0.010081087107845764,0.01433001602726097,0.03159211456627923,0.003227075829868369,0.01962182621608777,0.011893157735932228,0.00019536513902206068,0.007098070572500822,"[[179, 154], [252, 259]]","[0.4652424059635624, 0.3358613383155721]","[0.5610880222168209, 0.43678362673604604]","[0.5375656443556429, 0.4169512643995422]","[0.5491189020642485, 0.5552577687253603]","[0.5868614586540142, 0.45139663434244454]","[0.5395927203895052, 0.45768834244436096]","[0.5162880596600485, 0.49794836254800084]","[0.9969352374539422, 0.9964031391293284]","[0.3878557371396142, 0.3776868421753993]","[0.03418139792228982, 0.02969040550129796]","[0.015041042317840838, 0.013685616937783213]","[0.0208450327317091, 0.01210324479512152]","[0.03436597855862614, 0.02628156052011963]","[0.005071452708537371, 0.005657308933726927]","[0.02580825907073493, 0.019270988749764226]","[0.01690922587451613, 0.014001448801243987]","[0.00026893954790222196, 0.00030405793211356905]","[0.008264644537812242, 0.008589365828231174]"
0,DCP,0.5343697478991597,0.39403439428611053,0.49842091394494137,0.5151743576135208,0.558536851611643,0.4996738410963279,0.4885145649862469,0.510916741028953,0.9965789519735395,0.3779890630176671,0.05364977316096216,0.024258586645395364,0.012129177293903254,0.00611697003166764,0.03322774433783533,0.008278488063474584,0.025770941611596702,0.011976362328778285,0.00028880603413189773,0.005922985375598184,"[[164, 169], [224, 287]]","[0.45493525038162125, 0.32692706745590505]","[0.5586331386231961, 0.43208228790180303]","[0.5702973828406398, 0.4542245291855892]","[0.56651181801009, 0.5497572115931445]","[0.57083589838166, 0.4210100423412572]","[0.5275146478401811, 0.4454812420803753]","[0.5306016365640562, 0.489086543999287]","[0.9970158156540887, 0.9960969621801044]","[0.3737518823687319, 0.38227842971735904]","[0.03693480641835732, 0.04313505288669221]","[0.009023340462861025, 0.02156687349744008]","[0.01018080437775492, 0.008279870010431751]","[0.03467320542004714, 0.0300350000248254]","[0.00698074782822107, 0.008620207765696476]","[0.026849424871109202, 0.032409144407722135]","[0.014203311698458716, 0.012693455874655644]","[0.0002676988256632994, 0.00037897647889690905]","[0.009601910960662487, 0.01226902992885007]"
0,F1,0.6076190476190476,0.24684574578739338,0.37269596421884754,0.37667677736424754,0.5388082193665036,0.409225002010671,0.3617197114162217,0.4359117595790476,0.993685737193562,0.49417783864580206,0.06149326741169727,0.013907271714535733,0.012228320675611257,0.01730378215478141,0.0350950223080898,0.007032278016301055,0.020134578904474967,0.00681060632047559,0.0005948846753484174,0.006485346592468411,"[[163, 170], [161, 350]]","[0.4822968832658995, 0.1303148228295245]","[0.5782025154636508, 0.2705895707380986]","[0.5510288439391456, 0.2900880741749187]","[0.5404134879697321, 0.5381223525429705]","[0.5995964421379852, 0.3147270123936576]","[0.5477270246231107, 0.26946967004880734]","[0.5240736762168363, 0.392151308808914]","[0.9969969699538765, 0.9920385315546547]","[0.4552497145639842, 0.5135410884664445]","[0.03219696430699769, 0.020644086912508516]","[0.009304566089676279, 0.01584335843365843]","[0.01787949410037949, 0.020320177242518243]","[0.038444157927796166, 0.033548837719815275]","[0.007840338552151379, 0.007810709273802807]","[0.0313579749028191, 0.017918570907770548]","[0.010354473761992708, 0.008599350725251278]","[0.00022463220938272993, 0.0007922089598648935]","[0.0067191136574511045, 0.007382968612656194]"
0,Hostility,0.5214145658263305,0.47947524443519873,0.5140082171832744,0.4665109910922549,0.5656299638915003,0.4970191282728755,0.5167689476490963,0.5202563019552029,0.9969092441076839,0.3804612486420267,0.04537192852324234,0.04222276240558686,0.009922777910594975,0.011523769749273842,0.03081156739668195,0.009965972283562647,0.01873729446940488,0.009025995982018883,0.00026342511684315014,0.007065012871495787,"[[170, 163], [241, 270]]","[0.5463912858639708, 0.41031828520204916]","[0.5742195577527831, 0.45284518724055767]","[0.5348019583324459, 0.3967301841717751]","[0.5739277842606827, 0.5570904812099204]","[0.5663729345727451, 0.42619744240007174]","[0.5612184684058222, 0.4717335785252259]","[0.539720010467365, 0.5004784383907337]","[0.9972098814900546, 0.9966058446511076]","[0.37321658483872644, 0.3877673047563152]","[0.052669394443378155, 0.05201635948683471]","[0.018400299900024997, 0.012479496710649648]","[0.02052976327880572, 0.0063326038799487545]","[0.0350407066492386, 0.02518819184529375]","[0.012581226164260854, 0.007055140176651887]","[0.019699842188464156, 0.027567265444574874]","[0.011412710197113277, 0.01591027054300984]","[0.0002237127702489805, 0.0004167975155939618]","[0.01185531370363653, 0.005129557357377776]"
0,LSC,0.5294257703081232,0.36822221066500244,0.5141115387282436,0.44354360044763796,0.5656609843520253,0.46967624750234355,0.5605002381612794,0.5660739714130847,0.9983653176205713,0.3873805368713836,0.05603794719158419,0.02810663460164218,0.011734643420584575,0.013649233780575061,0.033326407905447754,0.006934397681091555,0.022294935996363525,0.012626177625029144,0.00015790365056732208,0.007310063139018814,"[[152, 181], [216, 295]]","[0.46358532112468775, 0.2924890615951125]","[0.5907985524242545, 0.45269953654812023]","[0.5241472648813004, 0.3793494317172422]","[0.5741273944009181, 0.5591133856651467]","[0.5609350145361065, 0.3968933241771172]","[0.6173460787025462, 0.5148367444197562]","[0.5942515892767599, 0.5435920962554661]","[0.9987116527933123, 0.9980888309797619]","[0.3676570421529936, 0.40306942857707434]","[0.0357963987169079, 0.0437638982103234]","[0.018396109392427494, 0.012634999150106737]","[0.022859538274255242, 0.009302072680280472]","[0.03316135990704154, 0.0324588235086168]","[0.009115658519739661, 0.008104121617945227]","[0.027924084929545092, 0.016897484748535696]","[0.01133117427988686, 0.015867129736945432]","[0.00017706256883443533, 0.00015168916774423361]","[0.007825827467474131, 0.008965695002775302]"
0,N1,0.5545098039215686,0.38573659940364746,0.5108486928784413,0.4496784721122321,0.5589579149297739,0.47441648431424943,0.6173996944766396,0.5371234049557999,0.9973325198944215,0.3951785975699019,0.06175525870049929,0.023237673910907537,0.014632233302599272,0.0106891191897749,0.03101398004015019,0.005554493128821065,0.022368338145618224,0.011240364909218105,0.00034602530354670754,0.005924686379708898,"[[171, 162], [214, 297]]","[0.49421044468476405, 0.2931887511249697]","[0.6072358700308023, 0.4290937731547714]","[0.542159474568484, 0.37133693715387067]","[0.5664660135134539, 0.5528623960842605]","[0.5708765550520666, 0.39299260149506454]","[0.692893355731951, 0.5537815732933872]","[0.5736611249677745, 0.5064918786851023]","[0.9981932229121135, 0.9966109497166024]","[0.3778696952513349, 0.4096786270657377]","[0.026136794901290752, 0.03915773920866936]","[0.016111334753271346, 0.01865924546798519]","[0.016909261254990628, 0.013012193579159989]","[0.03391950627280764, 0.027787580198258197]","[0.006071503270930221, 0.005968183218441432]","[0.029303375395336183, 0.020950418148602372]","[0.0095948794898843, 0.014913915729473233]","[0.0002030769449296164, 0.00043918129052123085]","[0.008084023031495382, 0.007391211572564809]"
0,N2,0.5696778711484594,0.3692805630677484,0.4988181818181818,0.4398429220259775,0.5599032573218923,0.46533790776958445,0.5387424733606083,0.6047496577554977,0.9975283469183754,0.39435761119971646,0.06394638389544632,0.02528340688187934,0.008675329512046661,0.011673684363955807,0.02742557831723267,0.00371350428370921,0.01337423377919858,0.010535997535892868,0.00021373356752410117,0.008839723548245653,"[[159, 174], [189, 322]]","[0.48004182456304634, 0.28497816747582405]","[0.598618887900473, 0.4222689237601899]","[0.5346619440370286, 0.36675372635018655]","[0.5702352483166221, 0.5518350169989402]","[0.5640210945374091, 0.3895575357087996]","[0.6230494025477605, 0.4739910340876879]","[0.6439233977307814, 0.5745795321256615]","[0.9985059069538949, 0.9967791153438681]","[0.3736975028020785, 0.4104319117858804]","[0.03928267665148223, 0.04212390838546073]","[0.012748135797918992, 0.013563022847731485]","[0.016471705145045732, 0.012281234370819455]","[0.02729612240510207, 0.026041241037666064]","[0.00859220296792175, 0.005828918056581872]","[0.02656189981889371, 0.01053392505168171]","[0.01157047067635265, 0.012622186241744935]","[0.0001732940049970026, 0.0003210044617580007]","[0.007649462961743694, 0.011417139255983302]"
0,TD_U,0.578109243697479,0.29385184799944525,0.4140630677484224,0.4073025993255491,0.6462784468948851,0.4316293087836132,0.40587934551464294,0.47727728526656976,0.9950531303196563,0.39728565209686495,0.08030872112991212,0.02820532963290642,0.01988573145904081,0.01964307265279473,0.03563050165129726,0.012727533356292082,0.01919806285084706,0.0113710601306294,0.0005882979614951683,0.009966200778826824,"[[163, 170], [186, 325]]","[0.3907757897919191, 0.22682093317743082]","[0.5154622645052503, 0.344128314179486]","[0.5039270640507726, 0.340672518817606]","[0.6597631215354618, 0.6363847054986487]","[0.5325448513658866, 0.3619733486366944]","[0.4931539477311471, 0.3461087537859884]","[0.5229109939106483, 0.4458426879339026]","[0.9967449602628189, 0.9938974019159408]","[0.34617011889946026, 0.4324039214195806]","[0.03579362620475372, 0.02921824617309086]","[0.01952140782920475, 0.020858695078193313]","[0.025189502129136107, 0.017508133880674334]","[0.03382449495051458, 0.03536771611132097]","[0.008099996995607163, 0.01495062909587618]","[0.026445975755304624, 0.02330222751313701]","[0.014825619960234427, 0.012290205275032145]","[0.0002913946036137057, 0.0007359893991311536]","[0.007856894117537627, 0.014264947381454243]"
0,Uniform,0.5984033613445379,0.272386797032106,0.40455658414811735,0.40157987285755736,0.5511358122591783,0.4327441450829935,0.3940053287038413,0.4580578470581396,0.9949299405974997,0.4085191541656073,0.045256866655504796,0.023665435745716234,0.010775230989957607,0.016206080519890236,0.033208568391408275,0.005795010866785684,0.019361648444366428,0.010289796856401318,0.0003513085593899225,0.003464426176720624,"[[166, 167], [172, 339]]","[0.39814961885231315, 0.18784551703761446]","[0.5234843643882214, 0.32464562184661483]","[0.5096985284775317, 0.3289036043552619]","[0.562432797584406, 0.5435952954606423]","[0.5485996330029212, 0.3548517061748258]","[0.49785889102734215, 0.3244197697806166]","[0.5012919531792581, 0.4290683705014963]","[0.9966461396387685, 0.9937726977481546]","[0.3608437385720533, 0.44066566956837255]","[0.05413572209045481, 0.02317284769463047]","[0.011563946925179867, 0.015041677157979936]","[0.019340555516700296, 0.014004969489889472]","[0.0368357812360814, 0.03278111369877527]","[0.004416225536714199, 0.006730623843309801]","[0.027997529080150057, 0.018951083567169354]","[0.0197337260980597, 0.01385489875410782]","[0.00025584076742048514, 0.00047826912490609385]","[0.005418530410400034, 0.004320670318917426]"
0,kDN,0.5593557422969188,0.41943519866860834,0.5589238957076486,0.46346039715418463,0.5581500006696986,0.4873722810990146,0.5445142009338233,0.5380890723107445,0.9976918230512662,0.3864732373313609,0.06145801254116868,0.02401147614211432,0.006802265314341457,0.010885039377010844,0.030055224973491647,0.004964184102174709,0.014036159776288007,0.008481181983867011,0.00016068809111760937,0.0063821995657718225,"[[167, 166], [206, 305]]","[0.5002212735239432, 0.3442634128220483]","[0.6243981198458809, 0.4977237249798881]","[0.5391218389840244, 0.3932421421446004]","[0.5588554799131923, 0.5576472503978036]","[0.5715061849164783, 0.4093006276875121]","[0.6023530116567278, 0.49086806726971927]","[0.559500817445177, 0.5185034157635924]","[0.9979200558418698, 0.9974825886583938]","[0.37902072259753894, 0.39337938227573815]","[0.029751049792903373, 0.04486151866837206]","[0.013411710223224673, 0.01451333057347214]","[0.013589110502872738, 0.010260605077236445]","[0.02936987293938651, 0.029008606038131376]","[0.007589811466393884, 0.007466957927714998]","[0.021567070773333287, 0.01950920198002415]","[0.010660875565515556, 0.013567524671984727]","[0.00020021359373614117, 0.000196589002434676]","[0.008832761599311382, 0.00763675888469591]"
