n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.7339132302405498,0.12982071580183957,0.24146559158445582,0.24853986636457784,0.4822811056873304,0.272759809484685,0.22979627948577605,0.3827848640999177,0.99038617369918,0.4250147808971182,0.05797686899533082,0.029889049118603916,0.01351856567803721,0.011365617278909073,0.035918503845425824,0.006522090069069588,0.014404296251658717,0.00790083500064752,0.0010233450849485358,0.003653584107416713,"[[522, 107], [149, 184]]","[0.08380528237859099, 0.31769797104086894]","[0.21481805195125733, 0.35101860101316584]","[0.21528719831875237, 0.38631657818847487]","[0.46102470247132804, 0.5697651471484799]","[0.22416308145042615, 0.47247674151648067]","[0.19968560507822267, 0.35352425690161754]","[0.37393275935492964, 0.4188205650125525]","[0.9898229732539214, 0.9926808823858803]","[0.45199288237496643, 0.3145169733512003]","[0.02758040144931443, 0.057752375711983196]","[0.01297581272103421, 0.02164630558805727]","[0.008521953171276965, 0.028105489571205348]","[0.03681801980606607, 0.027761100901065025]","[0.00792126372060825, 0.00825241276595732]","[0.011661977584435598, 0.03633350313482433]","[0.008497426892531244, 0.014970102078031991]","[0.001061060402392041, 0.0008490091026266196]","[0.005209149267936471, 0.008763785944258995]"
0,DCP,0.7442332474226804,0.14068109305957896,0.25685113938245074,0.20837511003875683,0.45848730808459476,0.3088188202116966,0.2394091252942459,0.38063520762040204,0.9911723744408523,0.3998367797371922,0.039003139766736396,0.01741880961290272,0.010642843774370076,0.016446612222346318,0.03611499178323611,0.00767645772884962,0.017435495467659233,0.007172816013697525,0.0006339905960380919,0.006622971087408357,"[[536, 93], [153, 180]]","[0.09772927520022893, 0.3076176249786874]","[0.23112155767848713, 0.3569525526096983]","[0.17229887275281092, 0.34763868751651206]","[0.4307079587388179, 0.5673521471415399]","[0.2607083595257931, 0.49505181215194705]","[0.20951742720894093, 0.35429358355290785]","[0.37170749010599163, 0.41472045873751845]","[0.9907730921910988, 0.9927312543585336]","[0.4214013947047649, 0.31579459558657297]","[0.013696457001824935, 0.038247430798011094]","[0.010169730469731533, 0.024193795815111562]","[0.011572465422798547, 0.03085814366775016]","[0.039567152684476456, 0.029932247259926704]","[0.008028824056650005, 0.007642295433473398]","[0.01874668593408388, 0.03499662225638735]","[0.006303935155775708, 0.0211342074586214]","[0.0007621330774458918, 0.0007087333555482942]","[0.00790964115992958, 0.011717635397906824]"
0,F1,0.66115764604811,0.29717964463549107,0.3776158005046123,0.3396774411624314,0.4965057996834347,0.419476357251136,0.3674229868748685,0.4303441580003632,0.9936903291945303,0.3135711626402999,0.05029415353668945,0.028335711854674206,0.009123401522221249,0.023559496828597357,0.03024885077793901,0.004777174178669134,0.01797718448733921,0.007528040594191005,0.0003668478486987346,0.004844138688717283,"[[452, 177], [149, 184]]","[0.20309135644592052, 0.43772321870095404]","[0.34054419788125456, 0.43346828148876454]","[0.2763481266492862, 0.4346542166304033]","[0.44296188174801054, 0.5766758592272266]","[0.35081737285082687, 0.522343307804603]","[0.3195136681153387, 0.43990189442814553]","[0.4136103975803945, 0.45533487089249824]","[0.993247492507584, 0.9943718896327116]","[0.32599537643195414, 0.29495416511261174]","[0.037003436681362356, 0.048391182321888694]","[0.009011731359612644, 0.01574099857404785]","[0.021034525843634976, 0.028730857611408492]","[0.02874746169366309, 0.031843287327235494]","[0.0053138582327015675, 0.007836522332279766]","[0.023100237369948706, 0.01867709737791479]","[0.006410412758412802, 0.01795678873738148]","[0.000536620544416797, 0.00046530921621621275]","[0.005550631615932941, 0.004499123689284701]"
0,Hostility,0.7067654639175258,0.07276295238222377,0.23707260809782538,0.2566503808188175,0.47660108643952964,0.2996343963893822,0.2245219879485522,0.3693052417211791,0.9901599738961208,0.4185620033789146,0.04105653184985101,0.012208961417796349,0.012453284805073437,0.01649479714612649,0.03410374417771919,0.013896658731135198,0.011150827019814898,0.006699809225444839,0.0008714063617664894,0.007996628901078056,"[[502, 127], [155, 178]]","[0.04049244322209833, 0.19041545280982747]","[0.2050560627772287, 0.35263058734570607]","[0.21568136596715043, 0.4043255057036911]","[0.453935745742704, 0.5610659405000851]","[0.24156735234149132, 0.5091977217821667]","[0.18793420522486848, 0.3564557141796162]","[0.35798136984265094, 0.40893914523602204]","[0.9896533549580886, 0.9919914782996878]","[0.4423780502825827, 0.3315931983768473]","[0.010108974739375694, 0.02372850068175344]","[0.013004701662121244, 0.020403068530191883]","[0.008234544853082528, 0.034795011165017264]","[0.03508686116557582, 0.033247367832097065]","[0.0076503650857280454, 0.017337078015635176]","[0.016922997280866162, 0.03450466047912989]","[0.007841877631935857, 0.01790462912413824]","[0.0010455187517596307, 0.00043810113100350246]","[0.009476612807728301, 0.00841498852612318]"
0,LSC,0.6933741408934708,0.16481878011987877,0.23552945573963074,0.27498904897942783,0.47834594714456957,0.33501158924800806,0.17591985068867685,0.33446463824346684,0.9888058880455681,0.40367327171783246,0.06330277947589177,0.012039694557224135,0.008957825443520744,0.013634592654208981,0.03514187436635398,0.008153074539605013,0.014366843066795351,0.005716727906269894,0.0005206586456116564,0.004322834219362782,"[[482, 147], [148, 185]]","[0.08695963387526154, 0.34762206425420683]","[0.18225855335121927, 0.36070790807676717]","[0.21350919549346453, 0.4192788566137932]","[0.4432730479583877, 0.5608521891427076]","[0.2545923776358824, 0.5235490558894649]","[0.12812897836955764, 0.28876775713591046]","[0.3208428950448047, 0.3667774328344489]","[0.9878330696916017, 0.9911042428039976]","[0.43070316037112716, 0.3403001527224382]","[0.02054995416754679, 0.03121875890218244]","[0.010667837775676595, 0.012383641041229288]","[0.012810998273069182, 0.013192742905448609]","[0.03830766461285208, 0.02971323095334055]","[0.00955629089410994, 0.005023023145998728]","[0.013405043347007345, 0.031687501461656345]","[0.007512305226405339, 0.013899140733674457]","[0.0007510427621086749, 0.000603489892011628]","[0.0044986605859030325, 0.009315674659827633]"
0,N1,0.7067439862542956,0.1625050394478634,0.2493877104219787,0.2754025630912758,0.48048866138179547,0.334666434609576,0.13382186163656346,0.3580641814192628,0.9904637115632433,0.4052523877119053,0.0450828833430447,0.015572847689435461,0.006774006574509388,0.01640648999425887,0.033015971058945014,0.00737418934720821,0.00824581157527644,0.009074634414071407,0.00041480273165202735,0.004086709788716374,"[[499, 130], [152, 181]]","[0.08963281394003553, 0.3457117103778083]","[0.2061660415712236, 0.3581231649857302]","[0.21968512930648698, 0.4161165527934233]","[0.4480206739077398, 0.5634222891295722]","[0.2615316009718973, 0.5187320806878639]","[0.09712186831769141, 0.22621728390047516]","[0.34263628649624195, 0.3972446210730146]","[0.9897597323052031, 0.9922506384769447]","[0.4306090519177558, 0.3414185744256661]","[0.014288377509637028, 0.045708521974735856]","[0.008115990757314038, 0.018805793900605227]","[0.013036731464257729, 0.026362820063596863]","[0.033910158835160124, 0.03292388633772292]","[0.007977500345305796, 0.0058998763830094775]","[0.008515709840069118, 0.0167641586913342]","[0.007515353454153234, 0.01975474433811367]","[0.0006338748821640346, 0.0009491930286554239]","[0.003601089675460368, 0.006351763580198369]"
0,N2,0.6912048969072165,0.16666408575738562,0.25031187173770847,0.27908313309914573,0.47754628828960105,0.3423191663250371,0.1986817805604133,0.3023601935243375,0.9897458904662582,0.39941174551047864,0.045348572695396716,0.017967642040816186,0.00590557279949788,0.01525033964722582,0.02904292370959401,0.007034430380266824,0.01816175752630542,0.0059757603611958815,0.0006673048118986666,0.005441617472209957,"[[482, 147], [150, 183]]","[0.08425892131608252, 0.3653726634595896]","[0.2058260771503532, 0.35697147808391005]","[0.22178413037140596, 0.4167814371239708]","[0.4440915255386496, 0.5583826577231932]","[0.2684320475675699, 0.5198762182686796]","[0.15216050309043352, 0.3101138861153176]","[0.29608786789506325, 0.31731455523960916]","[0.9890717533411435, 0.9913733013856776]","[0.42628108119264213, 0.33479837276919255]","[0.017454512215109665, 0.03307571717471797]","[0.006675980403660877, 0.019450100804489338]","[0.01281336492187263, 0.022652670385003997]","[0.030073503744525977, 0.0294984072310833]","[0.008803580194375962, 0.006068533180908402]","[0.019356069689268125, 0.03370469762464432]","[0.008055803399681342, 0.015163821858366946]","[0.0009278338060810394, 0.0007391827801686806]","[0.0062397972620340065, 0.008671030721922199]"
0,TD_U,0.6830111683848796,0.2050114138488032,0.3020335607203407,0.28117169297811084,0.40722453180699747,0.3533422924543176,0.28216971830583015,0.3899138889695344,0.9916485578116963,0.38872403701676556,0.0425320942941929,0.030633305702825825,0.006213933287451534,0.01970969951063224,0.03189754053214297,0.009539747744015914,0.01646436428855989,0.007543142544050444,0.0006000263923115895,0.007158244679255504,"[[479, 150], [155, 178]]","[0.12081019864852119, 0.43648561406991304]","[0.24830832512237136, 0.45088556016483555]","[0.21281450835190988, 0.4695411344471]","[0.37542514915999814, 0.4961346504251695]","[0.2809903719249807, 0.5521005231321905]","[0.22640874775237196, 0.436966975309695]","[0.36880354184825637, 0.44903370446608404]","[0.990782641373138, 0.9940710898245907]","[0.4024046570464842, 0.35172385066372763]","[0.03378350730784176, 0.049731691994122966]","[0.008781990648922556, 0.025145680071495483]","[0.023140487169879466, 0.02417193804701368]","[0.03211689235961671, 0.03413390183288915]","[0.008751199553329408, 0.00812000532339097]","[0.02263871559611101, 0.0351052354978374]","[0.007355655261798239, 0.02693946671168717]","[0.0008364397576540357, 0.0009212013046697111]","[0.007782874739853807, 0.010033946581323575]"
0,Uniform,0.6819050687285223,0.26807406319667865,0.3569873045962435,0.3360501589664138,0.5049391333064212,0.3857549589067427,0.3451725840051008,0.42857025859990683,0.9932966302783294,0.3991174476883804,0.043148918532556535,0.024913543818638053,0.010089526136868391,0.016831637465381192,0.03147870076524681,0.008072539230802799,0.011900107389936534,0.009199494664573935,0.00041098394936534244,0.005206306984508576,"[[475, 154], [152, 181]]","[0.15631005301159678, 0.48096393675316634]","[0.29299209687841654, 0.47922305885381633]","[0.2571130797352433, 0.4864926173460269]","[0.4672800832141091, 0.5770923159110304]","[0.29698660664497656, 0.5550721312880927]","[0.2766862332208106, 0.47600292122960985]","[0.40290336436256374, 0.4776489107762362]","[0.9924200153868433, 0.9949634778005081]","[0.41768319357639844, 0.3636664184602316]","[0.0188935691462241, 0.04163314341514762]","[0.009677911701493201, 0.02019558446512577]","[0.014934586559512573, 0.02287025135658603]","[0.029657808945975146, 0.030519947476631802]","[0.008643330786442822, 0.010663553166291135]","[0.01156665799499659, 0.026791984938757098]","[0.008855600195228889, 0.015857617497488558]","[0.0005342056097798889, 0.00033421721182571825]","[0.006848364369646574, 0.005603005122977569]"
0,kDN,0.7266323024054983,0.12392743195076691,0.1964414956814268,0.25279162705586644,0.47271074746245373,0.3121314462563646,0.19231869906915627,0.35268644735417853,0.9893463962425673,0.40812689767288013,0.04369557141004631,0.01671461318956823,0.008888575174320363,0.01747316001644756,0.03065892200591607,0.0069352571253242495,0.013879567613024781,0.006123556416850066,0.0006488079176454793,0.005065409400459327,"[[520, 109], [154, 179]]","[0.0706207900391216, 0.2733617417395249]","[0.1642135181898383, 0.2866646758140347]","[0.20615760274566086, 0.3828407572104713]","[0.44240880035403674, 0.5565235820999802]","[0.24594382152964628, 0.49764725763598194]","[0.15949285040758357, 0.28379492429003084]","[0.34422886250126006, 0.37589031587595007]","[0.9887523272915602, 0.990990454820416]","[0.4374139690675527, 0.32601035145533974]","[0.016607535855036205, 0.042079171840444705]","[0.007898880361658964, 0.018380181802647826]","[0.011786558066972819, 0.033346459494093664]","[0.03168531002849176, 0.03293519143663947]","[0.0061889246257150286, 0.005537003112826002]","[0.014497607825587611, 0.0304303034185407]","[0.004428728809430894, 0.02289086321218127]","[0.0008957881581395058, 0.0008079976586896323]","[0.004946262779728353, 0.0065852629896010675]"
