n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.6342105263157894,0.2152046783625731,0.3761013645224172,0.32455028046110107,0.48069995997552295,0.3744914023336441,0.3607792629722454,0.44049296239836944,0.996042510316744,0.44916612518951704,0.029254382311767854,0.03883933726682192,0.005031606597617932,0.010420563782983769,0.04157710045837932,0.006348856750954412,0.01505523269941344,0.0061789609958693165,0.00019207415585769302,0.0046984077634546415,"[[432, 197], [220, 291]]","[0.1673646679245719, 0.29099146976540824]","[0.3547570832992915, 0.40954308745273116]","[0.2805333759371648, 0.3935813717379821]","[0.39907037355423347, 0.6088149544633296]","[0.3335585286376241, 0.4386385760630964]","[0.315220522916272, 0.4320161733721196]","[0.4223091052966382, 0.46895849830538994]","[0.9955498865192383, 0.9968177095851167]","[0.4577645048327602, 0.4358432311771187]","[0.032660317087474564, 0.053892455896898464]","[0.0056623833773934516, 0.008787708378647624]","[0.01039425388048867, 0.010837119621266794]","[0.035529265869942685, 0.046046096269521566]","[0.007417594898014599, 0.00468177812766363]","[0.01600485115903066, 0.02974403350499482]","[0.005428288557653368, 0.010097686555425327]","[0.00022425522070152685, 0.0001561528183399113]","[0.008139877801381146, 0.009879646423203709]"
0,DCP,0.6631578947368422,0.2353801169590643,0.3714814814814815,0.25132573222845633,0.4546202811470887,0.42189156171275677,0.35033138401559455,0.4292080597134703,0.9960537144590804,0.44372969460688755,0.03905452130307368,0.02205999439119176,0.006239880804279039,0.009769373085993224,0.03891790432557551,0.006467917623039613,0.011839440162823808,0.005417596255802384,0.00016229846414956908,0.006299820261599601,"[[415, 214], [170, 341]]","[0.17680884508098932, 0.31987712119876477]","[0.3445504564924916, 0.41003149876125383]","[0.18087093484408862, 0.3520335656220004]","[0.350623419880353, 0.603821764930695]","[0.37394259194640733, 0.4909001941410178]","[0.30268752916044633, 0.4192600434838102]","[0.4118403489071474, 0.4541062941847508]","[0.9956244995034013, 0.9966654340691328]","[0.4321163701820355, 0.46063515100941166]","[0.02423413083379831, 0.027116312526953217]","[0.011882275658844602, 0.010916659987589504]","[0.017015003672837585, 0.010523727438573157]","[0.0340493914457371, 0.0470348803848016]","[0.006326456731500988, 0.008221350026255386]","[0.017488317864064264, 0.014692717932589017]","[0.0037546260798884032, 0.009717882650417552]","[0.00020719570770521967, 0.000188182085567783]","[0.00930599350112279, 0.004825016041141706]"
0,F1,0.6219298245614036,0.31198830409356726,0.4211695906432749,0.363201113033696,0.4911125536555435,0.45389528577483684,0.41907941149169214,0.4581997422266354,0.9966778170000582,0.36934156378600824,0.03543927199093728,0.037276932458187424,0.0111352897822947,0.007863549256671598,0.0432663423724518,0.0048184814501334985,0.015693012459903736,0.008397001668160502,0.00022984589393241383,0.003959741272226953,"[[424, 205], [226, 285]]","[0.2789537962362793, 0.35598785131641536]","[0.41026345124490354, 0.4353581062349875]","[0.323787208082828, 0.41472530760079823]","[0.42083255105616046, 0.5832451672258707]","[0.4303919327861697, 0.4846922801592122]","[0.4005391160556638, 0.44333808519534446]","[0.44784953043704323, 0.47176932393548077]","[0.996594615984062, 0.9967834037949889]","[0.3639553563315072, 0.3763944625111643]","[0.03642517145475731, 0.06147289813417374]","[0.007770197041039786, 0.01810629691320784]","[0.008661736006639347, 0.011059691722425366]","[0.03726793192978921, 0.04545211419710755]","[0.0060740468264302485, 0.005478387876335725]","[0.013801681309166905, 0.02420039251314574]","[0.009476997604127738, 0.008558510498205208]","[0.00018854098206161034, 0.0003252880537690534]","[0.005661862880349151, 0.005026946704196933]"
0,Hostility,0.6350877192982456,0.09366471734892787,0.34590643274853805,0.3291928099704865,0.4755170122355845,0.4097856384862455,0.3182606980413998,0.42019843128385864,0.9956085952142784,0.4530755902100932,0.026218142422760073,0.018654528294034647,0.011840578778569776,0.010187600607066978,0.04399511892136244,0.009578704356971158,0.01553204398802789,0.00811123749810449,0.00020904351554232323,0.004695036760378036,"[[437, 192], [224, 287]]","[0.08142030807950962, 0.11338224853170649]","[0.3327173882635096, 0.36751081452087386]","[0.28784126595979265, 0.3977256420362726]","[0.40461296800936797, 0.5938930295047055]","[0.36452227819298744, 0.48494432825849765]","[0.2925531632774029, 0.3613647397587695]","[0.41080901587013957, 0.4362864177836177]","[0.9953932328309112, 0.9959701504982483]","[0.4482074298318593, 0.4612037979319011]","[0.01759032733437234, 0.026796208673355738]","[0.012767832995421504, 0.019800734446874583]","[0.011827069101767928, 0.013651165282356208]","[0.03820645628749844, 0.049596674296986894]","[0.005850847353856946, 0.013165145213821342]","[0.020242734492753472, 0.01861145483210846]","[0.007616354215448046, 0.014435842385791342]","[0.00020214481023795629, 0.0003555336404921218]","[0.00352844882256313, 0.00904293143811475]"
0,LSC,0.6228070175438597,0.21101364522417154,0.3316959064327486,0.3377692958310817,0.4828965494364212,0.42951208310453487,0.25739069896964634,0.37612073748612673,0.9946766167314804,0.44468269439029673,0.018492851813850155,0.02670498110703768,0.0076348692849992445,0.009946158063010224,0.04274669184943836,0.005767426539542168,0.018470939523320067,0.005660167969498115,0.00015877607250923352,0.006651294934408255,"[[419, 210], [220, 291]]","[0.17003542725354903, 0.26343229006868646]","[0.31914960025609174, 0.34834530286172666]","[0.2867645143265912, 0.4042281336914547]","[0.40478004916106824, 0.5845895192936545]","[0.38038017352067893, 0.4935470754092483]","[0.23004672429164455, 0.2929584966244078]","[0.37738349641311386, 0.3745210483922641]","[0.9944651702526812, 0.9949573355661296]","[0.4362101789658805, 0.455677410072746]","[0.023859370823589153, 0.041543037221457926]","[0.011305178868569372, 0.009517470554304732]","[0.00866718639971745, 0.010250084222452138]","[0.035479516510548044, 0.045459378023527376]","[0.00434693455817242, 0.009118052298378773]","[0.014590597386105929, 0.024582290936505623]","[0.008181102697566105, 0.011143535752138013]","[0.00021136741235497453, 0.00022725253563997007]","[0.006651354982840107, 0.00904479889966856]"
0,N1,0.618421052631579,0.21920077972709553,0.34142300194931774,0.3396163049333895,0.4780372170058963,0.4292595516863245,0.2036190012067205,0.40209552144484534,0.9952620099283218,0.4467944552739874,0.04419946332699117,0.026761047572995588,0.009019559624241804,0.012219323832320904,0.04098404052018574,0.005015745574480385,0.007332814781441172,0.006611528748200992,0.0001843886068774663,0.0036618341681503193,"[[401, 228], [207, 304]]","[0.17095913286064054, 0.2856817291777811]","[0.33219899835766803, 0.3540521409915126]","[0.2881688549250445, 0.4097373872376764]","[0.3993947953076896, 0.585326325626602]","[0.3798382261187282, 0.4965011953706166]","[0.18303485671901282, 0.2318325346686209]","[0.3942169039409492, 0.4127570833852647]","[0.9951672781074287, 0.9953876596223419]","[0.4381479550392878, 0.458576494688485]","[0.03623275908142359, 0.02665232103719951]","[0.011189867952620456, 0.009907120079848558]","[0.012490168736101663, 0.008286232033507169]","[0.03840535200995529, 0.045577331914385885]","[0.005956921858575351, 0.003903807774998911]","[0.009273307851592335, 0.015436114725317907]","[0.010282835447698058, 0.008530674979885836]","[0.0002608621522941746, 0.00018513501518924015]","[0.004664134073532581, 0.0069501966620371]"
0,N2,0.6245614035087719,0.2212475633528265,0.34510721247563353,0.33776998214033577,0.4818132028562161,0.4332968484991329,0.28221247563352825,0.3435573701883544,0.995120550236549,0.446512887156162,0.03852554173567392,0.031662665082691145,0.011267213913477056,0.007005508196655091,0.040963868312607704,0.005114997258512961,0.014112269963090077,0.010409188384515116,0.00027273185084535886,0.005258855515259338,"[[408, 221], [207, 304]]","[0.17441904108300363, 0.2828661875161348]","[0.33399574707405266, 0.35988705201124593]","[0.2886050735867276, 0.402924187191647]","[0.4028125743912985, 0.5868000189830644]","[0.3863746850865883, 0.49562445570066965]","[0.2579144282593901, 0.31449012168638557]","[0.3458294990544356, 0.34051317064906206]","[0.9950593583876272, 0.9952039221400455]","[0.4362230123503667, 0.4602108803727008]","[0.03732253454596174, 0.029251823239984594]","[0.013900356748120088, 0.015407881375777572]","[0.010174239511890245, 0.01133739696373079]","[0.0354680176543005, 0.045142039896290356]","[0.006762025077414045, 0.005630024986952854]","[0.018674192455913386, 0.01375193922737464]","[0.01533386892700099, 0.008889748976366607]","[0.0003705415202291305, 0.00031489542241117417]","[0.008089753686447598, 0.008463650961837588]"
0,TD_U,0.6166666666666667,0.259551656920078,0.3912865497076024,0.31857669773562386,0.39986857065924875,0.4329728623555621,0.3702408799777221,0.43366435654142643,0.9962484000497996,0.43580246913580245,0.03745658545005823,0.03436446240586699,0.008159782895633039,0.01352657147873546,0.039219371390029435,0.0026185236687175724,0.016009892071641333,0.0100217330771091,0.0002496074985848249,0.00507200939240225,"[[415, 214], [223, 288]]","[0.19032081339961468, 0.3865804622801088]","[0.3634476510327159, 0.4425451227414271]","[0.251808734401901, 0.44130671839193203]","[0.34733123733015125, 0.49618660876276344]","[0.38307325404605613, 0.5247204112828268]","[0.3221523463415451, 0.4589315529877852]","[0.414054677270007, 0.469851964697323]","[0.9958772202047772, 0.9969287974530611]","[0.42685774477354627, 0.45227186166925526]","[0.02990811492494124, 0.04443851717772338]","[0.008359973406480791, 0.016331490534310385]","[0.01413346431083309, 0.012249401746594016]","[0.03476890615681774, 0.04584356297597256]","[0.004076166974855195, 0.0060755380894771185]","[0.015549112566847571, 0.0277598943174777]","[0.008686807528349005, 0.017887669808690703]","[0.0002679397354458142, 0.0003582528120142851]","[0.004478133112979022, 0.007940473078873857]"
0,Uniform,0.6254385964912281,0.3021442495126706,0.4317933723196881,0.37716438131291474,0.5082562038164598,0.452436921208384,0.42392601875058017,0.4665882290591282,0.9968483537884076,0.4535954082737709,0.051821247325410255,0.042660427665446,0.010093229350679361,0.011995103976298509,0.04499861697612474,0.006532059257359455,0.02167453966822164,0.00844560376734386,0.0001759305592703588,0.005232722913264109,"[[424, 205], [222, 289]]","[0.25733029047470024, 0.35729659851666135]","[0.41646921148739074, 0.45052739123180363]","[0.3434630422022785, 0.4184901197576571]","[0.44595781431238174, 0.5847740664726813]","[0.41044108337437024, 0.5040851730138899]","[0.39527683065103986, 0.45913320893220455]","[0.4590493245927562, 0.47592681600566006]","[0.9966153397813751, 0.9971353633469728]","[0.44779952701344666, 0.46052666969589556]","[0.044911575473075914, 0.042415272830519775]","[0.011990101177957272, 0.010498073452073407]","[0.011340553943827698, 0.012969822778952034]","[0.03831269971206833, 0.04892896432698836]","[0.007609826864161431, 0.007007137492886082]","[0.027077721312487823, 0.024832222797937033]","[0.008997408002850375, 0.008872007598947849]","[0.00020885093400079745, 0.0002082623635327892]","[0.006131713261936221, 0.006567388031828457]"
0,kDN,0.6175438596491228,0.1846978557504873,0.28966861598440546,0.3330526028164429,0.48546093486560127,0.4230202765102753,0.2849041585445094,0.40436736528046724,0.9950454392420027,0.44562486463071255,0.060236756874002775,0.027287547418453805,0.007180501511912296,0.008702243410389398,0.044951154707021296,0.007893043816453305,0.0048993362976428225,0.004877751128084472,0.00015652750929781548,0.006304214231697924,"[[416, 213], [223, 288]]","[0.1391893771007156, 0.2429355910276954]","[0.27466809344319126, 0.30885820975442535]","[0.2820193459028391, 0.3987703329745916]","[0.4034363275076663, 0.5912564028196865]","[0.377280459437631, 0.4820772500499942]","[0.2524289206072602, 0.3267468355770315]","[0.3941214451397311, 0.41763766366812727]","[0.9947703706262047, 0.9954020925064089]","[0.437075182293204, 0.4565507749857206]","[0.028391101571411684, 0.03281914538036123]","[0.009628954393369183, 0.007581525713221623]","[0.012956571516702459, 0.012297875102414403]","[0.03984445680550733, 0.046888406777794045]","[0.00798154053749814, 0.007000044130672407]","[0.01084065567712085, 0.010583965439375646]","[0.009185891646457334, 0.010730252501150294]","[0.0002023684779200499, 0.000183230945490473]","[0.00742678826908508, 0.008111364719892336]"
