n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.72,0.06688888888888889,0.13517777777777779,0.19231497766037547,0.507457765874381,0.14773042901127822,0.1191626984126984,0.38216632511373205,0.9840561889245466,0.47088888888888886,0.033665016461206926,0.013155188516735012,0.008945529418130857,0.013115688453659515,0.056917918885559825,0.0064980115610501245,0.011809331482891707,0.003817868617469962,0.0008518098356454348,0.004095033618363308,"[[103, 197], [83, 617]]","[0.4254534010541423, 0.048452703154338375]","[0.4832675945139989, 0.11721907784169636]","[0.461116775223513, 0.17842124196369571]","[0.5391691199294117, 0.5059715185524826]","[0.46779203797142344, 0.13147985503373394]","[0.46949825507622844, 0.10104656440549811]","[0.48848829370826463, 0.37671301857118794]","[0.9949502623767398, 0.9834884266755853]","[0.46152697204325455, 0.47136520007207344]","[0.07425964958826162, 0.011586671305336683]","[0.035719885057697034, 0.007156690556818648]","[0.020716256642751653, 0.011527429018340396]","[0.04020183824330558, 0.055122104739544785]","[0.042778241298286036, 0.007300552300387803]","[0.04386475452825585, 0.010891759755528897]","[0.008268647984828487, 0.0039149090898744545]","[0.0011727859312589126, 0.0008350036156459028]","[0.017267606513447265, 0.003427918845482143]"
0,DCP,0.717,0.09755555555555555,0.16762222222222223,0.1554725848557907,0.5013022048585516,0.2027362228441761,0.15054457671957672,0.3968232725933641,0.9867143042889817,0.47156725146198825,0.038887301554906356,0.01888380468976108,0.009023699933720493,0.017368341455867208,0.05304002181938311,0.007682930228025431,0.01328512998380212,0.0043994638424179,0.0008821407004360202,0.00312338859502357,"[[112, 188], [95, 605]]","[0.3598005614884146, 0.08095321793893429]","[0.47302235972080603, 0.14690900127101233]","[0.3370585810505195, 0.14450579045616338]","[0.49179461269570324, 0.5025000098802643]","[0.49625484734311887, 0.1829492125024172]","[0.4565468191269745, 0.13063291974518604]","[0.48562310021099997, 0.39091078347274044]","[0.9949719627060112, 0.9861442231188253]","[0.4693064648493209, 0.47184204113532413]","[0.08558490558851159, 0.018092969902892532]","[0.0367112847440374, 0.010220272667487986]","[0.06448931617078563, 0.017191644338363173]","[0.05406085521918634, 0.05134780518576493]","[0.042432215726380194, 0.007947062469345475]","[0.06963931422589613, 0.012049553198711989]","[0.015939142275226467, 0.00411712010931278]","[0.0013324577762681296, 0.0009626765334441411]","[0.014948102256378382, 0.0026919916339853594]"
0,F1,0.701,0.22155555555555556,0.3012222222222222,0.3175320475608556,0.5151736268093983,0.33084968644851276,0.2954703703703704,0.43458172631867475,0.9904018547303044,0.399719298245614,0.04532597979574677,0.024395011745837726,0.00994980543819264,0.019023873408711173,0.04599591347440341,0.00932329697562536,0.013131681414434944,0.004623402514448725,0.0007849530388364627,0.0012538826309692025,"[[154, 146], [153, 547]]","[0.4230920651275, 0.1394487845445702]","[0.5290863443640266, 0.20788076557377916]","[0.5255506712566456, 0.23191369022925046]","[0.5234002782579584, 0.5116808293698808]","[0.5471234949937858, 0.24193336400267787]","[0.51809705933444, 0.20412824163444512]","[0.49507479822418266, 0.4097294350840045]","[0.9958772400765522, 0.9881469758164846]","[0.4004618257197922, 0.3994535608968498]","[0.06030122549442125, 0.023892251380890815]","[0.023015286795255045, 0.01337210714401201]","[0.03588293989691473, 0.011151791538554605]","[0.031406503592588245, 0.050315851941680485]","[0.034059971280686725, 0.009158615295041203]","[0.032831119516500196, 0.018769132525211903]","[0.008426310215183943, 0.005175783485469853]","[0.0005962608791718785, 0.0010503936021144526]","[0.003779130184606205, 0.0014511957936768239]"
0,Hostility,0.7030000000000001,0.02011111111111111,0.1833777777777778,0.24282490956770125,0.5010075809076067,0.2390864821188557,0.15057685185185185,0.3917039690649658,0.9862822684919778,0.4654502923976608,0.03233505150074072,0.006360241732600998,0.010425146342803117,0.016418505393135212,0.05237193987240771,0.01293597688489681,0.020720724960530675,0.005418358315578288,0.0006168014115607803,0.0038054956139998613,"[[108, 192], [105, 595]]","[0.06976064783852857, 0.011670083231889962]","[0.47126093414218395, 0.13366824880213202]","[0.4818178958330844, 0.20184171664998152]","[0.5123724618065059, 0.4991592299283899]","[0.519998685716818, 0.19115321570669916]","[0.43762086123310234, 0.10134445194038322]","[0.46501311306287596, 0.3791577812641612]","[0.9945431512091096, 0.9848524384798232]","[0.4541135239672209, 0.4675015246653379]","[0.02349490032874609, 0.004775658383826591]","[0.05151462050914613, 0.005808785475438611]","[0.05362117296369188, 0.012173377744285438]","[0.032962022482630526, 0.05441830033728983]","[0.052426197025446354, 0.008080274228191856]","[0.08463798711854402, 0.013711367217612944]","[0.01306482448037267, 0.0052657860063208516]","[0.0007820623529961202, 0.0007121385867477684]","[0.01351725531573829, 0.0029894359831506355]"
0,LSC,0.6900000000000001,0.08411111111111111,0.10740000000000001,0.2286921639912821,0.5082337730901327,0.22635949680184062,0.06891111111111112,0.36593730687472287,0.9809939421161815,0.4706081871345029,0.049665548085837764,0.017205687004444914,0.009613119750143022,0.018681763342627902,0.05501700519112848,0.015257284246162715,0.007697814376404904,0.004550590196854279,0.000888459117108876,0.0041411143813525645,"[[137, 163], [147, 553]]","[0.29753538193613016, 0.037509775961061045]","[0.3541151664601058, 0.05350095654965927]","[0.4728165014216324, 0.17496439955850113]","[0.53350775510988, 0.5026809614428442]","[0.5071369473248093, 0.16408054716565487]","[0.20257229331884416, 0.03960661352806705]","[0.42428209388750976, 0.35303020057906714]","[0.9895479135019343, 0.9791184518375585]","[0.4738097600408809, 0.46989999690499956]","[0.05523019022191355, 0.01103450850788012]","[0.036813473938073556, 0.003749100996829033]","[0.03975108987796178, 0.011352210299498625]","[0.041425809401155665, 0.0557000678654822]","[0.04042256144387875, 0.00585295693576827]","[0.03285016774697344, 0.005589998013138334]","[0.008417080169443975, 0.003400067808785214]","[0.0009842362791770169, 0.0009349211254678869]","[0.01080341953138471, 0.0041789488019660015]"
0,N1,0.696,0.11277777777777778,0.1748,0.2500383789196064,0.5098576857448632,0.2561911909038794,0.031085582010582008,0.38994011395840733,0.9867980482122183,0.47086549707602343,0.04273952113286561,0.011981352681201339,0.008935802128000702,0.01601572367304292,0.04876623995086625,0.007188701217090291,0.004127015784805242,0.002832251994767165,0.0007780501413018226,0.0045950013044219196,"[[113, 187], [117, 583]]","[0.32647899096836885, 0.06778788903092173]","[0.4076305666730609, 0.12577457298327274]","[0.4746903228783143, 0.2027698426642098]","[0.523866847184838, 0.5072064437569441]","[0.5174744194219485, 0.2013480358450682]","[0.08482283501016111, 0.019780653680379453]","[0.4369064855845578, 0.38002379080020077]","[0.9916963175565756, 0.9857704616203472]","[0.46457948461510573, 0.4722104551734757]","[0.0488903061280569, 0.012546666609011242]","[0.02395731843267532, 0.007813232628818546]","[0.035000165914530534, 0.010286106581902675]","[0.034813651266328766, 0.050863545131788875]","[0.037706057889727626, 0.0050548262736935055]","[0.012025752021530134, 0.0034071494585264897]","[0.0068452270611659375, 0.0029788882464595666]","[0.0005826674901948498, 0.0007707668593792428]","[0.00851205667049019, 0.003947060384266978]"
0,N2,0.696,0.09288888888888888,0.14097777777777779,0.23068599864422432,0.5164938926155257,0.22798647391071913,0.08991084656084655,0.34010463421620934,0.9832832476036062,0.4703625730994152,0.03502380143083652,0.02091986146145642,0.006255817594231065,0.017054295143154638,0.05455087307961662,0.008649734023380155,0.0057170239223509915,0.0032313729593485907,0.001028654160246347,0.0022991704858483716,"[[120, 180], [124, 576]]","[0.3509087035097436, 0.04969478554796206]","[0.4020582532686469, 0.09733496905346106]","[0.4818013609538612, 0.18850313054306012]","[0.5373054104409609, 0.5130324602435754]","[0.5321231107636002, 0.17704197956278067]","[0.2684117351492149, 0.05999899787401913]","[0.3883944839380855, 0.332013240552374]","[0.9912039803924337, 0.981956409667708]","[0.4778483306483025, 0.46911181494035625]","[0.07957376733076214, 0.014918581023441962]","[0.03796430828670345, 0.004884616212545322]","[0.03999764195847074, 0.01314289313713466]","[0.04234717561245039, 0.05408815435575469]","[0.0410285496007592, 0.005599972533516368]","[0.02823382991252567, 0.005688696010393927]","[0.004257730777836223, 0.0034187019368376007]","[0.0009490189261979253, 0.0011228431412950242]","[0.008175302779509739, 0.0022631922068897855]"
0,TD_U,0.682,0.21455555555555555,0.3055777777777778,0.3097410507534586,0.40493898949443324,0.330707312656416,0.281053835978836,0.4343700360093128,0.9899787681843225,0.4656081871345029,0.03521363372331805,0.027334487579764234,0.027667921038548163,0.024291930974024104,0.0432384357250012,0.018831148995179767,0.03299816975826267,0.010343119815647322,0.0016154910020388465,0.004802167097661958,"[[144, 156], [162, 538]]","[0.45031830673629025, 0.11309395595993829]","[0.5682371827941057, 0.18995990652143785]","[0.522933609931311, 0.21552835958516714]","[0.4015224402560132, 0.4081731649754164]","[0.5584264588111871, 0.2310597299174902]","[0.5338557876195359, 0.1701597945841151]","[0.4997793114875835, 0.40577884503743145]","[0.9959328607704908, 0.9874416112514938]","[0.46437747773879295, 0.4661762139470948]","[0.03685215707413379, 0.02590149632924669]","[0.0297228333667527, 0.01716019883557041]","[0.034697648576463895, 0.01634543821841951]","[0.03549187706107558, 0.04746768181042446]","[0.03745004526947383, 0.016823202973182246]","[0.02823456726170396, 0.028273406170068415]","[0.0043266361013015505, 0.009436696107388254]","[0.000551619870992546, 0.001786175896081626]","[0.009205638797043472, 0.005825890481116812]"
0,Uniform,0.689,0.24077777777777776,0.3252666666666667,0.3330926220435151,0.5249174816807815,0.34393255180150967,0.3067367724867725,0.44154093041919557,0.9918491662447491,0.47397076023391815,0.04201851443775177,0.029224311055231888,0.00904738326992519,0.016593099017657653,0.045041653951324624,0.010178350920282148,0.013019133034286963,0.0034737518030189623,0.00045997138860308075,0.002799759134089741,"[[151, 149], [162, 538]]","[0.49567652974703896, 0.12816121321061957]","[0.569986384639378, 0.21692355132811475]","[0.5458964529997827, 0.23899314695339338]","[0.5340697611457722, 0.5207313786576432]","[0.5715246643819111, 0.24275034710661297]","[0.5486688452762228, 0.19952545388966672]","[0.5012940434988795, 0.4150648018510156]","[0.9963238878113841, 0.9898694153705954]","[0.47344262623256583, 0.47422400670643466]","[0.04655639212435537, 0.027210438474396643]","[0.012645802132236634, 0.007493098330375518]","[0.030380392202619386, 0.010627667088570011]","[0.03387790849519333, 0.047557088383926395]","[0.03010678300503979, 0.011621041433266312]","[0.02078012285188077, 0.011828788438264518]","[0.0036617400887025376, 0.003618054999094421]","[0.0004256608356342505, 0.0005898403941192804]","[0.005109548497137497, 0.002386358681196656]"
0,kDN,0.71,0.06955555555555555,0.0753111111111111,0.20873825781742225,0.5077019924539017,0.20717982906718416,0.0814376984126984,0.3755251593416823,0.9830943749347423,0.468625730994152,0.044721359549995794,0.013620367223103093,0.007242952205623703,0.013284777008684107,0.05346617606205345,0.004970870261002419,0.011038388213254912,0.003929174534853598,0.0008567625203422834,0.002538644920602128,"[[109, 191], [99, 601]]","[0.27832996617078587, 0.04615687763671102]","[0.24683594149163035, 0.05625320139066842]","[0.4405789060479831, 0.18285040048329518]","[0.5356638232522628, 0.5044890355350051]","[0.49794939867947674, 0.17451345296664542]","[0.2666326810057108, 0.06066965096833456]","[0.4453148116054968, 0.3677398926425597]","[0.9883534856801532, 0.9825117495255388]","[0.4591677598204559, 0.4696827445686889]","[0.0770914182242019, 0.011439100433624788]","[0.044319568155980364, 0.0033623518408901305]","[0.03116019409834673, 0.013072805745423606]","[0.04675741064174461, 0.05344198468413749]","[0.037495221564584603, 0.0029678253620242165]","[0.054812151860191914, 0.007229094509610247]","[0.011529296642426525, 0.003969294652661233]","[0.0020163123621087737, 0.0008394775770585946]","[0.006129145483758953, 0.0025070956808336976]"
