n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.729,0.12144444444444444,0.20615555555555556,0.23684150784212515,0.516955529277988,0.2138893603796382,0.18732314814814816,0.407303664034131,0.987719467116362,0.47336842105263155,0.04771442828607157,0.00968715014413176,0.008069689601256732,0.014066672300476651,0.05029510971080936,0.005734320591970611,0.011506475274153176,0.0034894538136676107,0.0007167641609440436,0.002711051795588267,"[[124, 176], [95, 605]]","[0.353627846618758, 0.08498620278157386]","[0.4712690562049346, 0.16435392620689115]","[0.4594140356885637, 0.20174062702684642]","[0.5345201495142462, 0.5142065698799871]","[0.4714054881643168, 0.17452327639168244]","[0.45274078185219285, 0.14615136755217753]","[0.4797855134883532, 0.39587462970204534]","[0.9945819810434962, 0.9866446666115692]","[0.46907559974777674, 0.4739664905367471]","[0.04120270930652995, 0.011496025841642435]","[0.01936001682790614, 0.010044944457320007]","[0.02705428025643424, 0.011667001793369483]","[0.034761361263690144, 0.050127639079826994]","[0.04410986161907896, 0.005318513396342432]","[0.05253779143325291, 0.01167466143317291]","[0.010537619069144114, 0.004097416627330128]","[0.0008192400010771436, 0.0006938316133762305]","[0.006706447935308503, 0.0025545527770902414]"
0,DCP,0.712,0.13744444444444442,0.21662222222222222,0.20456558246092554,0.5101193009757509,0.24602760468729165,0.20343320105820104,0.4117980261216151,0.9885297256583065,0.47552046783625734,0.031198290551460235,0.019626484723615435,0.00971912825548874,0.01323982941483718,0.051497322411551985,0.005711980873309763,0.01278389610321306,0.004936650361719355,0.0007534235566233579,0.0032002312118895415,"[[125, 175], [113, 587]]","[0.41601488368282213, 0.09243808112315605]","[0.4983502182685517, 0.17039003187727197]","[0.38184272065577685, 0.17624505234936033]","[0.5218500007151372, 0.5081623126509673]","[0.5139279067484919, 0.20237253616635487]","[0.48296237550866666, 0.158150243418244]","[0.4868912583259638, 0.3995224865025121]","[0.9950842565004226, 0.9874456160399353]","[0.47818646880577315, 0.47512986246403]","[0.045567520756035984, 0.01850793902197362]","[0.031762872637591866, 0.010856339240808144]","[0.039415688948665144, 0.013579188592037893]","[0.04785154865064536, 0.05153432461125472]","[0.03892200360996695, 0.007450128513673046]","[0.03971596598452108, 0.009227407363065477]","[0.00728333639235823, 0.006383133222092901]","[0.0007371067127177126, 0.0008840176163169218]","[0.005982285207637926, 0.0031777065729722423]"
0,F1,0.6799999999999999,0.22155555555555556,0.3042222222222222,0.320002422370021,0.5156917948465936,0.33244593854440946,0.29091719576719577,0.4356344523343929,0.9907091605053555,0.4244912280701755,0.050771820705759405,0.02649222781177013,0.015608024386194934,0.021813450010550562,0.04363116332826195,0.0067680086445702095,0.01785352688583635,0.0042548033874796306,0.0007073316421248067,0.0021189003121982607,"[[148, 152], [168, 532]]","[0.4501450919164844, 0.1228489224479121]","[0.5375823504191019, 0.20433059411220905]","[0.5354536367167597, 0.2279751535773759]","[0.5267632000734048, 0.5110163184370304]","[0.5550477515391623, 0.2378215806555651]","[0.5222445591704328, 0.19203533611941284]","[0.4987920464894814, 0.40876361813492856]","[0.9958828854452207, 0.9885023869344401]","[0.42451418326187634, 0.4245423041532467]","[0.05441060677984637, 0.020773787168419895]","[0.035011702760066286, 0.009714371643251764]","[0.03389050828523641, 0.014320597111345989]","[0.03896213785260424, 0.04588304022387476]","[0.032616602651928006, 0.008639843903881827]","[0.03704385580289332, 0.009508592090769236]","[0.007396404533843055, 0.0036248927636680825]","[0.0006834974324793722, 0.0006929517142439859]","[0.005255688046486428, 0.0027617421199760193]"
0,Hostility,0.716,0.05511111111111111,0.21800000000000003,0.2610683832138983,0.5118912165353471,0.2635272916491656,0.19160410052910054,0.407238444100661,0.9882856234760892,0.4704093567251462,0.02458545188611435,0.009120440872071934,0.008683427919834284,0.014973756229645153,0.048763510160713945,0.008896361268077104,0.014614941577667467,0.0048206279058983885,0.0006273048580212182,0.0035553546333572292,"[[131, 169], [115, 585]]","[0.17738190323576025, 0.02813273864859501]","[0.477110218122052, 0.16144649135620126]","[0.48718722418253246, 0.21184993382999245]","[0.5274536953647807, 0.5083080083582063]","[0.5295436233113843, 0.2059954110690719]","[0.4413267820988134, 0.13703003669453423]","[0.4774798417058716, 0.3919271259838996]","[0.9945745173205125, 0.9869182419493339]","[0.4637105793873775, 0.4717913111751405]","[0.024399111324978122, 0.007761382457269354]","[0.022206824244423894, 0.00682775508870387]","[0.034888026213823614, 0.012083817243028226]","[0.03543497008979004, 0.05032047668802829]","[0.0418801373500258, 0.007019354078508539]","[0.03877511510588259, 0.010797835312059434]","[0.012162800951892783, 0.004230934938666222]","[0.0008136316263197739, 0.0006098637129424848]","[0.005583327053947854, 0.0043021878429708]"
0,LSC,0.6900000000000001,0.14322222222222222,0.1915777777777778,0.2677341046371831,0.5138817426190749,0.27215963701356866,0.13571957671957674,0.3936192405514093,0.9857687871558417,0.4730116959064327,0.03126943839882284,0.020829505821243134,0.00950139690834335,0.017152211410368892,0.05028334367052817,0.010547762311202281,0.013146655865122935,0.004023750336893179,0.0006786673627789625,0.0025224276989695635,"[[141, 159], [151, 549]]","[0.39732999622272, 0.07056884746373913]","[0.44714505554313055, 0.11916740753999769]","[0.5042600809102791, 0.20044218894384147]","[0.5348736307754326, 0.5080549008246178]","[0.5372657206214603, 0.19700851311120657]","[0.3137907102737743, 0.08518630020812905]","[0.4518601436851909, 0.3771759891051054]","[0.9925086361016529, 0.9838556002323692]","[0.4756670145399065, 0.4722709543101164]","[0.051585844115258184, 0.01496685757784737]","[0.02594765212145293, 0.003992670703049184]","[0.022758766507631832, 0.010571701040509496]","[0.04465539612865385, 0.050513411672742224]","[0.03746473382474619, 0.006868724292100526]","[0.03423493679355876, 0.009107681706151937]","[0.0058853774730600284, 0.004012266143628983]","[0.0006468319305638771, 0.0006616552365797261]","[0.00587097148057698, 0.0022060550394593583]"
0,N1,0.706,0.1552222222222222,0.2202,0.2746664841641026,0.5160249176863728,0.2810736342593644,0.11005833333333333,0.40449045742718653,0.988536744923362,0.4720643274853801,0.054609726443393056,0.025654932917285087,0.011199867724086616,0.016138143458689646,0.04834368669377267,0.00956380719606262,0.007321148002836487,0.0052169176444788285,0.0005157591032750834,0.004053742040979499,"[[134, 166], [128, 572]]","[0.3991838180527635, 0.0883630577910908]","[0.45565502226678645, 0.15640551254614504]","[0.4956091793966607, 0.2147652609480256]","[0.52800121670243, 0.5131224241547733]","[0.5343087758608287, 0.21274099666983645]","[0.24314057469331307, 0.07386011578059742]","[0.45865257657916336, 0.3898732515376232]","[0.9931469892482504, 0.9872906218047491]","[0.47223617353864134, 0.4719237057408419]","[0.05805059586896687, 0.01834477154371256]","[0.027973916816172156, 0.007338805105000594]","[0.02648792858156999, 0.009667494015562265]","[0.03528698197809223, 0.050259419050885726]","[0.03695116433547084, 0.006062851193793105]","[0.02359353706908886, 0.00800585760419317]","[0.005476264444772121, 0.005222006665374159]","[0.0007752735701198332, 0.0005504350913328294]","[0.0063847272346528134, 0.005234275773675296]"
0,N2,0.6759999999999999,0.13655555555555554,0.1993777777777778,0.2639471716476586,0.5189081996931326,0.26911548500662097,0.13870555555555555,0.37825367354110495,0.9868564652559841,0.47105263157894733,0.05521674464226306,0.023584480261194484,0.01527931080972901,0.016681261520825302,0.04778147109410232,0.006729636031515586,0.010314496273012752,0.003368010672571651,0.0007518319656587061,0.002258181747769935,"[[122, 178], [146, 554]]","[0.3918173414868879, 0.07486246411087598]","[0.44477628434367283, 0.14068993828589904]","[0.49926140553379594, 0.2075803558979025]","[0.5389940338244463, 0.5140993672653018]","[0.5337133375820275, 0.2061267576026607]","[0.32600965580781854, 0.09379887643372875]","[0.43418584926927, 0.36490052006382767]","[0.9928569996310624, 0.9854242914093835]","[0.4730957629628295, 0.4704999953885666]","[0.06953145682841017, 0.01944803543697596]","[0.03239168722131793, 0.01207346418091906]","[0.0280303356960714, 0.012034609852809172]","[0.02704746543490274, 0.05064989677554126]","[0.03444214918912992, 0.008387625919430758]","[0.027184336811357922, 0.007644415340432509]","[0.007799160898715521, 0.003701144591294279]","[0.0007669392393235577, 0.0008839214087015375]","[0.0084171036396078, 0.00346074022476304]"
0,TD_U,0.692,0.21033333333333334,0.2959333333333333,0.3043197761422617,0.44055810277327306,0.32448641569591424,0.28145992063492065,0.43410874350209727,0.9905958252151124,0.468093567251462,0.027808871486152284,0.021621827613670434,0.01371433021418086,0.01567097272509141,0.04606502651719331,0.013671931996604257,0.017161521455556744,0.006114867636355629,0.0010916135813230268,0.0035367307139239626,"[[137, 163], [145, 555]]","[0.46663030011346845, 0.10931248089191978]","[0.5603230669401922, 0.19122472726968914]","[0.5306193460367951, 0.21453611970010233]","[0.43384985287027733, 0.4436571333333167]","[0.5601902002904298, 0.23133548906903872]","[0.5370841548618633, 0.17988597868519884]","[0.4996237461352345, 0.4080583232931684]","[0.9959735433862711, 0.9884771450665495]","[0.4647078658519951, 0.4694946970293648]","[0.04044394070324114, 0.017424395110159353]","[0.0288114721293714, 0.009665561298378483]","[0.030303968598646317, 0.015654397370399475]","[0.037843448669834065, 0.048650074670958145]","[0.03259921279112864, 0.015727524827138264]","[0.04167990687558012, 0.012488713496115975]","[0.008363108491873534, 0.006261472283341447]","[0.0005607874755649667, 0.0013400478634430942]","[0.008116548909022053, 0.003967088146644465]"
0,Uniform,0.688,0.23433333333333334,0.3188888888888889,0.3286551004799948,0.5258486079714537,0.3375451575182903,0.3049867724867725,0.4393127645016846,0.9913378637767443,0.4767602339181286,0.04825856285561029,0.025705144585507895,0.008474281271748232,0.014431989552815647,0.04321162081335555,0.007102399792024537,0.0131874984405906,0.002827022295860519,0.0004640121049526117,0.002617346539680464,"[[142, 158], [154, 546]]","[0.49469268906333036, 0.1266002752656259]","[0.56883547542712, 0.21533534168381582]","[0.5511038288797904, 0.23667511608363512]","[0.5382420921259593, 0.5206451763827273]","[0.5734119070580812, 0.24008553418308512]","[0.5584500928281974, 0.20013039454864767]","[0.5029220063583295, 0.41298966506172563]","[0.9961980099231551, 0.989320993892315]","[0.47880617274262943, 0.4759438937592907]","[0.057006922158116966, 0.023500095685354806]","[0.021217359636386848, 0.00868995393348039]","[0.028275113247936356, 0.010001902498687956]","[0.03278774962322445, 0.04594449331065053]","[0.03439298557350756, 0.009881491500217087]","[0.029334031682170223, 0.011041695638510911]","[0.005209347311713247, 0.0022819278118040597]","[0.0004481493755485162, 0.0005576765892001882]","[0.005061634611475267, 0.004378679313795425]"
0,kDN,0.71,0.1201111111111111,0.15897777777777777,0.24650638565056443,0.5133951625386997,0.252380084459306,0.15367843915343915,0.39970497595491605,0.9868873371512776,0.4713040935672514,0.025385910352879706,0.01887399558097522,0.008153668163884818,0.01501048538085588,0.04909190265959997,0.005195766599419052,0.015721247896666103,0.004958718284032712,0.0007068546837615903,0.0034224879391343594,"[[115, 185], [105, 595]]","[0.3315119867522204, 0.07898524209669373]","[0.3636653700022975, 0.11925138594795512]","[0.46880119254315183, 0.20358416802486637]","[0.5321077395710523, 0.509637847561015]","[0.5114994754676238, 0.20235606074067358]","[0.34832951818131563, 0.11581470876451523]","[0.46167451036752477, 0.38764691583291977]","[0.9929099285205156, 0.9857163790204018]","[0.46966086403641627, 0.47162611728196796]","[0.05940958485655662, 0.015953224268951818]","[0.02793131558724267, 0.007269861260033718]","[0.0371941649286187, 0.012373133074570162]","[0.03634478579409336, 0.0508808661614472]","[0.039935214596653966, 0.006217009059679759]","[0.05465964937193241, 0.013889149299073983]","[0.006157935691440053, 0.00678544399264985]","[0.0008369408751137538, 0.0007869760985273892]","[0.008084749342813627, 0.0032762887538829804]"
