n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.709,0.11266666666666666,0.20242222222222223,0.2351956894185042,0.5141990266379456,0.21128354241855715,0.1831648148148148,0.40647890306776935,0.9874926415591186,0.47301754385964906,0.03900142447541002,0.016222053102450087,0.008264788051508105,0.013807042723909953,0.05266660282670292,0.00906292406631009,0.015715574072230357,0.005018548582497707,0.000995672575380198,0.0030511897889454174,"[[123, 177], [114, 586]]","[0.35919631490134146, 0.07452508009906253]","[0.4898100858970064, 0.15834420453735287]","[0.47282879429540137, 0.19869729540070846]","[0.5269761459500849, 0.5121345784205232]","[0.47547585072473747, 0.1715152350859031]","[0.4784155858506236, 0.1380747224185848]","[0.4871587494530637, 0.39418047594843797]","[0.9952435091226761, 0.9863081977084839]","[0.46748482529191493, 0.47378554635035497]","[0.05151411091307283, 0.015413840649229156]","[0.03754798536629338, 0.010703404241409892]","[0.03532201852919124, 0.012392593203829618]","[0.045236901908533765, 0.05141188138671913]","[0.04175153806774502, 0.008804331392080601]","[0.04287961066968406, 0.012031960804441529]","[0.006962417721590849, 0.0047458460191662395]","[0.0007331495452935325, 0.001056542043177197]","[0.01049590303260849, 0.0031051068440238567]"
0,DCP,0.727,0.1327777777777778,0.21044444444444443,0.20239135174549155,0.5089294811101829,0.24516843530380972,0.19518637566137567,0.41130853564929515,0.9882665685584995,0.47260818713450287,0.03591656999213594,0.014835633520273877,0.011839345253093504,0.015332797176635882,0.04810845244569438,0.006757805830462979,0.014978462319250275,0.005375352535531294,0.00053749499269212,0.0028160996673392757,"[[128, 172], [101, 599]]","[0.3830440893258242, 0.09280082933070906]","[0.48553506506930616, 0.16587624113850336]","[0.38272384985305524, 0.17381432451052703]","[0.5232050693151613, 0.5067628803132342]","[0.5141785177396436, 0.2017117709217624]","[0.4786195433840025, 0.1496152534602627]","[0.4847341400695984, 0.3994347473660065]","[0.9952445411569142, 0.9871354184921449]","[0.475144224554677, 0.4721858449819636]","[0.0553815466474129, 0.014720613043743237]","[0.03060116328299429, 0.010129190225772711]","[0.04521499659033039, 0.01429800201445521]","[0.03969239946521384, 0.04901630550702512]","[0.041721214029110894, 0.0066667445599773055]","[0.040424584980201635, 0.011833374922623993]","[0.00993804905483033, 0.005978822637707718]","[0.0010871363063199334, 0.0006553068830955267]","[0.0063216382690894826, 0.0030700261492406797]"
0,F1,0.6809999999999999,0.22133333333333333,0.30013333333333336,0.3181081909157218,0.5147372957857608,0.32739523605051996,0.2882429894179894,0.43398122841806985,0.9905710158004057,0.42480701754385963,0.04677368680976278,0.02723569835246065,0.015104283134218178,0.017602732380270568,0.04329264814857225,0.008189179105014613,0.015811179400637473,0.00479162865401938,0.0007192071298416267,0.002842369972992585,"[[148, 152], [167, 533]]","[0.4568045824052886, 0.1260281507045361]","[0.5425767208489645, 0.2021415290526889]","[0.5401266051144613, 0.22830310640419493]","[0.5231036523734222, 0.5114547306084296]","[0.5555822079595013, 0.23526488680752616]","[0.5256481269515332, 0.19241078209164836]","[0.4985731180930187, 0.407883778878473]","[0.9959116324198536, 0.9884157481004934]","[0.4246757438344176, 0.4249224551789495]","[0.058221201901108396, 0.020563612865496513]","[0.02728758196176047, 0.010545415793094027]","[0.027173032562150617, 0.012729840563251455]","[0.032459855614945715, 0.04612851709468848]","[0.03419521152672196, 0.011388511930385455]","[0.04646436911039189, 0.010370134936106378]","[0.007277449627288478, 0.004978675880836931]","[0.0005839213595882389, 0.0008775775419894021]","[0.004979660822830656, 0.003996756139914921]"
0,Hostility,0.696,0.05522222222222223,0.22046666666666667,0.2658981334049809,0.5111804423913815,0.2667492612129009,0.19628849206349205,0.40878158973537104,0.9883668010893029,0.4692222222222222,0.0316929715306792,0.008718269923136979,0.010918553696108961,0.016932692427765766,0.04716204055215087,0.010661061468958363,0.015349296179534646,0.0035974534103888163,0.0006603795492405852,0.00326823916589013,"[[133, 167], [137, 563]]","[0.17029099584055432, 0.028161123497708735]","[0.48077450573514524, 0.15912466935696093]","[0.4922393657239382, 0.2123814581877716]","[0.5264480036422469, 0.5074977489784608]","[0.5259515489898768, 0.205445244312867]","[0.4534755702720015, 0.13564530858741145]","[0.4816178308144551, 0.39162390319281826]","[0.9949750813462739, 0.9868094478166416]","[0.4632830279644263, 0.47062904437556285]","[0.02899820179780488, 0.007274025439352162]","[0.03988774405562148, 0.006275813503417847]","[0.034965062536814646, 0.010540465960915927]","[0.03618741341209566, 0.04858471096539825]","[0.04275398848934428, 0.007343434758843174]","[0.056575869832205535, 0.013486445113176558]","[0.006140198578034136, 0.00400685114890276]","[0.0008653792540737823, 0.0007185447725077258]","[0.009733548039816261, 0.0031815381534907733]"
0,LSC,0.709,0.1418888888888889,0.18802222222222223,0.26977957123268886,0.5159881583042574,0.2745926220683183,0.12985436507936507,0.3928040932696448,0.9859830392386701,0.47257309941520464,0.03665151201974255,0.016769640737955886,0.008076757963712265,0.01683188364044439,0.04966497054949138,0.011075124906759312,0.009583448312911353,0.0028407135367910195,0.0007214088800100787,0.0030295433125804186,"[[138, 162], [129, 571]]","[0.38393155694539205, 0.07194259064493753]","[0.4346816622665603, 0.11691514741005507]","[0.5037486185859634, 0.20218835527485188]","[0.5406676992384403, 0.508635001305922]","[0.5337272718634187, 0.1997991261774395]","[0.2933067987431371, 0.08247038100984427]","[0.45057281896750434, 0.3761366682887487]","[0.9925613336701741, 0.9840875533234804]","[0.4765145935759831, 0.4713799515353233]","[0.03822512066675392, 0.014394718211690196]","[0.023888809626184816, 0.004448126532984052]","[0.02934200407012227, 0.011783112035993646]","[0.042114175088163404, 0.0503626999455364]","[0.03765699861075714, 0.0069218457141019055]","[0.029322458732241465, 0.005962983157123832]","[0.005099952451606215, 0.002334851735770345]","[0.0007252446603947621, 0.0007090861157770972]","[0.008698542218048354, 0.004816918959750263]"
0,N1,0.673,0.14266666666666666,0.21324444444444443,0.2681195036657365,0.5151962271555796,0.2755994494703815,0.10308743386243387,0.40214688246496133,0.9882726001750713,0.47260818713450287,0.040838435055444745,0.014927350359381085,0.0047467554437529615,0.016244072457718035,0.04831371457917773,0.008014186512227824,0.0066040678135594515,0.004072731901231859,0.0007655073399216283,0.002108004856852812,"[[129, 171], [156, 544]]","[0.3811628805216186, 0.07998167228614808]","[0.44429815009570095, 0.1524260928528048]","[0.49008741516474047, 0.20951255825072296]","[0.5297005113379272, 0.5111496905431061]","[0.5264281796134479, 0.2092557825940716]","[0.22523225073608955, 0.07049473525652622]","[0.4554215873436549, 0.3880682123106312]","[0.9930443242386404, 0.9870203717531487]","[0.47332505794857943, 0.4723901232418288]","[0.03269397805500178, 0.016831841875185962]","[0.016870764860528912, 0.006483694038220808]","[0.024389121769493184, 0.01362004629204808]","[0.031113036097576128, 0.05127495393149023]","[0.04014561885792176, 0.007763613951162673]","[0.0252064627027688, 0.0072734147835228245]","[0.007315713464466739, 0.003903533253884869]","[0.0006057077980004433, 0.0009273299597375757]","[0.009021206163646742, 0.002424892893654194]"
0,N2,0.7150000000000001,0.13255555555555557,0.19971111111111112,0.2609234921823648,0.51565989449386,0.26803704193449074,0.13867433862433862,0.3784187018753481,0.9869382108984122,0.47189473684210526,0.057975090436420317,0.017755000841162594,0.011926178971320495,0.019566232340813592,0.05144636068000815,0.009327508111017343,0.010331957187493896,0.0028831958817206673,0.0008711771932893792,0.0018309479866898857,"[[142, 158], [127, 573]]","[0.391568789040893, 0.0704966718641888]","[0.4569078948282873, 0.13781074757650996]","[0.49569763258488136, 0.20444227031910644]","[0.5333210976445002, 0.5114987058202699]","[0.5361692984854568, 0.20347209121414442]","[0.34172879407888773, 0.08976930704876691]","[0.43738022708558466, 0.3641858762521553]","[0.9933398148234751, 0.985391220538836]","[0.4753400245789578, 0.47104940227879677]","[0.05205845121756245, 0.013363169624060018]","[0.025570504917462135, 0.008414206263609432]","[0.03448652987641146, 0.014313186607310766]","[0.04004036241162929, 0.05252420580524575]","[0.034329961304604334, 0.007486370755762257]","[0.02716091813000511, 0.007140528807887774]","[0.00644264628129488, 0.0030731030150007357]","[0.0006266805137842555, 0.0010240341053613551]","[0.007816794965616219, 0.002642490759184876]"
0,TD_U,0.6980000000000001,0.21455555555555555,0.3050666666666667,0.309403004579803,0.44327279002244174,0.32689664136379165,0.28432658730158733,0.4340853861577865,0.9905169978638162,0.46954970760233916,0.028596814119369596,0.03434054421060306,0.014456708943272938,0.02277576732040896,0.043989417384268065,0.013192965438766378,0.01169300422187289,0.008114464100522958,0.0010442225365073629,0.003188794269491941,"[[143, 157], [145, 555]]","[0.46791169779855774, 0.11031147726380482]","[0.5609317411734782, 0.20034614797173958]","[0.5330199469281947, 0.21734350313659984]","[0.438822607610985, 0.4460740752113315]","[0.5656985667486035, 0.22956859880871155]","[0.5392335632379738, 0.180132554992262]","[0.49855210614159856, 0.4077839045763393]","[0.9959316810262449, 0.9883311987202721]","[0.47106482356940677, 0.4690722078701959]","[0.04896587619373604, 0.02570264366951151]","[0.017657418459482127, 0.009729160876183293]","[0.03797323137247223, 0.013899059695078987]","[0.037326656994259744, 0.047028024985835644]","[0.03378192179757013, 0.012395513371779084]","[0.029950786156070802, 0.010436699661280384]","[0.005650863283797006, 0.007726198699978632]","[0.00039954694412622157, 0.0011379980818593354]","[0.0038333901711182393, 0.004024508655081528]"
0,Uniform,0.671,0.2431111111111111,0.3191777777777778,0.3313242288618946,0.525516642641462,0.3385820472949124,0.30670251322751324,0.44038996004971,0.9915689932223936,0.47525146198830404,0.047714428286071565,0.03059447577380269,0.012600019596300641,0.015225712987789571,0.047301824468259944,0.010522654073421758,0.015536189945214144,0.005353072959735579,0.0005773867173619868,0.002504217115075718,"[[149, 151], [178, 522]]","[0.5183868568315002, 0.12404118922125018]","[0.5651927723290595, 0.21290850937013964]","[0.5522571319889007, 0.23599405191592432]","[0.541851902977234, 0.5187306276257224]","[0.5729195583456341, 0.2379130682185311]","[0.557957631950602, 0.1982953223049265]","[0.5032762984674334, 0.41323665039172564]","[0.9962401031271402, 0.9895581345456126]","[0.477375279622564, 0.47445138124777736]","[0.04420283517340138, 0.02619449196587765]","[0.019557467496415695, 0.01148803096247044]","[0.021994804762310693, 0.010216123514087173]","[0.04054187787194537, 0.048631908845581356]","[0.03472738564567342, 0.007511893624151265]","[0.03137172851412448, 0.008354965459348607]","[0.005212084010481556, 0.0059505220982431495]","[0.0004156435945572714, 0.0006990792501879013]","[0.0072961706096406126, 0.0026183311161294778]"
0,kDN,0.727,0.11355555555555555,0.15664444444444445,0.24374887857244776,0.514267999860763,0.24794091338460228,0.15369034391534392,0.3987228322558862,0.9867376690051083,0.47052046783625734,0.027908580918579312,0.009410614792982068,0.007056464411182329,0.013674528331942909,0.04730338230824257,0.010569800355971942,0.009004563895552284,0.004771526649006358,0.000495872722424558,0.0030586838993116594,"[[124, 176], [97, 603]]","[0.345885307522101, 0.06889410681783836]","[0.3540801590073378, 0.11867583313523178]","[0.46862199827240836, 0.20050733182820601]","[0.5323767691279592, 0.510912603665763]","[0.5092019347583083, 0.197562987882141]","[0.36060257972333565, 0.1138413916138046]","[0.4602179791359181, 0.38690890719008436]","[0.992578695509947, 0.9856118315132651]","[0.4689928755099613, 0.470817385430273]","[0.02283450685036303, 0.009608853591515304]","[0.019578976415541318, 0.0064002196741332505]","[0.02991804206673062, 0.0107887899867919]","[0.03532582483810595, 0.049185872473495235]","[0.04315647013398582, 0.007268332709343504]","[0.03989115127657455, 0.006339948750696963]","[0.006945120903610308, 0.0040635898167941]","[0.0010251447138769517, 0.000454800411428659]","[0.009100438182584205, 0.002798093163852804]"
