n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.7277989983872337,0.039394613490108844,0.12324949021477187,0.1563586272637143,0.48393879088508,0.1611898143911566,0.11344771942833434,0.3935567682814902,0.9599888456583544,0.8556721882365403,0.039673410365958124,0.01243805342589334,0.01740298783974476,0.021240389195163814,0.07695476818049042,0.006585190404058857,0.018749308819060097,0.007109383682769053,0.006911291080372796,0.0037851600269791673,"[[424, 76], [133, 135]]","[0.026535078887533776, 0.16564102564102565]","[0.09895241699360693, 0.36140952380952374]","[0.14019303356492357, 0.31751553211259587]","[0.4779833369298137, 0.5420997795567931]","[0.14463120405981936, 0.32347537244658897]","[0.09254299151050183, 0.3224847374847375]","[0.38629291155046636, 0.46579563459077455]","[0.956985404211439, 0.9898124085996931]","[0.8557502778452614, 0.8567600732600733]","[0.012845184504144217, 0.06689526880746607]","[0.014609588448631399, 0.037669545371905915]","[0.016895187156389015, 0.041768990100258044]","[0.06972212213682957, 0.08582272147725085]","[0.004095267998361655, 0.012593993615941957]","[0.015631686814182883, 0.061176723427853234]","[0.006745779671544225, 0.0043250514899134205]","[0.006642552830941644, 0.0008036772680249463]","[0.005079468104187969, 0.02053210305105456]"
0,DCP,0.722663610898905,0.07129472206774186,0.1584706972802627,0.1270091762515697,0.5033340641229266,0.2033158877048352,0.16670827043775321,0.41052664658975324,0.9688191119368843,0.8555876433357167,0.02219614074566494,0.015178405302425096,0.028303894069464364,0.022050957983387156,0.07405947256656625,0.01168939189617896,0.025755731521955847,0.011066761804891771,0.0061919433308777385,0.008336074718576824,"[[407, 93], [120, 148]]","[0.05213546553056754, 0.2206929926442122]","[0.12827945877750443, 0.39168537875854953]","[0.11017524117959834, 0.2545301947230828]","[0.4991421975542183, 0.5452602627459155]","[0.18139863066206707, 0.37255908756879413]","[0.14248893368096577, 0.3459418957284811]","[0.4016271433817842, 0.478543837390389]","[0.9659155055308755, 0.9916019397855671]","[0.8560730844790422, 0.8543795973674022]","[0.018237549257957585, 0.06896599267765106]","[0.029656464324349204, 0.0325263012573891]","[0.02098626280517547, 0.043717432599983334]","[0.0659259220616072, 0.08890347332949425]","[0.012194823658445209, 0.03063053708284525]","[0.027947219266632944, 0.07041819844692958]","[0.011297111751423183, 0.010483823824494363]","[0.006021963190269251, 0.0016126966542905864]","[0.00718394599488266, 0.027031817720304288]"
0,F1,0.6783210253798488,0.21324170440401474,0.3438202378114987,0.3148722649675846,0.5444010285696619,0.345811871942498,0.32784549314548517,0.45609978989906974,0.9837947720890561,0.7447533831201504,0.04820710282180805,0.045129559480024804,0.011897498035435742,0.03796900517612768,0.06871376667700584,0.006858948123025066,0.015755866170467623,0.00605259223469978,0.0015253880325732663,0.007770368138899996,"[[368, 132], [115, 153]]","[0.12189934447155604, 0.37597268647377735]","[0.24090368506982235, 0.5263896908024208]","[0.24183000886814843, 0.4452356142134314]","[0.5180644744416639, 0.5903502147155469]","[0.25283946266008567, 0.5099037526961726]","[0.24587593678250125, 0.47245853887652933]","[0.4302730225576596, 0.5018871901466856]","[0.9779338497157488, 0.994217981611912]","[0.7476592167508567, 0.739390596358546]","[0.037767556883508364, 0.057080752126414155]","[0.006367503305494022, 0.01620009739905946]","[0.025438154283230652, 0.054454428343630575]","[0.06254771022407006, 0.06612862689067087]","[0.015326918663957181, 0.011076127993256376]","[0.013060679161467931, 0.020394248863513494]","[0.004208983159914524, 0.0048445178492033955]","[0.0015489650384745307, 0.0005774914959623607]","[0.009074770282049326, 0.0061447345487952755]"
0,Hostility,0.7291571173924115,0.01855247477556209,0.16517454516564709,0.21325270271428548,0.49503497784273004,0.22180200202785771,0.14778378927111746,0.4034327020507499,0.9665212705583995,0.8584787214321654,0.029370927255139567,0.005583645484651982,0.030009492433036158,0.04313342445937748,0.06025334221144735,0.031720119585404875,0.01643627754498514,0.010101947069781117,0.007936274395267166,0.008825535897541129,"[[427, 73], [135, 133]]","[0.011835180180284751, 0.042648732648732646]","[0.11260013347570075, 0.34671522921522924]","[0.1754412028477845, 0.34454155580995943]","[0.4843104585784883, 0.5328116491860836]","[0.1908305440617643, 0.32892170510000346]","[0.10931146475082539, 0.2874059942809943]","[0.38712751971495285, 0.45910133119389984]","[0.9600119268872263, 0.9895926727093635]","[0.863705745404952, 0.8360939600002102]","[0.0013390683663025032, 0.0246558643267496]","[0.01595069269446015, 0.02874091807932904]","[0.03394286086576812, 0.026848419705905093]","[0.05361135227117696, 0.06442936774167389]","[0.0227450775422477, 0.019497127245977585]","[0.013631968827339499, 0.05477394388994173]","[0.0072835861939861855, 0.0064535661700160065]","[0.007415196854124098, 0.0008354610629862265]","[0.014265616353687545, 0.024596132205411427]"
0,LSC,0.6913844325609031,0.0693360874976828,0.1210942506819205,0.20321428589684612,0.5057877717520018,0.22518898256548994,0.08708251900108577,0.39119281040095644,0.9593999728883791,0.8683668997113424,0.02533285035900047,0.014854898696095208,0.006573717935268099,0.027422411152451642,0.07300087116026278,0.01068257753231282,0.010393451339836551,0.006865226383394773,0.005983576765582272,0.00858927654285424,"[[394, 106], [131, 137]]","[0.03489349956950112, 0.19647226450377617]","[0.07362082453710007, 0.29547021977303006]","[0.1645787836244173, 0.34469177010752394]","[0.4916848108808594, 0.5560167332240914]","[0.18010728227124911, 0.38964641316199244]","[0.05816408073069688, 0.19398090459226097]","[0.3775734110871606, 0.4409566111718254]","[0.9525326192291772, 0.9841440690085956]","[0.8744320596888681, 0.8462023433586825]","[0.009428043264088075, 0.04759269710427211]","[0.0033613852925831423, 0.04067370455799573]","[0.020764699936527287, 0.04876721779704067]","[0.06513954694772424, 0.07848470147689839]","[0.007564124574236336, 0.025440530087384203]","[0.009044749558446216, 0.05256787290211338]","[0.005859729541911497, 0.011049872087609642]","[0.006697735337489652, 0.002789638883622099]","[0.008652068009255616, 0.01211450865075716]"
0,N1,0.7304133774722009,0.07421625486613173,0.17675930192526682,0.23165278395427924,0.5233570943518181,0.2517185070147069,0.029010283979061285,0.4037105571171127,0.9725324931858761,0.8583167818648871,0.03330563668584081,0.010240518661080068,0.010239894336356106,0.022540931365803773,0.07275476402429733,0.008523194366336558,0.004877345930281563,0.004090043306216043,0.0031848238612894536,0.006253451613270987,"[[413, 87], [120, 148]]","[0.0389698753009801, 0.18356889538221957]","[0.12282575817971222, 0.34057772093558336]","[0.18865652446210798, 0.36289959976130837]","[0.5104375076244793, 0.5637974763323911]","[0.20720580982930614, 0.3877362839838795]","[0.014855825481656362, 0.07133454566120649]","[0.38939486359000164, 0.4474502054538263]","[0.9674387674826036, 0.9882269869118521]","[0.8604016313025948, 0.8521072709078504]","[0.007626319964013866, 0.03962317592932611]","[0.005886434743472273, 0.027848816965844615]","[0.01932713116752905, 0.0236735215529237]","[0.06486060074439957, 0.06910630044042093]","[0.005876406705806078, 0.016139306923381516]","[0.0013020473133894676, 0.013756178298419868]","[0.003676341828760437, 0.003109617746243751]","[0.0033741920852365546, 0.0006231013754982585]","[0.008469378863199019, 0.006823217818800988]"
0,N2,0.7135047958577371,0.049480151479039225,0.12207695770768782,0.19718837143177959,0.5043772280073974,0.2166062765967304,0.07478646398841839,0.36686681013351496,0.961241997577417,0.8468834909033129,0.020156018073723955,0.01678988147838325,0.010493727320746268,0.01849036421624487,0.06455179789352294,0.008739047646080604,0.014741813317903538,0.005040634381527627,0.006190076097548433,0.010099381720900347,"[[411, 89], [131, 137]]","[0.0274800287753579, 0.15580249938740504]","[0.08808571901492332, 0.2866591930082496]","[0.16389923369324783, 0.35730437052838565]","[0.4903333490903985, 0.5717757158279594]","[0.18118120816298472, 0.3876419734509274]","[0.05540934813883772, 0.16860864938695125]","[0.3576227005437285, 0.41137744456778347]","[0.956126805867758, 0.9857666630471064]","[0.8532699501636174, 0.8160372338615265]","[0.010611031672895968, 0.0388178266904574]","[0.007747679324766806, 0.031504832059874296]","[0.015462800428617638, 0.026553319098381392]","[0.05584755794676165, 0.08145125051081056]","[0.009044755110076274, 0.016881881557772795]","[0.012248511770517324, 0.02196340524564445]","[0.0043038761820131605, 0.008040209507620095]","[0.006505414161929862, 0.0018053119438734063]","[0.008929991202442363, 0.02059435291560486]"
0,TD_U,0.7030218147865207,0.1259940149890098,0.23433754402690607,0.23427076675544814,0.4138165340144039,0.2638675516255006,0.21083986123248852,0.42229483745228025,0.9713782113703552,0.8398769232806333,0.06606749450036156,0.04089897850469545,0.04420779989302419,0.04052752764576782,0.06212300738135877,0.030410948397011826,0.04729463920330444,0.01666297995042739,0.008941517748700863,0.011895623545310317,"[[399, 101], [127, 141]]","[0.08200346151052292, 0.2554666554088472]","[0.16191573640756304, 0.4326693604681061]","[0.17697962406019857, 0.39482899732968624]","[0.39530164603043294, 0.4766601883472596]","[0.2109137123278671, 0.41436790480577007]","[0.1415718759859308, 0.39210490611744225]","[0.40150525233954826, 0.47999715053896874]","[0.9644600350881953, 0.9918824665856928]","[0.8378153124204605, 0.8451080086603534]","[0.024055303991830826, 0.07477967602930809]","[0.019857658370625225, 0.05455253100225106]","[0.03418980517994965, 0.07017678331071882]","[0.049790108750995855, 0.07748971968121707]","[0.016964011819580443, 0.03637781550029313]","[0.016383927186907905, 0.06675056665706622]","[0.010150165098175004, 0.01148710571669937]","[0.007949487703418842, 0.0015281585557636434]","[0.011707414166872087, 0.009019473428520818]"
0,Uniform,0.6718614718614718,0.21354201424750405,0.3220084213871455,0.29778604993416097,0.5516919754560832,0.3343681672995548,0.3142234668926494,0.4554803337507464,0.9819163528872548,0.858522284897116,0.004742186645066401,0.013745602047813242,0.011879192005396924,0.025427789617151194,0.07024407865483788,0.005229437696472128,0.022454177719485522,0.005630389153912112,0.0031663450697201646,0.003269393076749755,"[[371, 129], [123, 145]]","[0.12506690329874948, 0.38273942130142324]","[0.21936746733177742, 0.5191303529426674]","[0.22302691488775564, 0.4415195804719117]","[0.5283494556709788, 0.5963691077340576]","[0.254133680928477, 0.4887035584524094]","[0.22763287911137392, 0.4804879939985688]","[0.43061279199371916, 0.5035655722795565]","[0.9755924715608172, 0.9941035312739295]","[0.8626241498056044, 0.8504308896611672]","[0.02050285079363592, 0.034847149573645604]","[0.013785052168852814, 0.018974889739483677]","[0.02143857646458873, 0.03451897568302361]","[0.06482655018405782, 0.0614676099424266]","[0.008114515654534745, 0.01174030939715732]","[0.021997225650176002, 0.033408810761306806]","[0.0044277441556224125, 0.006961951409641325]","[0.003933021899143177, 0.0009403172397283526]","[0.003399037322339581, 0.011878422240736318]"
0,kDN,0.7043799337916985,0.03483170466883822,0.07760716082730859,0.18505026015727705,0.5015055665915796,0.20204710970838988,0.08425182948897894,0.39107726827538536,0.9627455672207013,0.8631152511850851,0.030598288098390325,0.013456129155670116,0.01031648873578515,0.030396517749898096,0.07264439344315625,0.012780956710329762,0.014807654706581243,0.004790139567091507,0.004359363295958186,0.007221282718653102,"[[409, 91], [136, 132]]","[0.025522201488761213, 0.08352880377313485]","[0.05528618892262244, 0.2006831855036056]","[0.15902774168611916, 0.32688788690125314]","[0.49236902071435845, 0.5472807236351844]","[0.17544079336155735, 0.3459123136972657]","[0.06521761814842829, 0.18881242747027013]","[0.3829318015717419, 0.4358475448972511]","[0.958968420493496, 0.9832508312883412]","[0.8676812899667714, 0.8390790116399665]","[0.007307537910268044, 0.03635558066134951]","[0.007182399338421368, 0.039570691441342114]","[0.021950979156398858, 0.050277436214903874]","[0.06253326284056725, 0.09354003509902334]","[0.006901386654561387, 0.03456075953185387]","[0.010407655325449969, 0.04024622745271212]","[0.004712884072674297, 0.009609172759722093]","[0.00446489588694291, 0.0022086440750440726]","[0.010369074455672487, 0.013593385575808952]"
