n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.730434039644566,0.0828996679019265,0.19193018411784882,0.19743981391468954,0.5143531079084573,0.21043118621242612,0.17963322821076935,0.41803958981871886,0.9739646008763605,0.8603680004266246,0.054322436564287827,0.020019593158664528,0.0161827128753375,0.03645981409267302,0.07491692699307312,0.007545566342996229,0.014393407764534974,0.004493257465417637,0.0029522324020409226,0.005729580116999147,"[[413, 87], [120, 148]]","[0.06114563360541646, 0.17177662313769848]","[0.1447980251863593, 0.3831279477013415]","[0.1671248324700002, 0.32000044669467653]","[0.5082469703670491, 0.5393102322881467]","[0.17704922548140703, 0.34636238904783545]","[0.13937934602787044, 0.34327663533165975]","[0.4039181990029923, 0.4752469231311573]","[0.9694971754224617, 0.9920123873892305]","[0.857923420765655, 0.8698895805806017]","[0.016961284222770396, 0.037595200033009035]","[0.012392524096928741, 0.026058891132665553]","[0.03079538763022684, 0.046888470387790315]","[0.07260994506258173, 0.06703183728481817]","[0.006849683421316893, 0.013539758878084899]","[0.009314209226086086, 0.03573746018882887]","[0.004778556493340578, 0.0040368911089719165]","[0.0035656769338062093, 0.0006359820245948556]","[0.006906499689415989, 0.01039136547127092]"
0,DCP,0.7252904989747095,0.1067697397589152,0.2224551834904595,0.1716090718986857,0.5134618093749376,0.24968550408369272,0.21533066553457753,0.4303274271243698,0.9782523556248309,0.8567875680717398,0.04564531285228835,0.017620549552784734,0.008990401675782503,0.03110654941947291,0.07679186179067767,0.005996223017605552,0.010134562536616105,0.0025415836733114474,0.002335905490958587,0.005330039560678045,"[[408, 92], [119, 149]]","[0.07571444987656095, 0.2057174560483282]","[0.1666147483308202, 0.39715752107940455]","[0.14658848791935045, 0.25070875639022294]","[0.509484435976663, 0.5256281847844446]","[0.2076689203867294, 0.38041434776865113]","[0.16775616679432495, 0.3635203988098389]","[0.4147886947175353, 0.4788730105587867]","[0.9737474347697883, 0.9923390214407846]","[0.8578020175422563, 0.8534637741966634]","[0.017654694812053194, 0.04711743074816094]","[0.012338837554168548, 0.030530595964324714]","[0.029031952644008475, 0.04959657293230919]","[0.07526100265789142, 0.06739247417581215]","[0.007627539315227534, 0.02609322207880413]","[0.015758691586679512, 0.03305367348510249]","[0.004081254798982227, 0.00846893866227552]","[0.0025966210916875797, 0.001187769877325234]","[0.005395510311430851, 0.008566123041425877]"
0,F1,0.6718899521531101,0.2113758229256418,0.3258442987042319,0.2966030233629235,0.5377495476299138,0.33465398455723605,0.3029112746041173,0.4523871569869322,0.9845904818716779,0.7830577961486662,0.031667671580737286,0.024210392188432545,0.015068006516803624,0.03840320549934249,0.07311469276224236,0.006574456909373688,0.016938606597235825,0.00580731441658697,0.0010557124766041523,0.00489171345655787,"[[368, 132], [120, 148]]","[0.1286598092347954, 0.3599124125126619]","[0.2334204966073187, 0.49199822481867106]","[0.22540909095327072, 0.4245905887416603]","[0.5215514081411594, 0.566795297284474]","[0.24612451648155323, 0.49378063749634593]","[0.2227177352219464, 0.446998259510731]","[0.4269511613600347, 0.4981297440165043]","[0.9793209424118914, 0.9940480699340494]","[0.7843276346550145, 0.7808601808540093]","[0.02478097270478624, 0.046204851311391466]","[0.012574055982116231, 0.017906745459276025]","[0.02226454213314539, 0.06323039286694572]","[0.07007159346421445, 0.07060726994260384]","[0.004965212830384425, 0.018196628974956903]","[0.011928796799396695, 0.027990529129907404]","[0.005443721289678591, 0.007980748980819465]","[0.001503149094355137, 0.0007699999188471458]","[0.008721628783049886, 0.006842863119013333]"
0,Hostility,0.7264866712235134,0.041811942146340646,0.20266606994972522,0.2204589037668924,0.5162885148293771,0.248156692699871,0.18319042102005137,0.4230071308606722,0.9758652981912835,0.85845367880177,0.05256046579644714,0.008750532680361573,0.017172288979305086,0.0374896145057788,0.07282826824509221,0.01499466456543498,0.01893392002063705,0.006443673817582951,0.004023662208098324,0.0069209804555892115,"[[414, 86], [124, 144]]","[0.026455687702851137, 0.08649314659977742]","[0.14569098426642363, 0.3732954540945851]","[0.1835031597537804, 0.33025237822578557]","[0.5111550517525593, 0.5324816128061934]","[0.20640180972936512, 0.3735980261080526]","[0.13877604994989512, 0.31789582687081797]","[0.4075547157721443, 0.4696024316586058]","[0.9706600452208789, 0.9915831823663629]","[0.8581871638898952, 0.8589079412394914]","[0.0073817800151750055, 0.026249844579767024]","[0.011169490780299038, 0.02486385037605726]","[0.02816549842921067, 0.047878860902945436]","[0.0694309282407519, 0.07065374428457608]","[0.010303716774282668, 0.01606730992752729]","[0.018691189090056116, 0.03208652132990434]","[0.006911906249211484, 0.003478308517699711]","[0.0046165263762447005, 0.001054835772220378]","[0.00783403034730496, 0.011616526435963531]"
0,LSC,0.7136192754613807,0.10185372627422769,0.1825823762160896,0.22762129629082492,0.5199164038106892,0.26024152876648643,0.1286008207646342,0.40883659526715765,0.9711853371937366,0.864077518131551,0.04811874523353715,0.010302140795323218,0.010564464953165868,0.03266711404896192,0.074318929981061,0.006370743888585211,0.011669049800153826,0.004520117173121787,0.0027569256626113945,0.005957877680049528,"[[386, 114], [106, 162]]","[0.054983595593627, 0.22741521772760803]","[0.11598701292933533, 0.36087646960053316]","[0.17914524325329384, 0.35741605661404663]","[0.5081510168058361, 0.5513710632328144]","[0.20204679439851475, 0.4161799236277749]","[0.08527934944035337, 0.24431047817162638]","[0.3907729339708758, 0.45717097334108264]","[0.9644214166945957, 0.9892601534096037]","[0.8683532770035111, 0.8527417711270437]","[0.009063920028058944, 0.027110049930921486]","[0.009927336863781812, 0.018230270665589667]","[0.026526046530741233, 0.04390019078482161]","[0.07157431946074312, 0.06864365022211542]","[0.005701700184425219, 0.011422576318943185]","[0.0133688417458053, 0.027165246968385456]","[0.004901448785345801, 0.007120327121631273]","[0.003654470774507934, 0.0007238756145144815]","[0.007955299838276994, 0.008969861801107764]"
0,N1,0.7225563909774436,0.11588403336038078,0.21394891377997874,0.24104734519494309,0.5231125233578486,0.27606579933022174,0.10491506891522995,0.41796489183137736,0.9774922184825214,0.8569877836845319,0.06376941197645235,0.017745307827252838,0.012275363418815972,0.031817709166910374,0.07517085046328258,0.00812275761796536,0.006905669427745065,0.00376750424155544,0.0027766444755487063,0.005629700622639132,"[[414, 86], [127, 141]]","[0.08009441474031367, 0.209236039685533]","[0.1535181794009828, 0.37071549210682875]","[0.19439210898344605, 0.36205719949446097]","[0.5114912323657232, 0.5532529085960134]","[0.22333020681735935, 0.4132000996004074]","[0.07297195912774804, 0.18799736382162838]","[0.4019767467825197, 0.4596848306917476]","[0.9723812491306318, 0.9907713767461429]","[0.861329097955716, 0.8454722301516835]","[0.020920977181090525, 0.016018322583891784]","[0.009933662087812253, 0.01991691714337102]","[0.023514121217059224, 0.044448850408960384]","[0.07260874182817684, 0.06871936442876718]","[0.007397808145985791, 0.01585701384894026]","[0.006959442565999624, 0.014515364560628598]","[0.004261849226890072, 0.0038016056761923096]","[0.0036587782977873045, 0.000797300736283539]","[0.005250068058064913, 0.01130091674311419]"
0,N2,0.7187457279562544,0.09331453953807416,0.19042311134905432,0.22557000624532803,0.5198305024985236,0.25818390755540555,0.13510550248306746,0.39802868408933195,0.9729390213631902,0.8542747693298646,0.05977369083228413,0.014719599798335547,0.011630777363309386,0.03849418308519,0.07539700788176432,0.007889822720434383,0.013524188538714142,0.004333396964170492,0.0028273434920403446,0.0046070744051348944,"[[394, 106], [110, 158]]","[0.059429167137217354, 0.19572649522548097]","[0.1339558861286223, 0.3614113504976549]","[0.18133758629845878, 0.3594867014177109]","[0.5101963538527496, 0.5485213062777106]","[0.20529292909368166, 0.41810515908292356]","[0.09451056617427041, 0.25817911894239726]","[0.38250949924294536, 0.44482745550326463]","[0.9673073258982692, 0.9898923016087944]","[0.8571378748403287, 0.8454105772613338]","[0.01784509230481314, 0.03133036711150404]","[0.010960481963332325, 0.029035172771567128]","[0.02899696268770847, 0.06491172847720932]","[0.07222099499417824, 0.07038061137819643]","[0.00855245842536481, 0.016669196494898963]","[0.01408212405839496, 0.02795206347575057]","[0.004203142141429107, 0.006927813499711649]","[0.003548225906833025, 0.001179560480526123]","[0.005304685625049103, 0.01202719067622485]"
0,TD_U,0.7018113465481887,0.15320805065959528,0.27227997456982006,0.25150687518170234,0.45549623220749746,0.3011296867603181,0.24788261685474403,0.4375838429224051,0.9788346731851438,0.852030571635311,0.04993854889149231,0.01882470908898826,0.013210080733191663,0.0461688992441091,0.06424172552791044,0.01033874873493788,0.018137170947423127,0.006748508811811005,0.0034786751008659975,0.006292379419032343,"[[390, 110], [119, 149]]","[0.09895807720988137, 0.26990601872988396]","[0.18589539100369404, 0.45878461025912554]","[0.19307161673090464, 0.3763987802490093]","[0.44039620398629375, 0.48758767132933156]","[0.23765640664644483, 0.43723004336208626]","[0.16904892778407402, 0.41889926859749405]","[0.41335505156067154, 0.48992465473258856]","[0.9720510214977038, 0.9933616612820524]","[0.8531189390859929, 0.850022039335933]","[0.02041843332588125, 0.03140044026638246]","[0.01566508125284478, 0.02132351146392478]","[0.038452172899275244, 0.0567368689501808]","[0.056462307884441496, 0.07109739939626128]","[0.010708353120712794, 0.018446218103931544]","[0.01737767846248462, 0.03764222831302566]","[0.008337607263641545, 0.006736679986780541]","[0.0049651597938023175, 0.0005311035374871506]","[0.007501106448564705, 0.008649990270636471]"
0,Uniform,0.6888243335611757,0.20370661602937856,0.31843432906987446,0.2944329280214907,0.5455149547089267,0.334177553776352,0.3096043857300999,0.4549348083784232,0.9835241434475576,0.8591581585705562,0.049009410171547134,0.02225725804476733,0.01781379091383912,0.037501020333799755,0.0736194848890099,0.015558512066064364,0.0232754630389297,0.005126400515041778,0.0015415836554534333,0.005510462730676383,"[[390, 110], [129, 139]]","[0.12213219578031001, 0.3557676443516426]","[0.22031156255462475, 0.500866156083819]","[0.2247003057368217, 0.42391960610743934]","[0.5320751866135899, 0.5703608582093601]","[0.25730717160818234, 0.477100845740057]","[0.22331354607417792, 0.470465102416793]","[0.4309605052077251, 0.4996064105280493]","[0.977823892822161, 0.9941364239302265]","[0.8619139888719964, 0.853832586048509]","[0.021932253389377574, 0.040907276839614155]","[0.015033043483094607, 0.024011843907345145]","[0.026038359262544816, 0.05291794688406256]","[0.07302394850108103, 0.06514099286256456]","[0.012632407711739835, 0.021539165279498916]","[0.023113634168692002, 0.035071020672747324]","[0.006522205748884038, 0.007078945332237421]","[0.0018674911802612213, 0.0007252154490141524]","[0.007706451076101699, 0.009973926343157592]"
0,kDN,0.7304853041695147,0.07262846841722226,0.14887262324017297,0.20822464356844678,0.5192793511914241,0.23979517818077004,0.14723914546787903,0.4123406003287665,0.9728719916601722,0.8593558123436755,0.04234595492760628,0.014246778791061482,0.006741521674512089,0.03182570559030085,0.07408423685407832,0.008131475448390817,0.006359155420922575,0.002701141580547648,0.0028777407590030945,0.006492475965247306,"[[416, 84], [123, 145]]","[0.049142250610722214, 0.15418282417291734]","[0.10895451220740808, 0.28614223154540464]","[0.17376237970722996, 0.3263344403812455]","[0.5113934269623222, 0.5460986226512106]","[0.19975474672407295, 0.37759197944345624]","[0.11462946343621701, 0.2579979472321524]","[0.3997941519201075, 0.4556091109868918]","[0.9680901134868358, 0.9894304451437768]","[0.8624832333708413, 0.8484202664990989]","[0.012960992080295433, 0.030650678083778034]","[0.005911740111667597, 0.020553538143415827]","[0.02676725362959163, 0.04698573293322083]","[0.07012815510984642, 0.07111338135646975]","[0.006453494410707722, 0.016988413557013318]","[0.008949186118360257, 0.028668825642313125]","[0.0030142495257816713, 0.0037970838784911164]","[0.0032833612720367, 0.0005764761770947021]","[0.006206065579254552, 0.011335654202183978]"
