n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.650720873329569,0.18832035122503893,0.34739021857149605,0.2780606839527032,0.4790876795165824,0.3822678344417244,0.316263031001949,0.4544895018974219,0.994244779450004,0.7196264755501557,0.043704943484044016,0.019692894974524245,0.013464969365321499,0.06012992803640269,0.035147497376019445,0.008745171691115754,0.012247529213724647,0.0033812203863900422,0.0005342973111481184,0.0020979521886495423,"[[309, 231], [171, 440]]","[0.16058816077940571, 0.20393381442794362]","[0.36886517053628376, 0.33563113591489324]","[0.33397447550849224, 0.24726218204497852]","[0.6278023802679676, 0.39778480294869983]","[0.4136675059713246, 0.3655908916789232]","[0.3399396974084585, 0.30340609922801703]","[0.46313402591124053, 0.44973541318022986]","[0.995249116100547, 0.9936940738163921]","[0.7057033134861833, 0.7274472484329318]","[0.046641177713842255, 0.031420385745920015]","[0.015029813293692951, 0.01045181608588965]","[0.054045542310673725, 0.0529697295062245]","[0.024751824249154352, 0.03608360955318708]","[0.013595785779931145, 0.012223034512202526]","[0.028571877654449702, 0.014556996525992677]","[0.00905394594776101, 0.004148002406717335]","[0.0003877210928049802, 0.0006304101607982512]","[0.008483432855779667, 0.0031608588729777915]"
0,DCP,0.6160060229625447,0.22590001416229993,0.3526914506915923,0.23267617051245085,0.4781414884545937,0.41999679076272145,0.32246912618609264,0.45722262730453245,0.9944026922895063,0.7238093356887474,0.04036546744221691,0.029414437036475605,0.011077453509962084,0.0878362500161802,0.03886601014790427,0.011767647177887705,0.010748877804693073,0.005481486181214941,0.00034789329525233007,0.0033228751018123137,"[[312, 228], [214, 397]]","[0.2185245899214669, 0.22962983430359288]","[0.3638151850360301, 0.3444162427066354]","[0.28451077621537635, 0.19414039163584845]","[0.6150765191448058, 0.37680492177763947]","[0.46496625748270504, 0.38654224561244616]","[0.34619991913684267, 0.3048471086258481]","[0.4685060297679854, 0.4488138928687137]","[0.9952896737346345, 0.9937572389715277]","[0.7147546043645984, 0.7301862532349935]","[0.046539387192638344, 0.027349796793179518]","[0.015634935926870017, 0.01013734429903705]","[0.07748067722248518, 0.0785407592434721]","[0.04025058697169519, 0.03661878710808699]","[0.016840002537298452, 0.012364336187213066]","[0.02484678584856187, 0.0034086873827036033]","[0.007420954884261432, 0.0034376195520865395]","[0.00037112530848485835, 0.0005230303029384972]","[0.007471958444800322, 0.006417484159648294]"
0,F1,0.5794616977225673,0.3093017986120946,0.41898215550205353,0.3625412231283539,0.5428264566559535,0.46419122490259157,0.39207492193875143,0.47588797443306924,0.9955721706472651,0.669600337410585,0.03595975891518473,0.02282987440401552,0.012634984977750424,0.07192506508996746,0.03270927636986812,0.0057001660081059165,0.020151848226698355,0.0037762981843740178,0.0003557857902544833,0.0015788014758396302,"[[306, 234], [250, 361]]","[0.29352027406195547, 0.32461473375825917]","[0.42221914043314046, 0.4157315022921984]","[0.37222208591883144, 0.35287918226525095]","[0.6012194724638162, 0.4855894336480261]","[0.49170000913786527, 0.4373321146920584]","[0.39080138084637106, 0.3929998669768725]","[0.4790932180346206, 0.47268702004037505]","[0.9959292681575074, 0.9952214463960694]","[0.6629233895576166, 0.6761226844825046]","[0.05531922117294073, 0.03211354919493267]","[0.017635905830317527, 0.007356132150961769]","[0.06514360069824278, 0.0642052983384724]","[0.03288649259497937, 0.030592716960859634]","[0.002620567261837696, 0.01115947574441048]","[0.016265846542920903, 0.027124848472395588]","[0.0031753438710597675, 0.00480978703051689]","[0.00032146415978987104, 0.00046141827242457986]","[0.0016081001102113035, 0.0016114960982572717]"
0,Hostility,0.6489968003011481,0.09188169758768824,0.3085573809186612,0.2873400385531224,0.47888784636015425,0.4145099375256315,0.2768937158727911,0.44733495375747323,0.9936370042922487,0.7156945614283549,0.03131114530516318,0.018006724986515645,0.011783367210418125,0.0653139850583185,0.030596935184494963,0.011060829665252441,0.01136141080473131,0.003264451520114947,0.0002651925615775869,0.004670737879655349,"[[345, 195], [209, 402]]","[0.09849138434356827, 0.08719518794916878]","[0.3269336892970242, 0.2942657411861547]","[0.3395402788205527, 0.2472521616806557]","[0.5952988686980112, 0.3884072254476299]","[0.46104091268933056, 0.3782960186639118]","[0.2985950508775074, 0.2597593832356867]","[0.4565819876699086, 0.4402177446547112]","[0.9944392083138128, 0.9930301017982182]","[0.7109422387885475, 0.7190140607563755]","[0.03871896519672391, 0.014276817376546574]","[0.009774280252178118, 0.01628258982462061]","[0.06843041124000523, 0.05326012540609266]","[0.02456506993561897, 0.03129018302732352]","[0.010306191604956804, 0.010296713445920253]","[0.012466585634749014, 0.010619698325397324]","[0.0040021554604954945, 0.0031687683337063466]","[0.00025861962459042585, 0.0004966524475874284]","[0.009153911297638035, 0.003567514192140371]"
0,LSC,0.6072840203274985,0.2467495161214181,0.34278973705329746,0.3301381242265646,0.5112304271137118,0.4493516413660247,0.28977872530308446,0.45044717367852305,0.9938042883502376,0.7154980284587691,0.04158227519137434,0.02241522177981684,0.007556454682003283,0.06508672386149027,0.03657096896552683,0.004265602461818614,0.015226573550366319,0.0018114110425849334,0.00017270049185550765,0.006068530780191314,"[[330, 210], [242, 369]]","[0.2303552068417068, 0.261978091078026]","[0.34784475014646665, 0.3380368023870019]","[0.36146036052099106, 0.3008162202347536]","[0.5919966166117234, 0.4356193559735816]","[0.48956367043148463, 0.41190128746443017]","[0.2964443261961144, 0.28348583320442805]","[0.45382876298825287, 0.44725679410576014]","[0.9942573015319823, 0.9933835459844559]","[0.7091747162440651, 0.7214265106885145]","[0.047768321788674455, 0.03879619945695242]","[0.011749618259926091, 0.01180998685012849]","[0.06950710275340005, 0.04817202960085656]","[0.03711659994555509, 0.03256802300103432]","[0.0060951886213562265, 0.008202938752468506]","[0.012021482278992785, 0.029723531369518653]","[0.0044242774899733925, 0.0028848703067435397]","[0.0001512556336482118, 0.0003899008207506499]","[0.0053662300430542716, 0.007502523548288032]"
0,N1,0.6151214003387917,0.2328442619081339,0.3205479393853562,0.3168200822446542,0.5054680371491417,0.4420220647691811,0.18451511600722054,0.44209106948249133,0.9934816748514714,0.7129974259398673,0.01898045556233326,0.01969412405907725,0.003874099805266672,0.06741676779455791,0.032590097765194434,0.003221480025143041,0.01867422557496642,0.002927647726751451,0.00023270379158887717,0.006592746224424708,"[[328, 212], [231, 380]]","[0.22222762381262137, 0.2424567160413033]","[0.32502444265817143, 0.3167053198649412]","[0.3510245940564751, 0.2870348892431254]","[0.6018552315638439, 0.421750622959587]","[0.48196177743029855, 0.4073396432206862]","[0.19107218034031542, 0.17918811620013692]","[0.4475670361082626, 0.4373483120244154]","[0.9939226011416856, 0.9930981584946847]","[0.7063472157983919, 0.7188384958530705]","[0.037568904764946516, 0.04426696186207897]","[0.008558180470732467, 0.011933350537854676]","[0.06872328120396287, 0.053737395326393635]","[0.03557141171632558, 0.02533599332966456]","[0.008554522394868909, 0.010434477322024682]","[0.017592486818941905, 0.021554219601990048]","[0.0022789302096450467, 0.003978976383839793]","[0.00021029519504460904, 0.00031518066668981596]","[0.011786735040784164, 0.005420793234513601]"
0,N2,0.6272727272727272,0.20157366756361234,0.3070815748477553,0.3066422406388004,0.5031174681874926,0.43541185778146385,0.20583963162284222,0.4209299219368498,0.9931221423727431,0.7150193054509947,0.04581827319908949,0.028060957661519344,0.007790359460270692,0.07189091768334913,0.031975014280353216,0.011495260017989279,0.01521038713474005,0.003780453812575036,0.00015720475633296697,0.0026959158821176867,"[[330, 210], [219, 392]]","[0.18240204305823876, 0.2196421273911767]","[0.3149986886966377, 0.29944949590096814]","[0.3426300619783705, 0.2731407976876367]","[0.6001768080106421, 0.41306617718649613]","[0.47032474628104176, 0.4030834887780519]","[0.21913510566178798, 0.1927612765270281]","[0.4302535278559061, 0.4124166355611748]","[0.9935191052960194, 0.9927430229141263]","[0.7090404971285964, 0.7203366461390226]","[0.05089718487764352, 0.027537676811700926]","[0.010042037277857806, 0.010825765759199557]","[0.0673217859552332, 0.06440279374625274]","[0.030613684725699062, 0.030744372432869455]","[0.010524651798992212, 0.01750112811390722]","[0.02434699879214043, 0.017074812930428368]","[0.0029235947375191736, 0.0043935619998582785]","[0.000503470484394754, 0.0006185717492858402]","[0.005315584031217551, 0.00392452074174261]"
0,TD_U,0.5794880481837004,0.28214936505688526,0.3759324930368692,0.3019859516848718,0.41425012027585006,0.4403761229922978,0.35164728398558587,0.46208077977309686,0.9945622893025936,0.7216957118046496,0.039991482097033425,0.01798369160060281,0.005065411747779444,0.07827224830490336,0.03140142660016507,0.010404917270355897,0.017691134273841135,0.004151118559146337,0.00030315014206208933,0.004214373905837833,"[[277, 263], [221, 390]]","[0.33332930005201483, 0.2490880030020212]","[0.4103132874283098, 0.3550215884644917]","[0.38945449544756755, 0.24889118210496744]","[0.48930286267023726, 0.36882716815656114]","[0.514824071203247, 0.3951688281754054]","[0.3971363328686692, 0.32386395870113605]","[0.4799152126939693, 0.45127215624591194]","[0.9958452894744925, 0.993797076187262]","[0.711816445283365, 0.7278730826644602]","[0.05755896696327853, 0.028999801216384263]","[0.011621924860070373, 0.0021922870699281082]","[0.08976567703098047, 0.05662308607582688]","[0.022162997194209534, 0.03471839206064493]","[0.013034753217679756, 0.013745197080832713]","[0.028879096225790678, 0.013990584338830492]","[0.004948539292448231, 0.00485262226075257]","[0.00019337702976147852, 0.0004441097509889567]","[0.005787088242133742, 0.00653664610561116]"
0,Uniform,0.609896480331263,0.3069071897276118,0.40377689656800264,0.34913468666974207,0.5192936429187467,0.45909599180151484,0.37814590653331626,0.4713713955063195,0.9953787522489262,0.7106063824765141,0.03241154374571636,0.007394483288389847,0.010153605420055155,0.07510699070758624,0.03200033741270039,0.005397585932308719,0.014269934021056937,0.0017130811050676137,0.0003968036030446145,0.0035148627518210556,"[[326, 214], [235, 376]]","[0.2739261770060385, 0.33463825093408567]","[0.3996623477949843, 0.4072382761198214]","[0.37361772311154795, 0.32740867165518406]","[0.5898254146228831, 0.457859250423543]","[0.4905088329142627, 0.43140707776243026]","[0.3805341294616692, 0.37584705131120516]","[0.47343403940042716, 0.4695431464839895]","[0.9955305443569499, 0.9952588747207705]","[0.701477608938329, 0.7187375607317834]","[0.036501229587020914, 0.026013780568071684]","[0.015093531506266796, 0.005355262681136922]","[0.06823583765883998, 0.06513705543186357]","[0.03180643347249566, 0.034546066276273]","[0.0068069706543853, 0.011790862905020358]","[0.02697691387296445, 0.012180440131223304]","[0.004929690132503458, 0.0036074964521931466]","[0.000363372590310574, 0.0005688104178015283]","[0.003971740149427803, 0.0030087503813669043]"
0,kDN,0.6272576698663654,0.19505098427984705,0.2703720908275504,0.30838096327547826,0.4965733334978607,0.4284133866641905,0.24894650359789855,0.4452683248959808,0.9934030824166259,0.7130529197941746,0.04646854263730718,0.019805058652641608,0.005076242449214946,0.07685909885381328,0.03638204799169811,0.006921555915592786,0.01929702476041403,0.00315857426399275,0.00030156610256709427,0.00285742960362568,"[[342, 198], [231, 380]]","[0.18554059632466963, 0.20220205640298322]","[0.2813123894148687, 0.2610573891526583]","[0.3511618715950817, 0.27139195212259387]","[0.59855915889235, 0.40988075167398774]","[0.4706903830858663, 0.3921340987925988]","[0.26440823181547707, 0.23577846584683876]","[0.45089882668985687, 0.44047029738191057]","[0.9939265616106774, 0.9929671877582935]","[0.708291355642003, 0.7171086011826173]","[0.037216425693903286, 0.027870862819481555]","[0.004176924020997921, 0.0065120679358645645]","[0.07645947417719717, 0.06096694284907242]","[0.03206987965410729, 0.03879010511709387]","[0.009031574076489789, 0.01485758999708575]","[0.018120116689573147, 0.018768361586954663]","[0.0030209125668649904, 0.004285938221636781]","[0.0002942885204882159, 0.0005758579688769535]","[0.003573696460625932, 0.0028110864856090074]"
