n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.6594452773613193,0.19885550146419712,0.3383526197004458,0.2881737788560437,0.4506469270474501,0.3809581420266425,0.312644729134636,0.4522927648767596,0.994657698364508,0.7196025512272651,0.029229465864686045,0.05392695781845007,0.01137414504650049,0.05830208304080912,0.02813767854707591,0.009140001507519086,0.014889512258759665,0.002107655787491971,0.00038480097308245405,0.0036798138109574224,"[[325, 215], [177, 434]]","[0.19469718036736355, 0.20176915561698855]","[0.35910960948340137, 0.32554312614671044]","[0.33974988189677396, 0.25621924429709714]","[0.6000043125831046, 0.3581850198951202]","[0.40600189537290693, 0.36537235669359236]","[0.3507924863142678, 0.2889789474340426]","[0.46270907803130185, 0.4458805872315697]","[0.9956171298039148, 0.9940709712948254]","[0.7047584645614876, 0.7288996829452415]","[0.06706944999929355, 0.04257059761735872]","[0.013286213775447241, 0.013209414358883667]","[0.06728920911701373, 0.04985740137332302]","[0.037458880969499044, 0.03000309881115629]","[0.006771890598806311, 0.011250735469047991]","[0.01910258047973122, 0.020476157081117188]","[0.002848927939052974, 0.0029146719625164565]","[0.00028011270836754654, 0.0005247884174642591]","[0.00548972098439325, 0.004170005674051275]"
0,DCP,0.6168365817091455,0.2529181355268312,0.35425993695558916,0.2282976964380588,0.4437601623806593,0.42270078012257545,0.32385085684619846,0.4551948245296174,0.9948910623853688,0.7246238343606765,0.0518944750450437,0.048096933232640034,0.015521420495890953,0.07745395393906307,0.03567250611210985,0.016914034012245168,0.024265832259116424,0.005462333120150517,0.00032555903780272027,0.0068778654688340405,"[[320, 220], [221, 390]]","[0.25726359025427303, 0.24989263300653844]","[0.37297195711405784, 0.3405847768670389]","[0.28188479395077604, 0.18972664651935672]","[0.5797023412115606, 0.3457813583844903]","[0.468862466924491, 0.3894835318253091]","[0.3668698056357679, 0.2924128596594818]","[0.46940574827300957, 0.4449005165002771]","[0.9958045265036013, 0.9942274987692878]","[0.7142888292274308, 0.7320036823183977]","[0.0525767113993702, 0.05476120150048443]","[0.012689719453040633, 0.02403434053894377]","[0.08644286072429548, 0.06501978787543557]","[0.05169993260730414, 0.031221380926060725]","[0.016034339109314427, 0.02143680092539468]","[0.023798171890174902, 0.03662635104634372]","[0.004622732825647062, 0.008908008591322417]","[0.0002996500104871842, 0.0005799848020672984]","[0.010538693370966148, 0.005961897639304803]"
0,F1,0.5785232383808097,0.3267652435043739,0.4133597261858132,0.3709662996641126,0.5079405483456481,0.46137766863540736,0.3962975841857829,0.4729351129336776,0.9960087719701427,0.65663261168982,0.06789841835224483,0.04513143589890815,0.008993203635489335,0.07003053142469211,0.031611814051113483,0.004411496496491071,0.019704002788001447,0.005871843840588979,0.00036967933372990177,0.0033154114145717414,"[[310, 230], [255, 356]]","[0.31418308189896643, 0.33889860337907]","[0.41175253550333685, 0.4150401440472691]","[0.3831951426660146, 0.3593387420777153]","[0.5653966254302143, 0.45304382096716356]","[0.4838838566957179, 0.43982824346591853]","[0.39671584767888135, 0.3960344977901539]","[0.47487734023799416, 0.47115386541844967]","[0.996425573522026, 0.995617543960188]","[0.6499432849711588, 0.6630228895648302]","[0.05180107153686416, 0.03592971803455106]","[0.007598239295686319, 0.014488017464067568]","[0.07237928774371484, 0.06182374267464765]","[0.037472318602262036, 0.026491276605974192]","[0.005750429874220222, 0.0057713283255360235]","[0.021787146658176867, 0.028271953975879626]","[0.004846252449010156, 0.009703572480330054]","[0.0001851482832082838, 0.0005911851268910213]","[0.0034456873230198667, 0.004497221930295984]"
0,Hostility,0.633335832083958,0.10338779773562382,0.31238522373304983,0.303983553727341,0.45743321690693384,0.4149707968099303,0.27755648783210896,0.44643387935349665,0.9942541294345547,0.7154879413575065,0.04581667676554243,0.026047309248552218,0.00994706977377369,0.07097866842481546,0.026880559448622273,0.011961307969341126,0.013008424861036124,0.003672952004116491,0.0003165076617761526,0.0034732017570248794,"[[340, 200], [222, 389]]","[0.09460542469092165, 0.11023265365319715]","[0.3274363367614865, 0.30037621390921676]","[0.3494462586928449, 0.26765458846021717]","[0.5730754024275846, 0.36483871366441906]","[0.453970361280687, 0.38364935331982797]","[0.30293910123817575, 0.25770764418866704]","[0.4553124240374212, 0.4393404728208631]","[0.9950047543305679, 0.9936573671684036]","[0.7100648972880979, 0.7199975965809715]","[0.03618239407651487, 0.02332754560826701]","[0.013331958425964427, 0.012219634915785042]","[0.07708369485839134, 0.05961209965068308]","[0.033371130168730084, 0.023881469152920953]","[0.013898720113151377, 0.008760391505727959]","[0.014465824506435902, 0.021687737299196302]","[0.00401446277126183, 0.006449167245679006]","[0.0003370959935451975, 0.0005662838248731683]","[0.007393917792342678, 0.002065549716588322]"
0,LSC,0.6142428785607196,0.21932367149758453,0.29087710070318773,0.3197678367881503,0.4721916883229077,0.4333415643527087,0.20393668235671342,0.4337383808694654,0.9932191378333138,0.7164430219693377,0.04128099385330217,0.03060710125468422,0.010620186483178529,0.06863862359977482,0.029147343840680733,0.006531084062350697,0.01812042502329059,0.0034617337988638213,0.0002891817706325462,0.0030124268411923644,"[[345, 195], [249, 362]]","[0.2246649130665789, 0.21455623041258506]","[0.30805868058602237, 0.27525959428215974]","[0.35867722112759837, 0.284247450755777]","[0.5739204038378917, 0.37926660830446823]","[0.4705863956897499, 0.3991947480490608]","[0.23005420102124235, 0.17987846844924343]","[0.4394900539078299, 0.4284843214769124]","[0.9938779398281721, 0.9926121506540131]","[0.7096469989494406, 0.7226014870406723]","[0.038314375660708076, 0.03146628362015636]","[0.01153044537862554, 0.017449567254920466]","[0.07198722842861147, 0.05897979702658815]","[0.03622900198323267, 0.026685915871242367]","[0.007857747291022696, 0.005954822129520636]","[0.016379923527744682, 0.025218885895346176]","[0.00450410849644753, 0.003986987789739238]","[0.00021397704796531845, 0.0005275254557227937]","[0.005602769457193735, 0.00413212909676826]"
0,N1,0.6081409295352324,0.22723900919553092,0.30450802976889935,0.31395091753755244,0.4665060781426914,0.43286670099017777,0.15988653860160068,0.43855369278967393,0.9939338939575441,0.7167578906137259,0.041729347900358954,0.04181730032142072,0.007331053177059786,0.06929728763224265,0.029947644048572742,0.009625284459364999,0.007584738846795891,0.0022428996810893343,0.00039510889712379547,0.004109062764546733,"[[336, 204], [247, 364]]","[0.23046930710732072, 0.2244095182500337]","[0.31639328104531295, 0.2944512273166156]","[0.35187513861919073, 0.28154666997450195]","[0.5633745130998925, 0.38442701238892163]","[0.4690817961008709, 0.4019739642809643]","[0.17413517709177453, 0.1479358277592314]","[0.44354383270161135, 0.43434421505154275]","[0.9944686971720069, 0.9934828602291871]","[0.7072585493844686, 0.7249266781479935]","[0.046793059022213396, 0.036466895975962914]","[0.012588115884946948, 0.00706993585540342]","[0.07776061840870563, 0.056520378561594815]","[0.039695090139177144, 0.026281335267943334]","[0.01054282638302709, 0.007618133899962092]","[0.012123239117406107, 0.011558916568540575]","[0.003223202077374976, 0.002106560241650683]","[0.000263755405062078, 0.0006610572125347119]","[0.00547840690740688, 0.005063563868934602]"
0,N2,0.6246851574212894,0.22849411523324567,0.3008402253184862,0.3103973381460209,0.47004083675469743,0.43025932096669556,0.2078151615457516,0.4166528706740884,0.9935585389725242,0.7150963533000146,0.04800921371650625,0.034099333742084556,0.007839882050376949,0.07158109399497017,0.027356210178696633,0.00863010212548678,0.010983976757251834,0.00362388092790965,0.00034983656671882504,0.003377620270903647,"[[352, 188], [244, 367]]","[0.23623953268789039, 0.22135035822074128]","[0.3174746168819286, 0.2863084988203094]","[0.3508928089231455, 0.27468784774143357]","[0.5707792849297884, 0.38074494593198677]","[0.46916312198809473, 0.3957122015895654]","[0.2284086943136856, 0.1899322791488504]","[0.42950881220004494, 0.4053104488356074]","[0.9941134952951888, 0.9930784563763295]","[0.7065098210806464, 0.7228066076419799]","[0.04611553577869143, 0.025762187416798987]","[0.012010887190614302, 0.011066452432081817]","[0.07589548918995048, 0.060975969717379036]","[0.036227622931208646, 0.021222064894045056]","[0.009080501322389934, 0.00592503548420972]","[0.014358742195066993, 0.01769933297988733]","[0.003336228574528293, 0.00480154078094804]","[0.0003411283771453744, 0.0006575898376260743]","[0.0058040392653459635, 0.004793997658814905]"
0,TD_U,0.5959745127436282,0.2922112174286087,0.3749786059351277,0.3122988024185512,0.37258786000819344,0.4391113431475846,0.3481605436403573,0.4615799833650788,0.9951278448148491,0.7223168379232452,0.04895192205373124,0.03037812648842211,0.006161027685186532,0.07214746393926555,0.027002643541532742,0.0038371466555035577,0.014112249793867375,0.002849979029758619,0.00017413388615654496,0.004796421710685416,"[[303, 237], [228, 383]]","[0.3556555341166304, 0.25551613471527446]","[0.41837018055309627, 0.34978823828891414]","[0.41027461238005875, 0.25489619354062243]","[0.4418326381806774, 0.3326704084610111]","[0.5116638601072016, 0.39721546458686074]","[0.4091079366802652, 0.31249134079520724]","[0.4787130890287904, 0.4516211683787742]","[0.9964113573177114, 0.9943816290907046]","[0.7039977181861347, 0.7328761056548169]","[0.043640878471056334, 0.025140035934272394]","[0.008143925338309007, 0.008132631561233407]","[0.0888912367053763, 0.054826568681279546]","[0.03590784035722397, 0.024785909228268906]","[0.012650734505626728, 0.006613715733576526]","[0.019622560643146592, 0.016500640622746886]","[0.003296506953376873, 0.00405211455206307]","[0.00016647900286803743, 0.0002461574639228781]","[0.006887014213907257, 0.004312242418721577]"
0,Uniform,0.6116116941529236,0.32725225225225224,0.40204649991606517,0.3485946811954451,0.4876056836284198,0.4548185340403414,0.383195501624073,0.4706504803565685,0.995872358323777,0.7116617680118823,0.046812083306702994,0.04253692581110623,0.008330381712177546,0.06597942794219419,0.029666371110233833,0.005053458064520192,0.013865914137525996,0.0045142362205389495,0.0002477360586102663,0.0020142428304155842,"[[306, 234], [213, 398]]","[0.3040358413902123, 0.3480581891927284]","[0.3943918605783486, 0.40908642332294276]","[0.3707828652142006, 0.32861776666904186]","[0.5603973520998828, 0.42172669105717653]","[0.4797518153290715, 0.43197605870143124]","[0.3868057028996877, 0.38009176059159644]","[0.47367699277200986, 0.46795157864826525]","[0.9961060910128919, 0.9956525665355965]","[0.7057662737063424, 0.7169700981318563]","[0.05515360767378285, 0.0355582725885549]","[0.01055390550783644, 0.011671975885745678]","[0.06789355763105637, 0.05923796703754858]","[0.043707958023598364, 0.020420464111077733]","[0.00522021864627682, 0.008907088061483241]","[0.017197722672573718, 0.022223615786298945]","[0.004384928915984174, 0.006481306623546362]","[0.00033123937610260386, 0.00036320860588064157]","[0.004014279939578719, 0.00427716705084542]"
0,kDN,0.6325187406296852,0.20088588588588588,0.25069964374312204,0.30724222334535917,0.46975956831533816,0.4273657284211715,0.23857186867435312,0.4396495207248822,0.9936108318902649,0.7184299811416516,0.039669612783616276,0.03369074575716326,0.006326094277468935,0.07031687657849893,0.028959444136040832,0.006325164561304151,0.011660314768840026,0.0034171508837663304,0.0002809943913889215,0.0037039309893071052,"[[345, 195], [228, 383]]","[0.2093784702862694, 0.1938765850888404]","[0.26922061973283795, 0.2339320877045381]","[0.35174850962967835, 0.267437630156398]","[0.578475522030771, 0.37285391629566284]","[0.4660952758866473, 0.39285336509201657]","[0.2699061553785347, 0.2100048184164347]","[0.448358705024134, 0.4317666943369892]","[0.9943797927205342, 0.9929146593576238]","[0.712742335408716, 0.7235825490805597]","[0.042091409758476146, 0.028676631150227113]","[0.009944033256199702, 0.0036537056104881853]","[0.07268043661181922, 0.06259297569737386]","[0.03686322952512675, 0.02435048802930761]","[0.00823003936100369, 0.005882233021107951]","[0.014199518391803827, 0.020219269419787713]","[0.0036605942691978564, 0.0040141930093170386]","[0.00028753292639184926, 0.0004283703733935374]","[0.005913683124339573, 0.005296780687961252]"
