n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.7288736118455844,0.07435262629642021,0.22205085312813652,0.27719486336484656,0.5345835794685375,0.272956412518908,0.2462860488457678,0.3293603967462345,0.9747294753066228,0.7622761235641797,0.019747400964699402,0.017208385070312977,0.008566836608117294,0.04048057072819694,0.027370869498704445,0.012566795636210035,0.02585884398371807,0.012572142945237846,0.0032449635894716243,0.01753758372094909,"[[212, 13], [70, 11]]","[0.0403897666228165, 0.48815217391304344]","[0.18464752667372755, 0.6755633540372671]","[0.2441223806152256, 0.6663814548727391]","[0.5356237999108637, 0.5258150431995541]","[0.24361382174200674, 0.6307219048274098]","[0.20886621589218693, 0.6947929606625258]","[0.3117079488773101, 0.5414035713009014]","[0.9732496670435935, 0.9920410628019323]","[0.7497148585335208, 0.9077567287784678]","[0.019277625786343584, 0.07655322968644321]","[0.00901669496642416, 0.045352270916640985]","[0.026162695360315253, 0.08997097171992008]","[0.022492120965318087, 0.062804429391625]","[0.010621162336182249, 0.045820549330495605]","[0.025946328451040813, 0.1014751924393876]","[0.01227150457566366, 0.034085585341789654]","[0.0032910894667254574, 0.001990594790406072]","[0.019061612077933127, 0.03267863274754158]"
0,DCP,0.7288736118455844,0.11355302776848446,0.2413195048511208,0.27375810234649484,0.5366764673352677,0.29131267948144485,0.25302269432363106,0.3391971752930255,0.9756689646124347,0.7652559384409502,0.019747400964699402,0.032922019091465915,0.020104636656001037,0.039962043910152345,0.03605674094816986,0.01082122323123624,0.048052654990502736,0.020112778146315964,0.0014937717989893448,0.007205200819201875,"[[216, 9], [74, 7]]","[0.07769062543245309, 0.49063083602557284]","[0.2003349647867249, 0.6536945364576944]","[0.2367453362127062, 0.6588136866411093]","[0.5324745642870625, 0.5802895633227261]","[0.25567720202782107, 0.6467328178755737]","[0.21723419803144423, 0.6155521476574107]","[0.3190198882963967, 0.5425891903585874]","[0.9743838084746355, 0.9887986176648914]","[0.7518219991288732, 0.8974198803146173]","[0.034835129291806405, 0.12441855795327096]","[0.019353088629300918, 0.04025518457892162]","[0.03555284377190298, 0.10162420204069499]","[0.029525229435080735, 0.06939056362432458]","[0.016520645382645707, 0.033313104236150616]","[0.04419619493456666, 0.09359574447177928]","[0.021378663869316302, 0.044870108946101606]","[0.001675496867825312, 0.0034035455751402063]","[0.009066843718896303, 0.02384194699967623]"
0,F1,0.7386039132734004,0.20837738374038142,0.3217631314821011,0.3595527034665573,0.5357797040181593,0.35948462550924004,0.35043671238987395,0.37467953562680384,0.9791856738726873,0.7195104271216684,0.02781064145378369,0.03346408065808137,0.029262873953302102,0.022596729699959354,0.030318903715640808,0.017930581090706055,0.03914858531171163,0.016080871699306595,0.0018345936679002852,0.014477638285996694,"[[208, 17], [63, 18]]","[0.06996317337421656, 0.666044697448872]","[0.20074157938758694, 0.7160606859231148]","[0.2507584504859401, 0.715508550311195]","[0.5241417821793357, 0.5750002413427462]","[0.25803611636422064, 0.6898065575214074]","[0.23421490209934354, 0.7319725853304284]","[0.31569009027020856, 0.5677837761919957]","[0.9746394886140234, 0.9938697004712876]","[0.7070850964297766, 0.7619623655913978]","[0.019696470347532403, 0.04429821324339196]","[0.01458452696080732, 0.039611629105666096]","[0.01790388882735637, 0.024400743598932326]","[0.021869850563419963, 0.04595009537937754]","[0.008235751546504464, 0.015644562102184737]","[0.036058239815027184, 0.05744731910079648]","[0.009739553561371551, 0.02557663805017588]","[0.002283851544413365, 0.0007060313718399611]","[0.015728070098893012, 0.0109957754143001]"
0,Hostility,0.7451612903225806,0.05719304115088658,0.2158481097356976,0.3031087409274221,0.4944736616498518,0.3006244425266634,0.20898182223709155,0.31146298729406235,0.9709101210698279,0.7622616259618601,0.02655080335826422,0.0276924543722028,0.013369259605398186,0.028557610963306085,0.031622773251163507,0.010678765936492893,0.0132892622323876,0.02703571253534338,0.0033435564521433468,0.014534451458128464,"[[197, 28], [50, 31]]","[0.025154898160987572, 0.272675494986835]","[0.15486423609267877, 0.6268017272425679]","[0.24813071188919542, 0.6742434895761409]","[0.4958618798314027, 0.4824381209998442]","[0.25146107561800807, 0.629231497034257]","[0.15415739033107007, 0.5878804056691769]","[0.2827192930921507, 0.5033291409055517]","[0.9681655430397562, 0.9896386076182889]","[0.7487928476472165, 0.8500866257057347]","[0.019485460723858934, 0.07997574833807956]","[0.010543040352988734, 0.045860226708838533]","[0.02123414021752091, 0.0755950863934901]","[0.024695796408671204, 0.06326417856952565]","[0.009134684560031154, 0.02354284611779481]","[0.011431120784562083, 0.11407465807433116]","[0.024798733391211542, 0.04954900962367759]","[0.003151023981039784, 0.003267628422626906]","[0.018028060605987918, 0.042969966122218185]"
0,LSC,0.7025383395029084,0.18793241886918702,0.2782870525259284,0.35546325867722983,0.5199517036142506,0.3535113088917729,0.2601929296308687,0.3293035874477698,0.9733480492511439,0.7682390989182558,0.03228947504555415,0.022270040914879642,0.014714661639784493,0.023945369536113117,0.03732091984091742,0.008913065855335167,0.039287888573065616,0.015527206410465334,0.0020327357389937225,0.005914200007140989,"[[190, 35], [56, 25]]","[0.04677732418353035, 0.6655850187852563]","[0.15580513376458577, 0.689080199012768]","[0.250930256933149, 0.7081745759918017]","[0.5033059919943811, 0.5745936896425583]","[0.2549306977667066, 0.6850794987614643]","[0.14752505651044898, 0.6341646742909934]","[0.2708936066024573, 0.5237793153282563]","[0.9684275878877804, 0.9895902679730174]","[0.7517640184872454, 0.8255602763437748]","[0.017227365405383308, 0.02231039849676334]","[0.010272986599097393, 0.027160529537752654]","[0.01769014124642688, 0.033094043276077345]","[0.03270231073714258, 0.042794782805541]","[0.0069663614192495595, 0.02264100534945962]","[0.010398119281050498, 0.10990193895153362]","[0.00995723143549663, 0.03170235441846942]","[0.003339993124772695, 0.002487694758511274]","[0.012384167586437062, 0.04990955129551704]"
0,N1,0.7549973558963512,0.12338574774171965,0.223208430913349,0.3092256880783026,0.5266742095865549,0.30946064068317397,0.16310053529608565,0.3173382888215027,0.9723895236651915,0.7510884353741496,0.03752932338069268,0.024364380402894615,0.01229802483312465,0.029958122775853153,0.026768428517774487,0.009755228506110832,0.03279162125075384,0.008293631991442908,0.0030106870267352145,0.0031579576567170213,"[[216, 9], [66, 15]]","[0.04429786279063783, 0.6214797704815853]","[0.15547569051142723, 0.6466237694549855]","[0.24634684912642602, 0.7018158833453005]","[0.520848471273496, 0.5611788211393207]","[0.25069882716609715, 0.6763356157655259]","[0.10746386083402097, 0.5104995814160967]","[0.2801077678227137, 0.5477686462379057]","[0.9696998778545268, 0.9891095865971092]","[0.739301102514142, 0.8239277224758169]","[0.02185304067546277, 0.12585102019538785]","[0.014382585806629126, 0.03575675585160892]","[0.023261992710236375, 0.04026718259037035]","[0.02233526514502619, 0.05786435015676951]","[0.006956586977676222, 0.006718198983616225]","[0.020423642839831804, 0.09958414756672491]","[0.010742598610457763, 0.06379901368530358]","[0.0033437309296693273, 0.0013393580584582002]","[0.004442579838163275, 0.03148691091638635]"
0,N2,0.73204653622422,0.09970558715289393,0.20818400802944131,0.3015839173951008,0.5162962943238906,0.30226815458813955,0.20085697557711607,0.2549159396680833,0.971520947955456,0.7638998550239767,0.007909362185402068,0.023437506588737157,0.019150422676133733,0.022819123801587907,0.02981694151244935,0.008408458723979901,0.009217723707001831,0.021463934136882874,0.002724023874075554,0.015145215179006053,"[[217, 8], [74, 7]]","[0.04379313308622006, 0.5158941241293151]","[0.14732903997693345, 0.6544326994472404]","[0.24658119495558245, 0.7028557622207368]","[0.5111667616272418, 0.5555022294985801]","[0.25291642246589124, 0.6594045534500048]","[0.1457157423569151, 0.6104357242546387]","[0.23402828363400302, 0.40779565617556146]","[0.969440092901612, 0.9869861440953193]","[0.7544351333995274, 0.835515668399197]","[0.030853098530671308, 0.09819004790352932]","[0.012148678191759136, 0.04819703581487274]","[0.02293544702268628, 0.03938179965028588]","[0.026690254751182304, 0.04065758932891506]","[0.009165209052144676, 0.021605121046646865]","[0.005035112249468109, 0.10121373742183966]","[0.016358359903036617, 0.0369326964638624]","[0.0026667686030814788, 0.00298213221762299]","[0.014880383052089963, 0.02020918914362023]"
0,TD_U,0.7288736118455844,0.1903512880562061,0.2998206758113081,0.35439226173501226,0.45042012977051754,0.3615063797136451,0.3047263298762128,0.35730196549554755,0.9766765118905882,0.7696085647373703,0.019747400964699402,0.033051668409459695,0.016004423103061417,0.03466189737463383,0.0349212873740867,0.020065940123835734,0.046478483436267246,0.017151850538834817,0.0025441035053242744,0.012348893117054833,"[[218, 7], [76, 5]]","[0.07058943931956214, 0.5723878313951843]","[0.17988189466042048, 0.6839334875364288]","[0.24892570728540503, 0.6935829901671332]","[0.44521614487869543, 0.46584215076862134]","[0.2639068061707527, 0.6727260353681013]","[0.1935608730236011, 0.6582083115232624]","[0.30140705843547766, 0.534864149980047]","[0.9720056993920482, 0.9914938688280447]","[0.7444210479428264, 0.850417987060144]","[0.013901124979133038, 0.07364591780728948]","[0.015468225021924553, 0.04340222354455649]","[0.02315577351306255, 0.05035558578874981]","[0.029615757949870324, 0.06043838470474666]","[0.013963208069353314, 0.023661149655553423]","[0.03323794357232513, 0.0658018422561982]","[0.014313442056082228, 0.024438708848226975]","[0.0029107145577501703, 0.0017411300135645417]","[0.016713026617024635, 0.01667559502071398]"
0,Uniform,0.7189317821258594,0.22797591167614586,0.35164871194379393,0.3764521160738513,0.5411446523303971,0.37585255987132726,0.3674650942344151,0.4080120094405911,0.9806454901159413,0.7737058101929296,0.03570029541209975,0.03560487997285917,0.04030307011683525,0.015891298158524306,0.03493488070404132,0.021914892601251613,0.037459162122302304,0.01874131287946945,0.0021686659865695714,0.014522155392984609,"[[210, 15], [71, 10]]","[0.08049135878495431, 0.633115139711133]","[0.2239927868315304, 0.7006954118918726]","[0.2578101269461013, 0.7040734919401805]","[0.5262662793914504, 0.5801689509957371]","[0.26438492074245745, 0.6797645999089189]","[0.24177164511761545, 0.7161227846940414]","[0.33607396915250387, 0.6063937556830709]","[0.9758288462249066, 0.9942658800494503]","[0.7529097766669326, 0.8291140779933832]","[0.04506217299286942, 0.04512728634036698]","[0.023369682790577294, 0.022882689486041226]","[0.009234993412170331, 0.04074273840837051]","[0.024074089990574796, 0.05522741963678187]","[0.006388540930007407, 0.024718598347460388]","[0.026941028609622733, 0.07988116034125675]","[0.016966360589015392, 0.006308770957904023]","[0.0023658534180543847, 0.001825422556091385]","[0.012072951353712199, 0.05063570273969125]"
0,kDN,0.7484399788471708,0.08742388758782202,0.18169086651053865,0.29346205139118764,0.515110148860481,0.290900634521269,0.1977842087654734,0.30226350279474595,0.9712860564517654,0.7666298650607783,0.03877900499777566,0.028681184788724664,0.009904426372190175,0.041069563093265815,0.033769620747249776,0.014189446400771015,0.029899936837460943,0.01623678196475807,0.002005102272686195,0.021150739260310872,"[[203, 22], [55, 26]]","[0.043200636897608266, 0.4294918414918415]","[0.13415959629943786, 0.559285780885781]","[0.24577163139026262, 0.669632862153319]","[0.5086309911523237, 0.5660682291564645]","[0.24755371085453265, 0.6376934643601044]","[0.14604703453371198, 0.6025431235431236]","[0.27654407786310076, 0.5069567999953589]","[0.9691865763886147, 0.9878267427017426]","[0.7575658531199035, 0.8338772338772339]","[0.018793791724368406, 0.1760085947129163]","[0.0067276822329741, 0.05622061110513294]","[0.02565777508336421, 0.0852403647113559]","[0.035036524279131155, 0.025855832123246155]","[0.0075413993771451925, 0.03433060277188218]","[0.01728723937743076, 0.12080917428130306]","[0.01093173345728459, 0.02570348963397549]","[0.0019085642719106491, 0.0028209977325592875]","[0.025587122912809523, 0.056272046380412034]"
