n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.565912477984013,0.3188368553385077,0.46567988294553436,0.024523142587120697,0.5330850918725158,0.49214554911130926,0.38345870898919193,0.44943737532385475,0.9974691531960993,0.995097174547381,0.04675566009212371,0.11434286954873792,0.011015825734579406,0.004639531127794608,0.0475628566679726,0.005231009652931893,0.02292544302728007,0.005944677625091436,0.00013050919923843034,0.001786067511637144,"[[260, 340], [186, 426]]","[0.40786346310007576, 0.25569505563027534]","[0.463466195590152, 0.4672968186674047]","[0.024403193273648868, 0.02491814428579772]","[0.5227918661237747, 0.5428975627682932]","[0.49677281951864893, 0.4899911793232013]","[0.38319555834414054, 0.38544391645713555]","[0.4531717065980742, 0.4478123891351068]","[0.9974854943064237, 0.9974701892053359]","[0.9949317010933383, 0.9953302965380721]","[0.16313135422034608, 0.1730024997725776]","[0.018792677869268838, 0.012036644678767914]","[0.004943887992353923, 0.004952977506545571]","[0.08545731407674104, 0.06026343876201625]","[0.007851291567455412, 0.004147448306204806]","[0.03929159009495417, 0.019566927447932415]","[0.011621663898754676, 0.0033896917333745627]","[0.0003434813195638669, 0.0001270233402518152]","[0.0037372332735496044, 0.0025939474259716886]"
0,DCP,0.5420674705324482,0.4015351625896619,0.4716545043264744,0.002655810408238039,0.5241917154414069,0.49969023765476595,0.38514584477069025,0.4497584620066717,0.9974791804254586,0.9960193821004213,0.03545019041836822,0.03154800139401288,0.011378962346723248,0.0008797356829177568,0.04369116158490778,0.0009990415614504163,0.020229390609980823,0.0046055614187876836,0.00012898910083417584,0.0013390886563878076,"[[307, 293], [262, 350]]","[0.5602989100411111, 0.2524108471572179]","[0.4776490713693514, 0.46610063573298854]","[0.0030243118498674585, 0.0023247300379607683]","[0.5153569530627797, 0.5326171945954178]","[0.505417884018297, 0.494242047263772]","[0.39568059860681926, 0.3750912438856543]","[0.454872084558248, 0.4449770442530938]","[0.9975761649986226, 0.997389375584088]","[0.9970423377109512, 0.9951071400863188]","[0.14897629213651667, 0.17071992625623758]","[0.014359146103010456, 0.011966621437481662]","[0.0009671174533323083, 0.0011397868970338173]","[0.042373985669277324, 0.043319106478668844]","[0.0018526693403137118, 0.0018935648683343343]","[0.02018845536363517, 0.023071646449855664]","[0.00612994686688313, 0.005090859851986785]","[0.0001598437215308848, 0.00017738363643408225]","[0.0022355036133281055, 0.0024966249912879135]"
0,F1,0.557695434223005,0.39741487903530975,0.4716000302727067,0.024799597396897282,0.5170389765167871,0.49964115280475846,0.3835702182638122,0.4500777940878097,0.9974949104964888,0.9906892582345966,0.035845432374470326,0.02898442878118709,0.009313892690104778,0.004599127385022541,0.04250847667498265,0.000828589181415101,0.014602191097044321,0.005497514196316402,0.000131007494016769,0.0026403676550164844,"[[332, 268], [268, 344]]","[0.5671150571546799, 0.2298169956349027]","[0.474071405436254, 0.4688769163215686]","[0.025391943560394016, 0.024266859538082965]","[0.4960582417948438, 0.5387462508617931]","[0.5050906390363792, 0.4940049221281845]","[0.3880362656819448, 0.37869735706075164]","[0.4534001624857306, 0.44659209166544933]","[0.9975499024019395, 0.9974351775224033]","[0.9916422519935703, 0.9897699864194751]","[0.16075408283770945, 0.14652349776655424]","[0.00944393552218611, 0.01339486421573181]","[0.0051362619493605195, 0.005698557592902944]","[0.04076362890342309, 0.04172551833941899]","[0.0020955514666411105, 0.001770084153357413]","[0.018231347266206246, 0.01366303914123706]","[0.005029247367650948, 0.006916632406000488]","[0.00010517974256768925, 0.00019052768192192766]","[0.0030871057933285423, 0.003695520257859791]"
0,Hostility,0.5462132502370952,0.15539039177927833,0.45449327693640207,0.023832450306507307,0.5382856212665968,0.4979228696149588,0.3735131223774165,0.4467700955866147,0.9973663683802421,0.9939875352130441,0.036598814604663896,0.017131299220534323,0.009685427320160301,0.006682421198419067,0.061856022297561826,0.0018076514065759356,0.01553880703807071,0.004297536975206368,0.00019509077069073788,0.00271995355913976,"[[272, 328], [222, 390]]","[0.2552534482834687, 0.08977960968514698]","[0.44933923067245624, 0.4583737275326826]","[0.02467558624071132, 0.023199044630593905]","[0.5257625937011067, 0.5483226260548218]","[0.49948601311132446, 0.4966535006675926]","[0.36527822955601263, 0.38012380839583415]","[0.44823584989649873, 0.4454945383856649]","[0.9973560154756779, 0.9973680190662254]","[0.9923841239354863, 0.9952742511608434]","[0.09816079070857066, 0.07517438178217628]","[0.016333511255258084, 0.011882315564080466]","[0.005965683946428154, 0.00723844357536869]","[0.07949654088114023, 0.047734182725265924]","[0.005944511052553674, 0.002397541643792303]","[0.027345759949583055, 0.018212702326045573]","[0.006676972511720491, 0.004438049830011777]","[0.00030827984799228366, 0.0001981193299838149]","[0.0018895454714055002, 0.0036739843209790744]"
0,LSC,0.561908955426094,0.37110327197504184,0.3879536323043416,0.01818338112858476,0.5108529757049775,0.4995159315974198,0.21138297236334136,0.4051070174455086,0.996065355448917,0.9974064262228912,0.0439221357134742,0.03535721098918185,0.01001151690961358,0.0032094266539709772,0.0484097632557076,0.0010677025074166456,0.009873569914807746,0.003411728890710775,0.00016096951229358322,0.0006497040110130622,"[[328, 272], [259, 353]]","[0.532132575905491, 0.19412372608332154]","[0.3908658270200394, 0.38478300905521445]","[0.018945948325418918, 0.017344265553506967]","[0.497043079010001, 0.5259248203871385]","[0.5050812789750843, 0.4934622075022882]","[0.2129136856542276, 0.20954237405062318]","[0.4080412538146002, 0.4019917315584657]","[0.9961651043643963, 0.9959568244121447]","[0.996249431463523, 0.998669760802094]","[0.1573351515480166, 0.12791137001248132]","[0.007170641121030993, 0.01567857064131027]","[0.0038829605803783066, 0.0048080516209871495]","[0.04635799513442276, 0.04688417987576821]","[0.0019316313959954485, 0.0019110927422245512]","[0.011524780196204345, 0.01612393352065828]","[0.0037398942803623394, 0.005300920071769698]","[0.00017766230610982898, 0.00022339738968084672]","[0.0015778221169451742, 0.0010867547722948029]"
0,N1,0.5709050264191844,0.37422035166794204,0.40401553998940454,0.020960135985104884,0.514377467877075,0.4989869242489706,0.16690983718809801,0.41332526519799434,0.9964934272309213,0.996901173067382,0.03589151818004623,0.0205635100028436,0.006838512461546281,0.005925973895334426,0.04967883621618001,0.0010549473815334631,0.011998017934380018,0.003410738399421939,0.00015683152703444413,0.0012676072244313713,"[[333, 267], [253, 359]]","[0.5343204134485096, 0.21387442351335412]","[0.4064017824862548, 0.4014399638262707]","[0.022792899039465818, 0.01903147330770068]","[0.4961799604376663, 0.5318978947984352]","[0.5051750047569901, 0.4929636768835518]","[0.1724453990757971, 0.16153275211734347]","[0.4193319363833671, 0.4075538548302101]","[0.9965647433239251, 0.996421189804107]","[0.9959018326993924, 0.997901543629893]","[0.1697392145216676, 0.14646959176403945]","[0.009895665395946312, 0.01045590258030229]","[0.0065553045429612156, 0.006981423591676467]","[0.046852829783255376, 0.048241662909712324]","[0.0018745510398347294, 0.002397986829479894]","[0.016983587049052947, 0.014391640666648808]","[0.005375126713694821, 0.006126075723912126]","[0.00022302329201273114, 0.00019754578208389868]","[0.0026689764483543055, 0.0013334780479643863]"
0,N2,0.5544099715485706,0.3643183175102381,0.4003674770221748,0.019426114479605818,0.5142111154397444,0.4990538990791273,0.22066941703816806,0.3919974581734343,0.9963242316147184,0.9970344570674156,0.0392503618574774,0.022217708550204936,0.011925633385737652,0.0053190267282235415,0.04752489731675052,0.0008578306953024345,0.01175288346495726,0.004436043994689041,0.00020848347158148407,0.0013071430721071813,"[[322, 278], [262, 350]]","[0.5282140608774701, 0.2150267987230424]","[0.3954439156230757, 0.40501568562948054]","[0.023402170480284805, 0.015691737803645585]","[0.4995449988148316, 0.5278457102990266]","[0.5051052670138791, 0.4934951610934954]","[0.22217873947450686, 0.21930790086437604]","[0.39595748603818964, 0.38824157137706544]","[0.9963548716914232, 0.9962945133940805]","[0.9959802213903435, 0.9980180555744225]","[0.1511818770107915, 0.1345941365821738]","[0.012147464967039083, 0.01181405617166622]","[0.005497939709837924, 0.005035126232734092]","[0.04373771055514392, 0.04714629590917448]","[0.0016382177086305513, 0.002077696543150805]","[0.014111919169910732, 0.01586794995036602]","[0.006772831830178044, 0.005433573344878812]","[0.0002194163264409099, 0.0002067843433586457]","[0.001948321720739277, 0.0009374776775837049]"
0,TD_U,0.5651266766020864,0.4067736021998167,0.45410758583573696,0.024340719826140955,0.4082911580059779,0.49939393782138275,0.36317154033217486,0.4458498920863355,0.9972636351156454,0.9917225590528007,0.032957477840593066,0.07228934182513166,0.009827333914731432,0.006474119873772747,0.045790829269434966,0.0010495067446624866,0.016499220284436674,0.003915056925364895,0.00017278440126295013,0.003336755766737255,"[[338, 262], [265, 347]]","[0.574906927328442, 0.22037621515532663]","[0.45420578791751265, 0.45439935600266945]","[0.022665722031647073, 0.02618513571058022]","[0.3990569150882198, 0.41822453204629334]","[0.5048440595889522, 0.49350172082436916]","[0.35669734042399115, 0.3705892773314997]","[0.4470544427727671, 0.4446444515551244]","[0.9972724586306245, 0.9972541232186926]","[0.9915919519479146, 0.991897369229568]","[0.20663207826262842, 0.17002071916761094]","[0.014895815147175778, 0.0104585181823958]","[0.005453458171149976, 0.007559784524025482]","[0.04609942429693241, 0.04207729749934893]","[0.003436081193092614, 0.003303196801049212]","[0.015715423699218394, 0.023606243736969]","[0.004152078366154992, 0.006342606545387469]","[0.00017081999496790186, 0.0002462565211601014]","[0.004380296567512342, 0.0031433730414764526]"
0,Uniform,0.594777130470126,0.3832039455427644,0.47066557909165063,0.025954457227807544,0.5301719731844518,0.4993390835623165,0.38704981542058037,0.4511052140977488,0.997504274262097,0.9946710853606235,0.06350552174934275,0.027229571186898314,0.012999481138047213,0.006326315451037162,0.04950575154696593,0.0009786273439036759,0.018571969792160876,0.004143945411088251,0.00017162507222260042,0.0016022287381477123,"[[337, 263], [228, 384]]","[0.5531027974222787, 0.22082003049750282]","[0.4731954464280256, 0.46832011047205413]","[0.02837468891694475, 0.02368388075848691]","[0.5161999418839536, 0.5432299244425891]","[0.5049224440330544, 0.4939658213625105]","[0.38305742894821193, 0.3905542317683335]","[0.4545178971751259, 0.4477755746344604]","[0.9975371065287326, 0.9974727284234849]","[0.9942370216194908, 0.9950344965973198]","[0.16428977108471896, 0.13990531390958866]","[0.014849616355593382, 0.012496564788555728]","[0.00862298307775461, 0.006924353391609508]","[0.04915117400376967, 0.047100328310471604]","[0.0014933076583361058, 0.0018831437667283432]","[0.023314509244851792, 0.023117628845449215]","[0.005368075370031467, 0.004923079521475147]","[0.00017823560091812088, 0.00020415290381319148]","[0.0018021776965362164, 0.002568784687165728]"
0,kDN,0.565113128302398,0.35826764436296976,0.340521043735652,0.019675189835392355,0.5127124296961006,0.4990111174997742,0.26949375845663653,0.4210793039983723,0.9964587620304307,0.9965917733919728,0.04978296864545851,0.020922555245945888,0.007808694909027302,0.004796076973131349,0.04809391360581112,0.0009288637085736927,0.014670362309262054,0.0030023222927149052,0.00020271389877737526,0.0011660296710301716,"[[331, 269], [258, 354]]","[0.5316304102186226, 0.1977730493457464]","[0.340849626105046, 0.3400831139031647]","[0.021721435124087345, 0.017655473098031515]","[0.4959647957533827, 0.5282489635095448]","[0.5053128139343949, 0.4930647015292823]","[0.2625660396436412, 0.2760763200752182]","[0.42121913716403026, 0.42086980534631946]","[0.9964762820901187, 0.9964419714436193]","[0.9955636692004756, 0.9975456170701531]","[0.16343437269097288, 0.1466505219510353]","[0.0074833305086112216, 0.010733152497046629]","[0.004901997484870523, 0.005570476247971674]","[0.0463838108628608, 0.04808793043538499]","[0.0018003309156979792, 0.00224393137540993]","[0.018258216643024874, 0.01681672896236592]","[0.004108614894018603, 0.0037419003692234867]","[0.0002272032450998098, 0.00021188199052926744]","[0.0020345014879555746, 0.0017572859101223452]"
