n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.7166969147005445,0.08348188349842993,0.224639471690898,0.1995012256874721,0.36431711642537745,0.16015852094618527,0.18087636630607706,0.39196790330947034,0.9770459422404617,0.7769135761613756,0.04124350199575407,0.013142893677676968,0.009960146887231422,0.008130317996583631,0.043591108818937026,0.011777802049675764,0.01587284020057143,0.008101431821049571,0.003618902251239457,0.007757886884383204,"[[378, 36], [128, 37]]","[0.06315344919849622, 0.713661995898838]","[0.21384366729509802, 0.5593931989063566]","[0.18611377371703747, 0.6082283293799878]","[0.35545247987251216, 0.6371607356532809]","[0.14568758948723198, 0.6053760664036372]","[0.16992739048746977, 0.5310808033340928]","[0.3884881265068481, 0.5038442991708985]","[0.9764961221173871, 0.994211552815876]","[0.7737638619166545, 0.8761627363864207]","[0.014788369510640295, 0.13483737660202802]","[0.010770183887917582, 0.05213607543685014]","[0.00899262328895171, 0.010941009689199149]","[0.042300382824215076, 0.0614807110557778]","[0.010426139595698419, 0.010883698859670266]","[0.015693278719504492, 0.07456836751162675]","[0.008201786165709324, 0.032913422298841546]","[0.0035165138358016104, 0.001527805932358603]","[0.0076691133536232435, 0.015242011954517756]"
0,DCP,0.7046279491833032,0.10919062221928064,0.24897323890837691,0.18172879385753318,0.3888344420999455,0.21902047338950587,0.2169821396616684,0.4043018192464293,0.9799040379554423,0.8075598796890743,0.03879126080985769,0.022014480744574398,0.013917429813755489,0.009076676331043318,0.04984538385815811,0.010121080003940151,0.025843490707088197,0.011219136123901768,0.002403333742128945,0.007539536981037157,"[[383, 31], [140, 25]]","[0.08953978173036388, 0.7663664526421963]","[0.2383810402063214, 0.5974857768725046]","[0.1687067010005872, 0.6101235553349708]","[0.3818319757348379, 0.6250681285686838]","[0.20702659025424303, 0.613548397078809]","[0.20429678587390704, 0.6335321037287571]","[0.4010021745545842, 0.5120556037762086]","[0.9794526722476682, 0.9947264388787644]","[0.8059302699356194, 0.861690448948458]","[0.020026421660806513, 0.0883106580882964]","[0.014778901466712334, 0.04624883382967934]","[0.009562045629184912, 0.014401157031842336]","[0.04660748314365691, 0.06413167703425496]","[0.011147107975278198, 0.01503085738764361]","[0.02758890841848374, 0.11120311534487]","[0.011099131059550642, 0.024716365234996904]","[0.002355649736859109, 0.0013567617260416144]","[0.007665107953010014, 0.014463848369533492]"
0,F1,0.6650030248033878,0.23450849751068165,0.3227414859428891,0.3172244933184008,0.4357500831809954,0.2916301814261417,0.3007767139036581,0.42036320536634875,0.981520489313829,0.7643819357116068,0.07338530849506796,0.029836567553644455,0.014487769169224925,0.014390638956652779,0.045679678789331934,0.014873105586242245,0.02531777281752603,0.009313179264887686,0.002445616074509675,0.0074348978802410825,"[[310, 104], [90, 75]]","[0.08134527143709211, 0.7486683858998349]","[0.24476397889705176, 0.5845391384758213]","[0.22005171845831314, 0.6441000189309236]","[0.40334538252614927, 0.5453039359409165]","[0.19096034199715814, 0.6297581659772339]","[0.21344086531556555, 0.595450260973644]","[0.3928037122950042, 0.5125519273313244]","[0.977608152347516, 0.9946807293288009]","[0.7501334384462435, 0.8126878721368938]","[0.01775720789666749, 0.07327984365756604]","[0.012858127360478786, 0.012276224887734137]","[0.01092991483171479, 0.007252888735921364]","[0.045466906604866526, 0.04804945690651898]","[0.010305531915631876, 0.010096956025793013]","[0.025472745348711412, 0.037590338419965]","[0.009374126319106455, 0.015114274497381277]","[0.002864323787328646, 0.0007653362442470166]","[0.00868977493476479, 0.010275398325489295]"
0,Hostility,0.6788566243194192,0.03396834851927843,0.21113280531839007,0.2250349837825505,0.3873322844406343,0.20819228989009747,0.1732303655167511,0.38767684175942435,0.9770082720238449,0.7858374331708108,0.06151508671351292,0.011124614988873587,0.011425925751323935,0.01072952407595934,0.056136580962923,0.013800118937420057,0.011764143358450017,0.0074459365226567,0.002362851046994597,0.007228023516248967,"[[356, 58], [128, 37]]","[0.011564441732106894, 0.4154038503155409]","[0.19376475077599642, 0.4956543361838568]","[0.19941776334116407, 0.6411278800363844]","[0.3791623101952582, 0.521780460458858]","[0.18259613386249424, 0.6238593261007455]","[0.14933320587554672, 0.5605713955263436]","[0.38164664096058964, 0.48564877211747176]","[0.9759854417197088, 0.9933552501352402]","[0.7821537633784154, 0.8464109713097097]","[0.006201549053316383, 0.18086025333513622]","[0.012110596400342497, 0.04909289277422826]","[0.010563074600313055, 0.019561293187873058]","[0.052825005628233335, 0.061758392445063974]","[0.012676808312674833, 0.016963148388623225]","[0.013795577188159165, 0.07976100909575251]","[0.0079944209978569, 0.030516958687777082]","[0.0025256320957790248, 0.0019088769728443128]","[0.007440830939170112, 0.01759569661495506]"
0,LSC,0.6562008469449486,0.17348416322868637,0.1836494069024349,0.27939230635521456,0.4111869815484006,0.272783797660224,0.10975358076986245,0.36148603067449214,0.9720984451360823,0.7985222935557175,0.06177781110541052,0.029751324913686452,0.011137160221693341,0.011658218129044308,0.04984403102601894,0.014226691828628006,0.013771685402353274,0.011354326623462205,0.003516823580695512,0.0077391797555851575,"[[310, 104], [95, 70]]","[0.04343889847893083, 0.6446113651849441]","[0.10921949917390858, 0.4528921146498545]","[0.18299585434568405, 0.6297474284205815]","[0.3692406601091589, 0.5629185581632695]","[0.17741295374854926, 0.6187505639324646]","[0.05177401608756725, 0.31888334836231774]","[0.3482059678938293, 0.40973166518069054]","[0.9677781784194194, 0.987623797572956]","[0.7811502857748803, 0.8612419631452413]","[0.011646493452427416, 0.0763737411064462]","[0.011956474484348643, 0.02383490646394178]","[0.012861457825624095, 0.009429717035853484]","[0.04798515243858828, 0.054590938677716236]","[0.011042341126661219, 0.01125651900019587]","[0.014407572943850233, 0.03404612571913781]","[0.012008823411068953, 0.01661042190807011]","[0.004452890497362888, 0.0011515866877025622]","[0.010447944314398515, 0.007082998601242857]"
0,N1,0.6493647912885663,0.15831991234069465,0.23630654282583596,0.27903966693305876,0.4169706687161482,0.2749741119867321,0.05241637924906175,0.37903794888904374,0.9794846926676468,0.8151392473948567,0.06720402492702844,0.024723657894575646,0.016782148009210896,0.012364328019843043,0.045943178621902336,0.017471102776875743,0.009518566445317898,0.0074270269764856525,0.003040962125602196,0.0071955991603383776,"[[331, 83], [120, 45]]","[0.0687993339207853, 0.683833701408084]","[0.1966907518895127, 0.46851915464174076]","[0.21940322225932393, 0.6272448382938356]","[0.39431825400766085, 0.5514723373782993]","[0.21626490620832378, 0.6196041619903654]","[0.03450550110953616, 0.1590098058440675]","[0.3701232201291008, 0.4331094710021629]","[0.9778950949663766, 0.9889334008284516]","[0.8084058868240561, 0.8545960992441888]","[0.018656772517468414, 0.09338888883865215]","[0.013276851087333752, 0.0269420243852352]","[0.008078305131052363, 0.015483170822765928]","[0.046412015688057986, 0.04905928647684558]","[0.014464959079561752, 0.015570902801515957]","[0.008599725396620557, 0.0341918700124791]","[0.007509703397073163, 0.018675347818404013]","[0.003132470776538281, 0.0014665001202152637]","[0.007520332696290813, 0.008737622977647047]"
0,N2,0.6527525710828797,0.1694486729763717,0.22866878460961457,0.2865975309623712,0.4215803372161691,0.28589726677871347,0.15703379516255947,0.3051471781713372,0.9750723280535849,0.8109006405306625,0.053724686411564776,0.03494676617429821,0.011973308411302315,0.01809074774112911,0.04520174165582395,0.014098646307492333,0.01697874440865462,0.00962704388991844,0.0023832740839895062,0.007433248117586385,"[[327, 87], [114, 51]]","[0.07412320225626498, 0.664407087464977]","[0.18118226244949812, 0.47517861702005015]","[0.21634214614367292, 0.6508535505866269]","[0.39853945290746834, 0.5430708976246464]","[0.21962143468521833, 0.6293614306201945]","[0.10934750591578946, 0.4014816948953882]","[0.29832182375793825, 0.34092792404117567]","[0.9724886234383128, 0.9884383337759693]","[0.7994515712289328, 0.8706949223818843]","[0.024728539791262844, 0.10200338712646426]","[0.009626987852610071, 0.04320131096881942]","[0.013426321112119168, 0.01745290805239077]","[0.043159611081162834, 0.05087140057433797]","[0.008707712280547621, 0.01474767591046452]","[0.012489247795505464, 0.05979575992954492]","[0.009830641863589331, 0.021334636644277115]","[0.002828567659945242, 0.001449292535821719]","[0.008200710101569156, 0.009251974804258125]"
0,TD_U,0.6718995765275257,0.19765151013744567,0.28274148594288906,0.27027966989610536,0.31571342242797984,0.26555433812065377,0.23914239857038852,0.40220597641370626,0.9806642940654818,0.8071165456938838,0.054790064314854565,0.03788660278448444,0.018396861345209483,0.023411235624767622,0.0446287350858356,0.024018137603301386,0.025514345855052266,0.0066377578259991885,0.0024396208340856187,0.006805210061758272,"[[319, 95], [95, 70]]","[0.08358224597888404, 0.732143699761847]","[0.21852340671516365, 0.586581700796607]","[0.18315889061064838, 0.6800309832599203]","[0.3116315359335047, 0.3353239332105834]","[0.18596170173198864, 0.6405482311221744]","[0.1629517499290049, 0.6045243632431611]","[0.3853281027494398, 0.4798982146900335]","[0.9777530843502792, 0.9945463987402393]","[0.7980862759293179, 0.8499212454292306]","[0.020033226064951268, 0.09243178849600417]","[0.01342841205380685, 0.026520487143048024]","[0.015109489099340519, 0.023764958751565653]","[0.04502878788557576, 0.03452508258316676]","[0.01645862624443159, 0.010967034066748704]","[0.020182831757948525, 0.054181353670151366]","[0.008445729420026957, 0.01873083873061218]","[0.0024013896201378155, 0.000745594555004277]","[0.0065551612860644025, 0.010281928416189917]"
0,Uniform,0.6768905021173623,0.2964870092145226,0.3796554665725359,0.3605291445883153,0.4827002194445146,0.3581323671612989,0.36417533209296393,0.44174575931792265,0.987967345637206,0.8365003934373186,0.05443615326684731,0.02143518177474268,0.01123855913045432,0.006325301955166674,0.04228703996661371,0.009237141793472398,0.014094981300127726,0.006707771399560469,0.0013171107015865094,0.006426580731438333,"[[309, 105], [82, 83]]","[0.11727525491696703, 0.7706765120479064]","[0.3017331970461152, 0.5849376157423498]","[0.2544289635189159, 0.6411258165631998]","[0.4466085787537081, 0.577939058980544]","[0.260691940458024, 0.6157450237506338]","[0.271930971285115, 0.6071897596620579]","[0.41898725383156005, 0.5016818391502375]","[0.9853865052553706, 0.9947632046127453]","[0.8250879139167514, 0.8665333517950563]","[0.03324487772892548, 0.04724469110039518]","[0.01411471889224171, 0.021523028865450555]","[0.005871279794070954, 0.007345094776704955]","[0.04375342797026838, 0.0445865051175595]","[0.008922038369147341, 0.0065094396414215674]","[0.01960959223920981, 0.026678355965613375]","[0.008182351750708689, 0.012174724687821962]","[0.0017689922233824753, 0.0006071143474868011]","[0.008274545573420966, 0.00534919995288736]"
0,kDN,0.6752268602540835,0.1049679734668814,0.1544055419507137,0.255150870386165,0.40258861154832426,0.24994186369911367,0.14237638591665994,0.37977045104182283,0.977118688389206,0.8050082364447976,0.05054309790876288,0.017293890610236312,0.008833356615446134,0.014490719818398957,0.04664916670662613,0.012055769051203011,0.012822381836041159,0.009928214049480685,0.0033696916376723383,0.007545614002953346,"[[340, 74], [114, 51]]","[0.0417390311705276, 0.575598323166527]","[0.13307600539760758, 0.31210919095492284]","[0.20598557794569575, 0.619735590379783]","[0.3867026473173394, 0.5210191616444168]","[0.20203416423069198, 0.6059371509189749]","[0.11724451687388218, 0.32991922786883526]","[0.3725035057616807, 0.43413818544902066]","[0.9756999707001442, 0.987647646699609]","[0.798511862353765, 0.8533726603471964]","[0.011646686658855944, 0.11142841782374542]","[0.008024311213140121, 0.030178782455986788]","[0.014387621005292776, 0.013375882907369659]","[0.04461919191486729, 0.059829724791084664]","[0.012035171166560452, 0.007925992572927002]","[0.013928913703007355, 0.05417768376757238]","[0.009988068894624337, 0.022477639371171827]","[0.0036480920038703627, 0.0025039896710964704]","[0.0081707547090801, 0.008747671057773295]"
