n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.8546076458752514,0.027079308591764106,0.14190137264870362,0.08052631409669102,0.42547562560018076,0.09096942974483223,0.09370174546687002,0.37374330489038715,0.8657537220064706,0.5892262482476005,0.06750129679889029,0.01485558971582645,0.019089236705473748,0.05228484931160789,0.06803939121462803,0.008274155802649936,0.02098619255819358,0.004735142400297147,0.009639446777218797,0.019363864026249174,"[[204, 21], [30, 96]]","[0.008549958064256466, 0.0357667321893652]","[0.012906776887738319, 0.20118256714605312]","[0.0710892921049419, 0.0838307194256247]","[0.7838752812520917, 0.260881416049361]","[0.11762776696096922, 0.07917427334515952]","[0.042914991748561525, 0.11644368976298458]","[0.2377845744494526, 0.43508721579865994]","[0.7091373651417189, 0.9363523728221681]","[0.899820346530853, 0.4494296964951916]","[0.007628247604664616, 0.01740591461724493]","[0.010464411402471103, 0.03540679025635375]","[0.03979908538123105, 0.05267876962708095]","[0.06073518259800428, 0.09068681128613382]","[0.0049935115970369025, 0.010520308558213847]","[0.02280208382824048, 0.023233432557271966]","[0.023613994840324688, 0.007691404514890409]","[0.029336857343685203, 0.009322168669487823]","[0.01014952097466458, 0.02164070960217015]"
0,DCP,0.8662374245472837,0.0391687849517031,0.08134824605998983,0.039978559922102544,0.6146005748897208,0.15159591134233213,0.07454553707604038,0.30740788107494116,0.8415356670716619,0.7989105082343516,0.03635743068664271,0.03008497730670101,0.03828850852428541,0.022754778572121975,0.0972160387968159,0.02643052803085513,0.025009583090443405,0.03427158165469386,0.020322230847388965,0.06611154556752766,"[[214, 11], [36, 90]]","[0.0279348134452142, 0.046798516258592895]","[0.02399262298684336, 0.19143638976183044]","[0.04940366458296054, 0.019748200612057763]","[0.7902086174174388, 0.24366986428352316]","[0.1314548947132925, 0.18090027575216439]","[0.052266893291345776, 0.1064658184250564]","[0.24918813430802098, 0.4359732369284567]","[0.796185669049126, 0.9363563129842202]","[0.9038326952572318, 0.540663152151621]","[0.012976963932290309, 0.0485452285237161]","[0.005674602156237456, 0.05246552882178082]","[0.02158101295929881, 0.02038623590825479]","[0.06709402540349409, 0.09818220966237148]","[0.008022513259540932, 0.046209465097451434]","[0.0134523077112676, 0.062496000178821336]","[0.011109430152090899, 0.012237293713120793]","[0.01821573730584226, 0.009577012624278061]","[0.024694883531778317, 0.14523559866086105]"
0,F1,0.8575452716297786,0.06838078291814947,0.16880274529740721,0.13695119611447543,0.47470702834136996,0.178866132452605,0.14352605490594814,0.3749445253449645,0.8795363275089711,0.5610086888200767,0.04518435585052675,0.008547317447846486,0.013861684501861276,0.0721047228534983,0.06348619242945605,0.009866475137833909,0.01153478658288019,0.005670917007589549,0.005389898141227668,0.011436400517527447,"[[202, 23], [27, 99]]","[0.015634347721802173, 0.10338241100327146]","[0.01704314680056481, 0.27021337787940947]","[0.15550507776478031, 0.12404345251149322]","[0.7384457437050074, 0.3012382530294051]","[0.18433134693146885, 0.17493033435279254]","[0.09558133932795566, 0.17533996693509382]","[0.25930845597996244, 0.4520958972060042]","[0.7816988300979414, 0.9441933272233362]","[0.7654452650919926, 0.42394567440185965]","[0.009361928889399957, 0.012611522382109575]","[0.0018215166510705916, 0.01910808138627219]","[0.06840897842907655, 0.06433238387517659]","[0.05677784308565636, 0.08536790916610063]","[0.02693374787302457, 0.01495885753236369]","[0.013767339395889547, 0.020605081365798673]","[0.006214037375382377, 0.001692438725519722]","[0.019818920586520166, 0.005643964152247871]","[0.013444434782651138, 0.02852980064582304]"
0,Hostility,0.8602816901408451,0.003561260803253685,0.04686273512963905,0.08820894971766018,0.612128311585607,0.13793521018117288,0.044407473309608536,0.28553316533479745,0.8217486586920174,0.7277881252792284,0.0399999291523163,0.002516400658462905,0.015503806153111995,0.04751693562266905,0.043046984673866605,0.014451861303071536,0.008409321087963065,0.01339980220229787,0.036904826697129266,0.007103087486803232,"[[210, 15], [34, 92]]","[0.0, 0.011454739857572274]","[0.007545957756094357, 0.12710578520177263]","[0.08742398222686973, 0.08962021842807479]","[0.7720332576178656, 0.27631064885938567]","[0.1469924864135555, 0.11903280625701593]","[0.04289882074643673, 0.04702248381044605]","[0.2178946455414314, 0.42675086936279244]","[0.7745078410942998, 0.9208501108851227]","[0.8828386444567059, 0.39864271773529575]","[0.0, 0.006857590495046254]","[0.006026854946615887, 0.023662547956055078]","[0.03693619940837034, 0.05620487759284694]","[0.05854621834234085, 0.08440846667518964]","[0.010726676141450413, 0.018459679811699048]","[0.007411046622134604, 0.015390492519201441]","[0.01626988686281295, 0.010268189134324776]","[0.04058826987521524, 0.01317606577149622]","[0.007831770483950706, 0.05011468242374238]"
0,LSC,0.8747686116700202,0.007831723436705644,0.012962887646161669,0.08464907588708112,0.7195468410592966,0.1266121868434442,0.03444606846297237,0.24414845663655318,0.7164865750144582,0.8355007625826131,0.06297924928253794,0.0058452536262780476,0.0041006818303617,0.05259006693593046,0.07136483821076113,0.007545009886457725,0.011837061118561048,0.00820914290865737,0.019940037523140147,0.017868557442085216,"[[215, 10], [34, 92]]","[0.0048744366987700915, 0.03171794871794872]","[0.0028981665889739475, 0.10200512820512822]","[0.08477418473133376, 0.08521830528394506]","[0.775488084624942, 0.26556827894327895]","[0.1255529695965077, 0.131959990319148]","[0.030796222686192858, 0.06293238705738706]","[0.22119906270610232, 0.4321243836094107]","[0.6949783986655914, 0.8944890986790988]","[0.8829690763928175, 0.4459805749805749]","[0.003116435318885755, 0.029062448348522178]","[0.0011223154287958838, 0.03846958001403549]","[0.04663558109694777, 0.05931255968483834]","[0.05469688401718388, 0.10994482839141825]","[0.005814291896030644, 0.03239232377895514]","[0.010571344501664227, 0.038061436059179]","[0.007773506142600632, 0.017032440254039886]","[0.020763995682924304, 0.02712484771141514]","[0.008967000370393332, 0.030942021832566755]"
0,N1,0.883138832997988,0.01639298423995933,0.051580071174377226,0.07856855898352474,0.6152749662358203,0.14678529913803906,0.0025233011354007795,0.30011378963950974,0.8305090775345253,0.7732396666204495,0.025797875993474512,0.01029627893913594,0.012032564739154653,0.044812089332931605,0.06974582905205637,0.011696198641415845,0.002150322464096835,0.008219159920630903,0.011125348497862262,0.024451461174781794,"[[214, 11], [30, 96]]","[0.00957172588216629, 0.030268447467293052]","[0.0040356988819216354, 0.15183710812354]","[0.0745699996707516, 0.08858233643889171]","[0.7847013101391711, 0.2692074552949106]","[0.13384189771627691, 0.17513220225913284]","[0.0014326855697414076, 0.004894100838996847]","[0.23703936270674802, 0.43170285403376096]","[0.7813935265863472, 0.9319748607663172]","[0.8978032634451673, 0.5178163324013279]","[0.00834831123875611, 0.02008052991871914]","[0.0025982525024647574, 0.04278871027094604]","[0.036102265511680026, 0.04843671832511984]","[0.057335250163611136, 0.08780399163612831]","[0.009524030871064619, 0.02403626683869994]","[0.0021230209080927583, 0.005476810404058853]","[0.009186688457167766, 0.014960153313795332]","[0.012171079810113799, 0.012546374259220346]","[0.007766813546747312, 0.03013062559131018]"
0,N2,0.8518309859154929,0.005693950177935943,0.017808845958312152,0.07782366826631479,0.7263251734426113,0.1392632953487558,0.023982587697000506,0.18624193124203922,0.7800624127744945,0.8819814823373543,0.043640779657958484,0.004057563790388391,0.003850668856619932,0.04326351132564864,0.07441282665718303,0.012759663072037441,0.010318071163135248,0.006324373883848257,0.01546197988018821,0.009308006055658664,"[[218, 7], [45, 81]]","[0.0030934652148135295, 0.03627984918307499]","[0.003942530741791343, 0.16673387096774195]","[0.07751445820898974, 0.09000326280797259]","[0.774701014470786, 0.25141338500209465]","[0.13273583495605742, 0.20301499142627993]","[0.021621710240764244, 0.05864142577852255]","[0.17433634655702046, 0.3203379094719349]","[0.7636027898157777, 0.9430342712842712]","[0.9065062213487005, 0.6276221579007503]","[0.002891683856880526, 0.023100583056390678]","[0.0009052971294701985, 0.07058847519521168]","[0.038915891664116305, 0.05217976976831433]","[0.06410798412658394, 0.09504110752822302]","[0.009124710146007678, 0.03461176679342243]","[0.010287229559598685, 0.04231293992532244]","[0.007253049238155335, 0.0620433523802911]","[0.012827787316600048, 0.016897704462622197]","[0.009616210027953494, 0.05955085209456739]"
0,TD_U,0.8830985915492958,0.05411794611082867,0.15670564311133706,0.09793976428953247,0.45115159603148924,0.18532388504490366,0.12563635703391676,0.3616712097171247,0.8820610566130556,0.6912229822372171,0.03287076126011973,0.011030534831262291,0.0178180382612568,0.059313763950862776,0.07101353355343862,0.011779193845400143,0.005414222440421281,0.010313556979382675,0.0061791592856001295,0.02161990050677135,"[[206, 19], [22, 104]]","[0.03470740883557575, 0.06837911250611763]","[0.02668692172209311, 0.2465635266357708]","[0.11610074630210372, 0.08514435450368915]","[0.7441593586906553, 0.25487177371874414]","[0.14572084687266382, 0.21178857960119588]","[0.06407800520393665, 0.1680795801499984]","[0.24112228726476398, 0.44377348325258914]","[0.7903213681139398, 0.9440232961158779]","[0.8755746610793352, 0.5649990550832332]","[0.019865460473781786, 0.0071356356066308935]","[0.014045203120601537, 0.03369065702015851]","[0.07013570368802445, 0.042306836429490936]","[0.05963782157381131, 0.09647736951217183]","[0.01731510660252022, 0.01562531720049499]","[0.013802084016841173, 0.016470819337375164]","[0.008473034449280641, 0.0057476884546940055]","[0.016687185665637476, 0.009391540973207898]","[0.015196763602512793, 0.022694335360568856]"
0,Uniform,0.8803621730382293,0.061980172852058965,0.12195424504321302,0.104466508480701,0.5941686629898374,0.17993308485329895,0.11491604328564164,0.32746804759173476,0.8515773446793945,0.7749010953459352,0.02772012265143382,0.011548768950945188,0.020340869153328514,0.05366880880392728,0.05414873880796589,0.0130262616007094,0.018435483149795436,0.00892967569873522,0.02512754381975665,0.017642237075919345,"[[211, 14], [28, 98]]","[0.03653205789966778, 0.10288256331734594]","[0.03417752799631473, 0.2654447793491272]","[0.09198293502857778, 0.1259136254768263]","[0.77358495711923, 0.29837364588668935]","[0.13278627735780396, 0.25858970937656794]","[0.07553281984469086, 0.1804642846881977]","[0.25529968589181073, 0.44720189369422414]","[0.7935523250802051, 0.948380506693985]","[0.8926888431277323, 0.5800753491820686]","[0.010640983729935825, 0.020251392250489664]","[0.005304012955603806, 0.042800392042331534]","[0.04216769209647703, 0.06020011605620656]","[0.053922970618641444, 0.09554659568487146]","[0.005922019846749765, 0.02889330461874557]","[0.01211313745806269, 0.024776310192901354]","[0.006822425545083282, 0.010099629222726959]","[0.027513089695406036, 0.009486379139305381]","[0.007554169475945822, 0.017847429834768242]"
0,kDN,0.8232193158953722,0.008553634977122521,0.008549059481443824,0.08445833154471108,0.6738718848371874,0.13450369407024734,0.03467039484833079,0.2755117098594791,0.8080978910616677,0.801131857466377,0.03917180005511087,0.007399464051654377,0.002987199616000174,0.046307722231726,0.07030075876250305,0.009428359782187395,0.00814812077850369,0.008353134211378564,0.013797439146180916,0.005454640763649118,"[[213, 12], [50, 76]]","[0.007048363015253042, 0.014995860241761883]","[0.0024967116971846967, 0.033031296572280176]","[0.08667533184116456, 0.07546312771082289]","[0.7800324246855228, 0.2576955082966012]","[0.1358795277575744, 0.1255877380280904]","[0.03844936625156165, 0.01914756463936792]","[0.23942761824431696, 0.41643971442847477]","[0.78362979101768, 0.9040509940796081]","[0.8866337235842746, 0.4647655176418216]","[0.005162686138640593, 0.013860065289603155]","[0.0012996422199109143, 0.01248044712999119]","[0.040528052404142645, 0.04469087477612279]","[0.05939282774038227, 0.08560820838249582]","[0.010252268593956884, 0.04231411162551949]","[0.00854244673906441, 0.007472449208040782]","[0.006109962988279042, 0.0179034453118821]","[0.01253069374470694, 0.014513177875276635]","[0.007632211112387314, 0.07114135062431093]"
