n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.8144578313253013,0.024765729585006693,0.09868808567603748,0.11776469435193888,0.44250949641433773,0.1490667906597712,0.109208155372814,0.10938898459836821,0.967543185448284,0.6631057563587683,0.04925207941126392,0.009637934433938053,0.0063360798324096634,0.009858744997651919,0.04970490200257063,0.00937465750367014,0.01535296650403493,0.0073335611574813124,0.0017763513862180049,0.006824888086269708,"[[348, 79], [75, 328]]","[0.020300626748191084, 0.04268083085797504]","[0.08815297379035666, 0.14022038466862846]","[0.11093812044814658, 0.14415795744616663]","[0.42281484511935574, 0.5175036068955646]","[0.13990229535292542, 0.18504443605871357]","[0.09844301811861031, 0.15180275377833566]","[0.09694558563968947, 0.15810088100489947]","[0.9639584953758646, 0.9814649754370374]","[0.6510446027242397, 0.7100101626209685]","[0.008736253423032452, 0.02112667395127882]","[0.00617735258240916, 0.01954249115066956]","[0.010158357643552203, 0.017782233054397252]","[0.0509345445408916, 0.05919028698809655]","[0.008665545349337212, 0.013241541790013687]","[0.014862348732505267, 0.026828792005802456]","[0.008345310196716861, 0.02800647499722217]","[0.0021498840458002142, 0.0031928217261805113]","[0.007907034871357682, 0.005927069774199618]"
0,DCP,0.8397590361445783,0.03547523427041499,0.12902275769745647,0.09633077940950197,0.46724936869267053,0.18792328702254918,0.1347385308429485,0.1300319142524718,0.9747133172366775,0.7202677376171351,0.06816670189165926,0.007393146597849573,0.017767528572844846,0.01074428959934126,0.06061864759235171,0.017465073880037776,0.023498683207175866,0.016015205672558343,0.003579390012529127,0.012932216549627397,"[[370, 57], [76, 327]]","[0.03355449077241178, 0.04804883281684133]","[0.10997821045416827, 0.17791433005232235]","[0.09391242579446848, 0.11353117184559056]","[0.43826035797693236, 0.5148861918388834]","[0.16579235825326336, 0.23335682136180172]","[0.11042342930602847, 0.18251761503197877]","[0.10859202383555248, 0.18360284910842634]","[0.9694962652967737, 0.9840948511634041]","[0.7089005915545366, 0.7418098599595871]","[0.012815104134356197, 0.01676491394889822]","[0.01887363499031014, 0.02313876154964449]","[0.019504626928895822, 0.011570432154396675]","[0.05145727424541818, 0.05346563525755315]","[0.009132518663808471, 0.02046408612182058]","[0.027667205335626926, 0.03455853211452781]","[0.015219077906251061, 0.026045036355827965]","[0.0027046370479204642, 0.0029585724943390177]","[0.014090556035003554, 0.006141600415579291]"
0,F1,0.7530120481927711,0.135475234270415,0.2179384203480589,0.20978549842802874,0.4734452710409397,0.26085907591829144,0.23240841673572596,0.2070038460356458,0.975566933342234,0.6243908969210172,0.06253980523051178,0.019469105187551437,0.01658821266886335,0.015109029445670654,0.04392687177618291,0.018091843628396786,0.017079839622940227,0.014424708211564422,0.0023884689363318475,0.005948690970714526,"[[327, 100], [105, 298]]","[0.12420390727588797, 0.1493655224122689]","[0.18897666992864046, 0.2538897864189906]","[0.19571961346015404, 0.22727506065282319]","[0.44080582335485163, 0.5136551421004527]","[0.23502239102145114, 0.29267661102738246]","[0.2081079968966087, 0.2636507138526156]","[0.17003352605129857, 0.2530601638528338]","[0.9660245024568708, 0.9873963322527238]","[0.6100197639520203, 0.642185967715392]","[0.01943508434628158, 0.021435011106566138]","[0.01724347199519059, 0.02107978115022568]","[0.014505168922216356, 0.015980789787908286]","[0.04081398249802333, 0.04836739881713104]","[0.01790059125731797, 0.019295765297601162]","[0.023444194014798764, 0.027724731893133896]","[0.012583026303903797, 0.025691519646148516]","[0.004149789216701183, 0.002146303507110501]","[0.007999411118099252, 0.005746633600222269]"
0,Hostility,0.8060240963855423,0.009236947791164659,0.10955823293172691,0.127968841361864,0.42597597611396515,0.19530748630425968,0.09553547523427042,0.13689023869242972,0.9681536771927963,0.7080856760374832,0.05094231476442273,0.006418571579601722,0.019470659708380206,0.00902259206558624,0.042457946040216125,0.02168823341714,0.014203984351185858,0.021749322908837375,0.0036882832808540133,0.01631762607907516,"[[347, 80], [81, 322]]","[0.008091475651319695, 0.01053511664044358]","[0.09329135089395849, 0.12783257423464062]","[0.1306764546187076, 0.12594756047505468]","[0.39008683234708913, 0.4644652884124928]","[0.175411437992095, 0.2169137987346061]","[0.08301835416030391, 0.11097485819943505]","[0.11829691032938608, 0.15811693802940016]","[0.9587284891036099, 0.9787673833258534]","[0.6755642275683655, 0.7448148811740323]","[0.005177694051194291, 0.008066145928405221]","[0.025148695906842915, 0.022862473556413878]","[0.013897473856607374, 0.009029756631518834]","[0.04384165945359233, 0.053314257192220875]","[0.022272757614457926, 0.023898807529231077]","[0.023024695907122555, 0.018806352671330868]","[0.02309683942129179, 0.017057578202983148]","[0.003095364051382884, 0.004743144616246369]","[0.018976586362819264, 0.01096061761424707]"
0,LSC,0.7963855421686747,0.02222222222222222,0.054752342704149935,0.12145757901016654,0.4306553547012867,0.17410961704321243,0.062197042136801176,0.08345080002740388,0.9603648677223087,0.6912182061579651,0.05219338665473006,0.008037085088742117,0.007491604938384418,0.009569558657726887,0.04409521473856175,0.008436492266783132,0.010561665446012067,0.005701733810756737,0.0029801947104588387,0.011234385835658904,"[[343, 84], [85, 318]]","[0.01927410853771177, 0.02609986634070115]","[0.04092470783266227, 0.07380993905880066]","[0.11629864181068943, 0.12864957568616223]","[0.3968157927415926, 0.4766501195656579]","[0.16139513442456394, 0.19104772570927353]","[0.047317005147149184, 0.08223758005758587]","[0.06808461655038395, 0.10463024454696598]","[0.9515504636491803, 0.9725040837312596]","[0.6558697379389904, 0.7389130597865616]","[0.006449686937788287, 0.012652214068030373]","[0.006945918632781519, 0.013339259670981601]","[0.010418740958265732, 0.009734392270480898]","[0.04565949189332633, 0.05620415738856752]","[0.008903062089676882, 0.010065245714888996]","[0.007076240670910445, 0.02048380829800186]","[0.004859341366894543, 0.011196570744236418]","[0.004379494562738067, 0.0044995503225006535]","[0.013480112464727322, 0.008821795213457965]"
0,N1,0.7987951807228916,0.046318607764390896,0.12481927710843373,0.1497305475630657,0.4680938577600512,0.202851652854447,0.022756156902743248,0.14071424795838872,0.9744570111601674,0.7216331994645246,0.06933964932094863,0.014989587520308264,0.01428480484434209,0.009862870367598064,0.05136512212765103,0.015433492874301211,0.007395862452852034,0.012997952472167373,0.002101253966717854,0.005034369074310871,"[[347, 80], [87, 316]]","[0.03765062837263781, 0.055986136579447975]","[0.10370997004896057, 0.1483552340356314]","[0.13861679842522032, 0.16213641048910815]","[0.4339497736331026, 0.5064441548435418]","[0.18630534166639967, 0.2213717647604682]","[0.019039390481960277, 0.026888858110033047]","[0.11893005863572433, 0.16495637356097587]","[0.9679768531550437, 0.9817017572164122]","[0.7039862652649764, 0.7413199139855978]","[0.018504326608813074, 0.018864559143832105]","[0.010989531655891003, 0.019717198179110645]","[0.010606087460347177, 0.012349417478763641]","[0.05137533359808039, 0.055262137450519284]","[0.015075502597829088, 0.014976558002235282]","[0.006399940261704139, 0.008286567306440973]","[0.015277383858100011, 0.012583962132129811]","[0.002329921778026949, 0.0037367455921006178]","[0.009780194698302398, 0.0038603668610393826]"
0,N2,0.8012048192771084,0.06291834002677377,0.14500669344042838,0.1528424805398793,0.5070202191935809,0.19882665514982817,0.16615764645885128,0.025915457022757875,0.9773088601156598,0.716144578313253,0.056582340576728375,0.012187862814589612,0.008361723880038868,0.008647439009674301,0.04993201982054561,0.010434677632397193,0.020011640168016643,0.005363152674182085,0.0018551259635798656,0.0065165377998720325,"[[338, 89], [76, 327]]","[0.05942156846113823, 0.06649010872196488]","[0.12987597506103624, 0.16184968336591754]","[0.13602746029908871, 0.17156833417830514]","[0.46775437273168585, 0.5510983340235256]","[0.1924175935737255, 0.2058676134992629]","[0.1516549660581162, 0.18180281038788532]","[0.02205197313485601, 0.03022359920815732]","[0.972553215237166, 0.9825860569513359]","[0.6982556985745363, 0.7361837781551543]","[0.022439931796686997, 0.01802627484330911]","[0.012415631216435005, 0.014745736554382388]","[0.01104287531807333, 0.00914862898568622]","[0.05741903444352145, 0.04809055738217366]","[0.012845429467362971, 0.01129047337791472]","[0.028617098456558517, 0.025472910256444752]","[0.006184282248797686, 0.005148620165858107]","[0.002939263977682211, 0.002680139846184672]","[0.010160853238777528, 0.004544546130628368]"
0,TD_U,0.7698795180722892,0.11485943775100402,0.21148594377510044,0.19405901141831566,0.3358797662044057,0.26614546364961034,0.21392092178236757,0.21756584471053514,0.9734532652658018,0.7166532797858098,0.061025678871422934,0.019345985665300002,0.01521240333720544,0.015792377203755807,0.027971847131833857,0.015490756011779554,0.019888703797739576,0.014888938618438907,0.002233727340802257,0.00849951562816219,"[[336, 91], [100, 303]]","[0.0878245944713234, 0.1543656653030149]","[0.1693069413909119, 0.2708860565657407]","[0.19400688039442743, 0.19648971452300584]","[0.3342855219140697, 0.34121401890194314]","[0.21971898564060285, 0.33105647478713107]","[0.16906927114663758, 0.27966145576925905]","[0.17394186655173324, 0.27848575187316216]","[0.9650211946733439, 0.9848150446989757]","[0.6917059723535257, 0.7480849150859347]","[0.021643428394417328, 0.03443132238501959]","[0.018528582326603777, 0.03633707351094619]","[0.015501554614150743, 0.026613836632516766]","[0.025040856285500714, 0.03735147806955174]","[0.01723122775880437, 0.03475807751939411]","[0.022345086893928143, 0.06673247422314721]","[0.020236600495005107, 0.03605955764552278]","[0.0030395792080251563, 0.004815088305119045]","[0.009207874582059624, 0.014543271876138159]"
0,Uniform,0.7614457831325302,0.1650602409638554,0.2571619812583668,0.22797992736858488,0.4845202676967723,0.28206425290657255,0.25916549797071886,0.239949626428067,0.9822029833959391,0.7347791164658634,0.06594176948361057,0.01918319215079792,0.01537323296085546,0.010780551134086323,0.04771618855683358,0.012434372795703967,0.01589338646841051,0.015314839711615034,0.0010048116572527815,0.004460865456419573,"[[340, 87], [111, 292]]","[0.15829043726746567, 0.17256838196280797]","[0.24885803908321877, 0.266550706268504]","[0.2226039060755522, 0.23390298108511684]","[0.4587496314084801, 0.5126851492382352]","[0.26989285412306774, 0.29521882272190325]","[0.24396596054236414, 0.27570980669532935]","[0.21912167664789575, 0.2625800706059135]","[0.9776311333779624, 0.9871797804349015]","[0.7222031617318747, 0.7484863644598245]","[0.016296663302827225, 0.0320632942295708]","[0.01443383079236182, 0.020542558643934384]","[0.010200410514534092, 0.015404363636941759]","[0.049584749783005415, 0.04774187916541805]","[0.011542928947150182, 0.014387991718416909]","[0.01601341906001213, 0.027946414339130306]","[0.012378393090155605, 0.020913485353558237]","[0.001168396051792817, 0.0020979689449333897]","[0.007665316090504048, 0.007473524097232858]"
0,kDN,0.8120481927710843,0.016331994645247656,0.04591700133868809,0.11792659616866188,0.45040242842715894,0.16827102237474273,0.07199422026731264,0.09112312073203725,0.9674923538843775,0.7025435073627844,0.064055910160247,0.005040614456561514,0.005785514683931438,0.010134012797499203,0.0490495249534973,0.010389372825564307,0.008791553189579507,0.009560684053579235,0.0023543474609369155,0.010026566234117193,"[[353, 74], [82, 321]]","[0.015513818960503255, 0.01739213010924586]","[0.03735954305239059, 0.056825857589123605]","[0.11419603477977917, 0.12291185629541146]","[0.41266650634381674, 0.4975889021481959]","[0.15604960368355877, 0.18366978390816008]","[0.06052491602594802, 0.08661568357714983]","[0.07327407625852274, 0.11357760257497554]","[0.960918634463613, 0.9759093658057404]","[0.680608567143472, 0.7304587326574415]","[0.005433976414135272, 0.00622606301717814]","[0.005272874516208288, 0.006854404471984975]","[0.01027985332524848, 0.01024334328094191]","[0.05184192214893264, 0.05279874175019867]","[0.011977079588942126, 0.009430991886753398]","[0.014902147330053666, 0.012716606648716608]","[0.007395081508177472, 0.015238723915884265]","[0.0029170631797135016, 0.004487921764683355]","[0.013332782513216342, 0.00839951296047848]"
