n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.8060645580885877,0.01624320104413563,0.04477338702149421,0.0599644867157341,0.4115065829150904,0.11415522015223958,0.0371593608400886,0.15772320204810492,0.9299066076504825,0.9248704080624911,0.023775603675532497,0.004014357613857979,0.0032339367088318515,0.0031896547930641062,0.07202626544146633,0.0017761092495232023,0.0025045064303792944,0.002745684592644348,0.0026524003520326483,0.0023237528451261432,"[[3414, 404], [644, 942]]","[0.011299180989172075, 0.10081436358112246]","[0.03436096503413645, 0.2232024669717297]","[0.05065087226152928, 0.21969114104897533]","[0.4042364833783257, 0.5363040077922439]","[0.0959419068481131, 0.42683354313753075]","[0.029728873475567352, 0.16467805450295586]","[0.14793762077979117, 0.3252903038393514]","[0.9261571377813747, 0.9941136037606769]","[0.9206254908519151, 0.9976632801533765]","[0.0034839009688035646, 0.00839525271333756]","[0.002556675609925296, 0.015507283063763783]","[0.0027434781983352147, 0.013052435117682353]","[0.06958324142875612, 0.05784176119553523]","[0.0016241211908383907, 0.005782524362864811]","[0.0020309058496523493, 0.010618823198386751]","[0.002462378235572695, 0.011473771652740253]","[0.0028338134648657996, 0.0005013734368829688]","[0.0023781696236045385, 0.001199748959357848]"
0,DCP,0.8258656808379545,0.03047093993852614,0.04882392183999481,0.027371605402832577,0.4112211192003953,0.1675045407400722,0.03676585876255001,0.17306738777541344,0.944771335066479,0.9506003441670184,0.021220957119017888,0.007326147206763171,0.003312180107373888,0.0018699930650229338,0.07422459321296034,0.0037572076628804704,0.003375930230738426,0.002817769513882837,0.0020145469931907717,0.001611952098689064,"[[3427, 391], [550, 1036]]","[0.017761769297756923, 0.13920365082749783]","[0.03240688477792823, 0.1850477635532315]","[0.021981854507410886, 0.07294843840278267]","[0.4067944867051727, 0.4466796525280035]","[0.12907912535187582, 0.4832888709089394]","[0.025850837217898593, 0.12791596686541348]","[0.15920222057261232, 0.28661723953820284]","[0.9389115460575244, 0.9923704249264864]","[0.9447034920528765, 0.9981275065976384]","[0.004789924942725718, 0.04690480565088541]","[0.0033488630434407372, 0.025351754274374052]","[0.0015488772214239752, 0.011325383386376262]","[0.0735156897161863, 0.05927736503993527]","[0.005315477015354545, 0.027906516679838938]","[0.00308742626615652, 0.024221948731040204]","[0.004018121561630517, 0.011505404064549021]","[0.002302891263163917, 0.0018964591572401045]","[0.002380414006969254, 0.0010346176921439767]"
0,F1,0.849737112343397,0.10025491222658744,0.1342544586810178,0.14471983836211683,0.4476245888857848,0.280113017171321,0.10712271145988428,0.22856623638591556,0.9558683543367076,0.9479932299614706,0.013354286966443498,0.005044798260261875,0.001779094067753312,0.005745647311425279,0.06289432728667535,0.0043045354966690375,0.003220493528585646,0.0026291856490300966,0.0019098312770022402,0.0008364895528756989,"[[3445, 373], [439, 1147]]","[0.060650335708841555, 0.21735457641288564]","[0.08251876532604244, 0.2871704695867542]","[0.10023067704698715, 0.27623455449667833]","[0.42248180675236424, 0.522051030952187]","[0.19425259841007753, 0.5338706157890852]","[0.06817325521693895, 0.22228086306995615]","[0.19061380616844753, 0.34072537135679715]","[0.9423921478005036, 0.9956699612683728]","[0.9317338277758399, 0.996029231452084]","[0.0033732327483311357, 0.01601923728451985]","[0.0013311138229307384, 0.00628542752342245]","[0.0047089840937062965, 0.011353776458037224]","[0.06303540906950439, 0.05478752430059787]","[0.003554852569107768, 0.005201948648287609]","[0.0031506691575655874, 0.009477656976573368]","[0.002638675229199942, 0.006740938082345303]","[0.002570859188343991, 0.00022617107306719406]","[0.001366713955635453, 0.0010897213122941733]"
0,Hostility,0.8184753885123571,0.005099140800025975,0.026124690702890786,0.05050493438173174,0.40905299823659275,0.13609707113558944,0.020555754961154943,0.1480360205377134,0.9280020230510966,0.9292868816087102,0.0185732467700752,0.0011461273885329712,0.0015792684877651301,0.004061684736883068,0.07059204121526996,0.003662186790304854,0.001991812185022552,0.002672358262653253,0.002670908637689029,0.0019441295514275403,"[[3373, 445], [536, 1050]]","[0.002873833477700293, 0.03172239989866984]","[0.016905819585351128, 0.1362049598079307]","[0.039434974004785725, 0.18225377644014262]","[0.40103463687543284, 0.5023868503722427]","[0.10884064352388459, 0.4600930020922175]","[0.014709057580020429, 0.0906905328924786]","[0.1370673321980025, 0.2785663767959445]","[0.9226696587501451, 0.9913141788991144]","[0.9234807694144376, 0.998201593112422]","[0.0007810205239595689, 0.010854972467619158]","[0.0016332363322860374, 0.010936425903019874]","[0.0033679167275882937, 0.013145467022275386]","[0.06908987054513464, 0.05378360929182361]","[0.003167197950563419, 0.009854435635560984]","[0.002216885796606341, 0.013443614462867313]","[0.00230779510981872, 0.007510132339298163]","[0.002860246854471316, 0.0006478693813627274]","[0.002236330214652715, 0.0014304928924244653]"
0,LSC,0.8380872184569043,0.014680405106496963,0.017312243633451303,0.05289082661312704,0.4129851894473956,0.16179721238798028,0.010874641224936055,0.13845896948090125,0.9239792354839936,0.9309975584299274,0.019197712731064773,0.002323943835069863,0.0011750701336355033,0.004765791447829363,0.0712688835644526,0.003123261565444895,0.0012331336907518925,0.0022077429215685584,0.0031093979732758023,0.001802847811128845,"[[3376, 442], [433, 1153]]","[0.006841696310478729, 0.06017788925544876]","[0.008301980111804531, 0.06972491418420727]","[0.03449885911947918, 0.15971285563662357]","[0.3990826005669128, 0.49390675115305516]","[0.10858858387396961, 0.47124264754886747]","[0.006127581211375961, 0.03848731315321672]","[0.12006071493259715, 0.24541525010599674]","[0.9129652703076726, 0.9880326193238679]","[0.9192893341856649, 0.9991060070565329]","[0.0015377677381967214, 0.011440808333261268]","[0.0008855125929386009, 0.004732035360731828]","[0.004121848894975014, 0.009116134583621479]","[0.07084624107884271, 0.0564825728285078]","[0.002583797548718032, 0.006594625763061876]","[0.000759351304118756, 0.004074548328995217]","[0.0017410326660869733, 0.005684909071965246]","[0.0033354129703145833, 0.0005476991867464818]","[0.0017024343572348349, 0.00043484610442212537]"
0,N1,0.855108509618676,0.050661737698464236,0.07080348844524173,0.11201288174852957,0.4462287066914312,0.267193629311773,0.004783807549442442,0.2028096624789944,0.9643506906183201,0.9663540897228806,0.01155882172892847,0.007440133591756602,0.001780656221403668,0.006712693349078732,0.06418416422761287,0.004300630145511327,0.0009069707007972455,0.001957290999069866,0.001949881582448529,0.0013529067627519452,"[[3456, 362], [421, 1165]]","[0.032806449257952265, 0.10652650220735664]","[0.04706868485466771, 0.14502591159177106]","[0.08090334659459339, 0.20924364522044075]","[0.424216701878383, 0.5148407989832539]","[0.19169456861734344, 0.5030920954424836]","[0.0033577479861551934, 0.009231421291528125]","[0.1811487249387721, 0.2704986584283932]","[0.9549599903885297, 0.9936670144924695]","[0.9561801101359062, 0.9981161300784119]","[0.006084276809960646, 0.01643311300001861]","[0.0018559369998404208, 0.005852841855417104]","[0.005402945915397331, 0.010586860237539308]","[0.06461022514534616, 0.0553588601966377]","[0.0023356434883191825, 0.00781609766180736]","[0.0009374256807826165, 0.0017754676734753347]","[0.0023711426260855425, 0.0043365431622649706]","[0.0025584160370050405, 0.00037626100947391213]","[0.0018398280753815206, 0.0008692234397211737]"
0,N2,0.8297627849661122,0.04428799348869552,0.053223920115101145,0.08142151424091365,0.420699908723416,0.21360316360262854,0.03165039066023067,0.09770295148252245,0.9363062846319912,0.9403487202303646,0.020136524926310656,0.004260354211679314,0.00339770810475215,0.00556333263570305,0.0657008431673228,0.0035949949536501456,0.0022707791442042303,0.0020800084248251537,0.0020408081053922434,0.0010168443464422848,"[[3418, 400], [520, 1066]]","[0.02200452729411593, 0.14699230702263855]","[0.029224718215565874, 0.16360038563430193]","[0.056177358645940145, 0.19771458233055259]","[0.40146751595280233, 0.5095328934910859]","[0.143869963635666, 0.5343947666900094]","[0.01992902106602467, 0.08551656567530985]","[0.0937683395772195, 0.11599731640384485]","[0.9238572851689261, 0.993577622717425]","[0.9277260926762819, 0.9984209815771683]","[0.0034389241008126463, 0.017754503342146382]","[0.002302108936225174, 0.01012977505771747]","[0.004486303620957348, 0.013854030029612531]","[0.06682006006634433, 0.054037576334412925]","[0.0022721924334660527, 0.007057487162238983]","[0.001683775316917603, 0.009378575004835585]","[0.001299802412069713, 0.00819914140601858]","[0.002448365086886202, 0.0003512124202438602]","[0.0014176036235210253, 0.0005335049856846754]"
0,TD_U,0.8203248442527554,0.0739358674388779,0.09654901961779064,0.09820901180171046,0.35556241132210564,0.24955485038599265,0.0743548066952255,0.20086251489793128,0.952012679866853,0.9524257965964804,0.01954124555848546,0.027178726755873798,0.02360750228463007,0.022365060425220528,0.05249560122153475,0.052917890788792304,0.018908490550656725,0.022786914514215863,0.012774063324195808,0.010611083007661523,"[[3377, 441], [530, 1056]]","[0.035152330430455445, 0.23467983427578182]","[0.059009150290755444, 0.2545526273267586]","[0.06416804153021387, 0.24354312742541923]","[0.3515726269336458, 0.3786382199092043]","[0.17661810305890022, 0.5581276259263518]","[0.048309578224192726, 0.18615000004161644]","[0.17492458703456368, 0.3130167386147582]","[0.942551226222737, 0.9937278718250836]","[0.9417281839332396, 0.9982650608225254]","[0.015014845792034331, 0.04138259341766198]","[0.01637004525939031, 0.023133493630989592]","[0.015837139327402126, 0.02862958456234425]","[0.05048440886405048, 0.04961418449543074]","[0.04099250366389474, 0.0229112818419499]","[0.01522083505714374, 0.021454350927719246]","[0.020990135337889966, 0.008586304331372722]","[0.012849309494491009, 0.0014042004143867595]","[0.00987825433855519, 0.0009896541587059602]"
0,Uniform,0.8458591771068665,0.1134548639295648,0.15090447166845244,0.15864460489997695,0.46117811933605884,0.31322699235905255,0.12270443374092362,0.2510005338505683,0.9709237786384257,0.9724030973340586,0.02156481424348528,0.005691625607826263,0.0026698249356620954,0.005779294096797844,0.06279544277875827,0.004614015399343527,0.003961448366150483,0.002049777024693128,0.0013192115192245868,0.0011342766057863749,"[[3409, 409], [424, 1162]]","[0.0725430176021714, 0.21098101948988313]","[0.09598770629884225, 0.2818073190869379]","[0.11299349016577613, 0.26745495391427154]","[0.4356555108428095, 0.5221677361133616]","[0.22142305037390825, 0.5320734312490414]","[0.08084242887450195, 0.22252340621085528]","[0.21318852046066045, 0.34113899898871325]","[0.9606175511194943, 0.9955033552793093]","[0.9615594037108128, 0.9982612313162894]","[0.0053959731251292135, 0.018925436886855166]","[0.002393422832895925, 0.00526865268707578]","[0.004131974195422083, 0.009204209966185256]","[0.06320838715887235, 0.05257273428190403]","[0.003962611458350056, 0.005314210971609332]","[0.0025612160000790516, 0.011721644331887306]","[0.0019192623553853758, 0.005002333406993178]","[0.001652373471264909, 0.00020136499174533868]","[0.00141451795953207, 0.00039694734565214735]"
0,kDN,0.8343814609433833,0.01778507419072048,0.010971258874747017,0.07683709437545327,0.4338133750337173,0.22523638708508695,0.014544738273879743,0.17845926927877573,0.9573736133033515,0.9599227196905744,0.015707645339429744,0.004357982179895874,0.0010897638375994658,0.00523837319382496,0.066569744243289,0.0037326213049142746,0.0017404442508163235,0.0015886218329868899,0.0015636831415431528,0.001281157119508498,"[[3433, 385], [510, 1076]]","[0.011163424657580037, 0.047181134284066235]","[0.006788276489096343, 0.029320663938711484]","[0.05711841218572885, 0.16323233828197678]","[0.41647692748838117, 0.5105804093598597]","[0.1659628664518048, 0.48533209246077885]","[0.01180755333857433, 0.02654296302979315]","[0.16439233971874861, 0.24008491902077284]","[0.9497405997350299, 0.9908704193415089]","[0.9510154825516375, 0.9990046454496525]","[0.00300427338468361, 0.01283626387036374]","[0.0008784732284773308, 0.002588093450499553]","[0.0044772047453997856, 0.011241378480147519]","[0.06594253276975653, 0.055017432397782624]","[0.003607150597414154, 0.007133236133529551]","[0.00128474443437217, 0.004579454621139465]","[0.0014740267278310205, 0.0038091677824571572]","[0.0017092819918642602, 0.00031702428076381135]","[0.001382443048378732, 0.0005463625035581833]"
