n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.7044223750106103,0.10579592701464473,0.23529631100871268,0.22067579345166602,0.5103655193552508,0.23837822830946162,0.22066791133709382,0.4276546893449731,0.9729252467430299,0.8527009348269379,0.03370160963455909,0.012094730765592419,0.018628695571077908,0.03255784229166398,0.03772470235792608,0.01464749851853253,0.03526842427825559,0.007748852964830884,0.00354717871047307,0.006739213760809224,"[[340, 160], [67, 201]]","[0.01957679758876974, 0.19641128182852224]","[0.09306018940427327, 0.3843793958006452]","[0.13225402945958709, 0.31217889252237796]","[0.4797759726754355, 0.5435335399134917]","[0.13651341285306645, 0.34493770456963846]","[0.08747154738840271, 0.3596821368310049]","[0.3829038931330387, 0.4744560146355267]","[0.9560467657459618, 0.9905459552997599]","[0.8532541306084976, 0.8515361975023472]","[0.012185808992391417, 0.02481824440673589]","[0.011880276243861362, 0.02212081880281626]","[0.015904465106513745, 0.043940300407464536]","[0.03689270389861132, 0.05813226295594044]","[0.008936988598146232, 0.018262381809239305]","[0.0187252888142554, 0.04364749262648212]","[0.008691053441448215, 0.00783234450042104]","[0.006308145490684057, 0.001543677946665142]","[0.01074020026283366, 0.010660005059906393]"
0,DCP,0.6874628639334521,0.13866581923148222,0.27487736023940046,0.1969798357351042,0.5131713562978956,0.285266858719742,0.2613216810995472,0.44048017446920407,0.9781380275839305,0.8559158920579433,0.03060354749353744,0.020672776496665345,0.016839980335381668,0.027284070977901316,0.035509502232579884,0.01575573903301257,0.03462427472406289,0.009490887226146185,0.004113230172740382,0.0059209766927984684,"[[331, 169], [71, 197]]","[0.04050042145211309, 0.23473713837752017]","[0.12709972078374313, 0.41884721466092145]","[0.11064714988662745, 0.28118683195393956]","[0.47926262475480347, 0.5466541477488831]","[0.18019050023520777, 0.3878105175802075]","[0.12481636753913106, 0.394055956306112]","[0.40084238797586014, 0.4791085494133413]","[0.9641028180322682, 0.9918577109829446]","[0.8637976742194848, 0.8481209327612902]","[0.011511964037898394, 0.036339019294152924]","[0.02439021464121517, 0.016216901296633914]","[0.017661406597021097, 0.04117373635653247]","[0.038013031457032935, 0.0588437582110193]","[0.02316041556415532, 0.01099660100698941]","[0.028634031358050895, 0.04513336137219446]","[0.012233209491107367, 0.004179383310675282]","[0.006738861647517979, 0.0007142566543287931]","[0.006353299498378333, 0.006406191265828731]"
0,F1,0.6769289533995416,0.24642567728608883,0.3724009427716427,0.32546994894239833,0.5430493257768423,0.3675506052723387,0.3419941738831069,0.46184500526323136,0.9856443257202576,0.7908927862079924,0.07566754211819306,0.020434161282122557,0.011792074666600184,0.018732779082498176,0.05144861817179666,0.008003191740852612,0.026840681409415656,0.005774852287708966,0.001153995241267166,0.007366682271734347,"[[347, 153], [95, 173]]","[0.10971615445726346, 0.3852946204365506]","[0.24509109341152463, 0.5015108683990221]","[0.223051244798499, 0.42901896818965507]","[0.5112179975494798, 0.5759300871410256]","[0.24551535454940554, 0.49140960526961946]","[0.22233323570084523, 0.46290932209563634]","[0.42643806874544693, 0.49769275140738733]","[0.9779783894605159, 0.993406533975303]","[0.7787938714195148, 0.8032146986832123]","[0.01639254051581053, 0.02724485234065755]","[0.007274306202114997, 0.021177618672833867]","[0.015726824375670995, 0.027478307692089]","[0.04122902742375677, 0.060926929617125876]","[0.011234163157645487, 0.01640019737438427]","[0.02072135202861988, 0.042071365077551506]","[0.0025286526723464274, 0.007136922598097879]","[0.0025051299404278866, 0.0006932338754164741]","[0.015382587941115635, 0.010953525982406275]"
0,Hostility,0.7187250657838893,0.06218373454092847,0.2445322952252324,0.24955000016983142,0.5180015811563241,0.27887713941298464,0.20709848785784274,0.4297597756585386,0.9739862781375092,0.8545343740896693,0.03875390642156203,0.016529189359327307,0.00989217365060829,0.02716824764421523,0.03879239490853273,0.014522076450202608,0.0270960785314142,0.006505027187213497,0.00340478169012931,0.003457409920873778,"[[368, 132], [84, 184]]","[0.003418406446668679, 0.11878532885976142]","[0.10194191828146451, 0.38152722195760164]","[0.15801759385074587, 0.33805359034707344]","[0.49229055446563824, 0.5442672753066875]","[0.1710025787911255, 0.3825139986474707]","[0.07966079937911355, 0.3287163465898485]","[0.38851427517317016, 0.4693749097548679]","[0.9572674038539997, 0.9901947625465383]","[0.8666154305886469, 0.8425832295177585]","[0.004344486929407416, 0.028568370879487055]","[0.019189015195345445, 0.021222082779362012]","[0.010657920637361323, 0.047760474293344464]","[0.034830487025554455, 0.05504645809384779]","[0.0190949710295031, 0.009359514445425068]","[0.012447100904269148, 0.04294517182794351]","[0.005720637448834712, 0.007646249378139636]","[0.005809954604087407, 0.0010759848764278278]","[0.005136471399309198, 0.00922693759720007]"
0,LSC,0.6953060011883541,0.16666719631365695,0.2589240751039432,0.2750789557384441,0.5246646490608514,0.3145518702581198,0.20964705207312656,0.42787541195902834,0.971711565649457,0.8575853393713091,0.044018924563221644,0.012548973012598755,0.008848169424540805,0.028047417494300723,0.048195508262142264,0.015242110490623456,0.01132534068738374,0.003493178746994483,0.003769981726193244,0.0075645507105712865,"[[344, 156], [78, 190]]","[0.024949104308706054, 0.30043780864273917]","[0.06676330135154293, 0.4401999526465935]","[0.15346500440913102, 0.38957647445436666]","[0.4917613187127009, 0.5562539453812604]","[0.17420538007841696, 0.44709843006958716]","[0.05133963854490625, 0.35897098824707885]","[0.37413662412746385, 0.47853059177842594]","[0.9510412516973548, 0.9912770308799249]","[0.8701836228646789, 0.8457672929305928]","[0.0053634591924549, 0.020860375187712683]","[0.004825909591025976, 0.016863710714979066]","[0.011026737856320662, 0.04173525761463545]","[0.030905059552752728, 0.06699311965211084]","[0.015225055409959314, 0.013732981840642805]","[0.0036520313293632862, 0.017530363702948772]","[0.004384644395178647, 0.004789534994245486]","[0.006559769069939342, 0.0010315273971158202]","[0.00978781492193715, 0.007038413609407174]"
0,N1,0.7200152788388082,0.14257938084266836,0.25696988956860256,0.27073260673338545,0.5221432842071199,0.3120865679303769,0.10438199906429033,0.42407472567708193,0.9762455178703737,0.8591327030534149,0.035990141125058474,0.013573747972038246,0.009684242293902386,0.03823992680269683,0.044088201914027896,0.007087590301834179,0.017705524870246736,0.0036606880300616203,0.002013805943922752,0.008505662662390036,"[[366, 134], [81, 187]]","[0.04987826022249507, 0.23316084551538135]","[0.12661474122855973, 0.38451161683614704]","[0.1816675570198572, 0.35741128703261005]","[0.5009269466580969, 0.5433397316127836]","[0.20974266660612914, 0.41255204901382053]","[0.025291133683074746, 0.18178665658753723]","[0.3904310144000796, 0.45692801503509806]","[0.9632159026132507, 0.9889013164795319]","[0.8670164545894259, 0.851359273009102]","[0.010625248063134595, 0.023861914863211497]","[0.004926120861014542, 0.018946193762784853]","[0.01809332992969872, 0.0482510891990577]","[0.0292713648101227, 0.06047681574703636]","[0.005303979246819745, 0.01981735832654369]","[0.0032972451597764957, 0.02954681420385194]","[0.0025692290552391185, 0.006061801515468709]","[0.004830845766087261, 0.0008078696548515386]","[0.009677212413187763, 0.009398458723203065]"
0,N2,0.6900772430184194,0.12531871507640158,0.23248473292550514,0.25845391354458724,0.5166440624535286,0.30003320159171876,0.15599745769444665,0.396935965929384,0.9710752482722246,0.8454192817986812,0.02701280395927139,0.026576761514819015,0.008143785532337565,0.026569433013054637,0.044452581874562504,0.015156851625013403,0.011606625582173001,0.005476316436175258,0.004248652699009746,0.008714238177936245,"[[343, 157], [81, 187]]","[0.025601542593665066, 0.22055127478341646]","[0.08882816266720453, 0.3699058790015805]","[0.15815372562410918, 0.3555746634967193]","[0.4866732333865544, 0.5466675700795778]","[0.17766022393954445, 0.41736015657217485]","[0.049377060161916786, 0.25870028792528205]","[0.3526784112826687, 0.43944944892758286]","[0.9523062121627, 0.9892495093066026]","[0.8521928085804922, 0.839496983849623]","[0.010446156183211657, 0.038933445478930816]","[0.007382182024954404, 0.011805538029745951]","[0.01832171066128868, 0.04167531770007114]","[0.038765718026273974, 0.06543802623859593]","[0.010869816952147011, 0.014793577165199901]","[0.006909458761088261, 0.021167342456591732]","[0.006603401547590985, 0.004586565300512483]","[0.007415276034543638, 0.0008363981386777564]","[0.01229647997175182, 0.013623117798351025]"
0,TD_U,0.658899923605806,0.1900956012817457,0.31953655888350413,0.2734495554591523,0.4522804042108682,0.32935157776293544,0.29495843153871276,0.4464027656554121,0.9791669933546977,0.8536758163184238,0.0572277307676118,0.020438749067933644,0.027693247900015545,0.04023608936826325,0.043663389919583226,0.020269157536712105,0.03815765561542145,0.010165308111036877,0.0037162052907335555,0.008253506504356196,"[[330, 170], [92, 176]]","[0.09041149717384737, 0.2878031251986907]","[0.17209160436116155, 0.46364121401105346]","[0.17877828180940153, 0.36712449752997084]","[0.4166348871696564, 0.4880255740335363]","[0.22545061059293756, 0.43115173726933287]","[0.16644765530570188, 0.4204959413315539]","[0.4065073685776488, 0.48554896539729525]","[0.9658404292705598, 0.9922538589271918]","[0.8513197330543228, 0.8563223567618511]","[0.0424159515614219, 0.03515956465634009]","[0.031516175210886746, 0.022732365702909624]","[0.040963973497320234, 0.04855529974437952]","[0.034067025380695906, 0.05823411554000937]","[0.030517695750383305, 0.010439627124912504]","[0.034660233099800285, 0.03866100345150185]","[0.014192334401002793, 0.00731616827850069]","[0.005926500475076552, 0.0013230021645968043]","[0.013674486833697439, 0.008023071183865542]"
0,Uniform,0.7213818860877684,0.20019438044543314,0.32045136516511746,0.29151298156761624,0.5418972231655953,0.32549763552696753,0.310077001844937,0.45208679759957937,0.9817551501513513,0.8534722994624083,0.024092063614984078,0.020134998952372318,0.016723153647995377,0.021080955497105928,0.041130388366520096,0.010444810402077195,0.016951207032643835,0.0059365692368486996,0.002538285247751547,0.008443667495268993,"[[401, 99], [115, 153]]","[0.11549884338957846, 0.3579501722932432]","[0.23070324658631874, 0.4874219820333523]","[0.22675567471415564, 0.4128547500217534]","[0.5299491262592989, 0.565236199089425]","[0.25190635652830734, 0.4628099374507718]","[0.22193412191024042, 0.47364533425929845]","[0.4286586177798978, 0.4956686351373998]","[0.9754823414811306, 0.9934523472333779]","[0.8579876795189811, 0.8450982902559572]","[0.01764217792693143, 0.019776978030934103]","[0.014379876496133792, 0.022275184319311463]","[0.01444269056708278, 0.03331457329183568]","[0.030388436296872275, 0.06194000367185597]","[0.01306936150119132, 0.008285914709150568]","[0.019891349287815864, 0.045842648902007496]","[0.004424626518232836, 0.00817276821213234]","[0.0031463501606279224, 0.0007459277365944663]","[0.009921730970949635, 0.011085324999037414]"
0,kDN,0.7187080892963247,0.13508381663621197,0.21224120123937396,0.256373078735355,0.5255993497710151,0.29351284001987304,0.20039811798769452,0.4263699899119412,0.9751617446530281,0.8531496120335795,0.035380711744268364,0.019156752671520255,0.00857372046213028,0.026625066213099444,0.04178976665085644,0.011936462566704623,0.02763000200698901,0.006343021469477882,0.0019866184126575074,0.004693742579057314,"[[361, 139], [77, 191]]","[0.03318667926800576, 0.23319537192975875]","[0.05221440513836882, 0.3663253188318613]","[0.1522836834150505, 0.35663465066975564]","[0.4940935011421589, 0.556170194651346]","[0.17513160646279852, 0.4074396154647232]","[0.05872295827512303, 0.33703040841166243]","[0.3808992971092096, 0.4701496303018763]","[0.959244174398426, 0.9904888987490483]","[0.8647622009009691, 0.8420624768501866]","[0.010204737319109251, 0.026234286919220504]","[0.009166365831532875, 0.009029417523256058]","[0.015364878944968524, 0.03509020003414613]","[0.03298024782984507, 0.058852009439067224]","[0.013078377143222636, 0.011752317978535652]","[0.007847529070053623, 0.04542640693187236]","[0.005243650299117913, 0.007441030636857301]","[0.003781721978139682, 0.0010743679823738304]","[0.00508208441557075, 0.007302400347101227]"
