n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.7395806807571513,0.1269494981594767,0.2656968830274622,0.242761304629762,0.5174176206132788,0.255363689013865,0.25828260197911423,0.43850083095681847,0.9765373602969415,0.8559940811948836,0.022140307053427937,0.0215960286582729,0.01445888415585475,0.024173608553228653,0.042255164669498746,0.012467439374448611,0.031268492619953986,0.007394679720184272,0.0033983613121445645,0.00868461195720946,"[[376, 124], [76, 192]]","[0.04070158982479318, 0.2155799258392575]","[0.12926795102817845, 0.40494029764140616]","[0.15530949406199862, 0.33220827141371634]","[0.499424367056697, 0.5347139082999817]","[0.16239478705317717, 0.3505590731958232]","[0.13102648615842383, 0.3883280124407362]","[0.396565046486787, 0.4813094109457559]","[0.9617895743233567, 0.9915985504436577]","[0.8478397176346176, 0.864025439519423]","[0.01017906996673485, 0.035078657499767865]","[0.009735272288834283, 0.0198368453172159]","[0.011178849342116333, 0.03637204597302921]","[0.03393493525137078, 0.05638149359923336]","[0.005142630550344503, 0.01773433823772048]","[0.009919471688343666, 0.04902446858392418]","[0.008467683702351712, 0.007720475711717358]","[0.005928189648852025, 0.00029162113497408865]","[0.01384795155102, 0.010536422587644933]"
0,DCP,0.712189118071471,0.1660204973385239,0.29799867588252427,0.21780210836290656,0.5240171577978442,0.3037344340948176,0.2807517279733058,0.44898076130337283,0.9810193658735289,0.8594158655755939,0.04341109780582474,0.017848823226700887,0.02880202619576816,0.028786440593822033,0.03862010029109691,0.020376200511677156,0.04607228913279278,0.011380262850466524,0.003891556540909488,0.0021788871754686166,"[[363, 137], [84, 184]]","[0.05445569509761864, 0.27341784756356147]","[0.15653104310966287, 0.43473302556073534]","[0.13603925992949278, 0.29634944244677086]","[0.4926509137775259, 0.5554592548611448]","[0.20121173586831284, 0.4027061380078571]","[0.1618267373458893, 0.3952063448936169]","[0.4136403445454456, 0.4831642306362312]","[0.9698208098565413, 0.9919827193521271]","[0.8619473410213843, 0.8567939083315338]","[0.009447768145983299, 0.027986002405596285]","[0.024889932689991744, 0.017660082858859796]","[0.01464216958878022, 0.04270661117515945]","[0.03557780047560035, 0.05939974669399955]","[0.01722150669825338, 0.012452342297858394]","[0.03230249597546463, 0.04971486651721821]","[0.01118599822216565, 0.008638455396708688]","[0.005984446961217037, 0.0014934128684030209]","[0.010128518814490119, 0.010554816784255988]"
0,F1,0.6901027077497666,0.23698419003734011,0.3654320595323217,0.3307740660318147,0.5519120460059523,0.3676938923634535,0.34763134803986473,0.4639122446777991,0.9855885264566794,0.8127431741744127,0.03338360561431581,0.011891695159098279,0.011188508812906239,0.030599304689085602,0.04756339119220031,0.008811267255795072,0.027523332919699446,0.005074589569152503,0.0010708304724865382,0.005603897304113103,"[[356, 144], [94, 174]]","[0.10858330157141707, 0.36589287740246035]","[0.23104231453953467, 0.49960811750080003]","[0.23059802647413158, 0.43137949249558566]","[0.527575376387772, 0.5750100017078483]","[0.24828250182238273, 0.48681738698228544]","[0.22933657746368746, 0.4660382583618117]","[0.4306933464198567, 0.4970165545937527]","[0.977454927912581, 0.9936378619919077]","[0.8178327272407969, 0.8075835269719187]","[0.01337046683550237, 0.03219165824365023]","[0.01186769439719582, 0.02801710077019051]","[0.024032641691004452, 0.03989459977600086]","[0.025184848317272877, 0.06392524144810437]","[0.011297185730813316, 0.01996286533482905]","[0.020987216375346864, 0.042205184883487575]","[0.004686197926300694, 0.006612271423275732]","[0.0025265192066509165, 0.000995672137130029]","[0.0060542495796358205, 0.006476536539458395]"
0,Hostility,0.6965028435616671,0.08431132650088716,0.269142342628638,0.2604551929046087,0.5295164755863293,0.2917192167658366,0.24274462187618617,0.4386967608723068,0.9776228350626187,0.8623474616667991,0.04211255476406399,0.014260084663797136,0.011395794339635945,0.031658744724541686,0.042666068545970146,0.009269524777808319,0.02262971989579901,0.004171086457099369,0.0026910714713152244,0.006656379251468059,"[[367, 133], [100, 168]]","[0.019813716021219865, 0.14609900509454457]","[0.1355371387747453, 0.39674996591458694]","[0.17302002044978426, 0.3434018249356467]","[0.5056982148727467, 0.5513213065636248]","[0.19254796213955433, 0.3863204186854466]","[0.12090071984963591, 0.35872828566480475]","[0.4013745187294745, 0.4742933208297922]","[0.9636254809022693, 0.9908944271921156]","[0.86683942391172, 0.8578356891550701]","[0.00852595383376332, 0.023408179117630667]","[0.016209684911753956, 0.012432728915026874]","[0.012183529888945884, 0.04539604430731317]","[0.031035560525857077, 0.057139706092163546]","[0.013853410771801616, 0.012222603094043981]","[0.014308481741369663, 0.034587506728157295]","[0.006421044329651664, 0.0051664524634020765]","[0.005910185661699863, 0.0009198191063041399]","[0.005517134078689424, 0.010650742850277074]"
0,LSC,0.7056871233341822,0.1936823706999285,0.28782585206959566,0.2842156101417614,0.5298187956147558,0.33273492699216406,0.24497169919581935,0.43774091405850524,0.9754615045864261,0.8603891581261089,0.025113774997064648,0.02289276002184679,0.012775830307538313,0.02271442019837152,0.045162668131910964,0.015232077354999745,0.015611875101997887,0.006402204514814472,0.0029020525517065277,0.008670961911842103,"[[364, 136], [90, 178]]","[0.060953802683126, 0.332440586061212]","[0.12696627581339365, 0.4560617672243894]","[0.18172560739243337, 0.3918749373566325]","[0.5093675323382403, 0.5538051835182037]","[0.21042409490100233, 0.4605179417635322]","[0.1122593855112652, 0.3837127325261217]","[0.3938026965785774, 0.4836496360433465]","[0.9603560869312968, 0.99139652313659]","[0.875395704546707, 0.8450654067168608]","[0.00952600443533714, 0.035089577444882454]","[0.0096198385371673, 0.004574978961587347]","[0.009078389386317163, 0.03317474733487369]","[0.03296526916602304, 0.06308846845314195]","[0.010517160948434369, 0.01325200002702527]","[0.00962872827791141, 0.025959825312326497]","[0.005529552708836679, 0.004354289728117286]","[0.004146325207209087, 0.0006251910036445908]","[0.00828555191181934, 0.009934382663382342]"
0,N1,0.7030727442492148,0.16796642038081616,0.2778688064405074,0.2848667678896663,0.52716031221235,0.32110039117970823,0.16657724459980755,0.43381849468633327,0.9777727907082877,0.854366211170255,0.02318742504622181,0.01743503481723177,0.009515915753862856,0.024137990875135323,0.04084147873576766,0.017756564548010282,0.013475184547555225,0.004435571737566023,0.00205241956859271,0.005640777281160097,"[[356, 144], [84, 184]]","[0.05582455154373652, 0.2794556358815831]","[0.13427798378205041, 0.42013432691525165]","[0.18153133245756237, 0.3872186837531996]","[0.4986746719746308, 0.5549018775003943]","[0.20924037299076753, 0.4319505541386007]","[0.0527262817732594, 0.27940777337924716]","[0.395914716817264, 0.47139981434071165]","[0.9649450848563926, 0.9904673224314877]","[0.8602568812110116, 0.8486214771673328]","[0.019686851630318022, 0.030548286294430634]","[0.008154958569622308, 0.014035125442426617]","[0.011453232450052834, 0.038813884539012376]","[0.02762727798085022, 0.05734323514871858]","[0.013824835231969833, 0.027918754096263227]","[0.004997549125087447, 0.026287440570492218]","[0.004611381960884315, 0.004859839817526858]","[0.0038295979492366816, 0.0007390413119635727]","[0.009931678009685481, 0.0041744931955057536]"
0,N2,0.6992190815720227,0.14615290908609413,0.2597676968300628,0.26909746457619155,0.526231827215183,0.31223530350126416,0.18871602976616084,0.41587913370534524,0.9763557914865111,0.848955205105797,0.047374125419837564,0.03033196392483439,0.020348530537604433,0.030471236086477126,0.03917327039728253,0.019416813199621068,0.027074534227537108,0.00772852096269011,0.0029122320172362765,0.011019240945242805,"[[368, 132], [99, 169]]","[0.051243424818014235, 0.23936718587399103]","[0.12300948262295133, 0.39350746466732844]","[0.17021713736641159, 0.36551844554491975]","[0.4982282337878744, 0.5545958946136631]","[0.19568861757540987, 0.42577295213592753]","[0.0862829169352044, 0.2880180037813667]","[0.37682748031240687, 0.45433173237766705]","[0.9624075252855733, 0.9900919172848051]","[0.8523600227098754, 0.8459562042138217]","[0.014550456845289167, 0.04752059560351431]","[0.014873184103163859, 0.0158647016747775]","[0.020044663739398602, 0.036496255544062634]","[0.034540957084301015, 0.06195665618125771]","[0.01252492959485573, 0.01668463790585677]","[0.01054393459795523, 0.03383431616038911]","[0.007489475513256574, 0.00410436716055742]","[0.004196199932279361, 0.0007458901748468478]","[0.011437488854176087, 0.015390951440752667]"
0,TD_U,0.6953314659197012,0.20279653610868356,0.32077381425280055,0.28063705192990185,0.46746765261035933,0.33516877958787294,0.29052789915521304,0.4486828754077914,0.9800094288155938,0.8523722226635947,0.043335722557368374,0.007759953158031718,0.01888955571346063,0.038654619182753744,0.04540632919897746,0.0169687990240926,0.03934573918135906,0.01040672544961486,0.003596196344774556,0.01209834820382291,"[[360, 140], [94, 174]]","[0.09444204267777813, 0.31547277036779936]","[0.1869446139990163, 0.4600821118946232]","[0.19160597570346236, 0.37262868604626814]","[0.44474100626904134, 0.4910137529920771]","[0.240534506812831, 0.4336184098100273]","[0.17846657925528434, 0.4067136212316883]","[0.41279299939534797, 0.4859753812694466]","[0.9682825706384943, 0.992229422919548]","[0.845836318578516, 0.8591509338603653]","[0.02192775816857397, 0.026223959275907822]","[0.027678754203999775, 0.0081705141892764]","[0.026001950971697826, 0.06154598944452701]","[0.03443252141929741, 0.059142205570060925]","[0.024273348762405035, 0.01489158863844918]","[0.02313803795975674, 0.04668693006709189]","[0.012821263294825884, 0.007896796103295588]","[0.005965087228489138, 0.0009574102255408769]","[0.008882670178859551, 0.01549616506361456]"
0,Uniform,0.7056786350903999,0.1962850560101692,0.3263050237017028,0.30216900560456766,0.5417207455887244,0.3389789963587576,0.30986013788476646,0.4534126717087957,0.982450400124357,0.8571791001297635,0.0523238301955645,0.016676415797966145,0.014600893712124778,0.0241523370600823,0.032797929970447254,0.013079414426743414,0.013382425168171626,0.0038367257134759945,0.0018791240357122316,0.006821656247172643,"[[382, 118], [108, 160]]","[0.10688352136869364, 0.3586099103961892]","[0.2261013779769881, 0.5076913399365226]","[0.23074345879512256, 0.43080708012737706]","[0.5262241012886804, 0.5708569030091902]","[0.26364918973854107, 0.4753965063341242]","[0.2183426383443336, 0.4746646366017381]","[0.4277108527908374, 0.49989405115190727]","[0.9759907025339002, 0.9941688236869461]","[0.8632691649165558, 0.8460657110509395]","[0.015464658647146622, 0.023503353270466747]","[0.01077402551361703, 0.025384433346107987]","[0.01549403393761458, 0.030950645165131005]","[0.03042199937605816, 0.05234172242345217]","[0.006263685821762791, 0.016771655830276063]","[0.008372331790483393, 0.026237367463061077]","[0.004042667201851934, 0.00440719643228169]","[0.0028192905487722728, 0.0007394319369982608]","[0.007552884420800057, 0.008685787619587135]"
0,kDN,0.7108479755538579,0.1324821906199518,0.2265691056910569,0.2577012808336086,0.5285187989032233,0.2972265820249801,0.21573126594458128,0.4321524023078753,0.976498379355817,0.8530666560737268,0.058121122551319765,0.01794701505513086,0.01360092026976891,0.03184899650738371,0.04227062484113617,0.01475039812583617,0.02258091482717224,0.0066659266830690605,0.0038795963734113074,0.010806451198296414,"[[362, 138], [84, 184]]","[0.032053011627344016, 0.23555477476887582]","[0.09322761658172088, 0.36302356954224074]","[0.1657007859235537, 0.35125562231387575]","[0.5074210266447226, 0.5488335595282573]","[0.19101353179465397, 0.40613199129289584]","[0.09965394005916961, 0.33421676097407665]","[0.39411035689016555, 0.47109564755299127]","[0.9628319312871116, 0.9904985685855463]","[0.8637265312258016, 0.8419734436960546]","[0.007700411694497201, 0.025359589753202124]","[0.0059041887918920045, 0.013811118541804161]","[0.010997861919850497, 0.04324479450607018]","[0.026897650089860774, 0.06338487792438338]","[0.006774065074582876, 0.01397596432210827]","[0.007499834375736138, 0.034736366230702295]","[0.006823224304466247, 0.006301345974852058]","[0.0066611065220631175, 0.0012637294814897549]","[0.011811472815042355, 0.012868051473569628]"
