n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.7057465410406587,0.1253240115463044,0.25521463944281136,0.2374116894218586,0.5181770845610522,0.2563464027845396,0.2514806722985797,0.4365979510803545,0.9762470296802673,0.852008222769524,0.05415119012298018,0.0173906994840205,0.010888298106441478,0.021511975467106967,0.0365613766473322,0.009750695797857173,0.025494752067379854,0.007989017361970163,0.004150306697617905,0.0070956565273112065,"[[357, 143], [83, 185]]","[0.03842348861211965, 0.21435235585078863]","[0.1218958257884994, 0.39180595778094335]","[0.15425546729880152, 0.3223424034280161]","[0.4935535893413861, 0.5439341596260843]","[0.1587792031742033, 0.3563372542785022]","[0.12707626689595866, 0.3786446010531817]","[0.3959351376318758, 0.4782000944382645]","[0.9617602847421948, 0.9910797192747023]","[0.8460039664218876, 0.8579404608705172]","[0.014671937577782962, 0.02151746581444759]","[0.009834339647700346, 0.013966092653569205]","[0.016843318326345735, 0.0303429887601683]","[0.032190885266026016, 0.05665257286074188]","[0.008910948374099826, 0.010139736869141968]","[0.013092060262800591, 0.033033696092540726]","[0.008988079686035922, 0.005758175488108566]","[0.007313045253025743, 0.0006193588629254945]","[0.009191665519899686, 0.01294326897220577]"
0,DCP,0.7043884220354808,0.16014883080426895,0.292708773602394,0.22150732931568068,0.5193760765729861,0.3031715724235191,0.27780837371891637,0.4453047149218571,0.9805972947461934,0.854694658510103,0.03115655813158519,0.012246616347841206,0.009736130826173627,0.02952861770205824,0.03501762171075977,0.011953331203537696,0.026712977341232957,0.006728466293577255,0.002900278235376642,0.008651134849606104,"[[346, 154], [73, 195]]","[0.054439831335771426, 0.2573391574951317]","[0.1476527083677261, 0.42587370273587943]","[0.13532350283011318, 0.30044092286308133]","[0.4906731390336123, 0.5455325774837987]","[0.19744187310925776, 0.40032855461141104]","[0.15068444564739403, 0.39421919300082464]","[0.40562886899679584, 0.48175575697484163]","[0.9682471707803613, 0.9919256802322064]","[0.8575829115701504, 0.852049018377825]","[0.008021194228479153, 0.029448525925566012]","[0.013490388354504963, 0.01348427599725037]","[0.01666047541670521, 0.04042687238172811]","[0.03263320117244847, 0.05960792397349745]","[0.011989051539238531, 0.012162630224474247]","[0.009939105843859406, 0.038835050348025035]","[0.007368661258638699, 0.008332626448625214]","[0.005734648006781765, 0.0009407394588127487]","[0.01322214217105956, 0.01006561219862355]"
0,F1,0.6900602665308547,0.23795979979343765,0.3739579989936707,0.32646897237351186,0.5478716855957263,0.3731706794028403,0.34979996115922074,0.4631100943048123,0.9847142902414333,0.8028947856253807,0.033830222780687334,0.02316597430097477,0.015909800514090633,0.022299576396583847,0.044097983763411945,0.014334109368522849,0.03396636934883462,0.006518033688019526,0.0015672907447600534,0.008752325040759918,"[[363, 137], [101, 167]]","[0.10708399191764646, 0.3722458097487902]","[0.23089890125654602, 0.5198212372062535]","[0.22745393387908916, 0.4274509320540818]","[0.5170300599832294, 0.580493767793285]","[0.2514702424923476, 0.49757760924054634]","[0.21799975742341057, 0.4840842285865046]","[0.4239694565996858, 0.5028770417521328]","[0.9754301827267744, 0.9941992785313705]","[0.8127994637793948, 0.7932007195195049]","[0.012474638506908473, 0.031737428422798246]","[0.008472181193933398, 0.017250963104272855]","[0.01623210054549133, 0.02784297822273012]","[0.030471034492298463, 0.05481749603447093]","[0.007030422099208835, 0.011850367239608734]","[0.02162276023036437, 0.04873118230016227]","[0.0033498340534030865, 0.009913876430256815]","[0.0025882042274155003, 0.0009636633291575245]","[0.012913599218638118, 0.006977620643320229]"
0,Hostility,0.7017655547067312,0.08105240856968829,0.2677771245464898,0.2555132891207861,0.5201927340290334,0.28950809354987095,0.2446625883848415,0.4366920981842951,0.9772134716418444,0.8545318582664654,0.041973292658445925,0.011909927041337006,0.01963623911966622,0.030884139349992477,0.03365941719437394,0.018068832760086133,0.041194797710220006,0.009129992829715154,0.004058497343583244,0.005077510970207398,"[[351, 149], [80, 188]]","[0.01294039033080995, 0.14908175546266716]","[0.12752798493663062, 0.4076093377459877]","[0.16831151430500285, 0.34230536112248]","[0.496813571093765, 0.545211338502547]","[0.18256504357825862, 0.3962109845358611]","[0.1143544209234365, 0.37432049426716874]","[0.3969493793363492, 0.47633172838242965]","[0.9630051588753421, 0.9913057974227234]","[0.8575457794273127, 0.8511603160622991]","[0.0068495239045786, 0.018226179708009785]","[0.021748167478848737, 0.014295018771393542]","[0.022930167906920665, 0.04017329693666087]","[0.024906176268490603, 0.05902690507054474]","[0.019670117716909703, 0.012641897892006334]","[0.03023407900529826, 0.04351580631589955]","[0.009017425467580588, 0.006969646706267469]","[0.007718270007792958, 0.0007238568854122571]","[0.00812406221978706, 0.015402001864548738]"
0,LSC,0.6627450980392157,0.1822912528799555,0.2835243770027277,0.2880397084783869,0.5311509007199998,0.3249530312444103,0.2397506775067751,0.4373458890047576,0.9762153697078771,0.8616912290458408,0.015196967264728318,0.022529942000232665,0.018560231838158005,0.023654990771232693,0.04118736024707261,0.017190245730452844,0.021067281987968815,0.006743013962946868,0.002470840531603382,0.006515907826115217,"[[348, 152], [107, 161]]","[0.054175409193522386, 0.3102917151879795]","[0.12921281501292897, 0.43780537582481915]","[0.18120210209296442, 0.39458604250225715]","[0.5011355267984194, 0.5606572348611574]","[0.2045604200569179, 0.44546761181629063]","[0.11004752257057142, 0.36980489138145906]","[0.3936905126537122, 0.48120852962115696]","[0.9611185113946036, 0.9912604017984249]","[0.8700630425452106, 0.8532847353475501]","[0.012786085020642945, 0.03320152921046678]","[0.008422454456580655, 0.023000538220414046]","[0.019518754414029404, 0.03195263098910243]","[0.034912592551822635, 0.05287054174324498]","[0.013712536944142985, 0.0264037276375705]","[0.0054955633463903706, 0.03779162598498471]","[0.005418828006984303, 0.005691913062931587]","[0.005175109790301793, 0.0003253006013958237]","[0.011563616098127508, 0.006777458553912241]"
0,N1,0.7004244121891181,0.17935859749476973,0.28991117819972984,0.2841400089191459,0.5333127742269118,0.3248166227273085,0.17982948015147904,0.43636185317339066,0.9798244405973039,0.8547333889462673,0.053095708617927055,0.013027667787930368,0.01194924202975907,0.02979130315567371,0.0426841237480454,0.013819754389091663,0.027189419685078466,0.005466130873355402,0.0036435914686534622,0.007992174043695018,"[[351, 149], [81, 187]]","[0.057636546724003944, 0.2936984264525804]","[0.1372812712382007, 0.4331973413602107]","[0.18405315343021664, 0.3783207819250253]","[0.5071585651118999, 0.5587973809628919]","[0.2088148866843158, 0.43366499761620136]","[0.05617133621932241, 0.2950491892638263]","[0.39709445259211995, 0.473143221107409]","[0.9679573648405, 0.9910706143422863]","[0.8646958078841319, 0.8451777400835911]","[0.01242854674905047, 0.011616316574679738]","[0.007674183960562419, 0.015318623612015797]","[0.01536567279420164, 0.038667341196804254]","[0.02486687425110515, 0.066705730606806]","[0.009505537734237148, 0.014390104786910557]","[0.011154813813348353, 0.04469863292819839]","[0.005357944585380999, 0.008138233141034387]","[0.00691164743007972, 0.0007530199989325792]","[0.010216805348589009, 0.010466193946407713]"
0,N2,0.6940497411085647,0.14453642647175657,0.2579470882656709,0.27101410790427505,0.521933670226651,0.31506883613931025,0.18657037684383357,0.4177789447892404,0.975952815201633,0.851846812849236,0.03905135764830509,0.020201125091307573,0.018347656128054984,0.03479829358360201,0.04324163894410671,0.01559324265830151,0.0278190172245913,0.005355830542240465,0.003080122622928402,0.002903991963207357,"[[346, 154], [81, 187]]","[0.04778889375861618, 0.23888761335119124]","[0.12641024323068834, 0.3860974333329441]","[0.17318884371889967, 0.36570421550779153]","[0.49737852076428285, 0.5458533144409478]","[0.20117103496424732, 0.4258433933437211]","[0.087223084307732, 0.28278546008950767]","[0.37998508297422595, 0.4544809343835867]","[0.9619284210974148, 0.9895617536723087]","[0.8560421435983183, 0.8475949527498712]","[0.019225612140717226, 0.02042283583676624]","[0.022549892308779112, 0.013976888315079974]","[0.023786747688121307, 0.04135762645753259]","[0.028932931197820175, 0.0629695473606707]","[0.014950535577565907, 0.012267963746620397]","[0.01554720930027049, 0.032613055371472584]","[0.007188369034767844, 0.005190518930936457]","[0.006596525341179029, 0.0012571121481436936]","[0.009470135160179772, 0.009547624891025577]"
0,TD_U,0.6666412019353196,0.17415057863933686,0.3166039034983184,0.26997061664017535,0.46766171148440555,0.3261907600447399,0.2874633175321981,0.448960811109108,0.9804198435940386,0.8593304599984111,0.05010961584631173,0.02004468610358737,0.01281221578332028,0.03683191474803529,0.04906589033156428,0.009649961641667154,0.03393587940852917,0.009836796847947823,0.002664453346705871,0.010372253561899478,"[[351, 149], [107, 161]]","[0.08412304553177244, 0.26732758974968596]","[0.18322487022063053, 0.4550839974567963]","[0.1848797287496637, 0.35861481210116736]","[0.4471930675848917, 0.4883158023826044]","[0.231632842306449, 0.42442693353410654]","[0.17953833041254613, 0.4006845126782337]","[0.41407683159082626, 0.48529526631454]","[0.9687010111549871, 0.9925122437411517]","[0.8578798596634811, 0.8607241913790468]","[0.015093966080765306, 0.04009901392650308]","[0.026114767610707964, 0.024237372838561037]","[0.02754810762330271, 0.05488379219428086]","[0.03298096203061592, 0.061948841757310795]","[0.01818053782891813, 0.015084458929194203]","[0.02564399732638572, 0.057562247481088326]","[0.011702358012136649, 0.011155910727385702]","[0.005074889028616498, 0.0013735673742998604]","[0.014191955432229054, 0.007483481590066451]"
0,Uniform,0.7122230710466004,0.19335769709488626,0.3145878551945128,0.28767951217805277,0.5390261738010407,0.325764685545119,0.2964154727540761,0.45081772681346505,0.9811276015440139,0.8578266597812558,0.03185537356377735,0.013064440406360643,0.009943079027252279,0.02700779861426201,0.04010172233324163,0.012248045754144517,0.028648333391761916,0.00431131549273395,0.0026374868983596337,0.003706699452482958,"[[396, 104], [117, 151]]","[0.10914729199247608, 0.35288646857822153]","[0.22068289728634544, 0.49190550845510367]","[0.21941920011948657, 0.4171399767807378]","[0.5246025685001023, 0.5662493019761105]","[0.24599676434611703, 0.4763021320725585]","[0.21685721482603829, 0.44780535175598757]","[0.4279709287866874, 0.49418487383693765]","[0.9747361634289173, 0.9932573682783807]","[0.8609229553216485, 0.8520765036504775]","[0.013980966478655602, 0.03099867118266671]","[0.005932408720425346, 0.023790938939957523]","[0.017536683898270247, 0.04438653749442816]","[0.034791838847514016, 0.050157670757516]","[0.008573528938552599, 0.023752680197840288]","[0.021169022058529774, 0.05449224478731631]","[0.00576343573720243, 0.008777106797469018]","[0.0034668227599192994, 0.0009487984025340075]","[0.007160712929741107, 0.003986781308717842]"
0,kDN,0.7212036329683389,0.13736765445830354,0.22591393236407936,0.25983003238650565,0.526117917462956,0.295784457777781,0.22193422667125695,0.4314329480893545,0.9765967240780915,0.8576271152776676,0.05651318828503959,0.014971352939619782,0.01805700783119112,0.02770829451270773,0.04414371519879256,0.010174168994643911,0.026127387769038245,0.0063614578718609325,0.0030951859705453883,0.006681585449918572,"[[366, 134], [80, 188]]","[0.041714461921435485, 0.2353161913993164]","[0.08962788781946966, 0.3659102432810831]","[0.16680804119982, 0.35575573490749957]","[0.5009164096167815, 0.5519412668234364]","[0.19344434264010318, 0.4007079403978895]","[0.10228241000560263, 0.34521954298521934]","[0.3922372228422978, 0.4716521942870225]","[0.9625255703737853, 0.9910028143381091]","[0.8643291436551657, 0.851071661352125]","[0.0032845403286808406, 0.026206469671248026]","[0.014380863569461397, 0.024524928354085887]","[0.01691287061574508, 0.041246050249508955]","[0.0299726762920415, 0.06666112147029139]","[0.012890194752948647, 0.010059467215963333]","[0.0162509572803564, 0.036686952916225764]","[0.007872539969777272, 0.00640653837669196]","[0.00574930883742049, 0.0009719772845851331]","[0.009924594752202923, 0.012779948353016494]"
