n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.7161276631864867,0.11360398294536692,0.24238997907894388,0.221279755068984,0.5065599686256912,0.24195403114779088,0.23486832093076632,0.42900764939342784,0.9714920551690376,0.8580697677497948,0.02481326507937367,0.009956952263274426,0.014475072964642495,0.02859776603636186,0.04128645161508702,0.012367071035465435,0.01743818378982002,0.007398995566398745,0.004475578006224646,0.00798911356177377,"[[347, 153], [65, 203]]","[0.026867519994022405, 0.20332265932200572]","[0.09774844779897904, 0.3923628746288647]","[0.13186866387764912, 0.31415293355471674]","[0.47763883400449725, 0.5370008716151858]","[0.13897393058685986, 0.34850436672024115]","[0.09783909757550895, 0.3761663496578421]","[0.3834106928763229, 0.47629227741291863]","[0.9532492003810648, 0.9905285645517095]","[0.8565572246936174, 0.8596198500800382]","[0.006431396270836115, 0.012805340694311029]","[0.00919235494693497, 0.020137351182264545]","[0.01530880831252672, 0.04597965144618113]","[0.03925373932435738, 0.059335766379969075]","[0.008586318678984125, 0.009013200487189472]","[0.007329060634497887, 0.030226135803079125]","[0.008785068910036886, 0.004714530612497852]","[0.007034371335477815, 0.0009978055182859435]","[0.014665074645361346, 0.008098491579077244]"
0,DCP,0.6783719548425431,0.14062180556658987,0.27402759460819365,0.1951206567619473,0.5067730093057812,0.28873744018342473,0.25743085017169387,0.43897037603401906,0.9783939358115704,0.8576277111305315,0.05457367633502524,0.008517706630100819,0.01716096769868283,0.028395304634856223,0.03388759042541642,0.01326330473913242,0.02464377950582488,0.007902687982958042,0.003386186555578245,0.006457924589114162,"[[332, 168], [79, 189]]","[0.0422126622872349, 0.24819257830743605]","[0.13505403830252397, 0.4253699595481818]","[0.10958070281438484, 0.2881177939723644]","[0.48131170841320703, 0.5355198700522787]","[0.1823746401637284, 0.404449848518489]","[0.13621641754395825, 0.3891597850452997]","[0.40191339130095016, 0.4793061059264068]","[0.965982209593275, 0.9919583398908779]","[0.861610098677739, 0.8530362048528849]","[0.017604128301731276, 0.03146148349906652]","[0.02857275688765915, 0.012486504402825092]","[0.01844087374573965, 0.0501463853496791]","[0.03716095711918237, 0.05973451410215275]","[0.020442843203845904, 0.008767150205379968]","[0.024129177588637366, 0.033200345051760574]","[0.011260253241100403, 0.0060645767763109594]","[0.005484322257265722, 0.0009393852682636618]","[0.006699921269270688, 0.015125785886918562]"
0,F1,0.6770477888124946,0.24511162310320173,0.37500320436429124,0.3249090459994445,0.5542113840054175,0.3672186586308096,0.34751027073788654,0.46427637777652125,0.9855454089789262,0.7895913111411245,0.017149708320074283,0.019907645825915893,0.012137888063287715,0.025465421099745318,0.04442738116668837,0.014568384152832528,0.01934020520189684,0.006569979752386354,0.0016890749114852604,0.006930853482647333,"[[349, 151], [97, 171]]","[0.10973651039342831, 0.3832961088256778]","[0.23946783052970022, 0.5135460449563476]","[0.22363505043990473, 0.42812544024033217]","[0.5267088083850213, 0.5832807195575812]","[0.24509993082737602, 0.49220780404973696]","[0.22646557479061155, 0.4713707867959818]","[0.42901645827692025, 0.5004033746601718]","[0.9774526045378611, 0.9938770164157628]","[0.7822288495357725, 0.797659625314328]","[0.015773498007966538, 0.017215992951389116]","[0.0067093189233806355, 0.01576257431338936]","[0.019664695836020818, 0.02949826673537897]","[0.03203229987409444, 0.05917015070549832]","[0.014827716563858992, 0.011375912613643202]","[0.00907338276329614, 0.02896409406270189]","[0.008089899249756723, 0.0074174618066788454]","[0.0027435645857013784, 0.000951567671495526]","[0.013266979390465991, 0.012989814079075106]"
0,Hostility,0.727807486631016,0.0703191123116443,0.24733296258044013,0.24629060359792546,0.5151515041392495,0.27577256099594016,0.2161858531288896,0.43189261223185005,0.9755703831228228,0.8535545271576493,0.02690983468634087,0.015232159336992466,0.02254604647758863,0.029569442512271744,0.045289946671398,0.006415588053762978,0.04763947443970352,0.00720488932147047,0.002723706020305865,0.010082444340142943,"[[366, 134], [75, 193]]","[0.00590411083821222, 0.13173468089718193]","[0.10367163086911217, 0.38487684851569426]","[0.15220042233615214, 0.3353111503993028]","[0.4965265762023615, 0.5317613567940191]","[0.17050909020662924, 0.376781850770682]","[0.09376167778955155, 0.3327497772860819]","[0.3915578804415651, 0.4703925783885919]","[0.9598111044675471, 0.9905326510387187]","[0.86529975514974, 0.8418208919721268]","[0.003106318317564071, 0.024103012643172536]","[0.007498671860281279, 0.030673518791110427]","[0.008288800180612742, 0.046963518851786026]","[0.042017089256235776, 0.06090950806365562]","[0.010403032114748247, 0.013231270018666062]","[0.007301441484832599, 0.07158866087694009]","[0.005860471899124258, 0.010851211300541383]","[0.006758896367521313, 0.0019270930709877462]","[0.009897654179805624, 0.014506185983497283]"
0,LSC,0.7265257618198795,0.1777384073515002,0.25931559015915895,0.2772696199029155,0.5239214866725393,0.31851503285375643,0.22094965705357378,0.42929848665852005,0.9713275618026487,0.8539201159926909,0.044762657211172785,0.01325398315920835,0.01234935023408381,0.026569898729952406,0.04192018933750612,0.020861164196953594,0.01766950802523891,0.004847364658249306,0.003951058661090842,0.007036947977317585,"[[359, 141], [69, 199]]","[0.032367573124344615, 0.32209036268757874]","[0.07389217326412881, 0.44389192107110836]","[0.15797198668004214, 0.396040111904418]","[0.4858204739806357, 0.5626214450396878]","[0.18496578352755771, 0.45118879777718435]","[0.05466985229470871, 0.38650382191692706]","[0.3737147083807735, 0.48461973144072773]","[0.9510283433864364, 0.9915313972507217]","[0.8684817303936677, 0.8396836022214289]","[0.009677164150865633, 0.020215998781354223]","[0.010397914605833641, 0.0195944333955859]","[0.013533887201240397, 0.03648018413683276]","[0.032785420090172095, 0.05548201225879177]","[0.016627700751186473, 0.027200745834426655]","[0.008028839321495023, 0.03458727330552049]","[0.004797378448317801, 0.002578005317983419]","[0.007395838795696126, 0.0007233121947972011]","[0.010338576078339578, 0.004373676055647223]"
0,N1,0.7108819285289874,0.14030242843145044,0.25430015094939223,0.2691711750092797,0.5263105558208641,0.30739764142348924,0.1029544680137355,0.42250968148524803,0.9778652689884083,0.8550214507031064,0.02368669484460728,0.016756832641885933,0.010554059214428915,0.031962063594718426,0.04576411129581383,0.008937534910821327,0.020054755789831156,0.006358621787968775,0.0019449046584868379,0.011949028253690498,"[[366, 134], [88, 180]]","[0.041972752105559716, 0.23999631005237193]","[0.12438727760142991, 0.3856112565990607]","[0.1825731156129073, 0.35657703206135094]","[0.5074906973816311, 0.5455156416776966]","[0.2060456766107963, 0.4099780024351218]","[0.02789951283135909, 0.1786749361294473]","[0.38891302750084844, 0.4564102637350261]","[0.9666500201127605, 0.9891784115113866]","[0.8591479399846053, 0.8508738521221308]","[0.009615188508363383, 0.025718375629362918]","[0.008075909983287307, 0.013046861537507507]","[0.0133988294527845, 0.042865464136584194]","[0.03089768500035211, 0.06228631492034058]","[0.006105315787054562, 0.01360576169408628]","[0.00684795917008098, 0.034969789707199044]","[0.003058969097977342, 0.009834333707272797]","[0.0036410874124628793, 0.0009621685032354607]","[0.012647190406976256, 0.009079337119689963]"
0,N2,0.6926576691282573,0.1380313021371256,0.2351683482958608,0.2538525333554901,0.5208241470864614,0.2964593268546127,0.16049093862274127,0.4006358117890815,0.9716722720100354,0.847287081909907,0.04295148439162784,0.0294256925222131,0.019295253191417623,0.022316515233435592,0.04713733284059658,0.021134245533862523,0.024678800019586423,0.005092053123147922,0.004670218682465322,0.008373030236749263,"[[343, 157], [79, 189]]","[0.032641785181231855, 0.2471052614466296]","[0.09656685956003723, 0.3790935322924623]","[0.1524087716965823, 0.35913408990583523]","[0.490930337247064, 0.5511279715509838]","[0.18092369525381546, 0.4162634566959202]","[0.05501293645009016, 0.27043582250339326]","[0.35819252202021634, 0.44476933816431063]","[0.9547755964845944, 0.9892874254731361]","[0.8527229855775778, 0.8416980756212509]","[0.017712044857231716, 0.04259127493853303]","[0.017553005964462427, 0.02021734411404096]","[0.01972415417015366, 0.036354886348953314]","[0.0373331871576095, 0.0659131375510515]","[0.017204880435585893, 0.02386942921430309]","[0.011128508109277508, 0.044747676516816055]","[0.007920933522273962, 0.006548704887567619]","[0.008604376737987373, 0.00153055346021181]","[0.01080803895995804, 0.011571520211794176]"
0,TD_U,0.6770562770562771,0.18099096951881571,0.31211705198485207,0.2762448377539189,0.45347702154179076,0.3218546277088199,0.29761989883742485,0.4474792699092703,0.9786190537478202,0.8499327348322343,0.04288729166039382,0.021992677603409543,0.01479249298240606,0.027635123771473778,0.045730099130599035,0.012515274421553561,0.027262697642197242,0.00832336398769737,0.003232567561236957,0.0058996729641799675,"[[330, 170], [78, 190]]","[0.07720719948976945, 0.2855703358823121]","[0.16207277905804265, 0.46468992655075453]","[0.17778783070526485, 0.3755411871666069]","[0.41845579781524644, 0.48768282927947065]","[0.2168090061693137, 0.42853956880096356]","[0.15756713040537587, 0.4406135610551886]","[0.40535454464150417, 0.49026153031503605]","[0.9646757619524176, 0.9927801332604774]","[0.8498597687991356, 0.849603523853639]","[0.014939840487211146, 0.04760383803057865]","[0.02758802799326594, 0.023258572959975573]","[0.03060541634158142, 0.04683991860750037]","[0.035003973199085804, 0.05836376312329179]","[0.020467166510677356, 0.017027125058820643]","[0.03740159160479693, 0.01940820460948993]","[0.0147713777229971, 0.005364117053618651]","[0.006124783227456193, 0.0007701788763484292]","[0.009823581351957782, 0.006101684744717045]"
0,Uniform,0.6964688905865376,0.21224384947432537,0.32168586637006436,0.2931001192713377,0.547659340077311,0.33582944215903826,0.31594852713999455,0.45595789468870906,0.9823415665955041,0.8611663488784724,0.05250697863489951,0.014847198307014064,0.02301550482705097,0.03240585005261274,0.03844301492420902,0.013399580364254461,0.02385078809588032,0.005439270155397332,0.0024910097366108216,0.0024515927274475486,"[[379, 121], [112, 156]]","[0.11570938527215557, 0.39333874815582137]","[0.22204928023348353, 0.5087143877326804]","[0.22454816961209204, 0.4214242521323692]","[0.5300052463905691, 0.5797942795405775]","[0.2556544263948112, 0.4859188105251412]","[0.22029668804661728, 0.4950575776124556]","[0.4297274961697572, 0.5050964352733155]","[0.9763356310766943, 0.9935817450444213]","[0.8637778867727732, 0.856263031868977]","[0.013899068782838008, 0.02315010117080982]","[0.013283736612189801, 0.03314500651893026]","[0.02415065581825813, 0.03837011304477969]","[0.03075639535116397, 0.05052085205932529]","[0.013363993900235098, 0.01822291843815295]","[0.015659263924999407, 0.04893913013612327]","[0.004467410038711236, 0.011138092758061172]","[0.0037776305623773527, 0.0012967178256604506]","[0.0016022432933466399, 0.009223270059526674]"
0,kDN,0.7265682030387912,0.124663541749424,0.20846248775191337,0.2550948568145241,0.5256758000943471,0.2931644335913887,0.1982747455487584,0.4267340184235854,0.9743341267918344,0.8588865496146818,0.032093582783279714,0.0309667477915886,0.007085647026151891,0.017067139872529058,0.04457972818058,0.013209595376691375,0.008301470068663781,0.004483714092209541,0.0028918804173781497,0.00918584912537133,"[[348, 152], [58, 210]]","[0.026025416519158705, 0.22456568079247674]","[0.05144846505817234, 0.36914875659000906]","[0.1527447571918807, 0.3596440728757723]","[0.49774643613203634, 0.5524853407098783]","[0.1783273180858711, 0.410517845131331]","[0.06324489498783921, 0.33724842264224764]","[0.3813575462743763, 0.47326447325614013]","[0.9582563570479466, 0.9907569611188289]","[0.8692524701225988, 0.8484790282050314]","[0.015359912868266249, 0.03588409970842413]","[0.005479885096452018, 0.008674859742233877]","[0.01783450879790741, 0.0251923363913872]","[0.035280592514412165, 0.058784118983871134]","[0.01079423871168704, 0.01748670071191821]","[0.004987195693273034, 0.025893787100359583]","[0.005484597387252848, 0.004601707936527871]","[0.005490109431084328, 0.000784702113920511]","[0.007964933326171778, 0.010893818681013127]"
