n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.7408236500341763,0.04123097964749086,0.12508637059468142,0.15312906144217822,0.47068590293834,0.16116808637227092,0.11916352623463244,0.394464760881131,0.9641148890011859,0.8536955060103896,0.06170459037937376,0.008323742269829692,0.00952278075127589,0.024609321176760124,0.045777207785263514,0.006637418066002193,0.01225665597918328,0.0035857909962950414,0.0040739964053124935,0.009049509527313456,"[[417, 83], [116, 152]]","[0.02612088928633242, 0.1767273091628721]","[0.09883110074085794, 0.359381429992159]","[0.1365672483970374, 0.29865262681204696]","[0.46549696101162785, 0.5158147002221728]","[0.142606845392888, 0.325967368264279]","[0.09606773980684039, 0.3257584303001233]","[0.38584953952197754, 0.4711200042653866]","[0.9610684772200848, 0.9909917685713598]","[0.852900897521868, 0.8609200406278749]","[0.00803028292538321, 0.03890160870748008]","[0.010216030540916953, 0.032929413631615466]","[0.02138900646852935, 0.053777390371488605]","[0.044345547648353176, 0.04685527056963444]","[0.006412730676281908, 0.016614067795867517]","[0.014502393836730344, 0.04128298989017526]","[0.0042092426140046164, 0.007317899767562411]","[0.0044612211491290524, 0.0007086881153842704]","[0.008289645470974959, 0.018200457074243875]"
0,DCP,0.722676008202324,0.06568724224755945,0.16050617769338232,0.1169097885055915,0.47247636329821996,0.20357710485997932,0.16183382757668788,0.4105633408135054,0.971074050400589,0.8600078528228335,0.031026158344089817,0.022751901427268878,0.011876126938077007,0.024108550864009447,0.0535631411725771,0.014146492974025973,0.011633914345366782,0.0049968053658523415,0.0035304076285986963,0.008826149651983604,"[[399, 101], [112, 156]]","[0.03986300450145008, 0.20270926162655098]","[0.11713351378930134, 0.381249945128316]","[0.09413011482197813, 0.23835881439568038]","[0.4657400001749464, 0.5069057718798641]","[0.17076578450992963, 0.3703857541941308]","[0.12211334474703806, 0.36736215366065833]","[0.39806830505809404, 0.4739878477339402]","[0.9669886608033975, 0.9917892233136127]","[0.8624213627863784, 0.8483948199486461]","[0.021230982284743675, 0.08424766685624192]","[0.012247224470122966, 0.029913423638317584]","[0.017294776151811304, 0.07034292867396788]","[0.055945330299723164, 0.04730371806053754]","[0.011438108099098494, 0.03629524945449967]","[0.010151328684921744, 0.040980489803695154]","[0.005428691285244289, 0.006863270734879855]","[0.004117434335228999, 0.0006640505586684954]","[0.009969162935872265, 0.013321940345447592]"
0,F1,0.6732399179767601,0.21107885865337161,0.3363716821562116,0.29863834171033093,0.5223653831089834,0.33662830388214254,0.30368737957610786,0.45182028131009,0.9851872446444409,0.7360385488903575,0.05171599385811376,0.02692608722447309,0.00937636742685762,0.035959848683371806,0.04899900591936024,0.008034405886153699,0.011779987426823088,0.004828530969756109,0.0015300204471561684,0.0042745987017464284,"[[363, 137], [114, 154]]","[0.10192847587146854, 0.40137987382887097]","[0.24023727800930925, 0.5017214681635338]","[0.22570004319446185, 0.4238171391359552]","[0.4987773069540771, 0.5632752926369045]","[0.2386152300581304, 0.505647814840335]","[0.22227749330799043, 0.4437426345618555]","[0.4258832520829435, 0.49644599901701314]","[0.9798359958437338, 0.9943871486914195]","[0.7382796292574981, 0.7325753752629539]","[0.032231922773452756, 0.08415898297350288]","[0.013200957898438283, 0.019947162977530488]","[0.0259328416007553, 0.04671015919255784]","[0.052887864585685035, 0.039808438713823356]","[0.00958443078417287, 0.015525442024863523]","[0.015549789028495962, 0.02464494397040852]","[0.006427531954229414, 0.006931301115123616]","[0.002450577443732231, 0.0007290659882654539]","[0.007606930122256012, 0.004851464485614444]"
0,Hostility,0.7070403280929597,0.017940824640505927,0.15352542599733987,0.19289167348478772,0.47543216936273014,0.21467075355898407,0.12885098528005262,0.4036630015545139,0.968016904415298,0.8610238052416286,0.049619449214931374,0.0055516384714431885,0.020124322765398106,0.04526910284318951,0.049316687190050564,0.02277087434095954,0.014750876617835395,0.004837534798443131,0.004132451660864288,0.009520069503240062,"[[415, 85], [140, 128]]","[0.010007616206259179, 0.054575415849846085]","[0.10845528554901289, 0.33575167515311233]","[0.16102624302681784, 0.31546873284404353]","[0.4684069359897404, 0.5041865743052656]","[0.1843485254750004, 0.33743589828991977]","[0.09910320618251943, 0.25031096987739243]","[0.3902835728747263, 0.45826611072156975]","[0.962655009038437, 0.9897916199373139]","[0.8652522380161978, 0.8427963055870056]","[0.006453621632224573, 0.031029513858751846]","[0.011132984353877825, 0.02505277435551591]","[0.031002441779972745, 0.0698322280760566]","[0.04982189249506811, 0.04799850479659365]","[0.016409710095694894, 0.019763556698871938]","[0.013270756804208713, 0.0243222120451585]","[0.0044735116535183465, 0.003387301702943098]","[0.004763538025765607, 0.001269499615432308]","[0.009938431008380816, 0.011395334329050136]"
0,LSC,0.7070232399179768,0.05757865370619777,0.10347117773520824,0.184684602378732,0.4791891611801442,0.21261854448887005,0.062241550460224906,0.38333314386425743,0.9610048683548167,0.8672940385467991,0.03534267640317609,0.020782642810980884,0.005468891160477603,0.02874234154960836,0.04585997365429316,0.009234516496781104,0.007463319979568862,0.002742081774802259,0.003461970538347671,0.008001500470249091,"[[403, 97], [128, 140]]","[0.02640562282690956, 0.1710583639658192]","[0.06263902727450685, 0.2545992451173756]","[0.14863987675629192, 0.31647243505238887]","[0.4694615469639879, 0.5148651573434746]","[0.1703304228975518, 0.36826727111928165]","[0.04021704759597918, 0.14462767347148814]","[0.3711432322199449, 0.428306093377245]","[0.9546858317816372, 0.9843249469180255]","[0.8723930652212996, 0.8472856803434329]","[0.008295947415422866, 0.06577451488520764]","[0.0061071841842031465, 0.02588230100385281]","[0.02172538947886809, 0.0529917834064373]","[0.045275432053311686, 0.04546327641881977]","[0.00913817848196043, 0.017278302277175115]","[0.006420378401659795, 0.024061373231015867]","[0.004094117756438499, 0.008675288941666366]","[0.004101649667924959, 0.0013194529050703022]","[0.00985471612955244, 0.0183412983728425]"
0,N1,0.7266575529733424,0.08405469161724233,0.16805509314639921,0.21302515370676792,0.48966080844390325,0.24885200171965915,0.028151160391379392,0.3995395065237433,0.972430227643617,0.8571865615301608,0.036037660564058126,0.020333633130907178,0.00655161793714711,0.031762378972239096,0.047432434926356036,0.011964111319819703,0.004551129837827666,0.004727514438534623,0.0036059186182519362,0.0063153748307936035,"[[408, 92], [118, 150]]","[0.05183283828496541, 0.18457443953245498]","[0.12015318772407813, 0.31778830284725335]","[0.17157231847248786, 0.3417253853531976]","[0.47794412653702745, 0.525613308391869]","[0.20507677043506928, 0.38553192171956374]","[0.020252468387426593, 0.05256171966817761]","[0.3866192268200301, 0.4398509698791468]","[0.9673434709030613, 0.988248696205539]","[0.8597891655270752, 0.8490315572729218]","[0.01092941202262017, 0.05870863963977576]","[0.005241456528863107, 0.019323799557373813]","[0.025027206056786565, 0.057462454373328774]","[0.047245531167549974, 0.042580095103318796]","[0.011860580977743793, 0.014904109623918051]","[0.006560546264526067, 0.010763678222244992]","[0.006188964004810771, 0.0039229477101073084]","[0.004781239189087294, 0.0010243649194557813]","[0.00683899691463747, 0.012078689987161694]"
0,N2,0.7330485304169515,0.05801573492383494,0.12960169144157332,0.18379785933462925,0.4793103729701144,0.21581456823439016,0.07303150330843294,0.3659863834215979,0.9632230879322163,0.8485778914281891,0.05287321769028843,0.015094237640303751,0.004936675086172835,0.02604998105301398,0.046094728774879946,0.010520886694285464,0.007151542550643672,0.0050065675784022184,0.0047627785406184455,0.0060082220870336135,"[[424, 76], [129, 139]]","[0.031606380510711116, 0.1718491974270632]","[0.0930278605183267, 0.28734015373225097]","[0.15204690232224363, 0.32123004156835777]","[0.4682990335152306, 0.5272823747886818]","[0.1756193602073837, 0.3899852811437346]","[0.053890211693317494, 0.15560432621546003]","[0.35650535463117317, 0.4071869254177264]","[0.9577897193945233, 0.9869001885134641]","[0.8528971479491798, 0.8301178726977746]","[0.009505385445774563, 0.07140928433015033]","[0.00772065094609143, 0.03671323370034851]","[0.022521493524065645, 0.05331699734104118]","[0.046956812303520584, 0.047051358459756394]","[0.009287336292075517, 0.022041701266363678]","[0.007459202417939809, 0.023491595246325447]","[0.005258729587923137, 0.00791042614148548]","[0.005593972516470848, 0.0016744189029392121]","[0.009773495840597498, 0.01968871443546433]"
0,TD_U,0.688755980861244,0.13020754038295843,0.23241143354274194,0.22382859783326742,0.40186191127363163,0.26649348215953306,0.20717963759205196,0.4221598388892597,0.9727286373564794,0.840981827668705,0.04633722968884579,0.03678529465161418,0.02674800968598304,0.041444949104415596,0.03694060836837149,0.025534605493473334,0.036206455189044216,0.011093169123953583,0.004862889320944352,0.007896200686792242,"[[376, 124], [115, 153]]","[0.07437825796783949, 0.2832203172446384]","[0.1564605101036062, 0.4414315087478381]","[0.17045647340068149, 0.37533285374976255]","[0.39364243012540034, 0.4278754105622021]","[0.20901711971392073, 0.4245186377699528]","[0.13341736097170456, 0.40979277712069456]","[0.3983272180868721, 0.4874754546760077]","[0.965466270446203, 0.9927359448688081]","[0.8388412814751506, 0.8470610967706141]","[0.02109526763009376, 0.07536858430793417]","[0.021252209090662492, 0.035349442216858824]","[0.031113230737380933, 0.07771311877386244]","[0.04066429784753002, 0.03421187107831274]","[0.02131886722664499, 0.03261423064243908]","[0.024772081105855916, 0.05358420958552239]","[0.008625454975477625, 0.013711895265292524]","[0.004872513251987225, 0.0008982107055069897]","[0.006933748925929299, 0.019052622309946452]"
0,Uniform,0.6848940533151059,0.20905594639585753,0.31637603205541104,0.29695894198936446,0.5294295472386189,0.33152111705481146,0.30195514724129946,0.45415687659747517,0.9831399397966042,0.8572230546748868,0.06414525490059626,0.029786976061961477,0.012214320612386023,0.026989659836930413,0.048423738084621415,0.012615003834025681,0.018067251232901805,0.00537356477424074,0.00201890556336233,0.005574259075767843,"[[379, 121], [121, 147]]","[0.12121675343351228, 0.3660187479031823]","[0.22126017771526926, 0.48972695169542674]","[0.22905787023779522, 0.4211309286187337]","[0.5137898644521032, 0.5572498021593305]","[0.25406907044674176, 0.472897822806747]","[0.2165942297547124, 0.45751244398739105]","[0.4298785978110183, 0.4984896813753611]","[0.9772142441496019, 0.9939515458705868]","[0.8597847333858685, 0.8524470897879617]","[0.024227006136994193, 0.06894365429361915]","[0.011186604118512472, 0.020190459820649244]","[0.024219893753468894, 0.0363731682444695]","[0.048323326528520325, 0.04573944718996622]","[0.009198890279434114, 0.017406801959547365]","[0.01256278661060358, 0.03398532278094024]","[0.005052570308175139, 0.007861043307815785]","[0.002984785539496077, 0.000512736358794911]","[0.006631219418310575, 0.008107053962421722]"
0,kDN,0.7318181818181818,0.05020055544866701,0.07531670612248312,0.17788441868944097,0.480758575415979,0.20091440880525516,0.08114495760242478,0.39075957102291864,0.9654592577641063,0.868056316555549,0.05953158726947759,0.01943249402964568,0.006021472821437265,0.02434838520058224,0.04574799653034081,0.008753087336032214,0.004925308688864453,0.003245205299634176,0.0032454482184782426,0.004866597680045478,"[[419, 81], [125, 143]]","[0.0378492702117224, 0.11533163993645697]","[0.053813156973718156, 0.19087329704640507]","[0.15463648289512755, 0.3020676475897754]","[0.47449291639200497, 0.5148482329491461]","[0.17566234595889657, 0.3363710882484157]","[0.06286089713154588, 0.17888591282700056]","[0.38238434316990666, 0.4355433006351232]","[0.9619943550085335, 0.9841590801547488]","[0.8712727616518283, 0.850726681519191]","[0.014845170599515636, 0.06723384283334788]","[0.005286218095215756, 0.021037665480086242]","[0.02129596874620729, 0.049303403812348295]","[0.045169225423998344, 0.05133890779930973]","[0.00915813636022555, 0.017720774276996507]","[0.00480670263369324, 0.025776919621333848]","[0.004118747873516076, 0.006328807029479168]","[0.0036421498097245686, 0.002002985516820575]","[0.0065682702711766724, 0.019695604002315636]"
