n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.7513284101519396,0.07779719816742141,0.1923907735494293,0.20075761655150154,0.5109052470992369,0.20743747937322427,0.18308703865540282,0.41850761584777596,0.9708456541551629,0.8615680199147269,0.016332520336898457,0.011675550435339969,0.01838648147984233,0.021945795863471017,0.030460122164292638,0.015414701852094505,0.034052575132901546,0.009134013734742014,0.006006290653441356,0.008543175071809761,"[[457, 43], [148, 120]]","[0.04989535775869792, 0.20086148270374354]","[0.1467937314496455, 0.3946870609683234]","[0.17238396426051847, 0.3267783079829167]","[0.5045365904518986, 0.5399947959546234]","[0.17744380877596228, 0.3400978589865128]","[0.14135392910354222, 0.36795729766467994]","[0.4059288960068811, 0.4745196770570355]","[0.966413956385041, 0.990744833851345]","[0.8579838740555961, 0.8774863319915994]","[0.005298629424403957, 0.031195517515375956]","[0.01449345313563077, 0.03351901283383366]","[0.013014311114541745, 0.05074907822660908]","[0.027401625232377755, 0.04960328622111572]","[0.012023614170274692, 0.017288682605757433]","[0.024627110616452636, 0.05883034806643357]","[0.008693003475974341, 0.007277994717909496]","[0.006329631772594106, 0.0012860037046914586]","[0.010738747469063987, 0.008192228217557137]"
0,DCP,0.7304303539597657,0.09765472312703583,0.21738280236222557,0.166841936348311,0.5058107869593927,0.24103601081185713,0.19979565336369975,0.425305577939302,0.9741275716567042,0.8555892984825613,0.028762398713309913,0.016216308558772718,0.014415852647498846,0.016757573745725746,0.03196540872472326,0.011846424458729181,0.01391088234206639,0.009485857610875968,0.004997217302944855,0.007347849050343464,"[[439, 61], [146, 122]]","[0.0576071632549661, 0.23790221814900775]","[0.16020367127719554, 0.4153920304950269]","[0.1375079088194069, 0.2681372134688769]","[0.49331313931834353, 0.5494767130601834]","[0.20000049788353874, 0.3841670428814544]","[0.15474472756562846, 0.36017224416588617]","[0.4109981036088324, 0.47499977458313847]","[0.9689400242454376, 0.9914891369195624]","[0.8575273436850968, 0.8486598137685529]","[0.01630447345230243, 0.02444184866533706]","[0.018481688693458266, 0.019622332747894017]","[0.014821983997771604, 0.043425168657046556]","[0.03262831086257088, 0.06145563484284165]","[0.013600215641306604, 0.023616424628522256]","[0.010234710174483911, 0.051270519417212924]","[0.010727351422206297, 0.011131708903290748]","[0.006470930185223095, 0.0015308121092365253]","[0.007382288107176601, 0.012774961658363]"
0,F1,0.714820473644003,0.2093027197372951,0.3314416461428458,0.2950817329901791,0.5398627875990433,0.3364193588774421,0.31354377091002184,0.4545387317050988,0.9825127432699702,0.8069261936919044,0.03890699757336292,0.01767612495157749,0.014789225011880975,0.03184922924568303,0.03276078186342555,0.014664144387622622,0.021365236257654963,0.0071470790511348635,0.0013315092721607278,0.007368663314745813,"[[376, 124], [95, 173]]","[0.11869746716697938, 0.3803230753894229]","[0.23682642276422766, 0.5093188393609733]","[0.22335053545907463, 0.4303342607467634]","[0.5213061236761988, 0.5757168839419181]","[0.2520540984607376, 0.495260820402768]","[0.22555634250573275, 0.4801101162346545]","[0.42854468741223944, 0.5036103371147427]","[0.9765268867133438, 0.9937525910463902]","[0.8069806910569104, 0.8065599418678676]","[0.014026852533926826, 0.022435304514048862]","[0.012398873703717955, 0.02096728613951564]","[0.022418611468775832, 0.042401005662790356]","[0.02787298245573579, 0.05029710529967925]","[0.0172610969440135, 0.01514206883825635]","[0.01895543359636788, 0.03371495816583626]","[0.006499891959785881, 0.00960232481923493]","[0.0020886853088280697, 0.0006541491443997946]","[0.005312278227985341, 0.015286611819519527]"
0,Hostility,0.7252355487649605,0.038414766558089036,0.19960477741585234,0.2121479666022419,0.5123134664056845,0.24335696031096465,0.1796259721229134,0.4187986956805336,0.971879123848356,0.8544107677233125,0.027002539710518376,0.011832926521787794,0.011442747362764303,0.014039902952252542,0.02904423679420162,0.012830981398500533,0.015586900686821366,0.005556273401017014,0.0027542920818679787,0.00415669289813313,"[[439, 61], [150, 118]]","[0.026724339314395263, 0.07327695067016513]","[0.14413483352348527, 0.36952824629891173]","[0.17658105512173047, 0.32189016720327185]","[0.5051254462518682, 0.5365516673429733]","[0.20033900330088622, 0.37576886346707983]","[0.13386372801602764, 0.3217411958012793]","[0.4031285538015076, 0.46690633817199007]","[0.9660006104083199, 0.989971033460159]","[0.856461291969303, 0.8496472323457122]","[0.01015484886968881, 0.018378933537504086]","[0.009025933053881365, 0.012973834594191424]","[0.009459914998003667, 0.026820822472145733]","[0.027321100856425442, 0.056558991698657614]","[0.009770327550715443, 0.013571472715561927]","[0.012177543365643225, 0.03461568837009448]","[0.005778313913220831, 0.0041248675723058025]","[0.003148045977939355, 0.0005357294193494528]","[0.0048307771580648985, 0.016545855768796216]"
0,LSC,0.7278329513623631,0.14029554302057679,0.22311241757368716,0.24191484844138947,0.5172132496287378,0.2835864953693887,0.18703117855282786,0.42396015653129887,0.9724126768167272,0.8616125102619104,0.0314153818512168,0.023017495633045736,0.006335586484722887,0.016711473273454642,0.0360930028942668,0.011383980956535124,0.011498900557921958,0.00507380073392015,0.0027438341920274978,0.007602480405045009,"[[440, 60], [149, 119]]","[0.07171156654361369, 0.3034646075285874]","[0.146210390213159, 0.40674527728652665]","[0.19132456098637612, 0.36370937843459994]","[0.5005282921976485, 0.556268014384559]","[0.22095067526577009, 0.43386268151720975]","[0.1305480355083307, 0.32331639912191096]","[0.40418107626324495, 0.4714561700516847]","[0.965052653640203, 0.9901081430320599]","[0.8659030432139018, 0.8518896889379614]","[0.011169906270813846, 0.03384107635868713]","[0.009733575985159606, 0.020311027364539703]","[0.015245313635242532, 0.03403434138775124]","[0.034924230949273445, 0.05057680377909605]","[0.007841826909893226, 0.01639922927111597]","[0.010087792249193615, 0.021006233834714543]","[0.004602549856589305, 0.00608767353058823]","[0.0036854428334662376, 0.0009765729037957021]","[0.006593335120662591, 0.011564511728212998]"
0,N1,0.7330617095322978,0.11100182728211647,0.21354561584703796,0.23747402224856112,0.5202424673721449,0.274952671345697,0.11356635152670744,0.41650095937210285,0.9727300795029837,0.8592906702682661,0.019736435426210095,0.01655283928541006,0.008275509619260872,0.021281520747500077,0.03407229581410056,0.013101392386548786,0.00962243301406842,0.004250092458566328,0.0029987905188439026,0.004865512799669948,"[[436, 64], [141, 127]]","[0.06228088042165738, 0.23890517143848483]","[0.14604831877321664, 0.3889747427658782]","[0.1891958662837549, 0.36295637977577583]","[0.5091527927326858, 0.5492007200479891]","[0.22172724732578883, 0.4137031505484421]","[0.07868898194326138, 0.20524952199317487]","[0.3988762060683766, 0.46218203820490045]","[0.9661073939934767, 0.9897479840166123]","[0.867041170720098, 0.8396012935117645]","[0.010497772871013996, 0.04171321942662579]","[0.012243400635949125, 0.015877555144803313]","[0.01269421324768339, 0.03759373266362766]","[0.027521126809601205, 0.05880793794838451]","[0.012233739151446044, 0.020598469385305018]","[0.008709387374908477, 0.020680351362879917]","[0.00511581184216581, 0.003965610358768599]","[0.004142274883966381, 0.00017436803156391754]","[0.005901861271443962, 0.007436033184809662]"
0,N2,0.7252270605211782,0.09537724106882764,0.1972069595614523,0.2267487788908257,0.5175677500712259,0.25984938617519965,0.13847333668776426,0.3986746638062348,0.9696508117506474,0.8514412356664284,0.028605639718979822,0.02130389766867924,0.014388656468046827,0.025980273934779554,0.03479628122343848,0.016757169537099992,0.02026431268126497,0.005813013008965371,0.0029846989762535824,0.005758039802045998,"[[427, 73], [138, 130]]","[0.050026685797372336, 0.227255583745735]","[0.13585222783423734, 0.37374009077956855]","[0.18333097783407964, 0.3510753278016642]","[0.5068926434834321, 0.552233059234879]","[0.20453110627104976, 0.4184742460510247]","[0.09527320336675772, 0.261436303143623]","[0.3832287528135424, 0.4432469705294932]","[0.9628703843085935, 0.9892515072252793]","[0.856819874819642, 0.8361879641280057]","[0.011149630157719342, 0.04522688462550233]","[0.010187378467192039, 0.023151695680237144]","[0.015235375854502749, 0.04038609973360892]","[0.03149976755465748, 0.055147298355898176]","[0.013697704321683856, 0.018800249517756246]","[0.00835007831716646, 0.04490987313689479]","[0.005622160314247457, 0.005080057315431347]","[0.0036159042458783442, 0.0010424605509657227]","[0.005377061998306304, 0.007511143925048507]"
0,TD_U,0.6860028860028861,0.15689150181404093,0.2724595217287678,0.2528413366664252,0.4596855864865518,0.29673156432943315,0.2537546410317523,0.4365220337603577,0.9753387099948597,0.855139297158444,0.07683458216390499,0.016903220714110382,0.016649445361159358,0.02231363420867975,0.04051581019501405,0.01760263800475877,0.01729691063198608,0.006576786651315125,0.004507732413178516,0.007893978900713474,"[[381, 119], [122, 146]]","[0.09039484069028318, 0.30550876667256804]","[0.18019704769212883, 0.47568281992566064]","[0.18957462959935067, 0.3918265326224888]","[0.44640393868365075, 0.49177534733474654]","[0.2356400221147994, 0.43165116164049466]","[0.17401977619578507, 0.42747071310881646]","[0.4117913890272882, 0.49086244945058394]","[0.9674618166229229, 0.992883702061693]","[0.85523909497867, 0.8550166601494897]","[0.017571375960197533, 0.03729355269814363]","[0.020567042494029082, 0.02018796361238863]","[0.02444324406463848, 0.03259161727101386]","[0.034792950140511585, 0.05569450862402499]","[0.017078829556285313, 0.02452250095361068]","[0.017124055030860175, 0.018122352191784756]","[0.005704803766123113, 0.004627665883380529]","[0.005259799478517552, 0.00028417566974239756]","[0.012403767894757722, 0.010864550426326633]"
0,Uniform,0.7200152788388083,0.21972617250602475,0.3341841582585207,0.30232824853502127,0.546925535998389,0.34080534282792896,0.3103548723109381,0.45527848284326433,0.9824422925388865,0.8576681629194143,0.038380685665809544,0.007870891401495725,0.019232818426569986,0.029845457838060103,0.03741053402294472,0.010883704949967129,0.04127433763287247,0.009218203337649536,0.0027985628338720874,0.009982533267614923,"[[391, 109], [106, 162]]","[0.11794746810454806, 0.4005101546755013]","[0.22626367970333447, 0.5237999681974179]","[0.22516764945949969, 0.4380884599204216]","[0.5327687338700884, 0.5731140962517354]","[0.25255446481299876, 0.4967383453530837]","[0.21939886193832248, 0.470132145875939]","[0.4294444302070593, 0.500905045712672]","[0.9759989905019582, 0.9938591887867316]","[0.8612931772570764, 0.8507509394954209]","[0.007485433559970601, 0.026936570943527298]","[0.007817481627445659, 0.023845280484605803]","[0.023301020093143512, 0.031946495531268604]","[0.030556419319145683, 0.053857197222277886]","[0.0107976949485789, 0.014365037718588497]","[0.02369322595998482, 0.05254920399579641]","[0.010076683427133179, 0.004153052491539805]","[0.0037629255912199205, 0.0007539284725953861]","[0.012511069530952412, 0.013217944306289094]"
0,kDN,0.7356591121297005,0.08983289637456635,0.166079182225047,0.21532161169119854,0.5155295222176727,0.2466062033728198,0.1662511321204417,0.4156659023776368,0.9713631726350407,0.8598211117290326,0.019638446748778664,0.021761893424975063,0.006339540375751118,0.01745361132165739,0.039112268837031144,0.007992128788308652,0.009726838119423055,0.002433184728079003,0.0023974378115857314,0.0072358941789708465,"[[440, 60], [143, 125]]","[0.057877594452441325, 0.19072944357474503]","[0.12003970552727405, 0.31281902656364385]","[0.17867791840302505, 0.3319422986414743]","[0.5074664034546649, 0.5404062616026464]","[0.20339630288144125, 0.3843224137287235]","[0.13061411341442675, 0.2808497322198861]","[0.40169851116898936, 0.4602390151209946]","[0.9659584438388007, 0.9885250541145127]","[0.8631893488286801, 0.8493012627087134]","[0.013881065793959391, 0.03970434306362294]","[0.0038674325484554777, 0.021092872726191498]","[0.009248052295976049, 0.036129488142008385]","[0.03168030372268496, 0.07314714562906376]","[0.00830324954661941, 0.013752006936190464]","[0.007617210133554382, 0.035365726239424126]","[0.002697221461332887, 0.003899067912331767]","[0.0031347733563787564, 0.0010148046628735332]","[0.0060791277556421245, 0.013608563497714438]"
