n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.6452380952380953,0.07854989191034248,0.1253248378655137,0.2723772473229117,0.7597518723801577,0.4008960425680871,0.10084279456463437,0.4019141982775848,0.9216623405561395,0.9465539784579209,0.14278657869237474,0.031119510237123876,0.023032775507661456,0.0673103581964865,0.06421944175960526,0.028437617620747487,0.017332407032211703,0.004621504935523562,0.0038143634658076467,0.00281672516862473,"[[43, 54], [20, 91]]","[0.10902590021324914, 0.07188172285928376]","[0.1351225227770144, 0.12510820737759018]","[0.23410221757768906, 0.2821138183933806]","[0.6966603616405588, 0.7747282117879136]","[0.49208417113299907, 0.3796834686063149]","[0.1344967090083291, 0.09643571480843374]","[0.39705555066187054, 0.40368221239794566]","[0.9118017736803526, 0.923682641597374]","[0.9537642021153958, 0.9449010901117656]","[0.05476343926423349, 0.02706685881046344]","[0.046801015828745345, 0.02353165065239916]","[0.08200733271817903, 0.060838532467515846]","[0.12630362046794252, 0.07594515499754295]","[0.015026380337649652, 0.034691282476710286]","[0.0529945063326079, 0.019450908498461178]","[0.018192045816812122, 0.004741372436297256]","[0.007871208130348943, 0.0037821299920204952]","[0.005771962086190205, 0.0025420185252313155]"
0,DCP,0.7026190476190476,0.14637330754352032,0.19447320514279215,0.18514429653473471,0.72141327452967,0.4741853887961122,0.17919798964073058,0.4087846044540888,0.9292773590659096,0.9559830943983009,0.09282966626448419,0.0627299196071272,0.027261446926874076,0.08185554958206205,0.09967040301859492,0.014675105089311457,0.034481241568057666,0.005463917760528289,0.0070298768665904305,0.004476520409397051,"[[64, 33], [29, 82]]","[0.17289608428307413, 0.0886138805212632]","[0.22140200037030427, 0.13550566611268336]","[0.17755473618461856, 0.20397910833446686]","[0.6984917790971626, 0.7803815981593915]","[0.4972978142523553, 0.4231342255785033]","[0.2025670766737043, 0.12508456640553572]","[0.4114405874294643, 0.403217330406195]","[0.9286920171372234, 0.9303826533165427]","[0.9537178341750417, 0.9613017943756347]","[0.08392938818254561, 0.05495073365530053]","[0.03581921827498753, 0.02388209596789422]","[0.07147462400700143, 0.09389954643029676]","[0.14358323422725333, 0.09268466310742471]","[0.014046157288098519, 0.01689146696623272]","[0.040869073241167723, 0.04151675643145212]","[0.00904590607296728, 0.008313201428004423]","[0.008597660680624565, 0.007003446095081733]","[0.004845138882678549, 0.005831732981839569]"
0,F1,0.6488095238095238,0.13137444532938902,0.20287632267607236,0.30307348180880556,0.7331740184790874,0.45940398602163396,0.15919784064496204,0.41393982278368757,0.9377592750708048,0.9280070732354837,0.11737046112575672,0.041944126646709386,0.02752026156523034,0.08186988228778475,0.07301673108279323,0.02031786056211156,0.029405743562081574,0.006917408112842457,0.006192932833515478,0.004366243971451042,"[[58, 39], [34, 77]]","[0.1569801150470454, 0.10711209373712287]","[0.24336547577095788, 0.16498295190819628]","[0.29893368661919484, 0.3075624484043318]","[0.6936941074374758, 0.7654965697075722]","[0.5110142365768222, 0.41104399785046486]","[0.21171610626809284, 0.11030669552788774]","[0.42144834871768505, 0.4069003057773243]","[0.9316690353728145, 0.9431267239106121]","[0.9275149353673642, 0.9285280675175626]","[0.06781833952131343, 0.04651608073384191]","[0.04114041575844087, 0.027998811205418524]","[0.08436267192872808, 0.07962937970940574]","[0.12056820448315905, 0.07534209390266741]","[0.013009732730483453, 0.022364916143359195]","[0.03415669970377482, 0.03268864825370468]","[0.009197860749027188, 0.005653566280254795]","[0.010509624224256376, 0.0038818640660855806]","[0.00565967413058407, 0.003834361602140338]"
0,Hostility,0.6928571428571428,0.0064085789054499935,0.13195926726590054,0.2764050988040565,0.7534610091618852,0.4472242050911842,0.10564866662332244,0.3992584610941603,0.9166383199934952,0.943475224712709,0.09774478932279779,0.004909319508440906,0.03178635542013684,0.08039476679471824,0.06517397336134986,0.018363361941415284,0.026859687106181737,0.008416761436286998,0.010803737612672889,0.0056334740468847525,"[[52, 45], [19, 92]]","[0.009542271000604334, 0.0038831341036658926]","[0.14656917299205957, 0.11906888059604526]","[0.28850481409407486, 0.264762410709594]","[0.7007301595909029, 0.7909915525464772]","[0.5052552188491548, 0.3939167560721492]","[0.12148484736633477, 0.09275326793787514]","[0.4027236914776003, 0.39696779949050265]","[0.9121104379256402, 0.9201742608505429]","[0.9462440391984377, 0.9411403390019137]","[0.007545062827462213, 0.00618093949362492]","[0.04130243879172296, 0.030780785111250774]","[0.0846003399566645, 0.07027634327825648]","[0.1259719875441023, 0.07392829182724298]","[0.0093460248667877, 0.02547101375295285]","[0.029195339694103477, 0.030483270575047926]","[0.006233087894080321, 0.013345176692084577]","[0.019601376545896936, 0.012147655008688963]","[0.004325166610468632, 0.008299394392409946]"
0,LSC,0.6252380952380953,0.051319831607691435,0.03472408692684037,0.24697316905543515,0.7468892607010567,0.44179341647260106,0.03360037438573108,0.3800685497772129,0.8861461388300287,0.9545920563583266,0.09101897891401417,0.03965082133941602,0.009113236609423416,0.08001343455925358,0.07364881703398683,0.01773819415709202,0.010937093720755188,0.004606893550333072,0.00742698121852164,0.004201459708133915,"[[43, 54], [24, 87]]","[0.05324469676299859, 0.05108530995576477]","[0.051851165498757276, 0.022794240649820753]","[0.21923153813222457, 0.26680876062543085]","[0.6974911287718487, 0.7900771651765065]","[0.4941611028368764, 0.40401932237397054]","[0.0316883623224722, 0.034889262560109185]","[0.3881047850056848, 0.37378625716024727]","[0.8818785750587992, 0.8893603228332274]","[0.9483131989315655, 0.9591158137488014]","[0.030496691663549447, 0.05968009882986132]","[0.012070481244021524, 0.00960499363329486]","[0.07277872106590184, 0.08011369698369042]","[0.1400869806566889, 0.0863418670267122]","[0.013022072407835513, 0.021350609564488032]","[0.013784544021064679, 0.010255842017744208]","[0.00889050543054965, 0.006605067118385801]","[0.01133631839458697, 0.007082920359643264]","[0.0050279443366605375, 0.005957561796466023]"
0,N1,0.6726190476190477,0.10365798156786891,0.1236107634543179,0.30506031854798615,0.7467872934151094,0.4544214858696349,0.009727845683728037,0.3954043381375841,0.9215933607160153,0.9546383263169872,0.1078387162039777,0.03145927289703159,0.025957810980166588,0.06957738049113726,0.06461065520938845,0.016298626423903482,0.006024722513323094,0.00779208569886517,0.0074151834978881115,0.003341172186057919,"[[66, 31], [37, 74]]","[0.1214513055630873, 0.0893544696847289]","[0.160781836323444, 0.09343583120533391]","[0.33267779948602233, 0.28239646653205297]","[0.7033581632093241, 0.7843994894771953]","[0.5047584666841611, 0.41317238862385625]","[0.010358214553638409, 0.008967805947299531]","[0.4032570448492934, 0.3889599739881126]","[0.9242381300783489, 0.9193287267751284]","[0.956537056151911, 0.9528987553990325]","[0.04822760243538466, 0.0448152885424036]","[0.03740984874497666, 0.020180864466857178]","[0.07822081396973797, 0.05801327065836575]","[0.10920849408579435, 0.07556135502546923]","[0.010493619842638207, 0.020654602229024033]","[0.009191204443037448, 0.004601010293146297]","[0.008425085687767423, 0.007974881500526637]","[0.009399356478086476, 0.007726993175509498]","[0.0032258472996981417, 0.004336371813737799]"
0,N2,0.7157142857142856,0.06466890431220844,0.09231596313573785,0.25933421789820243,0.7651514225935376,0.45564628573112076,0.05982178074324507,0.3396937428469822,0.9146811282434413,0.9578154037243524,0.08815027595772763,0.026411780745811204,0.020689217703946706,0.08828668363597524,0.06647989963073347,0.016419168708124317,0.019165060435099437,0.0053334445618977485,0.006523449873886141,0.003373818890108071,"[[65, 32], [27, 84]]","[0.09438440284105223, 0.04235668203677172]","[0.12797377398835894, 0.06661190194036644]","[0.2877516761170897, 0.2389018859396454]","[0.6956639121105619, 0.8144872568748267]","[0.5032259166556674, 0.4211819293615694]","[0.05819780357697468, 0.06046833897269429]","[0.34107173917347977, 0.33858711633217115]","[0.9226927220936167, 0.9087268258679846]","[0.9556840041449775, 0.959403659539001]","[0.05758331343304017, 0.0296331256529262]","[0.028003690739940145, 0.01930555781180927]","[0.10438089009319636, 0.07026245590494552]","[0.1173610489038486, 0.09524793410590428]","[0.014539541150535002, 0.01829018109388325]","[0.0214408701964783, 0.022352488797537557]","[0.007495857874719093, 0.00611614527519914]","[0.0075271066060668395, 0.00768377595223245]","[0.00394552148153706, 0.004176815397446507]"
0,TD_U,0.6538095238095238,0.16833257480942088,0.23138070315166687,0.3417456912848869,0.6138760481626564,0.4705885291148196,0.1927278280751372,0.422355110851062,0.9407983757955458,0.955846560094057,0.12532246137371764,0.064989560777471,0.03913457902974994,0.12206018114901979,0.08369794753248401,0.019436999827478294,0.03506510663235688,0.010559195511330265,0.010498776100918228,0.0047708286348674914,"[[65, 32], [40, 71]]","[0.18858839877213582, 0.16594833766274641]","[0.2855013147439896, 0.19043707291529582]","[0.3375954786002211, 0.38267432858417727]","[0.6151320005752839, 0.6329441489705097]","[0.5130531702913573, 0.4232156369978763]","[0.22331392244918363, 0.17372523194875522]","[0.42941255343045553, 0.4184581762872459]","[0.9438228409077825, 0.9420560350823661]","[0.9561481958576927, 0.9567913967176297]","[0.08758408457957388, 0.10645567672447634]","[0.08350571803745448, 0.047600265412802]","[0.13882397997569765, 0.13636344567488906]","[0.09519443301437108, 0.08599192527120443]","[0.010451453158748217, 0.02234585025645969]","[0.06211613264692989, 0.039067025301278126]","[0.014721619935609715, 0.016535034538357776]","[0.016499316438543465, 0.008412296277035939]","[0.007182792631412257, 0.004642677229398864]"
0,Uniform,0.669047619047619,0.1570798725679827,0.20812606667425193,0.30781624874177516,0.7420326600982107,0.46041181201547854,0.17741775433577683,0.4161122359439811,0.9390598688441578,0.9565087988773845,0.14642803372379445,0.042086172377655315,0.02683426103708068,0.08443074524710485,0.06570342076244967,0.015029952745756654,0.03164227407366363,0.006920915242833741,0.0061229285104328676,0.003350574811003071,"[[55, 42], [27, 84]]","[0.2007927930190002, 0.12144489171815513]","[0.2749923501125239, 0.15111513567281093]","[0.32579175203423444, 0.2924514971108428]","[0.705494580358374, 0.7763694409812938]","[0.5048802061927533, 0.4224781183720718]","[0.2296055146352435, 0.13253105766765344]","[0.42569156548380516, 0.4078814495835069]","[0.9446268141469496, 0.9343077865350606]","[0.9573667088387376, 0.9557509449321954]","[0.08763345227154956, 0.06038640766669394]","[0.04221110622331722, 0.01745828569911597]","[0.08893734422441184, 0.07402618624084431]","[0.10747360275649591, 0.07614349529988801]","[0.012134050724796982, 0.01806394254076671]","[0.047067240384053737, 0.02942611191002259]","[0.010413082198812807, 0.007283785304763895]","[0.008292288175561404, 0.004144208409769805]","[0.004048659074370796, 0.004160156312118643]"
0,kDN,0.6392857142857142,0.05292695414722949,0.024898737057685742,0.2543457676068187,0.7543107907250585,0.44296268041227005,0.03895073116287133,0.378712128762728,0.9025542833773447,0.9530814085789053,0.08980010555069577,0.03718996613534301,0.008160466823081818,0.08479578313174924,0.0681829716051081,0.020966353263804728,0.014824096230493359,0.006473672487548357,0.006033891191088861,0.004108150043821865,"[[55, 42], [33, 78]]","[0.051671589434385566, 0.05503208717449183]","[0.034790342149083914, 0.01894947479191829]","[0.22530524535006013, 0.27286370690575423]","[0.7005510641205874, 0.788933860383939]","[0.49283906110234527, 0.412466071301139]","[0.03013338069487792, 0.04432705541016323]","[0.3796222779586264, 0.3783036481875078]","[0.8964502581256554, 0.9062055437829217]","[0.948782974652868, 0.9558065250710774]","[0.04702081761011504, 0.06112876649683441]","[0.013689733615707734, 0.007572985647132805]","[0.08570842143601573, 0.08066644382406941]","[0.13905449022182495, 0.0731803690872645]","[0.013866713918727427, 0.023384944555346253]","[0.01706400425953113, 0.014727030537188303]","[0.015987688686288564, 0.005788689604239242]","[0.01287391972698189, 0.005308183280307236]","[0.004068844520107243, 0.005686228884470817]"
