n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.7023228803716608,0.10824615828583797,0.1593694538633576,0.2570153402098267,0.7523456013961749,0.4118418057945106,0.1322622053655168,0.40321462083321463,0.9201006871143191,0.9462740783493254,0.04350868722285865,0.05957326289281387,0.013548669049444215,0.10660815537510634,0.12049458970358753,0.02765631251890644,0.040226896223780374,0.005468613929432764,0.0068117747173409285,0.006793431134782705,"[[59, 38], [24, 87]]","[0.18686378686378685, 0.06992163817624789]","[0.2063821032571033, 0.1356842913153223]","[0.2499883690217164, 0.2587239390003955]","[0.6908480458480458, 0.7762758035152484]","[0.4827127764653395, 0.377990950799055]","[0.15591352685102683, 0.11981548120842689]","[0.4082891292691584, 0.40038454559712705]","[0.9222759143400591, 0.9185622716041782]","[0.9510224246682581, 0.9440890402946793]","[0.08955400878630704, 0.035078015498508065]","[0.02330018460314373, 0.023877048118013205]","[0.10116628143392922, 0.09238635492523525]","[0.16145202050714752, 0.08916982132059477]","[0.013270477546525704, 0.03637903308206853]","[0.04415217492493298, 0.03476693983031744]","[0.015144124228792364, 0.0049051717579596315]","[0.01439590788562401, 0.006269828791707076]","[0.008726457566998226, 0.004929368091728099]"
0,DCP,0.6773519163763067,0.14797633648365918,0.17985571026621455,0.19378087345041556,0.7356364723221371,0.45285754931810107,0.1609049542910736,0.40772439507530134,0.92722690431295,0.9509559194863286,0.05901184892274851,0.08711868479718358,0.03770915726646653,0.1080695543945788,0.14847278253794233,0.014479743204956647,0.02214940972672952,0.00536143208768053,0.009771479159377216,0.004315703715574571,"[[59, 38], [29, 82]]","[0.19657888898613662, 0.10971226878537262]","[0.22208223496402962, 0.14705841623545549]","[0.19901317139613942, 0.18873416163090267]","[0.6779422423555296, 0.7802255560898587]","[0.49227869369836064, 0.4169999551623397]","[0.20545797851233574, 0.11969501599972135]","[0.4175721596922529, 0.3996847341570363]","[0.9257666301356002, 0.9285347578439161]","[0.9499926047704305, 0.9516649053948261]","[0.07209828836767185, 0.08619875112274707]","[0.04717459534547215, 0.030233531741280607]","[0.09764464459055013, 0.09739278767617895]","[0.1666507621219139, 0.1134432388249145]","[0.011497063797952805, 0.016779921969038616]","[0.020434617580101858, 0.025637478793774798]","[0.008110777760893927, 0.0034973881511277775]","[0.010206838091047646, 0.007643414677454926]","[0.005671783803258938, 0.003913202265478116]"
0,F1,0.7548199767711963,0.14548733857586033,0.19997402784791865,0.27140530951415026,0.7379785695390629,0.4479203799597209,0.15230361995458308,0.4098747805099676,0.9326608936384536,0.9356946348267321,0.061600689646032186,0.05899509135401784,0.013248566165431153,0.10544512091477136,0.12387931223699845,0.01975881827903101,0.02183111627848904,0.005095749429322734,0.006204306378807074,0.007234222835790744,"[[70, 27], [24, 87]]","[0.19207365520375685, 0.1056924881644806]","[0.2568839248567595, 0.15147136726232546]","[0.2707162574052993, 0.27138988356623517]","[0.702020578201106, 0.7676570772281874]","[0.5033695956518052, 0.39885470523819927]","[0.20068080943647004, 0.11063723624720603]","[0.4166207162630785, 0.4040876115056736]","[0.936602088600279, 0.9296519493312505]","[0.9378963839274572, 0.9335753485547436]","[0.07557413605268376, 0.04908883633633877]","[0.0312772708054734, 0.021811176534151423]","[0.09993851205815897, 0.09001486483011417]","[0.15467715644468535, 0.07530269666449588]","[0.008301122562561639, 0.027600715262331613]","[0.02380430922306626, 0.036519683476214565]","[0.007366019970647672, 0.010627000028581952]","[0.0097420532829054, 0.005296672605850019]","[0.00515905507954529, 0.00832886599708084]"
0,Hostility,0.6823461091753774,0.030091623980953754,0.16944232017891928,0.2616810897511262,0.7401182832270055,0.44188672144262037,0.12367632205468579,0.402293012510386,0.926517284293776,0.9455324291176683,0.05456915196670619,0.031607855129188914,0.03204529159498549,0.09392357156186602,0.13704053187402476,0.02358422999560229,0.03539742908795061,0.008365982629676848,0.010915244020915912,0.0018069181852161018,"[[65, 32], [34, 77]]","[0.04292349931782686, 0.019755865367423985]","[0.21530216188685292, 0.13638402452374648]","[0.25351189810577257, 0.2651394763908219]","[0.695621607549292, 0.7695614881154946]","[0.49752795189725046, 0.4014103837567925]","[0.16451946334516582, 0.09358907462862719]","[0.40708603278491956, 0.3984194703277085]","[0.9281838983809196, 0.9249936413448413]","[0.9477169874305374, 0.9438467195912373]","[0.03694876682605432, 0.024904553656357662]","[0.047482609415903224, 0.03514507371480927]","[0.10413772429965341, 0.07312499493018862]","[0.16108123089617526, 0.09965232086720953]","[0.013399838392834767, 0.025381761420630623]","[0.06207798844400221, 0.013485798324351822]","[0.00730829155872817, 0.010493419063637979]","[0.010727457412676592, 0.010912570199828017]","[0.004592066156218237, 0.002364246404397847]"
0,LSC,0.6922183507549361,0.11069908376019047,0.12745256475001804,0.2672492783768764,0.7371093269571013,0.44767354333464127,0.09899902432656202,0.39767612472520664,0.9090372620625168,0.953162830964577,0.03997067333895528,0.0549825681691151,0.03199986136246755,0.10171956219118192,0.136405223861289,0.009363622247727769,0.018501475618368405,0.007443602196094253,0.010635958284783658,0.0021600608101533165,"[[64, 33], [31, 80]]","[0.14199518714321413, 0.08761341672511887]","[0.18044264846673355, 0.08776519756838906]","[0.25507679361349095, 0.2767161178737099]","[0.6972126511387399, 0.7674924958526781]","[0.49836455014251363, 0.4095565087163166]","[0.12882955574378596, 0.0763919553555192]","[0.4085642154016088, 0.3896712414631434]","[0.9152214354184999, 0.9041316150986456]","[0.9521547083564565, 0.953803768217598]","[0.040054090023722136, 0.057006195236376976]","[0.0451221888185417, 0.01702626263543874]","[0.10320690119488976, 0.08491549561059415]","[0.16005171508233146, 0.10066728484903739]","[0.006257312891694449, 0.012422896358766632]","[0.023228249320746328, 0.016341260506483768]","[0.007892117766737147, 0.007170439609097678]","[0.011740091530538267, 0.009631273673020605]","[0.0040189159163119366, 0.0038322407837495425]"
0,N1,0.7019744483159117,0.10945097756294639,0.15191977490801528,0.26496333210470163,0.7433993630638893,0.45126672924207184,0.03478128940054486,0.3987123157975132,0.9223531168945837,0.9474063920352067,0.03989339934811145,0.057339980447229634,0.03193127106048808,0.09598986799680803,0.13325678299898888,0.02245078302562276,0.008526534281093196,0.011162529667378332,0.009934287222148053,0.0056942991925275,"[[63, 34], [28, 83]]","[0.13647723893868602, 0.09082393112476654]","[0.1977041527402587, 0.1145550350131758]","[0.27769641807957934, 0.2551659274358075]","[0.7070775970156674, 0.7739725988748385]","[0.4994218571916032, 0.4110621632316104]","[0.03738742898472934, 0.03261643197587918]","[0.4010943607192209, 0.39641418716866783]","[0.9237951737537493, 0.9211398104203943]","[0.9458206218617848, 0.9487613923309578]","[0.048168590964521786, 0.08559336219421432]","[0.040807477408319526, 0.026947567651262442]","[0.08176402754386991, 0.09245846820557743]","[0.15246969121858645, 0.10047981047252814]","[0.01703316176339279, 0.0213426656253403]","[0.010594196038823969, 0.009569271308518116]","[0.013032043740866101, 0.008172211572003311]","[0.011480994697230377, 0.007993351635722942]","[0.007773418282240445, 0.00370954042600176]"
0,N2,0.6876887340301974,0.10228699228049924,0.14761994084120916,0.26299192550189693,0.7395452812103847,0.4571073867938762,0.09612838007290066,0.3735682427015045,0.9218339522303081,0.9524769737633167,0.08528917997489276,0.07687754358724834,0.024410338370844973,0.12556467066662433,0.12519843294999622,0.010092179553106746,0.021477760564885973,0.003927241065781295,0.004643324746486589,0.005508489381818642,"[[63, 34], [31, 80]]","[0.1263117768846669, 0.08335140558999175]","[0.20060041407867496, 0.10837997758148876]","[0.28385158290896606, 0.2469450804771145]","[0.7114435652521879, 0.7589621153429823]","[0.49949844407791594, 0.4249981180285512]","[0.10490079974018593, 0.08985870978395151]","[0.3737259680073928, 0.37341143153464057]","[0.92536690041109, 0.9192434064955417]","[0.9507607761945357, 0.9538036623469164]","[0.07974196445394419, 0.07794854535708376]","[0.03105427739029067, 0.01859527485292766]","[0.11451836429107054, 0.11004128510355465]","[0.14413581530217096, 0.09580885002754087]","[0.004614589374730776, 0.015616543081560467]","[0.017796973456466705, 0.022096445372426204]","[0.0024970809302632354, 0.005412074364567431]","[0.005938777593874925, 0.003987474628393953]","[0.005213486670191198, 0.0047886912437177355]"
0,TD_U,0.7210220673635308,0.18041988312531562,0.2283875622249477,0.28224688194795233,0.6915434535404235,0.4628423084179551,0.19438310126734482,0.4120096645324736,0.934820638299291,0.9526548108602073,0.0448069865624079,0.06491298595058682,0.029883103796352478,0.10614685831472931,0.14073135557985778,0.013973143228768137,0.036366943276462824,0.00943660910946588,0.006525987304516084,0.0036970340726338864,"[[68, 29], [29, 82]]","[0.22255981822634138, 0.13567368766872664]","[0.2812439647107462, 0.170435024096966]","[0.2620371616687472, 0.30644255482844723]","[0.6789332262615988, 0.709806317127366]","[0.5002957035668888, 0.4227792138369738]","[0.23445563880501935, 0.14984510238284157]","[0.42103538482731767, 0.4029190001904608]","[0.9370394716731394, 0.931994852486946]","[0.9510245181098245, 0.9541840551491507]","[0.0566491781754885, 0.08684325796343045]","[0.02858890983331791, 0.03182300796641997]","[0.1019030107394294, 0.08924386759528223]","[0.16253075835875486, 0.09181845125468142]","[0.007477355279736943, 0.017504217449011483]","[0.021561340636558582, 0.047462226803379554]","[0.012276811661941332, 0.011634016223482126]","[0.0065810817192698415, 0.006236988140391443]","[0.005405192585125842, 0.002734487224873521]"
0,Uniform,0.7016260162601626,0.17323425438280066,0.23364836591876487,0.2707695397330614,0.7453874007578645,0.4581784912589694,0.18900922767202258,0.42082284491503186,0.9395123254597314,0.9526756126301613,0.07280039200186911,0.08043286226434959,0.027335549640800972,0.11593916206513673,0.12495458540357379,0.013413184185199847,0.03702285616445818,0.007588388999291399,0.0057381313893881914,0.004000170670469977,"[[65, 32], [30, 81]]","[0.20919884463362726, 0.14551787716617595]","[0.2946228336880511, 0.1848812631825348]","[0.2969107243205419, 0.24903306067250114]","[0.7174497845150019, 0.7681439437687821]","[0.49983018334548, 0.42384383958565264]","[0.2388038537549407, 0.14950212508370947]","[0.42742137574477324, 0.4157232276392766]","[0.9433718025092583, 0.9366755003316218]","[0.953396413972501, 0.952094004683597]","[0.099464580887818, 0.08110715409192587]","[0.03779382641198955, 0.02644743402254268]","[0.10320626232660704, 0.10687752690887943]","[0.1387331067473756, 0.09342642499707911]","[0.01061029022814878, 0.01670659610254272]","[0.0342994872027783, 0.035277847803970405]","[0.007856838513054746, 0.007056652421265293]","[0.005649396671321269, 0.008632485408236258]","[0.003457703862284193, 0.003983559951782074]"
0,kDN,0.6581881533101045,0.09621239448813217,0.08869201356323499,0.24353867791001682,0.7474051209113614,0.4452614135772852,0.08812787505883242,0.3963334108200488,0.9101990951293795,0.9466184498472933,0.05570010911063758,0.06953468179925484,0.018546955599372184,0.11274519438354859,0.12962168493511084,0.013541997493084169,0.013059025375521007,0.006010732118638541,0.008216910536772825,0.004916769967778895,"[[59, 38], [33, 78]]","[0.08978351734829956, 0.10257653764566206]","[0.12456213727980978, 0.06347312390630364]","[0.24592679812891477, 0.2419709461999327]","[0.6936336952469043, 0.7832375864206015]","[0.49337936028327734, 0.4110528003073882]","[0.10361539312512635, 0.07710810315303404]","[0.40411356496294576, 0.3907343230660007]","[0.9059373959381037, 0.9130564914299818]","[0.9429250845575752, 0.949280590675752]","[0.04384178533857795, 0.08881935336721557]","[0.038572265653630866, 0.014557743626974906]","[0.0985448683859185, 0.1035406987854007]","[0.14654956598954047, 0.10252780249689143]","[0.009911483932927404, 0.020289206898438068]","[0.028267508079161507, 0.01344300107988696]","[0.0101370917510845, 0.00928754089568557]","[0.015230205539156817, 0.0022853690548360426]","[0.0063014917745181425, 0.004264681112548395]"
1,CLD,0.7020905923344948,0.22963711131952963,0.30650169540437194,0.3137929659949325,0.73696795737269,0.4959511112466012,0.2568273693576702,0.43171870868035767,0.9499554825584434,0.9567806555563572,0.030367274607043908,0.05589171841332849,0.018999743057764983,0.11739887681582106,0.13712110202211095,0.006741506226396569,0.01713532836144211,0.0037807494142553565,0.005090258778759604,0.005095513280220582,"[[67, 30], [32, 79]]","[0.26461597483896565, 0.16392072418407772]","[0.36147681668587617, 0.2220885909512861]","[0.3388609432638483, 0.2730940952590969]","[0.7226858568681246, 0.7589177553001842]","[0.5138541978126595, 0.4682397854924549]","[0.30623430516351813, 0.18072328398865511]","[0.4466124130914123, 0.41137816768709234]","[0.95473259935021, 0.9433511232337881]","[0.953243578887218, 0.9619236690296121]","[0.09055522896813678, 0.07104516247821074]","[0.019455974826279088, 0.03320057940009433]","[0.11805612001966545, 0.09258945999553497]","[0.1362811622498308, 0.11015044287249182]","[0.007423295053960995, 0.011790196862810158]","[0.028503311574607768, 0.01906805864008982]","[0.006338103991609491, 0.005923509373086965]","[0.006411882937929806, 0.005992766714421335]","[0.006757694702615154, 0.0046469279066374955]"
