n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.9051444539168324,0.03482928757246521,0.07536294784257827,0.058731131695669014,0.530351513990579,0.0904581483162604,0.051204580243175646,0.2834601634990675,0.9849365021990881,0.1984089119967764,0.017744797012215714,0.004667495748117593,0.004254904696063547,0.010599782987835768,0.038656223152341976,0.00359856514884554,0.004086880057746703,0.0029355129032298654,0.0005604162390905412,0.002307613902402152,"[[2593, 192], [244, 1568]]","[0.02315588094343487, 0.09322989493383285]","[0.05915335148111225, 0.15606085148109067]","[0.052702870999320896, 0.08863806692637953]","[0.5371240900296647, 0.49651060092778454]","[0.04872008553149204, 0.2983601561370824]","[0.037843586166416456, 0.1174810054817684]","[0.2962022241769189, 0.220030011941019]","[0.9842151049421425, 0.9885426781245125]","[0.18126737036065116, 0.2837517173743756]","[0.005432970484178181, 0.01682066867990451]","[0.003172987446328581, 0.011616192856494274]","[0.00963094290642035, 0.011880172659646006]","[0.039340550960964546, 0.060450378568899794]","[0.002020206714303763, 0.0046924829109461315]","[0.002536746491794771, 0.014179871600718456]","[0.0021164464231602062, 0.010140158550587454]","[0.0006308774836964268, 0.0005059744186707416]","[0.0018967738557560598, 0.004930098722496831]"
0,DCP,0.8960182817088189,0.047905654718823736,0.08602304843545493,0.02215319031055425,0.4994960512219186,0.21771951986207805,0.06469684295640858,0.256843957521515,0.985180553574484,0.2373756307074722,0.021156867263382218,0.008131572982476113,0.009717499040761265,0.008580083018606686,0.05610083523031583,0.03130877972896173,0.01188974517382929,0.013367272134212148,0.0013404377693299375,0.02847192295196835,"[[2581, 204], [274, 1538]]","[0.03239863914025984, 0.08039145374203255]","[0.06894518776818284, 0.12643122799877543]","[0.02013896277277217, 0.02948892591108319]","[0.4872072850584993, 0.528657180592684]","[0.16509908801130782, 0.31888070903335636]","[0.054004853248495945, 0.091431358788681]","[0.2942295779632302, 0.19354489830525184]","[0.9850803670088958, 0.9863225567743242]","[0.197051555611707, 0.31146566168155604]","[0.00927691638247411, 0.01878161254692651]","[0.009009738580340296, 0.02448843808830379]","[0.011075843645431994, 0.007616243927002325]","[0.05841055475588647, 0.07033279460867478]","[0.027354639381477672, 0.007407168164172441]","[0.011641685536904487, 0.02046590950155264]","[0.011345630669912385, 0.01269262438701616]","[0.0017800463191633648, 0.0019483732796630228]","[0.01823927836843776, 0.013447419725705576]"
0,F1,0.8805730794733352,0.08897052183124318,0.1436053588938452,0.09978165281712223,0.5876517322691337,0.26726956029318394,0.12131814694905405,0.2693659824438214,0.9885231206920022,0.10652264412100558,0.017541847233806248,0.007701330118582275,0.007043304615076366,0.012108576063155406,0.031074372314520236,0.004473720840162174,0.0032895555671831425,0.0027581616956665537,0.0007602480449339251,0.0013979319312647162,"[[2504, 281], [268, 1544]]","[0.03837758158990312, 0.2825487056469379]","[0.0885754196864345, 0.3539468635189418]","[0.062487740070938845, 0.24227256137186887]","[0.6170761949329882, 0.47653347881158437]","[0.24762012531328637, 0.34249356521050744]","[0.08003384244448933, 0.27914417238354894]","[0.2614693777490024, 0.29949694086861667]","[0.9863914448621477, 0.9966563596979441]","[0.09381804395438123, 0.1550811302977239]","[0.008435625060095044, 0.0206626265580763]","[0.003959574847145579, 0.018161194336702068]","[0.007787772388159996, 0.025807342343406314]","[0.03473483006786975, 0.052615381705265106]","[0.004430322252466409, 0.0045633562347261085]","[0.004730909456058333, 0.010178367074071866]","[0.00238479822548239, 0.009527503130336318]","[0.0009136090088199723, 0.0003034419486813124]","[0.0015607027220576658, 0.0033482237479404756]"
0,Hostility,0.9047158283603297,0.003359694830966418,0.05204360722583558,0.055701765552627215,0.5339747803233161,0.15836586200653877,0.03517776847633284,0.23334607594386791,0.9800769543595559,0.20962589804860482,0.014737945820081954,0.00043323039678672186,0.004301512024268143,0.009834463405598914,0.036239502656556545,0.007740820795291377,0.003660897141383051,0.00785247819580791,0.0008630547390242982,0.007386433060535568,"[[2641, 144], [294, 1518]]","[0.0020572707750891564, 0.006581649131892525]","[0.03903104150951351, 0.08235626358568407]","[0.05127074510564568, 0.06619947074751611]","[0.5449654842615609, 0.5052517312369992]","[0.094010970795339, 0.30472739872926613]","[0.02565975694965556, 0.05727731705204801]","[0.2561529107360884, 0.1814105671490892]","[0.9793321555173609, 0.9817723165975363]","[0.16166500153409546, 0.31873023684723945]","[0.0006981605356528904, 0.002411489283138825]","[0.005129273933723616, 0.013266976580938035]","[0.010186651056101751, 0.008978986886414882]","[0.03630375096172755, 0.06795905177752466]","[0.006774791076688653, 0.004061067574816877]","[0.004020624650865894, 0.010867082665120379]","[0.00755592089488339, 0.009715536884170919]","[0.0010417679290239375, 0.0024227080720330644]","[0.004990234853139843, 0.015254300796709136]"
0,LSC,0.9010135455148243,0.014840352531873241,0.01427502201367307,0.0441847068084587,0.5360825043876367,0.198435250034473,0.010108233945212344,0.18688290625856535,0.9736339026861008,0.24139775576042558,0.01482971509458036,0.003837768393327975,0.0014392899212668435,0.009061746417975032,0.04308823780216192,0.007965250759024265,0.001413887752613389,0.0027285195635947707,0.0012737285673144181,0.0024757098322283674,"[[2590, 195], [260, 1552]]","[0.009009089860198322, 0.025053038477234797]","[0.00986294783622143, 0.022004055606347474]","[0.04097687246814438, 0.049808217985099434]","[0.5446230933165305, 0.5217177347802503]","[0.13756469984928574, 0.305669048951641]","[0.008275926338236496, 0.013305970381861935]","[0.21550252040373924, 0.13645746329532044]","[0.9721799436047815, 0.9762024553073283]","[0.1783516194442661, 0.3525472308515448]","[0.0032498386280170534, 0.009196195717023922]","[0.00158634750714371, 0.0025542450738662865]","[0.0096067955751332, 0.00918046720864709]","[0.046792752564307365, 0.0670277720947241]","[0.01009868795619251, 0.005097109500263919]","[0.001996517001173689, 0.0018312257264262999]","[0.0047946985111524155, 0.00496844213343997]","[0.0016329411438457228, 0.0009146863403836948]","[0.0033739973305007666, 0.0039002680143571007]"
0,N1,0.911020649805816,0.04408635692023778,0.07049516715612551,0.0643599593866274,0.5272458963766532,0.23207062353009453,0.0030278102408297235,0.24515359638860432,0.9863976194298691,0.22154246643417147,0.01703464120566655,0.007221229781047665,0.0037688052209333563,0.011349578094488902,0.03576103338839016,0.0049572111839522506,0.0005817827821343559,0.0039015314092483966,0.0006600685175472704,0.0016198794783703794,"[[2601, 184], [225, 1587]]","[0.0271420612242111, 0.07217708103603875]","[0.05550157743173477, 0.09524366713369001]","[0.06027918598950628, 0.07110331994023875]","[0.5467122700267687, 0.49545944660569424]","[0.1791950926015476, 0.31940922170238795]","[0.002531837246673079, 0.0038450821143268853]","[0.28252146966022706, 0.18337353611813273]","[0.9857831741923537, 0.9874121224550251]","[0.17540780995745917, 0.2977285184727515]","[0.005729353943733531, 0.018708732594591153]","[0.0019081417817718804, 0.007128481607262533]","[0.010555517828223506, 0.0113421924299556]","[0.03588055172768898, 0.06048325226315555]","[0.004898180539853663, 0.005905544745351585]","[0.0008926146941414851, 0.0010201796869297593]","[0.003316094919879974, 0.008495823698299638]","[0.0007753207834089498, 0.0007595386409000869]","[0.0020844449218979607, 0.004079557491575502]"
0,N2,0.8914454864071232,0.04336155593120261,0.06388198988883986,0.05823508371050754,0.5440467144136255,0.2655226864435978,0.044595958382029025,0.08682274174611435,0.9819253388152527,0.21721225418280285,0.016390974698491306,0.008670119340464447,0.004496915812769546,0.010748770896403992,0.042692834803148325,0.006319802414378868,0.00436880129382486,0.002341625529595821,0.0010931938148218993,0.00244950525527932,"[[2508, 277], [222, 1590]]","[0.015038386482544741, 0.07168147688676271]","[0.03612272047605868, 0.09161748896821806]","[0.04939787986252014, 0.06701481405459361]","[0.5836097343509902, 0.5043393950902375]","[0.2151851928176806, 0.31583843316059057]","[0.02984191511658797, 0.05925387493861332]","[0.12347596658643953, 0.05018691879971511]","[0.9778920789611908, 0.9859627013211723]","[0.13305505911188545, 0.30140421367734666]","[0.007182580559410681, 0.018887900802543385]","[0.003679823177107771, 0.006232417013580959]","[0.008607245373912005, 0.012921238691692314]","[0.04282881479661941, 0.0620056666740024]","[0.008029453984677122, 0.005001414566255487]","[0.007465747112902595, 0.007053827982619361]","[0.003094095823732835, 0.003447423596110517]","[0.00151465520547274, 0.000902897319633811]","[0.0022582629757342725, 0.002796713719806917]"
0,TD_U,0.904712986643933,0.11120751524659345,0.16272973985603986,0.11838107509559466,0.3765011966618828,0.25900631377346905,0.12497303000128342,0.29768754173043555,0.9902201743104728,0.22955666184448198,0.01392358684643232,0.01290925905060563,0.017237954546735823,0.02572262700154582,0.03422001264157497,0.02697617458915016,0.014824864080794083,0.00825577173927982,0.0018963113952243918,0.006924698489795806,"[[2513, 272], [166, 1646]]","[0.06945046537906752, 0.1660394450190464]","[0.11307606924389221, 0.2266620568409965]","[0.1100694483450658, 0.13348636792159935]","[0.36904278664293527, 0.38455943627396005]","[0.1998724407868028, 0.3359328625666616]","[0.09210698254346796, 0.16769333024360816]","[0.32848345057930506, 0.2614798187254282]","[0.9881275005648693, 0.9931966071100871]","[0.21559013967731583, 0.24694088470240222]","[0.015494986196318061, 0.014852385084066251]","[0.01439125639786174, 0.009320218371485228]","[0.030631309473223657, 0.024936017259875466]","[0.03619812224953155, 0.028566819895638824]","[0.027279237328748304, 0.004804132955461137]","[0.013079684111105182, 0.01403985454208168]","[0.014988256952754702, 0.007394232117757234]","[0.002652851574072685, 0.0007899489072286077]","[0.007585986574684841, 0.0049248124368952715]"
0,Uniform,0.9018902150232073,0.08645718949563716,0.13211524965438798,0.08949339408305905,0.5253066672121016,0.26057987710958025,0.10486821812303682,0.27723888725271423,0.9884360244914061,0.21212534607346534,0.006229261513930312,0.00850973237928895,0.004279313795879129,0.01428681648590923,0.03454972526842076,0.005995171851323065,0.0044427722715803565,0.0033952892523131726,0.000578659245771308,0.000969800622462028,"[[2561, 224], [227, 1585]]","[0.04635555450540463, 0.14871427860166117]","[0.09337071375286561, 0.19215907029028184]","[0.0733271907282852, 0.1145281091754103]","[0.5482557654979102, 0.48990701620493143]","[0.21838195532269428, 0.3260097973891383]","[0.07745181592952714, 0.14733069860286252]","[0.3061542950232335, 0.23244185223912694]","[0.9873618772910163, 0.9900966984329896]","[0.1727218550655027, 0.27318246143242153]","[0.010742811630593294, 0.018284205919521946]","[0.002905119469985295, 0.00918796219943075]","[0.011621995041235223, 0.01687740919565583]","[0.03353655097853866, 0.05872213870852869]","[0.007407085978753604, 0.005179573126974947]","[0.004581623203001813, 0.007394484103384481]","[0.0027409620236941643, 0.006423966548007347]","[0.0005992384033446206, 0.0006234475325102585]","[0.0014619672947955775, 0.0021234144003350044]"
0,kDN,0.9081950364686937,0.020568761812232626,0.008256623408061239,0.05213671322438218,0.535416665300961,0.2182749280404722,0.017462936575033165,0.22480575038622175,0.983750360056195,0.22379577959217065,0.01118626081020529,0.00393177165725951,0.0007703166918902367,0.007697882911293744,0.035501697799592606,0.006006022002576753,0.002649395648076585,0.0029366584607542147,0.000682514318341129,0.0021553470784005492,"[[2634, 151], [271, 1541]]","[0.01686129536158105, 0.027427006867297633]","[0.006583303020560233, 0.011376608104993713]","[0.050964826376135974, 0.05422178361160129]","[0.5499539201619049, 0.5077224404130225]","[0.17035071061433602, 0.3075913707451855]","[0.017552339552883472, 0.01727033775811078]","[0.26374213808792824, 0.15222049149840494]","[0.9835111836167473, 0.9841916280733443]","[0.17517357350650592, 0.31441544216162404]","[0.004359108999603973, 0.012068809716534486]","[0.0007589984750213425, 0.0017081202727491827]","[0.008584822046271362, 0.008967738204088966]","[0.03581662392768917, 0.06209673541735365]","[0.007434486267337515, 0.0064735921920813224]","[0.0032154773727443623, 0.003133141086261414]","[0.0035657279968972846, 0.006381354678758914]","[0.0007925126272544726, 0.0008020692460048626]","[0.0024617425648172514, 0.004170431514463772]"
