n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.6627272727272727,0.059352869352869354,0.2391868131868132,0.1368166415917163,0.36097329152776025,0.26740795556448704,0.24777492877492877,0.16208881407917008,0.9141119871402987,0.31314204314204314,0.14408764295441143,0.043077660239720164,0.026568278423731023,0.05405835676497992,0.04638537659335833,0.036307121900751756,0.041111688889680115,0.02962532888293685,0.01532056644908915,0.012322914453865599,"[[40, 9], [25, 27]]","[0.023868869760923735, 0.07215639671680699]","[0.3597374535685674, 0.19812395396197757]","[0.27032989328149326, 0.09019373517432053]","[0.7186756719968991, 0.23655559564808248]","[0.3990305445376683, 0.2208009456848012]","[0.3848772794689542, 0.2005689764899076]","[0.07536101957933243, 0.1933461930183435]","[0.9646508680224413, 0.8965972944723145]","[0.3262541806020067, 0.30884322556506316]","[0.027766498938181006, 0.046971494348438406]","[0.03924452265491342, 0.0354325011188942]","[0.07937307487465133, 0.04887050927025023]","[0.06977101074596792, 0.04180415725444373]","[0.02918618762591536, 0.03602490132578178]","[0.09020949112365388, 0.05148622714782941]","[0.042561427574551586, 0.038545334309944536]","[0.013024811457432384, 0.02037091946237023]","[0.01738924965708839, 0.013908485111946376]"
0,DCP,0.5945454545454545,0.15738705738705738,0.31821978021978026,0.09866312108376861,0.36137439123889975,0.348908631164902,0.3923840048840049,0.16234030498239058,0.9259585324236488,0.2951566951566952,0.13444440649924713,0.10182081384985046,0.052369265327017925,0.08933119993977238,0.062351389828412505,0.05148671843712779,0.0812338596523788,0.03355530401360428,0.011488761001781518,0.01902220805501917,"[[31, 18], [23, 29]]","[0.08361884352206933, 0.20598437781883913]","[0.4234131638759722, 0.2574376048455595]","[0.16646202072895297, 0.06064351176095915]","[0.5351071730715847, 0.2580510316611167]","[0.4446123999121777, 0.2906258016110222]","[0.5687569086405899, 0.2829756579833146]","[0.16296662658880393, 0.16208917520976457]","[0.9622499435680453, 0.9048323746731404]","[0.30106914137938806, 0.29327595828784003]","[0.05737245543279709, 0.12790153455301712]","[0.046593819196034315, 0.06995732136009965]","[0.1349815329406058, 0.06049258190792221]","[0.0717689714528617, 0.05053420735629195]","[0.04379157484314929, 0.07037161094859816]","[0.09576814360742714, 0.10819078358393706]","[0.044170408873940296, 0.03555231004358705]","[0.008129287784892074, 0.016919273082066172]","[0.01205982659257593, 0.022777922829913495]"
0,F1,0.6345454545454545,0.3255433455433455,0.43609768009768013,0.264154770929873,0.5158454254742486,0.4160489113586043,0.47012108262108265,0.21858905306821147,0.955616232037196,0.2892592592592592,0.12066543383994971,0.052668110934995994,0.022736503692785383,0.09653908657771028,0.0458384401017274,0.017857599526701295,0.0352444470838304,0.026702855312043385,0.007038235356216633,0.026046248540287874,"[[28, 21], [16, 36]]","[0.1594206763670774, 0.45962674022083244]","[0.43309937543607546, 0.43490332730751957]","[0.2760340361939704, 0.25453494245058644]","[0.6326284618401541, 0.42457465230962554]","[0.43767596233666045, 0.3995377648853254]","[0.4795056285323443, 0.46224669476031305]","[0.21031266714867874, 0.22885293439362156]","[0.9730426309527033, 0.9419503917835016]","[0.2949582551555948, 0.28418217670740253]","[0.08935979234322503, 0.06293577618696597]","[0.049368677871615106, 0.03195254207156235]","[0.08324842451405787, 0.09989207739752559]","[0.06591037857653137, 0.040373179327171195]","[0.035327901216461524, 0.016021899830919197]","[0.04886777678527449, 0.04678256033515757]","[0.03684105102554783, 0.05019478297673298]","[0.007651552408159041, 0.011289293617274317]","[0.01798890603711775, 0.03711303382596995]"
0,Hostility,0.5736363636363636,0.04401709401709401,0.24794139194139192,0.14310105016659944,0.3470400849013954,0.2986165329117932,0.264010175010175,0.15729481757188182,0.9125470914385645,0.30324786324786324,0.15789303722121023,0.01798750719598207,0.03588250169029368,0.07632752967024081,0.029723533879105892,0.03774193594247836,0.05765556659669215,0.03050501365280933,0.017413172483240123,0.014167262662859842,"[[29, 20], [23, 29]]","[0.023287097342017248, 0.054287285061747494]","[0.3818994963887239, 0.18355545207702526]","[0.24652445284354124, 0.09441272809785292]","[0.6025005705015758, 0.22475815498959192]","[0.43414029817613126, 0.22822384251205213]","[0.4218766618973425, 0.17539287300605436]","[0.17118918764302038, 0.15504067981277442]","[0.9651680535727845, 0.8879091307306833]","[0.30360338473523985, 0.3032079122355177]","[0.01995054072784449, 0.02594594557807203]","[0.0680625409640047, 0.024892953697395963]","[0.09029102438191312, 0.06339368531375297]","[0.06814942602905226, 0.02311781702409455]","[0.05002735867645696, 0.03740735581890462]","[0.12311122179111299, 0.05580100911426513]","[0.07579885657269374, 0.02421790727535672]","[0.009828094652217262, 0.018648214377238858]","[0.02243493636371997, 0.011056353540551882]"
0,LSC,0.6236363636363637,0.09347985347985348,0.24956043956043955,0.16163529007826144,0.4019596122991914,0.3264921331469237,0.25705575905575906,0.09411675210240547,0.902575127028784,0.3127431827431827,0.19881189803152646,0.0323861453634077,0.03823042370586719,0.09282085713662927,0.0749991314659982,0.03636270228936243,0.03413774951920174,0.034412953364818075,0.015434800363212757,0.018998162559284514,"[[34, 15], [23, 29]]","[0.041263249329287065, 0.1378818422489553]","[0.31592271920464116, 0.19577672557209952]","[0.23505506453912894, 0.10095875906096899]","[0.6009820762682273, 0.23201247138766545]","[0.4167395627544531, 0.2516169012737895]","[0.3450477236855583, 0.1813625010219908]","[0.07064245896628409, 0.11503919970264029]","[0.9405152132557564, 0.8719676924111909]","[0.32693599681971774, 0.3000019535923438]","[0.04057299761961096, 0.036287723982875324]","[0.04667446738248633, 0.042561620266420415]","[0.10336233545405392, 0.08249343024628425]","[0.08907417066056615, 0.04484931842990996]","[0.03460161948169847, 0.03607828645571118]","[0.04298054615808976, 0.04776286427805382]","[0.05202324632766473, 0.021332459680681693]","[0.013587369096365222, 0.021231552924191592]","[0.011423636295829712, 0.026430610256337663]"
0,N1,0.6127272727272727,0.12313797313797314,0.2877924297924298,0.2184071168075447,0.4856071553504616,0.34462553717951366,0.12302726902726902,0.1702622469952569,0.9307671312821297,0.3105453805453805,0.16144435312264174,0.06520906743441206,0.0354240219222358,0.06373602520530212,0.05095311545673538,0.03255057639199453,0.030004239605496565,0.035041217924376096,0.013359093414570119,0.018235257971795576,"[[34, 15], [24, 28]]","[0.04930207203793111, 0.18856949552995056]","[0.3232489408451403, 0.24916665344644948]","[0.28943217608736826, 0.14842443450845572]","[0.6835622603192283, 0.28589582739371455]","[0.4077289007349889, 0.27908255769949986]","[0.13207479764297933, 0.1181517722702751]","[0.11556721682790824, 0.22494411909916995]","[0.9600106207592087, 0.9015437690177477]","[0.327536231884058, 0.29442345015315374]","[0.05088179356641839, 0.090861595116835]","[0.05366873877546976, 0.04859595665593052]","[0.053337854380581494, 0.0708994648388173]","[0.05680044959983865, 0.06000351124671949]","[0.03340722470430247, 0.0375007338901119]","[0.033916177456712084, 0.042587045613304876]","[0.056167497185177134, 0.03263991508600069]","[0.013172858982279772, 0.01636536411044859]","[0.017391304347826077, 0.018347225855639155]"
0,N2,0.5536363636363636,0.2661416361416361,0.40379487179487183,0.26393987767837157,0.5668632636798101,0.4163002280203301,0.46239641839641843,0.01827962621505366,0.9459405600453797,0.3237444037444037,0.12902473762852684,0.07621443261641897,0.05361545022424385,0.08480009327323076,0.05666407970728282,0.03197881833791181,0.10221715731082238,0.00786805571402795,0.015297580392767686,0.017827993026091102,"[[26, 23], [22, 30]]","[0.038870825393473474, 0.535508362281146]","[0.37706030073195645, 0.43813478888164814]","[0.2583434898549747, 0.27032885704371185]","[0.6749217207788656, 0.4406195858523471]","[0.4133142777820928, 0.42162395045722506]","[0.40080316221525714, 0.5443658375467454]","[0.012672702033226383, 0.02495804679490122]","[0.9620990915298984, 0.9284819225453242]","[0.3266513793343061, 0.3201905958454573]","[0.047523869400515714, 0.1212200458070419]","[0.045704193264255864, 0.09106331573036418]","[0.06670749466840721, 0.10554719121265067]","[0.04269127605231356, 0.08892408946849664]","[0.029196731456029513, 0.04997172311754901]","[0.1047172711107434, 0.13338112708447059]","[0.012003536805564392, 0.015175965893346827]","[0.009084733521744224, 0.026617689987759822]","[0.015180025025344743, 0.01969899756209494]"
0,TD_U,0.5445454545454546,0.17603174603174604,0.32391697191697194,0.14977615702997965,0.28534943583994377,0.3544849267701309,0.3487505087505087,0.1842206479836722,0.9172256006485868,0.2999267399267399,0.1065745125335466,0.05655870872130008,0.044885264397516327,0.12212428522788918,0.02805002693940363,0.02896005159739244,0.04401846101295323,0.06328389772242032,0.02109018758181084,0.016674424703977064,"[[21, 28], [18, 34]]","[0.196621470996471, 0.16540573789834806]","[0.5181697424697425, 0.2395679835957404]","[0.24962377173425992, 0.10722976345508047]","[0.410872267159564, 0.2309906541530676]","[0.5227202800062737, 0.2814555746732295]","[0.5956088395984229, 0.24240125579453373]","[0.2626023664160123, 0.14893199153294018]","[0.9668541725067887, 0.8954873846464444]","[0.3031507716507716, 0.2994344768054219]","[0.10911252497957198, 0.04264772572282529]","[0.05539429281560682, 0.038302042092190666]","[0.18463674767022767, 0.08978767209103866]","[0.05554850422320654, 0.028335110270740513]","[0.03670383153997685, 0.030804171962039224]","[0.07472719376961025, 0.04713738807824751]","[0.12664240666445745, 0.0422413191618502]","[0.010044520749026795, 0.02560571402294088]","[0.024674828631495015, 0.01769046520129133]"
0,Uniform,0.6336363636363636,0.28704517704517707,0.4187008547008547,0.26242039311653337,0.5252348682647564,0.40571830532416425,0.45143467643467644,0.19498845527438674,0.9536995463311607,0.31641839641839636,0.1490742784516087,0.0766559405902868,0.01955396611574639,0.10897762270311816,0.05321633097295245,0.014080846236028767,0.03376245928087028,0.05542049456045603,0.006615103894269761,0.017288350176861977,"[[33, 16], [21, 31]]","[0.10698558211163253, 0.44829590913419104]","[0.4109725950986455, 0.42292805648669435]","[0.2725837411205652, 0.24976246256482573]","[0.6379269520806727, 0.4214416949852217]","[0.4354621568689895, 0.3791559766910576]","[0.445599485248645, 0.45264791316404224]","[0.17157284355430905, 0.221375414267446]","[0.9675541135154813, 0.9409823605554017]","[0.3156869010230355, 0.31572110608497306]","[0.061475605434661344, 0.09606320127936147]","[0.02720052658887822, 0.034254251924351366]","[0.09353196021320037, 0.11645478177016491]","[0.0420802219567918, 0.0649387516356851]","[0.026514923940206526, 0.01618755563347101]","[0.0572329580836744, 0.053863193057811655]","[0.0883541229938408, 0.04508755263930013]","[0.005452319252914269, 0.012632646670822027]","[0.019609825720835094, 0.017140178980757093]"
0,kDN,0.6236363636363637,0.03847374847374847,0.19892307692307692,0.16418160832893097,0.41561890166634485,0.30953580083096804,0.23836080586080585,0.13368198185498945,0.9140936576187672,0.31315018315018317,0.15482446590685375,0.02329525059272507,0.019663323013188724,0.07678129695967148,0.04600667028108589,0.02760519631086939,0.03483531810193677,0.03437614489162116,0.012682851627851535,0.007838124114947283,"[[34, 15], [23, 29]]","[0.007703081232492998, 0.0657399922353462]","[0.25656036412675604, 0.1477502135126266]","[0.25898528080210553, 0.07809089999497591]","[0.6425272223065205, 0.211813280508672]","[0.4034053001568842, 0.22639418086381186]","[0.3218357928349629, 0.1628204740892977]","[0.11253790653657396, 0.15263137589840348]","[0.9508364806556768, 0.8817506822349523]","[0.32382594690398814, 0.30348119698563025]","[0.011855227313058535, 0.03958957773526507]","[0.02612019664309847, 0.02223027673153077]","[0.08057870237691225, 0.06461684136591288]","[0.06664113036391991, 0.0334601041732017]","[0.03024641511680789, 0.024493517506500324]","[0.058400194918899875, 0.03557972615867491]","[0.06305080225333674, 0.0451599279778002]","[0.01158737029664349, 0.01641102597262227]","[0.008503456314092168, 0.011647017076896474]"
