n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.6472727272727272,0.13490205446727185,0.3066817964644052,0.07707669750782649,0.5388539178213092,0.36589626650360707,0.39633679726071025,0.260505651968921,0.9592736574494609,0.27960264373307847,0.16221605835051242,0.09071169038952498,0.04969961587677081,0.027422452431423584,0.06211728775256659,0.028214502410956323,0.039619870967766084,0.03334701613311514,0.009850520679138665,0.01249070397402032,"[[35, 15], [21, 31]]","[0.17028250485147037, 0.126331673026084]","[0.38382252613287093, 0.27031516357023516]","[0.12407215716189071, 0.05635240506463411]","[0.677795164065721, 0.46594540352591085]","[0.4094865245704614, 0.3448748071120157]","[0.38664830571727127, 0.39620478423309013]","[0.1887429528122921, 0.30445956269219665]","[0.9559338917352239, 0.9617880816017517]","[0.32103957026370816, 0.2587118200279519]","[0.13384678868067018, 0.08435985194504847]","[0.055839787928324586, 0.04632810117827928]","[0.051060013792489554, 0.029894772426382703]","[0.07988574696737523, 0.0611441262004406]","[0.01909209757062002, 0.030681963581175666]","[0.08656088979384322, 0.048372923683145955]","[0.07516849244201654, 0.055504557317817414]","[0.011865419406991722, 0.013500083574752055]","[0.012832607419516704, 0.02086815820797048]"
0,DCP,0.6518181818181817,0.30377448638318205,0.4092881032011467,0.010352763888569516,0.5419752349100175,0.46113341121290785,0.5234744784201306,0.21775116805906455,0.953911857938323,0.2839703774486383,0.19242066329288887,0.0759559242109758,0.04903640068828448,0.0136470246258493,0.04574902155292817,0.013808486850489781,0.06496438827042601,0.037421724281502776,0.00949121313438046,0.014349444229265144,"[[33, 17], [19, 33]]","[0.24538800027956173, 0.37260078738763724]","[0.4000292239565838, 0.4219879883557864]","[0.005744682507813795, 0.012370456162005192]","[0.5650142122690298, 0.5152960599084347]","[0.4717548658273819, 0.4522342949918793]","[0.4830749197031766, 0.5690019429393962]","[0.19011412083912577, 0.24062351464753848]","[0.9467417947998618, 0.9611614075065769]","[0.2985323652796632, 0.2680884496631498]","[0.10154798908379999, 0.06975183134245674]","[0.06087357654772356, 0.0555615923672803]","[0.007846103947252377, 0.02249531513444327]","[0.06692281648104344, 0.0386774002055133]","[0.019892698713742156, 0.02172094761779032]","[0.08804866918558255, 0.06334576694634224]","[0.05323258217623389, 0.03677756463924348]","[0.015391376598471911, 0.007789937370314838]","[0.014415956079065886, 0.01822275004952074]"
0,F1,0.6972727272727273,0.3048853320592451,0.42385093167701865,0.09431033508467743,0.5545688007644529,0.45325863833122,0.5295683741724114,0.2565392802628891,0.9625522093953098,0.2596233476668259,0.21029735386627874,0.07252436806874896,0.04211587550626023,0.04373624855618627,0.054551528884046484,0.01857131014046602,0.034966006323519504,0.03150887168497141,0.004652530804741528,0.025864047810434238,"[[38, 12], [19, 33]]","[0.27762849504456893, 0.3327084852354395]","[0.4342509663059073, 0.41202606104088585]","[0.10413778884533631, 0.08608117616772024]","[0.6098664079247753, 0.5072661360801523]","[0.46440307622124033, 0.44406745569355477]","[0.5237727831484857, 0.5346921690211223]","[0.24993565327751083, 0.2602630875293873]","[0.9602840623820036, 0.9635066279151008]","[0.2874939270843135, 0.2357516998408732]","[0.10470148676556784, 0.06308700506225283]","[0.04625236922145004, 0.05508091123456576]","[0.03982970208189288, 0.049360059236297105]","[0.04606294521270122, 0.060139801717115006]","[0.018402949949919978, 0.025168372452216453]","[0.0685422580687808, 0.051495307278821206]","[0.03756881292398825, 0.05885576053909897]","[0.008241480915611304, 0.009504563419829802]","[0.027714046531015255, 0.02703513947602742]"
0,Hostility,0.610909090909091,0.03919015766841854,0.23548494983277593,0.05267549897733492,0.4794057572861921,0.3951981321194345,0.3560310160853639,0.16085561733345138,0.9399023576717338,0.26400700748526834,0.17864915008084908,0.01785734925611282,0.02529786172526504,0.01989121242610501,0.05469379008951211,0.02983314265404589,0.05383638584939761,0.035412088876589226,0.013746265806058804,0.0194962521618636,"[[33, 17], [23, 29]]","[0.03640044737870825, 0.04355188480331329]","[0.21833816865146788, 0.25525061849368547]","[0.053080156719717296, 0.05464155700798238]","[0.5301489664790303, 0.43716982756946593]","[0.42983967565373443, 0.3619844954036695]","[0.32245210082614173, 0.3949254359857456]","[0.1064045651562445, 0.21630848169497602]","[0.9275419343018448, 0.953606520536221]","[0.29980996553886585, 0.23142669384104284]","[0.027252177080298385, 0.02202323363770716]","[0.057098312813233805, 0.035343701667399176]","[0.029264446805898466, 0.032547896015828685]","[0.0811943207861606, 0.0692463194894663]","[0.022046936460239294, 0.03836301884689533]","[0.08371383470292457, 0.08777810995178431]","[0.03663181117239499, 0.05833726682901735]","[0.018135500211559796, 0.02635922085886455]","[0.019188214403362994, 0.030352265864741445]"
0,LSC,0.65,0.13827042522694696,0.2526421404682274,0.03753618973179624,0.5180140149705368,0.4229569555803662,0.32328854116897593,0.08653570069148896,0.9253434957711896,0.29484392419175026,0.18323939491660388,0.07366064053410404,0.05021995247069431,0.028143071401183946,0.038892003753407754,0.02320767608648954,0.04520669283513468,0.020538262977710317,0.009644508668777836,0.01124235802503463,"[[31, 19], [17, 35]]","[0.1135255382390395, 0.17651625930721165]","[0.2491717267063153, 0.26633997724179487]","[0.03275692992521499, 0.041831585105232647]","[0.5473815528975338, 0.47640939963633266]","[0.43380448385501175, 0.4093704552803337]","[0.2675465082709079, 0.3993501885241378]","[0.05346228927710254, 0.1319234802811194]","[0.921960700897017, 0.931618506532953]","[0.32032919956777894, 0.2589906663527032]","[0.12219768427818156, 0.057310315304012774]","[0.05640194863792424, 0.06275336658022614]","[0.023089426294085707, 0.03498112708744645]","[0.07430295072424949, 0.046345574327344735]","[0.01987114230977225, 0.031241492488182847]","[0.06652948268365395, 0.11348481847100413]","[0.02704911014942147, 0.02772132120850246]","[0.012964445289885876, 0.012576831796158148]","[0.013122616932889342, 0.020210584462741318]"
0,N1,0.58,0.13281175346392737,0.2769541328236981,0.11666281504493965,0.5483168100015926,0.415569283805285,0.14382573430710077,0.24415543481850546,0.9456106671631247,0.28614827201783716,0.1414732921025334,0.09950535293642376,0.04119437602603236,0.04370981975911188,0.07040941840432603,0.026145087704436864,0.029644572125707733,0.03560759706430671,0.010037638496080437,0.010347702870446203,"[[36, 14], [29, 23]]","[0.12035901782946117, 0.14182225045343613]","[0.2738774288929462, 0.27951767064932087]","[0.11830052129658768, 0.1130134828195517]","[0.5915979680554804, 0.49312358348649993]","[0.42867439075489083, 0.3994499961607381]","[0.12630992425062623, 0.16316642063824155]","[0.1885025542987959, 0.3091335879321562]","[0.9363578465589493, 0.9571017493711848]","[0.33065676883780337, 0.2338856052163419]","[0.08280060555517316, 0.11885253300624929]","[0.05369117070207782, 0.04436154363345878]","[0.03890409010209195, 0.057337276443565864]","[0.08203873199372333, 0.0788472283426563]","[0.020622685586751236, 0.03454909604969576]","[0.03256749047158509, 0.06461481702815808]","[0.04533843266433519, 0.07325515417417107]","[0.015938036449259806, 0.012321194443606404]","[0.0033004382266415633, 0.0172633526539196]"
0,N2,0.6018181818181818,0.25588867654085046,0.3823148590539895,0.07409278969518282,0.5768273212294951,0.45638719573741426,0.5637939958592133,0.02140473778316848,0.9520231871153422,0.29665949992036944,0.1972166284337154,0.06288181904434992,0.039039413446068455,0.03222956153473315,0.04445771358641434,0.016730509854771047,0.04601325000533155,0.014628941431809222,0.007397653932043228,0.011897953191042997,"[[30, 20], [21, 31]]","[0.18182202815343423, 0.3371895340274883]","[0.38146716821788845, 0.3834906037192131]","[0.07884101510896863, 0.06895770966563304]","[0.6134571727474958, 0.5399702059372912]","[0.43838944705000493, 0.47574615760006944]","[0.4643673221309972, 0.6707195807255677]","[0.01979940746892083, 0.023815796589576214]","[0.9468951348989589, 0.9574389644723865]","[0.3150835329026598, 0.2765138279255144]","[0.07701658291515713, 0.09394645281026483]","[0.037374507336700696, 0.06416469879546108]","[0.04008648089186112, 0.02437938648157099]","[0.06635036822908469, 0.05047857512340966]","[0.017543179270915622, 0.023358728411044704]","[0.0357313399047599, 0.09753618521169159]","[0.01832344769596843, 0.0182109802631144]","[0.008426100974566628, 0.01404957263268398]","[0.019586582686143817, 0.018845279421801288]"
0,TD_U,0.6799999999999999,0.2777233635929288,0.36361920688007643,0.04973233151576228,0.3847615066093327,0.44268839137182364,0.48951115395991174,0.2138821692230101,0.9489523472746535,0.2584766682592769,0.15639417131969205,0.0715590934924402,0.03668734213377313,0.04316500328683453,0.04466094076990259,0.016797302191103623,0.05343331218618853,0.05370259681254251,0.009467692199148798,0.022946421985105533,"[[34, 16], [17, 35]]","[0.2956427757859359, 0.27309421204379186]","[0.3801924981741994, 0.36828803829224005]","[0.05324243770574877, 0.0487199238354044]","[0.4120763213739613, 0.36720544900006585]","[0.48328909899866906, 0.41794782090162386]","[0.4461412130904134, 0.5354404857562682]","[0.21058912259830248, 0.22213289709714812]","[0.9414275331373319, 0.9577551877542172]","[0.30127615431465915, 0.2269138210839891]","[0.11141788263694359, 0.07194656779873433]","[0.10634973668846752, 0.06248229641009007]","[0.048181090657127654, 0.04036627043475857]","[0.0454461777464668, 0.05095280893797409]","[0.025842635616643468, 0.026647636003454732]","[0.08282951257739181, 0.06290858670503961]","[0.10166363161003156, 0.03227004893791714]","[0.020288286095845025, 0.011376926054453486]","[0.018911053016841314, 0.03235274805479311]"
0,Uniform,0.6890909090909091,0.3452460582895366,0.4531724796942188,0.11460850905681012,0.5863232600732602,0.46132397005597336,0.5419751211521397,0.2809201110387085,0.965538366537894,0.2966674629718108,0.1655222416732011,0.08643739569381727,0.03350072644110265,0.04084269055823602,0.05032877429825927,0.012688416701434092,0.05408006300831478,0.04686358269426953,0.00554245870777827,0.009994316035609475,"[[32, 18], [14, 38]]","[0.3000472257532058, 0.3942419958329975]","[0.45708046014524417, 0.45060629736756486]","[0.11633363547845912, 0.1141897402314318]","[0.6204216575229864, 0.5536424035917628]","[0.46684250598433774, 0.4565261045204778]","[0.4924170657538597, 0.5846567686054969]","[0.2576422503446792, 0.2998696137530972]","[0.9590708865993902, 0.9709539690802395]","[0.3148490198739368, 0.2809095890806227]","[0.12534060924860133, 0.06923224748411178]","[0.035907302223731855, 0.03913750924225233]","[0.044565994133175836, 0.04318587970578925]","[0.052816821495302244, 0.04691635271184269]","[0.01851366283682896, 0.009504328122174256]","[0.04577880314536881, 0.07051234203650146]","[0.027846277520401964, 0.07265726176536327]","[0.006505144159171082, 0.006590340119220695]","[0.012489552192643989, 0.011126738593857984]"
0,kDN,0.5818181818181818,0.05119445771619684,0.19715957955088387,0.07025821147350195,0.5179528985507247,0.39607660605006056,0.32150979455327283,0.1772631392764274,0.9398805122623649,0.2918975951584647,0.15409917739504383,0.032014596397629165,0.028719099014040888,0.0299659641971952,0.06794749054064123,0.028728864898219297,0.047292221839520796,0.05042727761771552,0.012775781348832678,0.01787466150921808,"[[31, 19], [24, 28]]","[0.04099170822423102, 0.061818265312406105]","[0.1930774786510349, 0.20484205713294307]","[0.06971444186959116, 0.07350195767784348]","[0.5570575878444419, 0.4842196114623615]","[0.42664684658691554, 0.3694266875528102]","[0.2587689118716474, 0.3791088905334238]","[0.12809015305024796, 0.22523787407523307]","[0.9293235696482449, 0.9502198359261914]","[0.30521376670160866, 0.2785718887892227]","[0.039928297277517656, 0.04552449697767132]","[0.03963669581001567, 0.050090523835586494]","[0.04036071550851724, 0.0308372670525998]","[0.0901914596719457, 0.08070679540683925]","[0.020760852356752256, 0.03984057941477648]","[0.04477722138606225, 0.08775442375188362]","[0.08232276600687334, 0.060242573481510846]","[0.016164698955985844, 0.016665077030780153]","[0.014256887530132633, 0.02485550661370598]"
